'a'mu'chang'ren'ce 阿母常仁恻
'bu'wei'dian'zhui 不畏颠坠
'bu'xi'wan'guo'chi'zi'yu'tou'sheng 不惜万国赤子鱼头生
'bu'xu'fu'yao'qiu'shen'xian 不须服药求神仙
'bu'yi'tian'di'cuo'guai'hui 不意天帝错怪恚
'bu'yi'you'miu 不宜有谬
'bu'ying'bu'yan 不盈不延
'bu'yong'mi'shang'shan'hao 不用觅商山皓
'bu'zai'dong'qiang 不在东墙
'bu'zhi'chou'xin'xi'shuo'xiang'shui'shi 不知愁心兮说向谁是
'bu'zhi'shen'zhi'lai'xi'bu'lai 不知神之来兮不来
'bu'zhi'shi'he'chong 不知是何虫
'bu'zu'zhe'zu 不足者足
'cai'cai'zhe'la 采采者蜡
'cai'fang'sun'yu'bei'zhu 采芳荪于北渚
'cai'wen'ji'bei'fen'shi 蔡文姬悲愤诗
'cai'wen'ji'hu'jia'shi'ba'pai 蔡文姬胡笳十八拍
'can'you'ri'yue'xi'qun'ling'zou'qu 骖友日月兮群灵走趋
'can'yun'jia'xi'yan'jiang'sheng 骖云驾兮俨将升
'can'zi'liu'xi'cong'qing'li 骖紫骝兮从青骊
'cang'bo'pen'jin'chi'du'zu 苍波喷浸尺度足
'cao'jin'shui'jie'xi'yang'ma'jie'xi 草尽水竭兮羊马皆徙
'cao'man'mu'bu'xi'sheng'jiang'ru'peng 草蔓木布兮升降如朋
'cao'mu'yi'wei'jue 草木亦未觉
'cao'shu'mian'mi'xi'cui'meng'long 草树绵幂兮翠蒙茏
'cao'tang'zhe 草堂者
'cao'wang'yan'xi'bu'de'ci 草王言兮不得辞
'cao'zhong'hu'tu'jin'he'yi 草中狐兔尽何益
'ceng'he'rong'ru'zhi'suo'ji 曾何荣辱之所及
'ceng'he'zu'yi'shao'an 曾何足以少安
'ceng'lan'zhuang'xi'mian'yi'mei 层澜壮兮缅以没
'ceng'you'xiong'wang 曾有凶王
'chai'lang'hao'qie'fei 豺狼号且吠
'chan'ming'xi'xi'xun 蝉鸣兮夕曛
'chan'qiang'wang'shi'zheng'chu'cheng'yao'guai 搀枪枉矢争出逞妖怪
'chan'yan'bu'ting 谄言不听
'chang'an'qing'xiang'duo'shao'nian 长安卿相多少年
'chang'an'ye'ban'tian'mo'hu 长安夜半天模糊
'chang'ban'jia'ren'zhan'hua'wu 长伴佳人占华屋
'chang'chan'chang'chan'bai'mu'bing 长镵长镵白木柄
'chang'chen'shi'xi'duo'wei 怅尘事兮多违
'chang'huai'lang'gao'jiao'long'nu 长淮浪高蛟龙怒
'chang'jiang'he'chu'neng'shou'yu 长江何处能守御
'chang'kong'fu'juan'fei 常恐复捐废
'chang'li'qian'shan'guang'yao'ming 长丽前掞光耀明
'chang'li'you'xi'du'han'qing 怅离忧兮独含情
'chang'liu'ti'xi'zi'bu'qian 常流涕兮眦不乾
'chang'lu'hao'hao'xi'ci'qu'he'cong 长路浩浩兮此去何从
'chang'qu'xi'ru'guan 长驱西入关
'chang'san'shan'zhi'fei'he 怅三山之飞鹤
'chang'wang'qiao'bian'jiu'cheng'guo 怅望桥边旧城郭
'chang'wen'gu'lao'yan 尝闻古老言
'chang'yan'niao'niao'piao'xiong'qi 长烟袅袅飘熊旂
'chang'yi'bao'kuang'xi'zan'xuan'tu 长贻宝贶兮赞璇图
'chang'yu'jun'xi'xiang'qin 长与君兮相亲
'chao'fa'yang'gu'mu'jin'shu 朝发旸谷暮金枢
'chao'jian'chang'cheng'xi'lu'yao'man 朝见长城兮路杳漫
'chao'liao'huang'hu'xi'du'yu'dao'ju 超辽恍惚兮独与道俱
'chao'ting'sui'wu'you'wang'huo 朝廷虽无幽王祸
'chao'tou'mu'qie'zi'hun'bao 朝偷暮窃恣昏饱
'che'qian'sheng 车千乘
'che'wei'bu'zhuan'zhe 车为不转辙
'chen'gui'long'di'shuang'chi'chui 趁归陇底双翅垂
'chen'lao'ci'zhu 臣老辞主
'chen'qing'xi'sao'chu 臣请悉扫除
'chen'shu'dong'fang'zhi'ren 辰属东方之仁
'chen'yao'xi 陈瑶席
'chen'yi'du'huang'he'zuo'ge 陈毅渡黄河作歌
'chen'you'yi'cun'ren 臣有一寸刃
'chen'zi'ang'cai'shu'ge 陈子昂彩树歌
'chen'zi'ang'chun'tai'yin 陈子昂春台引
'chen'zi'ang'shan'shui'fen'tu 陈子昂山水粉图
'chen'zi'ang'xi'ma'can'jun'xiang'yu'zui'ge 陈子昂喜马参军相遇醉歌
'cheng'dong'yu'zhi'yong 成栋宇之用
'cheng'kuo'wei'shan'lin 城廓为山林
'cheng'ling'wei'xi'jiang'wai'guo 承灵威兮降外国
'cheng'men'xiao'wei'zhi'yi'qu 城门校尉执以趋
'cheng'ming'zhu'xi'you'si'ren 承明主兮忧斯人
'cheng'qi'ji'ye 乘其机耶
'cheng'qing'gui'yu'wan'li 澄清规于万里
'cheng'rong'yu'xi'yi'wan'li 骋容与兮跇万里
'cheng'shen'zhi'zun 承神至尊
'cheng'tao'gu'xie'bai'di'cheng 乘涛鼓枻白帝城
'cheng'tou'feng'huo'bu'ceng'mie 城头烽火不曾灭
'chi'bu'neng'yan 齿不能言
'chi'fu'chi'fu 持斧持斧
'chi'long'hei'niao'shao'kou're 赤龙黑鸟烧口热
'chi'mei'ren'xi'bu'jian 迟美人兮不见
'chi'mu'you'yi'lai'tong'zhu 迟暮有意来同煮
'chi'niao'si'nan'fang 赤鸟司南方
'chi'shang'jian'ren'chang'si'ke 池上见人长似客
'chi'sui'ti'ling 齿随涕零
'chi'sui'wu'qing 齿虽无情
'chi'tang'qian'xia'bu'ming'yan 池塘潜狎不鸣雁
'chi'xia'ling'qu'zhen'chang'sheng 齿下领取真长生
'chi'you'chi'ye 蚩尤炽耶
'chi'zhang'tan'hen'lao'bu'shuai 鸱张贪很老不衰
'chong'kong'wei'chuan'chang'zui'tu 虫孔未穿长觜秃
'chong'shi'mu'xin'gen'di'fu 虫蚀木心根柢覆
'chong'xie'xin'huo 宠邪信惑
'chong'yan'zhuan'xi'chao'yi'hu 重岩转兮超以忽
'chou'er'yi'zhao'huan'dao'di 愁尔一朝还到地
'chou'ren'pi'ci'yan'shuang 愁人披此严霜
'chou'wei'zi'xi'ri'wu'guang'hui 愁为子兮日无光辉
'chu'chang'he 出阊阖
'chu'gu'kou'xi'jian'ming'yue 出谷口兮见明月
'chu'gui'er'ru'shen 出鬼而入神
'chu'jian'ning'zhi'chen 黜奸佞之臣
'chu'men'wu'ren'sheng 出门无人声
'chu'qiong'lu'xi'ou'shu'su 处穹庐兮偶殊俗
'chu'quan'shui 出泉水
'chu'ran'fen'hua'gao'xia'cheng 矗然分画高下程
'chu'ru'zhao'jia'keng'you'sheng 出入爪甲铿有声
'chu'suo'duo'shuang'xue 处所多霜雪
'chu'xu'da'ting'zhi'jun'ye 储胥大庭之君耶
'chu'ya'fu'zhao'xue'beng'tian 雏鸭拂爪血迸天
'chu'yu'yun'qi 矗与云齐
'chuan'er'xin'chi 传而信耻
'chuan'rui'ye'xi 传瑞晔兮
'chuan'yong'si'xi'shan'qian'shen 穿墉伺隙善潜身
'chuan'zheng'ri'xia'mai 遄征日遐迈
'chui'dong'xiao 吹洞箫
'chui'feng'fang'huo'lie'shan'gu 吹风放火烈山谷
'chui'he'gu 槌河鼓
'chun'cao'wei'zhi'bu'sheng 春草为之不生
'chun'feng'chui'song'lang'wu'jian 春风吹送廊庑间
'chun'sou'dong'shou'hou'de'tong 春蒐冬狩侯得同
'chun'yi'cai'le'you'dong'yi 春衣才了又冬衣
'chun'yu'ou'qian'qi 春雨偶愆期
'ci'bei'shan'tou'ru'ri'yue 此碑山头如日月
'ci'qi'suo'gui'ye 此其所贵也
'ci'qing'bu'xiang'su'ren'shuo 此情不向俗人说
'ci'ren'zhi'qing'ye 此人之情也
'ci'shan'you'wei'xi'ying'shui'you'yi 茨山有薇兮颍水有漪
'ci'shi'yu'zi'kong'gui'lai 此时与子空归来
'ci'shun'ming'shu 慈顺明恕
'ci'wai'nei'wai'guan 此外内外官
'ci'you'bu'zi'bao 此犹不自保
'ci'yue 词曰
'ci'yue 辞曰
'cong'bi'gong'yi'han'yin 从毕公以酣饮
'cong'ci'jiang'shen'geng'he'xu 从此将身更何许
'cong'guan'bai'yu'zuo 从官百馀座
'cong'xi'ji 从西极
'cong'yi'qing'yang'qing'tu'chi'shu'er 从以青羊青兔赤鼠儿
'cong'yong'wan'yu'xi'fen'luo'yu'yi 从拥万羽兮纷罗羽翼
'cong'you'dai'lao 从幼逮老
'cuan'ji'zheng'qiang'xiong 攒集争强雄
'cuan'mei'xiang'yue'xi'fu'ya'qin 攒眉向月兮抚雅琴
'cuan'zhong'lv'yu'xin'xiong 攒众虑于心胸
'cui'xiang'xian'xi'jin'bi'tan 翠相鲜兮金碧潭
'cui'yin'yin 翠阴阴
'cui'zhi'si'mi 榱之斯密
'cun'bu'qian'li'xi'bu'xiang'wen 寸步千里兮不相闻
'cun'wang'yong'guai'ge 存亡永乖隔
'cuo'zhong'cai'zhi'fen'yun 错众彩之氛氲
'da'hai'dang'jue'xi'qian'long'kun 大海荡潏兮潜龙鲲
'da'jun'fan'gong'cong'ci'qu 大军反攻从此去
'da'lu'bu'ke'jian'xi 大陆不可见兮
'da'peng'hu'qi'zhe'bai'ri 大鹏忽起遮白日
'da'sha'sui'cun'zhu'shi'qing 大厦虽存柱石倾
'da'zai'shi'fan'lun'wang'pu 大哉释梵轮王璞
'da'zha'mi'gan'fei 怛咤糜肝肺
'da'zong'tong'yue 大总统曰
'dai'fu'fu'ren'liu'hou'er 大夫夫人留后儿
'dai'tian'li'wu'ying'qian'gu 代天理物映千古
'dan'fu'bai'tu'suo'dao'zhi'ling'yao 啖服白兔所捣之灵药
'dan'hua'su'xi'shang'huai'bao 但话宿昔伤怀抱
'dan'kong'cai'bo'nan'shu'yi 但恐才薄难抒意
'dan'ming'qin'xi'qing'he'shang 弹鸣琴兮情何伤
'dan'su'zhi'zhu'xi 丹素之燝兮
'dan'wei'he'xi'di'bu'de'ning 殚为河兮地不得宁
'dan'ze'hao'qi'xing 旦则号泣行
'dang'fa'fu'hui'yi 当发复回疑
'dang'fu'qi'er'zi 当复弃儿子
'dang'nian'feng'ci'xi'he'yi 当年奉赐兮何意
'dang'qi'wu'xi'ting'zai'zhong 当其无兮庭在中
'dang'ru'zhi'he 当如之何
'dang'shi'he'bu'zao'liang'fen 当时何不早量分
'dang'shi'si'shi'wan'pi'ma 当时四十万匹马
'dang'shi'xing'you'liao'yuan'huo 当时幸有燎原火
'dang'shi'zhu'mu'xin'er'yan 当时主母信尔言
'dang'tuan'tong'yi'jing'tan'wu 党团统一竞贪污
'dang'wu'you'yong'xi'mi'cui'ting 当无有用兮幂翠庭
'dang'yan'ze'ting 谠言则听
'dang'yun'he'zai 当云何哉
'dao'he'qi'xi'xi'yin'yun 道和气兮袭氤氲
'dao'ke'rong'xi'xiu'xian 道可容膝休闲
'dao'nan'zhi'xi'xing'du 道难知兮行独
'dao'xian'ke'jing'xi'ren'mo'yong 道险可惊兮人莫用
'de'bu'ai'tong'chen'zai'meng 得不哀痛尘再蒙
'de'bu'yuan'shen'wei'da'qiu 得不愿身为大虬
'de'he'tian'xi'li'shen'bian 德合天兮礼神遍
'de'neng'si'ye 德能嗣耶
'de'shi'yun'yun 德施蕴蕴
'de'sui'xing'yi'sheng'cheng 得遂性以生成
'de'tuo'zi'wei'yong'wei'fei 得托孳尾永为妃
'de'zhi'yin'xi'dan'duo'xin 德之愔兮澹多心
'deng'fu'yi'shi 登斧以时
'deng'gao'tai'er'xie'you 登高台而写忧
'deng'gao'yuan'tiao'wang 登高远眺望
'deng'lian'qian 磴连褰
'deng'ming'dian'xi'lin'guang'ting 登明殿兮临广庭
'deng'tian'men'xi'zuo'pan'shi'zhi'lin'xun 登天门兮坐盘石之嶙峋
'di'bu'ren'xi'shi'wo'feng'ci'shi 地不仁兮使我逢此时
'di'guang'chui'cai'xi 低光垂彩兮
'di'jiu'tian'chang'xi'ren'gong'si 地久天长兮人共死
'di'ju'fang'zhi'tian'ti'ming 地居方直天体明
'di'shang'qin'shou'zhong'xue'shi 地上禽兽重血食
'di'shun'zhong'qi'ming 帝舜重其明
'di'tou'bing'qi'fu'yi'shi 低头屏气服役使
'di'xing'jian'chen'tong 地行贱臣仝
'di'ye 地耶
'di'zai'wu 地载吾
'di'zhi'ping'xi 地之平兮
'di'zhu'xia'fu'chang'qi'po 帝箸下腹尝其皤
'dian'wu'shan'zhi'zhao'yun 点巫山之朝云
'diao'long'you'ban'xin'ren'su 雕笼又伴新人宿
'diao'lv'ye'xi'chui'bai'yun 凋绿叶兮吹白云
'ding'jing'xin'shi'ke'jin'yu 顶敬心师刻金玉
'ding'ning'fu'er'mo'lou'xie 丁宁附耳莫漏泄
'dong'fang'qing'se'long 东方青色龙
'dong'fei'jia'e'hou'qiu'qiang 东飞鴐鹅后鹙鶬
'dong'feng'chui'jin'nan'feng'lai 东风吹尽南风来
'dong'feng'ying'lv'xi'nuan'qi'duo 东风应律兮暖气多
'dong'hai'lang'tao'tao 东海浪滔滔
'dong'jiao'ge'xi'feng'leng'ceng'yi'long'lin 洞胶葛兮峰棱层以龙鳞
'dong'jiao'jue'ci'qi'lin'bi 东郊绝此麒麟笔
'dong'ming'gao'zhi'xin'zuo 动鸣皋之新作
'dong'ren'li'bai 东人利百
'dong'ri'yan'ning 冬日严凝
'dong'ting'bo'qi'xi'hong'yan'xiang 洞庭波起兮鸿雁翔
'dong'wu'da'hai'xi'ying'ru'liao'shen 东骛大海兮萦如缭绅
'dong'xi'nan'bei'bai'li'jian 东西南北百里间
'dong'yan'zao'shi'qu'jin'mao 东岩凿石取金卯
'dong'you'xi'hai'li'shi'juan 东游西还力实倦
'dong'zhi'si'hou 栋之斯厚
'dong'zhuo'luan'tian'chang 董卓乱天常
'dou'hai'nei'ye 斗海内耶
'dou'niu'wu'bei'xi'min'wu'qi 斗牛无孛兮民无欺
'du'bu'wen'zhu'dao'jing 独不闻诸道经
'du'fei'liang 度飞梁
'du'fu'dong'shou'xing 杜甫冬狩行
'du'fu'qian'yuan'zhong'yu'ju 杜甫乾元中寓居
'du'fu'tao'zhu'zhang'yin 杜甫桃竹杖引
'du'fu'tian'yu'piao'qi'ge 杜甫天育骠骑歌
'du'fu'yan'shi'xi'fang'ge'xing 杜甫严氏溪放歌行
'du'fu'zhe'kan'xing 杜甫折槛行
'du'jin'shu'xi'yin'yu'jiang 读金书兮饮玉浆
'du'jue'zhi'shi'gan'yu'qiao 独觉志士甘渔樵
'du'ku'ji'yi 蠹枯及矣
'du'le'qi'shen 独乐其身
'du'ma'kun'nan'he'qi'duo 杜马困难何其多
'du'tong'can'bing'xia 毒痛参并下
'du'yang'hu'bei 读羊祜碑
'du'you'mo'yi'san'yue'xi 独幽默以三月兮
'du'zuo'shan'zhong'xi'dui'song'yue 独坐山中兮对松月
'duan'chang'li'luan 短长理乱
'duan'yi'shu'wan'bu'yan'jing 短衣数挽不掩胫
'dui'shu'su'xi'fei'wo'yi 对殊俗兮非我宜
'dui'xuan'cao'xi'you'bu'wang 对萱草兮忧不忘
'dun'fu'qi'xi'hui'yan'xing 顿复起兮毁颜形
'dun'kun'lun 敦昆仑
'e'e'shang'shang'xi'dan'ci'qu 峨峨汤汤兮弹此曲
'e'yu'diao'wei'zhuo'zhe'ju'ao'jiao 鳄鱼掉尾斫折巨鳌脚
'er'bu'wang'qi'guo 而不亡其国
'er'bu'zhi'qi'ci 而不知其慈
'er'bu'zhi'qi'gong 而不知其功
'er'chi'guan'zhi'chong'you 而池馆之崇幽
'er'dai'er'yun 二代而陨
'er'hu'mu'xi'ti'shi'sheng 儿呼母兮啼失声
'er'jing'ru'bi 二景如璧
'er'mo'wo'cong 尔莫我从
'er'qian'bao'wo'jing 儿前抱我颈
'er'qu'bu'hui 尔去不回
'er'shu'di 耳属地
'er'wu'si 尔勿嘶
'er'wu'ti 尔勿啼
'er'yang'bu'jia 而阳不加
'er'yi'fen'wei 二仪分位
'er'you'zui 尔有罪
'er'yue 二曰
'er'zhi'sheng'ye'shen'zheng'zhi 尔之生也甚正直
'er'zhi'yan'ran 尔之言然
'fa'cai'wei'ji 伐材尾箕
'fa'dang'zhu 法当诛
'fa'jiao'wai'zhong'mu 发郊外冢墓
'fa'jiao'wai'zhong'pi 发郊外冢甓
'fa'liang'yang'yu'shen'yi'shang 发梁扬羽申以商
'fa'shuai'ci'tou 发衰辞头
'fan'cang'lang'xi'bu'gui 泛沧浪兮不归
'fan'feng'ming'xiang 反风名香
'fan'lan'bu'zhi'xi'chou'wu'ren 泛滥不止兮愁吾人
'fan'qian'you'ba'bai'ri 凡千有八百日
'fan'san'qian'you'liu'bai'ri 凡三千有六百日
'fan'wo'tiao'mo'xi'cang'tai'shi 翻涡跳沫兮苍苔湿
'fan'yan'yun'zhuo'wu'yu'yi 燔焱熨灼无余遗
'fan'yi'yi 泛翊翊
'fan'zi'ran'xi'dao'ke'ming 返自然兮道可冥
'fang'fu'cu'ta'han'shan'kong 仿佛蹴踏寒山空
'fang'hui'hua'er'lan'mi 芳蕙华而兰靡
'fang'huo'mi'xi'yin'meng'long 芳靃蘼兮荫蒙茏
'fang'mi'mi'xi'lai'jian'jian 芳幂幂兮濑溅溅
'fang'yan'xuan 访岩轩
'fei'di'li'shu 废嫡立庶
'fei'fei'jian'shang'gao'gao'ge 飞飞渐上高高阁
'fei'fei'jing'zhan'jia'shu'lin 飞飞竞占嘉树林
'fei'gai'jun'wang 飞盖君王
'fei'lian'chui'sheng'hu'ji'zhu 蜚廉吹笙虎击筑
'fei'long'zai'tian 飞龙在天
'fei'meng'lin'ci'xi'zai'xia 飞甍鳞次兮在下
'fei'rou'da'jiu'tu'xiang'yao 肥肉大酒徒相要
'fei'shang'jiu'xiao'yun'mo'mo 飞上九霄云漠漠
'fei'tian'shen'wang'de'tian'di'zhao 飞天神王得天帝诏
'fei'wei'yin'he'xi'qi'teng'hong 霏微阴壑兮气腾虹
'fei'wu'yin'e 非无龂齶
'fei'xie 非邪
'fei'xin'gu'xi'shi'yi'yi 费心姑息是一役
'fei'yu'hu'yi'mang'mang 飞雨忽以茫茫
'fen'jin'wu'xi'tang'qian 纷进舞兮堂前
'fen'lv'wu 纷屡舞
'fen'qun'cui'zhi'hong'rong 纷群翠之鸿溶
'fen'yao'tiao'xi'yan'yi'pi'yi'peng'chi 纷窈窕兮岩倚披以鹏翅
'fen'zhi'a 汾之阿
'fen'zhou'yi'hui'qian'hou'hu 奋肘一挥前后呼
'feng'chen'hong'dong'xi'chai'hu'yao'ren 风尘澒洞兮豺虎咬人
'feng'chui'sheng'duan'tong'zi'zou 风吹绳断童子走
'feng'fei'ao'xiang'xi 凤飞翱翔兮
'feng'gu'fei'er'wu'lin 凤孤飞而无邻
'feng'hou'li'mu'de'qin'jian 风后力牧得亲见
'feng'huang'bu'de'wen'zui'gu 凤凰不得闻罪辜
'feng'huang'rong'zhong'cong'er'sui 凤凰容众从尔随
'feng'man'man'xi'bo'chang 风漫漫兮波长
'feng'niao'niao'xi'li'ping'liu 风袅袅兮离平流
'feng'niao'niao'xi'mu'fen'fen 风袅袅兮木纷纷
'feng'pai'huai'xi'liu'fang 风徘徊兮流芳
'feng'qi'qi'xi'ye'yu 风凄凄兮夜雨
'feng'rong'gui'shu'hua'man'shan 丰茸桂树花满山
'feng'se'se'xi'ye'cang'cang 风瑟瑟兮野苍苍
'feng'sheng'yun'qi 风生云起
'feng'shuang'lin'lin'xi'chun'xia'han 风霜凛凛兮春夏寒
'feng'wu'fu'ge 丰吾肤革
