'an'fu'zhi'zhi'shi 安抚制置使
'du'du'fu'gan'ban'gong'shi 都督府干办公事
'du'du'fu'hui'yi'ku 都督府回易库
'du'du'fu'sui'jun'yun'fu 都督府随军运副
'du'du'fu'sui'jun'zhuan'yun'fu'shi 都督府随军转运副使
'du'du'fu'sui'jun'zhuan'yun'pan'guan 都督府随军转运判官
'du'du'fu'sui'jun'zhuan'yun'shi 都督府随军转运使
'du'du'fu'zhu'guan'ji'yi'wen'zi 都督府主管机宜文字
'du'du'fu'zhu'guan'shu'xie'ji'yi'wen'zi 都督府主管书写机宜文字
'du'du'fu'zhun'bei'chai'qian 都督府准备差遣
'du'du'fu'zhun'bei'chai'shi 都督府准备差使
'du'du'fu'zi'yi'jun'shi 都督府谘议军事
'du'du'xing'fu 都督行府
'du'fu 督府
'du'hu 都护
'du'hu'fu 都护府
'du'jun 督军
'du'shi 督视
'du'shi'fu 督视府
'du'shi'jun'ma 督视军马
'du'shi'jun'ma'fu 督视军马府
'du'shi'jun'ma'fu'can'mou'jun'shi 督视军马府参谋军事
'du'tong 都统
'du'tong'si 都统司
'du'tong'si'lu 都统四路
'du'yi 督议
'dui'jiang 队将
'e'zhou'du'tong 鄂州都统
'e'zhou'jiang'ling'fu'zhu'zha'yu'qian'zhu'jun 鄂州江陵府驻扎御前诸军
'e'zhou'jiang'ling'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 鄂州江陵府驻扎御前诸军都统制
'e'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 鄂州驻扎御前诸军都统制
'e'zhou'zong'ling 鄂州总领
'fu'bu'shu 副部署
'fu'dou'zhi 副都制
'fu'du'tong 副都统
'fu'du'zong'guan 副度总管
'fu'jiang 副将
'fu'qian'xia 副钤辖
'fu'shi 副使
'fu'shuai 副帅
'fu'si 副司
'fu'xuan'fu 副宣抚
'fu'yu'guan 抚谕官
'fu'yu'shi 抚谕使
'fu'yuan'shuai 副元帅
'fu'zhu'zha'yu'qian'mou'jun 府驻扎御前某军
'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 府驻扎御前诸军都统制
'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si 府驻扎御前诸军都统制司
'fu'zong'guan 副总管
'gan'ban'guan 干办官
'guan'gou'ben'zhou'zhu'bo'bing'ma'gong'shi 管勾本州驻泊兵马公事
'guan'gou'jing'lue'an'fu'si'gong'shi 管勾经略安抚司公事
'guan'gou'jing'lue'si'wen'zi 管勾经略司文字
'guan'gou'yi'lu'bing'ma'qian'xia'si'shi 管勾一路兵马钤辖司事
'guan'gou'zi'kui'liang'lu'bing'ma'si'shi 管勾梓夔两路兵马司事
'guang'nan'dong'lu'jing'lue'an'fu'dou'zong'guan'si 广南东路经略安抚都总管司
'guang'nan'xi'lu'jing'lue'an'fu'dou'zong'guan'si 广南西路经略安抚都总管司
'he'bei'bing'ma'da'shuai'fu 河北兵马大帅府
'he'bei'bing'ma'da'yuan'shuai'fu 河北兵马大元帅府
'he'bei'bing'ma'da'yuan'shuai'fu'can'yi'guan 河北兵马大元帅府参议官
'he'bei'bing'ma'da'yuan'shuai'fu'sui'jun'ying'fu 河北兵马大元帅府随军应副
'he'bei'bing'ma'da'yuan'shuai'fu'tong'zhi 河北兵马大元帅府统制
'he'bei'bing'ma'fu'yuan'shuai 河北兵马副元帅
'he'bei'bing'ma'yuan'shuai 河北兵马元帅
'he'dong'lu'jing'lue'an'fu'dou'zong'guan'si 河东路经略安抚都总管司
'hu'bei'zong'ling'suo 湖北总领所
'hu'guang'zong'ling 湖广总领
'hu'guang'zong'ling'suo 湖广总领所
'hu'guang'zong'si 湖广总司
'huai'dong'zong'ling 淮东总领
'huai'dong'zong'ling'cai'fu 淮东总领财赋
'huai'dong'zong'ling'si 淮东总领司
'huai'dong'zong'ling'suo 淮东总领所
'huai'xi'jiang'dong'zong'ling 淮西江东总领
'huai'xi'zong'ling 淮西总领
'huai'xi'zong'ling'si 淮西总领司
'huai'xi'zong'ling'suo 淮西总领所
'huai'xi'zong'si 淮西总司
'huan'qing'lu'dou'zong'guan'jing'lue'an'fu'si 环庆路都总管经略安抚司
'ji'mi 机密
'ji'si 计司
'ji'tai 计台
'ji'yi 机宜
'ji'yi'wen'zi 机宜文字
'jian'bing'ma'jian'ya 监兵马监押
'jian'jun 监军
'jian'kang'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 建康府驻扎御前诸军都统制
'jian'kang'zong'ling 建康总领
'jian'ku 监库
'jian'ya 监押
'jiang'dong'zong'ling'suo 江东总领所
'jiang'fu 将副
'jiang'guan 将官
'jiang'huai'du'du'fu 江淮都督府
'jiang'huai'jing'zhe'du'du'fu 江淮荆浙都督府
'jiang'ling 将领
'jiang'ling'fu'du'tong 江陵府都统
'jiang'shang'zhu'jun 江上诸军
'jiang'shuai 将帅
'jiang'si 将司
'jiang'xi'jing'xi'hu'bei'zong'si 江西京西湖北总司
'jiang'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 江州驻扎御前诸军都统制
'jiang'zuo 将佐
'jie'shuai 节帅
'jin'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 金州驻扎御前诸军都统制
'jing'fu 经抚
'jing'fu'si 经抚司
'jing'gan 经干
'jing'lue 经略
'jing'lue'an'fu 经略安抚
'jing'lue'an'fu'dou'zong'guan'si 经略安抚都总管司
'jing'lue'an'fu'dou'zong'guan'si'guan'gou'ji'yi'wen'zi 经略安抚都总管司管勾机宜文字
'jing'lue'an'fu'dou'zong'guan'si'shu'xie'ji'yi'wen'zi 经略安抚都总管司书写机宜文字
'jing'lue'an'fu'fu'shi 经略安抚副使
'jing'lue'an'fu'shi 经略安抚使
'jing'lue'an'fu'shi'jian'ma'bu'dou'zong'guan 经略安抚使兼马步都总管
'jing'lue'an'fu'shi'jian'ma'bu'jun'dou'bu'shu 经略安抚使兼马步军都部署
'jing'lue'an'fu'shi'jian'ma'bu'jun'dou'zong'guan 经略安抚使兼马步军都总管
'jing'lue'an'fu'shi'si 经略安抚使司
'jing'lue'an'fu'shi'si'guan'gou'ji'yi'wen'zi 经略安抚使司管勾机宜文字
'jing'lue'an'fu'shi'si'pan'guan 经略安抚使司判官
'jing'lue'an'fu'shi'si'zhun'bei'chai'shi 经略安抚使司准备差使
'jing'lue'an'fu'shi'si'zhun'bei'zhi'shi 经略安抚使司准备指使
'jing'lue'an'fu'si 经略安抚司
'jing'lue'an'fu'si'can'yi'guan 经略安抚司参议官
'jing'lue'an'fu'si'gou'dang'gong'shi 经略安抚司勾当公事
'jing'lue'an'fu'yan'bian'zhao'tao'shi 经略安抚沿边招讨使
'jing'lue'an'fu'zhao'tao'shi 经略安抚招讨使
'jing'lue'an'fu'zhi'zhi'shi 经略安抚制置使
'jing'lue'an'fu'zhi'zhi'shi'si 经略安抚制置使司
'jing'lue'fu'shi 经略副使
'jing'lue'pan'guan 经略判官
'jing'lue'shi 经略使
'jing'lue'shi'si 经略使司
'jing'lue'si 经略司
'jing'lue'si'zhi'shi 经略司指使
'jing'lue'zhao'tao'si 经略招讨司
'jing'lue'zhi'zhi'shi 经略制置使
'jing'lue'zhi'zhi'si 经略制置司
'jing'nan'fu'zhu'zha'yu'qian'zhu'jun'fu'du'tong'zhi 荆南府驻扎御前诸军副都统制
'jing'shuai 经帅
'jing'si 经司
'jing'yuan'lu'dou'zong'guan'jing'lue'an'fu'si 泾原路都总管经略安抚司
'jing'zhi 经制
'jing'zhi'fu'shi 经制副使
'jing'zhi'shi 经制使
'jing'zhi'si 经制司
'jing'zhi'si'gan'ban'gong'shi 经制司干办公事
'jun'bing'ma'jian'ya 军兵马监押
'jun'jian'ya 军监押
'jun'jiang 军将
'jun'zong'guan 郡总管
'li'zhou'zhu'zha'yu'qian'zhu'jun'fu'du'tong'zhi 利州驻扎御前诸军副都统制
'lian'fang 廉访
'lian'fang'shi 廉访使
'lian'fang'shi'zhe 廉访使者
'lian'fang'suo 廉访所
'ling'yu'qian'zhu'jun'dou'tong'zhi'shi 领御前诸军都统制事
'long'you'du'hu 陇右都护
'lu'bing'ma'dou'qian'xia'si 路兵马都钤辖司
'lu'dou'jian 路都监
'lu'fen 路分
'lu'fen'bing'ma'dou'jian 路分兵马都监
'lu'fen'bing'ma'fu'dou'jian 路分兵马副都监
'lu'fen'bing'ma'qian'xia 路分兵马钤辖
'lu'fen'dou'jian 路分都监
'lu'fen'dou'qian'xia'si 路分都钤辖司
'lu'fen'jun'bu'jun'zong'guan 路分军步军总管
'lu'fen'ma'bu'jun'bu'shu 路分马步军部署
'lu'fen'qian'xia 路分钤辖
'lu'qian 路钤
'lu'qian'xia 路钤辖
'lu'yan'lu'dou'zong'guan'jing'lue'an'fu'si 鄜延路都总管经略安抚司
'lu'zhu'bo'bing'ma'dou'jian 路驻泊兵马都监
'ma'bu'jun'dou'bu'shu 马步军都部署
'ma'bu'jun'dou'zong'guan 马步军都总管
'ma'bu'jun'fu'bu'shu 马步军副部署
'ma'bu'jun'fu'dou'bu'shu 马步军副都部署
'ma'bu'jun'fu'dou'zong'guan 马步军副都总管
'ma'bu'jun'fu'zong'guan 马步军副总管
'mian'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 沔州驻扎御前诸军都统制
'mou'jun'di'mou'zheng'jiang 某军第某正将
'mou'lu'mou'si'zou'ma'cheng'shou'gong'shi 某路某司走马承受公事
'mou'yi'guan 谋议官
'nan'du 南都
'nan'du'dou'zong'guan 南都都总管
'nan'du'zong'guan 南都总管
'pai'zhen'shi 排阵使
'pan'guan 判官
'pi'jiang 裨将
'pian'bi 偏裨
'qian'xia 钤辖
'qian'xia'bing'ma 钤辖兵马
'qian'xia'si 钤辖司
'qin'feng'lu'jing'lue'an'fu'dou'zong'guan'si 秦凤路经略安抚都总管司
'quan'qian'shu'jing'lue'an'fu'pan'guan'gong'shi 权签书经略安抚判官公事
'rong'si 戎司
'ru'jiang 儒将
'shan'xi'dou'da'guan'gou'zou'ma'cheng'shou'gong'shi 陕西都大管勾走马承受公事
'shan'xi'jing'lue'an'fu'zhao'tao 陕西经略安抚诏讨
'shan'xi'tong'jing'lue'an'fu'zhao'tao'shi 陕西同经略安抚招讨使
'shan'xi'yan'bian'jing'lue'an'fu'zhao'tao'si 陕西沿边经略安抚招讨司
'shan'xi'zhao'tao 陕西诏讨
'shi'dou'tong'zhi 十都统制
'shi'si 使司
'shi'wu'guan 事务官
'shi'zhe 使者
'shu'xie'wen'zi 书写文字
'shu'xie'xuan'fu'si'ji'mi'wen'zi 书写宣抚司机密文字
'shuai'chen 帅臣
'shuai'fu 帅府
'shuai'si 帅司
'si'chuan'xuan'zhi'si 四川宣制司
'si'chuan'xuan'zong'si 四川宣总司
'si'chuan'zhu'jun 四川诸军
'si'chuan'zong'ling 四川总领
'si'chuan'zong'ling'suo 四川总领所
'si'chuan'zong'ling'suo'yu'guan'qian'ting 四川总领所鱼关签厅
'si'chuan'zong'zhi'si 四川总制司
'si'dao'dou'zong'guan 四道都总管
'si'dao'dou'zong'guan'fu 四道都总管府
'si'dao'fu'zong'guan 四道副总管
'si'fu'jun'dou'zong'guan 四辅郡都总管
'si'lu'zhao'tao'shi 四路招讨使
'si'tun'zhu'da'jun 四屯驻大军
'si'zong 四总
'si'zong'guan 四总管
'si'zong'ling 四总领
'si'zong'ling'suo 四总领所
'sui'jun'cao'chen 随军漕臣
'sui'jun'zhuan'yun 随军转运
'ti'ju'yi'hang'shi'wu 提举一行事务
'tian'xia'bing'ma'da'yuan'shuai'fu 天下兵马大元帅府
'tong'dou'xun'jian'shi 同都巡检使
'tong'du'du 同都督
'tong'ling 统领
'tong'long'you'du'hu 同陇右都护
'tong'shuai 统帅
'tong'shuai'fu 统帅府
'tong'xun'jian 同巡检
'tong'xun'jian'shi 同巡检使
'tong'xun'jian'si 同巡检司
'tong'xun'si 同巡司
'tong'zhi'guan 统制官
'tong'zong'ling 同总领
'tou'ling 头领
'wu'si'ting 五司厅
'xi'dao 西道
'xi'dao'dou'zong'guan 西道都总管
'xi'dao'du'tong 西道都统
'xi'dao'fu'zong'guan 西道副总管
'xi'dao'zong'guan 西道总管
'xian'bing'ma'dou'jian 县兵马都监
'xian'bing'ma'jian'ya 县兵马监押
'xing'fu 行府
'xing'ying'bing'ma'dou'jian 行营兵马都监
'xing'ying'dou'bu'shu 行营都部署
'xing'ying'dou'jian 行营都监
'xing'ying'ma'bu'jun'dou'jian 行营马步军都监
'xing'ying'ma'bu'jun'zhan'zhao'dou'bu'shu 行营马步军战棹都部署
'xing'yuan'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 兴元府驻扎御前诸军都统制
'xu'pu'zhu'zha'yu'qian'shui'jun'dou'tong'zhi 许浦驻扎御前水军都统制
'xuan'can 宣参
'xuan'fu 宣副
'xuan'fu 宣抚
'xuan'fu'chu'zhi'fu'shi 宣抚处置副使
'xuan'fu'chu'zhi'shi 宣抚处置使
'xuan'fu'chu'zhi'shi'si 宣抚处置使司
'xuan'fu'chu'zhi'shi'si'can'mou'guan 宣抚处置使司参谋官
'xuan'fu'chu'zhi'shi'si'can'yi'guan 宣抚处置使司参议官
'xuan'fu'chu'zhi'shi'si'dou'tong'zhi 宣抚处置使司都统制
'xuan'fu'chu'zhi'shi'si'gan'ban'gong'shi 宣抚处置使司干办公事
'xuan'fu'chu'zhi'shi'si'sui'jun'zhuan'yun'shi 宣抚处置使司随军转运使
'xuan'fu'chu'zhi'shi'si'zhu'guan'ji'yi'wen'zi 宣抚处置使司主管机宜文字
'xuan'fu'da'shi 宣抚大使
'xuan'fu'fu'shi 宣抚副使
'xuan'fu'fu'shi'si 宣抚副使司
'xuan'fu'fu'shi'si'can'zan'jun'shi 宣抚副使司参赞军事
'xuan'fu'pan'guan 宣抚判官
'xuan'fu'shi 宣抚使
'xuan'fu'shi'si 宣抚使司
'xuan'fu'shi'si'can'mou'guan 宣抚使司参谋官
'xuan'fu'shi'si'can'yi'guan 宣抚使司参议官
'xuan'fu'shi'si'gan'ban'gong'shi 宣抚使司干办公事
'xuan'fu'shi'si'gou'dang'gong'shi 宣抚使司勾当公事
'xuan'fu'shi'si'shu'xie'ji'yi'wen'zi 宣抚使司书写机宜文字
'xuan'fu'shi'si'ti'ju'yi'hang'shi'wu 宣抚使司提举一行事务
'xuan'fu'shi'si'tong'ti'ju'yi'hang'shi'wu 宣抚使司同提举一行事务
'xuan'fu'shi'si'zhu'guan'ji'yi'wen'zi 宣抚使司主管机宜文字
'xuan'fu'si 宣抚司
'xuan'ji 宣机
'xuan'pan 宣判
'xuan'shi 宣使
'xuan'si 宣司
'xuan'tai 宣台
'xuan'xiang 宣相
'xuan'yu'guan 宣谕官
'xuan'yu'shi 宣谕使
'xuan'yu'shi'si 宣谕使司
'xuan'yu'si 宣谕司
'xuan'zong'si 宣总司
'xun'bu'guan 巡捕官
'xun'jian 巡检
'xun'jian'shi 巡检使
'xun'jian'shi'chen 巡检使臣
'xun'jian'si 巡检司
'xun'jing 巡警
'xun'lian'guan 训练官
'xun'si 巡司
'xun'zhuo'si'cha'yan'zei'dao 巡捉私茶盐贼盗
'xun'zhuo'si'cha'zei 巡捉私茶贼
'ya'dui 押队
'ya'dui'shi'chen 押队使臣
'yan'bian'zhao'tao'shi 沿边招讨使
'yan'hai'zhi'zhi'shi 沿海制置使
'yan'hai'zhi'zhi'shi'si 沿海制置使司
'yan'hai'zhi'zhi'si 沿海制置司
'yan'jiang'fu'si 沿江副司
'yan'jiang'shui'jun'zhi'zhi'fu'shi'si 沿江水军制置副使司
'yan'jiang'shui'jun'zhi'zhi'shi 沿江水军制置使
'yan'jiang'shui'jun'zhi'zhi'shi'si 沿江水军制置使司
'yan'jiang'zhi'fu 沿江制副
'yan'jiang'zhi'kun 沿江制阃
'yan'jiang'zhi'si 沿江制司
'yan'jiang'zhi'zhi'shi 沿江制置使
'yi'guan 议官
'yu'qian'dou'tong'zhi 御前都统制
'yu'qian'du'tong'si'jun'ji'yi'xia'jiu'deng'tong'bing'guan 御前都统司军级以下九等统兵官
'yu'qian'du'tong'si'mu'liao 御前都统司幕僚
'yu'qian'mou'jun'di'mou'jiang 御前某军第某将
'yu'qian'mou'jun'di'mou'jiang'fu'jiang 御前某军第某将副将
'yu'qian'mou'jun'di'mou'jiang'zheng'jiang 御前某军第某将正将
'yu'qian'mou'jun'dou'tong'zhi 御前某军都统制
'yu'qian'mou'jun'fu'tong'ling 御前某军副统领
'yu'qian'mou'jun'fu'tong'zhi 御前某军副统制
'yu'qian'mou'jun'mou'jiang'zhun'bei'jiang 御前某军某将准备将
'yu'qian'mou'jun'tong'fu'tong'zhi 御前某军同副统制
'yu'qian'mou'jun'tong'ling 御前某军统领
'yu'qian'mou'jun'tong'tong'ling 御前某军同统领
'yu'qian'mou'jun'tong'tong'zhi 御前某军同统制
'yu'qian'mou'jun'tong'zhi 御前某军统制
'yu'qian'zhu'jun'fu'du'tong'zhi 御前诸军副都统制
'yu'qian'zhu'jun'fu'du'tong'zhi'si 御前诸军副都统制司
'yuan'shuai 元帅
'yuan'shuai'fu 元帅府
'zai'cheng'bing'ma'qian'xia 在城兵马钤辖
'zhai'bing'ma'jian'ya 寨兵马监押
'zhao'an'shi 诏安使
'zhao'fu 招抚
'zhao'fu'fu'shi 招抚副使
'zhao'fu'pan'guan 招抚判官
'zhao'fu'shi 招抚使
'zhao'fu'shi'si 招抚使司
'zhao'fu'shi'si'can'mou'guan 招抚使司参谋官
'zhao'fu'shi'si'dou'tong'zhi 招抚使司都统制
'zhao'fu'shi'si'tong'ling 招抚使司统领
'zhao'fu'shi'si'tong'zhi 招抚使司统制
'zhao'fu'shi'si'zhun'bei'jiang'ling 招抚使司准备将领
'zhao'fu'si 招抚司
'zhao'tao 招讨
'zhao'tao 诏讨
'zhao'tao'shi 招讨使
'zhao'tao'shi'si 招讨使司
'zhen'bing'ma'jian'ya 镇兵马监押
'zhen'fu 镇抚
'zhen'fu'shi 镇抚使
'zhen'fu'shi'si 镇抚使司
'zhen'fu'shi'si'can'yi'guan 镇抚使司参议官
'zhen'fu'shi'si'cuo'zhi'ying'tian'guan 镇抚使司措置营田官
'zhen'fu'shi'si'gan'ban'gong'shi 镇抚使司干办公事
'zhen'fu'shi'si'shu'xie'ji'yi'wen'zi 镇抚使司书写机宜文字
'zhen'fu'shi'si'tong'ling'guan 镇抚使司统领官
'zhen'fu'shi'si'tong'zhi'guan 镇抚使司统制官
'zhen'fu'shi'si'zhu'guan'ji'yi'wen'zi 镇抚使司主管机宜文字
'zhen'fu'si 镇抚司
'zhen'jiang'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 镇江府驻扎御前诸军都统制
'zhen'jiang'zong'ling 镇江总领
'zheng'jiang 正将
'zheng'ren'zong'guan 正任总管
'zhi'fu 制副
'zhi'fu 制府
'zhi'gan 制干
'zhi'ji 制机
'zhi'kun 制阃
'zhi'shi 制使
'zhi'shi 置使
'zhi'shuai 制帅
'zhi'si 制司
'zhi'si 置司
'zhi'yuan 制垣
'zhi'zhi 制置
'zhi'zhi'da'shi 制置大使
'zhi'zhi'da'shi'si 制置大使司
'zhi'zhi'fu'shi 制置副使
'zhi'zhi'fu'shi'si 制置副使司
'zhi'zhi'shi 制置使
'zhi'zhi'shi'si 制置使司
'zhi'zhi'si 制置司
'zhong'jun'jiang 中军将
'zhou'bing'ma'bu'shu 州兵马部署
'zhou'bing'ma'dou'jian 州兵马都监
'zhou'bing'ma'jian'ya 州兵马监押
'zhou'bing'ma'qian'xia 州兵马钤辖
'zhou'bing'ma'zong'guan 州兵马总管
'zhou'dou'jian 州都监
'zhou'qian 州钤
'zhou'qian'ting 州钤厅
'zhou'qian'xia 州钤辖
'zhou'zhu'bo'bing'ma'dou'jian 州驻泊兵马都监
'zhou'zhu'bo'dou'jian 州驻泊都监
'zhou'zhu'zha'yu'qian'mou'jun 州驻扎御前某军
'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi 州驻扎御前诸军都统制
'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si 州驻扎御前诸军都统制司
'zhu'bo'bing'ma'qian'xia 驻泊兵马钤辖
'zhu'bo'dou'bu'shu 驻泊都部署
'zhu'bo'dou'jian 驻泊都监
'zhu'bo'qian'xia 驻泊钤辖
'zhu'bo'xun'jian 驻泊巡检
'zhu'guan'ji'mi 主管机密
'zhu'guan'jing'lue'an'fu'si'gong'shi 主管经略安抚司公事
'zhu'guan'zhen'fu'si'gong'shi 主管镇抚司公事
'zhu'guan'zi'kui'liang'lu'bing'ma'si'shi 主管梓夔两路兵马司事
'zhu'jun'dou'tong'zhi 诸军都统制
'zhu'lu'jun'ma'du'du'fu 诸路军马都督府
'zhu'lu'jun'shi'du'du'fu 诸路军事都督府
'zhu'lu'jun'shi'du'du'xing'fu 诸路军事都督行府
'zhu'shuai 主帅
'zhuan'yun'si'cheng'shou'gong'shi 转运司承受公事
'zi'yi 谘议
'zi'yi'jun'shi 谘议军事
'zong'fu 总赋
'zong'gan 总干
'zong'guan'si 总管司
'zong'ji 总计
'zong'ling 总领
'zong'ling'guan 总领官
'zong'ling'hai'chuan'suo 总领海船所
'zong'ling'hu'bei 总领湖北
'zong'ling'huai'xi 总领淮西
'zong'ling'huai'xi'jiang'dong'jun'ma'qian'liang'suo 总领淮西江东军马钱粮所
'zong'ling'si 总领司
'zong'ling'si'chuan'cai'fu'jun'ma'qian'liang'suo 总领四川财赋军马钱粮所
'zong'ling'suo 总领所
'zong'qing 总卿
'zong'shu 总属
'zong'si 总司
'zong'suo 总所
'zong'xia 总辖
'zong'xiang 总饷
'zong'yu 总庾
'zou'ma 走马
'zou'ma'cheng'shou 走马承受
'zou'ma'cheng'shou'gong'shi 走马承受公事
'zou'ma'cheng'shou'gong'shi'nei'chen 走马承受公事内臣
'zou'ma'cheng'shou'gong'shi'shi'chen 走马承受公事使臣
'zun'yi'zhai'bing'ma'jian'ya 遵义寨兵马监押
