'an'er'beng 氨二泵
'dan'qi'ya'li'zhu'guan 氮气压力贮罐
'dan'qi'ya'suo'ji 氮气压缩机
'dan'san'duan 氮三段
'dan'si'duan 氮四段
'dan'ya'ji 氮压机
'dan'ye 氮液
'dan'ye'zheng'liu'ta 氮液蒸馏塔
'dan'yi'duan 氮一段
'dao'ban 倒班
'deng'qing'tong 澄清桶
'di'bao 低报
'di'bian'fei'guo 低变废锅
'di'bian'fei're'guo'lu 低变废热锅炉
'di'bian'lu 低变炉
'di'bian'qi 低变气
'di'bian'qi'fen'li'qi 低变气分离器
'di'bian'qi'zai'fei'qi 低变气再沸器
'di'di'bao 低低报
'di'wen'bian'huan'lu 低温变换炉
'di'xia'cao'beng 地下槽泵
'di'ya'xi'an'beng 低压洗氨泵
'di'ya'xi'an'ta 低压洗氨塔
'di'ya'zheng'qi 低压蒸汽
'dian'ce 电测
'dian'ci'fa 电磁阀
'dian'dao'yi 电导仪
'dian'huo'tiao'jie'fa 点火调节阀
'dian'huo'zhuang'zhi 点火装置
'dian'jia're'qi 电加热器
'dian'qi 电气
'dian'qi'che'jian 电气车间
'dian'qi'gong'cheng'shi 电气工程师
'dian'yuan'gui 电源柜
'dian'zi'ce'liang'yu'yi'qi 电子测量与仪器
'diao'du'chang 调度长
'diao'du'shi 调度室
'die'fa 蝶阀
'duan'shao 煅烧
'duan'shao'lou 煅烧楼
'duan'shao'lu 煅烧炉
'duan'zi'ban 端子板
'duan'zi'ban'gui 端子板柜
'duan'zi'gui 端子柜
'duan'zi'hao 端子号
'dun'dai 吨袋
'dun'dai'bao'zhuang 吨袋包装
'er'an'fen 二氨分
'er'an'leng 二氨冷
'er'ci'feng'ji 二次风机
'er'ci'feng'men 二次风门
'er'duan'lu 二段炉
'er'duan'lu'jin'kou'bao'hu'zheng'qi 二段炉进口保护蒸汽
'er'duan'zhuan'huan'lu 二段转换炉
'er'guo'cheng 二过程
'er'yang'hua'tan'fen'xi'yi 二氧化碳分析仪
'er'yang'hua'tan'leng'que'qi 二氧化碳冷却器
'er'yang'hua'tan'ya'suo'ji 二氧化碳压缩机
'fan'chui 反吹
'fan'shen'tou 反渗透
'fan'shen'tou'gao'ya'beng 反渗透高压泵
'fan'shen'tou'zeng'ya'beng 反渗透增压泵
'fang'an'fa 放氨阀
'fang'kong'fa 放空阀
'fei'dan'ye 废氮液
'fei'dan'ye'beng 废氮液泵
'fei'fan'ruan'jian 霏凡软件
'fei'guo 废锅
'fei're'guo'lu 废热锅炉
'fei'teng'gan'an'lu 沸腾干铵炉
'fei'xi'er 费希尔
'fen'li'ye 分离液
'fen'li'ye'chen'dian'beng 分离液沉淀泵
'fen'li'ye'tong 分离液桶
'fen'liu'ta 分馏塔
'fen'pei'cao 分配槽
'fen'san'ji'rong'jie'cao 分散剂溶解槽
'fen'san'ji'rong'ye'beng 分散剂溶液泵
'fen'sui'ji 粉碎机
'fen'zi'shai 分子筛
'fen'zi'shai'xi'fu'qi 分子筛吸附器
'feng'ji 风机
'feng'men'tiao'jie'fa 风门调节阀
'feng'ya 风压
'fu'cao 副操
'fu'dian'ji 附电机
'fu'yang 富氧
'fu'yang'jia're'lu 富氧加热炉
'fu'ye 富液
'fu'ye'cao 富液槽
'fu'ye'shan'zheng'cao 富液闪蒸槽
'fu'ye'yu're'qi 富液预热器
'fu'zhu'chu'dian 辅助触点
'gan'an 干铵
'gan'an'lou 干铵楼
'gan'an'lu 干铵炉
'gao'bao 高报
'gao'gao'bao 高高报
'gao'ya'beng 高压泵
'gao'ya'xi'an'beng 高压洗氨泵
'gao'ya'zheng'qi 高压蒸汽
'ge'li'shan 隔离栅
'gei'mei'ji 给煤机
'gong'cheng'tong'jing 公称通径
'gong'ju'gui 工具柜
'gong'yi 工艺
'gong'yi'kong'qi 工艺空气
'gong'yi'leng'ning'ye 工艺冷凝液
'gong'yi'leng'ning'ye'beng 工艺冷凝液泵
'gong'yi'leng'ning'ye'qi'ti'ta 工艺冷凝液气提塔
'gong'yi'tian'ran'qi 工艺天然气
'gong'yi'yang'qi 工艺氧气
'gong'ying'bu 供应部
'gu'feng'ji 鼓风机
'gu'ge'ci'ku 谷歌词库
'guang'hai'she'qu 广海社区
'guo'lu'fang 锅炉房
'guo'lu'ji'shui 锅炉给水
'guo'lu'shang'shui 锅炉上水
'guo'lu'shang'shui'tiao'jie'fa 锅炉上水调节阀
'guo'lu'xun'huan'shui'beng 锅炉循环水泵
'guo'lu'ya'li 锅炉压力
'guo'lv'qi 过滤器
'han'gong'ban 焊工班
'he'bang 和邦
'he'bang'fang'fu'dui 和邦防腐队
'he'bang'hua'gong'gong'si 和邦化工公司
'he'bang'ji'tuan 和邦集团
'he'bang'shun'cheng'yan'ye'you'xian'gong'si 和邦顺城盐业有限公司
'he'bang'tou'zi'ji'tuan'you'xian'gong'si 和邦投资集团有限公司
'he'bang'tou'zi'ji'tuan'you'xian'gong'si'hua'gong'gong'si 和邦投资集团有限公司化工公司
'he'cheng 合成
'he'cheng'an 合成氨
'he'cheng'fei'guo 合成废锅
'he'cheng'fen'chang 合成分厂
'he'cheng'jie'qu 合成界区
'he'cheng'kai'gong'jia're'lu 合成开工加热炉
'he'cheng'pei'dian'ban 合成配电班
'he'cheng'pei'dian'fang 合成配电房
'he'cheng'pian'qu 合成片区
'he'cheng'qi 合成气
'he'cheng'qi'ji'shui'yu're'qi 合成气给水预热器
'he'cheng'shui'leng'qi 合成水冷器
'he'cheng'ta 合成塔
'he'li'shi 和利时
'he'zi'cheng 核子秤
'heng'he'chuan'yi 横河川仪
'hou'jie'fa 后截阀
'hua'ba'yuan 化八院
'hua'he'shui 化合水
'hua'he'shui'leng'que'qi 化合水冷却器
'hua'huan'feng'ji 滑环风机
'hua'shui 化水
'hua'shui'zhan 化水站
'huan'an'bu 环安部
'huan'bao'an'quan'bu 环保安全部
'huan'chong'guan 缓冲罐
'huan're'guan 换热管
'huang'he'zhi'yang 黄河制氧
'hui'dou 灰斗
'hui'shou'ta 回收塔
'hui'shou'tong 回收桶
'hun'he'qi'er'duan 混合器二段
'hun'he'qi'san'duan 混合气三段
'hun'he'qi'si'duan 混合气四段
'hun'he'qi'ya'suo'ji 混合气压缩机
'hun'he'qi'yi'duan 混合气一段
'huo'ni'wei'er 霍尼韦尔
'ji'he'cao 集合槽
'ji'hui'guan 集灰罐
'ji'liang'shi 计量室
'ji'san'kong'zhi'xi'tong 集散控制系统
'ji'shui'tiao'jie'fa 给水调节阀
'ji'suan'ji'ban 计算机班
'ji'xie'guo'lv'qi 机械过滤器
'ji'you'qi 集油器
'jia'er'huan 甲二换
'jia'er'huan're'qi 甲二换热器
'jia'liao'dou 加料斗
'jia'liao'qi 加料器
'jia're'lu 加热炉
'jia'tao'shui 夹套水
'jia'tao'shui'beng 夹套水泵
'jia'tao'shui'zhu'shui'cao 夹套水贮水槽
'jia'wan'hua 甲烷化
'jia'wan'hua'fen'li'qi 甲烷化分离器
'jia'wan'hua'huan're'qi 甲烷化换热器
'jia'wan'hua'lu 甲烷化炉
'jia'wan'qi'fen'li'qi 甲烷气分离器
'jia'yi'huan 甲一换
'jia'yi'huan're'qi 甲一换热器
'jian'cang 碱仓
'jian'che 碱车
'jian'chen 碱尘
'jian'duan'pai'wu'guan 间断排污罐
'jian'ku 碱库
'jian'pi'dai 碱皮带
'jian'shai 碱筛
'jian'shi'qi 监视器
'jiao'fa 角阀
'jiao'liu'ji'dian'qi 交流继电器
'jiao'tan'cang 焦炭仓
'jiao'tan'cheng 焦炭称
'jiao'tan'jia'liao'qi 焦炭加料器
'jie'ban 接班
'jie'chu'lian'suo 解除联锁
'jie'qu 界区
'jie'xian'zhu 接线柱
'jin'chu'ta'yu're'qi 进出塔预热器
'jin'ji'ting'che 紧急停车
'jin'ji'ting'che'an'niu 紧急停车按钮
'jin'ji'ting'che'fang'an 紧急停车方案
'jin'kou'fa 进口阀
'jin'liao'fa 进料阀
'jin'liao'jiao'long 进料蛟龙
'jin'qi'fa 进气阀
'jing'dian'chu'chen 静电除尘
'jing'hua'qi 净化气
'jing'hua'qi'fen'li'qi 净化器分离器
'jing'hua'qi'fen'li'qi 净化气分离器
'jing'hua'qi'leng'que'qi 净化气冷却器
'jing'shui'zhan 静水站
'jing'xiang'chu'mei'ceng 径向触媒层
'juan'yang'ji 卷扬机
'ka'jian 卡件
'kai'feng'ya'suo'ji 开封压缩机
'kai'gong'jia're'lu 开工加热炉
'kai'gong'shao'zui 开工烧嘴
'kai'guan'liang'shu'chu'mo'kuai 开关量输出模块
'kai'guan'liang'shu'ru'mo'kuai 开关量输入模块
'kong'er'duan 空二段
'kong'fen 空分
'kong'fen'gang'wei 空分岗位
'kong'fen'ta 空分塔
'kong'qi'fa'san'xiao'yin'qi 空气发散消音器
'kong'qi'fen'liu'ta 空气分馏塔
'kong'qi'huan'chong'qi 空气缓冲器
'kong'qi'jia're'qi 空气加热器
'kong'qi'pen'she'zheng'fa'qi 空气喷射蒸发器
'kong'qi'ya'suo'ji 空气压缩机
'kong'san'duan 空三段
'kong'si'duan 空四段
'kong'ya'ji 空压机
'kong'ya'ji'fang'kong 空压机放空
'kong'ya'ji'hou'leng'que'qi 空压机后冷却器
'kong'yi'duan 空一段
'ku'fang'ban 库房班
'kuai'guan'fa 快关阀
'la'gou'luo'shuan 拉钩螺栓
'le'shan 乐山
'le'shan'he'bang'ji'tuan 乐山和邦集团
'le'shan'tian'ran'qi'hua'gong'gong'si 乐山天然气化工公司
'le'shan'wu'tong 乐山五通
'leng'an'beng 冷氨泵
'leng'dong'ji 冷冻机
'leng'jiao 冷交
'leng'jiao'huan'qi 冷交换器
'leng'ning'ye'tong 冷凝液桶
'leng'ning'ye'zhu'cao 冷凝液贮槽
'leng'xi 冷析
'leng'xi'chou'hou'qi 冷析稠厚器
'leng'xi'jie'jing'qi 冷析结晶器
'leng'xi'tong 冷析桶
'leng'xi'zhou'liu'beng 冷析轴流泵
'li'xin'ji 离心机
'li'xin'lv'an'ji 离心滤铵机
'li'xin'lv'ye'beng 离心滤液泵
'li'xin'lv'ye'tong 离心滤液桶
'li'xin'shi'ya'suo'ji 离心式压缩机
'lian'he'ya'suo'ji 联合压缩机
'lian'jian 联碱
'lian'jian'fen'chang 联碱分厂
'lian'jian'pei'dian'ban 联碱配电班
'lian'suo 联锁
'lian'xu'pai'wu'guan 连续排污罐
'liang'jian'ji 凉碱机
'liao'cang 料仓
'lin'suan'yan'beng 磷酸盐泵
'liu'hua 流化
'liu'hua'na'gao'wei'cao 硫化钠高位槽
'liu'hua'na'rong'jie'cao 硫化钠溶解槽
'liu'liang 流量
'liu'liang'bian'song'qi 流量变送器
'long'jing'jing'dian'chu'chen 龙静静电除尘
'lu'qi 炉气
'lu'qi'fen'li'qi 炉气分离器
'lu'qi'leng'ning'qi 炉气冷凝器
'lu'qi'xi'di'ta 炉气洗涤塔
'luo'si'meng'te 罗斯蒙特
'lv'an 滤氨
'lv'an'bao'zhuang 氯铵包装
'lv'an'ye'beng 滤氨液泵
'lv'an'ye'tong 滤氨液桶
'lv'hua'an'li'xin'ji 氯化铵离心机
'lv'hua'an'pi'dai 氯化铵皮带
'lv'jian'ji 滤碱机
'lv'ye'beng 滤液泵
'lv'ye'tong 滤液桶
'mo'fen'li'qi 膜分离器
'mo'hui'shou 膜回收
'mo'ni'liang'shu'chu'mo'kuai 模拟量输出模块
'mo'ni'liang'shu'ru'mo'kuai 模拟量输入模块
'mu'huan 母换
'mu'ma'yi'ruan'jian 木蚂蚁软件
'mu'ye 母液
'mu'ye'beng 母液泵
'mu'ye'deng'qing'tong 母液澄清桶
'mu'ye'huan're'qi 母液换热器
'mu'ye'hui'shou'beng 母液回收泵
'mu'ye'hui'shou'tong 母液回收桶
'mu'ye'yi'beng 母液一泵
'mu'ye'yi'chen'dian'beng 母液一沉淀泵
'ni'liu'beng 逆流泵
'niu'hua 牛华
'niu'hua'yan'chang 牛华盐厂
'niu'hua'zhen 牛华镇
'nong'shui 浓水
'ou'mu'long 欧姆龙
'pai'wu'fa 排污阀
'pai'wu'gou 排污沟
'pai'wu'guan 排污罐
'pai'wu'leng'que'qi 排污冷却器
'pan'che'qi 盘车器
'pao'mao'di'lou 跑冒滴漏
'pei'qi'zhan 配气站
'peng'zhang'luo'shuan 膨胀螺栓
'pi'dai'cheng 皮带秤
'pin'ye 贫液
'pin'ye'beng 贫液泵
'pin'ye'zai'sheng'du 贫液再生度
'qi'bao 汽包
'qi'bao'shang'shui'tiao'jie'fa 汽包上水调节阀
'qi'bao'ye'wei 汽包液位
'qi'bi'fa 气闭阀
'qi'dong'fa 气动阀
'qi'guan'fa 气关阀
'qi'hua'jian 七化建
'qi'kai'fa 气开阀
'qi'li'shu'hui 气力输灰
'qi'ti'ta 气提塔
'qi'ting 起停
'qi'xiang 气相
'qi'ye'fen'li'qi 气液分离器
'qian'gong'ban 钳工班
'qian'hou'jie'zhi'fa 前后截止阀
'qian'jie'fa 前截阀
'qiao'jia 桥架
'qiao'shi'diao'che 桥式吊车
'qing'dan 氢氮
'qing'dan'bi 氢氮比
'qing'dan'fen'xi 氢氮分析
'qing'dan'fen'xi'yi 氢氮分析仪
'qing'dan'ji 氢氮机
'qing'dan'ya'suo'ji 氢氮压缩机
'qing'er'duan 氢二段
'qing'hui 轻灰
'qing'hui 青灰
'qing'hui'duan'shao'lu 轻灰煅烧炉
'qing'hui'liao'cang 轻灰料仓
'qing'hui'lu'qi'xi'di'ta 轻灰炉气洗涤塔
'qing'hui'luo'xuan'shu'song'ji 轻灰螺旋输送机
'qing'hui'mai'gua'ban'shu'song'ji 轻灰埋刮板输送机
'qing'hui'ti'sheng'ji 轻灰提升机
'qing'san'duan 氢三段
'qing'si'duan 氢四段
'qing'xi'an'mu'ye'er'beng 清洗氨母液二泵
'qing'xun'ji 氢循机
'qing'yi'duan 氢一段
'qing'zhi'jian 轻质碱
'ran'liao'qi'huan'chong'guan 燃料气缓冲罐
'ran'liao'tian'ran'qi 燃料天然气
're'dao'shi'fen'xi'yi 热导式分析仪
're'dian'ou 热电偶
're'dian'zu 热电阻
'ren'shi'bu 人事部
'rong'ye'beng 溶液泵
'rong'ye'huan're'qi 溶液换热器
'ru'kou'ya'li 入口压力
'ruan'shui 软水
'san'ci'qi'fa 三次气阀
'san'jiang'zi'kong 三江自控
'se'pu'fen'xi'yi 色谱分析仪
'shan'fa'qi 闪发器
'shang'bu'wen'du 上部温度
'shang'bu'ye'wei 上部液位
'shang'duan'chu'mei'ceng 上段触媒层
'shang'duan'huan're'qi 上段换热器
'shang'shui 上水
'shao'zui 烧嘴
'she'bei'bu 设备部
'shen'ye'ban 深夜班
'sheng'chan 生产
'sheng'ji'bu 生技部
'shi'an 湿铵
'shi'an'dai'shi'shu'song'ji 湿铵带式输送机
'shi'an'pi'dai 湿铵皮带
'shi'hui'shi'cang 石灰石仓
'shi'hui'shi'cheng 石灰石称
'shi'hui'shi'jia'liao'qi 石灰石加料器
'shi'hui'yao 石灰窑
'shu'an 输氨
'shu'an'qi'xiang'guan 输氨气相管
'shu'an'ye'xiang'guan 输氨液相管
'shu'song'ji 输送机
'shu'xian'biao 数显表
'shu'zi'liang'shu'chu'mo'kuai 数字量输出模块
'shu'zi'liang'shu'ru'mo'kuai 数字量输入模块
'shui'he'ji 水合机
'shui'leng'qi 水冷器
'shui'qi 水汽
'shui'qi'che'jian 水汽车间
'shun'cheng'bao'zhuang 顺城包装
'shun'cheng'yan'ye 顺城盐业
'shun'cheng'yan'ye'ban'gong'lou 顺城盐业办公楼
'si'chuan'he'bang'ji'tuan 四川和邦集团
'si'chuan'le'shan 四川乐山
'si'chuan'le'shan'he'bang'hua'gong'you'xian'gong'si 四川乐山和邦化工有限公司
'si'chuan'le'shan'he'bang'tou'zi'ji'tuan'you'xian'gong'si 四川乐山和邦投资集团有限公司
'si'chuan'sheng'le'shan'shi'wu'tong'qiao'qu'niu'hua'zhen 四川省乐山市五通桥区牛华镇
'si'chuan'xin'xing'zi'dong'hua 四川鑫兴自动化
'sou'gou'ci'ku 搜狗词库
'suan'xi'beng 酸洗泵
'suan'xi'tong 酸洗桶
'tan'hua'ta 碳化塔
'tian'er'duan 天二段
'tian'kong'ji 天空机
'tian'kong'ya'suo'ji 天空压缩机
'tian'ran'qi'jia're'lu 天然气加热炉
'tian'ran'qi'liu'liang 天然气流量
'tian'ran'qi'ya'li 天然气压力
'tian'yi'duan 天一段
'tiao'jie'fa 调节阀
'ting'che'hui'lu 停车回路
'tong'jing 通径
'tou'ping'ji 透平机
'tou'ping'peng'zhang'ji 透平膨胀机
'tu'jian'bu 土建部
'tuo'liu 脱硫
'tuo'liu'cao 脱硫槽
'tuo'liu'xi'tong 脱硫系统
'tuo'tan 脱碳
'tuo'tan'feng'ji 脱碳风机
'tuo'tan'ta 脱碳塔
'tuo'yan 脱盐
'tuo'yan'shui 脱盐水
'tuo'yan'shui'cao 脱盐水槽
'tuo'yan'shui'xiang 脱盐水箱
'tuo'yan'shui'yu're'qi 脱盐水预热器
'wai'leng'lou 外冷楼
'wai'leng'qi 外冷器
'wang'fu'shi'ya'suo'ji 往复式压缩机
'wang'fu'ya'suo'ji 往复压缩机
'wei'hao 位号
'wei'qi 尾气
'wei'qi'pai'qi'cao 尾气排气槽
'wei'qi'xi'di'ta 尾气洗涤塔
'wei'xiu'ban 维修班
'wen'du 温度
'wen'du'bian'song'qi 温度变送器
'wen'du'ji 温度计
'wu'dan 污氮
'wu'dan'pai'fang'xiao'yin'qi 污氮排放消音器
'wu'tong 五通
'wu'tong'qiao 五通桥
'wu'tong'qiao'qu 五通桥区
'wu'xi'gong'zhuang 无锡工装
'xi'an 洗氨
'xi'an'qi 吸氨器
'xi'an'qi 洗氨器
'xi'di'shui 洗涤水
'xi'di'shui'shui'feng'cao 洗涤水水封槽
'xi'di'ta 洗涤塔
'xi'di'ye'beng 洗涤液泵
'xi'shui'beng 洗水泵
'xi'shui'cao 洗水槽
'xi'shui'tong 洗水桶
'xi'tong'tiao'shi 系统调试
'xi'tong'wei'hu'yuan 系统维护员
'xi'you'zhan 稀油站
'xia'bu'wen'du 下部温度
'xia'bu'ye'wei 下部液位
'xia'duan'chu'mei'ceng 下段触媒层
'xia'duan'huan're'qi 下段换热器
'xia'liao 下料
'xia'liao'dou 下料斗
'xian'hao 线号
'xin'xing'zi'dong'hua 鑫兴自动化
'xing'che 行车
'xing'xing'chu'hui'ji 星形出灰机
'xing'xing'chu'liao'qi 星形出料器
'xing'xing'xia'liao'qi 星形下料器
'xuan'feng'fen'li'qi 旋风分离器
'xuan'liu'qi 旋流器
'xuan'zhuan'ti'sheng'ji 旋转提升机
'xun'huan'qi 循环气
'xun'huan'shui'beng 循环水泵
'xun'huan'shui'zhan 循环水站
'ya'li 压力
'ya'li'bian'song'qi 压力变送器
'ya'li'biao 压力表
'ya'suo'chang'fang 压缩厂房
'yan'cang 盐仓
'yan'ku 盐库
'yan'ku'fang 盐库房
'yan'pi'dai 盐皮带
'yan'shi'liu'liang'ji 堰式流量计
'yan'xi 盐析
'yan'xi'chou'hou'qi 盐析稠厚器
'yan'xi'jie'jing'qi 盐析结晶器
'yan'xi'tong 盐析桶
'yan'xi'zhou'liu'beng 盐析轴流泵
'yang'hua'hao'fen'xi'yi 氧化皓分析仪
'yang'hua'meng'tuo'liu'cao 氧化锰脱硫槽
'yang'hua'xin'tuo'liu'cao 氧化锌脱硫槽
'yang'qi'huan'chong'guan 氧气缓冲罐
'yang'qi'ya'suo'ji 氧气压缩机
'yang'ya'ji 氧压机
'yao'qi 窑气
'yao'qi'fen'li'qi 窑气分离器
'yao'qi'xi'di'ta 窑气洗涤塔
'ye'an'zheng'fa'wai'leng'qi 液氨蒸发外冷器
'ye'an'zhu'guan 液氨贮罐
'ye'wei 液位
'ye'wei'bian'song'qi 液位变送器
'ye'xiang 液相
'yi'biao'gong'cheng'shi 仪表工程师
'yi'biao'gong'shou'ce 仪表工手册
'yi'ci'feng'ji 一次风机
'yi'ci'feng'men 一次风门
'yi'duan'lu 一段炉
'yi'duan'zhuan'huan'lu 一段转换炉
'yi'kong 仪控
'yi'kong'che'jian 仪控车间
'yi'kong'che'jian'ji'suan'ji'ban 仪控车间计算机班
'yi'kong'ji'liang'ban 仪控计量班
'yi'kong'ji'suan'ji'ban 仪控计算机班
'yi'kong'wei'xiu'ban 仪控维修班
'yin'feng'ji 引风机
'yin'ya'guan 引压管
'yin'yang'zhuan'zi 阴阳转子
'you'fen 油分
'you'fen'li'qi 油分离器
'you'xiang 油箱
'yuan'shui'xiang 原水箱
'yuan'shui'zeng'ya'beng 原水增压泵
'yuan'shui'zhan 原水站
'yun'xu'yun'xing 允许运行
'zai'sheng'du 再生度
'zai'sheng'ta 再生塔
'zao'qi'gong'xu 造气工序
'zhe'da 浙大
'zhe'da'zhong'kong 浙大中控
'zhen'jing'pi'ge 振静皮革
'zhen'kong'beng 真空泵
'zhen'kong'fen'li'qi 真空分离器
'zheng'chui 正吹
'zheng'fan'zhuan 正反转
'zheng'liu'ta 蒸馏塔
'zheng'liu'wei'qi'fen'li'qi 蒸馏尾气分离器
'zheng'qi'liu'liang 蒸汽流量
'zheng'zhou'guo'lu 郑州锅炉
'zhi'dong'feng'ji 制动风机
'zhi'dong'feng'ji'pai'fang'xiao'yin'qi 制动风机排放消音器
'zhi'dong'feng'ji'ru'kou'lv'qing'qi 制动风机入口滤清器
'zhi'liu'ji'dian'qi 直流继电器
'zhong'bao'xi'tong 中保系统
'zhong'bian'fei'guo 中变废锅
'zhong'bian'guo'lu 中变锅炉
'zhong'bian'lu 中变炉
'zhong'bian'qi 中变气
'zhong'bian'qi'fei're'guo'lu 中变气废热锅炉
'zhong'bian'qi'guo'lu'ji'shui'yu're'qi 中变气锅炉给水预热器
'zhong'bu'wen'du 中部温度
'zhong'bu'ye'wei 中部液位
'zhong'da'wei'xian'yuan'qu'yu 重大危险源区域
'zhong'di'bian 中低变
'zhong'duan'chu'mei'ceng 中段触媒层
'zhong'duan'huan're'qi 中段换热器
'zhong'hua'yi'xiu'lou 中化仪修楼
'zhong'hui 重灰
'zhong'hui'duan'shao'lu 重灰煅烧炉
'zhong'hui'liang'jian'ji 重灰凉碱机
'zhong'hui'lu'qi 重灰炉气
'zhong'hui'lu'qi'xi'di'ta 重灰炉气洗涤塔
'zhong'hui'mai'gua'ban'ti'sheng'ji 重灰埋刮板提升机
'zhong'jian 重碱
'zhong'jian'dai'shi'shu'song'ji 重碱带式输送机
'zhong'jian'li'xin'ji 重碱离心机
'zhong'jian'lou 重碱楼
'zhong'jian'luo'xuan'shu'song'qi 重碱螺旋输送器
'zhong'jian'pi'dai 重碱皮带
'zhong'jian'shui'xiang 中间水箱
'zhong'wen'bian'huan'lu 中温变换炉
'zhong'ya'zheng'qi 中压蒸汽
'zhong'ya'zheng'qi'guan 中压蒸汽管
'zhong'zhi'jian 重质碱
'zhou'cheng'wen'du 轴承温度
'zhu'chu'dian 主触点
'zhu'huan're'qi 主换热器
'zhu'kong'lou 主控楼
'zhu'shui'cao 贮水槽
'zhu'shui'tong 贮水桶
'zhuan'huan'fei'guo 转换废锅
'zhuan'huan'guan 转换管
'zhuan'huan'qi'bao 转换汽包
'zi'jie'shi'kong'qi'guo'lv'qi 自洁式空气过滤器
'zi'liao'gui 资料柜
'zong'bian'zhan 总变站
'zong'bian'zhan'zhan'zhang 总变站站长
'zong'gong'ban 总工办
'zong'gong'cheng'shi 总工程师
'zong'he'hui'shou'ta 综合回收塔
'zu'tai'gong'cheng'shi 组态工程师
