'a'ben'da'zuo 阿苯达唑
'yan'suan'pian'ji 烟酸片剂
'yan'suan'wei'ma'huang'jian 盐酸伪麻黄碱
'yan'suan'wei'ma'huang'jian'fu'fang'zhi'ji 盐酸伪麻黄碱复方制剂
'yan'suan'xiao'bo'jian 盐酸小檗碱
'yan'suan'xiu'ji'xin 盐酸溴己新
'yan'suan'yi'bing'qin 盐酸异丙嗪
'yan'xian'an'pian'ji 烟酰胺片剂
'yang'hua'xin 氧化锌
'yang'wei'shu'jiao'nang'ying'jiao'nang'ji 养胃舒胶囊硬胶囊剂
'yang'xue'an'shen'wan'nong'suo'wan 养血安神丸浓缩丸
'yang'xue'rong'jin'wan'mi'wan 养血荣筋丸蜜丸
'yang'yin'qing'fei'gao'jian'gao'ji 养阴清肺膏煎膏剂
'yao'yong'tan 药用炭
'ye'suan 叶酸
'yi'bing'an'ti'bi'lin 异丙安替比林
'yi'mei 胰酶
'yi'mu'cao'gao'jian'gao'ji 益母草膏煎膏剂
'yi'xian'ban'guang'an'suan 乙酰半胱氨酸
'yin'chai'ke'li'ke'li'ji 银柴颗粒颗粒剂
'yin'duo'mei'xin 吲哚美辛
'yin'qiao'jie'du'pian'pian'ji 银翘解毒片片剂
'ying'er'su'san'ji 婴儿素散剂
'yu'chuang'gan'you'mi 愈创甘油醚
'yu'lie'tie'gao'xiang'jiao'nang'ji 愈裂贴膏橡胶囊剂
'yu'shi'zhi 鱼石脂
'yuan'hu'zhi'tong'pian'pian'ji 元胡止痛片片剂
'zang'qing'guo'chong'ji'ke'li'ji 藏青果冲剂颗粒剂
'zao'ren'an'shen'ke'li 枣仁安神颗粒
'zhang'nao 樟脑
'zhi'bai'di'huang'wan'mi'wan 知柏地黄丸蜜丸
'zhi'chuang'wai'xi'yao'san'ji 痔疮外洗药散剂
'zhi'mei'su 制霉素
'zhi'sou'ding'chuan'kou'fu'ye'kou'fu'ye 止嗽定喘口服液口服液
'zhi'xue'pian'pian'ji 止血片片剂
'zuo'que'nuo'yun'tong 左炔诺孕酮
