'an'xiang'si 暗相思
'chun'chou'nan'mo 春愁南陌
'chun'dao'chang'men'chun'cao'qing 春到长门春草青
'chun'e'dian'jiao'chun'zhuang'mei 春娥殿脚春妆媚
'chun'hen'zheng'guan'qing 春恨正关情
'chun'lai'xing'zi'chang'ru'xian 春来幸自长如线
'chun'lou'cu 春漏促
'chun'lu'yi'zhao'hua 春露浥朝华
'chun'meng'zheng'guan'qing 春梦正关情
'chun'nv 春女
'chun'ri'you 春日游
'chun'shui'bi'yu'tian 春水碧于天
'chun'shui'du'xi'qiao 春水渡溪桥
'chun'wan 春晚
'chun'wu'bo 春雾薄
'chun'yi'wan 春已晚
'chun'yu'mu 春欲暮
'chun'yu'wan 春欲晚
'chun'yu'xi 春雨细
'chun'yu'zu 春雨足
'chun'zhou'wu 春昼午
'chuo'yue'si'hua'ji 绰约司花妓
'ci'du'jian'hua'zhi 此度见花枝
'ci'qing'shui'de'zhi 此情谁得知
'ci'qing'xu'wen'tian 此情须问天
'ci'shi'xin'zhuan'mi 此时心转迷
'ci'ye'you'qing'shui'bu'ji 此夜有情谁不极
'cong'ci'ge'yin'chen 从此隔音尘
'cui'chai'jin'zuo'gu 翠钗金作股
'cui'dian'jin'ya'lian 翠钿金压脸
'cui'e'zheng'quan'lin'qiong'jiu 翠娥争劝临邛酒
'cui'feng'bao'chai'chui'lu'su 翠凤宝钗垂簏簌
'cui'lian'shui'yan'ming'meng 翠帘睡眼溟濛
'cui'ping'jin'qu'qu 翠屏金屈曲
'cui'qi'gao'zhan'xiang'feng 翠旗高飐香风
'cui'qiao'jin'lv'shuang'xi'chi 翠翘金缕双鸂鶒
'cun'xin'qian'li'mu 寸心千里目
'da'luo'tian'shang'yue'meng'long 大罗天上月朦胧
'dai'lang'lang'bu'gui 待郎郎不归
'dai'lang'xun'xiu'qin 待郎熏绣衾
'dai'mei'chou 黛眉愁
'dai'mei'shan'liang'dian 黛眉山两点
'dan'qi'wu'ban'lv 单栖无伴侣
'dang'nian'hai'zi'xi 当年还自惜
'dang'shi'nian'shao'chun'shan'bo 当时年少春衫薄
'dang'zi'tian'ya'gui'zhao'yuan 荡子天涯归棹远
'dao'yan'hun 岛烟昏
'deng'bei'xiao'chuang'gao'ge 灯背小窗高阁
'deng'zai'yue'long'ming 灯在月胧明
'di'dong'tian'yao'feng'yu'yue 地动天摇风雨跃
'di'liu'dong 堤柳动
'di'xiang'si 滴相思
'dian'chan'zheng 钿蝉筝
'dian'jing'xian'rong'si'xue 钿镜仙容似雪
'dian'kuang'jiao'sheng'jin'su 钿筐交胜金粟
'ding'xi'fan'fang'cao'cong'sheng'lv'jie 定西番芳草丛生缕结
'ding'xi'fan'hai'yan'yu'fei'tiao'yu 定西番海燕欲飞调羽
'ding'xi'fan'han'shi'xi'nian'li'bie 定西番汉使昔年离别
'ding'xi'fan'tiao'jin'jin'deng'hong'jin 定西番挑尽金灯红烬
'ding'xi'fan'xi'yu'xiao'ying'chun'wan 定西番细雨晓莺春晚
'dong'fang'hong'hou'jian'fen'ming 东方红后见分明
'dong'fang'kong'ji'mo 洞房空寂寞
'dong'feng'chui'duan'zi'xiao'sheng 东风吹断紫箫声
'du'chun'xiao 度春宵
'du'juan'sheng'yan'ge'lian'long 杜鹃声咽隔帘栊
'du'ping'zhu'lan'si'shen 独凭朱栏思深
'du'shang'xiao'lou'chun'yu'mu 独上小楼春欲暮
'du'yi'wang'jiang'lou 独倚望江楼
'duan'chang'fang'cao'bi 断肠芳草碧
'duan'chang'jun'xin'fou 断肠君信否
'duan'li'chang 断离肠
'dui'dui'xing'yun'san 队队行云散
'dui'fang'yan 对芳颜
'duo'di'shu'ji 鬌低梳髻
'en'zhong'jiao'duo'qing'yi'shang 恩重娇多情易伤
'er'zhi'ming'cu'shu'qie'qi 尔之命促数且奇
'er'zhi'qiao'shou'wang'he'chui 尔之翘首望何陲
'fa'mu'ding'ding'ting'you'sheng 伐木丁丁听有声
'fan'nv'yuan'qi'nan'sha'shang'jing'yan'qi 蕃女怨碛南沙上惊雁起
'fan'nv'yuan'wan'zhi'xiang'xue'kai'yi'bian 蕃女怨万枝香雪开已遍
'fang'cao'ba'ling'chun'an 芳草灞陵春岸
'fang'cao'cong'sheng'lv'jie 芳草丛生缕结
'fang'cao'jiang'nan'an 芳草江南岸
'fang'cao'xie 芳草歇
'fei'cui'ping'shen'yue'luo 翡翠屏深月落
'fei'xue'qian'li 飞雪千里
'fen'xin'huang'rui'hua'ye 粉心黄蕊花靥
'feng'chai'chui 凤钗垂
'feng'huang'chuang'jin'xiu'fu'rong 凤凰窗近绣芙蓉
'feng'huang'wei 凤凰帷
'feng'huang'xiang'dui'pan'jin'lv 凤凰相对盘金缕
'feng'liu'xin'shang'wu 风流心上物
'feng'nuan 风暖
'feng'xian'jin'bang'chu'yun'lai 凤衔金榜出云来
'feng'you'qi 风又起
'feng'zhang'yuan'bei'tu'xun 凤帐鸳被徒熏
'fu'chun'qing 负春情
'fu'mian'chui'si'liu 拂面垂丝柳
'fu'rong'diao'nen'lian 芙蓉凋嫩脸
'fu'ru'liu'su'you'wei'xing 扶入流苏犹未醒
'gan'jun'lian 感君怜
'gan'jun'xin 感君心
'ge'chui'ge'zhong'hun 歌吹隔重阍
'ge'lian'long 隔帘栊
'ge'lian'ying'bai'zhuan 隔帘莺百啭
'ge'qiang'li'xue'you'ling'long 隔墙梨雪又玲珑
'ge'xi'feng 隔西风
'ge'xian'xiang 隔仙乡
'geng'lou'zi'bei'jiang'lou 更漏子背江楼
'geng'lou'zi'jin'que'chai 更漏子金雀钗
'geng'lou'zi'liu'si'chang 更漏子柳丝长
'geng'lou'zi'xiang'jian'xi 更漏子相见稀
'geng'lou'zi'xing'dou'xi 更漏子星斗稀
'geng'lou'zi'yu'lu'xiang 更漏子玉炉香
'geng'lou'zi'zhong'gu'han 更漏子钟鼓寒
'gong'dian'yu'huang'hun 宫殿欲黄昏
'gong'jin 宫锦
'gong'lang'chang'xing'mo'wei'qi 共郎长行莫围棋
'gong'lou'cu 宫漏促
'gong'nv'chou'e'qian 宫女愁蛾浅
'gong'shu'an 宫树暗
'gu 鼓
'gu'deng'zhao'bi'bei'chuang'sha 孤灯照壁背窗纱
'gu'guo'wu'gong'yuan 故国吴宫远
'gu'guo'yin'shu'ge 故国音书隔
'gu'jin'chou 古今愁
'gu'miao'dui'han'chao 孤庙对寒潮
'gu'ren'wan'li'guan'shan'ge 故人万里关山隔
'gu'xiang'chun 故乡春
'guan'wa'gong'wai'ye'cheng'xi 馆娃宫外邺城西
'gui'fan'du 归帆渡
'gui'guo'yao'chun'yu'mu 归国谣春欲暮
'gui'guo'yao'chun'yu'wan 归国谣春欲晚
'gui'guo'yao'jin'fei'cui 归国谣金翡翠
'gui'guo'yao'shuang'lian 归国谣双脸
'gui'guo'yao'xiang'yu 归国谣香玉
'gui'shi'yan'li 归时烟里
'gui'wu'shuang'cui'yu 归无双翠羽
'guo'jin'qian'fan'jie'bu'shi 过尽千帆皆不是
'hai'shi'qu'nian'shi'jie 还是去年时节
'hai'si'liang'ren'xin'yi 还似两人心意
'hai'si'qu'nian'chou'chang 还似去年惆怅
'hai'tang'hua'xie'ye 海棠花谢也
'hai'yan'yu'fei'tiao'yu 海燕欲飞调羽
'han'bei'xie'yi'ping'feng 含悲斜倚屏风
'han'chou'du'yi'jin'fei 含愁独倚金扉
'han'hen'an'shang'qing 含恨暗伤情
'han'jiao'han'xiao 含娇含笑
'han'pin'bu'yu'hen'chun'can 含颦不语恨春残
'han'shi'xi'nian'li'bie 汉使昔年离别
'han'xiu'ban'lian'mei 含羞半敛眉
'han'xiu'dai'yue'qiu'qian 含羞待月秋千
'han'xiu'xia'xiu'wei 含羞下绣帷
'han'yu'zan'qiu'shui 寒玉簪秋水
'hao'hua'xin'man'chuan 好花新满船
'hao'wan'ning'shuang'xue 皓腕凝霜雪
'he'chu 何处
'he'chu'an'ge'sheng 何处按歌声
'he'chu'du'juan'ti'bu'xie 何处杜鹃啼不歇
'he'chu'shen'suo'lan'fang 何处深锁兰房
'he'chu'you'nv 何处游女
'he'chuan'chun'wan 河传春晚
'he'chuan'he'chu 河传何处
'he'chuan'hu'shang 河传湖上
'he'chuan'jiang'pan 河传江畔
'he'chuan'jin'pu 河传锦浦
'he'chuan'tong'ban 河传同伴
'he'du'shen'gu'miao'dui'han'chao 河渎神孤庙对寒潮
'he'du'shen'he'shang'wang'cong'ci 河渎神河上望丛祠
'he'du'shen'tong'gu'sai'shen'lai 河渎神铜鼓赛神来
'he'hua'man'cui'huan 呵花满翠鬟
'he'huan'tao'he'zhong'kan'hen 合欢桃核终堪恨
'he'shang'wang'cong'ci 河上望丛祠
'he'shi'xing'ren'zui'duan'chang 何事行人最断肠
'he'ye'bei'chu'nv'yu'gui'nan'pu 荷叶杯楚女欲归南浦
'he'ye'bei'ji'de'na'nian'hua'xia 荷叶杯记得那年花下
'he'ye'bei'jing'shui'ye'lai'qiu'yue 荷叶杯镜水夜来秋月
'he'ye'bei'jue'dai'jia'ren'nan'de 荷叶杯绝代佳人难得
'he'ye'bei'yi'dian'lu'zhu'ning'leng 荷叶杯一点露珠凝冷
'hen'chong'chong 恨重重
'hen'chun'xiao 恨春宵
'hen'he'qiong 恨何穷
'hen'ji'zai'tian'ya 恨极在天涯
'hong'fen'mian 红粉面
'hong'la'lei 红蜡泪
'hong'lei'san'zhan'jin'lv 红泪散沾金缕
'hong'lou'bie'ye'kan'chou'chang 红楼别夜堪惆怅
'hong'lv'yu'pan'jin'lou'zhan 红缕玉盘金镂盏
'hong'mei'you'ti'hen 红袂有啼痕
'hong'qi'fan'chu'bai'qi'mei 红旗翻处白旗没
'hong'xiu'yao'ye'zhu'feng'nuan 红袖摇曳逐风暖
'hong'zhu'bei 红烛背
'hong'zhuang'liu'su'lei 红妆流宿泪
'hu'bu'ji'shi'yi'xing'le 胡不及时以行乐
'hu'shang 湖上
'hua'ban'che 花半坼
'hua'chou'mei 画愁眉
'hua'chuan'ting'yu'mian 画船听雨眠
'hua'dong'hen'lai'chi 花洞恨来迟
'hua'hua 花花
'hua'li'an'xiang'zhao 花里暗相招
'hua'li'zan'shi'xiang'jian 花里暂时相见
'hua'lian'chui 画帘垂
'hua'liang'shuang'yan'qu 画梁双燕去
'hua'liang'xiang'jian 画梁相见
'hua'lou'can'dian'sheng 画楼残点声
'hua'lou'li'hen'jin'ping'kong 画楼离恨锦屏空
'hua'lou'xiang'wang'jiu 画楼相望久
'hua'lou'yin'xin'duan 画楼音信断
'hua'lu'yue'ming'can 花露月明残
'hua'lu'zhong 花露重
'hua'luo'jin'fei'cui 画罗金翡翠
'hua'luo'zi'gui'ti 花落子规啼
'hua'mian'jiao'xiang'ying 花面交相映
'hua'ping'jin'zhe'gu 画屏金鹧鸪
'hua'ping'shen 画屏深
'hua'ping'yun'yu'san 画屏云雨散
'hua'rao'jin'lv 画桡金缕
'hua'shen'liu'an 花深柳暗
'hua'tang'lian'mu'yue'ming'feng 画堂帘幕月明风
'hua'tang'zhao'lian'can'zhu 画堂照帘残烛
'hua'wai'lou'sheng'tiao'di 花外漏声迢递
'hua'wu 花舞
'hua'xia'jian'wu'qi 花下见无期
'hua'yan'yan 花艳艳
'hua'ying'liu'tiao 花映柳条
'hua'you'luo 花又落
'hua'yu'xie 花欲谢
'hua'zhe'xiang'zhi'huang'li'yu 花折香枝黄鹂语
'huan'jie'xiu'qin'chou'hao'wan 缓揭绣衾抽皓腕
'huan'xi'sha'chou'chang'meng'yu'shan'yue'xie 浣溪沙惆怅梦余山月斜
'huan'xi'sha'lv'shu'cang'ying'ying'zheng'ti 浣溪沙绿树藏莺莺正啼
'huan'xi'sha'qing'xiao'zhuang'cheng'han'shi'tian 浣溪沙清晓妆成寒食天
'huan'xi'sha'ye'ye'xiang'si'geng'lou'can 浣溪沙夜夜相思更漏残
'huan'xi'sha'yu'shang'qiu'qian'si'ti'yong 浣溪沙欲上秋千四体慵
'huan'xiang'xu'duan'chang 还乡须断肠
'huang'ying'bu'yu'dong'feng'qi 黄莺不语东风起
'hui'mian'gong'ren'xian'yu 回面共人闲语
'hui'shou'hui'lei'qian'hang 回首挥泪千行
'hui'shou'liang'qing'xiao'suo 回首两情萧索
'hun'meng'duan 魂梦断
'hun'meng'yu'jiao'he'chu'mi 魂梦欲教何处觅
'ji'de'na'nian'hua'xia 记得那年花下
'ji'huan'lang'ji'dai'mei'chang 髻鬟狼藉黛眉长
'ji'mo'guan'shan'dao 寂寞关山道
'ji'mo'hua'suo'qian'men 寂寞花锁千门
'ji'mo'xiang'gui'yan 寂寞香闺掩
'ji'mo'xiu'ping'xiang'yi'zhu 寂寞绣屏香一炷
'ji'nian'hua'xia'zui 几年花下醉
'ji'shi'xie'shou'ru'chang'an 几时携手入长安
'ji'shu'he'chu'mi 寄书何处觅
'ji'yu'qing'e'ban 寄语青娥伴
'ji'zhui'chai'chui'wu'li 髻坠钗垂无力
'jia'jia'lou'shang'cu'shen'xian 家家楼上簇神仙
'jia'zhu'yue'xi'qu 家住越溪曲
'jiang'cheng'zi'en'zhong'jiao'duo'qing'yi'shang 江城子恩重娇多情易伤
'jiang'cheng'zi'ji'huan'lang'ji'dai'mei'chang 江城子髻鬟狼藉黛眉长
'jiang'du'gong'que 江都宫阙
'jiang'nan'yan'dao'chi 江南雁到迟
'jiang'pan 江畔
'jiang'shang'liu'ru'yan 江上柳如烟
'jiao'dai 交带
'jiao'sheng'wu'ye 角声呜咽
'jie'gu'dong 街鼓动
'jie'luo'wei 解罗帷
'jie'tong'xin 结同心
'jie'yuan'yang 解鸳鸯
'jin'chan'zhui 金蝉坠
'jin'cheng'hua'man 锦城花满
'jin'cheng'kai 禁城开
'jin'dai'zhen 金带枕
'jin'fei'cui 金翡翠
'jin'feng'wu 金凤舞
'jin'jin'an'tiao'can'zhu 金烬暗挑残烛
'jin'lai'xin'geng'qie 近来心更切
'jin'lai'yin'xin'liang'shu'suo 近来音信两疏索
'jin'li 锦里
'jin'lv'jiu 金缕旧
'jin'lv'san'san'bi'wa'gou 金缕毵毵碧瓦沟
'jin'pu 锦浦
'jin'qin'han 锦衾寒
'jin'qin'zhi'xiao'han 锦衾知晓寒
'jin'que'chai 金雀钗
'jin'que'shan 金雀扇
'jin'ri'liang'kui'ying'huo'zhuo 今日梁魁应活捉
'jin'ri'song'jun'qian'wan 今日送君千万
'jin'ri'xiang'wang'wang'sun 尽日相望王孙
'jin'si'yi'shang'yu'si'shen 金似衣裳玉似身
'jin'xian'piao'qian'lv 金线飘千缕
'jin'xiu'wu'geng'feng 襟袖五更风
'jin'ya'xiao'ping'shan'bi 金鸭小屏山碧
'jin'yan'yi'shuang'fei 金雁一双飞
'jin'zhang'xiu'wei'xie'yan 锦帐绣帷斜掩
'jin'zhen'ni 金枕腻
'jin'zu'jian 金镞箭
'jing'ba'huang'jin'mai'fu 竞把黄金买赋
'jing'di'dian'deng'shen'zhu'yi 井底点灯深烛伊
'jing'han'yan 惊寒雁
'jing'kou'lu 京口路
'jing'shui'jiao 惊睡觉
'jing'shui'ye'lai'qiu'yue 镜水夜来秋月
'jing'yang'lou'pan'qian'tiao'lu 景阳楼畔千条路
'jing'zhong'chan'bin'qing 镜中蝉鬓轻
'jing'zhong'hua'yi'zhi 镜中花一枝
'jiu'huan'ru'meng'li 旧欢如梦里
'jiu'huan'ru'meng'zhong 旧欢如梦中
'jiu'qu'chen'yu'mu 九衢尘欲暮
'jiu'quan'zi'chu'nv'bu'gui 酒泉子楚女不归
'jiu'quan'zi'hua'ying'liu'tiao 酒泉子花映柳条
'jiu'quan'zi'luo'dai're'xiang 酒泉子罗带惹香
'jiu'quan'zi'ri'ying'sha'chuang 酒泉子日映纱窗
'jiu'quan'zi'yue'luo'xing'chen 酒泉子月落星沉
'jiu'shen'qing'yi'shen 酒深情亦深
'juan'lian'chou'dui'zhu'ge 卷帘愁对珠阁
'juan'lian'zhi'chu'hua'tang'qian 卷帘直出画堂前
'jue'dai'jia'ren'nan'de 绝代佳人难得
'jue'lai'geng'lou'can 觉来更漏残
'jue'lai'wen'xiao'ying 觉来闻晓莺
'jue'lai'zhi'shi'meng 觉来知是梦
'jun'bu'gui'lai'qing'you'qu 君不归来情又去
'kan'ai'wan'lai'shao'jing'shen 堪爱晚来韶景甚
'kan'hua'bu'yu'ku'xun'si 看花不语苦寻思
'kan'qu'bo'qing'ren 看取薄情人
'ke'xi'qian'chan'dang'zi'xin 可惜牵缠荡子心
'kong'ba'jin'zhen'du'zuo 空把金针独坐
'kong'jie'di'dao'ming 空阶滴到明
'kong'xiang'yi 空相忆
'kong'you'meng'hun'lai'qu 空有梦魂来去
'kong'you'meng'xiang'sui 空有梦相随
'kuang'sha'you'ren 狂杀游人
'kui'xi'lang 窥细浪
'la'cheng'lei 蜡成泪
'lai'dong'kou 来洞口
'lan'fu'yuan'yang'zhen 懒拂鸳鸯枕
'lan'lu'zhong 兰露重
'lan'qi'hua'e'mei 懒起画蛾眉
'lan'wai'chui'si'liu 栏外垂丝柳
'lan'zhao'kong'shang'bie'li 兰棹空伤别离
'lei'hen'kong'man'yi 泪痕空满衣
'lei'hen'xin 泪痕新
'lei'hen'zhan'xiu'yi 泪痕沾绣衣
'lei'jie'lian'sai'liang'xian'hong 泪界莲腮两线红
'lei'liu'yu'zhu'qian'tiao 泪流玉箸千条
'lei'liu'zhan'hao'wan 泪流沾皓腕
'lei'qian'hang 泪千行
'lei'ting'luo 雷霆落
'lei'zhan'hong'xiu'yue 泪沾红袖黦
'lei'zhu'nan'yuan'ji 泪珠难远寄
'li'bie'lu'sheng'kong'xiao'suo 离别橹声空萧索
'li'hun'he'chu'piao'bo 离魂何处飘泊
'li'xu'yuan'lai'bie'you'ren 里许元来别有人
'lian'juan'xi'sao'mei 连娟细扫眉
'lian'juan'yu'gou'xie 帘卷玉钩斜
'lian'shang'jin'xia'xi 脸上金霞细
'lian'wai'ti'xiao'ying 帘外啼晓莺
'lian'wai'xiao'ying'can'yue 帘外晓莺残月
'liang'e'chou'dai'qian 两蛾愁黛浅
'liang'hang'zheng'yan'fen 两行征雁分
'liang'liang'huang'li'se'si'jin 两两黄鹂色似金
'liang'xiao'xiao 两萧萧
'liang'xin'zhi 两心知
'liao'yang'yin'xin'xi 辽阳音信稀
'lin'hai'yue 临海月
'ling'long'tou'zi'an'hong'dou 玲珑骰子安红豆
'liu'an'wei'wang'di 柳暗魏王堤
'liu'bu'zhu 留不住
'liu'dai'chang 柳带长
'liu'di 柳堤
'liu'duo'an'shi'qian'hua'bo 流多暗湿铅华薄
'liu'feng'xie 柳风斜
'liu'gong'mei'dai're'chun'chou 六宫眉黛惹春愁
'liu'hua'kuang 柳花狂
'liu'qiu'xie'niao'jian'hua'dian 柳球斜袅间花钿
'liu'ru'mei 柳如眉
'liu'ruan'bu'gui'chun'ri'xun 刘阮不归春日曛
'liu'ruo'yan'jiao'fei 柳弱燕交飞
'liu'se'cong'long 柳色葱茏
'liu'si'chang 柳丝长
'liu'si'jin'lv'duan 柳丝金缕断
'liu'si'niao'nuo'chun'wu'li 柳丝袅娜春无力
'liu'si'xie'fu'bai'tong'di 柳丝斜拂白铜堤
'liu'tu'jin'si'ying'yu'zao 柳吐金丝莺语早
'liu'wai'fei'lai'shuang'yu'yu 柳外飞来双羽玉
'liu'yan'qing 柳烟轻
'liu'yan'shen'man'lou'xian'guan 柳烟深满楼弦管
'long'yi'hua 龙已化
'lou'chi'chi 漏迟迟
'lou'ge'ming 楼阁暝
'lou'geng'chang 漏更长
'lou'shang'mei'ren'chun'shui 楼上美人春睡
'lou'shang'yue'ming'san'wu 楼上月明三五
'lou'shang'zui'he'chun'se'qin 楼上醉和春色寝
'lou'wai'cui'lian'gao'zhou 楼外翠帘高轴
'lou'yi'yi 漏依依
'lou'zhen'xiao'he'chun'shui 楼枕小河春水
'lu'bian'ren'si'yue 垆边人似月
'lu'leng'yue'can'ren'wei'qi 露冷月残人未起
'lu'shan'yun'wu'nong'yin'qing 庐山云雾弄阴晴
'lu'tao'gong'li'xiao'yao'zhi 露桃宫里小腰肢
'lu'zhu'qing'xiao'dian 露珠清晓簟
'luan'feng'rao'shen'fei'wu 鸾凤绕身飞舞
'luan'jing'yan'xiu'ru 鸾镜掩休汝
'luan'jing'yu'hua'zhi 鸾镜与花枝
'luo'dai'hui'jie'tong'xin 罗带悔结同心
'luo'dai're'xiang 罗带惹香
'luo'hua'xiang'lu'hong 落花香露红
'luo'huang'an'chen'sheng 罗幌暗尘生
'luo'mei'shi'ban'hong'lei'di 罗袂湿斑红泪滴
'luo'mu'cui'lian'chu'juan 罗幕翠帘初卷
'luo'mu'hua'tang'kong 罗幕画堂空
'luo'mu'xiu'wei'yuan'bei 罗幕绣帷鸳被
'luo'xiu'hua'lian'chang'duan 罗袖画帘肠断
'luo'yang'cai'zi'ta'xiang'lao 洛阳才子他乡老
'luo'yang'cheng'li'chun'guang'hao 洛阳城里春光好
'luo'yang'chou'jue 洛阳愁绝
'luo'yi'shi 罗衣湿
'luo'yi'wu'ci'hen 罗衣无此痕
'luo'zhang'ba'lu'xun 罗帐罢炉熏
'lv'chuang'can'meng'mi 绿窗残梦迷
'lv'chuang'ren'si'hua 绿窗人似花
'lv'huai'qian'li'chang'di 绿槐千里长堤
'lv'huai'yin'li'huang'ying'yu 绿槐阴里黄莺语
'lv'jing'hong'yan'liang'xiang'luan 绿茎红艳两相乱
'lv'shu'cang'ying'ying'zheng'ti 绿树藏莺莺正啼
'lv'tan'jin'feng'huang 绿檀金凤凰
'lv'yang'chun'yu 绿杨春雨
'lv'yang'feng'song'xiao'ying'sheng 绿杨风送小莺声
'lv'yang'man'yuan'zhong'ting'yue 绿杨满院中庭月
'lv'yang'mo'shang'duo'li'bie 绿杨陌上多离别
'lv'yin'nong 绿阴浓
'lv'yun'qing 绿云倾
'ma'pin'si 马频嘶
'man'chi'tang 满池塘
'man'di'li'hua'yu 满地梨花雨
'man'di'luo'hua'hong'dai'yu 满地落花红带雨
'man'gong'ming'yue'li'hua'bai 满宫明月梨花白
'man'jie'zhu'cui 满街珠翠
'man'lou'hong'xiu'zhao 满楼红袖招
'man'mu'dai'qiu'si 满目带秋思
'man'shen'lan'she'zui'ru'ni 满身兰麝醉如泥
'man'shen'xiang'wu'cu'zhao'xia 满身香雾簇朝霞
'man'ting'dui'luo'hua 满庭堆落花
'man'ting'fan'gai'pai'huai 满庭幡盖徘徊
'man'ting'xuan'cao'chang 满庭萱草长
'man'yuan'luo'hua'chun'ji'ji 满院落花春寂寂
'man'zhi'hong'si'xia 满枝红似霞
'man'zhuo'yi'bei'quan'he'lei 满酌一杯劝和泪
'mei'cui'bo 眉翠薄
'mei'dai'yuan'shan'lv 眉黛远山绿
