'an'wa'fa 暗挖法
'dian'he'zai'qiang'du'shi'yan 点荷载强度试验
'dian'shen'jia'gu 电渗加固
'ding'ba 丁坝
'ding'sheng'jiu'qing 顶升纠倾
'dong'dan'jian'shi'yan 动单剪试验
'dong'he'zai 动荷载
'dong'jie'fa 冻结法
'dong'men 洞门
'dong'san'zhou'shi'yan 动三轴试验
'dong'tu 冻土
'dong'zhang 冻胀
'dong'zhang'li 冻胀力
'dong'zhang'liang 冻胀量
'du'li'ji'chu 独立基础
'duan'ceng 断层
'duan'cheng'mo'ca'zhuang 端承摩擦桩
'duan'cheng'zhuang 端承桩
'duan'lie 断裂
'dui'shi'ba 堆石坝
'dui'zai'jia'ya'jiu'qing 堆载加压纠倾
'dui'zai'yu'ya 堆载预压
'dun'gou'fa 盾构法
'duo'nian'dong'tu 多年冻土
'duo'xing'zhuang'fu'he'di'ji 多形桩复合地基
'fa'xing'ji'chu 筏形基础
'fan'lv'ceng 反滤层
'fan'ya'ma'dao 反压马道
'fan'ya'ping'tai 反压平台
'fang'bo'di 防波堤
'fang'lang'qiang 防浪墙
'fang'po'kai'wa 放坡开挖
'fang'shen'pu'gai 防渗铺盖
'fang'ti'cai'liao'zhuang'fu'he'di'ji 放体材料桩复合地基
'fei'bao'he'tu 非饱和土
'fei'bao'he'tu'li'xue 非饱和土力学
'fei'ji'tu'zhuang 非挤土桩
'fei'kai'wa'fa 非开挖法
'fei'yu'ying'li'mao'gan 非预应力锚杆
'fen'ceng'zong'he'fa 分层总和法
'fen'san'xing'tu 分散性土
'fen'tu 粉土
'fen'zhi'nian'tu 粉质黏土
'feng'hua'dai 风化带
'feng'hua'yan 风化岩
'feng'ji'tu 风积土
'feng'zhi'qiang'du 峰值强度
'fu'bi'shi'dang'qiang 扶壁式挡墙
'fu'he'cun'dian 复合村垫
'fu'he'di'ji 复合地基
'fu'he'tu'ding'zhi'hu 复合土钉支护
'fu'he'zhuang'ji 复合桩基
'fu'jia'ying'li 附加应力
'fu'li'chen'dian 浮力沉垫
'fu'mo'zu'li 负摩阻力
'fu'she'jing 辐射井
'fu'tuo'li 浮托力
'gai'wa'ni'zhu'fa 盖挖逆筑法
'gai'wa'shun'zhu'fa 盖挖顺筑法
'gang'kou'dui'chang 港口堆场
'gang'xing'zhuang'fu'he'di'ji 刚性桩复合地基
'gao'bei'kou'ji'chu 高杯口基础
'gao'bian'po 高边坡
'gao'ya'pen'she'zhu'jiang 高压喷射注浆
'gao'yuan 髙原
'ge'shui'wei'mu 隔水帷幕
'gei'shui'du 给水度
'gong'ba 拱坝
'gong'cheng'ce'liang 工程测量
'gong'cheng'di'zhi'ce'hui 工程地质测绘
'gong'cheng'di'zhi'dan'yuan 工程地质单元
'gong'cheng'di'zhi'pou'mian'tu 工程地质剖面图
'gong'cheng'di'zhi'xue 工程地质学
'gong'lu'sui'dao 公路隧道
'gong'tong'gou 共同沟
'gong'zhen'zhu'shi'yan 共振柱试验
'gou'zao'jie'gou'mian 构造结构面
'gu'fang 谷坊
'gu'jie 固结
'gu'jie'du 固结度
'gu'jie'guan'jiang 固结灌浆
'gu'jie'qu'xian 固结曲线
'gu'jie'shi'yan 固结试验
'gu'jie'xi'shu 固结系数
'gu'jie'ya'li 固结压力
'gu'ti'fei'qi'wu 固体废弃物
'guan'ce'jing 观测井
'guan'jiang 灌浆
'guan'jiang'tuo'huan 灌浆托换
'guan'liang 冠梁
'guan'ru'gu'hua'wu 灌入固化物
'guan'yong 管涌
'guan'zhu'zhuang 灌注桩
'guan'zhu'zhuang'pai'zhuang'wei'hu'qiang 灌注桩排桩围护墙
'guo'du'ceng 过渡层
'hai'an'gong'cheng 海岸工程
'hai'an'qin'shi 海岸侵蚀
'hai'di 海堤
'hai'di'guan'dao 海底管道
'hai'di'hua'po 海底滑坡
'hai'di'ruan'ni 海底软泥
'hai'ji'tu 海积土
'hai'shui'ru'qin 海水入侵
'hai'wan 海湾
'hai'xiang'chen'ji'wu 海相沉积物
'hai'xiang'nian'tu 海相黏土
'hai'yang'di'zhi'zai'hai 海洋地质灾害
'han'shui'ceng 含水层
'han'shui'lv 含水率
'hang'dao 巷道
'he'gu'jie'di 河谷阶地
'heng'tong'dao 横通道
'hong'ji'shan 洪积扇
'hong'ji'tu 洪积土
'hong'nian'tu 红黏土
'hong'wai'tan'ce 红外探测
'hou'bi'qu'tu'qi 厚壁取土器
'hu'an'gong'cheng 护岸工程
'hu'po 护坡
'hua'dong'dai 滑动带
'hua'dong'mian 滑动面
'hua'po'bian'tu 滑坡编图
'hua'po'feng'xian 滑坡风险
'hua'po'min'gan'xing'ping'jia 滑坡敏感性评价
'hua'po'yu'jing'xi'tong 滑坡预警系统
'hua'ta 滑塌
'hua'xue'guan'jiang 化学灌浆
'huan'jing'yan'tu'gong'cheng 环境岩土工程
'huang'tu 黄土
'hui'ba 灰坝
'hui'tan'mo'liang 回弹模量
'hui'tan'zhi'shu 回弹指数
'hui'tu 灰土
'hui'tu'ji'mi'zhuang'fu'he'di'ji 灰土挤密桩复合地基
'hun'ning'tu'fang'shen'qiang 混凝土防渗墙
'huo'duan'ceng 活断层
'huo'xing'zhi'shu 活性指数
'ji'cao'jian'yan 基槽检验
'ji'chu 基础
'ji'chu'dian'ceng 基础垫层
'ji'chu'liang 基础梁
'ji'chu'mai'zhi'shen'du 基础埋置深度
'ji'chuang 基床
'ji'di'fu'jia'ya'li 基底附加压力
'ji'di'ya'li 基底压力
'ji'jie'dong'tu 季节冻土
'ji'keng 基坑
'ji'keng'di'long'zhang 基坑底隆胀
'ji'keng'gong'cheng 基坑工程
'ji'mi'sha'zhuang 挤密砂桩
'ji'mi'sui'shi'zhuang 挤密碎石桩
'ji'mi'zhu'jiang 挤密注浆
'ji'pei 级配
'ji'shi'shi'yan 击实试验
'ji'shui'ming'pai 集水明排
'ji'tu'zhuang 挤土桩
'ji'xian'cheng'zai'li 极限承载力
'ji'xian'ping'heng 极限平衡
'ji'xian'ping'heng'fa 极限平衡法
'ji'xian'ping'heng'tiao'jian 极限平衡条件
'ji'yan 基岩
'ji'ye'chi 积液池
'ji'ye'jing 积液井
'ji'zhong'he'zai 集中荷载
'ji'zhuang 基桩
'ji'zhuang'jian'ce 基桩检测
'jia'jin 加筋
'jia'jin'tu 加筋土
'jia'jin'tu'dang'qiang 加筋土挡墙
'jia'zhou'cheng'zai'bi 加州承载比
'jian'jin'po'huai 渐进破坏
'jian'qie'mo'liang 剪切模量
'jian'qie'shi'yan 剪切试验
'jian'ya'jing 减压井
'jian'ying'bian 剪应变
'jian'zai 减载
'jian'zhang'xing 剪胀性
'jian'zhu'la'ji 建筑垃圾
'jiang'shui'fa 降水法
'jiao'dian'fa 角点法
'jie'chu'ya'li 接触压力
'jie'gou'mian 結构面
'jie'gou'ti 结构体
'jie'li 节理
'jie'shui'qiang 截水墙
'jin'hai'chen'ji'wu 近海沉积物
'jin'hai'gong'cheng 近海工程
'jin'run'xian 浸润线
'jing'dian'jiang'shui 井点降水
'jing'li'chu'tan'shi'yan 静力触探试验
'jing'liu'qu 径流区
'jing'shui'ya'li 静水压力
'jing'tong 井筒
'jing'xiang'gong'cheng 井巷工程
'jing'zhi'tu'ya'li 静止土压力
'jiu'qing'tuo'huan 纠倾托换
'ju'ben'yi'xi'ban'kuai 聚苯乙烯板块
'ju'bu'jian'qie'po'huai 局部剪切破坏
'ju'bu'wan'qu 局部弯曲
'ju'li'lei'tu 巨粒类土
'jun'bu'he'zai 均布荷载
'jun'zhi'tu'ba 均质土坝
'kai'cai'chen'xian 开采沉陷
'kang'ba'zhuang 抗拔桩
'kang'dong'xing'xi'shu 抗冻性系数
'kang'hua'dong'sai 抗滑洞塞
'kang'hua'li 抗滑力
'kang'hua'zhuang 抗滑桩
'kang'jian'qiang'du 抗剪强度
'kang'la'qiang'du 抗拉强度
'kang'wan'shi'yan 抗弯试验
'kang'ya'qiang'du 抗压强度
'ke'li'fen'xi'shi'yan 颗粒分析试验
'keng'shi'tuo'huan 坑式托换
'keng'tan 坑探
'kong'xi'bi 孔隙比
'kong'xi'lv 孔隙率
'kong'xi'qi'ya'li 孔隙气压力
'kong'xi'shui 孔隙水
'kong'xi'shui'ya'li 孔隙水压力
'kong'xi'shui'ya'li'jian'ce 孔隙水压力监测
'kong'xi'shui'ya'li'xi'shu 孔隙水压力系数
'kong'xi'ya'li 孔隙压力
'kong'zhi'bao'po 控制爆破
'ku'lun'tu'ya'li'li'lun 库仑土压力理论
'kuai'shi 块石
'kuang'qu'sheng'tai'chong'jian 矿区生态重建
'kuang'shan'di'zhi'huan'jing 矿山地质环境
'kuang'shan'di'zhi'zai'hai 矿山地质灾害
'kuang'shan'ta'xian 矿山塌陷
'kuo'zhan'ji'chu 扩展基础
'la'ji'tian'mai'chang 垃圾填埋场
'la'li'fen'san'xing'mao'gan 拉力分散型锚杆
'lang'ken'tu'ya'li'li'lun 朗肯土压力理论
'li'jing 粒径
'li'jing'fen'bu'qu'xian 粒径分布曲线
'li'lei'tu 砾类土
'li'zu 粒组
'lian'gong'sui'dao 连拱隧道
'lian'tong'shi'yan 连通试验
'lian'xu'li'jing 连续粒径
'liang'ban'shi'fa'ji 梁板式筏基
'liang'hao'ji'pei'tu 良好级配土
'lie'xi 裂隙
'lie'xi'shui 裂隙水
'lin'jie'bian'po'jiao 临界边坡角
'lin'jie'gao'du 临界高度
'lin'jie'kong'xi'bi 临界孔隙比
'lin'jie'shui'li'ti'du 临界水力梯度
'lin'shi'bian'po 临时边坡
'ling'min'du 灵敏度
'liu'bian'xue 流变学
'liu'dong'po'huai 流动破坏
'liu'tu 流土
'liu'wang 流网
'liu'xian 流线
'lu'chuang 路床
'lu'di 路堤
'lu'ji 路基
'lu'qian 路堑
'luan'shi 卵石
'ma'tou 码头
'mao'ding 冒顶
'mao'ding'ban'qiang 锚定板墙
'mao'gan 锚杆
'mao'gan'dang'qiang 锚杆挡墙
'mao'gan'ji'ben'shi'yan 锚杆基本试验
'mao'gan'jing'ya'zhuang'tuo'huan 锚杆静压桩托换
'mao'gan'yan'shou'shi'yan 锚杆验收试验
'mao'gu'kuai 锚固块
'mao'pen'zhi'hu 锚喷支护
'mao'suo 锚索
'mao'suo'zhuang 锚索桩
'mao'xi'guan'shui 毛细管水
'mao'xiao'ying'li 冇效应力
'mi'du 密度
'mi'san'shi'yan 弥散试验
'mi'san'xi'shu 弥散系数
'mian'ban'dui'shi'ba 面板堆石坝
'ming'wa'fa 明挖法
'mo'ca'duan'cheng'zhuang 摩擦端承桩
'mo'ca'zhuang 摩擦桩
'mo'er'ku'lun'po'huai'zhun'ze 摩尔库仑破坏准则
'mo'xing'po'huai 模形破坏
'nai'beng'jie'xing'zhi'shu 耐崩解性指数
'nei'mo'ca'jiao 内摩擦角
'ni'shi'liu 泥石流
'ni'zuo'fa 逆作法
'nian'ju'li 黏聚力
'nian'tu 黏土
'nian'ya 碾压
'nian'ya'shi'yan 碾压试验
'nian'ya'tu'ba 碾压土坝
'nian'zhi'xi'shu 黏滞系数
'niu'jian'shi'yan 扭剪试验
'pai'shui'fa 排水法
'pai'shui'gu'jie 排水固结
'pai'shui'leng'ti 排水棱体
'pai'shui'sha'jing 排水砂井
'pai'shui'ti 排水体
'pang'ya'shi'yan 旁压试验
'pao'shi'ji'yu 抛石挤淤
'pen'di 盆地
'pen'mao'zhi'hu 喷锚支护
'pen'she'hun'ning'tu 喷射混凝土
'pen'shi'kai'wa 盆式开挖
'peng'zhang'li 膨胀力
'peng'zhang'lv 膨胀率
'peng'zhang'tu 膨胀土
'peng'zhang'yan 膨胀岩
'pi'lao'qiang'du 疲劳强度
'pi'lie'guan'jiang 劈裂灌浆
'pi'lie'shi'yan 劈裂试验
'pian'xin'he'zai 偏心荷载
'pian'ya 偏压
'piao'shi 漂石
'ping'ban'shi'fa'ji 平板式筏基
'ping'yuan 平原
'po'ji'qun 坡积裙
'po'ji'tu 坡积土
'po'lv'fa 坡率法
'po'sui'dai 破碎带
'pu'wang 铺网
'qi'ti'dang'qiang 砌体挡墙
'qian'gu'jie'tu 欠固结土
'qian'hai'qu 浅海区
'qian'ji'chu 浅基础
'qian'mai'an'wa'fa 浅埋暗挖法
'qian'shui 潜水
'qian'zai'hua'dong'mian 潜在滑动面
'qiang'du'xian 强度线
'qiang'hang 强夯
'qiang'hang'zhi'huan 强夯置换
'qing'dao'po'huai 倾倒破坏
'qing'zhi'tian'tu 轻质填土
'qiu'ling 丘陵
'qu'dao 渠道
'qu'fu 屈服
'qu'fu'mian 屈服面
'qu'lv'xi'shu 曲率系数
'qu'tu'qi 取土器
'qun'zhuang'ji'chu 群桩基础
'qun'zhuang'xiao'ying 群桩效应
'qun'zhuang'xiao'ying'xi'shu 群桩效应系数
'rao'dong'tu'yang 扰动土样
'ren'fang'di'xia'shi 人防地下室
'ren'gong'bian'po 人工边坡
'ren'gong'dao 人工岛
'rong'shui'du 容水度
'rong'xian'xing 融陷性
'rong'xu'chen'jiang 容许沉降
'rong'xu'cheng'dai'li 容许承戴力
'rou'xing'ji'chu 柔性基础
'rou'xing'zhuang'fu'he'di'ji 柔性桩复合地基
'ru'dian 褥垫
'ruan'hua'xi'shu 软化系数
'ruan'ruo'jia'ceng 软弱夹层
'ruan'ruo'jie'gou'mian 软弱结构面
'san'ti'li'xue 散体力学
'san'xiang'tu 三相图
'san'zhou'kang'ya'qiang'du 三轴抗压强度
'san'zhou'shen'chang'shi'yan 三轴伸长试验
'san'zhou'ya'suo'shi'yan 三轴压缩试验
'sha'dian'ceng 砂垫层
'sha'lei'tu 砂类土
'sha'shi'zhuang'fu'he'di'ji 砂石桩复合地基
'sha'tu 砂土
'shan'di 山地
'shan'hu'sha 珊瑚砂
'shang'ceng'zhi'shui 上层滞水
'shang'you'shi'zhu'ba'fa 上游式筑坝法
'shen'ceng'jiao'ban 深层搅拌
'shen'hai'qu 深海区
'shen'ji'chu 深基础
'shen'jing'fa 深井法
'shen'li'ye 渗沥液
'shen'liu 渗流
'shen'liu'li 渗流力
'shen'shui'shi'yan 渗水试验
'shen'tou'bian'xing 渗透变形
'shen'tou'po'huai 渗透破坏
'shen'tou'shi'yan 渗透试验
'shen'tou'wen'ding'xing 渗透稳定性
'shen'tou'xi'shu 渗透系数
'sheng'bo'tan'ce 声波探测
'sheng'huo'la'ji 生活垃圾
'sheng'tai'hui'fu 生态恢复
'sheng'yu'tui'li'fa 剰余推力法
'shi'gong'dao'liu 施工导流
'shi'hui'zhuang'fu'he'di'ji 石灰桩复合地基
'shi'xian'bian'xing 湿陷变形
'shi'xian'qi'shi'ya'li 湿陷起始压力
'shi'xian'xi'shu 湿陷系数
'shi'xian'xing 湿陷性
'shi'xian'xing'tu 湿陷性土
'shi'zi'ban'jian'qie'shi'yan 十字板剪切试验
'shi'zi'jiao'you'tiao'xing'ji'chu 十字交又条形基础
'shu'gen'zhuang 树根桩
'shu'jing 竖井
'shu'jun 疏浚
'shui'li'ti'du 水力梯度
'shui'ni'tu 水泥土
'shui'ni'tu'zhong'li'shi'wei'hu'qiang 水泥土重力式围护墙
'shui'ni'tu'zhuang'fu'he'di'ji 水泥土桩复合地基
'shui'ping'shen'tou'xi'shu 水平渗透系数
'shui'shang'pao'tian 水上抛填
'shui'tou 水头
'shui'wen'di'zhi'kan'zha 水文地质勘査
'shui'wen'di'zhi'xue 水文地质学
'shui'xia'ji'chuang'hang'shi 水下基床夯实
'shui'zhui'ba 水坠坝
'shun'ba 順坝
'shun'shi'he'zai 瞬时荷载
'song'chi'shi'jian 松弛时间
'su'liao'pai'shui'dai 塑料排水带
'su'liu 塑流
'su'tian'tu 素填土
'su'xian 塑限
'su'xing'po'huai 塑性破坏
'su'xing'qu 塑性区
'su'xing'tu 塑性图
'su'xing'ying'bian 塑性应变
'su'xing'zhi'shu 塑性指数
'sui'dao 隧道
'sui'dao'jue'jin'ji'fa 隧道掘进机法
'sui'shi 碎石
'suo'xian 缩限
'suo'xing'zhi'shu 缩性指数
'ta'xian 塌陷
'ta'xian'keng 塌陷坑
'tai'sha'ji'gu'jie'li'lun 太沙基固结理论
'tan'di'lei'da'fa 探地雷达法
'tan'xing'ying'bian 弹性应变
'tao'shang'jiu'qing 掏上纠倾
'te'shu'xing'tu 特殊性土
'ti'ji'li 体积力
'ti'ji'mo'jing 体积模靖
'ti'ji'ya'suo'xi'shu 体积压缩系数
'ti'suo'lv 体缩率
'ti'ying'bian 体应变
'tian'fang 填方
'tian'mai'ku'qu 填埋库区
'tian'ran'xiu'zhi'jiao 天然休止角
'tian'tu 填土
'tiao'fen'fa 条分法
'tiao'xing'he'zai 条形荷载
'tiao'xing'ji'chu 条形基础
'tie'lu'sui'dao 铁路隧道
'tou'shui'lv 透水率
'tu'ba 土坝
'tu'de'bian'xing'mo'zhi 土的变形模址
'tu'de'bo'song'bi 土的泊松比
'tu'de'jie'gou 土的结构
'tu'de'ya'suo'mo'liang 土的压缩模量
'tu'de'ye'hua 土的液化
'tu'de'zu'gou 土的组构
'tu'di'fu'ken 土地复垦
'tu'ding 土钉
'tu'ding'kang'ba'jian'ce 土钉抗拔检测
'tu'dong 土洞
'tu'dong'li'xue 土动力学
'tu'gong'fu'he'cai'liao 土工复合材料
'tu'gong'ge'shan 土工格栅
'tu'gong'ge'shi 土工格室
'tu'gong'he'cheng'cai'liao 土工合成材料
'tu'gong'he'cheng'cai'liao'jia'jin 土工合成材料加筋
'tu'gong'he'cheng'cai'liao'peng'run'tu'dian 土工合成材料膨润土垫
'tu'gong'li'xin'mo'xing'shi'yan 土工离心模型试验
'tu'gong'mo 土工膜
'tu'gong'mo'dai 土工模袋
'tu'gong'wang'dian 土工网垫
'tu'gong'zhi'wu 土工织物
'tu'gu'jia 土骨架
'tu'li'bi'zhong 土粒比重
'tu'li'xue 土力学
'tu'sai'xiao'ying 土塞效应
'tu'shi'ba 土石坝
'tu'shi'fang'gong'cheng 土石方工程
'tu'shi'liao'hang'shi 土石料夯实
'tu'shi'liao'kai'cai 土石料开采
'tu'shi'liao'tian'zhu 土石料填筑
'tu'shi'liao'ya'shi 土石料压实
'tu'shi'yang 土试样
'tu'ti 土体
'tu'ya'li'jian'ce 土压力监测
'tuo'huan 托换
'wa'fang 挖方
'wa'gou'fa 挖沟法
'wan'zheng'yan'shi 完整岩石
'wei'hu'qiang 围护墙
'wei'ken'gong'cheng 围垦工程
'wei'kuang 尾矿
'wei'kuang'ba 尾矿坝
'wei'kuang'ku 尾矿库
'wei'mu 帷幕
'wei'mu'guan'jiang 帷幕灌浆
'wei'shun 围順
'wei'xian'xing'fei'wu 危险性废物
'wei'yan 围岩
'wei'yan'ti 危岩体
'wei'yan'ya'li 闱岩压力
'wei'yan'ying'li 围岩应力
'wen'ding'fen'xi 稳定分析
'wen'ding'shen'liu 稳定渗流
'wen'ding'shu 稳定数
'wu'ce'xian'kang'ya'qiang'du 无侧限抗压强度
'wu'fang'tu'gong'zhi'wu 无纺土工织物
'wu'jin'kuo'zhan'ji'chu 无筋扩展基础
'wu'ni 污泥
'wu'ni'chu'li 污泥处理
'wu'ni'gu'hua 污泥固化
'wu'ran'tu 污染土
'wu'ran'tu'chu'li 污染土处理
'wu'ran'tu'xiu'fu 污染土修复
'xi'li'lei'tu 细粒类土
'xi'li'shi'tong'xing'ji'chu 吸力式桶形基础
'xi'zhe'shui 吸着水
'xia'feng'fa'shi'yan 狭缝法试验
'xia'la'he'zai 下拉荷载
'xia'wo'ceng 下卧层
'xia'you'shi'zhu'ba'fa 下游式筑坝法
'xian'chang'jian'ce'xian'chang'jian'ce 现场监测现场检测
'xian'he'zai 线荷载
'xian'li'lv 线璃率
'xian'qi'gu'jie'ya'li 先期固结压力
'xian'wei'tu 纤维土
'xian'zhi'li'jing 限制粒径
'xiang'dui'mi'du 相对密度
'xiang'xie 向斜
'xiang'xing'ji'chu 箱形基础
'xie'jing 斜井
'xin'ao'fa 新奥法
'xin'qiang 心墙
'xin'qiang'dui'shi'ba 心墙堆石坝
'xin'xian'yan'shi 新鲜岩石
'xing'gang'shui'ni'tu'jiao'ban'qiang 型钢水泥土搅拌墙
'xuan'bi'shi'dang'qiang 悬臂式挡墙
'ya'jian'shi'yan 压剪试验
'ya'li'fen'san'xing'mao'gan 压力分散型锚杆
'ya'shi'du 压实度
'ya'shi'nian'tu'chen'dian 压实黏土衬垫
'ya'shui'shi'yan 压水试验
'ya'suo'mo'liang 压缩模量
'ya'suo'xi'shu 压缩系数
'ya'suo'xing 压缩性
'ya'suo'zhi'shu 压缩指数
'yan'bao 岩爆
'yan'beng 岩崩
'yan'jiang'yan 岩浆岩
'yan'kuai 岩块
'yan'kui'tu 盐溃土
'yan'rong 岩溶
'yan'rong'shui 岩溶水
'yan'rong'ta'xian 岩溶塌陷
'yan'rong'xian'luo'zhu 岩溶陷落柱
'yan'sai'ba 堰塞坝
'yan'se'hu 堰塞湖
'yan'shi 岩石
'yan'shi'bian'xing'mo'liang 岩石变形模量
'yan'shi'bo'song'bi 岩石泊松比
'yan'shi'ce'xiang'yue'shu'peng'zhang'lv 岩石侧向约束膨胀率
'yan'shi'dan'xing'mo'liang 岩石弾性模量
'yan'shi'fen'lei 岩石分类
'yan'shi'han'shui'lv 岩石含水率
'yan'shi'jian'ying'cheng'du 岩石坚硬程度
'yan'shi'kang'jian'qiang'du 岩石抗剪强度
'yan'shi'ke'li'mi'du 岩石颗粒密度
'yan'shi'kuai'ti'mi'du 岩石块体密度
'yan'shi'kuo'rong 岩石扩容
'yan'shi'li'xue 岩石力学
'yan'shi'li'xue'xing'zhi 岩石力学性质
'yan'shi'nai'beng'jie'xing'shi'yan 岩石耐崩解性试验
'yan'shi'peng'zhang'ya'li 岩石膨胀压力
'yan'shi'sheng'fa'she 岩石声发射
'yan'shi'wu'li'xing'zhi 岩石物理性质
'yan'shi'xi'shui'lv 岩石吸水率
'yan'shi'zhi'liang'zhi'biao 岩石质量指标
'yan'shi'zi'you'peng'zhang'lv 岩石自由膨胀率
'yan'ti 岩体
'yan'ti'ji'ben'zhi'di 岩体基本质抵
