'ai'ni'wen 哀溺文
'gong'zhi'qiao'xian'qin 工之侨献琴
'gou 狗
'gou'fei'yang'bu 狗吠杨布
'gou'ni'jing 狗溺井
'gu'ren'zhong'cai 贾人重财
'gu'yu'niu 鼓与牛
'guan'bu'yu'ji 观捕鱼记
'guan'niao'qian'chao 鹳鸟迁巢
'guan'yu'shuo 观鱼说
'gui'pa'e'ren 鬼怕恶人
'gui'wu 鬼误
'guo'ma'yu'jun'ma 国马与骏马
'ha'ma'wa'ying'yu'chen'ji 虾蟆蛙蝇与晨鸡
'hai'da'yu 海大鱼
'han'dan'xue'bu 邯郸学步
'han'jun'ze'chun 韩君择鹑
'han'sheng'liao'qin'wang 韩生料秦王
'han'yin'zhang'ren 汉阴丈人
'hao'lie'zhe 好猎者
'he'shi'zhi'bi 和氏之璧
'he'tun'yu'shuo 河豚鱼说
'he'ze'zhi'she 涸泽之蛇
'he'zhe'zhi'fu 涸辙之鲋
'hu'jia'hu'wei 狐假虎威
'hu'li'zi'ze'zhou 瓠里子择舟
'hu'shuo 鹘说
'hu'you'huan'xing 狐友幻形
'hu'yu'ci'wei 虎与刺猬
'hua'gui'zui'yi 画鬼最易
'hua'jia'zhe 画荚者
'hua'pi 画皮
'hua'she'tian'zu 画蛇添足
'huai'bei'feng'yu'jiang'nan'xie 淮北蜂与江南蟹
'huan'chi 痪驰
'huang'di'yi'mao 皇帝衣帽
'huang'gong'er'nv 黄公二女
'huang'hu 恍惚
'hui 虺
'hui'wang 贿亡
'hui'zhong'yan'er 毁钟掩耳
'hui'zi'jia'qiong 惠子家穷
'huo'shi 火石
'huo'yu'hu 火与虎
'ji 觙
'ji 棘
'ji'bu'cheng'ma 急不乘马
'ji'chang'xue'she 纪昌学射
'ji'ge 记鸽
'ji'hou'hao'ju 纪侯好狙
'ji'jian'ke'hou 棘尖刻猴
'ji'lin'jia'zhi'zi 击邻家之子
'ji'luan 鸡卵
'ji'qie'yu'kuo'yu 即且与蛞蝓
'ji'quan'yu'jiao'tu 疾犬与狡兔
'ji'xie 记蝎
'ji'yu'hong'hu 鸡与鸿鹄
'jia'ren 假人
'jia'yan 加盐
'jian'shi'yi'shang 剪矢医伤
'jian'yao 鉴药
'jian'zi'fang'sheng 简子放生
'jiang'du 姜赌
'jiang'nan'cen'sheng 江南岑生
'jiang'shang'chu'nv 江上处女
'jiang'shi'yun'jin'cheng'feng 匠石运斤成风
'jiang'yu 疆与
'jiao'tan 较贪
'jiao'tong'wei'lin 脚痛委邻
'jiao'xiang'long'ming 角象龙鸣
'jiao'zhu'gu'se 胶柱鼓瑟
'jie'chi'qiu'zhu 竭池求珠
'jie'chong 介虫
'jie'gan'ru'cheng 截竿入城
'jie'guan'xiong'ji'zhi 截冠雄鸡志
'jin'hu'dan'shu 金壶丹书
'jin'ling'gong'hao'gou 晋灵公好狗
'jin'ren'hao'li 晋人好利
'jin'wen'zi 禁蚊子
'jing'gong'zhi'niao 惊弓之鸟
'jing'ren'wei'gui 荆人畏鬼
'jing'ren'yi'gong 荆人遗弓
'jing'wa 井蛙
'jing'zhou 儆舟
'jiu'chen'zhi 救沉志
'jiu'fang'gao'xiang'ma 九方皋相马
'jiu'tou'zheng'shi 九头争食
'jiu'wei'zhi'hu 九尾之狐
'ju'gong 狙公
'ju'gong'yang'ju 狙公养狙
'ju'lou'zhe'cheng'tiao 痀偻者承蜩
'ju'yu'huai'wei'zhi 桔逾淮为枳
'ju'yuan 枸橼
'ju'zhang'ye'ren 句章野人
'juan'shu'liang 涓蜀梁
'jue'jin'zhe 攫金者
'jue'shu'san'hui 蹶叔三悔
'kang'hui'chu'shan 康回触山
'ke'fan'peng'li 客泛彭蠡
'ke'ji'qin'si 客击秦斯
'ke'zheng'meng'yu'hu 苛政猛于虎
'ke'zhou'qiu'jian 刻舟求剑
'kong'zi'kun'chen'cai 孔子困陈蔡
'kong'zi'ma'yi 孔子马逸
'kou'bi'yan'mei'zheng'bian 口鼻眼眉争辩
'kou'bu'wei'fu'gen 寇不韦斧根
'kou'jiao'zheng 口脚争
'kou'pan'men'zhu 扣盘扪烛
'ku'ma'gan 刳马肝
'ku'wu'shu 枯梧树
'kua'fu 夸父
'kuang'quan 狂泉
'kui'xian'she'yu'feng 夔蚿蛇与风
'kui'yi'zu 夔一足
'kun'peng'yu'chi'yan 鲲鹏与斥鴳
'kun'wu'jian'yu'huo'huan'bu 锟铻剑与火浣布
'lan'pan'he 烂盘盒
'lan'yu'chong'shu 滥竽充数
'lan'zi 兰子
'lang'san'ze 狼三则
'lang'zi'ye'xin 狼子野心
'lao'hu'qiu'sheng 老虎求生
'lao'shan'dao'shi 劳山道士
'lao'yu'yu'hu 老妪与虎
'li'qiu'zhang'ren 黎丘丈人
'li'ren'li'shi 吏人立誓
'li'sheng 狸狌
'liang'gu 两瞽
'liang'hu'xiang'dou 两虎相斗
'liang'xiao'er'bian'ri 两小儿辩日
'liang'yi 良医
'liao'dong'shi 辽东豕
'lie'quan'bi'ying 猎犬毙鹰
'lie'yu'kou'wei'bo'hun'wu'ren'she 列御寇为伯昏无人射
'lie'zhe'de'mi 猎者得麋
'lie'zi'she'zhong 列子射中
'lie'zong'zi'hong 列宗子泓
'lin'hui'qi'bi 林回弃璧
'lin'jiang'zhi'mi 临江之麋
'lin'nv'shuo 邻女说
'lin'zhi'fu'sou'ji 邻之富叟疾
'ling'gong'hao'fu'ren'er'zhang'fu'shi'zhe 灵公好妇人而丈夫饰者
'ling'qiu'zhang'ren 灵丘丈人
'liu'he'yu'mao'cui 六翮与毛毳
'long'wang'feng'wa 龙王逢蛙
'lu'hou'yang'niao 鲁侯养鸟
'lu'jian'men'zhi'nv'ying 鲁监门之女婴
'lu'ren'bao'chou 鲁人报仇
'lu'ren'hao'diao 鲁人好钓
'lu'ren'qu'zao 鲁人取糟
'lu'ren'xi'yue 鲁人徙越
'lu'shao'ru 鲁少儒
'lun'bian 轮扁
'lun'qu 论蛆
'lun'ren'yu'jiang'ren 轮人与匠人
'luo'cha 罗刹
'luo'yang'bu'yi 洛阳布衣
'ma'jia 马嘉
'ma'que'qing'yan 麻雀请宴
'ma'shi'chong'wen 骂尸虫文
'ma'shuo 马说
'ma'ya 骂鸭
'mai'du'huan'zhu 买椟还珠
'mai'gan'zhe'yan 卖柑者言
'mai'liang'tou'she 埋两头蛇
'mai'pu 买璞
'mai'tun 卖豚
'mai'you'weng 卖油翁
'mai'zhai'bi'han 卖宅避悍
'mang'zhe'shuo 盲者说
'mang'zi'zhui'qiao 盲子坠桥
'mao'chi'su 猫吃素
'mao'hao 猫号
'mao'hu'shuo 猫虎说
'mao'shuo 猫说
'mao'ying'chuan 毛颖传
'men'zhe'juan'shui 门者捐水
'meng'gou 猛狗
'meng'jiu 蒙鸠
'meng'ren'yu'hu 蒙人遇虎
'meng'sun'lie'de'ni 孟孙猎得麑
'meng'zao 梦灶
'mi'deng'jiao 觅登脚
'mi'wang'zhi'ji 迷罔之疾
'mi'zi'xia 弥子瑕
'miao'yu'yu 苗与雨
'min'shu 闽姝
'mo'kan'hu'pi 莫砍虎皮
'mo'zi'wei'mu'yuan 墨子为木鸢
'mo'zi'yu'wu'ma'zi 墨子与巫马子
'mu'bu'jian'jie 目不见睫
'mu'shu 牧竖
'mu'tian'zi'yang'ma 穆天子养马
'nan'fang'ren'zhi'jing'shi 南方人至京师
'nan'ke'tai'shou'chuan 南柯太守传
'nan'wen'zi'kuang'yi 南文子狂易
'nan'yuan'bei'zhe 南辕北辙
'nang'ying'ying'xue 囊萤映雪
'nao'shuo 猱说
'niao 茑
'niao'jie 鸟戒
'niao'shuo 鸟说
'niu'lian'zong 牛联宗
'niu'que'yu'dao 牛缺遇盗
'niu'wei'li 牛尾狸
'nu'wa'shuo 怒蛙说
'ou'niao 沤鸟
'pao'ding'jie'niu 庖丁解牛
'peng'yu'jiao'ming 鹏与焦冥
'pi'shuo 罴说
'pian'ku'zhi'yao 偏枯之药
'qi'gong'song 齐攻宋
'qi'huan'gong'hao'fu'zi 齐桓公好服紫
'qi'huan'gong'rang'gong'shi'han 齐桓公让工师翰
'qi'huan'gong'she'ting'liao 齐桓公设庭燎
'qi'jing'gong'cheng'she 齐景公惩奢
'qi'jing'gong'chu'lie 齐景公出猎
'qi'liu 乞柳
'qi'lu'wang'yang 歧路亡羊
'qi'mao 乞猫
'qi'qi 欹器
'qi'ren'you'tian 杞人忧天
'qi'wang'jian'he'bo 齐王见河伯
'qi'wu'yu'ji 葺屋遇霁
'qi'zhuang'gong'chu'lie 齐庄公出猎
'qian'fu 遣妇
'qian'que'yu'qu'yu 乾鹊与鸲鹆
'qian'shen'wen'dui 钱神问对
'qian'zhi'lv 黔之驴
'qian'zhong'hao'hui 黔中好贿
'qin'bo'jia'nv 秦伯嫁女
'qin'shi'hao'gu 秦士好古
'qin'yu 琴谕
'qing'bo'de'wei'fa 请舶得苇筏
'qiong'gui'chuan 穷鬼传
'qiu'bing'suo'ji 求病所忌
'qiu'sheng'de'si 求生得死
'qu'dao 祛盗
'qu'tu'xi'xin 曲突徙薪
'qu'wen'yu 驱蚊喻
'qu'yu'yu'chan 鸲鹆与蝉
'quan 犬
'que'chao'fu'zhi 鹊巢扶枝
'qun'shi 群虱
'qun'wen 群蚊
'ran'si 染丝
'rang'ji'zhe 攘鸡者
'rang'shu'feng 让鼠蜂
'ren'gong'zi'diao'yu 任公子钓鱼
'ren'hu'shuo 人虎说
'ren'shen'tang 人参汤
'rong'yi 戎夷
'rou'shi'zhe'zhi 肉食者智
'ru'yi'shi'li'fa'zhong 儒以诗礼发冢
'rui'bo'xian'ma 芮伯献马
'ruo'shi 若石
'sai'weng'shi'ma 塞翁失马
'san'ren'cheng'hu 三人成虎
'san'ren'xing'jia 三人行贾
'san'shi'guo'he 三豕过河
'san'shi'shi'zhi 三虱食彘
'san'shi'zhi'gong 三石之弓
'sang'zhong'li 桑中李
'shan'dong'gong'zi 山东公子
'shan'hu'zhe 善呼者
'shan'ji'zhe 善计者
'shan'mu'yu'yan 山木与雁
'shan'zhi'yu'feng'huang 山雉与凤凰
'shang'di'sha'long 上帝杀龙
'shang'ling'jun'huan'long 商陵君豢龙
'shang'tai'zai 商太宰
'she'ji'zhi'ou 射稽之讴
'she'shu 社鼠
'she'wu 蛇雾
'she'yu'zhe'dui'zhi'bo 设渔者对智伯
'shen'wen 深文
'shi'che'xia'zou 释车下走
'shi'huai'bu'xiu 室坏不修
'shi'jia'zhi'lin 十家之邻
'shi'kuang'quan'xue 师旷劝学
'shi'qiao 拾樵
'shi'shi'yu'meng'shi 施氏与孟氏
'shi'wang'he'chai'lang 狮王和豺狼
'shi'yi'shen'jian 石邑深涧
'shi'zhong'tan'qin 市中弹琴
'shou'zhu'dai'tu 守株待兔
'shu'bing 述病
'shu'dou'yu 书斗鱼
'shu'hu'yu'hun'dun 倏忽与浑沌
'shu'ji 蜀鸡
'shu'sang 树桑
'shu'shi'san'jia 蜀市三贾
'shu'ye'yin'shen 树叶隐身
'shu'yong'jia'bei 暑拥夹被
'shu'yun'qing'huo 束蕴请火
'shuo'ji 说骥
'shuo'tian'ji 说天鸡
'si'yuan'lie'shi 司原猎豕
'song 松
'song'jian 宋笺
'song'ren'fu'gu 宋人富贾
'song'ren'ming'mu 宋人名母
'song'ren'xian'pu 宋人献璞
'song'ren'xue'dao 宋人学盗
'song'ren'yu'ma 宋人御马
'song'yuan'jun'yu'shen'gui 宋元君与神龟
'song'zhi'yu'ren 宋之愚人
'tan'niu 叹牛
'tang'lang'bu'chan 螳螂捕蝉
'tang'lang'bu'she 螳螂捕蛇
'tang'meng'yu'bi'li 唐蒙与薜荔
'tao'fu'yu'ai'ren 桃符与艾人
'tao'hua'yuan'ji 桃花源记
'teng'yuan 腾猿
'tian'ba'ju'yu'ji'xia 田巴居于稷下
'tian'fu'de'yu 田父得玉
'tian'zhong 田仲
'ting'jian'ling'sheng 听见铃声
'tu'long'shu 屠龙术
'tu'niu'tu 屠牛吐
'tu'ou'dui 土偶对
'tu'ou'ren'yu'tao'geng 土偶人与桃梗
'tuo'yu'ha'ma 鼍与虾蟆
'wai'ren'hao'kan 外人好看
'wan'gu'cang'zhu 剜股藏珠
'wan'xian'zhe'ban 挽纤折半
'wan'zi 万字
'wang'cai'yi'lin 亡财疑邻
'wang'ji'de'mao 亡戟得矛
'wang'liang'wen'jing 罔两问景
'wang'liang'wen'ying 罔两问影
'wang'tie 亡铁
'wang'wei 王鲔
'wang'xin 妄心
'wang'yang 亡羊
'wang'yang'xing'tan 望洋兴叹
'wang'yu'wu 罔与勿
'wei'jia'yi'zu 为甲以组
'wei'man'tou 畏馒头
'wei'ren'jiao'nv 卫人教女
'wei'ren'ying'xin'fu 卫人迎新妇
'wei'wen'hou'gai'guo 魏文侯改过
'wei'xiao'zhe'de'zhu 纬萧者得珠
'wei'xue 为学
'wei'yi 为义
'wei'ying'e'ji 畏影恶迹
'wen'dui 蚊对
'wen'ri'zi 问日字
'weng'mao 瓮帽
'wo'jiao'zhi'zhan 蜗角之战
'wu'ding'zhi'nu 五丁之怒
'wu'gong'yu'yin 蜈蚣与蚓
'wu'jie 乌戒
'wu'ren'shan'yu 吴人善渔
'wu'shi'bu'xiao'bai'bu 五十步笑百步
'wu'wang'she'ju 吴王射狙
'wu'wu'bai 吴五百
'wu'zei'yu'shuo 乌贼鱼说
'wu'zhi'qi'yu'he'bo 无支祈与河伯
'xi'guo'zi'qiao'duo'hun 西郭子侨堕溷
'xi'lin'wu'zi 西邻五子
'xi'lu'duo'yu'he 螇螰堕于河
'xi'lv'guo'dong'du'he 西闾过东渡河
'xi'ren'cong'yin 徙衽从阴
'xi'shi'bing'xin 西施病心
'xi'wang'xu 西王须
'xi'yu'jia'shou'bao 西域贾售宝
'xia'shu 黠鼠
'xia'zi'chi'yu 瞎子吃鱼
'xiang'gou 相狗
'xiang'jian'zhe 相剑者
'xiang'ma 相马
'xiang'ren'kan'xue'xing 乡人看靴形
'xiang'ru'yi'mo 相濡以沫
'xiao'dong'xi 枭东徙
'xiao'er'bu'wei'hu 小儿不畏虎
'xiao'ren'peng'yu 校人烹鱼
'xie'hu 械虎
'xing'xing 猩猩
'xue'tan'xue'ou 薛谭学讴
'xue'yi 学奕
'xun'biao'she'yong 循表涉澭
'ya'miao'zhu'zhang 揠苗助长
'ya'yu'qian'que 鸦与乾鹊
'ya'zi'shuo'hua 哑子说话
'yan'dan 腌蛋
'yan'qi'nan'can 烟气难餐
'yan'que'chu'shi 燕雀处室
'yan'que'chu'wu 燕雀处屋
'yan'ren'fan'guo 燕人返国
'yan'wang'hao'wu 燕王好乌
'yan'yu 腌鱼
'yan'zi'ci'gao'liao 晏子辞高缭
'yang'dou'zhi'xiong 阳都之熊
'yang'lan'shuo 养兰说
'yang'li'shu 养狸述
'yang'qiu'zai'nian 羊裘在念
'yang'you'ji'shan'she 养由基善射
'yang'you'ji'she'shen'bai'yuan 养由基射神白猿
'yang'zhou'zeng'yan 阳昼赠言
'yang'zi'guo'song 杨子过宋
'yao'shu 妖术
'yao'shu'qu'ling 摇树取菱
'ye'gong'hao'long 叶公好龙
'yi'cao'gong 羿操弓
'yi'fu'wei'hu 以凫为鹘
'yi'lan 刈兰
'yi'liang 易梁
'yi'mu'zhi'luo 一目之罗
'yi'que 异鹊
'yi'rang'jiu'huo 揖让救火
'yi'shi'dai'geng 以豕代耕
'yi'tuo 医驼
'yi'xie'bu'ru'yi'xie 一蟹不如一蟹
'yin'ru'xue'yu 尹儒学御
'yin'ying'tou'jiang 引婴投江
'ying'qiu'shi'zhe'nan 营丘士折难
'ying'ren'ge'ying 郢人割瘿
'ying'wu'mie'huo 鹦鹉灭火
'ying'zuan 蝇钻
'yong'mou'shi'zhi'shu 永某氏之鼠
'you'fu'she'wen 宥蝮蛇文
'you'mu 忧木
'yu'bang'xiang'zheng 鹬蚌相争
'yu'fu 虞孚
'yu'gong'yi'shan 愚公移山
'yu'gong'zhi'si 庾公之斯
'yu'hu'mou'pi 与狐谋皮
'yu'ku 预哭
'yu'lao'ren'chuan 芋老人传
'yu'li'zi'ju'shan 郁离子居山
'yu'li'zi'ku'huai'zhai 郁离子哭坏宅
'yu'qing'wei'wu 虞庆为屋
'yu'quan 鬻犬
'yu'ren'shi'dai 愚人失袋
'yu'shi 虞氏
'yu'shi 浴矢
'yu'tan 鱼叹
'yu'wei'chu'ye 玉为楮叶
'yu'xi'dui 愚溪对
'yu'yan'sheng'yu'san'wu'cong'chen 玉戭生与三乌丛臣
'yu'zhi'le 鱼之乐
'yuan'chu'yu'chi 鹓鶵与鸱
'yuan'huan'shou'zhi 愿换手指
'yuan'jing'mu'zhi'si 爰旌目之死
'yuan'shui'bu'jiu'jin'huo 远水不救近火
'yue'che 越车
'yue'gong'cao'zhou 粤工操舟
'yue'ren'jing'shu 越人阱鼠
'yue'ren'yu'gou 越人遇狗
'yue'wang'hao'yong 越王好勇
'yue'wu 越巫
'yue'you'shan'nong'zhe 粤有善农者
'yun'meng'tian 云梦田
'zai'chen'shang'zhi 宰臣上炙
'zao'fu'xue'yu 造父学御
'zao'zhong 凿钟
'zeng'shen'sha'ren 曾参杀人
'zeng'wang'sun'wen 憎王孙文
'zeng'zi'sha'zhi 曾子杀彘
'zhan'he 詹何
'zhan'he'diao'yu 詹何钓鱼
'zhao'xiang'wang'xue'yu 赵襄王学御
'zhao'ye'long'dui 招野龙对
'zhao'zhi'wen 昭支昷
'zhe'long'shuo 谪龙说
'zhen'shuo 鸩说
'zhen'zhong'ji 枕中记
'zheng'ren'ai'yu 郑人爱鱼
'zheng'ren'mai'lv 郑人买履
'zheng'ren'zheng'nian 郑人争年
'zheng'shi'wen'xue'gu'qin 郑师文学鼓琴
'zheng'yan 争雁
'zhi'gui 致鬼
'zhi'ma'jing'yi'qiu'ma 执马经以求马
'zhi'zhu'yu'she 蜘蛛与蛇
'zhong'dao 种稻
'zhong'li 种梨
'zhong'shan'lang'chuan 中山狼传
'zhong'shu'guo'tuo'tuo'chuan 种树郭橐驼传
'zhong'tian'tai 中天台
'zhong'ting'shuo 钟莛说
'zhong'yang'shu 种杨树
'zhou'ren'bu'yu 周人不遇
'zhou'wei'xiang'zhu 纣为象箸
'zhu'chou 逐臭
'zhu'yu'can 蛛与蚕
'zhu'ze 煮箦
'zhu'zou'wang'niao 烛邹亡鸟
'zhuang'li'zhang'ren 庄里丈人
'zhuang'zi'diao'yu'pu'shui 庄子钓于濮水
'zhuang'zi'qi'si 庄子妻死
'zhuang'zi'yu'e'ren 庄子与饿人
'zhui'nv'shi'qi 追女失妻
'zi'chan'chen'chu 子产晨出
'zi'liu'shen'fei'ou 子翏慎妃耦
'zi'qi'xian'min 子旗献珉
'zi'qing'xue'mu'wei'ju 梓庆削木为鐻
'zi'xia'jian'zeng'zi 子夏见曾子
'zi'xiang'mao'dun 自相矛盾
'zi'yu'ji 梓与棘
'zi'yu'jin'chan 子圉进谗
'zou'ji'kui'jing 邹忌窥镜
'zui'hou 醉猴
'zui'xiang'ji 醉乡记
'zuo'bing 琢冰
