'an'mei 暗煤
'chan'pin'ping'heng'biao 产品平衡表
'chan'pin'tuo'shui 产品脱水
'chan'pin'yu'ce 产品预测
'chang'kai'shi 敞开式
'chang'kai'shi'yuan'pan'gei'liao'ji 敞开式圆盘给料机
'chang'qu'gai'kuang 厂区概况
'chang'xing 厂型
'chang'yan'mei 长焰煤
'chang'yong'dai'hao 常用代号
'chao'sheng'bo'liao'wei'ji 超声波料位计
'che'hao'shi'bie'xi'tong 车号识别系统
'che'hao'zi'dong'shi'bie'xi'tong 车号自动识别系统
'che'shi 车式
'che'shi'la'jin 车式拉紧
'che'shi'la'jin'zhuang'zhi 车式拉紧装置
'chen'ban 衬板
'chen'dian'cao 沉淀槽
'chen'dian'chi 沉淀池
'chen'dian'mian'ji 沉淀面积
'chen'dian'ta 沉淀塔
'chen'jiang'guo'lv 沉降过滤
'chen'jiang'guo'lv'shi 沉降过滤式
'chen'jiang'guo'lv'shi'li'xin'ji 沉降过滤式离心机
'chen'jiang'guo'lv'shi'li'xin'tuo'shui'ji 沉降过滤式离心脱水机
'chen'jiang'mian'ji 沉降面积
'chen'jiang'shi 沉降式
'chen'jiang'shi'li'xin'ji 沉降式离心机
'chen'jiang'shi'li'xin'tuo'shui'ji 沉降式离心脱水机
'chen'jiang'shi'yan 沉降试验
'chen'jiang'su'du 沉降速度
'chen'jiang'te'xing 沉降特性
'chen'mei'yang 沉煤样
'chen'wu 沉物
'chen'wu'lei'ji 沉物累计
'chen'wu'lei'ji'chan'lv 沉物累计产率
'chen'wu'qu'xian 沉物曲线
'cheng'liang'fa'ma 称量砝码
'cheng'liang'kong'zhi'qi 称量控制器
'cheng'qing'qu 澄清区
'cheng'qing'shui 澄清水
'cheng'qing'shui'chi 澄清水池
'cheng'zai'tai 承载台
'cheng'zhong'cang 称重仓
'cheng'zhong'chuan'gan'qi 称重传感器
'cheng'zhong'liang 承重梁
'chi'ban 齿板
'chi'gun 齿辊
'chi'gun'shi'po'sui'ji 齿辊式破碎机
'chi'lun'qiao 齿轮桥
'chi'mian'gun 齿面辊
'chi'shu 齿数
'chi'tiao 齿条
'chi'tiao'shi 齿条式
'chi'ya 齿牙
'chi'zhi 齿质
'chong'ji'shi 冲击式
'chong'ji'shi'po'sui'ji 冲击式破碎机
'chong'kong 冲孔
'chong'kong'shai'ban 冲孔筛板
'chong'qi'jiao'ban'zhuang'zhi 充气搅拌装置
'chong'qi'shi 充气式
'chong'shui'cao 冲水槽
'chong'tian'lv 充填率
'chong'tian'xi'shu 充填系数
'chong'xuan 重选
'chong'xuan'fa 重选法
'chong'xuan'xi'tong 重选系统
'chou'feng 抽风
'chu'bu'ke'xing'xing'yan'jiu 初步可行性研究
'chu'bu'she'ji 初步设计
'chu'chen'qi 除尘器
'chu'chen'she'bei 除尘设备
'chu'kuang 储矿
'chu'la'li 初拉力
'chu'liao'kou 出料口
'chu'mei 储煤
'chu'mei'cang 储煤仓
'chu'mei'cao 储煤槽
'chu'mei'chang 储煤场
'chu'tie'qi 除铁器
'chu'za 除杂
'chuan'dong'gun'tong 传动滚筒
'chuan'dong'jia 传动架
'chuan'gan'qi 传感器
'chuan'lian'bu'zhi 串联布置
'chuan'lian'shi 串联式
'chuan'tiao 穿条
'chuang'ceng 床层
'chuang'kou'yi'liu 窗口溢流
'chui'feng'xie'liao 吹风卸料
'chui'shi 锤式
'chui'shi'po'sui'ji 锤式破碎机
'chui'sui'ji 锤碎机
'chui'zhen'fa 锤振法
'chui'zhi'yuan'pan'guo'lv'ji 垂直圆盘过滤机
'ci'li'tuo'shui'cao 磁力脱水槽
'ci'liang 次梁
'ci'tie'kuang'fen 磁铁矿粉
'ci'xing'wu 磁性物
'ci'xing'wu'han'liang'ce'liang'yi 磁性物含量测量仪
'ci'xuan 磁选
'ci'xuan'ji 磁选机
'ci'xuan'she'bei 磁选设备
'cong'dong'gun 从动辊
'cu'jin'ji 促进剂
'cu'jing'mei 粗精煤
'cu'jing'mei'tuo'shui'shai 粗精煤脱水筛
'cu'mei'ni 粗煤泥
'cu'mo 粗磨
'cu'sui 粗碎
'cu'xuan 粗选
'cui'du 脆度
'da'di'gong'cheng'kai'fa'you'xian'gong'si 大地工程开发有限公司
'da'di'wen 大地文
'da'fang'jiao 大放脚
'da'hua'bao'hu 打滑保护
'da'kuai'mei'po'sui'zi'liao 大块煤破碎资料
'da'shai'fen 大筛分
'da'xiu 大修
'dai'shi'shu'song'ji 带式输送机
'dan'cao 单槽
'dan'che'tui'dong'wei'ji'gui'dao'heng 单车推动微机轨道衡
'dan'chi'gun'po'sui'ji 单齿辊破碎机
'dan'dian'zhuang'che 单点装车
'dan'du'ji'chu 单独基础
'dan'duan'beng'gong'liao 单段泵供料
'dan'gai'ban 单盖板
'dan'gai'ban'fa 单盖板阀
'dan'gui 单轨
'dan'gun 单辊
'dan'gun'tong'ci'xuan'ji 单滚筒磁选机
'dan'ji'dan'xi'li'xin'beng 单级单吸离心泵
'dan'mian'xie'liao 单面卸料
'dan'mian'xie'liao'shi 单面卸料式
'dan'tai'mian 单台面
'dan'tai'mian'wei'ji'dong'tai'gui'dao'heng 单台面微机动态轨道衡
'dan'wei'fu'he'ding'e 单位负荷定额
'dan'xian'zhuang'che 单线装车
'dan'xuan'bi'hui'zhuan'dui'liao'ji 单悬臂回转堆料机
'dan'yuan'fu'chen'shi'yan 单元浮沉试验
'dan'zhou'zhen'dong'shai 单轴振动筛
'dang'lun 挡轮
'dang'shui'ba 挡水坝
'dao'cao 导槽
'dao'li'xing 倒立型
'dao'liao 导料
'dao'liao'cao 导料槽
'dao'liu'ban 导流板
'dao'ren'shi 刀刃式
'dao'xiang'gun 导向辊
'deng'hou 等厚
'deng'hou'shai 等厚筛
'deng'jiang'bi 等降比
'deng'ya'qiang 等压强
'di'bang'fang 地磅房
'di'gou 地沟
'di'hui 低灰
'di'hui'fa'fen 低挥发分
'di'hui'fen'mei 低灰分煤
'di'hui'mei 低灰煤
'di'li'tu 地理图
'di'liu 低硫
'di'liu'beng 底流泵
'di'liu'cao 底流槽
'di'liu'fen'mei 低硫分煤
'di'liu'jing'mei 低硫精煤
'di'liu'kou 底流口
'di'liu'mei 低硫煤
'di'mi'du'ji 低密度级
'di'mian'yun'shu 地面运输
'di're'zhi'mei 低热值煤
'di'shang'shi 地上式
'di'shi 低式
'di'shi'tou'jia 低式头架
'di'su'heng'su'ji'che 低速恒速机车
'di'xia'shi'shou'mei'keng 地下式受煤坑
'di'xia'zhu'mei'cang 地下贮煤仓
'di'xing'tu 地形图
'di'zhi'kan'cha'zi'liao 地质勘查资料
'di'zhong'hui'mei 低中灰煤
'di'zhong'liu'mei 低中硫煤
'dian'ci'jiao'dai'gun'tong 电磁胶带滚筒
'dian'ci'xi'tie'qi 电磁吸铁器
'dian'ci'zhen'dong 电磁振动
'dian'ci'zhen'dong'gei'liao'ji 电磁振动给料机
'dian'dong'dan'liang'qi'zhong'ji 电动单梁起重机
'dian'dong'die'xing'fa 电动蝶形阀
'dian'dong'gun'tong 电动滚筒
'dian'dong'hu'lu 电动葫芦
'dian'dong'xiao'che 电动小车
'dian'dong'xiao'che'shi 电动小车式
'dian'dong'zha'men 电动闸门
'dian'ji'zong'he'bao'hu'qi 电机综合保护器
'dian'kong'qi'dong 电控气动
'dian'kong'qi'dong'dan'gai'ban'feng'fa 电控气动单盖板风阀
'dian'li'zhuan'ye 电力专业
'dian'liang'bian'huan'qi 电量变换器
'dian'liu'bian'huan'qi 电流变换器
'dian'liu'jian'ce'zhuang'zhi 电流监测装置
'dian'mei 电煤
'dian'qi'shi'gong'tu 电气施工图
'dian'qi'shi'jin'shu'jian'chu'ji 电气式金属检出机
'dian'qi'zhuan'ye 电气专业
'dian're'ban 电热板
'dian'rong'ye'wei'ji 电容液位计
'dian'xuan 电选
'dian'xun'zhuan'ye 电讯专业
'dian'zi'gui'dao'heng 电子轨道衡
'diao'che'ji'che 调车机车
'diao'che'jiao'che 调车绞车
'diao'gua'zhuang'zhi 吊挂装置
'die'luo'shi'yan'fa 跌落试验法
'die'xing'fa 蝶形阀
'die'xing'tan'huang 碟形弹簧
'ding'jin 顶紧
'ding'jin'lv'ban 顶紧滤板
'ding'liang'cheng'liang 定量称量
'ding'liang'lou'dou 定量漏斗
'ding'liang'zhuang'che 定量装车
'ding'liu'yi 定硫仪
'ding'shai'tiao'tai'ji 定筛跳汰机
'ding'ya 定压
'ding'ya'gei'liao'ji'he'gao 定压给料几何高
'ding'ya'lou'dou 定压漏斗
'ding'ya'xiang 定压箱
'ding'yin 定因
'ding'yin'mo'xing 定因模型
'dong'e 动颚
'dong'jie'tiao'jie'ji 冻结调节剂
'dong'li'mei 动力煤
'dong'li'mei'xuan'mei'chang 动力煤选煤厂
'dong'shai 动筛
'dong'shai'che'jian 动筛车间
'dong'shai'tiao'tai'che'jian 动筛跳汰车间
'dong'shai'tiao'tai'ji 动筛跳汰机
'dong'tai'gui'dao'heng 动态轨道衡
'dong'zhui 动锥
'dou'lian 斗链
'dou'lun 斗轮
'dou'lun'ban'men'shi 斗轮半门式
'dou'lun'ban'men'shi'yuan'xing'liao'chang'dui'qu'liao'ji 斗轮半门式圆形料场堆取料机
'dou'lun'dui'qu'liao'ji 斗轮堆取料机
'dou'lun'qu'liao'ji 斗轮取料机
'dou'shi 斗式
'dou'shi'ti'sheng'ji 斗式提升机
'dou'shi'xie'che'ji 斗式卸车机
'dou'shi'xie'mei'ji 斗式卸煤机
'dou'ti'ji 斗提机
'dou'zi 斗子
'dou'zi'lao'keng 斗子捞坑
'dou'zi'ti'sheng'ji 斗子提升机
'du'liao 堵料
'du'liao'bao'hu 堵料保护
'du'se'kai'guan 堵塞开关
'duan'mian'xi'shu 断面系数
'duan'zhui 短锥
'dui'liao 堆料
'dui'liao'ji 堆料机
'dui'liao'kai'guan 堆料开关
'dui'mei 堆煤
'dui'mei'bao'hu 堆煤保护
'dui'qu 堆取
'dui'qu'liao'ji 堆取料机
'dui'qu'she'bei 堆取设备
'dun'mei 吨煤
'dun'mei'dian'hao 吨煤电耗
'dun'mei'dian'hao'liang 吨煤电耗量
'dun'mei'jie'hao 吨煤介耗
'dun'mei'jie'hao'liang 吨煤介耗量
'dun'mei'shui'hao 吨煤水耗
'dun'mei'shui'hao'liang 吨煤水耗量
'duo'dian'kua'xian'zhuang'che 多点跨线装车
'duo'dian'zhuang'che 多点装车
'duo'duan'po'sui'che'jian 多段破碎车间
'e'ban 颚板
'e'shi 颚式
'e'shi'po'sui'ji 颚式破碎机
'e'shi'zha'men 颚式闸门
'er'duan'ci'xuan 二段磁选
'er'fen'qi 二分器
'fa're'liang'ce'liang'yi 发热量测量仪
'fa'shi'ji'chu 筏式基础
'fa'zhan'yuan'jing 发展远景
'fan'ban 翻板
'fan'che'ji 翻车机
'fan'che'ji'fang 翻车机房
'fan'ji'ban 反击板
'fan'ji'shi'po'sui'ji 反击式破碎机
'fan'mei 返煤
'fan'mei'lou'dou 返煤漏斗
'fang'an'she'ji 方案设计
'fang'cang 方仓
'fang'chen'lian 防尘链
'fang'chen'lian'dou'shi'xie'che'ji 防尘链斗式卸车机
'fang'dong'ji 防冻剂
'fang'han'xing 防寒型
'fang'kong 方孔
'fang'kuang 放矿
'fang'kuang'liu'cheng'tu 方框流程图
'fang'liao 放料
'fang'liao'kou 放料口
'fang'liao'su'du 放料速度
'fang'liao'xi'shu 放料系数
'fang'liao'zha'men 放料闸门
'fang'pa'gui 防爬轨
'fang'she'xing'xuan 放射性选
'fang'sui 防碎
'fang'xiang'he 芳香核
'fei'biao'jian 非标件
'fei'biao'jian'an'zhuang'tu 非标件安装图
'fei'ci'xing'wu 非磁性物
'fei'jing'mei 肥精煤
'fei'mei 肥煤
'fei'shui'nong'suo'ji 废水浓缩机
'fei'teng'chuang'ceng'gan'zao'ji 沸腾床层干燥机
'fei'teng'mei 沸腾煤
'fen'bu'shi'fang 分布释放
'fen'bu'shi'fang'fu'xuan'shi'yan 分布释放浮选试验
'fen'cai 分采
'fen'cha'liu'cao 分叉溜槽
'fen'cha'liu'cao 分岔溜槽
'fen'ji 分级
'fen'ji'ci'xuan 分级磁选
'fen'ji'li'du 分级粒度
'fen'ji'po'sui 分级破碎
'fen'ji'po'sui'ji 分级破碎机
'fen'ji'ru'xi 分级入洗
'fen'ji'ru'xuan'fen'ji'ru'xi 分级入选分级入洗
'fen'ji'shai 分级筛
'fen'ji'tuo'shui 分级脱水
'fen'ji'xuan'liu'qi 分级旋流器
'fen'jie'hui'fen 分界灰分
'fen'jie'yao 分解窑
'fen'li'gun 分离辊
'fen'li'tuo'gun 分离托辊
'fen'li'yin'shu 分离因数
'fen'liu'kong'zhi'xiang 分流控制箱
'fen'liu'liang 分流量
'fen'liu'xiang 分流箱
'fen'pei'pan 分配盘
'fen'pei'qi 分配器
'fen'pei'qu'xian'fa 分配曲线法
'fen'pei'tou 分配头
'fen'pei'xiang 分配箱
'fen'sui'ji 粉碎机
'fen'xuan 分选
'fen'xuan'cao 分选槽
'fen'xuan'ji 分选机
'fen'xuan'jia'gong 分选加工
'fen'xuan'jie'zhi 分选介质
'fen'xuan'mi'du 分选密度
'fen'xuan'shang'xian 分选上限
'fen'xuan'she'bei 分选设备
'fen'xuan'xia'xian 分选下限
'fen'xuan'xiao'guo 分选效果
'fen'xuan'xiao'lv 分选效率
'fen'xuan'zuo'ye 分选作业
'fen'yun 分运
'fen'zhan'gun 分展辊
'fen'zu'ru'xi 分组入洗
'feng'bao 风包
'feng'bi'shi 封闭式
'feng'bi'shi'yuan'pan'gei'liao'ji 封闭式圆盘给料机
'feng'bi'xing 封闭型
'feng'ji 风机
'feng'li'fen'xuan'ji 风力分选机
'feng'li'tiao'tai'ji 风力跳汰机
'feng'li'xuan'gan'ji 风力选矸机
'feng'pao 风炮
'feng'pao'qing'cang 风炮清仓
'feng'pao'qing'cang'fa 风炮清仓法
'feng'xuan'ji 风选机
'fu'bai'xing 复摆型
'fu'biao'chuan'gan'qi 浮标传感器
'fu'chen'shi'yan 浮沉试验
'fu'chen'zi'liao 浮沉资料
'fu'chen'zu'cheng 浮沉组成
'fu'cun'te'xing 赋存特性
'fu'jing 副井
'fu'mei 浮煤
'fu'mei'yang 浮煤样
'fu'ni 腐泥
'fu'ni'ceng 腐泥层
'fu'ni'ji'zhi 腐泥基质
'fu'ni'mei 腐泥煤
'fu'wu 浮物
'fu'wu'lei'ji 浮物累计
'fu'wu'lei'ji'chan'lv 浮物累计产率
'fu'wu'nian'xian 服务年限
'fu'wu'qu'xian 浮物曲线
'fu'xuan'cao 浮选槽
'fu'xuan'che'jian 浮选车间
'fu'xuan'chuang 浮选床
'fu'xuan'fa 浮选法
'fu'xuan'gong'yi 浮选工艺
'fu'xuan'huo'xing 浮选活性
'fu'xuan'ji 浮选机
'fu'xuan'jing'kuang'chi 浮选精矿池
'fu'xuan'jing'mei 浮选精煤
'fu'xuan'ru'liao 浮选入料
'fu'xuan'ru'liao'beng 浮选入料泵
'fu'xuan'ru'liao'chi 浮选入料池
'fu'xuan'ru'liao'huan'chong'chi 浮选入料缓冲池
'fu'xuan'shi'yan 浮选试验
'fu'xuan'wei'kuang 浮选尾矿
'fu'xuan'wei'mei 浮选尾煤
'fu'xuan'yao'ji 浮选药剂
'fu'xuan'yao'ji'ku 浮选药剂库
'fu'xuan'zhu 浮选柱
'fu'xuan'zuo'ye 浮选作业
'fu'you'xuan'mei 浮游选煤
'fu'zhen 复振
'fu'zhi'mei 腐植煤
'fu'zhu'jian'zhu'wu 辅助建筑物
'fu'zhu'she'bei 辅助设备
'fu'zhu'she'shi 辅助设施
'gai'lv'fen'ji'shai 概率分级筛
'gai'lv'shai 概率筛
'gai'suan'shu 概算书
'gai'suan'zhuan'ye 概算专业
'gai'xiang'tuo'gun 改向托辊
'gan'fa'fen'xuan'ji 干法分选机
'gan'fa'shai'fen 干法筛分
'gan'ji 干基
'gan'rao'chen'jiang'su'du 干扰沉降速度
'gan'rao'chuang 干扰床
'gan'rao'chuang'fen'xuan'ji 干扰床分选机
'gan'shi'cang 矸石仓
'gan'shi'duan 矸石段
'gan'shi'fen 矸石粉
'gan'shi'fen'ji'shai 矸石分级筛
'gan'shi'gao'pin'shai 矸石高频筛
'gan'shi'hui'fen 矸石灰分
'gan'shi'liu'cao 矸石溜槽
'gan'shi'ni'hua'xing'shi'yan'zi'liao 矸石泥化性试验资料
'gan'shi'po'sui'ji 矸石破碎机
'gan'shi'shai 矸石筛
'gan'shi'shi 矸石室
'gan'shi'tuo'jie'shai 矸石脱介筛
'gan'shi'tuo'jie'tuo'shui'shai 矸石脱介脱水筛
'gan'shi'tuo'shui'shai 矸石脱水筛
'gan'shi'tuo'shui'tuo'jie'shai 矸石脱水脱介筛
'gan'shi'xi'jie'tong 矸石稀介桶
'gan'shi'xian 矸石线
'gan'shi'yan'xing 矸石岩性
'gan'wu'liao 干物料
'gan'xuan 干选
'gan'xuan'chang 干选厂
'gan'xuan'fa 干选法
'gan'zao'che'jian 干燥车间
'gan'zao'guan 干燥管
'gan'zao'ji 干燥基
'gan'zao'shi 干燥室
'gan'zao'wu'hui'ji 干燥无灰基
'gan'zao'wu'hui'ji'tai 干燥无灰基态
'gan'zao'wu'liao 干燥物料
'gan'zao'xi'tong 干燥系统
'gan'zao'ya'lv'ji 干燥压滤机
'gang'gan'shi'gui'dao'heng 杠杆式轨道衡
'gao'chu'li'neng'li 高处理能力
'gao'hui 高灰
'gao'hui'fa'fen 高挥发分
'gao'hui'fen'mei 高灰分煤
'gao'hui'mei 高灰煤
'gao'liu 高硫
'gao'liu'fen'mei 高硫分煤
'gao'liu'mei 高硫煤
'gao'lu'pen'chui'mei 高炉喷吹煤
'gao'lu'pen'chui'yong'mei 高炉喷吹用煤
'gao'mi'du'ji 高密度级
'gao'pin'shai 高频筛
'gao'pin'tuo'shui'shai 高频脱水筛
'gao'pin'zhen'dong'shai 高频振动筛
'gao're'zhi'mei 高热值煤
'gao'shi 高式
'gao'shi'tou'jia 高式头架
'gao'xiao'dou'shi'ti'sheng'ji 高效斗式提升机
'gao'xiao'nong'suo'ji 高效浓缩机
'gao'xiao'shi'shi'guo'lv'chu'chen'qi 高效湿式过滤除尘器
'gao'ya'li'xin'tong'feng'ji 高压离心通风机
'ge'shai 格筛
'ge'shi 格室
'ge'zi'xing 格子型
'gei'liao'beng 给料泵
'gei'liao'cang 给料仓
'gei'liao'gun 给料辊
'gei'liao'ji 给料机
'gei'liao'kou 给料口
'gei'liao'lou'dou 给料漏斗
'gei'liao'pan 给料盘
'gei'liao'shi 给料式
'gei'liao'ya'li 给料压力
'gei'mei 给煤
'gei'mei'ji 给煤机
'gei'mei'shi 给煤式
'gei'ru 给入
'gei'shui 给水
'gei'shui'pai'shui 给水排水
'gei'yao'guan 给药管
'gong'cheng'di'zhi 工程地质
'gong'cheng'gai'suan 工程概算
'gong'pei'dian'yuan'ze'xi'tong'tu 供配电原则系统图
'gong'ye'chang'di'zong'ping'mian'bu'zhi'tu 工业场地总平面布置图
'gong'ye'dian'shi 工业电视
'gong'ye'yong'shui 工业用水
'gong'yi'bu'zhi 工艺布置
'gong'yi'bu'zhi'tu 工艺布置图
'gong'yi'jian'zhu'wu'lian'xi'tu 工艺建筑物联系图
'gong'yi'liu'cheng 工艺流程
'gong'yi'liu'cheng'she'ji 工艺流程设计
'gong'yi'liu'cheng'tu 工艺流程图
'gong'yi'she'bei 工艺设备
'gong'yi'she'bei'xuan'xing 工艺设备选型
'gong'yi'she'ji 工艺设计
'gong'yi'yuan'ze'liu'cheng'tu 工艺原则流程图
'gong'yi'zong'ping'mian'bu'zhi'tu 工艺总平面布置图
'gong'zhen'shai 共振筛
'gong'zuo'mian 工作面
'gou'tou 钩头
'gou'tou'zhong'li'shi'ti'sheng'ji 钩头重力式提升机
'gu'ding'chi'gun 固定齿辊
'gu'ding'e 固定颚
'gu'ding'shai 固定筛
'gu'ding'tiao'feng'shai 固定条缝筛
'gu'ding'tuo'shui'shai 固定脱水筛
'gu'ding'zhou'cheng 固定轴承
'gu'feng'ji 鼓风机
'gu'xiang'mi'du 固相密度
'gu'xiang'zhi'liang 固相质量
'gua'ban 刮板
'gua'ban'shi'fen'ji'ji 刮板式分级机
'gua'ban'shu'song'ji 刮板输送机
'gua'dao'pai'liao 刮刀排料
'gua'dao'shi 刮刀式
'gua'dao'xie'liao 刮刀卸料
'gua'dao'zhuan'zi 刮刀转子
'gua'pao 刮泡
'gua'pao'qi 刮泡器
'guai'zhe 拐折
'guan'lu'tu 管路图
'guan'qiao 管桥
'guan'shi'gan'zao'ji 管式干燥机
'guan'xing'pai'liao 惯性排料
'guan'xing'shi 惯性式
'guan'xing'xie'liao 惯性卸料
'guan'xing'zhen'dong'gei'liao'ji 惯性振动给料机
'guang'dian'xuan 光电选
'guang'mian 光面
'guang'mian'gun 光面辊
'gui'chang 轨长
'gui'dao'heng 轨道衡
'gun'chi 辊齿
'gun'jian'ju 辊间距
'gun'lun 辊轮
'gun'lun 滚轮
'gun'mian 辊面
'gun'shi'po'sui'ji 辊式破碎机
'gun'tong'gan'zao'ji 滚筒干燥机
'gun'tong'sui'xuan'ji 滚筒碎选机
'gun'zhou'shai 滚轴筛
'gun'zhu 滚柱
'guo'du'qu 过渡区
'guo'lu'fang 锅炉房
'guo'lu'li'xin'yin'feng'ji 锅炉离心引风机
'guo'lv'ban 过滤板
'guo'lv'chu'chen'qi 过滤除尘器
'guo'lv'ji 过滤机
'guo'lv'jie'zhi 过滤介质
'guo'lv'qu 过滤区
'guo'lv'shi 过滤室
'guo'lv'ye'chi 过滤液池
'guo'lv'yuan'pan 过滤圆盘
'han'gan 含矸
'han'gan'liang 含矸量
'han'gan'lv 含矸率
'han'jie'tiao'feng 焊接条缝
'han'jie'tiao'feng'shai'lan 焊接条缝筛篮
'he'ge'jie'zhi'tong 合格介质桶
'he'jie 合介
'he'jie'beng 合介泵
'he'jie'duan 合介段
'he'jie'tong 合介桶
'he'mei 褐煤
'he'mi'du'ji 核密度计
'he'zi'mi'du'ji 核子密度计
'heng'pou 横剖
'heng'pou'tu 横剖图
'heng'qi 衡器
'hou'guan 喉管
'hou'ping'jia 后评价
'hou'tui'shi 后推式
'hu'xi'qi 呼吸器
'hu'xing'shai 弧形筛
'hu'xing'tiao'feng'shai 弧形条缝筛
'hua'dong'feng'fa 滑动风阀
'hua'dong'zhou'cheng 滑动轴承
'hua'gong'xue'yuan 化工学院
'hua'he'shui 化合水
'hua'xue'xuan 化学选
'huan'bao'zhuan'ye 环保专业
'huan'chong'cang 缓冲仓
'huan'chong'shui'chi 缓冲水池
'huan'chong'tuo'gun 缓冲托辊
'huan'jing'bao'hu'zhuan'ye 环境保护专业
'huan'jing'ying'xiang'ping'jia 环境影响评价
'huan'qi'tong 换气筒
'huan'xing'fu'biao'chuan'gan'qi 环形浮标传感器
'hui'fa'fen'chan'lv 挥发分产率
'hui'fen'ce'liang'yi 灰分测量仪
'hui'fen'ji 灰分基
'hui'fen'te'xing'qu'xian 灰分特性曲线
'hui'fen'yi 灰分仪
'hui'rong'rong'xing 灰熔融性
'hui'yao'guan 回药管
'hui'zhuan'zhou 回转轴
'hun'he'lei 混合类
'hun'he'ru'xi 混合入洗
'hun'he'tiao'tai 混合跳汰
'hun'he'tong 混合桶
'hun'he'zhong'jie 混合重介
'hun'kuai 混块
'hun'liao'tong 混料桶
'hun'mei 混煤
'hun'mei'chang 混煤场
'hun'xi 混洗
'hun'zhong'kuai 混中块
'huo'dong'chi'gun 活动齿辊
'huo'dong'zhou'cheng 活动轴承
'huo'sai'feng'fa 活塞风阀
'huo'sai'shi 活塞式
'huo'sai'tiao'tai'ji 活塞跳汰机
'ji'ben'jian'she'cheng'xu 基本建设程序
'ji'ben'xing 基本型
'ji'che'diao'che 机车调车
'ji'chen'qi 集尘器
'ji'ci'xian'quan 激磁线圈
'ji'di 机底
