'an'hui'da'xue 安徽大学
'hai'jun 海军
'hai'jun'bing'zhong'zhi'hui'xue'yuan 海军兵种指挥学院
'hai'jun'da'lian'jian'ting'xue'yuan 海军大连舰艇学院
'hai'jun'hang'kong'gong'cheng'xue'yuan 海军航空工程学院
'hai'jun'hou'qin'xue'yuan 海军后勤学院
'hai'jun'jian'ting'xue'yuan 海军舰艇学院
'hai'jun'qian'ting'xue'yuan 海军潜艇学院
'hang'kong'da'xue 航空大学
'hang'kong'gong'cheng'xue'yuan 航空工程学院
'he'bei'da'xue 河北大学
'he'bei'gong'ye'da'xue 河北工业大学
'he'bei'ke'ji'da'xue 河北科技大学
'he'fei'gong'ye'da'xue 合肥工业大学
'he'hai'da'xue 河海大学
'he'nan'da'xue 河南大学
'he'nan'ke'ji'da'xue 河南科技大学
'he'nan'li'gong'da'xue 河南理工大学
'hei'long'jiang'da'xue 黑龙江大学
'hou'qin'gong'cheng'xue'yuan 后勤工程学院
'hu'nan'shi'fan'da'xue 湖南师范大学
'hua'dong'jiao'tong'da'xue 华东交通大学
'hua'dong'li'gong'da'xue 华东理工大学
'hua'dong'zheng'fa'xue'yuan 华东政法学院
'hua'nan'li'gong'da'xue 华南理工大学
'hua'nan'shi'fan'da'xue 华南师范大学
'hua'zhong'ke'ji'da'xue 华中科技大学
'ji'lin'da'xue 吉林大学
'ji'mei'da'xue 集美大学
'jian'ting'xue'yuan 舰艇学院
'jiang'su'ke'ji'da'xue 江苏科技大学
'jie'shou'guo'fang'sheng'yuan'xiao 接收国防生院校
'jun'shi'jiao'tong'xue'yuan 军事交通学院
'jun'xie'gong'cheng'xue'yuan 军械工程学院
'kong'jun'di'er'fei'xing'xue'yuan 空军第二飞行学院
'kong'jun'di'yi'hang'kong'xue'yuan 空军第一航空学院
'kong'jun'gong'cheng'da'xue 空军工程大学
'kong'jun'hang'kong'da'xue 空军航空大学
'kong'jun'lei'da'xue'yuan 空军雷达学院
'kun'ming'li'gong'da'xue 昆明理工大学
'kun'ming'lu'jun'xue'yuan 昆明陆军学院
'lan'zhou'da'xue 兰州大学
'lan'zhou'jiao'tong'da'xue 兰州交通大学
'lan'zhou'li'gong'da'xue 兰州理工大学
'lei'da'xue'yuan 雷达学院
'li'gong'da'xue 理工大学
'liao'cheng'da'xue 聊城大学
'liao'ning'da'xue 辽宁大学
'lu'jun'can'mou'xue'yuan 陆军参谋学院
'lu'jun'hang'kong'bing'xue'yuan 陆军航空兵学院
'nan'chang'da'xue 南昌大学
'nan'chang'hang'kong'gong'ye'da'xue 南昌航空工业大学
'nan'hua'da'xue 南华大学
'nan'jing'da'xue 南京大学
'nan'jing'hang'kong'hang'tian'da'xue 南京航空航天大学
'nan'jing'li'gong'da'xue 南京理工大学
'nan'jing'xin'xi'gong'cheng'da'xue 南京信息工程大学
'nan'jing'yi'ke'da'xue 南京医科大学
'nan'jing'you'dian'xue'yuan 南京邮电学院
'nan'jing'zheng'zhi'xue'yuan 南京政治学院
'nan'kai'da'xue 南开大学
'nei'meng'gu'da'xue 内蒙古大学
'ning'bo'da'xue 宁波大学
'ning'xia'da'xue 宁夏大学
'pao'bing'zhi'hui'xue'yuan 炮兵指挥学院
'qian'ting'xue'yuan 潜艇学院
'qing'hua'da'xue 清华大学
'shan'dong'da'xue 山东大学
'shan'dong'li'gong'da'xue 山东理工大学
'shan'xi'da'xue 山西大学
'shang'hai'jiao'tong'da'xue 上海交通大学
'shen'yang'gong'ye'da'xue 沈阳工业大学
'shen'yang'hang'kong'gong'ye'xue'yuan 沈阳航空工业学院
'shen'yang'li'gong'da'xue 沈阳理工大学
'shen'yang'pao'bing'xue'yuan 沈阳炮兵学院
'shi'jia'zhuang'lu'jun'xue'yuan 石家庄陆军学院
'shi'you'da'xue'hua'dong 石油大学华东
'shou'du'yi'ke'da'xue 首都医科大学
'si'chuan'da'xue 四川大学
'tai'yuan'li'gong'da'xue 太原理工大学
'tian'jin'da'xue 天津大学
'tian'jin'ke'ji'da'xue 天津科技大学
'tong'ji'da'xue 同济大学
'tong'xin'zhi'hui'xue'yuan 通信指挥学院
'wei'pei'sheng 委培生
'wu'han'da'xue 武汉大学
'wu'han'ke'ji'da'xue 武汉科技大学
'wu'han'li'gong'da'xue'hu'nan'da'xue 武汉理工大学湖南大学
'wu'jing'cheng'du'zhi'hui'xue'yuan 武警成都指挥学院
'wu'jing'gong'cheng'xue'yuan 武警工程学院
'wu'jing'shen'yang'zhi'hui'xue'yuan 武警沈阳指挥学院
'wu'jing'te'zhong'jing'cha'xue'yuan 武警特种警察学院
'wu'jing'zheng'zhi'xue'yuan 武警政治学院
'wu'jing'zhi'hui'xue'yuan 武警指挥学院
'wu'zhuang'jing'cha'bu'dui'xue'yuan 武装警察部队学院
'xi'an'dian'zi'ke'ji'da'xue 西安电子科技大学
'xi'an'jiao'tong'da'xue 西安交通大学
'xi'an'ke'ji'da'xue 西安科技大学
'xi'an'li'gong'da'xue 西安理工大学
'xi'an'tong'xin'xue'yuan 西安通信学院
'xi'an'you'dian'xue'yuan 西安邮电学院
'xi'bei'da'xue 西北大学
'xi'bei'gong'ye'da'xue 西北工业大学
'xi'hua'da'xue 西华大学
'xi'nan'cai'jing'da'xue 西南财经大学
'xi'nan'jiao'tong'da'xue 西南交通大学
'xi'nan'zheng'fa'da'xue 西南政法大学
'xia'men'da'xue 厦门大学
'xiang'tan'da'xue 湘潭大学
'xin'jiang'da'xue 新疆大学
'xin'jiang'shi'he'zi'da'xue 新疆石河子大学
'xin'xi'gong'cheng'da'xue 信息工程大学
'yan'shan'da'xue 燕山大学
'yun'nan'da'xue 云南大学
'zhe'jiang'da'xue 浙江大学
'zheng'zhou'da'xue 郑州大学
'zheng'zhou'fang'kong'bing'xue'yuan 郑州防空兵学院
'zhong'bei'da'xue 中北大学
'zhong'guo'di'zhi'da'xue'bei'jing 中国地质大学北京
'zhong'guo'di'zhi'da'xue'wu'han 中国地质大学武汉
'zhong'guo'guo'fang'sheng 中国国防生
'zhong'guo'hai'yang'da'xue 中国海洋大学
'zhong'guo'ke'xue'ji'shu'da'xue 中国科学技术大学
'zhong'guo'ren'min'da'xue 中国人民大学
'zhong'guo'ren'min'jie'fang'jun'chong'qing'tong'xin'xue'yuan 中国人民解放军重庆通信学院
'zhong'guo'ren'min'jie'fang'jun'di'er'jun'yi'da'xue 中国人民解放军第二军医大学
'zhong'guo'ren'min'jie'fang'jun'di'san'jun'yi'da'xue 中国人民解放军第三军医大学
'zhong'guo'ren'min'jie'fang'jun'di'si'jun'yi'da'xue 中国人民解放军第四军医大学
'zhong'guo'ren'min'jie'fang'jun'di'yi'jun'yi'da'xue 中国人民解放军第一军医大学
'zhong'guo'ren'min'jie'fang'jun'dian'zi'gong'cheng'xue'yuan 中国人民解放军电子工程学院
'zhong'guo'ren'min'jie'fang'jun'gui'lin'kong'jun'xue'yuan 中国人民解放军桂林空军学院
'zhong'guo'ren'min'jie'fang'jun'guo'fang'ke'ji'da'xue 中国人民解放军国防科技大学
'zhong'guo'ren'min'jie'fang'jun'guo'ji'guan'xi'xue'you 中国人民解放军国际关系学有
'zhong'guo'ren'min'jie'fang'jun'hai'jun'hou'qin'xue'yuan 中国人民解放军海军后勤学院
'zhong'guo'ren'min'jie'fang'jun'hai'jun'qian'ting'xue'yuan 中国人民解放军海军潜艇学院
'zhong'guo'ren'min'jie'fang'jun'hou'qin'gong'cheng'xue'yuan 中国人民解放军后勤工程学院
'zhong'guo'ren'min'jie'fang'jun'jun'shi'jiao'tong'xue'yuan 中国人民解放军军事交通学院
'zhong'guo'ren'min'jie'fang'jun'jun'xie'gong'cheng'xue'yuan 中国人民解放军军械工程学院
'zhong'guo'ren'min'jie'fang'jun'kong'jun'gong'cheng'da'xue 中国人民解放军空军工程大学
'zhong'guo'ren'min'jie'fang'jun'kong'jun'hang'kong'da'xue 中国人民解放军空军航空大学
'zhong'guo'ren'min'jie'fang'jun'kong'jun'lei'da'xue'yuan 中国人民解放军空军雷达学院
'zhong'guo'ren'min'jie'fang'jun'li'gong'da'xue 中国人民解放军理工大学
'zhong'guo'ren'min'jie'fang'jun'lu'jun'hang'kong'bing'xue'yuan 中国人民解放军陆军航空兵学院
'zhong'guo'ren'min'jie'fang'jun'nan'jing'zheng'zhi'xue'yuan 中国人民解放军南京政治学院
'zhong'guo'ren'min'jie'fang'jun'shen'yang'pao'bing'xue'yuan 中国人民解放军沈阳炮兵学院
'zhong'guo'ren'min'jie'fang'jun'tong'xin'zhi'hui'xue'yuan 中国人民解放军通信指挥学院
'zhong'guo'ren'min'jie'fang'jun'xi'an'tong'xin'xue'yuan 中国人民解放军西安通信学院
'zhong'guo'ren'min'jie'fang'jun'xin'xi'gong'cheng'da'xue 中国人民解放军信息工程大学
'zhong'guo'ren'min'jie'fang'jun'zheng'zhou'fang'kong'bing'xue'yuan 中国人民解放军郑州防空兵学院
'zhong'guo'ren'min'wu'zhuang'jing'cha'bu'dui'xue'yuan 中国人民武装警察部队学院
'zhong'guo'zheng'fa'da'xue 中国政法大学
'zhong'nan'da'xue 中南大学
'zhong'shan'da'xue 中山大学
'zhuang'bei'zhi'hui'ji'shu'xue'yuan 装备指挥技术学院
