'bao'yi 褒义
'fou'ding 否定
'fou'ding'fan'wei 否定范围
'fou'ding'ju 否定句
'fu'ci 副词
'fu'he'bin'yu 复合宾语
'fu'he'ci 复合词
'fu'he'ju 复合句
'fu'he'wei'yu 复合谓语
'fu'jia'cheng'fen 附加成分
'fu'jia'yi'wen'ju 附加疑问句
'fu'shu'xing'shi 复数形式
'gai'nian'yi'zhi 概念一致
'gan'guan'dong'ci 感官动词
'gan'qing'se'cai 感情色彩
'gan'tan'ci 感叹词
'gan'tan'hao 感叹号
'gan'tan'ju 感叹句
'gan'tan'yi'wen'ju 感叹疑问句
'ge'ti'ming'ci 个体名词
'gou'ci'fa 构词法
'guan'ci 冠词
'guan'xi'dai'ci 关系代词
'guan'xi'fu'ci 关系副词
'gui'ze'dong'ci 规则动词
'gui'ze'xing'shi 规则形式
'guo'qu'fen'ci 过去分词
'guo'qu'jiang'lai'jin'xing'shi 过去将来进行时
'guo'qu'jiang'lai'shi 过去将来时
'guo'qu'jiang'lai'wan'cheng'shi 过去将来完成时
'guo'qu'jin'xing'shi 过去进行时
'guo'qu'wan'cheng'jin'xing'shi 过去完成进行时
'guo'qu'wan'cheng'shi 过去完成时
'guo'qu'xing'shi 过去形式
'han'xu'tiao'jian'ju 含蓄条件句
'he'cheng'fa 合成法
'hou'zhi'xiu'shi 后置修饰
'hou'zhui 后缀
'hu'yu 呼语
'ji'ben'ju'xing 基本句型
'ji'he'ming'ci 集合名词
'ji'shu'ci 基数词
'ji'ti'ming'ci 集体名词
'ji'wu'dong'ci 及物动词
'jian'dan'ju 简单句
'jian'dan'wei'yu 简单谓语
'jian'jie'bin'yu 间接宾语
'jian'jie'yin'yu 间接引语
'jiang'diao 降调
'jiang'lai'jin'xing'shi 将来进行时
'jiang'lai'wan'cheng'jin'xing'shi 将来完成进行时
'jiang'lai'wan'cheng'shi 将来完成时
'jiang'sheng'diao 降升调
'jie'ci 介词
'jie'ci'duan'yu 介词短语
'jie'gou 结构
'jie'guo'zhuang'yu'cong'ju 结果状语从句
'jing'tai'dong'ci 静态动词
'jiu'jin'yuan'ze 就近原则
'ju'bu'fou'ding 局部否定
'ju'fa 句法
'ju'fa'guan'xi 句法关系
'ju'hao 句号
'ju'ti'ming'ci 具体名词
'ju'xing'de'zhuan'huan 句型的转换
'ju'zi 句子
'ju'zi'cheng'fen 句子成分
'ju'zi'fen'xi 句子分析
'ke'shu'ming'ci 可数名词
'ken'ding'ju 肯定句
'kou'yu 口语
'kuo'hao 括号
'lian'ci 连词
'lian'jie'fu'ci 连接副词
'lian'jie'xing'fu'ci 连接性副词
'lian'xi'dong'ci 连系动词
'lian'zi'hao 连字号
'mao'hao 冒号
'mei'guo'ying'yu 美国英语
'miao'hui'xing'ding'yu 描绘性定语
'ming'ci 名词
'ming'ci'cong'ju 名词从句
'ming'ci'de'fen'lei 名词的分类
'ming'ci'xing'wu'zhu'dai'ci 名词性物主代词
'mu'di'zhuang'yu'cong'ju 目的状语从句
'pai'sheng'ci 派生词
'pai'sheng'fa 派生法
'pie'hao 撇号
'pin'du'fu'ci 频度副词
'po'zhe'hao 破折号
'pu'tong'ge 普通格
'pu'tong'ming'ci 普通名词
'qi'shi'ju 祈使句
'qi'shi'yu'qi 祈使语气
'qian'zhi'xiu'shi 前置修饰
'qian'zhui 前缀
'qiang'diao 强调
'qing'tai'dong'ci 情态动词
'quan'bu'dao'zhuang 全部倒装
'quan'bu'fou'ding 全部否定
'rang'bu'zhuang'yu'cong'ju 让步状语从句
'ren'cheng 人称
'ren'cheng'dai'ci 人称代词
'sheng'diao 升调
'sheng'zi'hao 省字号
'shi'ci 实词
'shi'jian'fu'ci 时间副词
'shi'jian'zhuang'yu'cong'ju 时间状语从句
'shi'tai 时态
'shi'tai'de'hu'ying 时态的呼应
'shi'yi'dong'ci 使役动词
'shi'yi'dong'ci 实义动词
'shu'ci 数词
'shuang'bin'yu 双宾语
'shuang'chong'xian'zhi 双重限制
'suo'you'ge 所有格
'suo'you'ge'hao 所有格号
'tao'yu 套语
'te'shu'yi'wen'ju 特殊疑问句
'tiao'jian'zhuang'yu'cong'ju 条件状语从句
'tong'wei'yu 同位语
'tong'wei'yu'cong'ju 同位语从句
'tong'xing 通性
'tong'yi'ci 同义词
'tong'yuan'bin'yu 同源宾语
'wa'ku 挖苦
'wei'yu 谓语
'wen'hao 问号
'wen'ti 文体
'wu'zhi'ming'ci 物质名词
'wu'zhu'dai'ci 物主代词
'xi'dong'ci 系动词
'xian'ding'dong'ci 限定动词
'xian'ding'xing'ding'yu 限定性定语
'xian'zai'fen'ci 现在分词
'xian'zai'jin'xing'shi 现在进行时
'xian'zai'wan'cheng'jin'xing'shi 现在完成进行时
'xian'zai'wan'cheng'shi 现在完成时
'xian'zai'xing'shi 现在形式
'xian'zhi 限制
'xian'zhi'xing'ding'yu'cong'ju 限制性定语从句
'xiang'hu'dai'ci 相互代词
'xing'rong'ci 形容词
'xing'rong'ci'xing'wu'zhu'dai'ci 形容词性物主代词
'xing'shi 形式
'xiu'ci'yi'wen'ju 修辞疑问句
'xiu'shi 修饰
'xiu'shi'xing'fu'ci 修饰性副词
'xu'ci 虚词
'xu'ni'yu'qi 虚拟语气
'xu'shu'ci 序数词
'xuan'ze'yi'wen'ju 选择疑问句
'yang'xing 阳性
'yi'ban'guo'qu'shi 一般过去时
'yi'ban'jiang'lai'shi 一般将来时
'yi'ban'xian'zai'shi 一般现在时
'yi'ban'yi'wen'ju 一般疑问句
'yi'wen'dai'ci 疑问代词
'yi'wen'fu'ci 疑问副词
'yi'wen'ju 疑问句
'yi'zhi 一致
'yin'dao'ci 引导词
'yin'hao 引号
'yin'xing 阴性
'ying'guo'ying'yu 英国英语
'yong'fa 用法
'you'mo 幽默
'yu'diao 语调
'yu'fa 语法
'yu'fa'yi'zhi 语法一致
'yu'qi 语气
'yu'tai 语态
'yu'xu 语序
'yu'yin 语音
'yuan'ji 原级
'yuan'xing 原形
'yuan'yin'zhuang'yu'cong'ju 原因状语从句
'zhen'shi'tiao'jian'zhuang'yu'cong'ju 真实条件状语从句
'zheng'shi'wen'ti 正式文体
'zhi'jie'bin'yu 直接宾语
'zhi'jie'yin'yu 直接引语
'zhi'shi'dai'ci 指示代词
'zhong'xing 中性
'zhong'yin'hao 重音号
'zhu'bu 主补
'zhu'dong'ci 主动词
'zhu'dong'ci 助动词
'zhu'dong'yu'tai 主动语态
'zhu'ge 主格
'zhu'ju 主句
'zhu'wei'yi'zhi 主谓一致
'zhu'yu 主语
'zhu'yu'cong'ju 主语从句
'zhuan'hua'fa 转化法
'zhuan'yi'fou'ding 转移否定
'zhuan'you'ming'ci 专有名词
'zhuang'yu 状语
'zhuang'yu'cong'ju 状语从句
'zi'ran'yu'xu 自然语序
'zi'you'jian'jie'yin'yu 自由间接引语
'zi'you'zhi'jie'yin'yu 自由直接引语
'zui'gao'ji 最高级
