'a'ba'tian'fu 阿爸天父
'shen'ke'de'ai 深刻的爱
'shen'shen'ai'mi 深深爱祢
'shen'shen'ai'mu'mi 深深爱慕祢
'shen'shen'ai'mu'ni 深深爱慕你
'shen'shen'ai'ni 深深爱你
'shen'shi'wo'men'de'bi'nan'suo 神是我们的避难所
'sheng'dan'zhi'yuan 圣诞之愿
'sheng'jie'de'jing'bai 圣洁的敬拜
'sheng'jie'gui'yu'mi 圣洁归于祢
'sheng'jie'gui'yu'ni 圣洁归于你
'sheng'jie'quan'neng'zhu 圣洁全能主
'sheng'ling'de'jiang'he 圣灵的江河
'sheng'ling'jiang'xia'en'yu 圣灵降下恩雨
'sheng'ming'de'duo'shou 生命的舵手
'sheng'ming'de'hua'yu 生命的话语
'sheng'ming'de'kai'ge 生命的凯歌
'sheng'ming'huo'shui'chong'man'wo 生命活水充满我
'sheng'zai'sheng'zai'sheng'zai 圣哉圣哉圣哉
'shi'jia'de'ai 十架的爱
'shi'jie'zhi'guang 世界之光
'shi'mi'de'ai 是祢的爱
'shi'ni'de'ai 是你的爱
'shi'ye'su 是耶稣
'shi'zi'jia 十字架
'shui'neng'xiang'mi 谁能像祢
'shui'neng'xiang'ni 谁能像你
'shui'shen'zhi'chu 水深之处
'shun'fu 顺服
'si'hu'zai'tian'tang 似乎在天堂
'su'xing 苏醒
'suo'you'de'rong'yao'gui'yu'mi 所有的荣耀归于祢
'suo'you'de'rong'yao'gui'yu'ni 所有的荣耀归于你
'ta'cong'gao'chu'shen'shou 他从高处伸手
'ta'cong'gao'chu'shen'shou 祂从高处伸手
'tan'qin'ge'chang'zan'mei'mi 弹琴歌唱赞美祢
'tan'qin'ge'chang'zan'mei'ni 弹琴歌唱赞美你
'tian'fu 天父
'tian'fu'de'hai'zi 天父的孩子
'tian'fu'de'hua'yuan 天父的花园
'tian'shang'de'jia 天上的家
'tian'shi'xin 天使心
'tian'tang'jing'bai 天堂敬拜
'tian'tang'zai'wo'xin 天堂在我心
'tong'xin'gao'ju'shi'jia 同心高举十架
'wan'guo'dao'gao'de'dian 万国祷告的殿
'wan'jun'zhi'ye'he'hua 万军之耶和华
'wan'wu'chong'man'mi'de'en'dian 万物充满祢的恩典
'wan'wu'chong'man'ni'de'en'dian 万物充满你的恩典
'wei'ai'er'sheng 为爱而生
'wei'rao'wo 围绕我
'wei'ye'lu'sa'leng'qi'dao 为耶路撒冷祈祷
'wei'you'ye'su 唯有耶稣
'wei'you'zhu'ye'su'de'bao'xue 唯有主耶稣的宝血
'wo'de'jia'yao'rong'yao'zhu 我的家要荣耀主
'wo'de'jiu'shu'zhe'huo'zhe 我的救赎者活着
'wo'de'sheng'yin'dai'you'neng'li 我的声音带有能力
'wo'de'tian'tang 我的天堂
'wo'de'xin'ni'yao'cheng'song'ye'he'hua 我的心你要称颂耶和华
'wo'dui'mi'de'ai'yong'bu'bian 我对祢的爱永不变
'wo'dui'ni'de'ai'yong'bu'bian 我对你的爱永不变
'wo'gao'ju'shuang'shou 我高举双手
'wo'jing'bai'mi 我敬拜祢
'wo'jing'bai'ni 我敬拜你
'wo'ke'wang'kan'jian 我渴望看见
'wo'men'ai 我们爱
'wo'men'ai'dai'de'wang 我们爱戴的王
'wo'men'hu'qiu 我们呼求
'wo'men'huan'ying'jun'wang'jiang'lin 我们欢迎君王降临
'wo'men'shi'guang'ming'zhi'zi 我们是光明之子
'wo'qin'ai'de'ye'su 我亲爱的耶稣
'wo'quan'xin'song'zan 我全心颂赞
'wo'shi'zi'jia 喔十字架
'wo'xian'shang'gan'xie 我献上感谢
'wo'xiang'xin 我相信
'wo'xin'qie'qie'ke'mu'mi 我心切切渴慕祢
'wo'xin'qie'qie'ke'mu'ni 我心切切渴慕你
'wo'xin'wei'yi'ai'mu 我心唯一爱慕
'wo'xin'yao'cheng'xie'ye'he'hua 我心要称谢耶和华
'wo'yao'chang'chang'xi'le 我要常常喜乐
'wo'yao'ge'chang 我要歌唱
'wo'yao'huan'chang 我要欢唱
'wo'yao'kan'jian 我要看见
'wo'yao'quan'xin'zan'mei 我要全心赞美
'wo'yao'shun'fu 我要顺服
'wo'yao'xiang'gao'shan'ju'mu 我要向高山举目
'wo'yao'yi'xin'cheng'xie'mi 我要一心称谢祢
'wo'yao'yi'xin'cheng'xie'ni 我要一心称谢你
'wo'yi'de'zi'you 我已得自由
'wo'yi'sheng'yao'zan'mei'ni 我一生要赞美你
'wo'you'xi'le 我有喜乐
'wo'yuan'chu'dong'mi'xin'xian 我愿触动祢心弦
'wo'yuan'chu'dong'ni'xin'xian 我愿触动你心弦
'wo'zai'zhe'li'jing'bai 我在这里敬拜
'wo'zhu'wo'de'shen 我主我的神
'wu'jin'en'dian 无尽恩典
'xi'le'he'liu 喜乐河流
'xi'le'quan'yuan 喜乐泉源
'xi'sheng'de'ai 牺牲的爱
'xia'ye 夏夜
'xian'chang'jing'bai 现场敬拜
'xian'shang'zi'ji'wei'ji 献上自己为祭
'xian'shang'zun'rong 献上尊荣
'xiang'xin'you'ai'jiu'you'qi'ji 相信有爱就有奇迹
'xiao'xiao'de'meng'xiang 小小的梦想
'xie'xie'mi 谢谢祢
'xie'xie'ni 谢谢你
'xin'de'shi'jiang'yao'cheng'jiu 新的事将要成就
'xin'de'yi'tian 新的一天
'xin'kao'mei'yi'ju'ying'xu 信靠每一句应许
'xin'shi'de'shen 信实的神
'xin'xiang'wan'ji 馨香晚祭
'xin'ye'lu'sa'leng 新耶路撒冷
'xin'zao'de'ren 新造的人
'xing'qi'fa'guang 兴起发光
'xing'qi'wei'ye'su 兴起为耶稣
'xing'shen'ji'de'shen 行神迹的神
'xuan'ze'xiang'xin 选择相信
'xun'jian 寻见
'xun'zhao 寻找
'yan'zou'ban 演奏版
'yang'wang'en'dian 仰望恩典
'ye'he'hua'da'neng'de'jun'dui 耶和华大能的军队
'ye'he'hua'en'nian'yi'lai'dao 耶和华恩年已来到
'ye'he'hua'kao'jin'shang'xin'de'ren 耶和华靠近伤心的人
'ye'he'hua'ni'shi'wo'de'shen 耶和华你是我的神
'ye'he'hua'ni'xi 耶和华尼西
'ye'he'hua'sha'long 耶和华沙龙
'ye'he'hua'shi'wo'mu'zhe 耶和华是我牧者
'ye'he'hua'wo'de'pan'shi 耶和华我的磐石
'ye'he'hua'xing'le'da'shi 耶和华行了大事
'ye'he'hua'zhu'fu'man'man 耶和华祝福满满
'ye'he'hua'zuo'le'wo'de'gao'tai 耶和华作了我的高台
'ye'he'hua'zuo'zhe'wei'wang 耶和华坐着为王
'ye'su'ai'ni 耶稣爱你
'ye'su'de'ai 耶稣的爱
'ye'su'de'ming 耶稣的名
'ye'su'ji'du'shi'zhu 耶稣基督是主
'ye'su'mi'yi'zhi 耶稣祢医治
'ye'su'ni'yi'zhi 耶稣你医治
'ye'su'wo'ai'mi 耶稣我爱祢
'ye'su'wo'ai'ni 耶稣我爱你
'yi'kao 倚靠
'yi'ma'nei'li 以马内利
'yi'qie'ge'song'zan'mei 一切歌颂赞美
'yi'sheng'ai'mi 一生爱祢
'yi'sheng'ai'ni 一生爱你
'yi'sheng'jing'bai'mi 一生敬拜祢
'yi'sheng'jing'bai'ni 一生敬拜你
'yi'tong'qi'wu 一同起舞
'yi'zhi'wo 医治我
'yin'yue'jiao'shi 音乐教室
'yin'zhe'shi'jia 因着十架
'yong'gan'zou'chu'qu 勇敢走出去
'yong'heng'wei'yi'de'pan'wang 永恒唯一的盼望
'yong'huo'quan'neng'de'shen 永活全能的神
'yong'yuan'bu'fen'li 永远不分离
'yong'yuan'zun'gui 永远尊贵
'you'yi'wei'shen 有一位神
'you'zhi'ting 游智婷
'you'zhi'wei 游智伟
'yu'mi'tong'hang 与祢同行
'yu'ni'tong'xing 与你同行
'yu'ni'you'yue 与你有约
'yuan'mi'guo'du'jiang'lin 愿祢国度降临
'yuan'mi'guo'jiang'lin 愿祢国降临
'yuan'mi'jiang'lin 愿祢降临
'yuan'mi'rong'yao'guo'du'jiang'lin 愿祢荣耀国度降临
'yuan'ni'guo'du'jiang'lin 愿你国度降临
'yuan'ni'guo'jiang'lin 愿你国降临
'yuan'ni'jiang'lin 愿你降临
'yuan'ni'rong'yao'guo'du'jiang'lin 愿你荣耀国度降临
'yuan'tian'huan'xi 愿天欢喜
'yuan'wei'zhu'shan'liang 愿为主闪亮
'yun'shang'tai'yang 云上太阳
'zai'hu'ye'he'hua 在乎耶和华
'zai'mi'bao'zuo'qian 在祢宝座前
'zai'mi'dian'zhong 在祢殿中
'zai'mi'shou'zhong 在祢手中
'zai'mi'tong'zai'li 在祢同在里
'zai'ni'bao'zuo'qian 在你宝座前
'zai'ni'dian'zhong 在你殿中
'zai'ni'shou'zhong 在你手中
'zai'ni'tong'zai'li 在你同在里
'zai'ye'su'de'jiao'qian 在耶稣的脚前
'zai'ye'su'li'bi'ci'xiang'ai 在耶稣里彼此相爱
'zai'yi'ci 再一次
'zai'zhe'li 在这里
'zai'zhi'gao'zhi'chu 在至高之处
'zai'zhu'ai'zhong 在主爱中
'zan'mei'zhi'quan 赞美之泉
'zan'mei'zhi'quan'yin'yue'pin'dao 赞美之泉音乐频道
'zhan'kai'qing'chen'de'chi'bang 展开清晨的翅膀
'zhang'shang'ming'zhu 掌上明珠
'zhao'yi'ge'di'fang 找一个地方
'zhe'jiu'shi'ni'de'ai 这就是你的爱
'zhe'li'you'rong'yao 这里有荣耀
'zhe'shi'dai 这世代
'zhe'shi'dai'yao'hu'qiu'mi 这世代要呼求祢
'zhe'shi'dai'yao'hu'qiu'ni 这世代要呼求你
'zhe'shi'sheng'jie'zhi'di 这是圣洁之地
'zhe'shi'ye'he'hua'suo'ding'de'ri'zi 这是耶和华所定的日子
'zhe'shi'ye'he'hua'suo'ding'ri'zi 这是耶和华所定日子
'zhe'yi'sheng'zui'mei'de'zhu'fu 这一生最美的祝福
'zhen'dong'tian'di 震动天地
'zhen'shi'de'hui'gai 真实的悔改
'zheng'mao'rou 郑懋柔
'zhi'yao'you'mi'zai'wo'zuo'you 只要有祢在我左右
'zhi'yao'you'ni'zai'wo'zuo'you 只要有你在我左右
'zhi'yin'mi 只因祢
'zhi'yin'ni 只因你
'zhou'xun'qian 周巽倩
'zhu'ci'fu'ru'chun'yu 主赐福如春雨
'zhu'dao'wen 主祷文
'zhu'de'en'dian'nai'shi'yi'sheng'zhi'jiu 主的恩典乃是一生之久
'zhu'de'xi'le'shi'wo'li'liang 主的喜乐是我力量
'zhu'fu'man'man 祝福满满
'zhu'ken'qiu'ni 主恳求你
'zhu'mi'de'teng 主祢的疼
'zhu'mi'shi'wo'li'liang 主祢是我力量
'zhu'mi'shi'wo'pan'wang 主祢是我盼望
'zhu'mu'kan'ye'su 注目看耶稣
'zhu'ni'de'teng 主你的疼
'zhu'ni'shi'wo'li'liang 主你是我力量
'zhu'ni'shi'wo'pan'wang 主你是我盼望
'zhu'wo'gen'mi'zou 主我跟祢走
'zhu'wo'gen'ni'zou 主我跟你走
'zhu'wo'jing'bai'mi 主我敬拜祢
'zhu'wo'jing'bai'ni 主我敬拜你
'zhu'zai'mi'li'mian 住在祢里面
'zhu'zai'ni'li'mian 住在你里面
'zhuan'ai 专爱
'zhuan'hua 转化
'zhuan'xin'lai'ai'mi 专心来爱祢
'zhuan'xin'lai'ai'ni 专心来爱你
'zhuan'xin'yang'wang'ye'su 专心仰望耶稣
'zi'you'de'ge'chang 自由地歌唱
'zui'hao'de'peng'you 最好的朋友
'zui'mei'de'li'wu 最美的礼物
'zui'zhen'gui'de'jiao'luo 最珍贵的角落
'zun'gui'quan'neng'shen 尊贵全能神
'zuo'zai'bao'zuo'shang'sheng'jie'gao'yang 坐在宝座上圣洁羔羊
