'bai'bai'po 百白破
'kuang'quan'bing'ren'mian'yi'qiu'dan'bai 狂犬病人免疫球蛋白
'lan'jun'jing 兰菌净
'lan'jun'jing'xi'jun'rong'jie'wu 兰菌净细菌溶解物
'lei'du'su'yi'miao 类毒素疫苗
'lian'he'yi'miao 联合疫苗
'liu'gan'bing'du'lie'jie'yi'miao 流感病毒裂解疫苗
'liu'gan'shi'xue'gan'jun'jie'he'yi'miao 流感嗜血杆菌结合疫苗
'liu'gan'yi'miao 流感疫苗
'liu'nao'yi'miao 流脑疫苗
'liu'xing'xing'gan'mao'lie'jie'yi'miao 流行性感冒裂解疫苗
'liu'xing'xing'gan'mao'quan'bing'du'mie'huo'yi'miao 流行性感冒全病毒灭活疫苗
'liu'xing'xing'gan'mao'ya'dan'wei'yi'miao 流行性感冒亚单位疫苗
'lun'zhuang'bing'du 轮状病毒
'lun'zhuang'bing'du'yi'miao 轮状病毒疫苗
'ma'feng'er'lian'yi'miao 麻风二联疫苗
'ma'sai'er'lian'yi'miao 麻腮二联疫苗
'ma'sai'feng'san'lian'yi'miao 麻腮风三联疫苗
'ma'zhen'feng'zhen'lian'he'jian'du'huo'yi'miao 麻疹风疹联合减毒活疫苗
'ma'zhen'jian'du'huo'yi'miao 麻疹减毒活疫苗
'ma'zhen'sai'xian'yan'feng'zhen'lian'he'jian'du'huo'yi'miao 麻疹腮腺炎风疹联合减毒活疫苗
'ma'zhen'sai'xian'yan'lian'he'jian'du'huo'yi'miao 麻疹腮腺炎联合减毒活疫苗
'ma'zhen'yi'miao 麻疹疫苗
'mie'huo'yi'miao 灭活疫苗
'nao'mo'yan'qiu'jun'duo'tang'yi'miao 脑膜炎球菌多糖疫苗
'niang'jiu'jiao'mu 酿酒酵母
'pi'fu'hua'hen'ren'yong'bu'shi'jun'huo'yi'miao 皮肤划痕人用布氏菌活疫苗
'pi'fu'hua'hen'ren'yong'tan'ju'huo'yi'miao 皮肤划痕人用炭疽活疫苗
'pi'fu'hua'hen'yong'shu'yi'huo'yi'miao 皮肤划痕用鼠疫活疫苗
'pi'nei'zhu'she'yong'ka 皮内注射用卡
'po'shang'feng'kang'du'su 破伤风抗毒素
'po'shang'feng'ren'mian'yi'qiu'dan'bai 破伤风人免疫球蛋白
'po'shang'feng'yi'miao 破伤风疫苗
'qi'guan'yan'yi'miao 气管炎疫苗
'qun'liu'nao'yi'miao 群流脑疫苗
'ren'er'bei'ti'xi'bao 人二倍体细胞
'ren'yong'kuang'quan'bing'yi'miao 人用狂犬病疫苗
'sai'xian'yan 腮腺炎
'sai'xian'yan'feng'zhen'lian'he'jian'du'huo'yi'miao 腮腺炎风疹联合减毒活疫苗
'sai'xian'yan'jian'du'huo'yi'miao 腮腺炎减毒活疫苗
'sai'xian'yan'yi'miao 腮腺炎疫苗
'sen'lin'nao'yan'mie'huo'yi'miao 森林脑炎灭火疫苗
'sen'lin'nao'yan'yi'miao 森林脑炎疫苗
'shang'han'fu'shang'han'jia'lian'he'yi'miao 伤寒副伤寒甲联合疫苗
'shang'han'fu'shang'han'jia'yi'lian'he'yi'miao 伤寒副伤寒甲乙联合疫苗
'shang'han'yi'miao 伤寒疫苗
'shen'bing'zong'he'zheng'chu'xue're'yi'miao 肾病综合征出血热疫苗
'shu'yi'yi'miao 鼠疫疫苗
'shuang'jia'ren'ru'tou'liu'bing'du'xi'fu'yi'miao 双价人乳头瘤病毒吸附疫苗
'shui'dou'jian'du'huo'yi'miao 水痘减毒活疫苗
'shui'dou'yi'miao 水痘疫苗
'tan'ju'yi'miao 炭疽疫苗
'wu'gan'yi'miao 戊肝疫苗
'wu'lian'yi'miao 五联疫苗
'xi'fu'bai'bai'po'lian'he'yi'miao 吸附百白破联合疫苗
'xi'fu'bai'hou'po'shang'feng'lian'he'yi'miao 吸附白喉破伤风联合疫苗
'xi'fu'bai'hou'yi'miao 吸附白喉疫苗
'xi'fu'bai'ri'ke'bai'hou'lian'he'yi'miao 吸附百日咳白喉联合疫苗
'xi'fu'po'shang'feng'yi'miao 吸附破伤风疫苗
'xi'fu'wu'xi'bao'bai'bai'po'lian'he'yi'miao 吸附无细胞百白破联合疫苗
'xi'ke'shi'yan'du'su 锡克试验毒素
'ya'dan'wei'yi'miao 亚单位疫苗
'yi'gan 乙肝
'yi'gan'yi'miao 乙肝疫苗
'yi'miao 疫苗
'yi'miao'ben 疫苗本
'yi'nao'yi'miao 乙脑疫苗
'yi'xing'gan'yan'ren'mian'yi'qiu'dan'bai 乙型肝炎人免疫球蛋白
'yi'xing'nao'yan'jian'du'huo'yi'miao 乙型脑炎减毒活疫苗
'yi'xing'nao'yan'mie'huo'yi'miao 乙型脑炎灭活疫苗
'zai'ti'yi'miao 载体疫苗
