'a'bi'di'yu 阿鼻地狱
'e'piao'bian'ye 饿莩遍野
'e'qi'suo'hao 阿其所好
'e'shi'dao'ming 阿世盗名
'e'shi'mei'su 阿世媚俗
'e'shi'qu'rong 阿世取容
'e'shi'qu'su 阿时趋俗
'e'yan'huo'zhong 讹言惑众
'e'yi'qu'rong 阿意取容
'e'yu'chan'mei 阿谀谄媚
'e'yu'feng'cheng 阿谀奉承
'e'yu'feng'ying 阿谀逢迎
'e'yu'qu'rong 阿谀取容
'er'yu'wo'zha 尔虞我诈
'fa'ren'shen'xing 发人深省
'fu'bai'zai'bi 浮白载笔
'fu'bei'e'hou 拊背扼喉
'fu'ci'zi'xiao 父慈子孝
'fu'di'zuo'xiao 伏低做小
'fu'rong'bing'di 芙蓉并蒂
'fu'she'shi'shou'zhuang'shi'jie'wan 蝮蛇螫手壮士解腕
'fu'zhi'bing'ding 付之丙丁
'gan'bai'xia'feng 甘败下风
'gan'bu'cheng'ming 敢不承命
'gan'chang'cun'duan 肝肠寸断
'gan'fu'zhi'gu 干父之蛊
'gang'bi'zi'yong 刚愎自用
'gao'cai'ji'zu 高材疾足
'gao'dai'wu'men 告贷无门
'gao'guan'xian'jue 高官显爵
'gao'shuo'xi'yang 告朔饩羊
'ge'nian'huang'li 隔年皇历
'ge'zhong'miao'qu 个中妙趣
'geng'chang'meng'duan 更长梦短
'geng'duan'ji'shen 绠短汲深
'gong'bai'chui'cheng 功败垂成
'gong'bao'si'chou 公报私仇
'gong'tiao'ma'fu 弓调马服
'gou'e'jiu'suan 狗恶酒酸
'gou'hun'she'po 勾魂摄魄
'gou'xin'dou'jiao 钩心斗角
'gou'zhang'ji'ju 钩章棘句
'gu'bu'zi'feng 固步自封
'gu'bu'zi'feng 故步自封
'gu'dao're'chang 古道热肠
'gu'du'chu'ru 孤犊触乳
'gu'gong'zhi'li 股肱之力
'gu'jian'shang'nong 谷贱伤农
'gu'li'wu'yuan 孤立无援
'gu'luan'gua'hu 孤鸾寡鹄
'gu'wang'ting'zhi 姑妄听之
'gu'ye'shen'ren 姑射神人
'gua'die'mian'mian 瓜瓞绵绵
'gua'tian'bu'na'lv'li'xia'bu'zheng'guan 瓜田不纳履李下不整冠
'guan'dong'chu'xiang'guan'xi'chu'jiang 关东出相关西出将
'guan'gua'gu'du 鳏寡孤独
'guan'guo'zhi'ren 观过知仁
'guan'jue'yi'shi 冠绝一时
'gui'bian'duo'duan 诡变多端
'gui'de'gui'shi 佹得佹失
'gui'er'jian'mu 贵耳贱目
'gui'gen'dao'di 归根到底
'gui'he'xia'shou 龟鹤遐寿
'gui'leng'zhi'chuang 龟冷支床
'hai'lang'jing'tao 骇浪惊涛
'hai'nei'cun'zhi'ji'tian'ya'ruo'bi'lin 海内存知己天涯若比邻
'han'bao'dai'fang 含苞待放
'han'dan'xue'bu 邯郸学步
'han'guan'wei'yi 汉官威仪
'hang'hang'chu'zhuang'yuan 行行出状元
'hao'bu'hui'yan 毫不讳言
'hao'chi'lan'zuo 好吃懒做
'hao'duo'qiao'qu 豪夺巧取
'hao'zheng'yi'xia 好整以暇
'he'dong'shi'hou 河东狮吼
'he'er'wei'yi 合而为一
'he'huan'wu'ci 何患无辞
'he'yi'bu'wan 褐衣不完
'he'zong'lian'heng 合从连衡
'heng'yang'fei'huo 横殃飞祸
'hong'dong'yi'shi 轰动一时
'hong'dong'yi'shi 哄动一时
'hong'tu'da'zhi 宏图大志
'hong'yi'kuan'hou 弘毅宽厚
'hou'che'zhi'jie 后车之戒
'hou'huan'wu'qiong 后患无穷
'hu'lun'ban'pian 囫囵半片
'hu'luo'ping'chuan 虎落平川
'hua'bing'chong'ji 画饼充饥
'hua'bu'zai'yang 华不再扬
'hua'ting'he'li 华亭鹤唳
'hua'wu'qiu'xu 华屋秋墟
'hua'yi'bu'er 划一不二
'hua'zhao'yue'xi 花朝月夕
'huai'bao'mi'bang 怀宝迷邦
'huan'hai'feng'bo 宦海风波
'huan'ran'bing'shi 涣然冰释
'huang'huang'bu'ke'zhong'ri 皇皇不可终日
'hui'cui'yi'tang 荟萃一堂
'hui'fei'yan'mie 灰飞烟灭
'hui'ji'tao'guang 晦迹韬光
'hui'ying'hui'sheng 绘影绘声
'hui'yu'yi'dan 毁于一旦
'hun'bu'fu'ti 魂不附体
'hun'dun'bu'fen 混沌不分
'hun'shen'xie'shu 浑身解数
'hun'xiao'shi'ting 混淆视听
'huo'da'da'du 豁达大度
'huo'ling'huo'xian 活灵活现
'huo'xi'fu'suo'yi'fu'xi'huo'suo'fu 祸兮福所倚福兮祸所伏
'huo'zhen'jia'shi 货真价实
'ji'an'ying'xiang 积案盈箱
'ji'ang'kang'kai 激昂慷慨
'ji'bin'you'yu 及宾有鱼
'ji'bu'xuan'zhong 计不旋踵
'ji'chang'lian'mei 掎裳连袂
'ji'chu'wan'quan 计出万全
'ji'ci'san'fan 几次三番
'ji'er'yan'zhi 极而言之
'ji'feng'jing'cao 疾风劲草
'ji'feng'she'shu 稷蜂社鼠
'ji'gu'ming'jin 击鼓鸣金
'ji'han'zhen'pin 济寒赈贫
'ji'ji'bu'ke'zhong'ri 岌岌不可终日
'ji'liang'jie'kou'ji'bian'ru'shen'ji'bu'ze'shi 赍粮藉寇机变如神饥不择食
'ji'mu'jiong'wang 极目迥望
'ji'quan'zhi'sheng'xiang'wen'lao'si'bu'xiang'wang'lai 鸡犬之声相闻老死不相往来
'ji'shi'xiang'diao 虮虱相吊
'ji'wen'zhi'xue 记问之学
'ji'yin'wang'pi 汲引忘疲
'ji'ying'diao'nian 急景凋年
'ji'zhong'yao'hai 击中要害
'jia'ban'yi'tuo'zi 夹板医驼子
'jia'dai'ren'wu 夹袋人物
'jia'dao'cong'rong 家道从容
'jia'di'lian'tian 甲第连天
'jia'er'jia'fu 佳儿佳妇
'jia'guan'jin'jue 加官进爵
'jia'huo'yu'ren 嫁祸于人
'jia'ji'min'zu 家给民足
'jia'jia'du'zao 戛戛独造
'jia'lian'wu'mei 价廉物美
'jia'qing'jiu'shu 驾轻就熟
'jia'sui'lun'fu 浃髓沦肤
'jia'wu'teng'yun 驾雾腾云
'jian'an'si'ma 见鞍思马
'jian'bu'rong'fa 间不容发
'jian'dan'liang'tou'tuo 尖担两头脱
'jian'feng'shi'yu 见风是雨
'jian'ji'er'xing 见机而行
'jian'mo'gu'ji 肩摩毂击
'jian'shang'lan'xing 僭赏滥刑
'jian'shou'zi'dao 监守自盗
'jian'si'niu'mao 茧丝牛毛
'jian'tong'gui'yu'xing'ruo'hu'shu 奸同鬼蜮行若狐鼠
'jiang'dong'fu'lao 江东父老
'jiang'gui'zhi'xing 姜桂之性
'jiang'men'hu'zi 将门虎子
'jiao'han'dao'shou 郊寒岛瘦
'jiao'ku'bu'die 叫苦不迭
'jiao'zhu'tiao'se 胶柱调瑟
'jie'ai'shun'bian 节哀顺变
'jie'ao'bu'xun 桀骜不驯
'jie'da'huan'xi 皆大欢喜
'jie'er'lian'san 接二连三
'jie'fu'ji'pin 劫富济贫
'jie'ran'yi'shen 孑然一身
'jie'ze'er'yu 竭泽而渔
'jin'bang'ti'ming 金榜题名
'jin'bu'ru'xi 今不如昔
'jin'da'man'qiao 紧打慢敲
'jin'guo'ying'xiong 巾帼英雄
'jin'hu'mo'zhi 金壶墨汁
'jin'huo'xian'jiao 近火先焦
'jin'jin'ji'jiao 斤斤计较
'jin'lv'tui'lv 进旅退旅
'jin'rong'xuan'ma 仅容旋马
'jin'se'nian'hua 锦瑟年华
'jin'shen'zhi'jie 进身之阶
'jin'shi'zuo'fei 今是昨非
'jin'tui'wu'ju 进退无据
'le'shan'le'shui 乐山乐水
'lie'ding'er'shi 列鼎而食
'lin'bie'zeng'yan 临别赠言
'lin'ci'zhi'bi 鳞次栉比
'ling'bu'xu'xing 令不虚行
'ling'gu'bian'qian 陵谷变迁
'ling'long'ti'tou 玲珑剔透
'liu'chu'qi'ji 六出奇计
'liu'shu'shang'zhao'dao'sang'shu'shang'chu'xue 柳树上着刀桑树上出血
'lu'hai'pan'jiang 陆海潘江
'luan'tan'qin 乱弹琴
'luo'yang'zhi'gui 洛阳纸贵
'luo'yi'bu'jue 络绎不绝
'lv'chun'bu'dui'ma'zui 驴唇不对马嘴
'man'cang'hui'dao 慢藏诲盗
'mang'ren'ba'zhu 盲人把烛
'mei'fan'bu'wang 每饭不忘
'meng'hun'guo'guan 蒙混过关
'meng'mei'wu'zhi 蒙昧无知
'meng'zhi'chang'zai 猛志常在
'mi'bu'tong'feng 密不通风
'mi'er'bu'fan 迷而不返
'mi'feng'qi'que 弥缝其阙
'mian'gui'yue'ju 偭规越矩
'mian'kai'zun'kou 免开尊口
'mian'li'bo'cai 绵里薄材
'min'an'wu'fu 民安物阜
'ming'biao'qing'shi 名标青史
'ming'cha'qiu'hao'zhi'mo'er'bu'jian'yu'xin 明察秋毫之末而不见舆薪
'mo'ding'fang'zhong 摩顶放踵
'mo'jian'ji'gu 摩肩击毂
'mo'leng'liang'ke 模棱两可
'mo'ming'qi'miao 莫名其妙
'mo'mo'han'qing 脉脉含情
'mo'yu'du'ye 莫予毒也
'mou'se'chuai'chen 侔色揣称
'mu'hou'er'guan 沐猴而冠
'mu'tian'xi'di 幕天席地
'na'dao'dong'zhang 拿刀动杖
'nan'fen'nan'jie 难分难解
'nan'xiong'nan'di 难兄难弟
'nei'gu'zhi'you 内顾之忧
'nei'xing'bu'jiu 内省不疚
'ni'ji'xiao'sheng 匿迹销声
'ni'nan'xi'yu 呢喃细语
'ni'si'wo'huo 你死我活
'nian'fu'li'qiang 年富力强
'nie'er'bu'zi 涅而不缁
'ning'que'wu'lan 宁缺毋滥
'nv'zhang'xu'jia 女长须嫁
'ou'yi'wei'zhi 偶一为之
'pai'huai'qi'lu 徘徊歧路
'pang'jian'ce'chu 旁见侧出
'pang'mei'hao'fa 庞眉皓发
'pao'huo'lian'tian 炮火连天
'pao'xiao'ru'lei 咆哮如雷
'peng'bi'wei'jian 朋比为奸
'pi'gun'niao'liu 屁滚尿流
'pi'hong'pan'bai 批红判白
'pi'ji'tai'lai 否极泰来
'pi'kai'rou'zhan 皮开肉绽
'pi'pa'men'xiang 枇杷门巷
'pian'jia'bu'cun 片甲不存
'pian'mu'zhi'zhi 骈拇枝指
'piao'bo'wu'ding 漂泊无定
'ping'ji'ju'zhang 凭几据杖
'po'bu'de'yi 迫不得已
'pu'pu'feng'chen 仆仆风尘
'qi'an'tou'ming 弃暗投明
'qi'bu'zhi'cai 七步之才
'qi'cai'yi'neng 奇才异能
'qi'chong'niu'dou 气冲牛斗
'qi'feng'dui'shou 棋逢对手
'qi'heng'ba'shu 七横八竖
'qi'ji'guo'xi 骐骥过隙
'qi'ren'you'tian 杞人忧天
'qi'shu'juan'jian 弃书捐剑
'qi'wei'wu'qiong 其味无穷
'qi'you'ci'li 岂有此理
'qian'bian'wan'hua 千变万化
'qian'bu'ba'cun'hou'bu'ba'dian 前不巴村后不巴店
'qian'chang'gua'du 牵肠挂肚
'qian'dao'yi'ge 铅刀一割
'qian'fu'hou'ji 前赴后继
'qian'ke'tong'shen 钱可通神
'qian'yan'wan'yu 千言万语
'qiang'ben'jie'yong 强本节用
'qiang'bo'zhi'hu 将伯之呼
'qiang'dao'zhong'ren'tui 墙倒众人推
'qiao'gui'qiao'lu'gui'lu 桥归桥路归路
'qiao'long'hua'hu 乔龙画虎
'qiao'ran'wu'sheng 悄然无声
'qie'chi'fu'xin 切齿腐心
'qie'fang'yong'zhan 怯防勇战
'qin'chai'da'chen 钦差大臣
'qin'duan'zhu'xian 琴断朱弦
'qin'kun'fu'che 禽困覆车
'qin'se'tiao'he 琴瑟调和
'qing'cai'hao'shi 轻才好施
'qing'chang'dao'du 倾肠倒肚
'qing'er'er'ting 倾耳而听
'qing'ju'wang'dong 轻举妄动
'qing'ru'hong'mao 轻如鸿毛
'qing'xian'hu'ci 情见乎辞
'qing'ye'men'xin 清夜扪心
'qiong'qiong'jie'li'xing'ying'xiang'diao 茕茕孑立形影相吊
'qiong'yuan'jing'wei 穷源竟委
'qiu'shan'zhi'gong 丘山之功
'qiu'shou'gou'mian 囚首垢面
'qiu'yue'chun'feng 秋月春风
'qu'gao'he'gua 曲高和寡
'qu'qu'xiao'shi 区区小事
'quan'gong'jin'qi 全功尽弃
'quan'heng'qing'zhong 权衡轻重
'quan'jun'fu'mo 全军覆没
'quan'ya'jiao'cuo 犬牙交错
'que'jiao'shu'ya 雀角鼠牙
'qun'dai'guan'xi 裙带关系
're'chang'gu'dao 热肠古道
'ren'gei'jia'zu 人给家足
'ren'ji'han'zhi 人迹罕至
'ren'sheng'he'chu'bu'xiang'feng 人生何处不相逢
'ren'sheng'ru'zhao'lu 人生如朝露
'ren'wei'cai'si'niao'wei'shi'wang 人为财死鸟为食亡
'ren'xin'gui'xiang 人心归向
'ri'chu'san'gan 日出三竿
'ri'ji'yue'lei 日积月累
'ri'jiu'tian'chang 日久天长
'ri'xing'yue'shi 日省月试
'ri'yue'cuo'tuo 日月蹉跎
'ri'yue'shen'chen 日月参辰
'rong'ma'kong'zong 戎马倥偬
'ru'bi'shi'zhi 如臂使指
'ru'mu'san'fen 入木三分
'ru'xiu'wei'gan 乳臭未干
'ru'ying'sui'xing 如影随形
'san'cha'liu'fan 三茶六饭
'san'sheng'you'xing 三生有幸
'san'xing'wu'shen 三省吾身
'san'zhi'xiang'gong 三旨相公
'se'li'nei'ren 色厉内荏
'sha'di'zhi'guo 杀敌致果
'sha'ji'hai'hou 杀鸡骇猴
'shan'ba'gan'xiu 善罢干休
'shan'fan'jiu'jian 芟繁就简
'shan'fan'jiu'jian 删繁就简
'shan'feng'dian'huo 煽风点火
'shan'ran'lei'xia 潸然泪下
'shan'yao'ye'su 山肴野蔌
'shan'zou'hai'shi 山陬海噬
'shang'zheng'xia'bao 上烝下报
'shao'bu'geng'shi 少不更事
'shao'zhuang'bu'nu'li'lao'da'tu'shang'bei 少壮不努力老大徒伤悲
'she'bi'chun'jiao 舌敝唇焦
'she'ji'jiu'ren 舍己救人
'she'shen'chu'di 设身处地
'she'wei'shan'shi 社威擅势
'shen'sheng'gong'qiao 神圣工巧
'shen'wu'tong'ji 深恶痛疾
'shen'yuan'tu'qi 申冤吐气
'sheng'bai'nai'bing'jia'chang'shi 胜败乃兵家常事
'sheng'can'qu'sha 胜残去杀
'sheng'shan'cai'zhu 升山采珠
'sheng'si'xiang'yi 生死相依
'sheng'si'yu'duo 生死予夺
'shi'bai'wei'cheng'gong'zhi'mu 失败为成功之母
'shi'bing'jiu'tong 十病九痛
'shi'bu'gan'wei 食不甘味
'shi'bu'jue'shu 史不绝书
'shi'bu'ke'shi 时不可失
'shi'chang'gu'chui 诗肠鼓吹
'shi'chu'wu'ming 师出无名
'shi'dao'ren'xin 世道人心
'shi'er'wu'er'bu'zhi'shi 识二五而不知十
'shi'heng'bian'ye 尸横遍野
'shi'jing'zhi'chen 市井之臣
'shi'kou'di'lai 矢口抵赖
'shi'li'chang'ting 十里长亭
'tian'fu'xian'pu 田父献曝
'tiao'bo'li'jian 挑拨离间
'tiao'feng'mai'yu 粜风卖雨
'tiao'he'ding'nai 调和鼎鼐
'tong'bing'xiang'lian 同病相怜
'tong'wen'gong'gui 同文共轨
'tou'hui'ji'lian 头会箕敛
'tou'mo'bei'an 头没杯案
'tou'zhuan'er'qu 投传而去
'tu'cai'hai'ming 图财害命
'tu'du'fu'shu 徒读父书
'tu'qi'hu'luo 兔起鹘落
'tu'qiong'bi'xian 图穷匕见
'tun'ji'ju'qi 囤积居奇
'tuo'ni'dai'shui 拖泥带水
'wan'mei'wu'ci 完美无疵
'wan'ni'feng'guan 丸泥封关
'wan'shi'liu'fang 万世流芳
'wan'zhuan'you'yang 宛转悠扬
'wang'gu'zuo'you'er'yan'ta 王顾左右而言他
'wang'kai'yi'mian 网开一面
'xiao'ben'jing'ying 小本经营
'xiao'fu'cong'gong 枵腹从公
'xiao'hun'duo'po 销魂夺魄
'xie'bu'ya'zheng 邪不压正
'xie'mo'sha'lv 卸磨杀驴
'xin'an'li'de 心安理得
'xin'kou'kai'he 信口开合
'xin'xi'ruo'kuang 欣喜若狂
'xing'dong'zuo'wo 行动坐卧
'xing'gao'cai'lie 兴高采烈
'xing'lian'tao'sai 杏脸桃腮
'xing'se'cang'huang 形色仓皇
'xing'wen'zai'shang 腥闻在上
'xiong'chuan'fu'han 凶喘肤汗
'xiu'ming'sheng'shi 休明盛世
'xu'huang'yi'qiang 虚晃一枪
'xuan'bin'duo'zhu 喧宾夺主
'xuan'deng'jie'cai 悬灯结彩
'xuan'hu'wen'shi 悬壶问世
'xuan'jiu'hu'fu 玄酒瓠脯
'xue'hai'shen'chou 血海深仇
'xue'ju'ye'chu 穴居野处
'xue'mu'wei'li 削木为吏
'xue'ran'hou'zhi'bu'zu'jiao'ran'hou'zhi'kun 学然后知不足教然后知困
'xun'gen'jiu'di 寻根究底
'xun'hua'wen'liu 寻花问柳
'ya'bai'kou'qing 牙白口清
'yan'bo'diao'tu 烟波钓徒
'yan'bu'jian'xin'bu'fan 眼不见心不烦
'yan'jing'he'wang 延颈鹤望
'yan'nan'zhe'chong 厌难折冲
'yan'yan'yi'xi 奄奄一息
'yan'zi'yan'zhi 妍姿艳质
'yang'bu'kui'tian 仰不愧天
'yang'chang'bi'duan 扬长避短
'yang'chun'bai'xue 阳春白雪
'yang'jia'huo'kou 养家活口
'yang'yong'cheng'huan 养痈成患
'yao'huang'wei'zi 姚黄魏紫
'yao'mo'xiao'chou 幺麽小丑
'yao'tao'nong'li 夭桃秾李
'yao'yao'wu'qi 遥遥无期
'ye'gong'hao'long 叶公好龙
'ye'jing'yu'qin 业精于勤
'yi'ba'si'na 一把死拿
'yi'bao'yi'bao 以暴易暴
'yi'bei'qun'sheng 衣被群生
'yi'bo'yun'tian 义薄云天
'yi'chou'wan'nian 遗臭万年
'yi'fen'wei'er 一分为二
'yi'feng'xue'yu 蚁封穴雨
'yi'hu'zhi'ye 一狐之腋
'yi'jia'yi'shi 宜家宜室
'yi'jing'ti'xian 仪静体闲
'yi'jue'ci'xiong 一决雌雄
'yi'ke'qian'jin 一刻千金
'yi'li'er'shu 以狸饵鼠
'yi'li'fu'ren 以力服人
'yi'ma'xin'yuan 意马心猿
'yi'ming'jing'ren 一鸣惊人
'yi'mu'nan'zhi 一木难支
'yi'shi'er'niao 一石二鸟
'yi'shi'long'men 一世龙门
'yi'shi'wu'cheng 一事无成
'yi'tan'zhi'qing 一弹指顷
'yi'wang'da'jin 一网打尽
'yi'xie'qian'li 一泻千里
'yi'yu'hu'di 伊于胡底
'yi'yu'mai'xiang 瘗玉埋香
'yi'zhi'wei'shen 一之谓甚
'yi'zi'zhi'mao'gong'zi'zhi'dun 以子之矛攻子之盾
'yin'cai'shi'jiao 因材施教
'yin'cha'yang'cuo 阴差阳错
'yin'chi'mao'liang 寅吃卯粮
'yin'er'bu'fa 引而不发
'yin'hu'zi'wei 引虎自卫
'yin'ma'tou'qian 饮马投钱
'yin'shi'zhi'yi 因事制宜
'ying'chou'yan'lv 莺俦燕侣
'ying'feng'dai'yue 迎风待月
'ying'ke'hou'jin 盈科后进
'ying'shu'yan'shuo 郢书燕说
'ying'xiong'qi'duan 英雄气短
'you'ci'qiao'shi 游辞巧饰
'you'guo'zhi'wu'bu'ji 有过之无不及
'you'mu'cheng'huai 游目骋怀
'you'ran'ju'shou 褎然举首
'you'ruo'yi'ge 又弱一个
'you'wu'yi'ren 尤物移人
'you'xin'ru'dao 忧心如捣
'you'yi'de'yi 有一得一
'you'zhao'yi'ri 有朝一日
'you'zhi'tian'ye 有枝添叶
'you'zhuan'zhi'ba'zhang 右传之八章
'yu'bang'chi'zheng'yu'weng'de'li 鹬蚌持争渔翁得利
'yu'bo'wei'ping 余波未平
'yu'bu'ke'ji 愚不可及
'yu'bu'zhuo'bu'cheng'qi 玉不琢不成器
'yu'da'feng'chui 雨打风吹
'yu'guan'er'xing 鱼贯而行
'yu'hu'mou'pi 与虎谋皮
'yu'huo'fei'bao 狱货非宝
'yu'qing'tuo'zi 纡青拖紫
'yu'qu'yu'qiu 予取予求
'yu'shi'chen'fu 与世沉浮
'yu'xue'fen'zhan 浴血奋战
'yu'ye'jin'zhi 玉叶金枝
'yuan'chen'li'lan 沅茞澧兰
'yuan'jian'zhuo'shi 远见卓识
'yuan'kong'fang'mu 圆孔方木
'yuan'you'tou'zhai'you'zhu 冤有头债有主
'yuan'yuan'bu'duan 源源不断
'yue'bai'feng'qing 月白风清
'yue'ma'wan'gong 跃马弯弓
'yue'xia'hua'qian 月下花前
'yun'cheng'fa'ren 云程发轫
'za'luan'wu'zhang 杂乱无章
'zao'bai'bu'fen 皂白不分
'ze'fei'er'shi 择肥而噬
'zhan'wa'guo'jiao'xue 毡袜裹脚靴
'zhang'chang'hua'mei 张敞画眉
'zhang'ma'han'chan 仗马寒蝉
'zhao'ben'xuan'ke 照本宣科
'zhao'xiang'na'pan 招降纳叛
'zhen'ma'feng'qiang 阵马风樯
'zhen'zang'shi'fan 真赃实犯
'zheng'ben'qing'yuan 正本清源
'zheng'yi'hui'cheng 政以贿成
'zhi'bai'shou'hei 知白守黑
'zhi'bian'sui'deng 执鞭随蹬
'zhi'chu'cheng'men 织楚成门
'zhi'ci'yi'jia'bie'wu'fen'dian 只此一家别无分店
'zhi'fa'fan'fa 知法犯法
'zhi'li'po'sui 支离破碎
'zhi'ren'zhi'ming 知人之明
'zhu'bian'shu'cai 助边输财
'zhuang'mo'fei'dai 妆嫫费黛
'zhuang'shi'jie'wan 壮士解腕
'zhui'ben'zhu'bei 追奔逐北
'zhui'yin'luo'hun 坠茵落溷
'zhuo'ai'fen'tong 灼艾分痛
'zhuo'fa'nan'shu 擢发难数
'zhuo'kou'dun'sai 拙口钝腮
'zhuo'lun'lao'shou 斫轮老手
'zi'ba'lai'gui 自拔来归
'zi'ji'zi'zu 自给自足
'zi'ju'bu'qian 趑趄不前
'zi'jue'zi'yuan 自觉自愿
'zi'shen'wang'zhong 资深望重
'zi'xu'wu'you 子虚乌有
'zi'yi'yi'qi 自贻伊戚
'zui'bu'ke'huan 罪不可逭
'zuo'bi'shang'guan 作壁上观
'zuo'bu'chui'tang 坐不垂堂
'zuo'chi'shan'beng 坐吃山崩
'zuo'di'fen'zang 坐地分赃
