'bai'yi 白蚁
'ni'jia'zong'ke 泥甲总科
'ni'kou'jia 拟叩甲
'ni'ling 泥蛉
'ni'qiao'jia 拟锹甲
'ni'tian'niu 拟天牛
'nian'chi'mu 捻翅目
'niao'shi 鸟虱
'nie'chong'mu 啮虫目
'pan'xiong'jia 盘胸甲
'pang'jin'gui 胖金龟
'pi'du 皮蠹
'pi'du'zong'ke 皮蠹总科
'pi'jian'jia 皮坚甲
'pi'jin'gui 皮金龟
'piao'jia 瓢甲
'ping'chun'shui'gui 平唇水龟
'qiang'lang 蜣螂
'qiao'chi'mu 鞘翅目
'qiao'jia 锹甲
'qie'du 窃蠹
'qing'feng 青蜂
'qing'ting 蜻蜓
'qing'ting'mu 蜻蜓目
'qing'zhao'ni'jia 擎爪泥甲
'qiong'lian 蛩蠊
'qiong'lian'mu 蛩蠊目
'qiu'jia 球甲
'qiu'xun'jia 球蕈甲
'qu'sou 蠼螋
'que'chi'chong 缺翅虫
'que'chi'mu 缺翅目
'rong'mao'jin'gui 绒毛金龟
'rou'shi'ya'mu 肉食亚目
'sai'jin'gui 鳃金龟
'san'zhi'niu 三栉牛
'san'zhui'xiang 三锥象
'shan'ling 山蛉
'she'ling 蛇蛉
'she'ling'mu 蛇蛉目
'shi'bing 石蛃
'shi'bing'mu 石蛃目
'shi'e 石蛾
'shi'mao'mu 食毛目
'shi'mu 虱目
'shi'ying 石蝇
'shi'zi 虱子
'shu'pi'jia 树皮甲
'shu'shi 书虱
'shu'sou 鼠螋
'shuang'chi'mu 双翅目
'shuang'wei'mu 双尾目
'shui'gui'jia 水龟甲
'shui'gui'jia'zong'ke 水龟甲总科
'shui'jia 水甲
'shui'ling 水蛉
'shui'ying'jia 水缨甲
'si'jie'fu 四节蜉
'si'jie'fu'ke 四节蜉科
'suo'tui'jia 缩腿甲
'tai'jia 苔甲
'tang'lang 螳螂
'tang'lang'mu 螳螂目
'tang'lang'zhu'jie'chong'mu 螳螂竹节虫目
'tang'ling 螳蛉
'tao'jia 淘甲
'tian'niu 天牛
'tiao'ji'jia 条脊甲
'tiao'zao 跳蚤
'tie'jia 铁甲
'tong'chi'mu 同翅目
'tong'du 筒蠹
'tong'du'zong'ke 筒蠹总科
'tou'bu'de'gou'zao 头部的构造
'tu'feng 土蜂
'tuo'jin'gui 驼金龟
'wei'piao'chong 伪瓢虫
'wen'ling 蚊蛉
'xi'jin'gui 犀金龟
'xi'ling 溪蛉
'xi'ling 细蛉
'xi'ni'jia 溪泥甲
'xi'shang'fu 细裳蜉
'xi'shang'fu'ke 细裳蜉科
'xi'shuai 蟋蟀
'xiang'jia 象甲
'xiang'jia'zong'ke 象甲总科
'xiao'feng 小蜂
'xiao'hua'jia 小花甲
'xiao'li'long'shi 小粒龙虱
'xiao'wan'jia 小丸甲
'xiao'ye'jia 肖叶甲
'xie'ling 蝎蛉
'xin'jia 薪甲
'xiong'bu'de'gou'zao 胸部的构造
'xue'ling 雪蛉
'ya'chong 蚜虫
'yan'jia 眼甲
'yan'jia 阎甲
'ye'chan 叶蝉
'ye'jia 叶甲
'ye'jia'zong'ke 叶甲总科
'yi'jia 蚁甲
'yi'ling 蚁蛉
'yi'xing'jia 蚁形甲
'yi'yu 衣鱼
'yin'chi'chong 隐翅虫
'yin'chi'jia'zong'ke 隐翅甲总科
'yin'chun'kou'jia 隐唇叩甲
'yin'shi'jia 隐食甲
'ying'chi'mu 缨翅目
'ying'jia 缨甲
'ying'wei'mu 缨尾目
'you'chi'ya'gang 有翅亚纲
'yu'jiao'jia 羽角甲
'yu'ling 鱼蛉
'yuan'jing 芫菁
'yuan'ni'jia 圆泥甲
'yuan'qiao'ya'mu 原鞘亚目
'yuan'wei'mu 原尾目
'zao'lou 蚤蝼
'zao'mu 蚤目
'zao'shi'ya'mu 藻食亚目
'ze'jia 泽甲
'ze'ling 泽蛉
'zha'meng 蚱蜢
'zhang'jiao'xiang 长角象
'zhang'lang 蟑螂
'zhao'jia 沼甲
'zhao'suo'jia 沼梭甲
'zhi'chi'mu 直翅目
'zhi'jiao'ling 栉角蛉
'zhong'she'mu 重舌目
'zhong'si 螽斯
'zhu'jia 蛛甲
'zhu'jie'chong 竹节虫
'zhu'jie'chong'mu 竹节虫目
'zu'si'yi 足丝蚁
