'a'mu'ze'wan'lie 阿母责顽劣
'chai'men'hai'zai'zui'gao'ya 柴门还在最高崖
'chai'meng'dian'yue 钗盟钿约
'chang'an'chen'wu'wang'zhong'mi 长安尘雾望中迷
'chang'an'yi'ye'xi'feng'jin 长安一夜西风近
'chang'bao'fang'xin'zi'ku 长抱芳心自苦
'chang'duan'ri'xi'shi 肠断日西时
'chang'feng'chui'luo'bi'yun'xi 长风吹落碧云西
'chang'huan'gui'lai'ke 常唤归来可
'chang'jie'yue'shen'feng'ji 长街月沈风急
'chang'ku'yan'se 肠枯眼涩
'chang'lian'jun'huai'xiu 长恋君怀袖
'chang'mei'wan'you'wan 长眉弯又弯
'chang'mei'xin'yue'wan 长眉新月弯
'chang'pa'jun'qiao'cui 长怕君憔悴
'chang'qu'guan'dai'zou'dian'che 长衢冠带走钿车
'chang'si'lian'huan 常似连环
'chang'ye'man'man'ren'du'xing 长夜漫漫忍独醒
'chang'ye'shen'suo'zhong'men 长夜深锁重门
'chen'gui'hong'shuo'yu 趁归鸿说与
'chen'qu'fang'fei'jie 趁取芳菲节
'chen'xiang'duan'suo 尘箱断锁
'cheng'que'dang'nian'can'ba 城阙当年残霸
'cheng'yi'luo'pa 橙遗罗帕
'chi'bao'wen'li'sui'wu'qi 赤豹文狸随雾起
'chi'shu'man'ji 尺书漫寄
'chi'zhao'meng'zhong'lu 持照梦中路
'chong'du'ji'lai'shu 重读寄来书
'chong'feng'he'shi 重逢何世
'chong'feng'yi'jiu'piao'yao 重逢依旧飘飖
'chong'jian'can'luo'sheng'qi 重检残罗剩绮
'chong'shi'bing'dao 重试并刀
'chong'zhao'shan'he 重照山河
'chou'chang'ren'jian'fang'meng'duan 惆怅人间芳梦短
'chou'chang'yu'lu'hong'qi 惆怅玉炉红起
'chou'ji'mei'nan'hua 愁极眉难画
'chou'ji'yi'ye'yuan'ti 愁寄一叶怨题
'chou'ou'yu 愁偶语
'chou'ren'gui'lu 愁认归路
'chou'shui'chou'feng 愁水愁风
'chou'si'nan'jian 愁丝难剪
'chou'ting'shuang'jiao'qi'chu 愁听霜角凄楚
'chou'wen'dong'hen'shen'qian 愁问冻痕深浅
'chou'yi'jiu'lian'gou 愁忆旧帘钩
'chu'hong'yuan'yi 初鸿远驿
'chu'jian'hua'suo'suo 初见话琐琐
'chu'ri'lian'long 初日帘栊
'chu'ri'lian'long'xiao 初日帘栊晓
'chuan'en'di'yuan 传恩递怨
'chuan'jing'yi'yang'wu'cang'sheng 传经一样误苍生
'chuang'huo'qian'qing'ze 闯祸前请责
'chui'qi'bo'qian'chi 吹起波千尺
'chui'xiang'jiu'yan 吹香酒酽
'chui'yang'qing'yan'jing'qian'meng 垂杨青眼经前梦
'chun'chou'li'hen'zi'chong'chong 春愁离恨自重重
'chun'chou'ru'hai 春愁如海
'chun'gui'wu'di 春归无地
'chun'jiang'liu'chou'qu 春江流愁去
'chun'lai'zi'bi'xian'ting'yuan 春来自闭闲庭院
'chun'lou'xie 春漏泄
'chun'meng'duan 春梦短
'chun'yi'jin 春易尽
'chun'yi'ru'hua 春意如花
'ci'chou'bu'kan'ti'chu 此愁不堪题处
'ci'fu'zhao'hun'feng'yu'ye 词赋招魂风雨夜
'ci'hou'ying'xu'she 此后应虚设
'ci'jian'dai'xie'li'qing 词笺待写离情
'ci'qing'ku 此情苦
'ci'qing'ren'fu'ta'nian'yi 此情忍付他年忆
'ci'ri 此日
'ci'shi'qing 此时情
'ci'shi'xiang'jian'geng'xiang'yi 此时相见更相疑
'ci'wan'bi'luo'chun 瓷碗碧螺春
'ci'yu'shi'er'nao 此语使儿恼
'ci'zhong'duo'shao 此中多少
'cong'bie'hou 从别后
'cong'ci'li'bie 从此离别
'cong'jin'bu'zuo'chong'feng'xiang 从今不作重逢想
'cong'lai'tian'yi'zhi'nan'wen 从来天意知难问
'cui'mei'jiang'shu 脆梅将熟
'cui'mu'jin'lu 翠幕金炉
'cui'xiu'bo'nan'jin'ye'lu 翠袖薄难禁夜露
'cui'xiu'zhan'shuang'lu 翠袖沾霜露
'cun'shui'qian'cen 寸水千岑
'cuo'e'di'zhai'jin'wang'hou 嵯峨第宅尽王侯
'da'di'wu'xian'qing'qing'shu 大堤无限青青树
'da'gou'ti'shao'zhu 打狗踢苕猪
'da'ku'bei'ya'dao 大哭被压倒
'da'pu 大酺
'dai'dou'fu'yan'bo'di'su 待都付眼波低诉
'dai'liang'shuang'yan'qi'nan'wen 玳梁双燕栖难稳
'dai'luo'zi'nuan'jiu'shi'xiang 带罗自暖旧时香
'dai'wei'jian'kuan 带围渐宽
'dai'wei'kuan'jin'jiu'shi'yao 带围宽尽旧时腰
'dai'zeng'yu 待赠与
'dai'zhong'zhui 待重追
'dan'bei'wang'qi'ran 但北望凄然
'dan'bian'nian'mao'yi 但辨年貌异
'dan'gu'deng'xie'ying 但孤灯写影
'dan'qi'ran 但凄然
'dan'qi'wei'liao'fei'zong'heng 弹棋未了费纵横
'dan'qian'wen'jia'chi'chu 担前问价踟蹰
'dan'ri'qiang'yin'qing'wei'wen 淡日墙阴晴未稳
'dan'xu'xiang'wang'bian'shi'en 但许相忘便是恩
'dan'zhen'han'shen'zhu 但枕函沈炷
'dan'zou'jin'guang'dao 但走金光道
'dang'lou'liu'se'pa'guan'qing 当楼柳色怕关情
'dang'nian'qing'yuan'zong'cheng'en 当年轻怨总成恩
'dang'shi'qun'fu 当时裙幅
'dang'shi'yuan'zuo'yi'sheng'pan 当时原作一生拚
'dang'yan'mo'quan'jiu'bei'shen 当筵莫劝酒杯深
'dao'chu'mi'li'zao 到处觅梨枣
'dao'guan'geng'fan'lan 倒罐更翻篮
'dao'yin'he'la'ju'cheng'hui 到银荷蜡炬成灰
'deng'can'meng'xing 灯残梦醒
'deng'can'pa'zuo'chang'xiao'lei 灯残怕作长宵泪
'deng'chuang'zha'xiao 灯窗乍晓
'deng'huo'yu'xing'chou 灯火与星稠
'deng'lou'yu'jin'shang'gao'yan 登楼欲尽伤高眼
'deng'lv'geng'jin'wang'jing'yan 登褛更尽望京眼
'deng'xian'mo'duo'xiang'ni 等閒莫堕香泥
'deng'xian'zheng'xin'xi'meng'han 等閒争信昔盟寒
'di'dao'xiao'pin'guo 递刀削蘋果
'di'huai'luan'jing'bu'cheng'bei 低徊鸾镜不成悲
'di'shi'wu'duan'ru'meng'lai 底事无端入梦来
'di'yi'yi'wang'sun 第一忆王孙
'di'yi'zha'juan'chu'tu'la 地衣乍卷初涂蜡
'di'zhai'lian'yun'qi 第宅连云起
'dian'chan'jin'feng'piao'ling'jin 钿蝉金凤飘零尽
'dian'chan'jin'feng'shui'shou'shi 钿蝉金凤谁收拾
'dian'dian'shen'zhou'lei 点点神州泪
'dian'huan'kuang'feng'lei'huan'gu 电幻狂烽雷幻鼓
'dian'ju'liu'hui'wang'li'she 电炬流辉望里赊
'dian'ju'tong'ming'che'si'shui 电炬通明车似水
'dian'meng'chai'yue'kong'cuo'tuo 钿盟钗约恐蹉陀
'die'lian'hua 蝶恋花
'ding'ning'jiu'zhan'xu'kuan 丁宁酒盏须宽
'ding'ning'shuang'yan'wu'ping 丁宁双燕无凭
'dong'feng'chui'zhan'mei'jian'jie 东风吹展眉间结
'dong'hu'lian'tian'bi 东湖连天碧
'dong'yang'xi'xu'zhu'nian'shao 东痒西序诸年少
'dou'bei'xing'nan'lie'zhong'xian 斗北星南列众仙
'dou'hua'lei'qian'dian 都化泪千点
'dou'jia'gua'teng'chu'chu'zai 豆荚瓜藤处处栽
'dou'mi'qian'yan'nan'huan'de 斗米千言难换得
'dou'shi'xiang'si'chu 都是相思处
'dou'shi'xiang'si'di 都是相思地
'du'chang'e 妒长娥
'du'dao'jing'xing'chu 独到经行处
'du'jing'wu'zhou 渡竞吴舟
'du'juan'he'ku'pin'ti 杜鹃何苦频啼
'du'xi'xiang'si'shi'liu'tiao 独系相思是柳条
'du'xing'tong'zui'yi'ban'nan 独醒同醉一般难
'duan'chang'ge'wu'di 断肠歌舞地
'duan'chang'geng'bu'wei'nian'hua 断肠更不为年华
'duan'chang'gui'lu 断肠归路
'duan'chang'jiu'ju 断肠旧句
'duan'chang'zhong'dao'jiang'nan 断肠重到江南
'duan'hun'shui'guan 断魂谁管
'duan'jie'chu 断碣处
'duan'jin'rou'chang'ku'fei'ci 断尽柔肠苦费词
'duan'xu'xiang'xin'sui'wan'xi 断续乡心随晚汐
'duan'yan'gui'yan 断檐归燕
'duan'zhu'fei'xin'chou 短烛费新愁
'dui'huang'yan'yuan'pu 对荒烟苑圃
'dui'ming'se'fan'zhi'piao'lei 对暝色繁枝飘泪
'dui'wan'kong'ru'ci'shan'chuan 对晚空如此山川
'dui'xing'hua'ting'yuan 对杏花庭院
'duo'bing'nian'lai'fei'jiu'zhong 多病年来废酒钟
'duo'shao'heng'ji'ba'kou'jia 多少恒饥八口家
'duo'shao'jiu'hen'chen'dian 多少酒痕尘点
'duo'shao'lou'tai 多少楼台
'duo'shao'nan'wang'chu 多少难忘处
'duo'shao'qi'liang 多少凄凉
'duo'shao'ren'jia 多少人家
'duo'shao'si'yi 多少思忆
'duo'shi'yi'wu'wei 多时已无味
'duo'zhou'zheng'sao'di 夺帚争扫地
'en'yuan'fen'yun'qing'duan'xu 恩怨纷纭情断续
'er'du'li'wu'que 儿独礼无缺
'er'jin'du'bao'qi'qing 而今独抱凄清
'er'jin'nan'de'shi'hui'chang 而今难得是回肠
'er'jin'xian'fei'ta'nian'lei 而今先费他年泪
'er'ling'huan'jin'jiu'sha'ou 而令换尽旧沙鸥
'er'shen'tong'yi'hao 儿身痛已好
'er'sheng'feng'sheng'shi 儿生逢盛世
'er'wu'nong'wen'mo 儿勿弄文墨
'er'xing'que'kai'lang 儿性却开朗
'er'zi'bu'xian'shao 儿自不嫌少
'fan'deng'si'xue'dian'che'chi 繁灯似雪钿车驰
'fan'hua'yun'meng 繁花酝梦
'fan'hua'zheng'shuo'xiao'chang'an 繁华争说小长安
'fan'lian'ji'jian'jiu'zhou'tong 翻怜及见九州同
'fan'sheng'gu'luan'ni'chang'pu 繁声故乱霓裳谱
'fang'cao'hong'xin'ji'jiu'zong 芳草红心记旧踪
'fang'cao'nian'nian'ji'sheng'you 芳草年年记胜游
'fang'cao'qi'mi'qiu'geng'lv 芳草凄迷秋更绿
'fang'fu'tian'ti'fang'xie'xiang 仿佛天梯芳屟响
'fang'jiu'pin'wu'luan'pa 芳酒频污鸾帕
'fang'yin'zha'fu 芳裀乍拂
'fang'yue'ji'qian'du 芳约记前度
'fei'gu'chuan'chi'dao 飞毂穿驰道
'fei'qiong'yan'se'jin'he'ru 飞琼颜色近何如
'fei'wu'ming'ming'chang'he'yuan 霏雾冥冥阊阖远
'fei'xu'you'si'kong'li'luan 飞絮游丝空历乱
'fen'fu'fei'hua'guo'bie'yuan 分付飞花过别院
'fen'fu'yu 分付与
'fen'run'zhi'wen 粉润脂温
'fen'shi'yu'jia'jia 分食与家家
'feng'cheng'ji'du'wu'xin'qi 凤城几度误心期
'feng'die'yuan'han'zi'yi'mo 凤牒鸳函字易磨
'feng'huai'jian'lao 风怀渐老
'feng'jin'han'ya 风噤寒鸦
'feng'juan'luo'mu 风卷罗幕
'feng'lei'po'meng'ru'shu'ling 风雷破梦入疏棂
'feng'lu'zhong'xiao 风露中宵
'feng'ru'song 风入松
'feng'ti'you'ji 封题犹记
'feng'wei'jing'hua'jiu'guo'tong 风味京华旧国同
'feng'yu'jiang'shan'du'bi'men 风雨江山独闭门
'feng'yu'nai'qiu'he 风雨奈秋何
'feng'yu'tian'ya'chou'qu'zhu 风雨天涯愁去住
'feng'yu'yin'hun'yao'luo'chu 风雨吟魂摇落处
'fu'bing'xiang'che 扶病香车
'fu'chao'kong'you'yan 覆巢空有燕
'fu'chou'can'jue'ru'jin'lan 赋愁惭觉如今懒
'fu'chun'cheng 付春酲
'fu'ci'ke'zui'hong'yin'cui 付词客醉红吟翠
'fu'meng'fan'hua'huan'jiu'yin 覆梦繁花换旧阴
'fu'rong'xiao'yuan'cheng'qiu 芙蓉小苑成秋
'fu'se'yi'liang'qin 肤色异两亲
'fu'sheng'you'you'zhu'shu'nian 浮生犹有著书年
'fu'shi'liu'er'qie 赋诗留儿箧
'fu'xin'qi'yao'li'shang'liang 负心期药里商量
'fu'xu'hai'ying'zai'shang'tou 夫婿还应在上头
'fu'yu'qing'lei'tian'wai'zhuan 付与轻雷天外转
'fu'yun'yi'sha'bian'yin'qing 浮云一霎变阴晴
'fu'zui 扶醉
'gan'piao'ling 感飘零
'gan'shi'jin'yi'wu'yu'lei 感时今已无馀泪
'gan'xiao'ye'ku'dong'qian'jia 干霄野哭动千家
'gan'xing'wang 感兴亡
'gang'jian'fu'yao'tiao 刚健复窈窕
'gao'chu'duo'feng'yu 高处多风雨
'gao'lou'jiu'xing'pa'wen'ge 高楼酒醒怕闻歌
'gao'lou'ye'ye'feng'jian'yu 高楼夜夜风兼雨
'gao'lou'zhi'zai'xie'yang'wai 高楼只在斜阳外
'gao'tan'guang'zuo'fu'chun'duo 高坛广座负春多
'gao'yang'tai 高阳台
'gao'yang'tai'yu'zhi'qing'chou 高阳台雨织清愁
'ge'juan'ting 歌倦听
'ge'luan'yun 隔乱云
'ge'shan'piao'xiang 歌扇飘香
'ge'shui'yan'cun'yuan 隔水烟村远
'ge'yun'fu'zui 歌云扶醉
'geng'bi'duo'qing'ku 更比多情苦
'geng'chou'kai'she'juan 更愁开社鹃
'geng'chou'ming'ri'yin'qing 更愁明日阴晴
'geng'chou'xie'tang'shuang'yan 更愁谢堂双燕
'geng'gu'tai'fei'jin'hong'ying 更古台飞尽红英
'geng'jian'pian'chang 更箭偏长
'geng'kong'bi'hua'xun'lei'yi'cheng'bing 更恐笔花熏泪易成冰
'geng'mo'wen'dang'nian 更莫问当年
'geng'nai'jiang'shui'yan 更奈江水咽
'geng'pa'yao'zan'dong'zhe 更怕瑶簪冻折
'geng'piao'deng'ge'yu 更飘灯隔雨
'geng'qing'ling'lu 更倾醽醁
'geng'shan'lou'feng'fan'an'yu 更山楼风翻暗雨
'geng'shang'xin 更伤心
'geng'shen'yin 更沈吟
'geng'wei'shui'liu'zhi'tian'ya 更为谁留滞天涯
'geng'wu'shuang'lei'wei'jun'chui 更无双泪为君垂
'geng'wu'yan'zi'dao'chou'bian 更无雁字到愁边
'geng'xiang'fu'mo'li 更香浮茉莉
'geng'xiao'xiao'shuang'ye'ci'ke 更萧萧霜叶辞柯
'geng'you'can'jun'man'yu'she'ru'huang 更有参军蛮语舌如簧
'geng'zhi'he'ri 更知何日
'geng'zhu'ti'ying'guo'fen'qiang 更逐啼鶑过粉墙
'geng'zi'yin'qin'li'su'xian 更自殷勤理素弦
'gong'shang'xi'zhuo'xin'sheng 宫商细酌新声
'gong'xi'xue'bai'yi 恭喜学拜揖
'gong'ye'xi'xi'duo 共爷嬉戏多
'gou'gou'bu'shui'jiao 狗狗不睡觉
'gu'fan'chao'luo'mu'jiang'kong 孤帆潮落暮江空
'gu'fu'fang'shi'qing'qian'quan 孤负芳时情缱绻
'gu'guo'ping'wu'you'xi'yang 故国平芜又夕阳
'gu'guo'qing'shan'pin'ru'meng 故国青山频入梦
'gu'huan'qing'lei 故欢清泪
'gu'huan'xin'yuan 故欢新怨
'gu'jia'xiao'gu'yan'hu'chen 故家箫鼓掩胡尘
'gu'jiao'nian'nian 鼓角年年
'gu'jiu'geng'wu'chai'ke'ba 沽酒更无钗可拔
'gu'liu'mi'yan 古柳迷烟
'gu'pi'sheng'li'si'you'you 鼓鼙声里思悠悠
'gu'qin'zi'yong'wu'mian 孤衾自拥吴绵
'gu'se'yun'hun 鼓瑟云昏
'gu'xian'wen'sha 古藓纹纱
'gu'ying'zheng'cang'huang'zhi'chi 顾影正仓皇咫尺
'gu'yuan'shuang'ye'ci'zhi 故园霜叶辞枝
'gu'yun'shang'hu'xiang'si'zi 古芸尚护相思字
'gu'zhu'ying'cheng'shuang 孤烛影成双
'gu'zhu'ying'xin'ke 故主迎新客
'gu'zhuo'gu'tong'nao'feng'huang 故斫孤桐恼凤皇
'guan'cheng'leng'yue 官城冷月
'guan'sai'huang'yun 关塞荒云
'guan'shan'fu'bing'luan'li'shi 关山扶病乱离时
'guan'xin'huan'chi'yao 关心唤吃药
'guan'xin'shi 关心事
'guang'chang'bi'sai'yue'tong'lai 广场比赛约同来
'gui'lai'he'zhi'wu'yu 归来何止无鱼
'gui'lai'que'huan'xi 归来却欢喜
'gui'lai'wan 归来晚
'gui'lai'yi'jiu'wu'shan'bi 归来依旧吴山碧
'gui'lu'jiang'nan'yuan 归路江南远
'gui'lu'yuan 归路远
'gui'meng'chen'han'chao 归梦趁寒潮
'gui'meng'yu'sui'ming'yue'qu 归梦欲随明月去
'gui'qi'xiu'bu 归期休卜
'gui'shi'ke'you'yu'xiang'ruo 归时可有馀香爇
'gui'wan'bu'xu'hong'zhu 归晚不须红烛
'guo'chun'han 过春寒
'guo'le'qing'ming 过了清明
'guo'le'qing'qiu 过了清秋
'guo'qin'lou 过秦楼
'guo'xiang 国香
'guo'xiang'liu'luo'jiu 国香流落久
'hai'chen'qing'feng'shuang'yan'yu 还趁轻风双燕语
'hai'gong'yu'xiang'zi'yu 还共馀香自语
'hai'ji 还记
'hai'jian'jing'feng'hong'qi 还见惊烽红起
'hai'kong'wu'ping'ju 还恐无凭据
'hai'pa'xin'qing 还怕新晴
'hai'shi 还是
'hai'yan'can'sheng 还咽残声
'han'ce'ce 寒恻恻
'han'chao'guan 寒潮管
'han'gao'yi'yu'pei 汉皋遗玉佩
'han'hui'xin'zi'zong'nan'wen 寒灰心字总难温
'han'jia'xing'fei'zong'nan'wang 汉家兴废总难忘
'han'jiao'chui'bian 寒角吹遍
'han'mei'luo'jin'jiang'nan'yuan 寒梅落尽江南远
'han'ning'can'zhu'bu'cheng'hua 寒凝残烛不成花
'han'sha'jin'chu'shan'wu'shu 寒沙尽处山无数
'han'sheng'ai'jiao 寒生哀角
'hang'guo'xiao'qiao'ren'wei'jian 行过小桥人未见
'hao'dang'shou'jing'wan'qi'hui 浩荡收京万骑回
'hao'feng'chang'yu'yue'xiang'xie 好风常与月相偕
'hao'feng'huan'dao'hua'lou'dong 好风还到画楼东
'hao'hao'duo'xiu'xi 好好多休息
'hao'lai 蒿莱
'hao'wan'zheng'shou'yu'jing'tai 皓腕争收玉镜台
'he'bi'shen'bei'wen'bu'ying 呵壁深悲问不应
'he'ceng'yi'dou'gong'xian'zui 何曾一斗供閒醉
'he'chu'qing'ge'ke'duan'chang 何处清歌可断肠
'he'chu'qiu'fen'ku'gui'xiong 何处秋坟哭鬼雄
'he'chu'ting'che'gu 何处停车毂
'he'chu'wu'feng'yu 何处无风雨
'he'chu'xi'zheng'che 何处系征车
'he'fang'lv'ye'xun'fang 何妨绿野寻芳
'he'kuang'jing'nian'shi 何况经年事
'he'meng'ting'ge'ye 和梦听歌夜
'he'nian'xi'song'dai'jiao'ying 何年习诵待娇婴
'he'ri'de'huan'xiang 何日得还乡
'he'ri'zhen'xiang'ban 何日镇相伴
'he'xu'wen'zi'fang'cheng'yu 何须文字方成狱
'he'zhi'bai'nian'zong'she'gan 何止百年宗社感
'hen'nan'tong 恨难同
'heng'gan'xu'jian'gao'zhi 横竿须拣高枝
'heng'tang'chun'shui'lan 横塘春水蓝
'hong'jian'man'xie'yuan'yang'zi 红笺漫写鸳鸯字
'hong'lou'yao'zhi 红楼遥指
'hong'lou'zhu'bo'dan'xiang'wang 红楼珠箔但相望
'hong'qiang'zhi'chi'fei'xiang'si 红墙咫尺费相思
'hong'xiu'gao'lou'lin'da'dao 红袖高搂临大道
'hong'zhu'lou'xin'chun'ya'jiu 红烛楼心春压酒
'hou'hong'qiao 候红桥
'hou'yue'hai'wu'zhun 后约还无准
'hu'jian'pin'cui 壶箭频催
'hu'jing'wan'sheng'hu'qi 忽惊万乘胡骑
'hu'qi'xiang'hun 呼起湘魂
'hua'fang'chun'deng'tao'ye'du 画舫春灯桃叶渡
'hua'fang'dong'feng'huan 画舫东风换
'hua'fang'xiang'che 画舫香车
'hua'gu'zhui'chun 画毂追春
'hua'huan'can'jie 华鬟残劫
'hua'jing'luo 花竟落
'hua'mei'hun'lan'xue'chun'shan 画眉浑懒学春山
'hua'qian'geng'quan'shen'shen'zhan 花前更劝深深盏
'hua'qian'he'xi'zan'xiang'kan 花前何惜暂相看
'hua'yan'jing'meng 画檐惊梦
'hua'yin'ji'du'xi'si'cong 花阴几度系嘶骢
'hua'yu'you'hua'niao 画鱼又画鸟
'hua'zhu'qiu'guang'duan 画烛秋光短
'hua'zuo'ni'xiang'yan'wei'zhi 花作泥香燕未知
'huai'nan'ji'quan'yi'sheng'tian 淮南鸡犬亦升天
'huan'dan'shan'xiao'shan 换单衫小扇
'huan'jin'nian'guang 换尽年光
'huan'jiu'geng'wu'diao 换酒更无貂
