'a'bi'zun 阿鼻尊
'duan'jiang'xia 段江辖
'duan'shen'feng 锻神锋
'e'qin'pi 鹗钦丕
'er'fen'shi 二分尸
'fa'tao'wu'she 法涛无赦
'fan'hai'jing'hong 梵海惊鸿
'fang'du'bai 方独白
'fang'zhi'mo 方之墨
'fei'cang'sheng 废苍生
'fei'da'zai 飞大仔
'fei'jiang'dan'xin 绯绛丹心
'fei'long 霏泷
'fei'yang 绯飏
'fei'yuan 飞渊
'feng'die 凤蝶
'feng'du'yue 酆都月
'feng'jian'jiu'hu 风间久护
'feng'jian'lie 风间烈
'feng'jian'shi 风间始
'feng'ling'gong'zi 枫零公子
'feng'ling'yi'dao'sheng 风铃一刀声
'feng'xiao'yao 风逍遥
'fu'jiang'chou 傅江愁
'fu'qiu'shuang 覆秋霜
'fu'ren'mei 傅人美
'fu'tian'xing 傅天行
'fu'yun'zi 浮云子
'gao'cai'lie 高采烈
'gao'yu'heng 高玉衡
'gong'ben'zong'si 宫本总司
'gong'zi'kai'ming 公子开明
'gou'chang'ye'ling 钩肠夜翎
'gou'xin'mang 勾心芒
'gu'chen'ya'jiu 古辰雅久
'gu'chen'ya'yan 古辰雅彦
'gu'hong'ji'yu 孤鸿寄语
'gu'xue'qian'ming 孤雪千鸣
'guan'xuan'qiong 冠玄穹
'gui'du'jiao 鬼独角
'gui'men'kai 鬼门开
'gui'piao'ling 鬼飘伶
'gui'tian'niu 鬼天牛
'gui'tu 圭屠
'gui'tu'qi'xing'lu 鬼途奇行录
'gui'xie 鬼邪
'gui'ye'wan 鬼夜丸
'gui'zu'can'bu 鬼足残步
'guo'zheng 郭筝
'han'tian'que 撼天阙
'han'zhu'yu 韩竹语
'hao'cang'jian'wei 皓苍剑霨
'hao'qiong'gu'ming 颢穹孤鸣
'hao'tian'xuan'su 颢天玄宿
'he'cun'sheng'yi 河村胜一
'he'meng'shao'shi 赫蒙少使
'he'meng'tian'ye 赫蒙天野
'he'wen'tian 何问天
'he'yi'gong'zhu 荷仪宫主
'hei'bai'lang'jun 黑白郎君
'hei'bai'long'lang'zhuan 黑白龙狼传
'hei'long 黑龙
'hong'ling 红翎
'huan'ji'zhong'zi 幻姬重子
'huan'ren'can'xin 幻刃残心
'huan'you'bing'jian 幻幽冰剑
'huan'zhi'jun'shi 幻之军势
'huan'zhu'lou 还珠楼
'huang'feng'yi 黄凤仪
'huo'liu'xing 火流星
'huo'qiong'qi 火穷奇
'huo'zhi'jun'shi 火之军势
'ji'dian 季电
'ji'han'xiao 霁寒霄
'ji'kun'peng 寄鲲鹏
'ji'ling'ying'yu 棘凌鹰羽
'ji'san'bai 季三白
'ji'yun 霁云
'jian'wu'ji 剑无极
'jian'ya 剑雅
'jian'ying'mo'zong 剑影魔踪
'jiang'xian'long'yi 江宪龙一
'jiang'xun 姜寻
'jiao'long 角龙
'jiao'yi 娇姨
'jiao'zai'wang 脚仔王
'jie'tian'lan 接天岚
'jin'ao 金敖
'jin'feng'zai 金锋仔
'jin'gang'zun 金刚尊
'jin'qian'hua 靳铅华
'jin'yan'xia 锦烟霞
'jing'ling'jun 靖灵君
'jing'ri'gu'ming 竞日孤鸣
'jiu'long'bian 九龙变
'jiu'ming'sha'shen 九冥杀神
'juan'chi'kuang 狷螭狂
'jue'ming'si 绝命司
'jue'zhan'shi'ke 决战时刻
'jun'zhang 军长
'kai'feng'bi'yu 凯风弼羽
'kong'zhi'jun'shi 空之军势
'ku'hai'nv'shen'long 苦海女神龙
'kui'yin'shi 夔阴师
'lang'piao'ping 浪飘萍
'lang'wu'chen 浪无尘
'lang'zhu 狼主
'lao'ye 老爷
'le'ming'shang 乐铭觞
'lei'shou 雷狩
'lei'yao 雷妖
'lei'zhi'jun'shi 雷之军势
'leng'jian'bai'hu 冷剑白壶
'leng'qiu'yan 冷秋颜
'li'chen'yuan 李沉渊
'li'hua'lei'cang 立花雷藏
'li'hua'ying 立花樱
'li'jian'shi 李剑诗
'li'xiu'ru 李修儒
'lian'hong'mei 恋红梅
'lian'yu'zun 炼狱尊
'liang'huang'wu'ji 梁皇无忌
'lie'cang'fei 烈苍飞
'lie'feng'tao 冽风涛
'lin'qing'ping 蔺青萍
'lin'wang 鳞王
'ling'dan'feng 令丹枫
'ling'han 羚罕
'ling'hu'qian'li 令狐千里
'ling'kai'yang 令开阳
'ling'long'xue'fei 玲珑雪霏
'ling'ming'yuan 凌名远
'ling'qiu'lu 聆秋露
'ling'wu'huan 灵无患
'ling'zun 灵尊
'liu'chuan'yang 柳穿杨
'liu'dao'wei'chen 六道微尘
'liu'guang'yi'jian 流光一剑
'liu'jun'lao 柳君老
'liu'san'yuan 柳三元
'liu'sheng'gui'ku 柳生鬼哭
'liu'sheng'zhen 柳生阵
'liu'xuan'gu 刘萱姑
'liu'yin'shen'zu 六隐神镞
'liu'yu 留羽
'liu'yun 琉云
'long'san'lang 胧三郎
'lu'chang'sheng 陆长生
'lu'he'shan'shi 六合善士
'lu'heng'zhao 露恒昭
'lu'que 鲁缺
'lu'shen 鲁申
'lu'shi'mo'luo 戮世摩罗
'lu'yu 鲁玉
'luo'ling 罗陵
'luo'qian'qiu 骆千秋
'luo'tian'zong 罗天纵
'luo'tuo'zi 落拓子
'lv'shuang 旅霜
'lv'ying 绿莺
'man'chi'fu 慢墀夫
'man'guang 蛮光
'man'xie'yin 曼邪音
'me'luo'bu'zhang 么罗部长
'meng'he 孟赫
'meng'pian'wang 孟偏王
'meng'qiu'sun 梦虬孙
'mi'diao'wu'bu'quan 秘雕五不全
'mie'fo'yan'luo 灭佛阎罗
'ming'ao'yin 命獓因
'ming'yi 冥医
'ming'zhi'guang'xiu 明智光秀
'mo'cang'li 默苍离
'mo'he'zun 摩诃尊
'mo'jia'ju'zi 墨家钜子
'mo'li'sao 莫离骚
'mo'lu'xue'zhan 魔戮血战
'mo'qian'chen 莫前尘
'mo'shen'yi 殁神翼
'mo'shi'fo'jie 墨世佛劫
'mo'si'ling 魔司令
'mo'wu'xia'feng 墨武侠锋
'mo'xie'lu 墨邪录
'mo'xue'bu'zhan'yi 墨雪不沾衣
'mo'yun'sang 陌云桑
'mu'lin'sheng 沐林生
'mu'mei 木魅
'mu'rong'ning 慕容宁
'mu'rong'qing 慕容清
'mu'rong'sheng'xue 慕容胜雪
'mu'rong'yan'yu 慕容烟雨
'mu'yao'guang 沐摇光
'mu'yun'zhui'yi 慕云追逸
'nan'gong'hen 南宫恨
'nan'ming'guang'xu 南溟广虚
'nian'tu'luo 念荼罗
'niu'feng 牛峰
'nu'duan'shan 怒断山
'nu'qian'jiang 怒千绛
'nv'bao'jun 女暴君
'pian'feng'wu'ji 偏锋无忌
'ping'jin'wu 凭金吾
'po'dan'ying'hao 破胆鹰豪
'pu'ti'zun 菩提尊
'qi'chong'luan 七重峦
'qi'han'yu 戚寒雨
'qi'ke'bu'ran'chen 奇客不染尘
'qi'shen'lu 齐神箓
'qi'tian'shou'jia 齐天寿甲
'qi'xia'jun 栖霞君
'qi'you'ming 泣幽冥
'qian'jin'shao 千金少
'qian'niao'sheng 千鸟胜
'qian'shi'san'lin 铅十三鳞
'qian'xue'gu'ming 千雪孤鸣
'qiao'ru'lai 俏如来
'qie'ming'shi 窃命师
'qin'heng'yun 秦横云
'qing'lue'ying 擎掠鹰
'qing'ming 青冥
'qing'mu'cheng 青木诚
'qing'shui'men'zhu 清水门主
'qing'xi'xuan 青奚宣
'qiong'qian'qiu 穷千秋
'qiu'shui'fu'ping 秋水浮萍
'qiu'shui'han 秋水寒
'qiu'song'zhang'men 秋松掌门
'que'qing'wu'lang'ke 缺情无浪客
'que'zhou'yi'fan'du 缺舟一帆渡
'ren'gu'chen 任孤沉
'ren'piao'miao 任飘渺
'ri'chang'gua'po 日唱寡魄
'rong'ge'zu'zhang 戎格族长
'rong'gui'fei 榕桂菲
'ru'chou 儒丑
'ru'dao'qi'yin 入道歧音
'ru'lin 茹琳
'sa'duo'san'zun 萨埵三尊
'san'qing'dao'zhang 三清道长
'san'xian 三弦
'sang'hun'mie 丧魂灭
'sha'mo'zi 煞魔子
'sha'sheng'gui'yan 杀生鬼言
'shan'gui 闪鬼
'shan'tian'jian 山田健
'shan'zhi'jun'shi 山之军势
'shang'shan'long'shi 上杉龙矢
'shang'tong'hui 尚同会
'shang'xian'gong 尚贤宫
'shen'dai'mao 申玳瑁
'shen'gu'feng 神蛊峰
'shen'gu'wen'huang 神蛊温皇
'shen'hong'ni 蜃虹蜺
'shen'tian'jing'yi 神田京一
'shen'xiao'dao'zong 神啸刀宗
'shen'yi'zi 神奕子
'shi'cun'xiao 史存孝
'shi'di 始帝
'shi'fei'wen 释非瘟
'shi'feng'zhou 史丰洲
'shi'han'chen 石寒尘
'shi'jing'ren 史镜人
'shi'jing'zhong 史精忠
'shi'kun'yue 弑坤月
'shi'long'ying 识龙影
'shi'luo'bi 史罗碧
'shi'tian'ji 十天迹
'shi'xin'huang'mi 噬心荒靡
'shi'yan'wen 史艳文
'shi'zhang'yi 史仗义
'shui'zhi'jun'shi 水之军势
'si'kong'zhi'ming 司空知命
'si'ma'huan'hun 司马幻魂
'si'ma'kui'zong 司马魁宗
'si'ma'liang'huan 司马良欢
'si'tu'hong'ri 司徒虹日
'si'yan'ku'ba 死眼骷魃
'song'ya 松鸦
'su'li 苏厉
'su'wen 素文
'su'wen 苏玟
'sui'feng'qi 随风起
'sui'wu'chang 岁无偿
'ta'po'zun 闼婆尊
'tai'yue'huang'jin 泰玥皇锦
'tan'bei'huan 叹悲欢
'tang'shan'xing 唐山行
'tian'di'bu'rong'ke 天地不容客
'tian'gong'yi'zhi 天宫伊织
'tian'hai'guang'liu 天海光流
'tian'heng'jun 天恒君
'tian'man'dao'long 天满道隆
'tian'que'gu'ming 天阙孤鸣
'tian'shou 天首
'tian'xia'feng'yun'bei 天下风云碑
'tian'xuan'hong'lian 天悬红练
'tian'yu'ru'qing 天雨如晴
'tian'yun'shan 天允山
'tian'zhi'dao 天之道
'tie'su'qiu'yi 铁骕求衣
'tong'shan'shou 桐山守
'tong'shan'xun 桐山薰
'tong'yi 彤衣
'tu'wan'li 涂万里
'wan'hua'jin'guang'fo 万化金光佛
'wan'jun'wu'bing 万军无兵
'wan'shao'guang 万绍光
'wan'shu'tian 万曙天
'wan'shuo'ye 万朔夜
'wang'jin'yan 忘今焉
'wang'yue'xiao 望月咲
'wang'zhi'xiao'chi 亡指髐魑
'wang'zhong'ren 网中人
'wei'chang'qing 魏长卿
'wei'hu'cheng 卫虎城
'wei'shan'hu 未珊瑚
'wen'jie'dao 紊劫刀
'wen'xin 问心
'wu'ba'jiao 误芭蕉
'wu'chang'dao 无常刀
'wu'chang'jian 无常剑
'wu'chang'ling 无常令
'wu'chang'yuan'shuai 无常元帅
'wu'che'qu 午砗磲
'wu'huan'kai'tang 无患开膛
'wu'hun'you'ti'dao'cao'ren 无魂有体稻草人
'wu'kui 无愧
'wu'lian'jun 武敛君
'wu'luo'cha 武罗刹
'wu'qing'zang'yue 无情葬月
'wu'shang'jun 武上君
'wu'yuan'qi 无元炁
'xi'cang'bai 昔苍白
'xi'da 希妲
'xi'jian'liu 西剑流
'xi'jiang'heng'zhao 西江横棹
'xi'jing'wu'que 西经无缺
'xi'ren'jian 戏人间
'xian'gu'kuang'tao 仙古狂涛
'xian'wu'jian'zong 仙舞剑宗
'xiao'bu'lao 笑不老
'xiao'du'tong'zi 魈毒童子
'xiao'wu'ming 萧无名
'xiao'yao'you 逍遥游
'xiao'yue 枭岳
'xie'ma'tai'xiao 邪马台笑
'xie'shen'jiang 邪神将
'xing'ba 刑跋
'xing'hua'jun 杏花君
'xing'wu'ji'tian 刑武忌天
'xu'chen 虚尘
'xu'jian 虚间
'xu'wu 虚无
'xu'yao'ji 魆妖纪
'xuan'hu 玄狐
'xuan'ji'lao'sou 玄机老叟
'xuan'xiao 悬箫
'xuan'ying 玄影
'xuan'zhi'xuan 玄之玄
'xue'he'lao'ren 血河老人
'xue'qiu'dao 血求道
'xue'se'liu'li'shu 血色琉璃树
'xue'shan'yin'yan 雪山银燕
'xue'shen 血神
'ya'jian'can'sheng 哑剑残声
'ya'ming 哑冥
'yan'han'qing 砚寒清
'yan'jiang 魇将
'yan'mo'huan'shi'lang 炎魔幻十郎
'yan'qian'fu'ji 檐前负笈
'yan'shi 偃师
'yan'tao'tie 焱饕餮
'yan'tao'wu 炎梼杌
'yan'tuo'long 燕驼龙
'yan'yun'chu 燕云初
'yang'fei 杨霏
'yang'jiu'hao 阳九昊
'yao'bai'shi 姚百世
'yao'jin'chi 姚金池
'yao'shen'jiang 妖神将
'yao'wu'lei 妖无泪
'ye'ben 夜奔
'ye'cha'tong 夜叉瞳
'ye'huan'ci 叶欢慈
'ye'qiu'sheng 叶秋声
'ye'yun'zi 冶云子
'yi'bu'chan'kong 一步禅空
'yi'chuan'zi 衣川紫
'yi'hun'dun 燚混沌
'yi'jian'sui'feng 一剑随风
'yi'long'jun 黓龙君
'yi'min'shi'tai 逸敏师太
'yi'teng 伊藤
'yi'wu'xin 忆无心
'yin'e 银娥
'yin'gui'shuang'ren 阴鬼双刃
'yin'jian'xuan'lao 银剑玄老
'yin'jiu'xuan 阴九玄
'yin'ruo'wei 殷若微
'yin'yang'xue'zong 阴阳学宗
'ying'chui'xue 樱吹雪
'ying'long'shi 应龙师
'ying'nv 鹰女
'ying'tong'lv 应童律
'you'lang 猷朗
'you'ming'jun 幽冥君
'yu'hong 御红
'yu'hun'xiao'guang'hui 御魂笑光辉
'yu'tong 玉彤
'yu'xiao'han 逾霄汉
'yu'xing'yi 欲星移
'yu'ye'shou'zhen 禹晔授真
'yu'yin'shuang 雨音霜
'yuan'jie'qi 元劫七
'yuan'jun'ci 远君辞
'yuan'xie'huang 元邪皇
'yue'han'sheng 岳寒笙
'yue'huang'liang 月荒凉
'yue'ling'xiu 岳灵休
'yue'ya'cheng 月牙诚
'yue'ya'lan 月牙岚
'yun'fei'liu 殒飞流
'yun'hai'guo'ke 云海过客
'yun'qi'shui'jing 云棋水镜
'yun'shi'fang 云十方
'yun'xiao'si 允孝思
'zang'hun'ming 葬魂铭
'zhan'bing'wei 战兵卫
'zhan'xue'tian'dao 战血天道
'zhang'sheng'wo'si 掌生握死
'zhang'yin'xian 张引弦
'zhao'guan'tai 赵关泰
'zhao'jiang'jun 赵将军
'zhao'wu'ji 赵无迹
'zhen'mei 真眉
'zhen'tian'long'san 真田隆三
'zhen'tian'yong'ci'lang 真田勇次郎
'zhen'ying'su 鸩罂粟
'zhi'ping'peng 治屏蓬
'zhi'tian'xin'chang 织田信长
'zhong'gu'da'niang 中谷大娘
'zhong'shan'gu 钟山鼓
'zhou'wu'guan 周武关
'zhu'ge'qiong 诸葛穷
'zhu'wu'niang 祝武娘
'zi'wei'xing'zong 紫微星宗
'zuo'qiu 左秋
