'bei'tao'qi'xiang'mu 被套期项目
'ying'jiao'shui'fei'cheng'shi'wei'hu'jian'she'shui 应交税费城市维护建设税
'ying'jiao'shui'fei'cheng'zhen'tu'di'shi'yong'shui 应交税费城镇土地使用税
'ying'jiao'shui'fei'dai'di'kou'jin'xiang'shui 应交税费待抵扣进项税
'ying'jiao'shui'fei'dai'kou'dai'jiao'zeng'zhi'shui 应交税费代扣代交增值税
'ying'jiao'shui'fei'dai'ren'zheng'jin'xiang'shui 应交税费待认证进项税
'ying'jiao'shui'fei'dai'zhuan'xiao'xiang'shui'e 应交税费待转销项税额
'ying'jiao'shui'fei'fang'chan'shui 应交税费房产税
'ying'jiao'shui'fei'ge'ren'suo'de'shui 应交税费个人所得税
'ying'jiao'shui'fei'jian'yi'ji'shui 应交税费简易计税
'ying'jiao'shui'fei'jiao'yu'fei'fu'jia 应交税费教育费附加
'ying'jiao'shui'fei'kuang'chan'zi'yuan'bu'chang'fei 应交税费矿产资源补偿费
'ying'jiao'shui'fei'pai'wu'fei 应交税费排污费
'ying'jiao'shui'fei'qi'ye'suo'de'shui 应交税费企业所得税
'ying'jiao'shui'fei'tu'di'zeng'zhi'shui 应交税费土地增值税
'ying'jiao'shui'fei'wei'jiao'zeng'zhi'shui 应交税费未交增值税
'ying'jiao'shui'fei'xiao'fei'shui 应交税费消费税
'ying'jiao'shui'fei'ying'jiao'cheng'zhen'fang'chan'shui 应交税费应交城镇房产税
'ying'jiao'shui'fei'ying'jiao'huan'jing'bao'hu'shui 应交税费应交环境保护税
'ying'jiao'shui'fei'yu'jiao'zeng'zhi'shui 应交税费预交增值税
'ying'jiao'shui'fei'zeng'zhi'shui 应交税费增值税
'ying'jiao'shui'fei'zeng'zhi'shui'chu'kou'tui'shui 应交税费增值税出口退税
'ying'jiao'shui'fei'zeng'zhi'shui'jian'mian'shui'kuan 应交税费增值税减免税款
'ying'jiao'shui'fei'zeng'zhi'shui'jin'xiang'shui'e 应交税费增值税进项税额
'ying'jiao'shui'fei'zeng'zhi'shui'jin'xiang'shui'e'zhuan'chu 应交税费增值税进项税额转出
'ying'jiao'shui'fei'zeng'zhi'shui'liu'di'shui'e 应交税费增值税留抵税额
'ying'jiao'shui'fei'zeng'zhi'shui'xiao'xiang'shui'e 应交税费增值税销项税额
'ying'jiao'shui'fei'zeng'zhi'shui'xiao'xiang'shui'e'di'jian 应交税费增值税销项税额抵减
'ying'jiao'shui'fei'zeng'zhi'shui'yi'jiao'shui'jin 应交税费增值税已交税金
'ying'jiao'shui'fei'zeng'zhi'shui'zhuan'chu'duo'jiao'zeng'zhi'shui 应交税费增值税转出多交增值税
'ying'jiao'shui'fei'zeng'zhi'shui'zhuan'chu'wei'jiao'zeng'zhi'shui 应交税费增值税转出未交增值税
'ying'jiao'shui'fei'zi'yuan'shui 应交税费资源税
'ying'shou'gu'li 应收股利
'ying'shou'li'xi 应收利息
'ying'shou'piao'ju 应收票据
'ying'shou'tui'huo'cheng'ben 应收退货成本
'ying'shou'zhang'kuan 应收账款
'ying'ye'wai'shou'ru 营业外收入
'ying'ye'wai'zhi'chu 营业外支出
'ying'yu'gong'ji 盈余公积
'ying'yu'gong'ji'chu'bei'ji'jin 盈余公积储备基金
'ying'yu'gong'ji'fa'ding'ying'yu'gong'ji 盈余公积法定盈余公积
'ying'yu'gong'ji'li'run'gui'huan'tou'zi 盈余公积利润归还投资
'ying'yu'gong'ji'qi'ye'fa'zhan'ji'jin 盈余公积企业发展基金
'ying'yu'gong'ji'ren'yi'ying'yu'gong'ji 盈余公积任意盈余公积
'yu'fu'zhang'kuan 预付账款
'yu'ji'fu'zhai 预计负债
'yu'shou'zhang'kuan 预收账款
'yuan'cai'liao 原材料
'zai'jian'gong'cheng 在建工程
'zai'tu'wu'zi 在途物资
'zhai'quan'tou'zi 债权投资
'zhai'quan'tou'zi'jian'zhi'zhun'bei 债权投资减值准备
'zhai'quan'tou'zi'tou'zi'cheng'ben 债权投资投资成本
'zhai'quan'tou'zi'yi'zhe'jia 债权投资溢折价
'zhai'quan'tou'zi'ying'ji'li'xi 债权投资应计利息
'zhi'zao'fei'yong 制造费用
'zhou'zhuan'cai'liao 周转材料
'zhu'ying'ye'wu'cheng'ben 主营业务成本
'zhu'ying'ye'wu'shou'ru 主营业务收入
'zhuan'xiang'chu'bei 专项储备
'zhuan'xiang'ying'fu'kuan 专项应付款
'zi'ben'gong'ji 资本公积
'zi'ben'gong'ji'gu'ben'yi'jia 资本公积股本溢价
'zi'ben'gong'ji'qi'ta'zi'ben'gong'ji 资本公积其他资本公积
'zi'ben'gong'ji'zi'ben'yi'jia 资本公积资本溢价
'zi'ben'hua'zhi'chu 资本化支出
'zi'chan'chu'zhi'sun'yi 资产处置损益
'zi'chan'jian'zhi'sun'shi 资产减值损失
