'a'bing 阿炳
'hao'mi'bu'bing'pao 毫米步兵炮
'hao'mi'liu'dan'pao 毫米榴弹炮
'he'wei'zhan 合围战
'hei'se'yan'ti 黑色掩体
'hong'mao 红帽
'hong'yan 红烟
'hong'zha 轰炸
'hong'zha'ji 轰炸机
'hu'guo'gong 护国公
'hu'shi'zhi'hui'tan'ke 虎式指挥坦克
'huang'gong 皇工
'huang'jia'gong'bing 皇家工兵
'huang'jia'pao'bing 皇家炮兵
'huang'jia'xi'lie 皇家系列
'huang'se'yan'ti 黄色掩体
'hun'he'wu'qi'yun'zai'che 混合武器运载车
'huo'che 火车
'huo'lei 火雷
'huo'nan 火男
'huo'nong 火农
'huo'pao'yan'hu 火炮掩护
'huo'qiu 火丘
'huo'yan'feng'bao 火焰风暴
'ji'dong'tu'ji'tuan 机动突击团
'ji'shu'lei 集束雷
'ji'xie'hua 机械化
'ji'xie'hua'bu'qiang'bing 机械化步枪兵
'jia'she 架设
'jia'zi 架子
'jian'shou'zhen'di'ji'neng 坚守阵地技能
'jie'ge 杰哥
'jie'ke'xun'tan'ke'jian'ji'che 杰克逊坦克歼击车
'jin'bi'dan 金币弹
'jin'hu 金虎
'jin'huo 禁火
'jin'ji'wei'xiu'ji'neng 紧急维修技能
'jin'kong'zhi'yuan 近空支援
'jin'wei'quan'jia'tong 近卫全家桶
'jing'ying'bu'dui 精英部队
'jing'ying'bu'dui'zhi'hui'guan 精英部队指挥官
'jing'ying'zhuang'jia 精英装甲
'jiu'hu'che 救护车
'ju'hua'che 菊花车
'ju'ji'liu 狙击流
'ju'ji'shou 狙击手
'ju'wei'hui 居委会
'ke'lun'wei'er'xun'yang'tan'ke 克伦威尔巡洋坦克
'ke'man'de'tu'ji'dui 科曼德突击队
'kong'jiang 空降
'kong'jiang'lian 空降连
'kong'jiang'lian'dui 空降连队
'kong'jiang'zuo'zhan 空降作战
'kong'ju'zhan'shu 恐惧战术
'kong'tou 空投
'kong'xi 空袭
'kong'zhong'ba'quan'xing'dong'ji'neng 空中霸权行动技能
'kuai'le'hu 快乐虎
'kuai'xiu 快修
'kuang'nu 狂怒
'lao'han 老汉
'lao'nong 老农
'lian'he'xing'dong 联合行动
'lie'yan'feng'bao 烈焰风暴
'liu'de'hua 刘德华
'lv'dun 绿盾
'lv'mao 绿帽
'lv'se'yan'ti 绿色掩体
'ma'ke'qin'ji'qiang 马克沁机枪
'ma'tong'tou 马桶头
'man'tou 馒头
'mao'mei 毛妹
'mao'tou'ying'hong'wai'xian'tan'zhao'deng'che 猫头鹰红外线探照灯车
'mei'guo 美国
'mei'jun 美军
'nai'che 奶车
'pai'ji'pao'zhen'di 迫击炮阵地
'pan'da'tou 潘大头
'pan'xing'zhong'xing'tan'ke 潘兴重型坦克
'pang'pang'hu 胖胖虎
'pao'bing'tuan 炮兵团
'pen'huo'da'ke'ai 喷火大可爱
'pen'huo'tan'ke 喷火坦克
'pen'huo'xiao'ke'ai 喷火小可爱
'qian'ke 千克
'qian'xian'bing'zhan 前线兵站
'qian'xian'zhi'hui'bu 前线指挥部
'qiang'hua'zhuang'jia 强化装甲
'qiang'qi 枪骑
'qing'jia 轻甲
'qing'jia'shuang'xiong 轻甲双雄
'qing'lie 轻猎
'qing'xing'tan'ke'yu 轻型坦克与
'qing'zhuang'lie'bing 轻装猎兵
'qiu'ji'er'bu'bing'tan'ke 丘吉尔步兵坦克
'qiu'ji'er'e'yu'pen'huo'tan'ke 丘吉尔鳄鱼喷火坦克
'qu'xian 曲线
're'shui'zao 热水澡
'ri'di 日地
'ruan'mei 软妹
'san'ben 三本
'sha'qiu 傻丘
'shan'mao 山猫
'shang'deng'bing 上等兵
'shao'xian'dui 少先队
'sheng'li'mu'biao 胜利目标
'shou'wang'xian'feng 守望先锋
'shu'bao 书包
'si'ben 四本
'si'da'lin'kuai'le'pao 斯大林快乐炮
'si'hao'tan'ke'jian'ji'che 四号坦克歼击车
'si'hao'zhi'hui'tan'ke 四号指挥坦克
'si'jian 四歼
'si'jie 四姐
'si'ke'te'zi'xing'liu'dan'pao 斯科特自行榴弹炮
'si'la'fu'kuai'le'che 斯拉夫快乐车
'si'lian 四联
'si'tu'ka 司徒卡
'si'tu'ka'fan'tan'ke'sao'she 斯图卡反坦克扫射
'si'tu'ka'kong'xi 斯图卡空袭
'su'jun 苏军
'su'lian 苏联
'tan'ke'lie'ren 坦克猎人
'tan'zhao'deng'che 探照灯车
'te'shu'wu'qi'tuan 特殊武器团
'te'zhan'tu'ji'tuan 特战突击团
'tiao'ben 跳本
'tiao'qing'jia 跳轻甲
'tou'ji'hu 偷鸡虎
'tou'shi'ji 投石机
'tu'ji'bu'bing'fen'dui 突击步兵分队
'tu'ji'cao'mao 突击草帽
'tu'ji'dan 土鸡蛋
'tu'ji'dan'hu 土鸡蛋虎
'tu'ji'dui 突击队
'tu'ji'gong'bing 突击工兵
'tu'ji'hu'zhong'xing'tu'ji'pao 突击虎重型突击炮
'tu'ji'jun'guan 突击军官
'tu'ji'lei 突击雷
'tu'ji'xian'qian'dui 突击先遣队
'tu'ji'zhi'dan'bing 突击掷弹兵
'wa'wa'pao 娃娃炮
'wu'hou'zuo'li'pao 无后坐力炮
'wu'yan'ti 无掩体
'wu'ying'zha 无影炸
'xi'de 西德
'xi'de'guo 西德国
'xi'de'jun 西德军
'xi'de'si 西德四
'xi'mei 西美
'xian'feng'tuan 先锋团
'xian'qian'dui 先遣队
'xiang'zhan'tu'ji 巷战突击
'xiao'che 小车
'xiao'pao 小炮
'xie'er'man'tan'ke 谢尔曼坦克
'xie'er'man'tui'tu'ji'tan'ke 谢尔曼推土机坦克
'xie'er'man'ying'huo'chong'tan'ke'jian'ji'che 谢尔曼萤火虫坦克歼击车
'xing'hao'mi'fan'tan'ke'pao 型毫米反坦克炮
'xun'lu'zhe 寻路者
'yan'ti'yin'shen 掩体隐身
'yi'ben 一本
'yi'er'sao'she'zhi'yuan 伊尔扫射支援
'yin'dao'dui 引导队
'yin'dao'pao'ji 引导炮击
'yin'shen'yi 隐身衣
'ying'cun'pai'ji'pao'zhen'di 英寸迫击炮阵地
'ying'guo 英国
'ying'guo'zai'ju 英国载具
'ying'jun 英军
'ying'yong'tu'ji 英勇突击
'you'gai'zi'che 油盖子车
'you'ji'dui 游击队
'yu'pan'lei 预判雷
'zao'pen 澡盆
'zhan'chang'jian'shi 战场监视
'zhan'chang'tu'po 战场突破
'zhan'di'hou'bei'dui 战地后备队
'zhan'dou'gong'bing 战斗工兵
'zhang'peng 帐篷
'zhen'cha'che 侦察车
'zhen'cha'ji 侦查机
'zhen'cha'lian 侦查连
'zhen'cha'zhi'yuan 侦查支援
'zhen'sou'yin'dao'dui 侦搜引导队
'zheng'zhao 征召
'zheng'zhao'bing'zhi'yuan 征召兵支援
'zhi'dan'bing 掷弹兵
'zhi'hui'bao 指挥豹
'zhi'hui'che 指挥车
'zhi'hui'hu 指挥虎
'zhi'hui'si 指挥四
'zhi'pian 纸片
'zhi'yuan'tuan 支援团
'zhong'jia 中甲
'zhong'jia 重甲
'zhong'xing'tan'ke 中型坦克
'zhong'xing'tan'ke 重型坦克
'zhong'xing'tu'ji'pao 重型突击炮
'zhu'lei'fang'yu 筑垒防御
'zhuang'jia'che 装甲车
'zhuang'jia'jing'ying 装甲精英
'zhuang'jia'lian'dui 装甲连队
'zhuang'jia'lie'bing 装甲猎兵
'zhuang'jia'tu'ji 装甲突击
'zhuang'jia'xian'feng 装甲先锋
'zhuang'jia'yun'bing'che 装甲运兵车
'zhuang'jia'zhi'dan'bing 装甲掷弹兵
'zhui'lie'zhe'pen'huo'tan'ke 追猎者喷火坦克
'zu'jie'tuan 租借团
