'a'dun'zi'long'dan 阿墩子龙胆
'ji'cai 蕺菜
'ji'gu'chai 鸡骨柴
'ji'xiang'cao 吉祥草
'jia'mi 荚蒾
'jia'shi'mu'jiang'zi 假柿木姜子
'jian'ye'ba'qia 尖叶菝葜
'jie'gu'cao 接骨草
'jin'cao 荩草
'jin'hua'xiao'bo 金花小檗
'jin'si'tao 金丝桃
'jing'lan'bian'cao 井栏边草
'ju'ke 菊科
'ju'san'qi 菊三七
'kai'kou'jian 开口箭
'kong'xin'jian'zhu 空心箭竹
'ku'mai'cai 苦荬菜
'kui'ye'bao'chun 葵叶报春
'la'la'teng 拉拉藤
'leng'di'wei'mao 冷地卫矛
'leng'shan 冷杉
'leng'shui'hua 冷水花
'li'jiang'yun'shan 丽江云杉
'lian'guo'du'juan 镰果杜鹃
'lin'mao'jue 鳞毛蕨
'lin'mao'jue'shu 鳞毛蕨属
'long'ya'cao 龙芽草
'lou'ti'cao 楼梯草
'ma'sang 马桑
'ma'zui'mu 马醉木
'man'wu'tou 蔓乌头
'mao'ye'diao'zhong'hua 毛叶吊钟花
'mao'ying'tao 毛樱桃
'mei'bei'du'juan 美被杜鹃
'mei'li'ma'zui'mu 美丽马醉木
'mi'hua'xiang'ru 密花香薷
'mi'ren'du'juan 迷人杜鹃
'mu'dan 牡丹
'mu'jiang'zi 木姜子
'nan'tian'zhu 南天竹
'nan'zhu 南烛
'ni'bo'er'lao'guan'cao 尼泊尔老鹳草
'ni'bo'er'liao 尼泊尔蓼
'ni'bo'er'qi'mu 尼泊尔桤木
'ni'shu'qu'cao 拟鼠麴草
'ni'tan'xian 泥炭藓
'nian'guan'cao 黏冠草
'nian'mao'xiang'qing 黏毛香青
'niu'kou'ji 牛口蓟
'niu'xi'ju 牛膝菊
'nv'zhen 女贞
'pao'hua'shu 泡花树
'ping'zhi'xun'zi 平枝栒子
'po'po'na 婆婆纳
'pu'fu'xun'zi 匍匐栒子
'pu'gong'ying 蒲公英
'qi'nie'qi 七蘖槭
'qi'shu 槭树
'qi'ye'gui'deng'qing 七叶鬼灯檠
'qian'cao 茜草
'qian'ma 荨麻
'qing'hao 青蒿
'qing'pi'qi 青皮槭
'qing'zhe'qi 青折槭
'qiu'hua'liu 秋华柳
'qiu'mu'dan 秋牡丹
'ru'yi'cao 如意草
'run'nan 润楠
'san'ke'zhen 三颗针
'san'lie'qi 三裂槭
'san'nie'qi 三蘖槭
'shan'gui'hua 山桂花
'shan'ji'jiao 山鸡椒
'shan'liao 山蓼
'shan'ma'huang'shu 山蚂蟥属
'shan'mei'hua 山梅花
'shan'yang 山杨
'shan'ying'tao 山樱桃
'shan'zhu'yu 山茱萸
'shao'chi'hua'qiu 少齿花楸
'she'mei 蛇莓
'shi'lian 石莲
'shi'zhu'ye'fan'lv 石竹叶繁缕
'shu'yu 薯蓣
'shuang'dun'mu 双盾木
'shui'jin'feng 水金凤
'shui'ma 水麻
'shui'qin 水芹
'shui'qing'shu 水青树
'shui'xiang'ru 水香薷
'song'mu 楤木
'suan'mo'ye'liao 酸模叶蓼
'tang'song'cao 唐松草
'tie'jiao'jue 铁角蕨
'tie'shan 铁杉
'tie'xian'lian 铁线莲
'tou'hua'ma'xian'hao 头花马先蒿
'tuan'hua'du'juan 团花杜鹃
'wei'rong'xiu'qiu 微绒绣球
'wei'ye'bai'zhu 尾叶白珠
'wei'ye'zhang 尾叶樟
'wu'jiao'feng 五角枫
'wu'jue 乌蕨
'wu'nie'qi 五蘖槭
'wu'ya'guo 乌鸦果
'wu'zhu'yu'wu'jia 吴茱萸五加
'xi'chi'chou'li 细齿稠李
'xi'nan'gui'deng'qing 西南鬼灯檠
'xi'nan'hua 西南桦
'xi'nan'hua'qiu 西南花楸
'xi'nan'jian'zhu 西南箭竹
'xi'nan'wei'ling'cai 西南委陵菜
'xi'nan'xuan'gou'zi 西南悬钩子
'xi'zhi'ling 细枝柃
'xi'zhu'wu'jia 细柱五加
'xiang'bi'nan'xing 象鼻南星
'xiao'tie'zai 小铁仔
'xiao'xia'ye'ya'bao'er'jue 小狭叶芽胞耳蕨
'xiao'ye'ba'qia 小叶菝葜
'xiao'ye'nv'zhen 小叶女贞
'xiao'ye'qing'pi'feng 小叶青皮枫
'xing'ye'hui'qin 杏叶茴芹
'xiu'qiu'hua 绣球花
'xiu'xian'ju 绣线菊
'xuan'ye'xiang'qing 旋叶香青
'xun'zi 栒子
'yang'liu 杨柳
'ye'cao'mei 野草莓
'ye'dan'shen 野丹参
'ye'hua'jiao 野花椒
'ye'shan'hua 野扇花
'ye'wan'dou 野豌豆
'ying'chun'hua 迎春花
'yu'yan'cao 鱼眼草
'yuan'ye'jie'jie'cai 圆叶节节菜
'yuan'ye'jin'cai 圆叶堇菜
'yue'guang'hua 月光花
'yun'nan'ba'qia 云南菝葜
'yun'nan'du'juan 云南杜鹃
'yun'nan'hong'dou'shan 云南红豆杉
'yun'nan'hui'qin 云南茴芹
'yun'nan'jian'zhu 云南箭竹
'yun'nan'long'dan 云南龙胆
'yun'nan'pao'hua'shu 云南泡花树
'yun'nan'qi'ye'shu 云南桤叶树
'yun'nan'song 云南松
'yun'nan'tie'shan 云南铁杉
'yun'nan'tu'er'feng 云南兔儿风
'yun'nan'wu'tong 云南梧桐
'yun'nan'xiao'bo 云南小檗
'yun'nan'you'shan 云南油杉
'yun'shan 云杉
'zao'hua'xiang'ya'can 早花象牙参
'zao'shu'he 早熟禾
'zei'xiao'dou 贼小豆
'zhang'ya'cai 獐牙菜
'zhi'zhu'xiang 蜘蛛香
'zhu'ye'chai'hu 竹叶柴胡
'zhuan'zi'miao'shu 砖子苗属
'zi'hua'di'ding 紫花地丁
'zi'jing'xiao'qin 紫茎小芹
'zi'se'ai'qian'niu 紫色矮牵牛
'zi'su 紫苏
'zi'yao'nv'zhen 紫药女贞
'zong'bei'du'juan 棕背杜鹃
'zuo'jiang'cao 酢浆草
