'an'ceng 按层
'gong'zuo'liu'cheng 工作流程
'gong'zuo'tai 工作台
'gu'ge 骨骼
'gu'li'dang'qian'xuan'ze 孤立当前选择
'guan'jian'dian 关键点
'guan'jian'zhen 关键帧
'guan'jian'zhen'mo'shi 关键帧模式
'guang'du'xue 光度学
'guang'neng'chuan'di 光能传递
'guang'neng'chuan'jie'jue'fang'an 光能传解决方案
'guang'tie'tu 光贴图
'guang'tong'liang 光通量
'guang'xian'gen'zong 光线跟踪
'guang'xian'gen'zong'jia'su 光线跟踪加速
'guang'xian'gen'zong'pian'yi 光线跟踪偏移
'guang'xian'gen'zong'yin'ying 光线跟踪阴影
'guang'xue'du 光学度
'guang'ze'du'he'gao'guang'du'she'zhi 光泽度和高光度设置
'guang'zi'tie'tu 光子贴图
'gui'ge'hua'yang'tiao'xian 规格化样条线
'gui'ji 轨迹
'gui'ji'shi'tu 轨迹视图
'gui'ji'shi'tu'ceng'ci'tu'biao 轨迹视图层次图标
'gui'ji'zu 轨迹组
'guo'jia'dian'shi'biao'zhun'wei'yuan'hui 国家电视标准委员会
'guo'lv 过滤
'guo'lv'bu'tou'ming'xing 过滤不透明性
'guo'lv'se 过滤色
'han'jie 焊接
'he'cheng 合成
'he'cheng'tie'tu 合成贴图
'heng'jie'mian 横截面
'hu'lue'bei'mian 忽略背面
'hua'dong'bu'jin 滑动步进
'hua'kuai 滑块
'huan'jing'guang 环境光
'huan'jing'guang'yan'shai 环境光颜色
'huan'jing'tie'tu 环境贴图
'huan'xing 环形
'huan'xing'jie 环形结
'hui'bi'xing'wei 回避行为
'hui'zhi'xuan'ze'qu'yu 绘制选择区域
'hun'he 混合
'hun'he'dui'xiang 混合对象
'huo'dong 活动
'huo'dong'lian'jie 活动链接
'huo'dong'shi'jian'duan 活动时间段
'huo'yan 火焰
'ji'chu'yang'tiao'xian 基础样条线
'ji'he'xue'yuan'yu 几何学原语
'ji'yu'lu'jing'dui'xiang 基于路径对象
'jian'bu 腱部
'jian'huan'qu'xian 减缓曲线
'jian'ji'kong'zhi'qi 剪辑控制器
'jian'jie'zhao'ming 间接照明
'jian'qie 剪切
'jian'qie'ping'mian 剪切平面
'jian'shao'de'bu'tou'ming'du 减少的不透明度
'jiao'ben 脚本
'jiao'ben'bao'wen'jian 脚本包文件
'jiao'ben'bian'ji'qi'chuang'kou 脚本编辑器窗口
'jiao'ben'gong'ju'mian'ban 脚本工具面板
'jiao'ben'hua'xing'wei 脚本化行为
'jiao'bu'zhuang'tai 脚部状态
'jiao'du 角度
'jiao'hu'shi'xuan'ran'qi 交互式渲染器
'jiao'pian'ke'li 胶片颗粒
'jiao'san 焦散
'jie'chu 接触
'jie'chu'dui'xiang 接触对象
'jie'dian 节点
'jie'dong 解冻
'jie'he 结合
'jie'jue'fang'an 解决方案
'jie'shou'jiao'san 接收焦散
'jing'shen 景深
'jing'xiang 镜像
'jiu'wei'mo'shi 就位模式
'ju'bu 局部
'ju'bu'shi'jian 局部事件
'ju'bu'zuo'biao'xi 局部坐标系
'ju'chi 锯齿
'ju'guang 聚光
'ju'guang'qu 聚光区
'ju'xing'xuan'ze'qu'yu 矩形选择区域
'kang'ju'chi 抗锯齿
'ke'bian'ji'duo'bian'xing 可编辑多边形
'ke'bian'ji'mian'pian 可编辑面片
'ke'bian'ji'wang'ge 可编辑网格
'ke'bian'xing 可变形
'ke'bian'xing'feng'tao 可变形封套
'kong'jian'niu'qu 空间扭曲
'kong'jian'niu'qu'xing'wei 空间扭曲行为
'kong'zhi'dian 控制点
'kong'zhi'ding'dian 控制顶点
'kong'zhi'jing'ge 控制晶格
'kong'zhi'qi 控制器
'kuai'su'qie'pian 快速切片
'kuai'su'xuan'ran 快速渲染
'kuai'su'xuan'ran'chu'shi'hua'he'geng'xin 快速渲染初始化和更新
'kuai'suo'yin 块索引
'leng'cai'zhi 冷材质
'leng'zhu 棱柱
'li'zi'bao'zha 粒子爆炸
'li'zi'ji'bie 粒子级别
'li'zi'liu 粒子流
'li'zi'tu'biao 粒子图表
'li'zi'xi'tong 粒子系统
'li'zi'yun 粒子云
'lian'jie 链接
'lian'jie'de'ji'he'ti 链接的几何体
'lian'jie'yue'shu 链接约束
'lian'xu'xing 连续性
'lian'xu'xing'ji'bie 连续性级别
'lian'yi 涟漪
'liang'du 亮度
'liang'jiao'qi 量角器
'liang'zu'dong'wu 两足动物
'liang'zu'dong'wu'chong'fang 两足动物重放
'liang'zu'dong'wu'dong'tai 两足动物动态
'lu'jing 路径
'lu'jing'gen'sui 路径跟随
'lu'jing'zhui'sui'xing'wei 路径追随行为
'lun'kuo 轮廓
'ma'da 马达
'man'bu'xing'wei 漫步行为
'man'fan'she'yan'shai 漫反射颜色
'man'you'xin'xi 漫游信息
'mian'guang'yuan 面光源
'mian'pian 面片
'mian'pian'bian'xing 面片变形
'mian'pian'shan'ge 面片栅格
'mian'zhuang 面状
'ming'an'qi 明暗器
'mo'ca 摩擦
'mo'duan'xiao'ying'qi 末端效应器
'mo'hu 模糊
'mo'hu'pian'yi 模糊偏移
'mo'shi 模式
'mo'xing 模型
'mu'biao 目标
'mu'biao'han'jie 目标焊接
'niu'dun 牛顿
'niu'qu'lian'jie 扭曲链接
'pai'chi'xing'wei 排斥行为
'pen'she 喷射
'pi'chu'li'xuan'ran 批处理渲染
'pi'pei'zhen 匹配帧
'pian'yi 偏移
'ping'heng'gui'ji 平衡轨迹
'ping'heng'yin'su 平衡因素
'ping'hua'du 平滑度
'ping'hua'zu 平滑组
'ping'mian'hua 平面化
'ping'mian'jiao'du 平面角度
'ping'mian'jing 平面镜
'ping'pu'jing'xiang 平铺镜像
'ping'xing'guang 平行光
'qi'dong'jiao'ben 启动脚本
'qi'jian 期间
'qi'pan'ge 棋盘格
'qiang'cha'zhao'xing'wei 墙查找行为
'qiang'pai'chu'xing'wei 墙排除行为
'qie'jiao 切角
'qie'xian 切线
'qiong'ding'she'xiang'ji 穹顶摄像机
'qu'mian 曲面
'qu'mian'huo'de'xing'wei 曲面获得行为
'qu'mian'zhui'sui'xing'wei 曲面追随行为
'qu'xian 曲线
'qu'xian'bian'ji'qi 曲线编辑器
'qu'xian'shi'tu 曲线视图
'qu'xiao'yin'cang 取消隐藏
'qu'yu'deng'guang 区域灯光
'qu'yu'fan'guang'deng 区域泛光灯
'qu'yu'ju'guang'deng 区域聚光灯
'qu'yu'yin'ying 区域阴影
'quan'dong'li'xue'dao'xiang'qi 全动力学导向器
'quan'jing'dao'chu'qi 全景导出器
'quan'ju'guang 全局光
'quan'ju'gui'ji 全局轨迹
'quan'ju'shi'jian 全局事件
'quan'ju'yun'dong'jian'ji'kong'zhi'qi 全局运动剪辑控制器
'quan'zhong'qu'xian 权重曲线
'qun'zu 群组
'qun'zu'xi'tong 群组系统
're'cai'zhi 热材质
'ren'zhi'kong'zhi'qi 认知控制器
'ri'zhi'wen'jian 日志文件
'rong'he 熔合
'rong'qi 容器
'ruan'guan 软管
'ruan'xuan'ze 软选择
'san'bu 散布
'san'jiao 散焦
'san'jiao'xing'mian'pian 三角形面片
'san'wei'tie'tu 三维贴图
'san'xiang'tou'ying'shi'tu 三向投影视图
'sao'miao'xian'xuan'ran'qi 扫描线渲染器
'se'diao 色调
'se'diao'bao'he'du 色调饱和度
'shan'ge'dui'qi 栅格对齐
'shan'ge'dui'xiang 栅格对象
'she'xiang'ji'dian 摄像机点
'she'ying'ji 摄影机
'she'zhi 设置
'sheng'cheng'dong'hua 生成动画
'sheng'cheng'jiao'san 生成焦散
'shi'dai 矢代
'shi'dai'ci'shu 矢代次数
'shi'jian 事件
'shi'jian'duan 时间段
'shi'jian'gan'ying'qi 时间感应器
'shi'jian'ji'bie 事件级别
'shi'jian'xian'shi 事件显示
'shi'jie'kong'jian 世界空间
'shi'jie'kong'jian'xiu'gai'qi 世界空间修改器
'shi'jie'zuo'biao'xi 世界坐标系
'shi'kou'bei'jing 视口背景
'shi'kou'xuan'ran'qi 视口渲染器
'shi'li 实例
'shi'liang'chang 矢量场
'shi'liang'chang'de'kong'jian'niu'qu 矢量场的空间扭曲
'shi'liang'he'shi'liang'kong'zhi'bing 矢量和矢量控制柄
'shi'liang'kong'zhi'bing 矢量控制柄
'shi'pei'bian'xing 适配变形
'shi'pin'an'quan'kuang 视频安全框
'shi'shi 实时
'shi'ye 视野
'shi'zi'cha 十字叉
'shou'ding'dian 首顶点
'shu'chu 输出
'shu'ru 输入
'shu'ru'shi'jian 输入事件
'shu'xing'gu'ge 属性骨骼
'shu'zhi 数值
'shu'zhou'men 枢轴门
'shuai'jian 衰减
'shuai'jian'qu 衰减区
'shuang'ban'ben'wen'jian 双版本文件
'shuang'jiao'zhi'cheng'zhou'qi 双脚支撑周期
'shuang'mian 双面
'shui'di'wang'ge 水滴网格
'shuo'ming'mian'ban 说明面板
'si'bian'xing'mian'pian 四边形面片
'si'yuan'shu 四元树
'su'du'cha'zhi 速度插值
'su'du'gai'bian'xing'wei 速度改变行为
'ta'xian 塌陷
'tai'gao 抬高
'tai'yang'guang 太阳光
'tan'chu'an'niu 弹出按钮
'tan'huang 弹簧
'tao'suo'xuan'ze'qu'yu 套索选择区域
'te'dian'ti'xing'mo'shi 特点体形模式
'ti'ji'guang 体积光
'ti'ji'wu 体积雾
'ti'xing'biao'zhi 体形标志
'ti'xing'mo'shi 体形模式
'tian'guang 天光
'tiao'zheng'te'se'zi'tai 调整特色姿态
'tie'tu 贴图
'tie'tu'cai'zhi 贴图材质
'tie'tu'pian'yi 贴图偏移
'tie'tu'suo'fang'qi 贴图缩放器
'tie'tu'tong'dao 贴图通道
'tie'tu'zuo'biao 贴图坐标
'ting'kao 停靠
'tong'yong'ming'ming'yue'ding 通用命名约定
'tou'dui'xiang 头对象
'tou'ming'tong'dao 透明通道
'tou'she 投射
'tou'she'xiu'gai'qi 投射修改器
'tou'shi'shi'tu 透视视图
'tou'ying'deng 投影灯
'tu'biao'bian'ji'qi 图表编辑器
'tu'chu 凸出
'tu'chu'jiao'du 凸出角度
'tu'jie'shi'tu 图解视图
'tu'mian'wai'ke'shu'xing 凸面外壳属性
'tu'xiang'yun'dong'mo'hu 图像运动模糊
'tu'xing'he'bing 图形合并
'tu'xing'he'yang'tiao'xian 图形和样条线
'tu'xing'huan'chong'qu 图形缓冲区
'tui'la'men 推拉门
'tui'li 推力
'tui'yun'dong'ding'wei 腿运动定位
'tuo'pu 拓扑
'wai'bu'can'kao'wen'jian 外部参考文件
'wai'bu'can'zhao 外部参照
'wan'qu'lian'jie 弯曲链接
'wan'xiang 万向
'wang'ge 网格
'wang'ge'hua 网格化
'wang'ge'ping'hua 网格平滑
'wang'luo'guan'li'qi 网络管理器
'wang'luo'xuan'ran 网络渲染
'wang'luo'xuan'ran'fu'wu'qi 网络渲染服务器
'wei'cai'se'bao'guang'kong'zhi 伪彩色曝光控制
'wei'lan'xuan'ze'qu'yu 围栏选择区域
'wei'tu 位图
'wei'zhi'yue'shu 位置约束
'wen'jian 文件
'wen'li'yuan'su 纹理元素
'wo'lun'ping'hua 涡轮平滑
'wu'huan'jing 雾环境
'wu'li'she'xiang'ji 物理摄像机
'wu'mo'shi 无模式
'xi'bao 细胞
'xi'hua 细化
'xian'guang'yuan 线光源
'xian'kuang 线框
'xian'kuang'mo'shi 线框模式
'xian'xing'bao'guang'kong'zhi 线性曝光控制
'xiang'liang'chang 向量场
'xiang'pi'quan'mo'shi 橡皮圈模式
'xiang'su 像素
'xiang'wei'jiao'ti'xian 相位交替线
'xing'ti'kong'jian 形体空间
'xing'wei 行为
'xing'xing 行星
'xing'zou'zhang'li 行走张力
'xiu'gai'qi 修改器
'xiu'gai'qi'dui'zhan 修改器堆栈
'xu'ni'dui'xiang 虚拟对象
'xuan'kong'zhou'qi 悬空周期
'xuan'ran'chang'jing 渲染场景
'xuan'ran'dao'wen'li 渲染到纹理
'xuan'wo 漩涡
'xuan'xiang'biao'ji 选项标记
'xuan'ze'bing'cao'zong 选择并操纵
'xuan'zhuan'yue'shu 旋转约束
'xun'huan 循环
'yan'shai'ying'she 颜色映射
'yang'shi'fu'ji 样式父级
'yang'tiao'xian 样条线
'yang'tiao'xian'dong'tai 样条线动态
'yi'lai'yu'tuo'pu'jie'gou'xiu'gai'qi 依赖于拓扑结构修改器
'yi'mian'ti 异面体
'yin'cang 隐藏
'yin'cang'dui'xiang 隐藏对象
'yin'pin'jian'ji 音频剪辑
'yin'qing 引擎
'yin'ying 阴影
'yin'ying'tie'tu 阴影贴图
'yin'ying'tie'tu'wen'jian 阴影贴图文件
'ying'guang 荧光
'ying'she 映射
'ying'she'biao 映射表
'ying'yong'shi 应用式
'ying'yong'shi'fan'xiang'dong'li'xue 应用式反向动力学
'you'guan 油罐
'you'xian'ji 优先级
'yu'cheng'a'er'fa 预乘阿尔法
'yuan'dian 原点
'yuan'jiao 圆角
'yuan'su 元素
'yuan'xing'xuan'ze'qu'yu 圆形选择区域
'yuan'zhui'ti'jiao'du 圆锥体角度
'yue'shu 约束
'yue'shu'dian 约束点
'yun'dong'bu'huo 运动捕获
'yun'dong'he'cheng 运动合成
'yun'dong'hun'he 运动混合
'yun'dong'hun'he'qi 运动混合器
'yun'dong'jian'ji 运动剪辑
'yun'dong'liu 运动流
'yun'dong'liu'bian'ji'qi 运动流编辑器
'yun'dong'liu'jiao'ben 运动流脚本
'yun'dong'mo'hu 运动模糊
'yun'dong'wen'jian 运动文件
'yun'dong'xue'lian 运动学链
'zao'bo 噪波
'zeng'jia'de'bu'tou'ming'du 增加的不透明度
'zeng'qiang'qu'xian 增强曲线
'zhang'ai'hui'bi'xing'wei 障碍回避行为
'zhang'li 张力
'zhao'du 照度
'zhe'die'men 折叠门
'zhe'zhao 遮罩
'zhen'cai'se 真彩色
'zhen'huan'chong'qu 帧缓冲区
'zhen'su'lv 帧速率
'zhen'ting'qi'chuang'kou 侦听器窗口
'zheng'jiao'shi'tu 正交视图
'zheng'xiang 正向
'zheng'xiang'yun'dong 正向运动
'zheng'xiang'yun'dong'xue 正向运动学
'zhi'cheng'qi'jian 支撑期间
'zhi'huan 置换
'zhi'nan'zhen 指南针
'zhi'shu 指数
'zhi'xin'zuo'biao 质心坐标
'zhong'li 重力
'zhong'li'jia'su'du 重力加速度
'zhong'li'shi'liang 重力矢量
'zhong'xin 重心
'zhong'xin'zhou 中心轴
'zhong'zi'zhi 种子值
'zhou'dian 轴点
'zhou'xuan'zhuan 轴旋转
'zhou'zhong'xin 轴中心
'zhu'kuai'yun'dong'jian'ji'kong'zhi'qi 主块运动剪辑控制器
'zhu'shan'ge 主栅格
'zhu'shi'dui'xiang 注视对象
'zhuan'ye'bu'er 专业布尔
'zi'dong'bao'guang'kong'zhi 自动曝光控制
'zi'dong'bian 自动边
'zi'dong'shan'ge 自动栅格
'zi'dui'xiang 子对象
'zi'dui'xiang'ji'bie 子对象级别
'zi'fa'guang 自发光
'zi'shi 姿势
'zi'shi'ying 自适应
'zi'shi'ying'jiang'ji 自适应降级
'zi'shi'ying'suo'ding 自适应锁定
'zi'shi'ying'xi'fen 自适应细分
'zi'shi'ying'zhun'meng'te'ka'luo 自适应准蒙特卡洛
'zi'tai 姿态
'zi'you'xing'shi'dong'hua 自由形式动画
'zi'you'xing'shi'fang'fa 自由形式方法
'zong'heng'bi 纵横比
'zu'li 阻力
'zu'ni'qi 阻尼器
'zui'zhong'ju'ji 最终聚集
'zuo'biao 坐标
'zuo'biao'kong'jian 坐标空间
