'a'bi'de'nv'xing'ya'mu'qin 阿必的女性亚母亲
'di'zhi'shi 地质师
'dian'jiu'ren 奠酒人
'dian'ju 滇剧
'dian'ti'qi'yu 电梯奇遇
'dian'zi'gong'si 点子公司
'ding'bo'pin 丁伯品
'ding'guang'he 丁广和
'ding'guang'quan 丁广泉
'ding'jin'sheng 丁金声
'ding'jun'shan 定军山
'ding'liang'sheng 丁良生
'ding'shou'yi 丁守义
'ding'wen'sheng 丁文盛
'ding'wen'yuan 丁文元
'ding'xi'lin 丁西林
'ding'yu'peng 丁玉鹏
'ding'zhen'yu 丁振雨
'dong 董
'dong'chang'lu 董长禄
'dong'fang'po'mi'xin 洞房破迷信
'dong'hang'nv'er 东航女儿
'dong'jin'xu'qu 东进序曲
'dong'mo'han 董漠涵
'dong'qi'wei 董启威
'dong'shu'liang 董树良
'dong'tian'de'gu'shi 冬天的故事
'dong'tie'liang 董铁良
'dong'xiang'chen 董湘臣
'dong'xiao'heng'chui 洞箫横吹
'dong'xiao'zhu 董小柱
'dong'ying 董英
'dou'e'yuan 窦娥冤
'dou'men'ji'lue 都门纪略
'du'guo'zhi 杜国芝
'du'hong'qi 杜宏圻
'du'mao'lin 杜茂林
'du'mu'ju'ren 独目巨人
'du'pei'yu 杜培玉
'du'san'bao 杜三宝
'duan'jun 段军
'dui'yu'bei 对玉杯
'duo'ceng'fan'dian 多层饭店
'duo'jin'lou 夺锦楼
'e'di'pu'si 俄狄浦斯
'e'di'pu'si'wang 俄底浦斯王
'e'di'pu'si'wang 俄狄浦斯王
'e'di'pu'si'zai'ke'luo'nuo'si 俄底浦斯在克罗诺斯
'e'er'ni'nuo'bao'gao 厄尔尼诺报告
'e'hai'e'ji'xing'zhi'zuo 俄亥俄即兴之作
'e'le'ke'la'te 厄勒克拉特
'e'le'ke'te'la 厄勒克特拉
'e'li'ke'shi'si 厄里克十四
'e'rui'si'te'si 额瑞斯特斯
'e'rui'si'te'si 俄瑞斯特斯
'e'rui'si'tei'ya 俄瑞斯忒亚
'en'xu 恩绪
'er'ci'da'zhan'zhong'de'shuai'ke 二次大战中的帅克
'er'jin'gong 二进宫
'er'lou'zi 二楼子
'er'nv'zan 儿女赞
'er'ren'zhuan 二人转
'er'tang'she'zi 二堂舍子
'er'zhan'zhong'de'shuai'ke 二战中的帅克
'fa'men'si 法门寺
'fa'xi'si'xi'jun 法西斯细菌
'fa'zi'du 伐子都
'fan'chang'li 范长利
'fan'chuan'fu 范传辅
'fan'fan'ba'dou'zheng 反翻把斗争
'fan'guang'yao 樊光耀
'fan'pai 范派
'fan'rui'ting 范瑞亭
'fan'wen'xin 范文欣
'fan'xin'min 樊新民
'fan'zhen'yu 范振钰
'fan'zheng'hua 反正话
'fang 方
'fang'bo'hua 方伯华
'fang'bu'sheng'fang 防不胜防
'fang'cao'tian'ya 芳草天涯
'fang'guo'qun 房国群
'fang'jin'liang 方金亮
'fang'lao'shi 方老师
'fang'xia'ni'de'bian'zi 放下你的鞭子
'fang'xiao'wen 方笑文
'fang'zhen'zhu 方珍珠
'fang'zhi'qing 方志清
'fei'dian'chen 费殿臣
'fei'hua'qu'tan 废话趣谈
'fei'jia'luo'de'hun'li 费加罗的婚礼
'fei'jia'luo'san'bu'qu 费加罗三部曲
'fei'luo'ke'tei'tei'si 菲洛克忒忒斯
'fei'ni'ji'de'fu'nv 腓尼基的妇女
'fei'xu'zhong'huan 废墟中环
'fei'you'hu 飞油壶
'fen'he'wan 汾河湾
'fen'shi'ji'su 愤世嫉俗
'feng'bao'hua 冯宝华
'feng'cheng'ren 奉承人
'feng'chun'ling 冯春岭
'feng'da'quan 冯大荃
'feng'fang 冯芳
'feng'ge'zan 风格赞
'feng'gong 冯巩
'feng'jing'shun 冯景顺
'feng'kuang'guo'nian'che 疯狂过年车
'feng'le'fu 冯乐福
'feng'li'duo 冯立铎
'feng'li'quan 冯立全
'feng'li'zhang 冯立樟
'feng'min'shan 冯敏山
'feng'xue'ye'gui'ren 风雪夜归人
'feng'yang 冯洋
'feng'ye'hong'le'de'shi'hou 枫叶红了的时候
'feng'yi'gang 冯翊纲
'feng'yong'zhi 冯永志
'feng'you'feng 冯幼封
'feng'yu'gu'ren'lai 风雨故人来
'feng'yue'wu'bian 风月无边
'feng'yun'er'nv 风云儿女
'feng'yun'ren'wu 风云人物
'feng'zhen'sheng 冯振声
'feng'zhi'mo 封至模
'feng'zhong'shao'lin 风中少林
'feng'zi'yu 冯子玉
'fu'bao'ren 福保仁
'fu'bao'shan 付宝山
'fu'chou'nv'shen 复仇女神
'fu'hai'feng 付海峰
'fu'jing 副净
'fu'le'yi'hou 富了以后
'fu'pai 傅派
'fu'peng 傅鹏
'fu'qin 父亲
'fu'sheng 付生
'fu'shi'de 浮士德
'fu'shou'yan 富寿严
'fu'wei'xi'jiu'jiu 伏维希舅舅
'fu'xiang'bo 傅向波
'fu'you'de'nv'ren 富有的女人
'fu'zhen'jiang 付振江
'ga'la'hu'tong 旮旯胡同
'gai'ge 改歌
'gai'shan'xi 盖陕西
'gan'bei 干杯
'gan'lu'si 甘露寺
'gang'dao'zi 杠刀子
'gao'bin'jiang 高滨江
'gao'chao'yong 高超勇
'gao'dong'ming 高东明
'gao'er'ji 高尔基
'gao'fei 高飞
'gao'feng 高峰
'gao'feng'qi 高凤起
'gao'feng'shan 高凤山
'gao'gui'qing 高桂清
'gao'ji'lin 高吉林
'gao'ji'qing 高吉庆
'gao'jia'suo'hui'lan'ji 高加索灰阑记
'gao'jian'li 高渐离
'gao'jin'kui 高金奎
'gao'ling'xian'ju'tuan 高陵县剧团
'gao'nai'yi 高乃依
'gao'ren'yi'tou'de'ren 高人一头的人
'gao'shou'ting 高寿亭
'gao'shun'lai 高顺来
'gao'wen'kui 高闻奎
'gao'wen'yuan 高闻元
'gao'xiao'lin 高笑临
'gao'xiu'qin 高秀琴
'gao'ying'pei 高英培
'gao'you'feng 高幼峰
'gao'yuan'jun 高元钧
'ge'ben'ha'gen 哥本哈根
'ge'men'er'zhe'teng'ji 哥们儿折腾记
'geng'bao'lin 耿宝林
'geng'bo'yang 耿伯扬
'geng'hong 耿鸿
'geng'niang'sha'chou 庚娘杀仇
'geng'qi'chang 耿其昌
'geng'wen'qing 耿文卿
'geng'yan 耿炎
'geng'yong 耿勇
'gong'gu 巩固
'gong'han'lin 巩汉林
'gong'lan'xin 宫兰欣
'gong'yu'zhang 龚玉章
'gong'zhe'ping 龚哲平
'gou'er'ye'nie'pan 狗儿爷涅槃
'gou'er'ye'nie'pan 狗儿爷涅盘
'gou'er'ye'nie'pan 狗儿爷涅磐
'gou'jia'tan 苟家滩
'gou'jue'zui 狗噘嘴
'gou'xiong'da'xiang 狗熊大象
'gu'hai'quan 顾海泉
'gu'shi'xin'bian 故事新编
'gu'tan'de'sheng'yin 古潭的声音
'gu'wan 古玩
'gu'yi'shang'hai 故意伤害
'gua'zai'qiang'shang'de'lao 挂在墙上的老
'guan'bao'qi 关宝奇
'guan'bo 管波
'guan'chun'shan 关春山
'guan'dong'da'ji 关东大集
'guan'dong'tian 关栋天
'guan'fu'de'fang'chan 鳏夫的房产
'guan'han'qing 关汉卿
'guan'kuo 关阔
'guan'li'ming 关立铭
'guan'li'quan 关立铨
'guan'song'ming 关松明
'guan'wen'qing 关文庆
'guan'zi'ren 关自仁
'guang'dong'yue'qu 广东粤曲
'guang'guang 桄桄
'guang'kuo'quan 广阔泉
'guang'xu'qin'zheng'ji 光绪亲政记
'gui'hun'zou'ming'qu 鬼魂奏鸣曲
'gui'ju'tao'zi 规矩套子
'gui'qu'lai'xi 归去来兮
'gui'ren'er'de'ba'yi 贵人尔德巴依
'gui'ren'mi 贵人迷
'gui'zhen 桂祯
'guo 果
'guo'bao'hua 郭葆华
'guo'bao'ming 郭宝明
'guo'bao'shan 郭宝珊
'guo'bao'ying 郭宝瑛
'guo'bo'liang 郭伯良
'guo'bo'shan 郭伯山
'guo'chun'tang 郭春堂
'guo'de'gang 郭德纲
'guo'de'xi 郭得喜
'guo'di'chuan 郭迪传
'guo'di'ye 郭迪业
'guo'ge'li 果戈理
'guo'hong'ji 郭宏继
'guo'jia'qiang 郭嘉强
'guo'jia'zhi'shang 国家至上
'guo'ke 果克
'guo'ming'xia 郭明霞
'guo'mo'ruo 郭沫若
'guo'qi 郭起
'guo'qi'ru 郭启儒
'guo'qiu'lin 郭秋林
'guo'quan'bao 郭全宝
'guo'ren'jin 郭仁金
'guo'rong'qi 郭荣起
'guo'shi'zhong 郭士中
'guo'shu'hua 郭淑华
'guo'shu'qing 果树青
'guo'shuang'yin'lian'ta'xiang'dang 郭双印连他乡党
'guo'tie'lin 郭铁林
'guo'wen'chao 郭文超
'guo'wen'qi 郭文岐
'guo'wen'qi 郭文歧
'guo'wen'shou 郭文寿
'guo'xiang'lin 郭祥林
'guo'xiao'xiao 郭晓小
'guo'xin 郭新
'guo'yu 郭娱
'ha'ma'gu 蛤蟆鼓
'hai'dao 海盗
'hai'lun 海伦
'hai'ou 海鸥
'han'gang'jia 韩刚甲
'han'guang 韩光
'han'guang'hai 韩广海
'han'lan'cheng 韩兰成
'han'li'pian 含梨片
'han'qing'tian 韩青天
'han'wen'guang 韩文光
'han'xiang 韩翔
'han'xiao 韩笑
'han'xiao'chi 韩小痴
'han'xiu'ying 韩秀英
'han'zheng'man 韩正满
'han'zi'kang 韩子康
'hao'ai'min 郝爱民
'hao'lian'lu 郝莲露
'hao'ying'chen 郝英辰
'he'bei'bang'zi 河北梆子
'he'ka'bai 赫卡柏
'he'la'si 贺拉斯
'he'nan'zhui'zi 河南坠子
'he'shan'ping 何善平
'he'shi'ming 何世铭
'he'shou'ting 何寿亭
'he'shu'cheng 何树成
'he'wan'xi'yi 河湾洗衣
'he'yu'qing 何玉清
'he'zhe'ren'de'hun'li 赫哲人的婚礼
'he'zhu'xin'pei 荷珠新配
'hei'di'yu 黑地狱
'hei'ding'ben 黑叮本
'hei'hu'zuo'tai 黑虎坐台
'hei'nu'xu'tian'lu 黑奴吁天录
'hei'zi'er'shi'ba 黑字二十八
'heng'li'ba'shi 亨利八世
'heng'li'er'shi 亨利二世
'heng'li'liu'shi 亨利六世
'heng'li'si'shi 亨利四世
'heng'li'wu'shi 亨利五世
'heng'rui'feng 恒瑞丰
'hong'bai'xi'shi 红白喜事
'hong'bi'zi 红鼻子
'hong'chen 红尘
'hong'he'gu 红河谷
'hong'lou'bai'ke 红楼百科
'hong'qi'ge 红旗歌
'hong'qing'ting 红蜻蜓
'hong'shui 洪水
'hong'yang'dong 洪羊洞
'hong'yao 烘窑
'hong'zong'lie'ma 红鬃烈马
'hou'bao'lin 侯宝林
'hou'chang'xi 侯长喜
'hou'da'ming'bai 侯大明白
'hou'fu'dao 侯扶倒
'hou'guan'nan 侯冠男
'hou'guan'qun 侯冠群
'hou'hong'qin 侯红琴
'hou'lian'you 侯连友
'hou'shao'chen 侯少尘
'hou'shi'fa'yin'fa 侯式发音法
'hou'xiao'cai 侯孝才
'hou'yao'wen 侯耀文
'hou'yi'chen 侯一尘
'hu'bei'da'gu 湖北大鼓
'hu'bi'da 胡必达
'hu'bu'zi 胡不字
'hu'die'bei 蝴蝶杯
'hu'die'fu'ren 蝴蝶夫人
'hu'fu 虎符
'hu'ju 沪剧
'hu'ju'zhong'shan 虎踞钟山
'hu'ke 胡可
'hu'kou'xia'xiang 虎口遐想
'hu'kou'yuan 虎口缘
'hu'lan'ting 胡兰亭
'hu'ling 护领
'hu'tao'jia'zi 胡桃夹子
'hu'tun'sheng 胡屯胜
'hu'wei'xin 胡伟新
'hu'zhen'jiang 胡振江
'hu'zhong'ren 胡仲仁
'hua'bu'nong'tan 花部农谭
'hua'dan 花旦
'hua'deng 花灯
'hua'fang'gu'niang 花房姑娘
'hua'jin'gao'lou 花近高楼
'hua'lun'fu'ren'de'zhi'ye 华伦夫人的职业
'hua'mu'lan 花木兰
'hua'shan'mian'er 画扇面儿
'hua'shi'quan 华士泉
'hua'ting'hui 花亭会
'hua'yu'jian 花与剑
'hua'zi'yuan 华子元
'huai'hua'yi'tiao'jie 坏话一条街
'huai'qing'tang'ji 槐庆堂集
'huai'shu'zhuang 槐树庄
'huai'yi 怀疑
'huan'e'lin'yu'qiang'wei 环珴璘与蔷薇
'huang 黄
'huang'ban'xian 黄半仙
'huang'he'lai 黄鹤来
'huang'he'lou 黄鹤楼
'huang'hong 黄宏
'huang'jia'guang'chang 皇家广场
'huang'jin'chi'xue 黄金赤血
'huang'jin'shi'dai 黄金时代
'huang'mei'xi 黄梅戏
'huang'tie'liang 黄铁良
'huang'tu'yao 黄土谣
'huang'wen'bin 黄文斌
'huang'wen'xiang 黄文祥
'huang'wen'zhong 黄文忠
'huang'ying'yu 黄英玉
'huang'yuan'yu'ren 荒原与人
'huang'yun'cheng 黄运成
'huang'zhi'qiang 黄志强
'huang'zu'min 黄族民
'hui'chun'zhi'qu 回春之曲
'hui'wan'hua 回婉华
'hun'yin'yu'mi'xin 婚姻与迷信
'huo'hong'de'xin 火红的心
'huo'hu'zhi'ye 获虎之夜
'huo'pu'te'man 霍普特曼
'huo'shen'yu'qiu'nv 火神与秋女
'huo'tian'shi 火天使
'huo'wen'long 霍文龙
'huo'yan'ju 火焰驹
'huo'zhi'tiao'wu 火之跳舞
'ji'deng 祭灯
'ji'e'hai'xia 饥饿海峡
'ji'er'jia'mei'ti 几儿加美体
'ji'ma 吉马
'ji'nian'bei 纪念碑
'ji'ping'san 吉坪三
'ji'qing'you'yu 吉庆有余
'ji'sai'er 吉赛尔
'ji'wen'kui 纪文葵
'ji'wen'kui 纪文奎
'ji'you 激友
'ji'yuan 纪元
'jia'cheng'bo 贾承伯
'jia'hang'jia 假行家
'jia'hua'shi'jia 假话世家
'jia'ji'guang 贾冀光
'jia'le'bi'si'zhi'yue 加勒比斯之月
'jia'li'tuo'suo 迦犁陀娑
'jia'shi'quan 贾世泉
'jia'ting'en'yuan'ji 家庭恩怨记
'jia'ting'xi'ju 家庭喜剧
'jia'wu'hai'zhan 甲午海战
'jia'zao'wang 假灶王
'jia'zhen'liang 贾振良
'jian'zhu'da'shi 建筑大师
'jiang'bao'lin 姜宝林
'jiang'bo'hua 姜伯华
'jiang'di'hao 讲帝号
'jiang'gui'cheng 姜桂成
'jiang'han'yu'ge 江汉渔歌
'jiang'jie 江姐
'jiang'kun 姜昆
'jiang'ming'xiao 蒋明孝
'jiang'qi'hu 江其虎
'jiao'bao'kui 焦葆奎
'jiao'de'hai 焦德海
'jiao'di'zu 交地租
'jiao'fu'xin'zhuan 轿夫新传
'jiao'li'hai 焦立海
'jiao'shou'hai 焦寿海
'jiao'xiao'chun 焦晓春
'jiao'yue'shu 缴月舒
'jie'da'huan'xi 皆大欢喜
'jie'dong'feng 借东风
'jie'fang'yu'dai'fang 借方与贷方
'jie'hun 结婚
'jie'xue'shi 解学士
'jin'bao'lian 靳宝琏
'jin'bing'chang 金炳昶
'jin'fu'chang 晋福长
'jin'jin'lai 靳金来
'jin'ju 晋剧
'jin'sha'tan 金沙滩
'jin'shao'shan 金少山
'jin'sheng'yu'bao 金声玉报
'jin'tao 金涛
'jin'wen'he 金文和
'jin'wen'zhi 金文智
'jin'xiao'tian 金笑天
'jin'you'feng 金幼峰
'jin'you'shi 金幼实
'jin'yu'tang 金钰堂
'jin'zhao'qing 金兆庆
'jin'zheng 金正
'jin'zhu 金珠
'jing'de'xi'ma 敬德洗马
'jing'fu 敬夫
'jing'ju 京剧
'jing'lin'ye 荆林野
'jing'yun'da'gu 京韵大鼓
'jing'zheng'gong 靖正恭
'jing'zheng'ming 靖正铭
'jiu'dian'zhong'kai'shi 九点钟开始
'jiu'hou 酒后
'jiu'jiu'hai'zi 救救孩子
'jiu'san'nian 九三年
'jue'dui'xin'hao 绝对信号
'ka'er'luo 卡尔罗
'ka'fei'dian'zhi'yi'ye 咖啡店之一夜
'ka'men 卡门
'ka'nai'ren 卡奈人
'kai'chang'xiao'chang 开场小唱
'kai'hui'mi 开会迷
'kai'sa'he'xie'de'ao'pei'qu'la 凯撒和写的奥佩屈拉
'kan'nv 看女
'kan'shan'hu 看山虎
'kan'tian'zhong 阚天忠
'kang'da'fu 康达夫
'kang'de'han 康徳函
'kang'di'da 康蒂妲
'kang'dui'shan 康对山
'kang'gui'sheng 康桂生
'kang'jia'ban 康家班
'kang'li'ben 康立本
'kang'song'guang 康松广
'kang'you'chun 康友纯
'kang'zheng'xu 康正绪
'ke'la'pu'zui'hou'de'lu'yin'dai 克拉普最后的录音带
'ke'xiao'de'nv'cai'zi 可笑的女才子
'kong'cheng'ji 空城计
'kong'long'gu'shi 空笼故事
'kong'que'dan 孔雀胆
'kong'que'dong'nan'fei 孔雀东南飞
'kong'wen'jing 孔文敬
'kou'geng'jie 寇庚杰
'kou'geng'ru 寇庚儒
'kou'lian'rong 寇连荣
'kou'shou'ting 寇寿亭
'kou'tu'lian'hua 口吐莲花
'kou'yu'shuo'chang 口语说唱
'ku'de'yi'shu 哭的艺术
'ku'mu 哭墓
'ku'qin'ting 哭秦庭
'ku'wu'geng 哭五更
'ku'yin'tiao'men'kan 苦音跳门坎
'ku'zu'miao 哭祖庙
'kua'jiang'jiu 夸讲究
'kua'zhu'zhai 夸住宅
'kuang'huan'de'yi'ri 狂欢的一日
'kuang'liu 狂流
'kuang'xiang'qu 狂想曲
'la'xin 拉辛
'lai'bao'gang 来宝刚
'lai'de'ru 来德如
'lai'e'si 莱俄斯
