'a'li'ren'ou 阿笠人偶
'di'dan'xiao'xue 帝丹小学
'di'er'dai'guai'dao'ji'de 第二代怪盗基德
'di'ge'de'yan'cong 第个的烟囱
'di'gen'xian 第根线
'di'nian'de'chong'ji 第年的冲击
'dian'hua'de'zhen'xiang 电话的真相
'dian'wan'gong'si'zhi'yuan 电玩公司职员
'diao'er'shang'you'du 钓饵上有毒
'ding'hun'jie'zhi 订婚戒指
'ding'yu'she 钉与蛇
'dong'jing'du'mi'hua'ding 东京都米花町
'dong'jing'du'mi'hua'ding'wu'ding'mu 东京都米花町五丁目
'dong'jing'feng'he'ri'li 东京风和日丽
'du'wu'de'xia'luo 毒物的下落
'duan'shi'jian'de'xiu'xi 短时间的休息
'e'ling'qi'xi'de'wu'yu 恶灵栖息的屋宇
'e'luo'si'lan'mao 俄罗斯蓝猫
'e'mo'de'hu'huan 恶魔的呼唤
'e'mo'de'shou'duan 恶魔的手段
'e'mo'lai'lin 恶魔来临
'e'mo'zhi'jian 恶魔之箭
'e'mo'zhi'lei 恶魔之泪
'e'yi'zhong'de'xing'jin 恶意中的行进
'e'zuo'ju'de'hai'zi 恶作剧的孩子
'er'huan'xing'shou'ji 耳环型手机
'er'shi'de'sha'yi'sheng'fo'ni'hao 二十的杀意圣佛尼号
'er'yuan'shen'mi'shi'jian 二元神秘事件
'fa'bu'chu'sheng 发不出声
'fan'ji'de'tou'xu 反击的头绪
'fan'ren'zhui'zong'yan'jing 犯人追踪眼镜
'fan'zui'de'yi'wu 犯罪的遗物
'fei'tian'mi'shi 飞天密室
'fei'xing'san 飞行伞
'fen'zhi'yi'de'e'mo 分之一的恶魔
'feng'de'e'zuo'ju 风的恶作剧
'feng'suo'he'mi'mi 封锁和秘密
'feng'xue'zhong'de'fu'chou 风雪中的复仇
'feng'yin 封印
'fu'bu'ping'ci'yi'chou'mo'zhan 服部平次一筹莫展
'fu'lan'de'ping'guo 腐烂的苹果
'fu'shang'de'zhen'tan'tuan 负伤的侦探团
'fu'su'de'e'ling 复苏的恶灵
'fu'su'de'qiang'dan 复苏的枪弹
'fu'su'de'you'ling 复苏的幽灵
'gan'shou'dao'ni'de'xin 感受到你的心
'gan'ying'qi'shi'jing 感应器视镜
'gang'hao'yi'dui 刚好一对
'gang'qin'de'zu'zhou 钢琴的诅咒
'ge'zi 鸽子
'gen'zong'ran'hou 跟踪然后
'gong'si 公司
'gong'teng'xin'yi'deng'chang 工藤新一登场
'gong'xue'bu'bo'shi'xue'wei 工学部博士学位
'gong'zhu'yu'long'gong'cheng 公主与龙宫城
'guai'dao'shi'tan'pu 怪盗史坦普
'guai'ren'er'bai'mian'xiang 怪人二百面相
'guai'yi'de'shi'zhong 怪异的时钟
'guan'ce'xing 观测星
'guan'dong'de'gao'zhong'sheng'zhen'tan 关东的高中生侦探
'guan'xi'lai'de'xian'suo 关西来的线索
'guang'tian'hua'ri'xia'de'qian'fu 光天化日下的潜伏
'gui'ji'he'mo'shu 诡计和魔术
'gui'mi'de'cheng'ke 诡密的乘客
'gui'po'chuan'shuo'sha'ren'shi'jian 鬼婆传说杀人事件
'gui'zi'de'mi'mi 柜子的秘密
'gun'luo'de'gui'ji 滚落的轨迹
'guo'ji'xing'jing'zu'zhi 国际刑警组织
'hai'bin'de'sha'yi 海滨的杀意
'hai'shang'mi'shi 海上密室
'hai'you'ban'nian 还有半年
'hao'ke'ai'wo 好可爱喔
'hao'zhuan'de'gen'zong 好赚的跟踪
'hei'an'de'zu'ji 黑暗的足迹
'hei'an'shi'si'wang'xian'jing'zhi'men 黑暗是死亡陷阱之门
'hei'an'zhi'zhong 黑暗之中
'hei'an'zhong'de'wu'sheng'sha'ren 黑暗中的无声杀人
'hei'se'de'tai'yang 黑色的太阳
'hei'se'de'zang'li 黑色的葬礼
'hei'se'guang'xian'zhi'mi 黑色光线之谜
'hei'yi'zu'zhi 黑衣组织
'hong'lian 红莲
'hong'pai 红牌
'hong'se'de'zhi 红色的痣
'hong'se'xian'jing 红色陷阱
'hua'de'sheng'ming 花的生命
'huan'xiang'qu 幻想曲
'huang'tang'de'zuo'zhan 荒唐的作战
'hui'ming'tan'zhen'shi'ji'mo'gao'zhong'yin'ming'zhi 会名探侦世纪末告钟音鸣止
'hui'yi'de'chang'suo 回忆的场所
'hui'yi'de'di'fang 回忆的地方
'hui'yi'de'wang'qiu'chang 回忆的网球场
'hui'yuan'ai'de'jue'ding 灰原哀的决定
'hun'he'de'gui'ji 混合的诡计
'hun'li'da'zhan 婚礼大战
'hun'li'xian'chang'de'kong'huang 婚礼现场的恐慌
'huo'jian'de'mi'mi 火箭的秘密
'huo'yan'de'ji'ban 火焰的羁绊
'huo'zai'de'zhen'xiang 火灾的真相
'ji'xing'qu 即兴曲
'ji'yi'zhong'de'chang'suo 记忆中的场所
'jia'mian'xia'de'zhen'xiang 假面下的真相
'jia'qiu'mi 假球迷
'jia'ren 假人
'jia'you'yuan'zi 加油园子
'jian'qiang'de'ming'zhen'tan'men 坚强的名侦探们
'jiang'qi'qi'shou 将棋棋手
'jiao'li'zeng'qiang'xie 脚力增强鞋
'jiao'yin'zai'na'li 脚印在哪里
'jie'di 姐弟
'jie'kai'ge'shu'zi'zhi'mi 解开个数字之谜
'jie'kai'suo'ding 解开锁定
'jin'ping'guo 金苹果
'jin'po'de'lian'yi'hui 紧迫的联谊会
'jin'po'de'pai'dui 紧迫的派对
'jin'se 金色
'jin'se'de'ping'guo 金色的苹果
'jing'e 惊愕
'jing'guan'de'tui'li 警官的推理
'jing'shen'shi'guang'wu 精神时光屋
'jing'shi'ting'jiao'tong'bu'jiao'tong'ke 警视厅交通部交通课
'jing'zhong'de'zhen'shi 镜中的真实
'jing'zi'zhong'de'zhen'xiang 镜子中的真相
'ju'ji 聚集
'ju'shen'xiang'zhi'nu 巨神像之怒
'jun'yi'zhu'yan'shi'zhong'mi'fang 君一助言世中谜方
'kai'fang'de'mi'shi 开放的密室
'kai'shi'diao'cha 开始调查
'kai'suo'gong'ju 开锁工具
'kan'bu'jian'de'kong'bu 看不见的恐怖
'kan'lou'de'dong'xi 看漏的东西
'ke'lian'de'shao'nv 可怜的少女
'ke'nan'shi'suan'le 柯南失算了
'ke'pa'de'bing'du 可怕的病毒
'ke'wu'de'jia'huo 可恶的家伙
'ke'yi'de'qiu'mi 可疑的球迷
'ke'yi'de'yong'cu 可疑的拥蹙
'kong'bu'de'nv'ren 恐怖的女人
'kong'bu'de'qiao'men'sheng 恐怖的敲门声
'kong'bu'jiang'lin 恐怖降临
'kong'jiang'de'shi'ti 空降的尸体
'kong'long'de'huan'ji 恐龙的还击
'kong'zhong'diao'xia'de'ren 空中掉下的人
'kong'zhong'mi'shi 空中密室
'kou'zhao'xing'bian'sheng'qi 口罩型变声器
'kuang'xiang'qu 狂想曲
'la'zuo'de'chi'bang 蜡做的翅膀
'lai'fang'zhe'liu'xia'de'mi'mi 来访者留下的秘密
'lai'zi'guo'qu'de'zi'dan 来自过去的子弹
'lai'zi'huang'quan'de'sha'ren'zhe 来自黄泉的杀人者
'lai'zi'jia'zi'yuan'e'mo'de'tiao'zhan 来自甲子园恶魔的挑战
'lan'de'tui'li 兰的推理
'lang'ren'zhi'ying 狼人之影
'lang'su'juan'zeng'biao 浪速捐赠表
'lang'su'zhi'jian'shi 浪速之剑士
'li'ming 黎明
'lian'ai'shi'mao'xian'jing'xi'kong'ju 恋爱是冒险惊喜恐惧
'lie'wu'shang'gou'le 猎物上钩了
'lin'shi'tui'li'xiu 临时推理秀
'lin'zhong'de'a'a 临终的啊啊
'ling'jie'xing'bian'sheng'qi 领结型变声器
'ling'ren'tan'xi'de'gan'hai 令人叹息的赶海
'ling'ren'xing'fen'de'cai'fang 令人兴奋的采访
'ling'yi'ge'dai'tu 另一个歹徒
'ling'yi'wei'ming'zhen'tan 另一位名侦探
'liu'mian'ti'de'xin'xi 六面体的信息
'liu'xia'de'zu'ji 留下的足迹
'lou'chu'ma'jiao 露出马脚
'lu'bang'zhuan'ren'sou'cha'guan 鲁邦专任搜查官
'lu'xiang'dai'zhong'de'zheng'ju 录象带中的证据
'luo'ri 落日
'ma'ma'de'xin'li 妈妈的心理
'ma'ma'shi'dui'shou 妈妈是对手
'mai'cang'zai'nei'xin'shen'chu 埋藏在内心深处
'man'yue'zhi'ye 满月之夜
'man'yue'zhi'ye'yu'hei'se'yan'xi'de'xian'jing 满月之夜与黑色宴席的陷阱
'mao'pai'huo'de'zhen'xiang 冒牌货的真相
'mao'pai'huo'deng'chang 冒牌货登场
'mao'xian'fu'huo 冒险复活
'mei'you'ti'shi 没有提示
'mei'zhong'bu'zu'de'shao'shang 美中不足的烧伤
'meng'zhong'zhi'xing 梦中之星
'mi'gong'de'shi'zi'lu'kou 迷宫的十字路口
'mi'mi'de'fei'ying'li 秘密的妃英理
'mi'mi'de'jia'fang 秘密的家访
'mi'mi'de'shang'xue'zhi'lu 秘密的上学之路
'mi'mi'shi'nv'ren'geng'you'nv'ren'wei 秘密使女人更有女人味
'mi'sha 秘杀
'mi'shi'de'mi'mi 密室的秘密
'mi'shi'zheng'ming 密室证明
'mi'wang'zhi'xin 迷惘之心
'mi'yi'yang'de'lan'che 谜一样的缆车
'mian'ju 面具
'ming'jian'shi'zhe 冥间使者
'ming'lang'de'ji'yi 明朗的记忆
'ming'quan'de'gong'lao 名犬的功劳
'ming'tan'zhen'ke'nan 名探侦柯南
'ming'yang'de'yu'yan 命样的预言
'ming'zhen'tan'xiao'lan 名侦探小兰
'ming'zhong'zhu'ding'de'shi'ying'hui 命中注定的试映会
'ming'zhu'de'xian'jing 名著的陷阱
'ming'zi'de'mi'mi 名字的秘密
'ming'zi'shi'pian'jia'ming 名字是片假名
'mo'fa'de'zhou'wen 魔法的咒文
'mo'guan'guang'sha'pao 魔贯光杀炮
'mo'shu'shi'shi'ge 魔术师失格
'mo'shu'shi'zhi'guan 魔术师之馆
'mo'shu'zhi'pai'shou'qiang 魔术纸牌手枪
'mu'mu'jing'guan 目暮警官
'mu'qin'de'yi'wu 母亲的遗物
'na'ge'di'fang 那个地方
'na'jia'huo'jiu'shi'zhe'me'nuo'ruo 那家伙就是这么懦弱
'na'li'you'wei'ji 那里有危机
'na'wei'xian'sheng 那位先生
'nan'yi'zhi'xin'de'qie'dian 难以置信的切点
'ni'shi'he'xu'ren 你是何许人
'ni'zhen'leng'jing 你真冷静
'ni'zhuan'de'shen'mi 逆转的神秘
'nian'qian'de'e'meng 年前的恶梦
'nian'qian'de'nan'ren 年前的男人
'niao'qu'xian 鸟取县
'niu'kou'xing'kuo'yin'qi 钮扣型扩音器
'nv'zi'da'xue'jiao'shou 女子大学教授
'ou'xiang'de'mi'mi 偶像的秘密
'ou'xiang'men'de'wu'jie 偶像们的误解
'pan'bian'de'jie'jiao 叛变的街角
'pian'ju 骗局
'ping'ci'de'fen'nu 平次的愤怒
'ping'ci'de'hui'yi 平次的回忆
'ping'ci'de'jiao'han 平次的叫喊
'po'jin'de'bao'wei'wang 迫近的包围网
'qi'ben'jia'yi'zu 旗本家一族
'qi'guai'de'ju'hui 奇怪的聚会
'qi'guai'de'yi'dong 奇怪的移动
'qi'hei'de'sang'zang'hang'lie 漆黑的丧葬行列
'qi'huan'de'shi'ti 奇幻的尸体
'qi'ji 奇迹
'qi'miao'de'tong'xun'lu 奇妙的通讯录
'qi'yu'xian'zhao'xia'shi 埼玉県朝霞市
'qian'ban'de'you'qing 牵绊的友情
'qian'feng'ti'bu'qiu'yuan 前锋替补球员
'qian'mian'mo'nv 千面魔女
'qian'zou'qu 前奏曲
'qiang'sheng'de'mi'mi 枪声的秘密
'qiao'miao'de'jian'shi 巧妙的剑士
'qie'ting'qi 窃听器
'qing'chun'de'xiang'wei 清纯的香味
'qing'lan 青岚
'qing'le'de'ji'yi 晴了的记忆
'qing'zhu'yi'tian'mei'yue'hui 请注意甜美约会
'quan'ri'ben'kong'shou'dao'guan'jun 全日本空手道冠军
'que'xin 确信
'qun'ma'xian 群马县
'ran'xue'de'beng'dai 染血的绷带
're'xue'zhen'tan 热血侦探
'ren'wu 任务
'ren'yu'de'zu'zhou 人鱼的诅咒
'ri'ben'da'ban'fu'qin'wu'chuan'shi 日本大阪府寝屋川市
'ri'ben'dong'jing'du'mi'hua'shi'da'lou 日本东京都米花市大楼
'ri'ben'jiu'zhou'dao'fu'gang'xian 日本九州岛福冈县
'ru'lei'guan'er'de'xu'sheng 如雷贯耳的嘘声
'san'jiao'hua'xiang'yi 三角滑翔翼
'san'tiao'yu 三条鱼
'sha'ji'zheng'nong 杀机正浓
'sha'ren'de'li'you 杀人的理由
'sha'yi'de'ka'fei 杀意的咖啡
'sha'yi'de'zhen'xiang 杀意的真相
'shan'guang'dan 闪光弹
'shao'nian'zhen'tan'dui 少年侦探队
'shao'nian'zhen'tan'tuan 少年侦探团
'shen'mi'de'shi'jie 神秘的世界
'shen'mi'mu'guang 神秘目光
'shen'qi 神器
'shen'suo'diao'dai 伸缩吊带
'sheng'dan'xiao'zi 圣诞小子
'shi'cha'de'quan'tao 时差的圈套
'shi'ge'duo'nian'de'ju'hui 事隔多年的聚会
'shi'ji'mo'de'mo'shu'shi 世纪末的魔术师
'shi'mao'jin'de'quan'tao 湿毛巾的圈套
'shi'xiao'cheng'li 时效成立
'shi'yong'le'mo'fa 使用了魔法
'shi'zi'diao'xia'de'dong'xi 狮子掉下的东西
'shou'biao'deng 手表灯
'shou'biao'xing'ma'zui'qiang 手表型麻醉枪
'shou'qu'yi'zhi'de'nv'mo'shu'shi 首屈一指的女魔术师
'shou'tao'de'zui'e 手套的罪恶
'shu'jia'de'an'hao 暑假的暗号
'shui'de'tui'li'xiu 谁的推理秀
'shui'dou'bu'zai'le 谁都不在了
'shui'mei'ren 睡美人
'shuo'bu'chu'kou 说不出口
'shuo'huang'de'ren 说谎的人
'si'ge'guan'jian'ci 四个关键词
'si'liang'bao'shi'jie 四辆保时捷
'si'luo'shen'da'ren 死罗神大人
'si'ren'bu'hui'shuo'hua 死人不会说话
'si'wang'dao 死亡岛
'si'wang'liu'yan'de'zhen'zheng'han'yi 死亡留言的真正含义
'tai'yang'neng'hua'ban 太阳能滑板
'tan'zhang'de'tui'li 探长的推理
'tang'xia'xi'lian 躺下洗脸
'tao'pao'de'xiong'qi 逃跑的凶器
'tao'tuo 逃脱
'tao'wang'zhe 逃亡者
'te'bie'pian'di'juan 特别篇第卷
'te'zhi'liu'bing'xie 特制溜冰鞋
'tian'kong'de'jin'dao 天空的近道
'tian'xia'ren'zhi'bao 天下人之宝
'tian'xia'ren'zhi'cheng 天下人之城
'ting'tian'you'ming 听天由命
'tong'cheng'zhe 同乘者
'tou'ming'ren'xian'shen 透明人现身
'tu'ran'de'ru'qin'zhe 突然的入侵者
'tui'li'de'da'an 推理的答案
'wan'fan'de'cai'dan 晚饭的菜单
'wan'guo'jing'tian'zhang 万国惊天掌
'wan'mei'jie'du 完美解读
'wan'quan'mei'shi 完全没事
'wang'li'mian'de'shi 网里面的是
'wei'bei'chang'li'de'fang'jian 违背常理的房间
'wei'huo'hui'bao'de'xin 未获回报的心
'wei'lan'de'ling'jiu 蔚蓝的灵柩
'wei'shuo'chu'kou'de'hua 未说出口的话
'wei'xian'de'lai'fang'zhe 危险的来访者
'wei'xian'de'wei'dao 危险的味道
'wei'xian'de'xiang'feng 危险的相逢
'wei'xian'de'xiang'wei 危险的香味
'wei'xian'de'ya'yi 危险的牙医
'wei'xian'xun'hao 危险讯号
'wei'zhe'de'zhen'shi 伪者的真实
'wei'zhuang 伪装
'wei'zhuang'de'shao'nv 伪装的少女
'wen'ding'de'shi'qi 稳定的时期
'wen'nuan'de'da'hai 温暖的大海
'wen'nuan'de'hai'yang 温暖的海洋
'wo'shi'ge'wan'mei'zhu'yi'zhe 我是个完美主义者
'wu'fa'gui'lai'de'er'ren 无法归来的二人
'wu'fa'tao'bi'de'mu'biao 无法逃避的目标
'wu'fa'xiang'xin'de'jie'ju 无法相信的结局
'wu'fa'xiao'shi'de'zheng'ju 无法消失的证据
'wu'liao'de'bi'sai 无聊的比赛
'wu'ya'zhi'ge 乌鸦之歌
'wu'yue'tong'zhou 吴越同舟
'xi'yang'yu'lou'ti 夕阳与楼梯
'xia'xiao'mi'shi'liu'xia'de'mi'mi 狭小密室留下的秘密
'xian'chang'qu'zheng 现场取证
'xian'shi'shi'wu'shi 限时十五时
'xian'suo'bao'wei'wang 线索包围网
'xian'xian'mo'shu 显现魔术
'xiang'gong'zhu'de'ren 像公主的人
'xiang'quan'xing'bian'sheng'qi 项圈型变声器
'xiang'tong'de'ming'yun 相同的命运
'xiang'yin'cang'de'dong'xi 想隐藏的东西
'xiao'bu'qu'de'hui'yi 消不去的回忆
'xiao'hong'mao'mei'mei 小红帽妹妹
'xiao'lan'de'yan'lei 小兰的眼泪
'xiao'shi'de'dun'qi 消失的钝器
'xiao'shi'de'guang'yan 消失的光彦
'xiao'shi'de'ji'yi 消失的记忆
'xiao'shi'de'lian'ren 消失的恋人
'xiao'shi'de'nan'ren 消失的男人
'xiao'shi'de'shi'ti 消失的尸体
'xiao'shi'de'xin'niang 消失的新娘
'xiao'shi'de'xiong'qi 消失的凶器
'xiao'shi'de'yin'fu 消失的音符
'xiao'shi'zai'bo'tao'zhi'zhong 消失在波涛之中
'xiao'wei'tuo'ren 小委托人
'xiao'wu'lang'da'shi'tai 小五郎大失态
'xiao'wu'lang'de'xuan'ze 小五郎的选择
'xiao'xiao'de'ba'zi 小小的靶子
'xiao'xiao'de'mu'biao 小小的目标
'xiao'xiao'de'zheng'ju 小小的证据
'xiao'xing'yang'qi'tong 小型氧气筒
'xie'xu'de'bu'dui'jin 些许的不对劲
'xie'xu'de'jiao'yin 些许的脚印
'xin'bing'qi 新兵器
'xin'de'lao'shi 新的老师
'xin'de'zhi'ling 新的指令
'xin'hei'yi'cheng'yuan 新黑衣成员
'xin'hun'de'bei'ju 新婚的悲剧
'xin'xi'xian'bei'ze'cun 新潟县北泽村
'xin'yi'de'lian'ren 新一的恋人
'xin'zhi'suo'xiang 心之所向
'xin'zhong'dong'dang'bu'an 心中动荡不安
'xing'ji'ke'yi 形迹可疑
'xing'xing'de'xu'yuan 星星的许愿
'xing'xing'dou'zhi'dao 星星都知道
'xiong'qi'de'xia'luo 凶器的下落
'xiu'ji'zhuan'da'yun 秀吉转大运
'xiu'kou'xing'qie'ting'qi 袖扣型窃听器
'xu'jia'de'ai'qing 虚假的爱情
'xu'jia'de'bing'ren 虚假的病人
'xu'jia'de'you'qing 虚假的友情
'xu'jia'ri'qi 虚假日期
'xuan'zhuan'de'xiong'qi 旋转的凶器
'xue'ji'de'ji'guan 血迹的机关
'xue'nv'zhi'ji 雪女之计
'xue'ran'you'ling'chuan 血染幽灵船
'xue'xiao'de'guai'shi 学校的怪事
'xue'xiao'qi'tan 学校奇谈
'xue'xing'qing'ren'jie 血腥情人节
'xue'xing'su'shuo'de'zhen'xiang 血型诉说的真相
'xun'cha'bu'zhang 巡查部长
'xun'zhao'pi'gu'shang'de'yin'ji 寻找屁股上的印记
'yan'jing'you'xi'zi 岩井由希子
'yan'shi'guan 验尸官
'yan'wu'dan 烟雾弹
'yi'dou 伊豆
'yi'huo'de'bu'zai'chang'zheng'ming 疑惑的不在场证明
'yi'huo'de'ga'li'fan 疑惑的咖喱饭
'yi'huo'de'qiang'sheng 疑惑的枪声
'yi'huo'de'tui'li 疑惑的推理
'yi'huo'de'ying'you 疑惑的瑛祐
'yi'huo'de'you'jian 疑惑的邮件
'yi'huo'de'zhen'xiang 疑惑的真相
'yi'liao'zhi'wai 意料之外
'yi'lou'de'dong'xi 遗漏的东西
'yi'qu'bu'fan'de'jing'guan 一去不返的警官
'yi'ren'zong'dong'yuan 艺人总动员
'yi'wai'de'ba'zi 意外的靶子
'yi'wai'de'dui'shou 意外的对手
'yi'wai'de'li'you 意外的理由
'yi'wai'de'mu'biao 意外的目标
'yi'wai'de'qi'fa 意外的启发
'yi'wai'zhi'bao 意外之宝
'yi'xiang'bu'dao'de'yuan'yin 意想不到的原因
'yin'liao'ping'zhi'guai 饮料瓶之怪
'yin'se'zi'dan 银色子弹
'yin'yi'xue'nv'chuan'shuo 银衣雪女传说
'yin'yue'de'zu'ji 隐约的足迹
'ying'tian'men'zhi'bian 樱田门之变
'ying'you'de'biao'bai 瑛祐的表白
'ying'zi'she'ji'shi 影子设计师
'yong'gan'de'jue'ding 勇敢的决定
'yong'gan'de'jue'duan 勇敢的决断
'yong'jiao'gen'zhi'fu'le'dai'tu 用脚跟制伏了歹徒
'yong'sheng'yin'sha'ren 用声音杀人
'you'de'mu'ji'zhe 幼的目击者
'you'hei'zhi'de'nv'zi 有黑痣的女子
'you'huo'de'chi'ma 诱惑的赤马
'you'ling'mo'tian'lun 幽灵摩天轮
'you'ling'wu'zhi'mi 幽灵屋之谜
'yu'chun'de'mo'fang 愚蠢的模仿
'yu'gao'han 预告函
'yu'shi'jian 鱼事件
'yu'zhong'de'da'an 雨中的答案
'yu'zhong'de'ke'yin 雨中的刻印
'yu'zhong'de'si'ceng'xiang'shi 雨中的似曾相识
'yuan'hei'yi'zu'zhi'ke'xue'jia 原黑衣组织科学家
'yuan'tai'de'kuai'su'nei'jiao'qiu 元太的快速内角球
'yuan'tai'de'quan'tao 元太的圈套
'yuan'tai'de'zai'nan 元太的灾难
'yuan'zi'bi'zhi'mi 原子笔之谜
'yuan'zi'de'hong'shou'juan 园子的红手绢
'yue'xia 月下
'zai'hui 再会
'zha'dan'de'xia'luo 炸弹的下落
'zhan'li 战栗
'zhan'li'de'zong'pu 战栗的总谱
'zhan'mu'si'yue'han 詹姆斯约翰
'zhao'huan'si'wang'de'dan'zhi'shou'tao 招唤死亡的单只手套
'zhao'pian'de'xia'luo 照片的下落
'zhe'ge'shi'shang'zui 这个世上最
'zhe'jia'huo'zhen'wu'chi 这家伙真无耻
'zhe'jiu'shi'zhen'xiang 这就是真相
'zhe'shi'zhen'shi'de 这是真实的
'zhen'hun'qu 镇魂曲
'zhen'kong'de'sha'ren 真空的杀人
'zhen'tan 侦探
'zhen'tan'hui'zhang 侦探徽章
'zhen'tan'jia'zi'yuan 侦探甲子园
'zhen'tan'men'de'an'hun'qu 侦探们的安魂曲
'zhen'tan'men'de'ming'tui'li 侦探们的名推理
'zhen'tan'tuan'de'xue'ren 侦探团的雪人
'zhen'xiang'de'da'men 真相的大门
'zhen'xiang'jiu'ming 真相究明
'zhen'zheng'fan'ren'de'liu'yan 真正犯人的留言
'zheng'ju 证据
'zheng'ren'sheng'huan'le 证人生还了
'zhi'qiu'ding'shu'ying 直球定输赢
'zhi'you'yi'ge'mu'ji'zhe 只有一个目击者
'zhi'zao'mi'shi 制造密室
'zhi'zhu'gong'guan 蜘蛛公馆
'zhong'dian'zhan 终点站
'zhong'tou'jiang 中头奖
'zhong'yao'xian'yi'ren 重要嫌疑人
'zhui'luo'de'shi'ti 坠落的尸体
'zhui'zhu'lan'se'xiao'niao 追逐兰色小鸟
'zhui'zong'mu'biao 追踪目标
'zong'huo'kuang 纵火狂
'zou'bi'hua'ban 走壁滑板
'zu'qiu'yao'dai 足球腰带
'zui'chu'de'zhao'hu 最初的招呼
'zui'chu'hui'lian'ren 最出会恋人
'zui'hou'de'ke'neng'xing 最后的可能性
'zui'hou'de'wang'pai 最后的王牌
