'ai'gui 矮柜
'fen'lv'zhu 粉绿竹
'feng'bian 封边
'feng'dang 风挡
'feng'yang 枫杨
'feng'yi 凤扆
'fu'he'jiao'he'ban 复合胶合板
'fu'mian'jia'ju 覆面家具
'fu'shou'yi 扶手椅
'fu'yi 负扆
'fu'yi 黼扆
'gai'tiao 盖条
'gai'zhu'yuan 改竹圆
'gan'cheng 赶枨
'gan'ping 竿屏
'gan'zhu 甘竹
'gang'guan'jia'ju 钢管家具
'gang'mu'jia'ju 钢木家具
'gang'tie'jia'ju 钢铁家具
'gang'xing 刚性
'gang'zhu 刚竹
'ge'ban 隔板
'ge'ban 搁板
'ge'ji 搁几
'ge'jian 格肩
'ge'lu'xiao'xiang'ji 搁炉小香几
'ge'mu 格木
'ge'yin'ban 隔音板
'ge'zi 槅子
'gong'bei'ya'zi 弓背牙子
'gong'deng 宫灯
'gong'ting'jia'ju 宫廷家具
'gong'zhuo 供桌
'gong'zhuo 拱桌
'gou'gua'sun 勾挂榫
'gu'dian'yuan'lin'jia'ju 古典园林家具
'gu'ding'shi'deng'tai 固定式灯台
'gu'dun 鼓墩
'gu'pai'deng 骨牌凳
'gu'su'yuan'lin'jia'ju 姑苏园林家具
'gu'tui'peng'ya 鼓腿彭牙
'gua'di 刮底
'gua'dun 瓜墩
'gua'jin'mian'pen'jia 挂巾面盆架
'gua'jin'yuan'pen'jia 挂巾圆盆架
'gua'ping 挂屏
'gua'xian 刮线
'guan'dao'jiao 关刀脚
'guan'jiao'dang 管脚档
'guan'pi'xiang 官皮箱
'guan'tou 关头
'guan'xiang 官箱
'guang'shi'jia'ju 广式家具
'guang'zuo 广做
'gui'bei 龟背
'gui'cang 柜仓
'gui'chuang 龟床
'gui'fei'ta 贵妃榻
'gui'zi'shi'yi'zi 鬼子式椅子
'gun'cheng'jiao'ta 滚枨脚踏
'guo'tui'cheng 裹腿枨
'guo'tui'zuo 裹腿做
'hai'zuo 海做
'han'dai'tao'gui 汉代陶柜
'han'jiang'chu'tu'han'dai'shi'an 邗江出土汉代食案
'han'jiang'chu'tu'wu'dai'mu'ta 邗江出土五代木榻
'han'men'dong 汉门洞
'he'tao'jiu 核桃揪
'he'ye 合页
'hong'dou'mu 红豆木
'hong'mu 红木
'hong'mu'jia'ju 红木家具
'hong'mu'xiao'jian 红木小件
'hong'song 红松
'hou'ban 厚板
'hu'chuang 胡床
'hu'men'quan'kou 壶门券口
'hu'ping'ya'zi 壶瓶牙子
'hua'an 画案
'hua'ban 花板
'hua'dong'men 滑动门
'hua'ge 花格
'hua'ji 花几
'hua'lan'deng 花篮灯
'hua'lan'yi 花篮椅
'hua'li'mu 花梨木
'hua'mu 桦木
'hua'ping 画屏
'hua'qu'liu 花曲柳
'huang'bo'luo 黄波罗
'huang'dan 黄丹
'huang'di 皇邸
'huang'hua'li 黄花梨
'huang'hua'li'dai'men'quan'zi'jia'zi'chuang 黄花梨带门圈子架子床
'huang'hua'li'gua'jin'mian'pen'jia 黄花梨挂巾面盆架
'huang'hua'li'hua'niao'ban'zhuo 黄花梨花鸟半桌
'huang'hua'li'kao'bei'yi 黄花梨靠背椅
'huang'hua'li'liu'fang'fu'shou'yi 黄花梨六方扶手椅
'huang'hua'li'liu'zu'zhe'die'shi'ta 黄花梨六足折叠式榻
'huang'hua'li'mei'gui'yi 黄花梨玫瑰椅
'huang'hua'li'si'chu'tou'fu'shou'yi 黄花梨四出头扶手椅
'huang'hua'li'wan'tui'fang'deng 黄花梨弯腿方凳
'huang'hua'li'yue'dong'shi'men'zhao'jia'zi'chuang 黄花梨月洞式门罩架子床
'huang'shan 黄杉
'huang'yang'mu 黄杨木
'hui'yi 楎椸
'huo'wan 火弯
'ji'an 攲案
'ji'chi'mu 鸡翅木
'jia'ban'jia'ju 夹板家具
'jia'ge 架格
'jia'ju 家具
'jia'ju'pei'tao'she'ji 家具配套设计
'jia'ju'sheng'chan'hua'xue'hua 家具生产化学化
'jia'tou'sun 夹头榫
'jia'zi 架子
'jia'zi'chuang 架子床
'jian'duan 剪断
'jian'ji'leng 剑脊棱
'jian'tai 鉴台
'jiang'tui 桨腿
'jiang'yin'chu'tu'song'dai'kao'bei'yi 江阴出土宋代靠背椅
'jiao'chuang 交床
'jiao'chuang'zi 脚床子
'jiao'he'ban 胶合板
'jiao'ta 脚踏
'jiao'wu 交杌
'jiao'ya 脚牙
'jiao'ya 角牙
'jiao'yi 轿椅
'jiao'yi 交倚
'jiao'yi 交椅
'jie'gou'bu'jian 结构部件
'jie'gou'qiang'du 结构强度
'jie'zhuo 接桌
'jie'zi 结子
'jin'lun'beng 锦纶绷
'jin'ping 锦屏
'jin'qi'xiang'se'jia'ju 金漆镶色家具
'jin'shen 进深
'jing'an 经案
'jing'jia 镜架
'jing'lian 镜奁
'jing'lian 镜籢
'jing'ping 镜屏
'jing'shi'jia'ju 京式家具
'jing'shi'xiao'jian 京式小件
'jing'si 经笥
'jing'tai 镜台
'jing'zuo 京做
'jiu'wei'sun 鸠尾榫
'jiu'zhuo 酒桌
'ju'lu'chu'tu'bei'song'mu'yi 钜鹿出土北宋木椅
'ju'lu'chu'tu'bei'song'mu'zhuo 钜鹿出土北宋木桌
'ju'mu 榉木
'ju'mu'shuang'quan'jie'ping'tou'an 榉木双圈结平头案
'juan'chi 卷尺
'juan'men 卷门
'juan'zhu 卷珠
'kai'fang 开方
'kai'jian 开间
'kai'men 开门
'kai'yuan 开圆
'kang'xiang 扛箱
'kang'yi'kao'bei 炕椅靠背
'kang'zhuo 炕桌
'kao'bei'pian 靠背片
'kao'bei'yi 靠背椅
'kao'lao'yang 栲栳样
'kuang'chuang 筐床
'kuang'dang 框档
'kuang'jia 框架
'la'gan'jia'ju 腊杆家具
'la'mu'jia'ju 腊木家具
'lan'shui'xian 拦水线
'lan'yu 篮舆
'le'shui'hua'ya 勒水花牙
'leng'jiao'huo'hua'fa 冷胶活化法
'li'chuang 藜床
'li'gui 立柜
'li'ti'mu'wen'yin'shua 立体木纹印刷
'lian'bang'gun 联帮棍
'lian'dao'ba 镰刀把
'lian'er'chu 连二橱
'lian'san'chu 连三橱
'liang'chuang 凉床
'liang'ge'gui 亮格柜
'liang'jiao 亮脚
'liao'ci'zhu 料慈竹
'liu'an 柳安
'liu'fang'yi 六方椅
'liu'jiao'yi 六角椅
'liu'mu 柳木
'long'chuang 龙床
'long'feng'sun 龙凤榫
'lu'ban'chi 鲁班尺
'luo'guo'cheng 罗锅枨
'luo'han'chuang 罗汉床
'luo'quan'yi 罗圈椅
'luo'tang'mian 落塘面
'luo'ye'song 落叶松
'lv'zhu 绿竹
'ma'an'zuo'shen 马鞍坐身
'ma'ti'zu 马蹄足
'ma'wei'song 马尾松
'ma'wu 马杌
'ma'zha 马闸
'ma'zha'zi 马闸子
'ma'zhu 麻竹
'man'tang'hong 满堂红
'mao'bian'cai 毛边材
'mao'zhu'fan'huang'mian 毛竹反黄面
'mao'zhu'xiao'mian 毛竹销面
'mei'gui'yi 玫瑰椅
'mei'hua'deng 梅花凳
'mei'ren'ta 美人榻
'men'ban 门板
'men'hu'chu 闷户橱
'men'shan 门扇
'men'sun 闷榫
'men'wei'zi 门围子
'men'zhao 门罩
'mi'le'ta 弥勒榻
'mian'ban 面板
'mian'chuang 眠床
'mian'kuang 面框
'mian'pen'jia 面盆架
'mian'tiao 面条
'mian'ting 面挺
'mian'ye 面叶
'min'jian'jia'ju 民间家具
'ming'dai'zao'qi'mu'zhuo'he'qiao'shou'an 明代早期木桌和翘首案
'ming'hong'wu'shi'mu'chuang 明洪武时木床
'ming'jiao 明轿
'ming'shi'jia'ju 明式家具
'ming'sun 明榫
'mu'cai'ren'gong'gan'zao'fa 木材人工干燥法
'mu'cai'zi'ran'gan'zao'fa 木材自然干燥法
'mu'zuo 木作
'nan'chuang 南床
'nan'guan'mao'yi 南官帽椅
'nan'mu 楠木
'nan'zhu 南竹
'nao'zhen 脑枕
'nei'meng'gu'chu'tu'liao'dai'mu'chuang 内蒙古出土辽代木床
'nei'meng'gu'chu'tu'liao'dai'mu'yi 内蒙古出土辽代木椅
'nei'meng'gu'chu'tu'liao'dai'mu'zhuo 内蒙古出土辽代木桌
'ni'tan'mu'zhi'xian'wei'ban 泥炭木质纤维板
'ni'zhu 坭竹
'nie'jiao'xian 捏角线
'ning'shi'jia'ju 宁式家具
'niu'bi'huan 牛鼻环
'niu'tui'jiao 牛腿脚
'nong'dong'xian 弄洞线
'nuan'yi 暖椅
'pai'zi 拍子
'pan'ji 盘几
'pang'ban 旁板
'pao'ding 泡钉
'pao'ma'zha 跑马挓
'pao'tou 抛头
'pen'chu 喷出
'pi'dai'xian 皮带线
'pi'jiao'zuo 劈角做
'pi'liao'zuo 劈料做
'pi'shui'ya'zi 披水牙子
'pi'tiao'men 皮条门
'pi'tiao'xian 皮条线
'piao'yan 飘檐
'pie'jiao 撇脚
'pin'hua'jia'ju 拼花家具
'ping'bei'yi 屏背椅
'ping'feng 屏风
'ping'ji 凭几
'ping'ta 平榻
'ping'tou'an 平头案
'ping'yi 屏扆
'ping'zhang 屏幛
'ping'zhu 平竹
'po'mian 破面
'po'tou'xie 破头楔
'qi'dou'du 起兜肚
'qi'kou 企口
'qi'ma'zha 骑马挓
'qi'mu 桤木
'qi'mu'jia'ju 漆木家具
'qi'qi'jia'ju 漆器家具
'qi'qiao'ji 七巧几
'qi'xian 起线
'qi'yang'shi 祁阳石
'qi'zhuo 棋桌
'qi'zi'mu 杞梓木
'qia'zi'hua 卡子花
'qian'gui 钱柜
'qian'long'lu'jiao'yi 乾隆鹿角椅
'qian'pin'zhuo 千拼桌
'qian'zhu 嵌珠
'qiang'ban 墙板
'qiao'liang'dang 桥梁档
'qiao'mu'zuo 巧木作
'qiao'tou'an 翘头案
'qie'si 箧笥
'qin'jiao 琴脚
'qin'zhuo 琴桌
'qing'shi'jia'ju 清式家具
'qing'shui'huo 清水货
'qing'ting'tui 蜻艇腿
'qing'zhi'he'jin'jia'ju 轻质合金家具
'qiu'mu 楸木
'qu'chi 曲尺
'qu'ji 曲几
'qu'mu'jia'ju 曲木家具
'qu'qu 屈曲
'qu'shu'ping'feng 屈戍屏风
'quan'kou 圈口
'quan'kou'ya'zi 券口牙子
'quan'ti 筌蹄
'quan'yi 圈椅
'ren'zao'ban'jia'ju 人造板家具
'ren'zao'you'mu 人造柚木
'rou'ruan'jia'ju 柔软家具
'ru'qiang'yi'gui 入墙衣柜
'ruan'ti 软屉
'san'jiao'qi'jian 三角齐尖
'san'shi'mu 三式木
'san'wan'jiao 三弯脚
'se'mu 色木
'sha'fa 沙发
'sha'yuan'zhu 沙园竹
'sha'zhao'ping 纱照屏
'shan'ban 栅板
'shan'mu 杉木
'shan'tie'luo'zhu 山铁罗竹
'shan'yu'tou 鳝鱼头
'shan'zhuo 膳桌
'shang'dai'mu'tai'pan 商代木抬盘
'shang'dai'tong'san'lian'yan'zuo'jia 商代铜三联甗座架
'shang'mian 上面
'shen'jing'deng 什景灯
'sheng'chuang 绳床
'sheng'jiang'shi'deng'tai 升降式灯台
'shi'an 食案
'shi'deng 石灯
'shi'ge 食格
'shi'ping 石屏
'shi'zi'cheng 十字枨
'shu'an 书案
'shu'bei'yi 梳背椅
'shu'gen'teng'ying'jia'ju 树根藤瘿家具
'shu'juan'tou 书卷头
'shu'yao 束腰
'shu'zhuang'xiang 梳妆箱
'shuan'gan 闩竿
'shui'gou'cao 水沟槽
'shui'qu'liu 水曲柳
'shui'weng'yi 睡翁椅
'shui'zhu 水竹
'si'chu'tou'guan'mao'yi 四出头官帽椅
'si'jian'gui 四件柜
'si'xian'zhuo 四仙桌
'song'dai'luo'dian'zhuo'yi 宋代螺甸桌椅
'song'dai'shi'ping'feng 宋代石屏风
'song'dai'zhuan'shi'mu'fu'diao'jing'jia 宋代砖室墓浮雕镜架
'su'he'mu 塑合木
'su'liao'hua'mo'ta'yin 塑料画膜拓印
'su'liao'jia'ju 塑料家具
'su'liao'qian'tiao 塑料嵌条
'su'liao'tie'mian'ban 塑料贴面板
'su'liao'tie'mian'jia'ju 塑料贴面家具
'su'shi'jia'ju 苏式家具
'su'shi'xiao'jian 苏式小件
'su'zuo 苏做
'sui'liao'jiao'he'jia'ju 碎料胶合家具
'sun'he 榫合
'sun'jian 榫肩
'sun'ju 筍虡
'sun'ju 簨虡
'sun'mao 榫卯
'sun'she 榫舌
'sun'tou 榫头
'sun'tou'mao'yan 笋头卯眼
'sun'yan 榫眼
'ta'chuang 踏床
'ta'jiao'ban 踏脚板
'ta'jiao'dang 踏脚档
'tai'ping 台屏
'tai'shi'yi 太师椅
'tan'xiang 檀香
'tang'dai'chang'an 唐代长案
'tang'dai'yue'ya'wu'zi 唐代月牙杌子
'tao'ji 套几
'tao'jiao 套脚
'tao'sun 套榫
'tao'tiao'ban 绦条板
'tao'zhi'jia'ju 陶质家具
'te'da'fang 特大方
'te'hou'ban 特厚板
'teng'bian'zhu'jia'ju 藤编竹家具
'teng'chuang 藤床
'teng'yi 藤椅
'teng'zhi'jia'ju 藤制家具
'ti'ji 绨几
'ti'jie'chuang 梯阶床
'tian'gua'leng 甜瓜棱
'tian'pan'xian 天盘线
'tian'ran'ji 天然几
'tian'yuan'di'fang 天圆地方
'tian'zhu 甜竹
'tiao'an 条案
'tiao'wu'men 调五门
'tiao'xiang 调箱
'tiao'zhuo 条桌
'tie'hua'pian 贴花片
'tie'li'ban'zu'tiao'ji 铁力板足条几
'tie'mian'jia'ju 贴面家具
'ting'deng 桯凳
'tong'cao 通槽
'tong'shi'jian 铜饰件
'tou'sun 透榫
'tou'zi'zhuo 骰子桌
'tui'la'men 推拉门
'tuo'dang 托档
'tuo'jiao 拖脚
'tuo'jiao'sun 托角榫
'tuo'jiao'ya'zi 托角牙子
'tuo'ni 托泥
'tuo'sai 托腮
'tuo'shuan'ding 托闩钉
'tuo'zi 托子
'wa'wan 挖弯
'wa'yan'dai'guo'zuo'fa 挖烟袋锅做法
'wa'zhi'jia'ju 瓦质家具
'wai'fan'ma'ti 外翻马蹄
'wan'chu 碗橱
'wan'li'kuan'long'wen'hei'qi'yao'gui 万历款龙纹黑漆药柜
'wei'jiao 委角
'wei'ping 围屏
'wei'yi 围椅
'wen'mu 文木
'wen'wu'xian 文武线
'wen'yi 文椅
'wu'dai'san'zhe'da'ping'feng 五代三折大屏风
'wu'deng 杌凳
'wu'jiang'zhu'yi 吴江竹椅
'wu'mu 乌木
'wu'yao'zhu 乌药竹
'wu'zi 杌子
'xi'han'wu'cai'hua'ping'feng 西汉五彩画屏风
'xi'mu'gong'ban 细木工板
'xi'shi'lian 喜事连
'xi'wei'fu'shou'yi 西魏扶手椅
'xian'dai'jia'ju 现代家具
'xian'jiao 线脚
'xian'wei'ban 纤维板
'xian'wei'ban'jia'ju 纤维板家具
'xian'wei'bao'hua'ban 纤维刨花板
'xian'xiang'xian 线香线
'xian'yang 线样
'xian'yi 仙椅
'xian'yu'shu'jia 闲余书架
'xiang'fei'zhu 湘妃竹
'xiang'gui 箱柜
'xiang'ji 香几
'xiang'mo'lin'fei'ji 项墨林棐几
'xiang'ping'mian 镶平面
'xiang'zhu'ta 湘竹榻
'xiao'fang 小方
'xiao'mu'yi 小木椅
'xiao'mu'zuo 小木作
'xiao'ta 小榻
'xie'ding'sun 楔钉榫
'xing'zhang 行障
'xiu'dun 绣墩
'xu'xiang 虚镶
'xun'ju 栒虡
'ya'ban 牙板
'ya'jiao 牙角
'ya'pian 压片
'ya'pian'ding 压片钉
'ya'tiao 牙条
'ya'wei'zi'shi 鸭尾子式
'ya'wen'bao'hua'ban 压纹刨花板
'ya'zi 牙子
'yan'ji 燕几
'yan'ping 砚屏
'yan'wei'sun 燕尾榫
'yan'zhu 烟竹
'yang'ban 样板
'yang'deng 秧凳
'yang'xian 阳线
'yao'chu 药橱
'yao'gan 摇竿
'yi'feng'shu'zhuo 一封书桌
'yi'gui 衣柜
'yi'jia 衣架
'yi'long 衣笼
'yi'men 移门
'yi'pan 椅盘
'yi'quan 椅圈
'yi'si 衣笥
'yi'tong'bei 一统碑
'yi'tui'san'ya 一腿三牙
'yi'xiang 衣箱
'yi'zheng'chu'tu'xi'han'qi'an 仪征出土西汉漆案
'yi'zi 椅子
'yin'ji 隐几
'yin'nang 隐囊
'yin'xing 银杏
'ying'mian 迎面
'ying'mu 瘿木
'ying'mu'jia'ju 硬木家具
'ying'tiao 影条
'ying'zhi'mu'xian'wei'ban 硬质木纤维板
'yong'shi 永石
'you'mu 柚木
'you'zhuo 油桌
'yu'jia 郁架
'yu'mu 榆木
'yuan'bang'sun 圆棒榫
'yuan'dai'bi'hua'de'hua'ji 元代壁画的花几
'yuan'dai'bi'hua'zhong'de'chang'fang'zhuo 元代壁画中的长方桌
'yuan'jiao'gui 圆角柜
'yuan'pen'jia 圆盆架
'yuan'yi 圆椅
'yuan'zhuo 圆桌
'yue'ya'fu'shou 月牙扶手
'yue'ya'zhuo 月牙桌
'yun'mu 云木
'yun'ping 云屏
'zai'sun 栽榫
'zai'xiao 栽销
'zha'sun 札榫
'zhan'guo'cai'hui'qi'mu'chuang 战国彩绘漆木床
'zhan'guo'diao'hua'mu'ji 战国雕花木几
'zhan'guo'jin'yin'cai'hui'qi'an 战国金银彩绘漆案
'zhan'guo'qi'mu'xiang 战国漆木箱
'zhan'guo'tong'fang'an 战国铜方案
'zhan'ya 站牙
'zhang'gou 帐构
'zhang'mu'xiang 樟木箱
'zhang'zhuo 账桌
'zhe'chi 折尺
'zhe'die'dan'kao 折叠单靠
'zhe'die'men 折叠门
'zhe'die'shi'jia'ju 折叠式家具
'zhe'ping 折屏
'zhen'shou 枕首
'zhen'tou 枕头
'zheng'bian'cai 整边材
'zheng'ti'yi'gui 整体衣柜
'zhi'bei'jiao'yi 直背交椅
'zhi'jiao'fang'sun 直角方榫
'zhi'ma'geng 芝麻梗
'zhong'ban 中板
'zhong'fang 中方
'zhong'pai'zi 中牌子
'zhu'cai'lao'hua 竹材烙花
'zhu'cai'zhuo'se 竹材着色
'zhu'ding 竹钉
'zhu'kao'yi 竹靠椅
'zhu'mian 竹面
'zhu'pan'hun 竹爿浑
'zhu'qi'jia'ju 朱漆家具
'zhu'qing'jiao'mian 竹青胶面
'zhu'quan'yi 竹圈椅
'zhu'ta'deng 竹踏凳
'zhu'zhi'bao'hua'ban 竹质刨花板
'zhu'zhi'jia'ju 竹制家具
'zhu'zi 竹子
'zhuan'ping 转屏
'zhuan'yi 转椅
'zhuan'zhu'chan'yi 专诸禅椅
'zhuang'ban 装板
'zhuang'shi'ban 装饰板
'zhuang'shi'bu'jian 装饰部件
'zhuo'xing'jie'gou 桌型结构
'zi'jiang 梓匠
'zi'kou 子口
'zi'ren 梓人
'zi'tan 紫檀
'zi'tan'hei'qi'zhuo'mian'hua'zhuo 紫檀黑漆桌面画桌
'zi'tan'ling'zhi'wen'hua'zhuo 紫檀灵芝纹画桌
'zi'tan'mu'fang'deng 紫檀木方凳
'zi'tan'mu'si'kai'guang'zuo'dun 紫檀木四开光坐墩
'zi'tan'you'shu'yao'dai'tuo'ni'he'hua'yi 紫檀有束腰带托泥荷花椅
'zong'beng 棕绷
'zong'jiao'sun 粽角榫
'zou'ma'xiao 走马销
'zu'deng 足凳
'zu'he'jia'ju 组合家具
'zuo'dun 坐墩
'zuo'gui 座柜
'zuo'jiao 坐轿
'zuo'mu 柞木
'zuo'ping 座屏
