'a'bi'la'ma'le'da 阿比拉玛勒达
'chu'wu 初舞
'chu'wu'yue'bai 初舞月白
'chuan'dian 穿点
'chuan'dian'beng'dian 穿点崩点
'chuan'jie'men 穿界门
'chuan'ling'bu 传令部
'chuan'shang'you'zi 川上友子
'chun'gui 椿鬼
'chun'qiu 春秋
'chun'shui 春水
'ci'lou'fang 慈楼坊
'ci'wu 次舞
'ci'wu'bai'lian 次舞白涟
'cong'shu'guan 从属官
'cui'lv'she'qiang 翠绿射枪
'da'bai 大白
'da'chuan'tou 大川透
'da'dao'li'yi 大岛丽一
'da'gui'dao'zhang 大鬼道长
'da'hong'lian'bing'lun'wan 大红莲冰轮丸
'da'hong'lian'bing'lun'wan 大红莲氷轮丸
'da'lei'yu'zhen'she'yu 大雷雨阵射鱼
'da'lu'ke 达鲁克
'da'qian'tian 大前田
'da'qian'tian'xi'qian'dai 大前田希千代
'da'qian'tian'xi'qian'he 大前田希千和
'da'xu 大虚
'da'yuan 大原
'da'zhong'fang'zhong 大冢芳忠
'da'zhong'ming'fu 大冢明夫
'dai'si'la 戴斯拉
'dai'si'le 戴斯乐
'dao'ben'xu'mei 岛本须美
'dao'jian'jie'fang 刀剑解放
'dao'shan'jing 倒山晶
'dao'tian'che 稲田彻
'de'mo'wu'la 德莫乌拉
'di'er'hao'hua'he'she'fa'ju'zhi'hua'kai 第二号花鹤射法拘之花开
'di'er'shi'xi 第二十席
'di'fu'ling 地缚灵
'di'luo'yi 迪罗伊
'di'qi'xi 第七席
'di'san'xi 第三席
'di'tang'chun'xin 狄堂春信
'di'tang'chun'xin 荻堂春信
'di'wu'xi'guan 第五席官
'di'ya'he'li'bei'er 蒂雅赫丽贝尔
'di'yu'die 地狱蝶
'diao'xing 吊星
'ding'gong 钉宫
'ding'gong'bing 钉宫病
'ding'gong'li'hui 钉宫理恵
'ding'gong'li'hui 钉宫理惠
'dong'de'qia'ka 冬德恰卡
'dong'de'qia'ka 咚德恰卡
'dong'shi'lang 冬狮郎
'dong'xian 东仙
'dong'xian'yao 东仙要
'dong'yun 冻云
'dou'da'ren 都大人
'du'feng'li'lu'ka 毒峰莉露卡
'du'yan'zhao 独眼罩
'duan'cang'wan 断蔵丸
'duan'di'feng 断地风
'duan'jie 断界
'duan'kong 断空
'duan'pu 断瀑
'duan'zuo'shuang'tian 端坐霜天
'duan'zuo'yu'shuang'tian 端坐于霜天
'dui'ling'zi'de'li'shu 对灵子的隶属
'dui'ling'zi'de'shou'shu 对灵子的收束
'dui'she 队舍
'dun'shun'liu'hua 盾舜六花
'duo'er'duo'ni 多尔多尼
'duo'lu'tuo'ni 多鲁托尼
'duo'zhu 仛助
'e'mo'de'zuo'bi 恶魔的左臂
'er'duan'gui'ren 二段归刃
'fa'dong'yu 发动语
'fan'dao'zhao 饭岛肇
'fan'gui'xiang'sha 反鬼相杀
'fan'mo 反膜
'fan'mo'zhi'fei 反膜之匪
'fang'po'mian 仿破面
'fei'fan'dui 非番队
'fei'fei'wang'she'wei'wan 狒狒王蛇尾丸
'fei'gu'da'pao 狒骨大炮
'fei'lian'jiao 飞帘脚
'fei'lian'jiao 飞廉脚
'fei'lian'jiao 飞镰脚
'fei'long'ji'zei'zhen'tian'lei'pao 飞龙击贼震天雷炮
'fei'mei 飞梅
'fei'tian'zhan'nan 飞田展男
'fei'xiang'shui'che'tu 飞翔水车突
'fei'ya'jue'yao 狒牙绝咬
'fei'yan 废炎
'fei'yan'lian'ku 飞燕连哭
'fei'zhen 绯真
'fen'duo'er'kai'li'ya'si 芬朵尔凯利亚司
'fen'shou 愤兽
'feng'hua'shui'yue 风花水月
'feng'jia 蜂家
'feng'jing'ye 凤镜夜
'feng'ling'kao 封灵铐
'feng'qiao'lou'shi'lang 凤桥楼十郎
'feng'shao'ling 蜂梢绫
'feng'shui'fu'zhi 风水缚止
'feng'si 风死
'feng'wen'hua 蜂纹华
'fo'rui'de 佛瑞德
'fu'dao'jiu'shi'jiu'di'er'fan'wan'jin 缚道九十九第二番卍禁
'fu'dao'jiu'shi'jiu'jin 缚道九十九禁
'fu'dao'liu'shi'yi'liu'zhang'guang'lao 缚道六十一六杖光牢
'fu'dao'min'xing 福岛敏行
'fu'dao'qi'shi'qi'tian'ting'kong'luo 缚道七十七天挺空罗
'fu'dao'zhi'wu'shi'ba'guai'zhi'zhui'que 缚道之五十八掴趾追雀
'fu'huo 伏火
'fu'le 弗勒
'fu'li'duo 福利多
'fu'lu 浮露
'fu'mei'zi 富美子
'fu'shan'run 福山润
'fu'zhan 抚斩
'fu'zhu 浮竹
'fu'zhu'dui'zhang 浮竹队长
'fu'zhu'shi'si'lang 浮竹十四郎
'fu'zhu'shi'si'lang'jia 浮竹十四郎家
'ga'li'fan 咖喱饭
'gai'zao'hun'po 改造魂魄
'gang'pi 钢皮
'gang'teng'bai'en 刚腾拜恩
'gang'teng'bai'en 刚藤拜恩
'gang'teng'bai'en'mo'si'kai'da 刚藤拜恩摩斯凯达
'gao'mu'she 高木涉
'gao'mu'she 高木渉
'gao'mu'zuo'he'zi 高木佐和子
'ge'de 歌德
'ge'li'mu'qiao 葛力姆乔
'ge'li'mu'qiao'jia'ka'jie'ke 葛力姆乔贾卡杰克
'ge'lu 葛露
'ge'wei 戈薇
'ge'zhi 葛织
'geng'mu'dui'zhang 更木队长
'geng'mu'jian'ba 更木剣八
'gong'qin 弓亲
'gong'teng'chang'shi 工藤昌史
'gong'tian'xing'ji 宫田幸季
'gou'gou 狗狗
'gu'de'yun'te 古德云特
'gu'he'gang 古贺刚
'gu'lan'zi 古兰兹
'gu'tian'zhan'dun 孤天斩盾
'gu'ze'che 古泽彻
'guan'ban'si'dan'fang 贯坂兕丹坊
'guan'jun'yan 关俊彦
'guan'yin'si 观音寺
'guang'lai'zheng'zhi 广濑正志
'guang'ming'nv'shen 光明女神
'guang'zhi'nv'shen 光之女神
'guang'zhi'yu 光之雨
'gui'dao 鬼道
'gui'dao'zhi'lie'huo'pao 鬼道之烈火炮
'gui'dao'zhong 鬼道众
'gui'deng'wan 鬼灯丸
'gui'deng'wan 鬼燈丸
'gui'ren 归刃
'gui'shan'xiu'zhi 桧山修之
'gui'zuo'mu'xiu'bing 桧佐木修兵
'guo'da'she 馘大蛇
'guo'zhi'ling 国枝铃
'guo'zhi'ling'jiao 国枝铃角
'hai'lu 海露
'hai'yan'da 海燕大
'hai'yan'da'ren 海燕大人
'he'li'bei'er 赫丽贝儿
'he'li'bei'er 赫丽贝尔
'he'li'bei'er'gu'luo'bi'wa'si 赫丽贝尔古罗比瓦斯
'hei'cao'mei 黑草莓
'hei'guan 黑棺
'hei'guan 黒棺
'hei'qi 黑崎
'hei'qi'cao'mei 黑崎草莓
'hei'qi'jun 黑崎君
'hei'qi'tong'xue 黑崎同学
'hei'qi'xia'li 黑崎夏梨
'hei'qi'yi'hu 黑崎一护
'hei'qi'yi'xin 黑崎一心
'hei'qi'you'zi 黑崎游子
'hei'qi'zhen'guan 黑崎真关
'hei'qi'zhen'xiao 黑崎真咲
'hei'se'de'yue'ya'tian'chong 黑色的月牙天冲
'hei'sheng'tian'qian'ming'wang 黑绳天谴明王
'hei'xu'shan 黑虚闪
'hei'yi'da'mo 黑翼大魔
'hei'zhi'yue 黑之月
'hong'fei'huang 红飞蝗
'hong'ji 红姬
'hong'xia 虹霞
'hong'zhen 红姫
'hu'che 虎彻
'hu'che'qing'yin 虎彻清音
'hu'che'yong'yin 虎彻勇音
'hu'fu'lin 壶府琳
'hu'huan'ni'de'ming'zi 呼唤你的名字
'hu'que 弧雀
'hu'ting'shi'san'dui 护庭十三队
'hu'ting'shi'san'dui 护廷十三队
'hu'ting'shi'san'fan'dui 护廷十三番队
'hu'wan 瓠丸
'hu'ya'xun'feng 虎牙迅风
'hu'yin 虎音
'hua'feng'luan'hua'shen'ti 花风乱花神啼
'hua'he'she'fa 花鹤射法
'hua'lu 花露
'hua'tai'lang 花太郎
'hua'tian'kuang'gu 花天狂骨
'hua'yi'shen'tai 花刈甚太
'hua'zang 花葬
'huang'jiao'hou 皇鲛后
'huang'juan'zhen'mu'zao 荒卷真木造
'hui'kou 毁鷇
'hui'mao 灰猫
'hui'sheng 灰绳
'hun'shou 魂兽
'hun'shou 魂狩
'hun'shou'shen 混兽神
'hun'xi 魂吸
'hun'zang 魂葬
'huo'fen'cheng'guo 火焚城郭
'huo'shan'shou 火山兽
'huo'wu'ju 火无菊
'ji'er'jia 吉尔加
'ji'li'an 基力安
'ji'liang 吉良
'ji'liang'jing'he 吉良井鹤
'ji'liang'yi'he 吉良伊鹤
'ji'luo'xiao'yan 吉罗晓彦
'ji'ou'wei'ge 吉欧魏格
'ji'shu'kai'fa'ju 技术开发局
'jia'di'kui 加地葵
'jia'ka'jie'ke 贾卡杰克
'jia'mian 假面
'jia'mian'jun'tuan 假面军团
'jian'ba 剑八
'jian'gen 健根
'jian'gen'xian'sheng 键根先生
'jian'jing 歼景
'jian'jing'qian'ben'ying'jing'yan 歼景千本桜景厳
'jian'jing'qian'ben'ying'jing'yan 歼景千本樱景严
'jian'sheng'long'zhi 菅生隆之
'jiang'gui 将贵
'jie'cheng'bi'lv 结城比吕
'jie'chu'xian'ding 解除限定
'jie'fang'yu 解放语
'jin'cun 津村
'jin'di'zhe'sha 尽敌蛰杀
'jin'se'pi'sha'di'cang 金色疋杀地蔵
'jin'se'pi'sha'di'zang 金色疋杀地藏
'jin'sha'luo 金沙罗
'jin'sha'luo'zou'qu 金沙罗奏曲
'jin'shi'zi'jiang 金狮子将
'jin'shu 禁术
'jin'yan 金彦
'jing'hua'shui'yue 镜花水月
'jing'le 京乐
'jing'le'chun'shui 京乐春水
'jing'ling'bi 瀞灵壁
'jing'ling'bi 静灵壁
'jing'ling'men 瀞灵门
'jing'ling'ting 净灵廷
'jing'ling'ting 瀞灵廷
'jing'ling'ting 静灵庭
'jing'ling'ting 静灵廷
'jing'ling'ting'de'yin'mou'zhi'qiu 瀞灵廷的阴谋之秋
'jing'lu 井露
'jing'men 镜门
'jing'shang 井上
'jing'shang'gong'zhu 井上公主
'jing'shang'min 井上旻
'jing'shang'zhi'ji 井上织姬
'jing'shang'zhi'zhen 井上织姫
'jing'shen'ti 精神体
'jing'yue'dui'chang 京乐队长
'jing'zi 京紫
'jiu'bao 久保
'jiu'bao 酒饱
'jiu'bao'da'ren 久保大人
'jiu'bao'dai'ren 久保带人
'jiu'bao'dai'ren 久保帯人
'jiu'bao'xuan'zhang 久保宣章
'jiu'chuan'ling 久川绫
'jiu'nan'bai 久南白
'jiu'nan'bai'yuan'jiu'fan'dui'fu'dui'zhang 久南白原九番队副队长
'jiu'xiang'lun'sha 九相轮杀
'ju'liu 拘流
'ju'tu 拘突
'ju'wan'jing 巨腕鲸
'ju'xiang'bing 巨象兵
'ju'zhi'hua'kai 拘之花开
'juan'juan 卷卷
'ka'di'xie 卡迪谢
'ke'ya'tai'shi'ta'ke 柯雅泰史塔克
'ken'en 肯恩
'keng'jing 吭景
'kong'chan 空蝉
'kong'he 空鹤
'kong'he'da'jie 空鹤大姐
'kong'jian'zhuan'wei 空间转位
'kong'jian'zhuan'yi 空间转移
'kong'zhan'jiu 空战鹫
'kong'zuo'ding 空座町
'ku'long'sa'qi'yi'ji'gu 枯咙萨柒壹既咕
'ku'lou'da'di 骷髅大帝
'ku'lou'jun'tuan 骷髅军团
'ku'lou'shu 骷髅树
'ku'nei'guang'xing 堀内广行
'kuang'jia'xi'shuai 狂伽蟋蟀
'lan'da 蓝大
'lan'lu 蓝露
'lan'ran 蓝染
'lan'ran'zong'you'jie 蓝染总佑介
'lan'ran'zong'you'jie 蓝染总右介
'lan'tao 蓝桃
'lei'hou'pao 雷吼炮
'lei'ting'zhi'qiang 雷霆之枪
'lei'ya 雷牙
'lei'zi'ai'er 雷兹艾尔
'li'ji 理吉
'li'ji'zhong'jing 理吉中井
'li'li 莉莉
'li'li'ni'te 莉莉妮特
'li'lin 莉琳
'li'ling 莉玲
'li'mu'wen'yan 立木文彦
'li'ou'ni'si 里欧尼斯
'li'sha 莉莎
'li'te'fei'er'te 利特菲尔特
'li'ting'dui 里挺队
'li'zi 丽滋
'lian'ci 恋次
'lian'lu 恋露
'lian'yi 恋一
'liang'cha'se 亮茶色
'liang'tian'qing'zhi 梁田清之
'lie'feng 烈风
'ling'bo'ji'ce'suo 灵波计测所
'ling'fan'dui 零番队
'ling'gong 灵弓
'ling'hun'xi 灵魂吸
'ling'lai'chuan'gong'qin 绫濑川弓亲
'ling'luo 灵络
'ling'qi'shi 羚骑士
'ling'ya 灵压
'ling'ya'jie'fang 灵压解放
'ling'yi'ge'bing'lun'wan 另一个冰轮丸
'ling'zhu'he 灵珠核
'ling'zi 灵子
'ling'zi'bing'zhuang 灵子兵装
'ling'zi'zhuan'huan'ji 灵子转换机
'liu'che'jiu'fan'dui 六车九番队
'liu'che'quan'xi 六车拳西
'liu'che'quan'xi'yuan'jiu'fan'dui'dui'zhang 六车拳西原九番队队长
'liu'hun'jie 流魂街
'liu'li 琉璃
'liu'li'jiang 琉璃酱
'liu'li'kong'que 琉璃孔雀
'liu'li'qian'dai 琉璃千代
'liu'li'se'kong'que 琉璃色孔雀
'liu'li'se'teng'kong'que 琉璃色藤孔雀
'liu'ren'ruo'huo 流刃若火
'liu'zhang'guang'lao 六丈光牢
'liu'zhang'guang'lao 六杖光牢
'long'gui 龙贵
'long'quan 龙拳
'long'wen'gui'deng'wan 竜纹鬼灯丸
'long'wen'gui'deng'wan 龙纹鬼灯丸
'long'xian 龙弦
'long'xian'jia 龙霰架
'lu'bi 露比
'lu'chao'shi'lang 鹭巣诗郎
'lu'de'ben 路德本
'lu'er 露儿
'lu'hou'gong 露后宫
'lu'jing 露井
'lu'ling'chong 录灵虫
'lu'lu 路鲁
'lu'lu 露露
'lu'lu'dian'xia 露露殿下
'lu'lu'jiang 露露酱
'lu'lu'mei'mei 露露美眉
'lu'mi'na 卢米纳
'lu'nv'wang 露女王
'lu'qi'ya 露琪亚
'lu'qi'ya'jiang 露琪亚酱
'lu'qi'ya'jie 露琪亚节
'lu'qi'ya'mei'mei 露琪亚妹妹
'lu'qi'ya'xiao'jie 露琪亚小姐
'lu'yi 露一
'lu'zhi 露织
'lu'zong'shou 露总受
'luan'ju 乱菊
'luan'ju'da'jie 乱菊大姐
'luan'zhuang'tian'kui 乱装天傀
'luo'li 洛莉
'luo'wei'shi'ren 落位十刃
'luo'wu 罗武
'luo'zi 罗兹
'luo'zi'yuan'san'fan'dui'dui'zhang 罗兹原三番队队长
'lv'bei 绿杯
'lv'huo 旅祸
'ma'er'jie'la 马尔杰拉
'ma'qiao 马桥
'mao'da'jie 卯大姐
'mao'li'qian'bei 毛利前辈
'mao'xiong 茂雄
'mao'zhi'hua 卯之花
'mao'zhi'hua'dui'zhang 卯之花队长
'mao'zhi'hua'lie 卯之花烈
'mei'da'sai'pi 梅达赛皮
'mei'ding'min'sheng 梅定敏盛
'mei'nuo'li 梅诺莉
'mei'ruo'li 梅若丽
'mei'sa 梅萨
'mei'yan 梅严
'men'cheng'si'chen'fang 门乘寺辰房
'mi'la'luo'ci 米拉罗慈
'mi'la'luo'zi 米菈罗兹
'mi'le'wan 弥勒丸
'mian'wen 面纹
'mie'huo'huang'zi 灭火皇子
'mie'que'shi 灭却师
'mie'que'zhuan'jing 灭却专精
'mie'wang'zhi'fu 灭亡之斧
'mie'zi 灭紫
'ming'wang 明王
'mo'si'ke'da 莫司克达
'mu'ji'mao'zi 木屐帽子
'na'jian'jia'rong 纳见佳容
'na'qi'mu 纳奇姆
'nan'bu'yan'yi'lang 南部研一郎
'nan'xing'si'shen'xie'hui 男性死神协会
'ni'er'ge'pa'er'duo'ke 尼尔格帕尔多克
'ni'fu 逆拂
'ni'li'ai'lu 妮莉艾露
'ni'li'ai'lu'du'ou'de'fan'xiu'ke 妮莉艾露杜欧德凡修克
'ni'li'ai'lu'du'ou'de'xiu'fan'ke 妮莉艾露杜欧德修凡克
'ni'lu 妮露
'ni'lu'du 妮露杜
'niao'niang 茑娘
'niao'niang 茑嬢
'nie'yin'meng 涅音梦
'nie'yin'wu 涅音无
'nu'ni'gang'ka 努尼刚卡
'nuo'mi'nian'gao'dou'zhou 糯米年糕豆粥
'nuo'yi'te'la 诺伊特拉
'nuo'yi'te'la'ji'er'jia 诺伊特拉吉尔加
'nv'wang 女王
'nv'xing'si'shen'xie'hui 女性死神协会
'pao'xiao'ba'she'wei'wan 咆哮吧蛇尾丸
'pei'xue 沛薛
'pei'xue'ka'di'xie 沛薛卡迪谢
'peng'he'pan 鹏和磐
'peng'pan 鹏磐
'pi'niao 劈鸟
'pi'sha'di'zang 疋杀地藏
'pi'wu 劈乌
'piao'ling 漂灵
'ping'song'jing'zi 平松晶子
'ping'song'pin'zi 平松品子
'ping'zi 平子
'ping'zi'zhen'zi 平子真子
'ping'zi'zhen'zi'yuan'wu'fan'dui'dui'zhang 平子真子原五番队队长
'po'dao 破道
'po'dao'jiu'shi'hei'guan 破道九十黒棺
'po'dao'san'shi'san'cang'huo'zhui 破道三十三苍火坠
'po'dao'san'shi'yi'chi'huo'pao 破道三十一赤火炮
'po'dao'si'bai'lei 破道四白雷
'po'dao'zhi'ba'shi'ba'fei'long'ji'zei'zhen'tian'lei'pao 破道之八十八飛龍擊賊震天雷炮
'po'dao'zhi'jiu'shi'hei'zhi'yue 破道之九十黑之月
'po'dao'zhi'jiu'shi'jiu'yin 破道之九十九銀
'po'dao'zhi'liu'shi'san'lei'hou'pao 破道之六十三雷吼炮
'po'dao'zhi'wu'shi'ba'tian'lan 破到之五十八天嵐
'po'mang'zhen 破芒阵
'po'mian 破面
'po'mian'lu 破面露
'po'qi'yong'chang 破弃咏唱
'pu'la'ti'duo 普拉提多
'pu'lu 浦露
'pu'lu'mei 朴璐美
'pu'lu'mei 朴路美
'pu'yuan 浦原
'pu'yuan'shang'dian 浦原商店
'pu'yuan'xi'zhu 浦原喜助
'qi'lu'qi 齐鲁奇
'qi'lu'qi'shan'da'wei'qi 奇鲁奇山达威奇
'qi'mu'mei'fan 齐木美帆
'qi'nong'bo 奇农波
'qi'teng'ci'lang 齐藤次郎
'qi'wu 启吾
'qi'xu 七绪
'qian'ben'ying 千本樱
'qian'ben'ying'jing'yan 千本桜景厳
'qian'ben'ying'jing'yan 千本樱景严
'qian'da 浅打
'qian'lei 茜泪
'qian'na 茜雫
'qian'nian'bing'lao 千年冰牢
'qian'sui'lv 千岁绿
'qian'tian'qi'wu 浅田启吾
'qian'xing'qian 牵星箝
'qian'xing'xiang 牵星箱
'qian'ye 浅野
'qian'ye'fan 千叶繁
'qian'ye'jin'bu 千叶进步
'qian'ye'qi'wu 浅野启吾
'qian'ye'rui'hui 浅野瑞慧
'qian'ye'rui'sui 浅野瑞穗
'qian'ye'tong'xue 浅野同学
'qiang'sha'yu 枪纱雨
'qie'hun'zhi'wu 切魂之物
'qing'chong 清虫
'qing'chong'bai'shi 清虫百式
'qing'chong'zhong'shi 清虫终式
'qing'chuan'yuan'meng 清川元梦
'qing'kong 晴空
'qing'mian 黥面
'qing'shan 青山
'qing'shan'rang 青山穣
'qing'yin 清音
'qu'chong'zhi'chao 蛆虫之巢
'qu'guang 曲光
'quan'xi 拳西
'que'bu'chang'ci'lang 雀步长次郎
'que'bu'zhang'ci'lang 雀部长次郎
'que'feng 雀蜂
'que'feng'lei'gong'bian 雀蜂雷公鞭
'qun'lang 群狼
'qun'niao'bing'zhu 群鸟冰柱
'ri'fan'gu 日番谷
'ri'fan'gu'dong'shi'lang 日番谷冬狮郎
'ri'fan'gu'dong'shi'lang 日番谷冬獅郎
'ri'lu 日露
'ri'shi'li 日世里
'ri'ye'xiang'sui'zi 日野香穗子
'rong'he'xu'shan 融合虚闪
'run'lin'an 润林安
'ruo'si'shen 若死神
'sa'a'bo'luo'ge'lan'zi 萨阿波罗格兰兹
'sa'er'a'bo'luo 萨尔阿波罗
'san'ling'shou'tao 散灵手套
'san'luo'ji'yi'zhong'de'sui'pian 散落记忆中的碎片
'san'mu'zhen'yi'lang 三木真一郎
'san'tian'jie'dun 三天结盾
'san'wu 三舞
'san'wu'bai'dao 三舞白刀
'san'zhai'jian'tai 三宅健太
'san'zhi'wu 三之舞
'sang'da'wei'qi 桑达薇琪
'sang'ta'lu'qi'ya 桑塔露琪亚
'sen'chuan'zhi'zhi 森川智之
'sen'tian 森田
'sen'tian'cheng'yi 森田成一
'sen'tian'shu'shu 森田叔叔
'sen'zhe 森折
'sen'zhe'wang'dao 森折王道
'sha'qi'shi 杀气石
'shan'ben'lao'tou 山本老头
'shan'ben'yuan'liu'qi'zhong'guo 山本元柳齐重国
'shan'ben'yuan'liu'zhai 山本元柳斋
'shan'ben'zong'dui'zhang 山本总队长
'shan'hua 闪花
'shan'kou'tai'lang 山口太郎
'shan'lao'tou 山老头
'shan'shan'ji'zhang 杉山纪彰
'shan'tian 杉田
'shan'tian'hua'tai'lang 山田花太郎
'shan'tian'zhi'he 杉田智和
'shang'gu'xiu'fu 上谷秀夫
'shao'ling 梢绫
'she'chang 射场
'she'chang'tie'zuo 射场铁左
'she'chang'tie'zuo'wei'men 射场鉄左卫门
'she'chang'tie'zuo'wei'men 射场铁左卫门
'she'qi'yong'chang 舍弃咏唱
'she'wei'fei'fei 蛇尾狒狒
'she'wei'wan 蛇尾丸
'shen'qiang 神鎗
'shen'tai 甚太
'sheng'guang'hong'xia 圣光虹霞
'sheng'ku'tang'lang 圣哭螳螂
'sheng'lu'qi'ya 圣露琪亚
'sheng'sheng'zhen'sha'zi 胜生真沙子
'sheng'shi 圣噬
'sheng'tian'mu'ren'mei 生天目仁美
'shi'bo 石波
'shi'chuan'cheng'zhi 十川诚志
'shi'chuan'ying'lang 石川英郎
'shi'dong'wan'li'sha 矢胴丸莉纱
'shi'dong'wan'li'sha 矢胴丸莉莎
'shi'dong'wan'li'sha'yuan'ba'fan'dui'fu'dui'zhang 矢胴丸莉莎原八番队副队长
'shi'hun'jie 尸魂界
'shi'jian'ting'zhi 时间停止
'shi'jie 始解
'shi'liu'ye'qiang'wei 十六夜蔷薇
'shi'ren 十刃
'shi'ren'de'ti'chu'zhe 十刃的剔除者
'shi'san'fan'dui 十三番队
'shi'ta'ke 史塔克
'shi'tian 石田
'shi'tian'long'xian 石田龙弦
'shi'tian'yu'long 石田雨龙
'shi'tian'zong'xian 石田宗弦
'shi'wan 市丸
'shi'wan'dui'zhang 市丸队长
'shi'wan'yin 市丸银
'shi'xu 噬虚
'shi'zi'jiao'xing'tai 十字绞刑台
'shou'kao 手铐
'shou'shi 狩矢
'shou'shi'shen 狩矢神
'shou'tai'gao'zhi 受胎告知
'shu'diao 戍吊
'shuang'chong'yong'chang 双重咏唱
'shuang'er'xiang'zhuan 双儿响转
'shuang'li'ting 双鲤挺
'shuang'lian'cang'huo'zhui 双莲苍火坠
'shuang'tian'gui'dun 双天归盾
'shuang'yu'li 双鱼理
'shuang'yu'li 双鱼鲤
'shui'se 水色
'shui'tian'ni'juan 水天逆卷
'shun'bu 瞬步
'shun'hong 瞬閧
'shun'hua 瞬花
'shun'kai 瞬开
'shun'shen'ye'yi 瞬神夜一
'shun'ying 舜樱
'si'dan'fang 兕丹坊
'si'feng'yuan 四枫院
'si'feng'yuan'jia 四枫院家
'si'feng'yuan'ye 四枫院夜
'si'feng'yuan'ye'yi 四枫院夜一
'si'nian'zhu 思念珠
'si'shen'ling'neng'li'ban'xu 死神灵能力半虚
'si'shen'zhuan'jing 死神专精
'si'shi'liu'shi 四十六室
'si'shou'sai'men 四兽塞门
'si'wang'qi'xi 死亡气息
'si'wu 死舞
'si'xing'zhi'xing'ren 死刑执行人
'song'ben'da 松本大
'song'ben'kao'ping 松本考平
'song'ben'luan'ju 松本乱菊
'song'gang'you'gui 松冈由贵
'song'gu'bi'zai 松谷彼哉
