'ai'li 艾丽
'ji'chong'bai'bai'shi 姬虫百百世
'ji'diao'ba'qian'hui 吉吊八千慧
'ji'hai'tang'yu'li 姬海棠羽立
'jian'mu'dian 菅牧典
'jian'shan'chu 键山雏
'jian'xie'quan'di'xia'zhong'xin 间歇泉地下中心
'jin'jie'luo 矜羯罗
'jin'quan'ying'lang 今泉影狼
'jing'du 京都
'jiu'di'yu 旧地狱
'jiu'du 旧都
'jiu'shi'jiu'ba'qiao 九十九八桥
'jiu'shi'jiu'bian'bian 九十九弁弁
'jiu'tian'pu'bu 九天瀑布
'ju'cao'shan'ru 驹草山如
'ju'li 菊理
'ka'na 卡娜
'ka'na'an'na'bei'la'er 卡娜安娜贝拉尔
'ke'neng'xing'kong'jian'yi'dong'chuan 可能性空间移动船
'ku'chuan'lei'gu 堀川雷鼓
'la'er'wa 拉尔瓦
'lei'di 蕾迪
'lei'di'huo'wa'te'luo'ke 蕾迪霍瓦特洛克
'lei'la 蕾拉
'lei'la'pu'li'zi'mu'li'ba 蕾拉普莉兹姆利巴
'lei'mi'li'ya 蕾米莉亚
'lei'mi'li'ya'si'ka'lei'te 蕾米莉亚斯卡雷特
'li'ge'lu 莉格露
'li'ge'lu'nai'te'ba'ge 莉格露奈特巴格
'li'ju'zao'gui 骊驹早鬼
'li'li'bai 莉莉白
'li'li'ka 莉莉卡
'li'li'ka'pu'li'zi'mu'li'ba 莉莉卡普莉兹姆利巴
'li'xiang 里香
'lian'tai'ye'ye'xing 莲台野夜行
'ling'hu 铃瑚
'ling'mo'dian 灵魔殿
'ling'nai'an 铃奈庵
'ling'wu'lu'kong 灵乌路空
'ling'xian 铃仙
'ling'xian'you'tan'hua'yuan'yin'fan 铃仙优昙华院因幡
'liu'qin 留琴
'lu'mi'ya 露米娅
'lu'na 露娜
'lu'na'qie'lu'de 露娜切露德
'lu'na'sa 露娜萨
'lu'na'sa'pu'li'zi'mu'li'ba 露娜萨普莉兹姆利巴
'lu'yi'zi 露易兹
'ma'ai'lu'bei'li 玛艾露贝莉
'ma'ai'lu'bei'li'he'en 玛艾露贝莉赫恩
'ma'er'qi 玛尔其
'ma'ge'te'luo'yi'de 玛格特罗伊德
'ma'jiang'shen 麻将神
'mao'you'dong'hai'dao 卯酉东海道
'mei'di'xin 梅蒂欣
'mei'di'xin'mei'lan'ke'li 梅蒂欣梅兰克莉
'mei'lu'lan 梅露兰
'mei'lu'lan'pu'li'zi'mu'li'ba 梅露兰普莉兹姆利巴
'mei'mo 魅魔
'meng'dian'da'si'miao 梦殿大祀庙
'meng'huan'guan 梦幻馆
'meng'wei'ke'xue'shi'ji 梦违科学世纪
'meng'xiang'xia'xiang 梦想夏乡
'meng'yue 梦月
'mi'mi'hao 咪咪号
'mi'si'di'ya 米斯蒂娅
'mi'si'di'ya'luo'lei'la 米斯蒂娅萝蕾拉
'mi'tu'zhi'jia 迷途之家
'mi'tu'zhu'lin 迷途竹林
'mian'yue'feng'ji 绵月丰姬
'mian'yue'yi'ji 绵月依姬
'ming'jie 冥界
'ming'lian'si 命莲寺
'ming'luo 明罗
'mo'duo'luo'yin'qi'nai 摩多罗隐岐奈
'mo'fa'sen'lin 魔法森林
'mo'jie 魔界
'mo'li'sha'de'mo'fa'shu 魔理沙的魔法书
'mu'hua'xiao'ye'ji 木花咲耶姬
'na'zi'lin 纳兹琳
'niao'chuan 鸟船
'niao'chuan'yi'ji 鸟船遗迹
'niu'qi'run'mei 牛崎润美
'nuo'lei'ji 诺蕾姬
'pa'qiu'li 帕秋莉
'pa'qiu'li'nuo'lei'ji 帕秋莉诺蕾姬
'pan'ding'dian 判定点
'peng'lai 蓬莱
'peng'lai'ren'xing 蓬莱人形
'peng'lai'shan'hui'ye 蓬莱山辉夜
'pu'li'zi'mu'li'ba 普莉兹姆利巴
'qi'lu'nuo 琪露诺
'qi'si'mei 琪丝美
'qin'xin 秦心
'qing'lan 清兰
'qing'wa'zi 青蛙子
'qiu'jing'ye 秋静叶
'qiu'rang'zi 秋穰子
'quan'zou'hua 犬走椛
'ren'jian'zhi'li 人间之里
'rong'ying'hua 戎璎花
'ruo'lu'ji 若鹭姬
'sa'la 萨拉
'sa'li'ai'er 萨丽艾尔
'san'tu'chuan 三途川
'sang'ni 桑尼
'sang'ni'mi'er'ke 桑尼米尔克
'sen'jin'lin'zhi'zhu 森近霖之助
'shan'cheng'gao'ling 山城高岭
'shang'bai'ze'hui'yin 上白泽慧音
'shang'hai 上海
'shao'ming'zhen'miao'wan 少名针妙丸
'she'ming'wan'wen 射命丸文
'shen'qi 神绮
'shen'yu 神玉
'sheng'bai'lian 圣白莲
'sheng'ming'lian 圣命莲
'shi'chang'ji 石长姬
'shi'liu'ye'xiao'ye 十六夜咲夜
'shi'tian'si'cheng'mei 矢田寺成美
'shou'shi'shen'she 守矢神社
'shui'jiang'pu'dao'zi 水江蒲岛子
'shui'qiao'pa'lu'xi 水桥帕露西
'si'ji'ying'ji 四季映姬
'si'ji'ying'ji'ya'ma'sa'na'du 四季映姬亚玛撒那度
'si'ji'ying'ji'ye'mo'xian'na'du 四季映姬夜魔仙那度
'si'ka'lei'te 斯卡雷特
'si'ta'sa'fei'ya 斯塔萨菲娅
'su'ge'la'di 苏格拉底
'su'wo'tu'zi'gu 苏我屠自古
'tai'yang'hua'tian 太阳花田
'tao'tie'you'mo 饕餮尤魔
'teng'yuan'mei'hong 藤原妹红
'tian'gong'qian'yi 天弓千亦
'tian'jie 天界
'ting'du'jiu'cha'ge 庭渡久侘歌
'wei'na'de'fei'xu 维纳的废墟
'wei'zhi'zhi'hua'mei'zhi'zhi'lv 未知之花魅知之旅
'wu'bu'bu'dou 物部布都
'wu'ming'zhi'qiu 无名之丘
'wu'yuan'zhong 无缘冢
'wu'zhi'hu 雾之湖
'xi'xing'yao 西行妖
'xian'jie 仙界
'xian'tai'si'lang 仙台四郎
'xiang'lin'tang 香霖堂
'xiao'e'mo 小恶魔
'xiao'tu'ji 小兔姬
'xiao'ye'zhong'xiao'ding 小野冢小町
'xie'shi'zou'fang'zi 洩矢诹访子
'xing'xiong'yong'yi 星熊勇仪
'xu'guan 续关
'xuan'wu'zhi'ze 玄武之泽
'xuan'ye 玄爷
'xue'hu 血湖
'yan'li 岩笠
'yao'guai'de'shu'hai 妖怪的树海
'yao'guai'li'zhi'sen 妖怪狸之森
'yao'guai'zhi'shan 妖怪之山
'yao'jing'da'zhan'zheng 妖精大战争
'yao'yue'tuan'de'li'shi 幺乐团的历史
'yi'chui'cui'xiang 伊吹萃香
'yi'ming'tong'guan 一命通关
'yi'zang'nuo'wu'zhi 伊奘诺物质
'yin'fan'di 因幡帝
'yin'wan'xing 寅丸星
'yin'yang'yu 阴阳玉
'ying'hua'guai'dao 樱花怪道
'yong'jiang'yi'jiu 永江衣玖
'yong'yuan'ting 永远亭
'you'gu'xiang'zi 幽谷响子
'you'xi 游戏
'you'xuan'mo'yan 幽玄魔眼
'yu'zao'mei'xu'wan 玉造魅须丸
'yu'zuo'jian'jin'zi 宇佐见堇子
'yu'zuo'jian'lian'zi 宇佐见莲子
'yuan'song 远松
'yue'dou 月都
'yue'ye'jian 月夜见
'yun'ju'yi'lun 云居一轮
'zai'si'zhi'dao 再思之道
'zhi'an'shen'gui'ji 埴安神袿姬
'zhong'you'zhi'dao 中有之道
'zhu'lu'zi 朱鹭子
'zhuo're'di'yu'ji 灼热地狱迹
'zi'ma 紫妈
'zou'fang'da'wu 诹访大舞
