'a'pi'er 阿皮尔
'jue'dui'fan'yi 绝对翻译
'ka'luo 卡洛
'ka'sai'ge'lan'de 卡塞格兰德
'ka'te'fu'de 卡特福德
'kai'si 凯斯
'kang'na'liu'si 康纳留斯
'ke'he'shi'xing 可核实性
'ke'huan'dui'deng'yu 可换对等语
'ke'jie'shou'xing 可接受性
'ke'yi'xing 可译性
'kui'yin 奎因
'lai'si 赖斯
'lan'yi 滥译
'lei'tong'xing'shi 类同形式
'li'fu'wei'er 利弗威尔
'lian'luo'chuan'yi 联络传译
'lu'wen'zi'wa'te 路文兹瓦特
'man'ta'li 曼塔里
'miao'xie'xing'fan'yi'yan'jiu 描写性翻译研究
'ming'shi 明示
'mo'fang'xing'shi 模仿形式
'mu'biao'yu 目标语
'mu'di'lun 目的论
'nai'da 奈达
'ni'xiang'fan'yi 逆向翻译
'ni'yi 拟译
'niu'ma'ke 纽马克
'nuo'de 诺德
'pi'mu 皮姆
'qi'dai'gui'fan 期待规范
'qian'e'fan'yi 欠额翻译
'qian'zhan'shi'fan'yi 前瞻式翻译
'qie'si'te'man 切斯特曼
'qu'jing'fan'yi 曲径翻译
'quan'shi'bu'zhou 诠释步骤
'quan'shi'xing'fan'yi 诠释性翻译
'rong'yu 冗余
'she'qun'chuan'yi 社群传译
'shi'ci'fan'yi 释词翻译
'shi'yi 视译
'shi'yi 释译
'shou'ji'fan'yi 首级翻译
'shou'xian'fan'yi 受限翻译
'shou'yu'chuan'yi 手语传译
'shuang'bian'chuan'yi 双边传译
'tai'bo 泰伯
'tiao'zheng 调整
'tie'jin'fan'yi 贴近翻译
'tu'biao'fan'yi 图表翻译
'tuo'li 托利
'wai'lai'xing'shi 外来形式
'wei'fan'yi 伪翻译
'wei'na 维纳
'wei'nu'di 韦努狄
'wen'ben'dui'deng 文本对等
'wen'ben'lei'xing'xue 文本类型学
'wen'ti'dui'deng 文体对等
'wen'xian'xing'fan'yi 文献型翻译
'wo'er'te 沃尔特
'xi'jin'si 希金斯
'xi'tong'nei'zhuan'huan 系统内转换
'xian'xing'fan'yi 显型翻译
'xing'shi'dui'deng 形式对等
'xing'shi'dui'ying 形式对应
'xu'lie'fan'yi 序列翻译
'ya'ge'bu'sen 雅各布森
'yao'zhi'fan'yi 要旨翻译
'yi'guo'qing'diao 异国情调
'yi'hua'fan'yi 异化翻译
'yi'su 译素
'yin'su'fan'yi 音素翻译
'yin'wei'fan'yi 音位翻译
'yin'xing'fan'yi 隐型翻译
'ying'yong'fan'yi'yan'jiu 应用翻译研究
'you'jin 尤金
'you'sheng'si'wei'ji'lu 有声思维记录
'yu'fa'zhi'huan 语法置换
'yu'ji'fan'yi 语际翻译
'yu'jing'yi'zhi 语境一致
'yu'liao'ku 语料库
'yu'nei'fan'yi 语内翻译
'yu'xian'gui'fan 预先规范
'yu'yi'cheng'fen'fen'xi 语义成分分析
'yu'yi'fan'yi 语义翻译
'yu'yi'xiao'qi 语义消歧
'yuan'wen'ben 元文本
'yuan'wen'ben 源文本
'yuan'wen'ben'qu'xiang'fan'yi'yan'jiu 源文本取向翻译研究
'yuan'xing'wen'ben 原型文本
'yuan'yi'su 元译素
'yuan'yu 源语
'yuan'yu'yan 元语言
'yun'ti'fan'yi 韵体翻译
'zeng'liang'fan'yi 增量翻译
'zhai'yao'fan'yi 摘要翻译
'zhe'she 折射
'zheng'he'fan'yi 整合翻译
'zhi'shi'ku'yao'su 知识库要素
'zhi'yi 直译
'zhu'hang'fan'yi 逐行翻译
'zhuan'jie'chuan'yi 转接传译
'zhun'que 准确
'zi'li'fu'du 自立幅度
'zi'yi 自译
'zi'you'yi 自由译
'zong'xiang'fan'yi 纵向翻译
'zu'kang 阻抗
'zuo'ha'er 佐哈尔
