'ai'lv 艾绿
'xin'hong'se 新红色
'xin'jun'lv 新军绿
'xin'lun 新纶
'xin'lv 新绿
'xin'mi'bai 新米白
'xin'nen'huang 新嫩黄
'xin'tian'lan 新天蓝
'xin'yan'lv 新艳绿
'xing'fu 杏甫
'xing'fu'hei 杏复黑
'xing'fu'zhang'qing 杏复丈青
'xing'fu'zi 杏复紫
'xing'hong 杏红
'xing'huang 杏黄
'xing'ke'se 杏克色
'xing'kong'lan 星空蓝
'xing'se 杏色
'xing'tuo 杏驼
'xing'wang 杏王
'xing'xing'hei 性性黑
'xiu'cheng 锈橙
'xiu'hong 锈红
'xiu'se 锈色
'xue'bai 雪白
'xue'hong 血红
'xue'hong 雪红
'xue'pa 雪葩
'xue'qing 雪青
'xun'yi'cao 薰衣草
'xun'yi'cao'zi 薰衣草紫
'ya'bai 牙白
'ya'dan 鸭蛋
'ya'dian'lan 雅典蓝
'ya'dian'lv 雅典绿
'ya'lan 鸭蓝
'ya'lu 鸭绿
'ya'luan'qing 鸭卵青
'ya'lv 芽绿
'ya'qing 鸦青
'ya'se 牙色
'yan'bai 烟白
'yan'cheng'hong 艳橙红
'yan'hong 嫣红
'yan'hong 艳红
'yan'huang 艳黄
'yan'hui 烟灰
'yan'lan 艳蓝
'yan'zhi 胭脂
'yan'zhi'hong 胭脂红
'yang'hong 洋红
'yang'mao'bai 羊毛白
'ye'lan 夜兰
'ye'lan 夜蓝
'ye'lv 叶绿
'ye'se'lan 夜色蓝
'ye'zi'se 野紫色
'yi'da'li'lan 意大利蓝
'yi'lan 意蓝
'yin'bai 银白
'yin'di'an'hong 印第安红
'yin'hui 银灰
'yin'hui'lv 银灰绿
'yin'hui'se 银灰色
'yin'se 银色
'ying'cao'se 樱草色
'ying'guang'cheng 荧光橙
'ying'guang'cheng 莹光橙
'ying'guang'lv 荧光绿
'ying'guang'lv 莹光绿
'ying'guang'se 荧光色
'ying'huang 荧黄
'ying'lv 茔绿
'ying'lv 荧绿
'ying'lv 莹绿
'ying'tao'hong 樱桃红
'you'gu'lan 幽谷蓝
'you'zheng'lv 邮政绿
'yu'dou'zi 羽豆紫
'yu'du'bai 鱼肚白
'yu'fen'hong 瘀粉红
'yu'hong 玉红
'yu'hong 瘀红
'yu'lv 玉绿
'yu'mi'huang 玉米黄
'yu'shai 玉色
'yu'shi'bai 玉石白
'yuan'bai 原白
'yuan'hang'bai 远航白
'yuan'wei'lan 鸢尾蓝
'yue'bai 月白
'yue'guang'lan 月光蓝
'yue'lan 月蓝
'yue'se 月色
'zang'lan 藏蓝
'zang'qing 藏青
'zao'hong 早红
'zao'hong 枣红
'zao'hong'se 枣红色
'zeng'bai 增白
'zhang'lan 丈蓝
'zhang'qing 丈青
'zhang'qing'hui 丈青灰
'zhang'qing'lan 丈青蓝
'zhang'qing'se 丈青色
'zhen'guo'huang 珍果黄
'zhen'zhu'bai 珍珠白
'zhen'zhu'hui 珍珠灰
'zhen'zhu'lan 珍珠蓝
'zhong'bao'lan 中宝蓝
'zhong'cheng 中橙
'zhong'deng'lan 中等蓝
'zhong'fei 中啡
'zhong'fen 中粉
'zhong'fen'hong 中粉红
'zhong'hong 中红
'zhong'hu'lan 中湖蓝
'zhong'hua'hui 中花灰
'zhong'huang 中黄
'zhong'hui 中灰
'zhong'jun 中军
'zhong'ka'qi 中卡其
'zhong'lan 中兰
'zhong'lan 中蓝
'zhong'lan'zi 中蓝紫
'zhong'lv 中绿
'zhong'se 中色
'zhong'shi'ji'lan 中世纪蓝
'zhong'tao'hong 中桃红
'zhong'xing'se 中杏色
'zhong'zai'lan 中仔兰
'zhong'zi 中紫
'zhu'biao 朱膘
'zhu'gan 朱肝
'zhu'gu'li 朱古力
'zhu'hong 朱红
'zhu'lv 竹绿
'zhu'piao 煮漂
'zhu'qing 竹青
'zhu'sha 朱砂
'zhuan'cheng 砖橙
'zhuan'hong 砖红
'zi'bao'lan 紫宝兰
'zi'ding'xiang 紫丁香
'zi'fei 紫啡
'zi'hong 子红
'zi'hong 紫红
'zi'hong'se 紫红色
'zi'hui 紫灰
'zi'lan 紫兰
'zi'lan 紫蓝
'zi'luo 紫罗
'zi'luo'lan 紫罗兰
'zi'luo'lan 紫罗蓝
'zi'luo'lan'se 紫罗兰色
'zi'mei'hong 紫玫红
'zi'ran'lv 自然绿
'zi'se 紫色
'zi'shui'jing'se 紫水晶色
'zi'wen'hong 紫玟红
'zi'zhang'qing 紫丈青
'zong'fei 棕啡
'zong'he'se 棕褐色
'zong'hong 棕红
'zong'huang 棕黄
'zong'lv 棕绿
'zong'se 棕色
'zong'tong'lv 棕桐绿
'zuan'shi'lan 钻石蓝
