'an'shi 暗示
'liu'xu'bai 留虚白
'lue'xu 略叙
'lun'dian 论点
'lun'dian'hou'chu 论点后出
'lun'ju 论据
'lun'ti 论题
'lun'xu 轮叙
'lun'zheng 论证
'luo'hou'ren'wu 落后人物
'luo'ji'duan 逻辑段
'luo'ji'fang'fa 逻辑方法
'luo'ji'jie'gou 逻辑结构
'luo'ji'si'wei 逻辑思维
'luo'ji'xian'suo 逻辑线索
'mai'fu 埋伏
'mai'luo 脉络
'mao'dun'chong'tu 矛盾冲突
'mao'dun'lv 矛盾律
'mao'hao 冒号
'mei'yu'chou 美与丑
'meng'huan 梦幻
'meng'jing'miao'xie 梦境描写
'miao'xie 描写
'miao'xie'ju 描写句
'min'zu'hua'de'jie'gou'yi'shu 民族化的结构艺术
'ming'an 明暗
'ming'ci 名词
'ming'mai 命脉
'ming'xian 明线
'ming'yu 明喻
'miu'wu 谬误
'miu'zhuan 缪篆
'mo'hu'yu'yan 模糊语言
'mo'hui'ge 摹绘格
'mo'ju 末句
'mo'sheng 摹声
'mo'sheng'ci 摹声词
'mo'tai'pan'duan 模态判断
'mo'te'er 模特儿
'mo'yin 摹印
'mou'pian 谋篇
'mu'di'fu'ju 目的复句
'na'zhan 那辗
'nei'bao 内包
'nei'dong'ci 内动词
'nei'han 内涵
'nei'han'ding'yi 内涵定义
'nei'jie'gou 内结构
'nei'xin'du'bai 内心独白
'nei'xin'gao'bai 内心告白
'nei'zhou 内籀
'ni'bi 逆笔
'ni'fan'xin'li 逆反心理
'ni'jie 逆接
'ni'qi 逆起
'ni'ren 拟人
'ni'ren'zuo'yong 拟人作用
'ni'sheng'ci 拟声词
'ni'wan'shi 逆挽式
'ni'wu 拟物
'ni'zhen'fa 逆振法
'nian'lian'ge 拈连格
'niao'chong'shu 鸟虫书
'nong'suo'lun'ju 浓缩论据
'nong'yin'fa 弄引法
'ou'ran'xing'qing'jie 偶然性情节
'ou'ran'yu'bi'ran 偶然与必然
'ou'you'shu'xing 偶有属性
'pai'bi'ge 排比格
'pai'chu'ge 排除格
'pai'zhong'lv 排中律
'pan'duan 判断
'pan'duan'bian'xing'tui'li 判断变形推理
'pan'duan'ju 判断句
'pang'dai 旁代
'pei'chen 陪衬
'pei'chen'ren'wu 陪衬人物
'pei'yin 陪音
'pi'yu 譬喻
'pi'yu'ge 譬喻格
'pian 篇
'pian'pang 偏旁
'pian'zheng'ci'zu 偏正词组
'pie'yu'ge 撇语格
'ping'duan 评断
'ping'xu 平叙
'ping'ze 平仄
'po'zhe'hao 破折号
'pu'bian'gai'nian 普遍概念
'pu'dian 铺垫
'pu'tong'luo'ji 普通逻辑
'pu'yu'ling 朴与灵
'qi'bi 起笔
'qi'he'cha'yi'bing'yong'fa 契合差异并用法
'qi'he'fa 契合法
'qi'jie 气接
'qi'ju 起句
'qi'shi'ju 祈使句
'qi'tou 起头
'qi'wen 契文
'qi'xing 起兴
'qi'xing'ge 起兴格
'qi'yin 起因
'qi'zheng 奇正
'qian'fu 前伏
'qian'yi'shi 潜意识
'qian'zai'ren'wu 潜在人物
'qian'zi'ge 嵌字格
'qiang'lie'hu'gao 强烈呼告
'qiang'yu 强喻
'qiao'he 巧合
'qin'zong 擒纵
'qing'gan 情感
'qing'gan'biao'xian 情感表现
'qing'gan'de'fu'za'xing 情感的复杂性
'qing'gan'de'jia'zhi 情感的价值
'qing'gan'de'li'xing'kong'zhi 情感的理性控制
'qing'gan'de'ren'shi'nei'rong 情感的认识内容
'qing'gan'de'ti'lian 情感的提炼
'qing'gan'de'zhi'pei'zuo'yong 情感的支配作用
'qing'jie 情节
'qing'jie'xian 情节线
'qing'jie'xian'suo 情节线索
'qing'jing 情境
'qing'jing'jiao'rong 情景交融
'qing'sheng 轻声
'qing'tai'xi'jie'miao'xie 情态细节描写
'qing'xu'xian'suo 情绪线索
'qing'yu'jing 情与景
'qing'yu'li 情与理
'qiu'tong'fa 求同法
'qiu'tong'qiu'yi'bing'yong'fa 求同求异并用法
'qiu'yi'fa 求异法
'qu'bi 曲笔
'qu'bie'pan'duan 区别判断
'qu'cai 取材
'qu'jie'ge 曲解格
'qu'jing'yu'chuang'jing 取境与创境
'qu'she 取舍
'qu'sheng 去声
'qu'shi 取事
'qu'zhe 曲折
'qu'zhi 曲直
'quan'cheng'fou'ding'pan'duan 全称否定判断
'quan'cheng'ken'ding'pan'duan 全称肯定判断
'quan'cheng'pan'duan 全称判断
'quan'shi'gai'nian 诠释概念
'quan'yu'bu'quan 全与不全
'rang'yi'bu'fa 让一步法
'rao'bi 绕笔
'ren'cheng'zhuan'huan 人称转换
'ren'hua'le'de'zi'ran 人化了的自然
'ren'wu 人物
'ren'wu'miao'xie 人物描写
'ren'wu'xing'ge'xian 人物性格线
'ren'wu'yu'yan 人物语言
'ren'wu'yuan'xin'jie'gou 人物圆心结构
'ren'wu'yuan'xing 人物原型
'ru'sheng 入声
'san'die'shi'jie'gou 三叠式结构
'san'duan'lun 三段论
'san'duan'lun'de'sheng'lue'shi 三段论的省略式
'san'duan'lun'di'er'ge 三段论第二格
'san'duan'lun'di'san'ge 三段论第三格
'san'duan'lun'di'si'ge 三段论第四格
'san'duan'lun'di'yi'ge 三段论第一格
'san'zheng 散整
'shang'sheng 上声
'shang'wei'gai'nian 上位概念
'shao'yu'duo 少与多
'she'hui'huan'jing 社会环境
'she'hui'huan'jing'miao'xie 社会环境描写
'she'wen'ge 设问格
'shen'si 神似
'shen'ti 审题
'sheng'bi 省笔
'sheng'diao 声调
'sheng'fu 声符
'sheng'huo'xi'jie'miao'xie 生活细节描写
'sheng'jiang'shi 升降式
'sheng'lue'ge 省略格
'sheng'lue'hao 省略号
'sheng'lue'ju 省略句
'sheng'mu 声母
'sheng'pang 声旁
'sheng'yu'fa 剩余法
'shi'bi 实笔
'shi'ci 实词
'shi'ci'ge 释词格
'shi'dai'huan'jing 时代环境
'shi'fei'wen'ju 是非问句
'shi'gu'wen 石鼓文
'shi'jian'xian'suo 时间线索
'shi'kong'jiao'cha'shi'jie'gou 时空交叉式结构
'shi'kong'jie'gou 时空结构
'shi'li'xian'suo 事理线索
'shi'qing'ti'lian 诗情提炼
'shi'shi 施事
'shi'ti 实题
'shi'ti'gai'nian 实体概念
'shi'wu'yu'ti 事务语体
'shi'xian'ge 示现格
'shou'bi 收笔
'shou'chang 收场
'shou'duan 首段
'shou'fang 收放
'shou'jie 收结
'shou'ju 首句
'shou'kuo'shi 首括式
'shou'shi 受事
'shou'shu 收束
'shou'wei 收尾
'shou'wei'kuo'shi 首尾括式
'shu'ci 数词
'shu'ci'suo'yu 数词缩语
'shu'fa 束发
'shu'fang 束放
'shu'gai'nian 属概念
'shu'jia'zhong'cha'ding'yi 属加种差定义
'shu'juan'yu'ti 书卷语体
'shu'liang'ci'zu 数量词组
'shu'mi 疏密
'shu'mian'yu'yan 书面语言
'shu'ming'hao 书名号
'shu'qing 抒情
'shu'qing'zhu'ren'gong 抒情主人公
'shu'shu 殳书
'shu'shu 署书
'shu'xing'gai'nian 属性概念
'shu'yu 述语
'shu'yu 术语
'shu'yu 熟语
'shuang'bin'yu'ju 双宾语句
'shuang'bu'ju 双部句
'shuang'guan'ge 双关格
'shuang'kuo'shi 双括式
'shuang'sheng 双声
'shuang'xian'jiao'cha'shi 双线交叉式
'shuang'xian'jie'gou 双线结构
'shuang'xian'ming'an'jiao'cha'shi 双线明暗交叉式
'shuang'xian'ping'xing'shi 双线平行式
'shun'cheng'fu'ju 顺承复句
'shun'jie 顺接
'shun'ni 顺逆
'shun'xu 顺叙
'shun'xu 顺序
'shuo'fan'hua 说反话
'shuo'li 说理
'shuo'ming 说明
'si'lu 思路
'si'lu'de'kai'tuo 思路的开拓
'si'wei'fang'fa 思维方法
'si'wei'jie'gou 思维结构
'si'wei'xian'suo 思维线索
'sou'ci 廋辞
'su'cai 素材
'su'yu 俗语
'suo'fang 缩放
'suo'xiao 缩小
'suo'xiao'de'kua'zhang 缩小的夸张
'suo'yu 缩喻
'ta'dong'ci 他动词
'ta'wei'fa 獭尾法
'tai'gao'die'zhong'fa 抬高跌重法
'tan'ci 叹词
'tan'hua'yu'ti 谈话语体
