'ai'hao 爱好
'bei'wang'zui'hou'xiu'gai'shi'jian 备忘最后修改时间
'bei'zhu 备注
'ben'ci'di'kou'yu'fu'kuan 本次抵扣预付款
'ben'ci'fu'kuan'tiao'zheng'e 本次付款调整额
'ben'ci'shi'shou'jin'e 本次实收金额
'ben'ci'shou'hui'shu'liang 本次收回数量
'ben'ci'shou'kuan'e 本次收款额
'ben'ci'shou'kuan'tiao'zheng'e 本次收款调整额
'ben'ci'tui'huan'jin'e 本次退还金额
'ben'ci'ying'fu'huo'kuan 本次应付货款
'ben'ci'ying'kou'fei'yong 本次应扣费用
'ben'ci'ying'shou'jin'e 本次应收金额
'ben'dan'wei'sheng'xiao 本单位生效
'ben'di'dan'ju'zhuang'tai 本地单据状态
'ben'di'fu'jia'quan'xian 本地附加权限
'ben'di'gong'ying'shang 本地供应商
'ben'di'ke'hu 本地客户
'ben'di'quan'xian 本地权限
'ben'di'shang'pin 本地商品
'ben'di'shang'pin'de'que'sheng'cang'wei 本地商品的缺省仓位
'ben'di'shang'pin'de'que'sheng'gong'ying'shang 本地商品的缺省供应商
'ben'di'shang'pin'de'ying'xiao'fang'shi 本地商品的营销方式
'ben'di'yuan'gong 本地员工
'ben'dian'cu'xiao'jia 本店促销价
'ben'dian'cu'xiao'jin'jia 本店促销进价
'ben'dian'he'suan'shou'jia 本店核算售价
'ben'dian'hui'yuan'cu'xiao'jia 本店会员促销价
'ben'dian'hui'yuan'jia 本店会员价
'ben'dian'jin'jia 本店进价
'ben'dian'pei'huo'cang'wei 本店配货仓位
'ben'dian'pi'fa'jia 本店批发价
'ben'dian'qi'yong 本店启用
'ben'dian'zhi'pei'cang'wei 本店直配仓位
'ben'fang'lian'xi'ren 本方联系人
'ben'qi'fa'sheng'e 本期发生额
'ben'qi'jin'huo'e 本期进货额
'ben'qi'xiao'shou'cheng'ben 本期销售成本
'ben'qi'xiao'shou'e 本期销售额
'ben'qi'yi'fu'e 本期已付额
'ben'qi'yi'fu'kuan 本期已付款
'ben'qi'yi'shou'e 本期已收额
'ben'qi'zhou'zhuan'tian'shu 本期周转天数
'bi'li'xi'shu 比例系数
'bi'zhong 币种
'bi'zhong'dai'ma 币种代码
'bi'zhong'hui'lv 币种汇率
'bi'zhong'jin'e 币种金额
'bian'chang'ding'zhi'xin'xi 变长定制信息
'bian'chang'ding'zhi'xin'xi'chang'du 变长定制信息长度
'bian'hao 编号
'bian'ji'ci'shu 编辑次数
'bian'li'jiao'kuan'dan 便利缴款单
'bian'li'jiao'kuan'dan'huan'chong'biao 便利缴款单缓冲表
'bian'li'jiao'kuan'dan'huan'chong'shi'tu 便利缴款单缓冲视图
'bian'li'jiao'kuan'dan'ming'xi 便利缴款单明细
'bian'li'jiao'kuan'dan'ming'xi'huan'chong'biao 便利缴款单明细缓冲表
'bian'li'jiao'kuan'dan'ming'xi'huan'chong'shi'tu 便利缴款单明细缓冲视图
'bian'li'jiao'kuan'dan'ming'xi'shi'tu 便利缴款单明细视图
'bian'li'jiao'kuan'dan'shi'tu 便利缴款单视图
'bian'li'men'dian'ding'dan'jie'shou'huan'chong 便利门店订单接收缓冲
'bian'li'men'dian'ji'fen'dui'huan'shu'ju 便利门店积分兑换数据
'bian'li'men'dian'jin'xiao'cun'dan'ju'jie'shou'huan'chong 便利门店进销存单据接收缓冲
'bian'li'men'dian'jin'xiao'cun'yue'bao 便利门店进销存月报
'bian'li'qian'tai'yuan'gong'qian'dao 便利前台员工签到
'bian'li'qian'tai'yuan'gong'qian'dao'jie'shou'huan'chong 便利前台员工签到接收缓冲
'bian'li'tong'pei'shou'huo'cha'yi'dan'jie'shou'huan'chong 便利统配收货差异单接收缓冲
'bian'li'yue'jie'zhuan'qi 便利月结转期
'bian'ma'wei'shu 编码位数
'biao'ge'ming 表格名
'biao'ji 标记
'biao'ming 表名
'biao'qian'da'yin'ji'lu 标签打印记录
'biao'qian'dai'ma 标签代码
'biao'qian'jiao'huo'dan'jie'shou'huan'chong 标签叫货单接收缓冲
'biao'qian'lei'xing 标签类型
'biao'qian'qu'yu 标签区域
'biao'qian'shang'pin 标签商品
'biao'shi'hao 标识号
'biao'ti 标题
'biao'zhi 标志
'biao'zhi 标识
'biao'zhi'fu 标识符
'biao'zhun'jie'suan'fang'shi 标准结算方式
'biao'zhun'ling'shou'jia 标准零售价
'biao'zhun'shou'jia 标准售价
'bu'cha'cha'jia 补差差价
'bu'cha'fang'shi 补差方式
'bu'cha'ji'suan'fang'shi 补差计算方式
'bu'cha'jia'cha 补差价差
'bu'cha'jin'e 补差金额
'bu'cha'jin'e'shang'xian 补差金额上限
'bu'cha'jin'jia 补差进价
'bu'cha'shi'tu 补差视图
'bu'cha'shu'liang'shang'xian 补差数量上限
'bu'chang 步长
'bu'men 部门
'bu'men'dai'ma 部门代码
'bu'men'xian'zhi 部门限制
'bu'men'yuan'gong 部门员工
'bu'zi'dong'bu'huo'yuan'yin 不自动补货原因
'cai'dan'jie'gou 菜单结构
'cai'dan'jie'gou'shi'jian'chuo 菜单结构时间戳
'cai'gou'gui'ge 采购规格
'cai'gou'shen'pi'ren 采购审批人
'cai'gou'yuan 采购员
'cai'gou'yuan'pei'huo'dan'an'men'dian 采购员配货单按门店
'cai'gou'yuan'pei'huo'dan'an'men'dian'men'dian'ming'xi 采购员配货单按门店门店明细
'cai'gou'yuan'pei'huo'dan'an'men'dian'ming'xi 采购员配货单按门店明细
'cai'gou'yuan'pei'huo'dan'an'shang'pin 采购员配货单按商品
'cai'gou'yuan'pei'huo'dan'an'shang'pin'ming'xi 采购员配货单按商品明细
'cai'gou'yuan'xin'xi 采购员信息
'cai'ji'di'dian 采集地点
'cai'ji'ri'qi 采集日期
'cai'jian'shang'pin 裁剪商品
'cai'wu'dai'ma 财务代码
'cai'wu'dian'ming 财务店名
'cai'wu'ying'fu'kuan'bao'biao 财务应付款报表
'cai'wu'ying'fu'kuan'dang'qian'zhi'shi'tu 财务应付款当前值视图
'cai'wu'zhuang'tai 财务状态
'can'kao'lei'bie 参考类别
'can'kao'yao'huo'jia 参考要货价
'can'kao'zu'qun 参考组群
'can'shu 参数
'can'shu'ke'xuan'zhi 参数可选值
'can'shu'ke'xuan'zhi'miao'shu 参数可选值描述
'can'shu'lei'xing 参数类型
'can'shu'miao'shu 参数描述
'can'shu'ming 参数名
'can'shu'ming'cheng 参数名称
'can'shu'zhi 参数值
'can'shu'zhi'biao'zhi 参数值标志
'can'shu'zhong'wen'ming 参数中文名
'can'yu'jie'suan 参与结算
'cang'ku 仓库
'cang'ku'chai'ling'fu'cha'dan 仓库拆零复查单
'cang'ku'mian'ji 仓库面积
'cang'wei 仓位
'cang'wei'dai'ma 仓位代码
'cang'wei'shi'tu 仓位视图
'cang'wei'yuan'gong 仓位员工
'cang'wei'zong'biao 仓位总表
'cang'wei'zong'shi'tu 仓位总视图
'cao'zuo 操作
'cao'zuo'bian'hao 操作编号
'cao'zuo'dan'wei 操作单位
'cao'zuo'ji'lu 操作记录
'cao'zuo'jie'guo 操作结果
'cao'zuo'lei'xing 操作类型
'cao'zuo'miao'shu 操作描述
'cao'zuo'mo'shi 操作模式
'cao'zuo'qi'hao 操作期号
'cao'zuo'qian'yu'e 操作前余额
'cao'zuo'ren 操作人
'cao'zuo'ren'dai'ma 操作人代码
'cao'zuo'ren'xing'ming 操作人姓名
'cao'zuo'shi'jian 操作时间
'cao'zuo'shuo'ming 操作说明
'cao'zuo'xi'tong'yong'hu'kou'ling 操作系统用户口令
'cao'zuo'xi'tong'yong'hu'ming 操作系统用户名
'cao'zuo'yuan 操作员
'ceng'ji'ma 层级码
'cha'e'ji'suan'fang'shi 差额计算方式
'cha'ru'yu'ju 插入语句
'cha'xun'fu'wu'qi 查询服务器
'cha'xun'fu'wu'qi'pei'zhi 查询服务器配置
'cha'xun'lei'bie'biao 查询类别表
'cha'xun'lei'bie'shang'pin'biao 查询类别商品表
'cha'xun'ming'cheng 查询名称
'cha'xun'ren'wu 查询任务
'cha'xun'ren'wu'bian'hao 查询任务编号
'cha'xun'ren'wu'can'shu'biao 查询任务参数表
'cha'xun'ren'wu'pei'zhi'biao 查询任务配置表
'cha'xun'ren'wu'ri'zhi 查询任务日志
'cha'xun'ren'wu'tiao'jian'biao 查询任务条件表
'cha'xun'wen'jian'dui'ying'fu'wu'qi 查询文件对应服务器
'cha'xun'wen'jian'ming 查询文件名
'cha'xun'yu'ju 查询语句
'cha'xun'yu'lei'bie'dui'ying'biao 查询与类别对应表
'cha'yi'shu'liang 差异数量
'cha'yi'xiang'shu 差异箱数
'cha'yi'yuan'yin 差异原因
'chai'fen'lai'yuan'dan'hao 拆分来源单号
'chai'fen'lai'yuan'dan'ju'lei'xing 拆分来源单据类型
'chai'fen'lai'yuan'lei'xing 拆分来源类型
'chai'ling'fu'cha'dan'shang'pin'sao'miao'ming'xi 拆零复查单商品扫描明细
'chai'ling'qu'pin'ci 拆零区频次
'chan'di 产地
'chan'pin'cheng'ben 产品成本
'chan'pin'dai'ma 产品代码
'chan'pin'ji'lu'shu 产品纪录数
'chan'pin'ji'lu'shu 产品记录数
'chan'pin'ming'cheng 产品名称
'chan'pin'shuo'ming 产品说明
'chan'pin'xin'xi 产品信息
'chan'pin'yu'gu'cheng'ben'jia 产品预估成本价
'chan'pin'yuan'liao 产品原料
'chang'du 长度
'chang'du'dan'wei 长度单位
'chang'fang'huo'hao 厂方货号
'chang'xiao'lv 畅销率
'che'liang'an'pai 车辆安排
'che'liang'lei'xing 车辆类型
'che'pai'hao 车牌号
'chen'lie'mian 陈列面
'chen'lie'tu'wen'jian 陈列图文件
'chen'lie'yuan'ze 陈列原则
'cheng'bao'fei 承包费
'cheng'ben 成本
'cheng'ben'cha'e 成本差额
'cheng'ben'e 成本额
'cheng'ben'gu'jia 成本估价
'cheng'ben'jia 成本价
'cheng'ben'jin'e 成本金额
'cheng'ben'ping'tan'suan'fa 成本平摊算法
'cheng'ben'shui'e 成本税额
'cheng'ben'tiao'zheng 成本调整
'cheng'ben'tiao'zheng'biao'zhi 成本调整标志
'cheng'ben'tiao'zheng'e 成本调整额
'cheng'ben'tiao'zheng'tong'zhi'dan 成本调整通知单
'cheng'ben'tiao'zheng'tong'zhi'dan'fan'kui'ming'xi 成本调整通知单反馈明细
'cheng'ben'tiao'zheng'tong'zhi'dan'ming'xi 成本调整通知单明细
'cheng'ben'tiao'zheng'tong'zhi'dan'ri'zhi 成本调整通知单日志
'cheng'ben'tiao'zheng'tong'zhi'sheng'xiao'dan'wei 成本调整通知生效单位
'cheng'hao 秤号
'cheng'yun'fang 承运方
'cheng'zhong'liang 承重量
'chi'ka'ren 持卡人
'chi'xu'shi'jian 持续时间
'chong'di'jin'e 冲抵金额
'chong'fa'ci'shu 重发次数
'chong'fu'zhou'qi 重复周期
'chong'suan'biao'ji 重算标记
'chong'zheng'biao'zhi 冲正标志
'chong'zhi'e 充值额
'chu'cuo'bi'shu 出错笔数
'chu'huo'cang'wei 出货仓位
'chu'huo'cheng'ben 出货成本
'chu'huo'cheng'ben'cha'yi 出货成本差异
'chu'huo'cheng'ben'tiao'zheng'e 出货成本调整额
'chu'huo'cheng'ben'tiao'zheng'zong'e 出货成本调整总额
'chu'huo'dan 出货单
'chu'huo'dan'hang'hao 出货单行号
'chu'huo'dan'hao 出货单号
'chu'huo'dan'jia 出货单价
'chu'huo'dan'lei'xing 出货单类型
'chu'huo'dan'ming'xi 出货单明细
'chu'huo'dan'pi'ci'ming'xi 出货单批次明细
'chu'huo'dan'wei 出货单位
'chu'huo'dan'zeng'pin'ming'xi 出货单赠品明细
'chu'huo'fang'shi 出货方式
'chu'huo'gui'ge 出货规格
'chu'huo'jin'e 出货金额
'chu'huo'nian'bao 出货年报
'chu'huo'qu'shui'nian'bao 出货去税年报
'chu'huo'qu'shui'ri'bao 出货去税日报
'chu'huo'qu'shui'yue'bao 出货去税月报
'chu'huo'ri'bao 出货日报
'chu'huo'ri'bao'qi'chu'zhi 出货日报期初值
'chu'huo'shi'jian'lu'ru'dan 出货实拣录入单
'chu'huo'shi'jian'lu'ru'dan'ming'xi 出货实拣录入单明细
'chu'huo'shi'jian'lu'ru'dan'ri'zhi 出货实拣录入单日志
'chu'huo'shi'jin'jia'qu'fa 出货时进价取法
'chu'huo'shu'liang 出货数量
'chu'huo'shui'e 出货税额
'chu'huo'tui'huo'dan 出货退货单
'chu'huo'tui'huo'dan'hao 出货退货单号
'chu'huo'tui'huo'dan'ju'tui'ming'xi 出货退货单拒退明细
'chu'huo'tui'huo'dan'lei'xing 出货退货单类型
'chu'huo'tui'huo'dan'ming'xi 出货退货单明细
'chu'huo'tui'huo'dan'pi'ci'ming'xi 出货退货单批次明细
'chu'huo'tui'huo'dan'tui'kuan'ming'xi 出货退货单退款明细
'chu'huo'yue'bao 出货月报
'chu'li'biao'ji 处理标记
'chu'li'biao'zhi 处理标志
'chu'li'biao'zhi 处理标识
'chu'li'fang'shi 处理方式
'chu'li'shi'jian 处理时间
'chu'sheng'nian'yue 出生年月
'chu'shi'chu'huo'shui'e 初始出货税额
'chu'shi'han'shui'dan'jia 初始含税单价
'chu'shi'han'shui'jin'e 初始含税金额
'chu'shi'hua'shi'ben'ji'shi'jian 初始化时本机时间
'chu'shi'hua'shi'yu'she'shi'jian 初始化时预设时间
'chu'shi'pei'huo'e 初始配货额
'chu'shi'pei'huo'han'shui'jin'e 初始配货含税金额
'chu'shi'pei'huo'jia 初始配货价
'chu'shi'pei'huo'shu 初始配货数
'chu'shi'shu'liang 初始数量
'chu'shi'shui'e 初始税额
'chu'shi'xiang'shu 初始箱数
'chu'zhi 储值
'chu'zhi'ka'fu'kuan'fang'shi'she'zhi 储值卡付款方式设置
'chu'zhi'ka'hao 储值卡号
'chu'zhi'ka'qu'dong 储值卡驱动
'chuan'kou'can'shu 串口参数
'chuan'zhen 传真
'chuan'zhen'hao 传真号
'chuang'jian'pi'hao 创建批号
'chuang'jian'ren 创建人
'chuang'jian'ri'qi 创建日期
'chuang'jian'shi'jian 创建时间
'chuang'ti'biao'ti 窗体标题
'chuang'ti'ming 窗体名
'chuang'ti'ming'cheng 窗体名称
'ci'ka'ji'lu 磁卡记录
'ci'ka'zong'zhang 磁卡总帐
'ci'xu'hao 次序号
'cu'xiao'biao'ji 促销标记
'cu'xiao'biao'zhi 促销标志
'cu'xiao'bu'cha'dan 促销补差单
'cu'xiao'bu'cha'dan'dang'qian'zhi'biao 促销补差单当前值表
'cu'xiao'bu'cha'dan'ming'xi 促销补差单明细
'cu'xiao'bu'cha'dan'ri'zhi 促销补差单日志
'cu'xiao'bu'cha'dan'sheng'xiao'dan'wei'ming'xi 促销补差单生效单位明细
'cu'xiao'bu'cha'xie'yi 促销补差协议
'cu'xiao'bu'cha'xie'yi'ming'xi 促销补差协议明细
'cu'xiao'bu'cha'xie'yi'ri'zhi 促销补差协议日志
'cu'xiao'bu'cha'xie'yi'sheng'xiao'biao 促销补差协议生效表
'cu'xiao'bu'cha'xie'yi'sheng'xiao'dan'wei 促销补差协议生效单位
'cu'xiao'bu'cha'yi'jie'biao 促销补差已结表
'cu'xiao'bu'cha'ying'jie'biao 促销补差应结表
'cu'xiao'dan 促销单
'cu'xiao'dan'bu'xian'zhi'zeng'song'shu'liang'tiao'jian'biao 促销单不限制赠送数量条件表
'cu'xiao'dan'duan'xin'cu'xiao'huo'dong'ma 促销单短信促销活动码
'cu'xiao'dan'hao 促销单号
'cu'xiao'dan'ke'xuan'zeng'pin'ming'xi 促销单可选赠品明细
'cu'xiao'dan'lei'xing 促销单类型
'cu'xiao'dan'men'dian 促销单门店
'cu'xiao'dan'ming'xi 促销单明细
'cu'xiao'dan'ming'xi'ming'xi 促销单明细明细
'cu'xiao'dan'ri'zhi 促销单日志
'cu'xiao'dan'shang'pin 促销单商品
'cu'xiao'dan'sheng'xiao'dan'wei'ming'xi 促销单生效单位明细
'cu'xiao'dan'xing'hao 促销单行号
'cu'xiao'dan'zeng'pin'biao 促销单赠品表
'cu'xiao'fang'shi 促销方式
'cu'xiao'fei'yong 促销费用
'cu'xiao'gui'ze'bian'hao 促销规则编号
'cu'xiao'gui'ze'dan'hao 促销规则单号
'cu'xiao'gui'ze'ding'yi'ming'xi'dang'qian'zhi 促销规则定义明细当前值
'cu'xiao'gui'ze'lei'xing 促销规则类型
'cu'xiao'gui'ze'tiao'zheng'dan 促销规则调整单
'cu'xiao'gui'ze'tiao'zheng'dan'cu'xiao'ma'ming'xi 促销规则调整单促销码明细
'cu'xiao'gui'ze'tiao'zheng'dan'ming'xi 促销规则调整单明细
'cu'xiao'gui'ze'tiao'zheng'dan'ri'zhi 促销规则调整单日志
'cu'xiao'jia 促销价
'cu'xiao'jia'ge 促销价格
'cu'xiao'jie'shu'shi'jian 促销结束时间
'cu'xiao'jin'jia 促销进价
'cu'xiao'jin'jia'xiao'shou'cha'e'ri'bao 促销进价销售差额日报
'cu'xiao'kai'shi'shi'jian 促销开始时间
'cu'xiao'lei'xing 促销类型
'cu'xiao'lian'xiao'lv 促销联销率
'cu'xiao'ma 促销码
'cu'xiao'ma'biao'zhi 促销码标识
'cu'xiao'ma'ming'xi'shu 促销码明细数
'cu'xiao'ma'pi'hao 促销码批号
'cu'xiao'ma'pian'yi'liang 促销码偏移量
'cu'xiao'ma'shu'liang'shang'xian 促销码数量上限
'cu'xiao'ma'xin'xi 促销码信息
'cu'xiao'ma'zong'biao 促销码总表
'cu'xiao'pi'fa'jia 促销批发价
'cu'xiao'qi 促销期
'cu'xiao'qi'hao 促销期号
'cu'xiao'shen'qing'dan 促销申请单
'cu'xiao'shen'qing'dan'cao'zuo'ri'zhi 促销申请单操作日志
'cu'xiao'shen'qing'dan'ming'xi 促销申请单明细
'cu'xiao'shen'qing'dan'ming'xi'ming'xi 促销申请单明细明细
'cu'xiao'shen'qing'dan'sheng'xiao'dan'wei'ming'xi 促销申请单生效单位明细
'cu'xiao'xu'lie'hao 促销序列号
'cu'xiao'zhu'ti 促销主题
'cu'xiao'zhu'ti'dai'ma 促销主题代码
'cu'xiao'zong'e'tiao'jian'biao 促销总额条件表
'cu'xiao'zong'shu'tiao'jian'biao 促销总数条件表
'cu'xiao'zui'di'shou'jia 促销最低售价
'cun'chu'guo'cheng'ming 存储过程名
'cun'kuan'zhou'qi 存款周期
'cun'qu'jin'e 存取金额
'cuo'wu'dai'ma 错误代码
'cuo'wu'fa'sheng'shi'jian 错误发生时间
'cuo'wu'jiao'huan'ri'zhi 错误交换日志
'cuo'wu'xin'xi 错误信息
'da'bao'zhuang'shang'pin 大包装商品
'da'bao'zhuang'shu'liang 大包装数量
'da'lei'shang'pin 大类商品
'da'xiao'bao'zhuang'zhuan'huan'biao'zhi 大小包装转换标志
'da'xiao'bao'zhuang'zhuan'huan'dan 大小包装转换单
'da'xiao'bao'zhuang'zhuan'huan'dan'ming'xi 大小包装转换单明细
'da'xiao'bao'zhuang'zhuan'huan'dan'ri'zhi 大小包装转换单日志
'da'xiao'bao'zhuang'zhuan'huan'dan'sheng'cheng'dan'ju'ming'xi 大小包装转换单生成单据明细
'da'xiao'bao'zhuang'zhuan'huan'dan'sheng'xiao'dan'wei'ming'xi 大小包装转换单生效单位明细
'da'yin'biao'zhi 打印标志
'da'yin'fang'shi 打印方式
'da'yin'lian'she'zhi 打印联设置
'da'yin'mo'kuai'hang'hao 打印模块行号
'da'yin'mo'kuai'hao 打印模块号
'da'yin'mo'kuai'kuai'dui'qi'fang'shi 打印模块块对齐方式
'da'yin'mo'kuai'kuai'gu'ding'zi'fu'chuan 打印模块块固定字符串
'da'yin'mo'kuai'kuai'hao 打印模块块号
'da'yin'mo'kuai'kuai'kuan'du 打印模块块宽度
'da'yin'mo'kuai'kuai'nei'rong 打印模块块内容
'da'yin'mo'kuai'kuai'yan'se 打印模块块颜色
'da'yin'mo'kuai'kuai'zi'ti 打印模块块字体
'da'yin'mo'kuai'kuai'zuo'jie 打印模块块左界
'da'yin'mo'kuai'xing'mo'kuai'biao'zhi 打印模块行末块标志
'da'yin'mu'ban 打印模板
'da'yin'mu'ban'hao 打印模板号
'da'yin'mu'ban'ming'cheng 打印模板名称
'da'yin'mu'ban'zhu'ce'biao 打印模板注册表
'da'yin'ren 打印人
'da'yin'ri'qi 打印日期
'da'yin'shi'jian 打印时间
'da'yin'shu'liang 打印数量
'da'yin'tou'xin'xi 打印头信息
'da'yin'wei'xin'xi 打印尾信息
'da'yin'zu 打印组
'da'zhe'xia'xian 打折下限
'da'zong'bu'jiao'huan'biao 大总部交换表
'da'zong'bu'wang'luo'shang'pin'zi'liao'shen'qing'dan 大总部网络商品资料申请单
'da'zong'bu'wang'luo'shang'pin'zi'liao'shen'qing'dan'ming'xi 大总部网络商品资料申请单明细
'dai'fa'song'pei'huo'dan 待发送配货单
'dai'fa'song'tui'huo'dan 待发送退货单
'dai'fa'song'zhi'pei'chu'huo'dan 待发送直配出货单
'dai'gou 代购
'dai'li'hao 代理号
'dai'li'shang 代理商
'dai'li'you'hui 代理优惠
'dai'li'you'hui'nei'rong 代理优惠内容
'dai'lian'xiao'jie'suan'dan 代联销结算单
'dai'lian'xiao'jie'suan'dan'jie'suan'dan'wei'ming'xi 代联销结算单结算单位明细
'dai'lian'xiao'jie'suan'dan'ming'xi 代联销结算单明细
'dai'lian'xiao'jie'suan'dan'ming'xi'ming'xi 代联销结算单明细明细
'dai'lian'xiao'jie'suan'dan'piao'ju'ming'xi 代联销结算单票据明细
'dai'lian'xiao'shang'pin'yi'jie'ji'lu 代联销商品已结记录
'dai'ma 代码
'dai'ma'lei'xing 代码类型
'dai'pei'biao'zhi 待配标志
'dai'qu'huo'shi'jian 待取货时间
'dai'shou'cang'wei 代收仓位
'dai'shou'shi'shi'xie'yi 代收实时协议
'dai'tiao'shu 待调数
'dai'tiao'shu'zong'he 待调数总和
'dai'tui'shu 待退数
'dai'xiao'jia 代销价
'dan'bao'ren 担保人
'dan'hao 单号
'dan'jia 单价
'dan'ju 单据
'dan'ju'bei'wang'lu 单据备忘录
'dan'ju'biao'zhi 单据标识
'dan'ju'dao'xiao'ri'qi 单据到效日期
'dan'ju'fu'jian'biao 单据附件表
'dan'ju'guan'lian'biao 单据关联表
'dan'ju'hao 单据号
'dan'ju'jin'e 单据金额
'dan'ju'lai'yuan'dan'wei 单据来源单位
'dan'ju'lei'xing 单据类型
'dan'ju'liu'shui'hao 单据流水号
'dan'ju'miao'shu 单据描述
'dan'ju'ming 单据名
'dan'ju'ming'cheng 单据名称
'dan'ju'ri'qi 单据日期
'dan'ju'sheng'cheng'fang'shi 单据生成方式
'dan'ju'sheng'cheng'shi'jian 单据生成时间
'dan'ju'yi'fu'e 单据已付额
'dan'ju'zhuang'tai 单据状态
'dan'ka'zhe'kou'zong'e 单卡折扣总额
'dan'pin'zhong'liang 单品重量
'dan'wei 单位
'dan'wei'dai'ma 单位代码
'dan'wei'lei'xing 单位类型
'dan'wei'ming'cheng 单位名称
'dan'xing'fu'wu'fei 单行服务费
'dang'ci 档次
'dang'qian'ban'ben 当前版本
'dang'qian'cu'xiao'duan'xin'cu'xiao'huo'dong'ma 当前促销短信促销活动码
'dang'qian'cu'xiao'zeng'pin'biao 当前促销赠品表
'dang'qian'cu'xiao'zhu'shang'pin'biao 当前促销主商品表
'dang'qian'cu'xiao'zong'e'tiao'jian'biao 当前促销总额条件表
'dang'qian'cu'xiao'zong'shu'tiao'jian'biao 当前促销总数条件表
'dang'qian'he'suan'jin'jia 当前核算进价
'dang'qian'ke'yong 当前可用
'dang'qian'ke'yong'ku'cun 当前可用库存
'dang'qian'ku'cun 当前库存
'dang'qian'ku'cun'shu'liang 当前库存数量
'dang'qian'ku'shu'liang 当前库数量
'dang'qian'pi'fa'jia'cu'xiao'zhu'shang'pin'biao 当前批发价促销主商品表
'dang'qian'qian'tai'shang'pin'biao'ji'zhu'shang'pin'biao 当前前台商品标记主商品表
'dang'qian'sheng'xiao'xian'zhi'ye'wu'biao 当前生效限制业务表
'dang'qian'te'shu'cu'xiao 当前特殊促销
'dang'qian'zu'he'cu'xiao'you'hui'zhe'kou'biao 当前组合促销优惠折扣表
'dang'shi'fei'lv 当时费率
'dao'gou'ti'cheng'bi'li 导购提成比例
'dao'huo'ri'qi 到货日期
'dao'huo'shu 到货数
'dao'huo'tian'shu 到货天数
'dao'ru'biao'zhi 导入标志
'dao'ru'dan'dan'hao 导入单单号
'dao'ru'dan'hao 导入单号
'dao'ru'dan'ju'lei'xing 导入单据类型
'dao'ru'dan'lei'xing 导入单类型
'dao'ru'dan'xing'hao 导入单行号
'dao'ru'shi'jian 导入时间
'dao'ru'zhe 导入者
'dao'xiao'qi 到效期
'dao'xiao'qi'guan'li 到效期管理
'dao'xiao'ri'qi 到效日期
'dao'xiao'shi'jian 到效时间
'dao'you'hao 导游号
'dao'you'pu'tong'kou'dian 导游普通扣点
'dao'you'te'shu'kou'dian 导游特殊扣点
'dao'you'ti'cheng'jin'e 导游提成金额
'dao'you'ti'cheng'lei'xing 导游提成类型
'dao'you'xin'xi 导游信息
'deng'dai'fan'kui 等待反馈
'deng'dai'fan'kui'wan'jie 等待反馈完结
'deng'ji 等级
'deng'lu'ming 登陆名
'deng'lu'ren 登录人
'deng'lu'ren 登陆人
'di'dian 地点
'di'er'dai'ma 第二代码
'di'er'pei'huo'dan'wei 第二配货单位
'di'er'pei'huo'dan'wei'qu'zheng'qi'shi'shu 第二配货单位取整起始数
'di'er'zui'hou'geng'xin'shi'jian 第二最后更新时间
'di'kou'jin'e 抵扣金额
'di'li'wei'zhi 地理位置
'di'shui'deng'ji'zheng 地税登记证
'di'shui'shui'e 地税税额
