'an'gou 暗沟
'chao'qian'mao'gan'yu'zhi'hu 超前锚杆预支护
'chao'qian'wei'mu'zhu'jiang 超前帷幕注浆
'chao'qian'xiao'dao'guan'yu'zhi'hu 超前小导管预支护
'chao'qian'zhi'hu 超前支护
'chao'sheng'fa 超声法
'chao'sheng'hui'tan'zong'he'fa 超声回弹综合法
'chao'xi'he'liu 潮汐河流
'chao'xi'pin'lv 潮汐频率
'chao'xian'jian'ce'xi'tong 超限检测系统
'chao'xian'jian'ce'zhan 超限检测站
'chao'yue'gai'lv 超越概率
'che'dao 车道
'che'dao'kong'zhi 车道控制
'che'dao'kuan'du 车道宽度
'che'dao'tong'xing'xin'hao 车道通行信号
'che'gong'li'shi'gu'lv 车公里事故率
'che'gong'li'si'wang'lv 车公里死亡率
'che'hang'heng'dong 车行横洞
'che'jian'jing'ju 车间净距
'che'liang'he'zai'biao'zhun 车辆荷载标准
'che'liang'shi'gu'lv 车辆事故率
'che'liu 车流
'che'liu'mi'du 车流密度
'che'tou'jian'ju 车头间距
'che'tou'shi'ju 车头时距
'che'zhe 车辙
'che'zhe'dong'wen'ding'du 车辙动稳定度
'che'zhe'shi'yan 车辙试验
'chen'dian'chi 沉淀池
'chen'guan'fa 沉管法
'chen'guan'sui'dao 沉管隧道
'chen'jiang 沉降
'chen'jiang'ban 沉降板
'chen'jiang'feng 沉降缝
'chen'jing'ji'chu 沉井基础
'chen'mai'fa 沉埋法
'chen'mai'guan'duan 沉埋管段
'chen'qi 衬砌
'chen'qi'bei'mian'zhu'jiang 衬砌背面注浆
'chen'qi'bian'xing 衬砌变形
'chen'qi'bo'li 衬砌剥离
'chen'qi'cheng'zai'li'jiang'di 衬砌承载力降低
'chen'qi'jia'gu 衬砌加固
'chen'qi'lie'feng 衬砌裂缝
'chen'qi'lie'sun 衬砌裂损
'chen'qi'nei'li 衬砌内力
'chen'qi'tu'fa'xing'tan'ta 衬砌突发性坍塌
'chen'xian 沉陷
'cheng'shi'dao'lu 城市道路
'cheng'shi'sui'dao 城市隧道
'cheng'tai 承台
'cheng'xiang'ji'shu 成像技术
'cheng'zai'ban 承载板
'cheng'zai'ban'shi'yan 承载板试验
'cheng'zai'bi'jian'ce'yi 承载比检测仪
'cheng'zai'gong 承载拱
'cheng'zai'neng'li 承载能力
'chi'cun'pian'cha 尺寸偏差
'chi'li'ceng 持力层
'chong'ji'ren'du'shi'yan'yi 冲击韧度试验仪
'chong'ji'ren'xing'shi'yan'ji 冲击韧性试验机
'chong'ji'ya'lu'ji 冲击压路机
'chong'shua 冲刷
'chong'shua'xi'shu 冲刷系数
'chong'tu'dian 冲突点
'chong'tu'ju'li 冲突距离
'chong'tu'shi'jian 冲突时间
'chou'du 稠度
'chou'du'jie'xian 稠度界限
'chou'ti'yi 抽提仪
'chu'bu'ji'shen'pi 初步计审批
'chu'bu'kan'cha 初步勘察
'chu'ce 初测
'chu'gen'ji 除根机
'chu'jing'jiao'tong 出境交通
'chu'kou'duan 出口段
'chu'kou'za'dao 出口匝道
'chu'pen 初喷
'chu'qi'zhi'hu 初期支护
'chu'shi'ying'li 初始应力
'chu'tan'shi'yan 触探试验
'chu'xing 出行
'chu'xue'ji 除雪机
'chu'zhi'cuo'shi 处治措施
'chu'zhi'tu 处治土
'chuan'gan'qi 传感器
'chuan'gan'qi'pin'lv'fan'wei 传感器频率范围
'chuan'li'gan 传力杆
'chuan'li'gan'zi'dong'cha'ru'ji 传力杆自动插入机
'chuan'shu'she'bei 传输设备
'chui'tian'tu 吹填土
'ci'gao'ji'lu'mian 次高级路面
'cu'li'tu 粗粒土
'cui'dian 脆点
'cuo'che'dao 错车道
'cuo'tai 错台
'cuo'wei 错位
'cuo'wei'jiao'cha 错位交叉
'da'qiao 大桥
'da'ti'ji'hun'ning'tu 大体积混凝土
'da'xiu 大修
'da'xiu'gong'cheng 大修工程
'da'zhong'xiu'zhou'qi 大中修周期
'da'zhuang'ji 打桩机
'dan'dou'wa'jue'ji 单斗挖掘机
'dan'xiang'tui'li'dun 单向推力墩
'dan'xiang'za'dao 单向匝道
'dang'bing'qiang 挡冰墙
'dang'liang'she'ji'zhou'zai'lei'ji'zuo'yong'ci'shu 当量设计轴载累计作用次数
'dang'liang'zhou'ci 当量轴次
'dang'shui'nian 挡水埝
'dang'tu'qiang 挡土墙
'dao'dong 导洞
'dao'feng'ban 导风板
'dao'hong'xi 倒虹吸
'dao'hong'xi'han 倒虹吸涵
'dao'keng 导坑
'dao'kou 道口
'dao'kou'ping'tai 道口平台
'dao'kou'pu'mian 道口铺面
'dao'kou'shi'ju'san'jiao'xing 道口视距三角形
'dao'kou'xian'jie'jia 道口限界架
'dao'kou'zhe'suan'jiao'tong'liang 道口折算交通量
'dao'liu'dao 导流岛
'dao'liu'di 导流堤
'dao'lu 道路
'dao'xian 导线
'dao'xian'ce'liang 导线测量
'dao'xian'wang 导线网
'deng'gao'xian 等高线
'deng'ji'gong'lu 等级公路
'deng'wai'gong'lu 等外公路
'di'biao'xia'chen 地表下沉
'di'dian'su'du 地点速度
'di'fa'er'mo'hao'shi'yan'ji 狄法尔磨耗试验机
'di'gu 底臌
'di'ji 地基
'di'ji'cheng'zai'li'ji'ben'rong'xu'zhi 地基承载力基本容许值
'di'ji'cheng'zai'li'te'zheng'zhi 地基承载力特征值
'di'ji'chu'li 地基处理
'di'ji'lu'mian 低级路面
'di'ji'rong'xu'cheng'zai'li 地基容许承载力
'di'li'qing 地沥青
'di'lou 滴漏
'di'lu'di 低路堤
'di'mao 地貌
'di'mian'gao'cheng 地面高程
'di'mian'kong'zhi'dian'ce'liang 地面控制点测量
'di'mian'li'ti'she'ying'ce'liang 地面立体摄影测量
'di'qiu'wu'li'ce'jing 地球物理测井
'di'qiu'wu'li'kan'tan 地球物理勘探
'di'wu 地物
'di'xia'lian'xu'qiang 地下连续墙
'di'xia'shui'wei 地下水位
'di'xing 地形
'di'xing'ce'liang 地形测量
'di'xing'tu 地形图
'di'xing'tu'bu'ce 地形图补测
'di'xing'tu'ce'hui 地形图测绘
'di'xing'tu'gou'hui 地形图勾绘
'di'xing'tu'xiu'ce 地形图修测
'di'ye'xian'tu 低液限土
'di'zhen'bo'su'du'ce'jing 地震波速度测井
'di'zhen'dong 地震动
'di'zhen'dong'can'shu 地震动参数
'di'zhen'dong'can'shu'qu'hua 地震动参数区划
'di'zhen'dong'fan'ying'pu'te'zheng'zhou'qi 地震动反应谱特征周期
'di'zhen'dong'feng'zhi'jia'su'du 地震动峰值加速度
'di'zhen'kan'tan 地震勘探
'di'zhen'ying'xiang'kan'tan 地震映像勘探
'di'zhen'zuo'yong 地震作用
'di'zhi'diao'cha 地质调查
'di'zhi'gou'zao 地质构造
'di'zhi'kan'tan 地质勘探
'di'zhi'lei'da 地质雷达
'di'zhi'pou'mian'tu 地质剖面图
'di'zhi'zhu'zhuang'tu 地质柱状图
'dian'ce'shen'fa 电测深法
'dian'ceng 垫层
'dian'fa'kan'tan 电法勘探
'dian'kong'zhi 点控制
'dian'pou'mian'fa 电剖面法
'dian'su'du 点速度
'dian'yun 点云
'dian'zi'bu'ting'che'shou'fei 电子不停车收费
'diao'cha 调查
'diao'gan 吊杆
'die'shui 跌水
'ding'ba 丁坝
'ding'ce 定测
'ding'guan'fa 顶管法
'ding'jin'shi'gong'fa 顶进施工法
'ding'qi'jian'ce 定期检测
'ding'qi'jian'cha 定期检查
'ding'qi'yang'hu 定期养护
'ding'ru'fa 顶入法
'ding'tui'fa 顶推法
'ding'tui'shi'gong'fa 顶推施工法
'ding'xian 定线
'ding'xiang'bao'po 定向爆破
'ding'xiang'shi'li'ti'jiao'cha 定向式立体交叉
'ding'xiang'za'dao 定向匝道
'ding'zi'xing'jiao'cha 丁字形交叉
'dong'hai 冻害
'dong'he'xi'shu 动荷系数
'dong'jie'zhi'shu 冻结指数
'dong'kou'duan 洞口段
'dong'li'chu'tan'shi'yan 动力触探试验
'dong'li'chui'guan'ru'yi 动力锤贯入仪
'dong'men 洞门
'dong'qi'kan'tan 氡气勘探
'dong'rong'xun'huan 冻融循环
'dong'shen 洞身
'dong'shi 洞室
'dong'shi'shen'gou 洞式渗沟
'dong'tai'mo'liang 动态模量
'dong'tai'she'ji 动态设计
'dong'tu 冻土
'dong'wai'liang'du 洞外亮度
'dong'wu'tong'dao 动物通道
'dong'zhang 冻胀
'dong'zhang'li 冻胀力
'dou'po'lu'di 陡坡路堤
'du'cao 渡槽
'du'lou 堵漏
'duan'bei'qu'xian 断背曲线
'duan'lian 断链
'duan'mian 断面
'duan'mian'jian'bian'duan 断面渐变段
'duan'mian'xiu'fu 断面修复
'duan'qi'yang'hu'zuo'ye 短期养护作业
'duan'qiang'shi'dong'men 端墙式洞门
'duan'sui'dao 短隧道
'dui'han'ji'peng'han'ji 对焊机碰焊机
'dui'liao'ping 堆料坪
'dun'gou 盾构
'dun'gou'dao'da 盾构到达
'dun'gou'gong'zuo'jing 盾构工作井
'dun'gou'shi'fa 盾构始发
'dun'gou'sui'dao 盾构隧道
'dun'gou'wa'jue'ji 盾构挖掘机
'dun'mao 墩帽
'dun'shen 墩身
'duo'cha'jiao'cha 多岔交叉
'duo'nian'dong'tu 多年冻土
'er'ci'chen'qi 二次衬砌
'er'ji'gong'lu 二级公路
'er'ji'mo'hu'zong'he'ping'jia 二级模糊综合评价
'er'qiang 耳墙
'fan'dou'che 翻斗车
'fan'guang'biao'zhi 反光标志
'fan'guang'lu'niu 反光路钮
'fan'jiang 翻浆
'fan'lv'ceng 反滤层
'fan'she'bo'kan'tan 反射波勘探
'fan'she'lie'feng 反射裂缝
'fan'xiang'qu'xian 反向曲线
'fan'ya'hu'dao 反压护道
'fan'you 泛油
'fang'an'bi'xuan 方案比选
'fang'dong'ceng 防冻层
'fang'dong'ge'wen'ceng'cai'liao 防冻隔温层材料
'fang'hu'shan 防护栅
'fang'hu'wang 防护网
'fang'hua'chu'li 防滑处理
'fang'luo'wang 防落网
'fang'sha'she'shi 防沙设施
'fang'she'xing'di'ceng'sui'dao 放射性地层隧道
'fang'she'xing'kan'tan 放射性勘探
'fang'shen'ceng 防渗层
'fang'wei'jiao 方位角
'fang'xian 放线
'fang'xiang'jiao 方向角
'fang'xuan'she'shi 防眩设施
'fang'xue'di 防雪堤
'fang'xue'lin 防雪林
'fang'xue'shan 防雪栅
'fang'xue'she'shi 防雪设施
'fang'zhuang'dian 防撞垫
'fei'bao'he'tu 非饱和土
'fei'ji'dong'che'che'dao 非机动车车道
'fei'po'sun'jian'ce'fang'fa 非破损检测方法
'fen'ceng'zong'he'fa 分层总和法
'fen'cha'sui'dao 分岔隧道
'fen'dao'zhuan'wan'shi'jiao'cha'kou 分道转弯式交叉口
'fen'fu 分幅
'fen'ge'dai 分隔带
'fen'ge'she'shi 分隔设施
'fen'ge'shi'li'ti'jiao'cha 分隔式立体交叉
'fen'li'shi'duan'mian 分离式断面
'fen'li'shi'li'ti'jiao'cha 分离式立体交叉
'fen'li'shi'sui'dao 分离式隧道
'fen'li'shi'xing'che'dao 分离式行车道
'fen'liu 分流
'fen'mei'hui 粉煤灰
'fen'san'pai'shui 分散排水
'fen'tu 粉土
'fen'zhi'tu 粉质土
'feng'ceng 封层
'feng'chui'xue 风吹雪
'feng'gao 风镐
'feng'ji'sha 风积沙
'feng'lan'xi'tong 风缆系统
'feng'wo 蜂窝
'feng'ya 风压
'fu'ban'li'qing'hun'he'liao'tan'pu'ji 复拌沥青混合料摊铺机
'fu'bi'shi'dang'tu'qiang 扶壁式挡土墙
'fu'bi'shi'dang'tu'qiang 扶臂式挡土墙
'fu'bi'shi'qiao'tai 扶壁式桥台
'fu'bing'dong'tu 富冰冻土
'fu'dao 辅道
'fu'gong 腹拱
'fu'he'dao'xian 附合导线
'fu'he'di'ji 复合地基
'fu'he'kuang'fen 复合矿粉
'fu'he'shi'chen'qi 复合式衬砌
'fu'he'shi'duan'mian 复合式断面
'fu'he'shi'lu'mian 复合式路面
'fu'he'tu'gong'mo 复合土工膜
'fu'he'xing'li'ti'jiao'cha 复合型立体交叉
'fu'jia'che'dao 附加车道
'fu'jin'shui'te'xing 复浸水特性
'fu'lou'dian 复漏点
'fu'pen 复喷
'fu'qiao 浮桥
'fu'qu'xian 复曲线
'fu'she'shi'gong'lu 辐射式公路
'fu'shi 腐蚀
'fu'wu'qu 服务区
'fu'wu'she'shi 服务设施
'fu'yun'jia'qiao'fa 浮运架桥法
'fu'zhu'biao'zhi 辅助标志
'fu'zhu'che'dao 辅助车道
'fu'zhu'dun 辅助墩
'fu'zhuo'li 附着力
'gai'ban'han 盖板涵
'gai'jian'gong'cheng 改建工程
'gai'liang 盖梁
'gai'liang'tu 改良土
'gai'shan'gong'cheng 改善工程
'gai'xi'chu 钙析出
'gai'xing'li'qing 改性沥青
'gai'xing'li'qing'lu'mian 改性沥青路面
'gai'xing'ru'hua'li'qing 改性乳化沥青
'gai'yi'he'dao 改移河道
'gan'mi'du 干密度
'gan'pen 干喷
'gan'shi'xun'huan 干湿循环
'gan'suo'lv 干缩率
'gan'xian'gong'lu 干线公路
'gan'ying'xing'hun'ning'tu 干硬性混凝土
'gang'cai 钢材
'gang'cai'fu'shi 钢材腐蚀
'gang'du 刚度
'gang'gan'wan'chen'yi 杠杆弯沉仪
'gang'gan'wan'cheng'yi 杠杆完成仪
'gang'gou 刚构
'gang'gou 钢构
'gang'gou'qiao 刚构桥
'gang'guan'hun'ning'tu'qiao 钢管混凝土桥
'gang'jia 钢架
'gang'jiao'xian 钢绞线
'gang'jin 钢筋
'gang'jin'hun'ning'tu 钢筋混凝土
'gang'jin'hun'ning'tu'lu'mian 钢筋混凝土路面
'gang'jin'hun'ning'tu'qiao 钢筋混凝土桥
'gang'jin'la'shen'ji 钢筋拉伸机
'gang'jin'leng'ba'ji 钢筋冷拔机
'gang'jin'leng'bo'ji 钢筋冷拨机
'gang'jin'leng'dun'ji 钢筋冷镦机
'gang'jin'leng'la'ji 钢筋冷拉机
'gang'jin'leng'zha'ji 钢筋冷轧机
'gang'jin'qie'duan'ji 钢筋切断机
'gang'jin'tiao'zhi'ji 钢筋调直机
'gang'jin'wan'qu'ji 钢筋弯曲机
'gang'qiao 钢桥
'gang'qu'dao'lu 港区道路
'gang'si 钢丝
'gang'si'sheng 钢丝绳
'gang'wan'shi'jin'ji'ting'che'dai 港湾式紧急停车带
'gang'xian'wei 钢纤维
'gang'xing'ji'ceng 刚性基层
'gang'xing'lu'mian 刚性路面
'gang'zha 钢渣
'gao'cheng 高程
'gao'di'wen'sui'dao 高地温隧道
'gao'di'ying'li 高地应力
'gao'di'ying'li'sui'dao 高地应力隧道
'gao'feng'xiao'shi'jiao'tong'liang 高峰小时交通量
'gao'feng'xiao'shi'xi'shu 高峰小时系数
'gao'ji'lu'mian 高级路面
'gao'jia'qiao 高架桥
'gao'lu'di 高路堤
'gao'lu'kuang'zha 高炉矿渣
'gao'mi'du'dian'fa 高密度电法
'gao'pin'zhen'dao'bang 高频振捣棒
'gao'qiang'du'hun'ning'tu 高强度混凝土
'gao'qiang'gang'si 高强钢丝
'gao'qiang'lian'suo'kuai'mian'ceng 高强联锁块面层
'gao'qiang'luo'shuan 高强螺栓
'gao'su'gong'lu 高速公路
'gao'xing'neng'hun'ning'tu 高性能混凝土
'gao'xing'neng'li'qing'lu'mian 高性能沥青路面
'gao'ya'pen'she'zhu'jiang'fa 高压喷射注浆法
'gao'ye'xian'tu 高液限土
'gao'yuan'zong'po'zhe'jian 高原纵坡折减
'ge'ban'shi'mo'hao'shi'yan'ji 搁板式磨耗试验机
'ge'duan'ceng 隔断层
'ge'li'ceng 隔离层
'ge'li'shan 隔离栅
'ge're'fang'dong'fa 隔热防冻法
'ge'shan'ba 格栅坝
'ge'shui'ceng 隔水层
'ge'wen'ceng 隔温层
'ge'yin'qiang 隔音墙
'geng'yun'ji 耕耘机
'gong'bu 拱部
'gong'cheng'cai'liao 工程材料
'gong'cheng'che 工程车
'gong'cheng'di'zhi'kan'cha 工程地质勘察
'gong'cheng'di'zhi'kan'tan 工程地质勘探
'gong'cheng'di'zhi'tiao'hui 工程地质调绘
'gong'cheng'di'zhi'tiao'jian 工程地质条件
'gong'cheng'di'zhi'tu 工程地质图
'gong'cheng'lei'bi'fa 工程类比法
'gong'dian'kong'zhi'wang 工点控制网
'gong'ding'xia'chen 拱顶下沉
'gong'gong'qi'che'ting'kao'zhan 公共汽车停靠站
'gong'han 拱涵
'gong'hou'chen'jiang 工后沉降
'gong'jia'nei'li 拱架内力
'gong'ke'kan'cha 工可勘察
'gong'li'shi'gu'lv 公里事故率
'gong'li'si'wang'lv 公里死亡率
'gong'lu 公路
'gong'lu'an'quan'xing'neng 公路安全性能
'gong'lu'an'quan'xing'ping'jia 公路安全性评价
'gong'lu'bing'hai 公路病害
'gong'lu'chang'tong'ke'kao'xing 公路畅通可靠性
'gong'lu'deng'ji 公路等级
'gong'lu'fu'wu'shui'ping 公路服务水平
'gong'lu'gai'kuo'jian 公路改扩建
'gong'lu'gong'cheng 公路工程
'gong'lu'hong'xian 公路红线
'gong'lu'hu'lan 公路护栏
'gong'lu'jian'ce 公路检测
'gong'lu'jian'zhu'xian'jie 公路建筑限界
'gong'lu'jiao'cha 公路交叉
'gong'lu'jiao'tong 公路交通
'gong'lu'jiao'tong'an'quan'bao'zhang'gong'cheng 公路交通安全保障工程
'gong'lu'jiao'tong'biao'zhi 公路交通标志
'gong'lu'jiao'tong'gui'hua 公路交通规划
'gong'lu'jiao'tong'gui'ze 公路交通规则
'gong'lu'jing'guan'she'ji 公路景观设计
'gong'lu'kan'ce 公路勘测
'gong'lu'lei'xing 公路类型
'gong'lu'li'ti'jiao'cha 公路立体交叉
'gong'lu'lu'xian 公路路线
'gong'lu'pai'shui 公路排水
'gong'lu'pai'shui'xi'tong 公路排水系统
'gong'lu'ping'mian'jiao'cha 公路平面交叉
'gong'lu'qi'xiang'fu'wu 公路气象服务
'gong'lu'qi'xiang'yu'bao 公路气象预报
'gong'lu'qi'xiang'yu'jing 公路气象预警
'gong'lu'qi'xiang'zai'hai 公路气象灾害
'gong'lu'qiao 公路桥
'gong'lu'sui'dao 公路隧道
'gong'lu'sui'dao'yang'hu 公路隧道养护
'gong'lu'tong'da'ke'kao'xing 公路通达可靠性
'gong'lu'wang 公路网
'gong'lu'wang'gui'hua 公路网规划
'gong'lu'wang'mi'du 公路网密度
'gong'lu'wang'yun'xing'tai'shi 公路网运行态势
'gong'lu'xian'xing 公路线形
'gong'lu'xuan'xian 公路选线
'gong'lu'yang'hu 公路养护
'gong'lu'yang'hu'gong'cheng 公路养护工程
'gong'lu'yang'hu'zhuang'kuang'ping'ding'deng'ji 公路养护状况评定等级
'gong'lu'yang'hu'zhuang'kuang'ping'ding'zhi'biao 公路养护状况评定指标
'gong'lu'yong'di 公路用地
'gong'lu'yu'tie'lu 公路与铁路
'gong'lu'yun'shu'xian'lu'an'quan'shi'ying'xing'ping'gu 公路运输线路安全适应性评估
'gong'lu'zhong'xian 公路中线
'gong'lu'zhou'xian 公路轴线
'gong'lu'zi'ran'qu'hua 公路自然区划
'gong'pei'dian'she'shi 供配电设施
'gong'qiao 拱桥
'gong'quan 拱圈
'gong'shang'ce'qiang 拱上侧墙
'gong'shang'jie'gou 拱上结构
'gong'tie'liang'yong'qiao 公铁两用桥
'gong'tie'liang'yong'qiao'liang 公铁两用桥梁
'gong'ting'fang'che'liang'shi'yong'de'chang'di 供停放车辆使用的场地
'gong'ye'fei'zha 工业废渣
'gong'ye'fei'zha'ji'ceng 工业废渣基层
'gong'ye'fei'zha'lu'ji 工业废渣路基
'gong'zhang 拱胀
'gou'jian'zhi'cheng 构件支撑
'gou'zao'shen'du 构造深度
'gu'ding'shi'shui'cheng'mo'pao'mo'mie'huo'zhuang'zhi 固定式水成膜泡沫灭火装置
'gu'ding'zhi'zuo 固定支座
'gu'jia'zhi'wu'fang'hu 骨架植物防护
'gu'jie 固结
'gu'jie'shi'yan 固结试验
'gu'jie'xi'shu 固结系数
'gu'jie'yi 固结仪
'gu'jie'you'xiao'ying'li'fa 固结有效应力法
'gu'liao 骨料
'gu'liao'ya'sui'tong 骨料压碎筒
'gua'che 挂车
'gua'lan 挂篮
'gua'liang 挂梁
'guan'duan'chen'fang 管段沉放
'guan'duan'fu'yun 管段浮运
'guan'han 管涵
'guan'jiang 灌浆
'guan'jie 管节
'guan'li 管理
'guan'li'she'shi 管理设施
'guan'peng 管棚
'guan'pian 管片
'guan'ru'fa 贯入法
'guan'shi'shen'gou 管式渗沟
'guan'wang 管网
'guan'xian 管线
'guan'xian'zong'he'she'ji 管线综合设计
'guan'zhu'ji'chu 管柱基础
'guang'mian'bao'po 光面爆破
'gui'hua 规划
'gun'gang 滚杠
'guo'dao 国道
'guo'du'duan 过渡段
'guo'jia'gan'xian'gong'lu 国家干线公路
'guo'jia'zhong'dian'gong'lu'jian'she'xiang'mu 国家重点公路建设项目
'guo'jing'jiao'tong 过境交通
'guo'shui'duan'mian 过水断面
'guo'shui'lu'mian 过水路面
'hai'wan 海湾
'han'dong 涵洞
'han'qi'liang 含气量
'han'qu'sui'dao 寒区隧道
'han'shui'liang 含水量
'han'shui'lv 含水率
'han'tu'bing'ceng 含土冰层
'han'you'lv 含油率
'hang'jia 绗架
'hang'kong'she'ying'bi'li'chi 航空摄影比例尺
'hang'kong'she'ying'ce'liang 航空摄影测量
'hang'she'ji'xian 航摄基线
'hang'she'xiang'pian'pan'du 航摄像片判读
'hang'she'xiang'pian'pan'du 航摄相片判读
'hang'shi 夯实
'hao'lu'lv 好路率
'hao'miao'bao'po 毫秒爆破
'he'cao 河槽
'he'cao'kuan'du 河槽宽度
'he'cheng'po'du 合成坡度
'he'chuang 河床
'he'chuang'bi'jiang 河床比降
'he'chuang'duan'mian'ce'liang 河床断面测量
'he'chuang'kuan'du 河床宽度
'he'liu 合流
'he'long'duan 合龙段
'he'tan 河滩
'he'wan 河湾
'he'yi'xing 和易性
'he'zai 荷载
'he'zai'shi'yan 荷载试验
'he'zai'zu'he 荷载组合
'heng'duan'mian 横断面
'heng'duan'mian'ce'liang 横断面测量
'heng'duan'mian'tu 横断面图
'heng'feng 横缝
'heng'ge'ban 横隔板
'heng'jia 桁架
'heng'jia'qiao 桁架桥
'heng'jing'ju 横净距
'heng'liang 横梁
'heng'po 横坡
'heng'tong'dao 横通道
'heng'xiang'suo'feng 横向缩缝
'heng'zhong'shi'dang'tu'qiang 衡重式挡土墙
