'ai'ge'xian'ba 哀歌弦罢
'bu'chang'xiao'hun'qu 不唱销魂曲
'bu'li'shang'xin'hua 不理伤心话
'bu'nai'nu'jing'he 不奈怒鲸何
'bu'neng'xiong'wu'bu'feng'liu 不能雄武不风流
'bu'qian'hong'deng'zhao'hua'lang 不遣红灯照画廊
'bu'rong'hong'dou'shan'xiang'si 不容红豆擅相思
'bu'ru'bei'leng'geng'xiang'xiao 不如被冷更香销
'bu'shi'qian'sheng'su'shi 不是前生夙世
'bu'shi'ren'jian'hua 不是人间话
'bu'shi'zhu'lou 不是朱楼
'bu'suan'zi 卜算子
'bu'xia'yun'ping 不下云軿
'bu'xin'huang'chen'xiao'bu'jin 不信黄尘消不尽
'bu'xin'piao'ling 不信飘零
'bu'xu'wei'hong 不许偎红
'bu'xu'you'li'bie 不须有离别
'bu'yao'nong'xiang 不要秾香
'bu'yong'dang'guan'xian'he'bao 不用当关仙鹤报
'bu'yuan'qiao'chang 不怨桥长
'bu'yuan'zhu'ren'jian 不愿住人间
'bu'zhu'jing'hong'ying 不驻惊鸿影
'cai'ba'meng'er'lao'zhuo'zhu 才把梦儿牢捉住
'cai'jian'yi'mo'xie'yang 才见一抹斜阳
'cai'jing'kan'hui'lang'yi'pie 才镜槛回廊一瞥
'cai'ren'bing'hou'feng'qing'si 才人病后风情死
'cai'ren'ju'wei'yang 才人居未央
'cai'ren'lao'qu'li'tao'chan 才人老去例逃禅
'cai'ru'dou'jin 才如窦锦
'cai'sang'zi 采桑子
'cai'ye'zong'heng 才也纵横
'cai'yun'xi'bei'fei 彩云西北飞
'can'chan'ye'ken 参禅也肯
'can'kui'sha'zhu'ren'xiang'jian 惭愧煞主人相见
'can'lv'mo'hu 惨绿模糊
'can'nian'ban'xiao'jin'shou 残年半销金兽
'can'you'ting'mai'fan'huang'sha'li 惨邮亭麦饭黄沙里
'cang'liang'shi'yi 苍凉诗意
'cang'mang 苍茫
'cang'xian'shang 苍藓上
'cao'bai'yun'huang 草白云黄
'ce'jian'chun'cheng 策蹇春城
'ce'ke'wen'guo'bian'san'qian'shi 策蝌文蜾扁三千事
'ceng'shi'dong'hua'sheng'xiao'ke 曾是东华生小客
'ceng'xian'hao'xiang'ceng'xian 曾现好相曾现
'ceng'zai'qu'lan'gan 曾在曲阑干
'cha'ling'lai'he'shi'ju 茶陵来和诗句
'cha'ou'jing'juan'xiang'ban 茶瓯经卷相伴
'cha'ou'xiang'zhu 茶瓯香炷
'chai'fei'yin'xie 钗飞吟歇
'chai'han'pei'shou 钗寒佩瘦
'chan'chan'gu'bi 潺潺古碧
'chan'chou'xiu'geng'yong 忏愁休更慵
'chan'lai'yi'jin 忏来易尽
'chan'qing'wen'zi'ku 忏卿文字苦
'chan'qu'yan'zi'wu'jia 忏渠燕子无家
'chan'ta'xiang'man 禅榻香满
'chan'zhan'chou'xin'wu'qi'li 禅战愁心无气力
'chang'chun'si'ni'lv 怅春似逆旅
'chang'feng'chui'ji 长风吹急
'chang'feng'qi 长风起
'chang'jia'yuan 长铗怨
'chang'jiu'xiao'xian'pei 怅九霄仙佩
'chang'ming'yuan'yang 长命鸳鸯
'chang'tiao'ye'ye 长条冶叶
'chang'wan'xiao'xia 长湾消夏
'chang'xiang'si 长相思
'chang'xiang'si'hai'tang'si 长相思海棠丝
'chang'yang'song 长杨颂
'chang'yin'duan'yin 长吟短吟
'chang'yue'di'xian'sheng 唱月底仙声
'chang'zhao'xian'ren 长爪仙人
'chao'chang'lv'mei'hua'xia'lu 怊怅绿梅花下路
'chao'chang'nian'hua 怊怅年华
'chao'chang'wu'geng'feng'ji'duan'hun'jing 怊怅五更风急断魂惊
'chao'hui'zui'ye 朝回醉也
'che'gu'nan'mian 彻骨难眠
'chen'ji'nan'xun 陈迹难寻
'chen'ji'tai'xin'suan 陈迹太辛酸
'chen'wo'ling'chen'lai'zao 嗔我凌晨来早
'cheng'du'shi'jiu 成都贳酒
'cheng'li'zheng'duan'yang 城里正端阳
'cheng'xi'yi'jiao'lin'guan'liu 城西一角临官柳
'cheng'yin'deng'huo'cu'gui'zhou 城闉灯火促归舟
'chi'ban'bi'qin'ye'lai 持半臂亲也来
'chi'huan'bu'fang'xun'gou'wen 痴鬟不放熏篝稳
'chi'lan'qiao'wai'chui'yang'liu 赤栏桥外垂杨柳
'chi'qi 迟起
'chong'chong'ge'zhu'chun'yin 重重阁住春阴
'chou'duo'jiu'xing 愁多酒醒
'chou'duo'zhi'se 愁多指涩
'chou'jue 愁绝
'chou'jue'bu'neng'fu 愁绝不能赋
'chou'jue'gong'you'ying 愁绝共幽映
'chou'nong'yuan'ru 愁侬怨汝
'chou'nu'er'ling 丑奴儿令
'chou'ren'gui'qu 愁人归去
'chou'si'cheng'yan 抽思骋妍
'chou'xu'kong'gong'duo 愁绪恐公多
'chu'shi'he'chou'deng 除是和愁等
'chu'shi'wu'chou'yu'mo'chou 除是无愁与莫愁
'chu'tian'yun'yu'dao'jin'yi 楚天云雨到今疑
'chuan'lai'quan'jian'chou 传来劝笺愁
'chuan'sheng'wei'jia'meng'er'nan 钏声微戛梦儿难
'chuang'san'mian 窗三面
'chuang'shang'yi'shi'bao 床上宜施宝
'chui'de'chun'kong'yue'duo'shi 吹得春空月堕时
'chui'duo'li'chou'dao'shi'jian 吹堕离愁到世间
'chui'guo'xian'zhou 吹过仙洲
'chui'sheng'pin'yue 吹笙聘月
'chui'xiao'xian'lv 吹箫仙侣
'chui'yang'jin'yuan 垂杨近远
'chui'yang'pan 垂杨畔
'chui'yang'xi'ma 垂杨系马
'chui'yang'zhao'yan'qing 垂杨照眼青
'chun'chou'huan'bu'xing 春愁唤不醒
'chun'chou'luan'ji'si 春愁乱几丝
'chun'feng'yi'du 春风一度
'chun'geng'bu'hui'tou 春更不回头
'chun'gui'shei'yu'shi'wen'cun 春归谁与试温存
'chun'han'se'se'wan'lai'tian 春寒瑟瑟晚来添
'chun'juan'ru'yun'bu'zi'chi 春倦如云不自持
'chun'kong'liang'si'shui 春空凉似水
'chun'lai'mei'ge'guan'xin'meng 春来没个关心梦
'chun'man'lu'bian 春满炉边
'chun'meng'duan'nian'tian'xiang'cao 春梦断拈天香草
'chun'nong'meng'shen 春浓梦沈
'chun'ren'zhi'wei'chun'chou'si 春人只为春愁死
'chun'shi'mi'ren 春事迷人
'chun'shou'san'fen 春瘦三分
'chun'shui'yuan'ting'li 春水园亭里
'chun'yan'ge'duan'tian'ya'shu 春烟阁断天涯树
'chun'yi'tai'han'sheng 春意太憨生
'chun'yu'quan'yi'tong'ting 春雨劝伊同听
'chun'zha'lou 春乍漏
'chun'zhu 春住
'ci'di'cui'wan 次第催完
'ci'du'qia'yi'dan 此度袷衣单
'ci'gao'ge 此高歌
'ci'hua'kai'jin'chu 此花开近处
'ci'hua'shen 此花身
'ci'jing'zui'nan'de 此景最难得
'ci'qiang'bi'yi 词腔婢倚
'ci'ren'wen'wo'zhong'lai'yi 词人问我重来意
'ci'sheng'you'yue'nan'xun 此生有约难寻
'ci'sheng'yu'wen'guang'ming'dian 此生欲问光明殿
'ci'tong'hua 刺桐花
'ci'ye'jiu'bian'ci'bi'jian 此夜酒边词笔健
'ci'zhang'bu'zuo 词章不作
'cong'jin'cui'xiu'bu'gu'qing 从今翠袖不孤清
'cong'jin'jue'jue 从今决绝
'cong'jin'shu'xi'ba 从今梳洗罢
'cong'jun'ye'yao 从军也要
'cong'wei'shi'lu'hua'feng'xu 从未识露花风絮
'cui'bei'ye'tu'xun 翠被夜徒熏
'cui'chuan'ji'liang 翠钏肌凉
'cui'da'guan'gu 催打官鼓
'cui'ke'qu 催客去
'cui'wo'gui'zhou 催我归舟
'cui'xiu'tian'han'tong'su 翠袖天寒同宿
'da'di'qiu'liu'meng'zhong'chui 大堤秋柳梦中垂
'da'yin'kuang'ming 大隐狂名
'da'zhao'bu'fan 大招不反
'dai'ba'qin'xin 待把琴心
'dai'chuan'lai'ruo'xian 待穿来弱线
'dai'gui'lai 待归来
'dai'qing'ju 待卿居
'dai'yue'shang 待月上
'dan'da'die'yin'hun 但打叠吟魂
'dan'mo'ceng'ti 淡墨曾题
'dan'ping'lan'song'jin'zheng'hong'zi 但凭栏送尽征鸿字
'dan'rong'rong'yu'shang 澹溶溶欲上
'dan'shen'qing'yi'wang'ru'chao 但深情一往如潮
'dan'yu'ying'er'shuang 淡与影儿双
'dang'ju'jian'gong'qi 当局荐公起
'dang'ju'zhe 当局者
'dang'mian 当面
'dang'yan'ji'shi'ru'xu 当筵即事如许
'dang'yan'wen'gu'yue 当筵问古月
'dang'zuo'gu'ren'kan 当作古人看
'dao'bu'ceng'jiang'xi 道不曾将息
'dao'er'jin 到而今
'dao'lai'sui'zhong'xun 道来岁重寻
'dao'tian'ya 到天涯
'dao'xie'cheng'shuang'ming'zi 倒写成双名字
'dao'yin'qu 导引曲
'de'duan'chang'xiao'xi 得断肠消息
'deng'che'qie'mo'hui'tou 登车切莫回头
'deng'dao'sui'han'shi'hou 等到岁寒时候
'deng'huo'lian'gou 灯火帘钩
'deng'huo'si'geng'tian 灯火四更天
'deng'lin'kua'fu 邓林夸父
'deng'lou'xuan'fu 登楼选赋
'deng'xie 灯歇
'di'bian'feng'qi 笛边风起
'di'chuang'ge'ban'he'chu 笛床歌板何处
'di'gong'long'xing'ji'jiao'zhuang 地拱龙兴犄角壮
'di'huai'nian'hua'jin'lv 低徊年华金缕
'di'huan'xiao'an'ni'chang 低鬟小按霓裳
'di'hui'yin'ye'ju 低回吟冶句
'di'li'feng'ren 笛里逢人
'di'li'jiao'chun'hui 笛里叫春回
'di'nian'dong'nan'min'mo 帝念东南民瘼
'di'sheng'jiao'po'wu'hu'qiu 笛声叫破五湖秋
'di'sheng'jiao'qi'juan'hun'shi 笛声叫起倦魂时
'di'shi'chu'man'han'bu'xing 底事雏鬘憨不醒
'di'wang'gong'dian 帝王宫殿
'di'yan'ruan'chen'hong 低颜软尘红
'di'yi'nan'fang 第一难防
'di'yi'zhi 笛一枝
'dian'jiang'chun 点绛唇
'dian'qi'gan 颠岂敢
'dian'qu'yu'ya'cha 典去玉丫叉
'dian'que'zhu'chai 典却珠钗
'dian'yin'gou 点银钩
'diao'long'wen'juan 雕龙文卷
'die'lian'hua 蝶恋花
'die'ye'bu'jin'qiu 蝶也不禁秋
'ding'chi'ling'jing'tao'hui'bi 定敕令井桃回避
'ding'feng'bo 定风波
'ding'shan'tang'pan 定山堂畔
'ding'shang'xin 定伤心
'ding'wan'gu'chang'dui'jing'pan 定万古长对晶盘
'ding'ying'xiao'wo'fei'ji 定应笑我非计
'dong'chun'kong'xian'lai'cen'ci 动春空仙籁参差
'dong'dong'qiu'jian'xiao'fen 冬冬虬箭宵分
'dong'feng'zuo'ye'chui'hun 东风昨夜吹魂
'dong'hai'qu'ting'qu 东海趋庭去
'dong'nan'ci'fu 东南词赋
'dong'nan'san'bai'zai 东南三百载
'dong'shan'xian'guan 东山弦管
'dong'tu'xi'mo'xun'chang'you 东涂西抹寻常有
'dong'xian'ge 洞仙歌
'dong'ying'dang'che 东瀛荡坼
'dong'zhi'yu'ling'shan'xia 东指羽陵山下
'dou'qin'bang'zhen 兜衾傍枕
'dou'ran'wen'de 陡然闻得
'dou'shuai'tian'zhong 兜率天中
'dou'wu'kuang'zui 都无狂醉
'du'wo'long'luan'zi 读我龙鸾字
'du'yi'huang'hun 独倚黄昏
'du'you'wu'wei'chun'shi 独游无味春时
'du'zi'qi'liang'hai'zi'qian 独自凄凉还自遣
'du'zi'qu 独自去
'du'zuo 独坐
'du'zuo'chan'yuan 独坐婵媛
'duan'he'xian'cai'ren'zai 端合仙才人在
'duan'jin'ling'fen 断金零粉
'duan'qiao'liu'shui 断桥流水
'duan'song'shao'yan 断送韶颜
'duan'wu'ren'jue 断无人觉
'duan'wu'you'yi'shang'mei'shao 断无幽意上眉梢
'duan'zheng'dang'chuang'hu 端正当窗户
'duan'zheng'hao 端正好
'dui'du'ling'ju'li 对杜陵句里
'dui'wo'qing'pin'yao'ye 对我轻颦姚冶
'dui'xi'feng 对西风
'dun're'qing'chou'qi 顿惹清愁起
'duo'bing'xin'qing 多病心情
'duo'chou'gong'zi'xin'lai'shou 多愁公子新来瘦
'duo'hu'shan'yi'jiao 堕湖山一角
'duo'jun'jin'shi'xiang'fang 多君今世相仿
'duo'qing'jun'lv 多情俊侣
'duo'shao'qing'hong'er'nv 多少青红儿女
'duo'shao'xin'qi'shang'mu 多少心期伤暮
'duo'si'ta'xin 堕似他心
'duo'xie'bin'xing'zhu'fu 多谢濒行嘱咐
'duo'xie'chen'yan'qian'bai'ju 多谢尘言千百句
'duo'xie'ci'xian 多谢词仙
'duo'xie'hua'shi'wei'wo 多谢画师慰我
'duo'xie'jiang'dong'feng'jing'hao 多谢江东风景好
'duo'xie'shi'seng 多谢诗僧
'duo'xie'xiao'huan'chuan'hao'yu 多谢小鬟传好语
'e'mei'pa'du 蛾眉怕妒
'e'wei'huang 额微黄
'en'shen'yuan'shen 恩深怨深
'en'xie'jue 恩歇绝
'en'yuan'shui'wei'zhu 恩怨谁为主
'er'fen'ming'yue 二分明月
'er'nv 儿女
'er'qing'mei'hua 二顷梅花
'er'shi'na'zhong'qing'wei 儿时那种情味
'er'shi'wu'chang'ting 二十五长亭
'fa'qu'xian'xian'yin 法曲献仙音
'fa'ru'he 法如何
'fan'ai'luo'wei'yong'deng 翻爱罗帏拥灯
'fan'bao'mo'ling'yan 帆饱秣陵烟
'fan'bian'hua'yan 翻遍华严
'fan'fan'yuan'yan'yue 番番圆艳约
'fan'qing'di'su 烦卿低诉
'fan'ying'lue'tian'guo 帆影掠天过
'fan'yuan'de'jiao'chen 翻愿得娇嗔
'fang'hun'yong'shou 芳魂永守
'fang'xue'hua'qian 放学花前
'fang'xun'ji'ying'zhun 芳讯寄应准
'fang'xun'yao 芳讯杳
'fang'you'jiao'ting 防有蛟听
'fei'bu'dao 飞不到
'fei'cai'xun 费猜寻
'fei'du 飞渡
'fei'guo'huang'he'qu 飞过黄河去
'fei'guo'meng'meng'xiang'xue'yi'qian'zhi 飞过濛濛香雪一千枝
'fei'hong'qu 飞鸿去
'fei'xia'shan'shan'ying 飞下珊珊影
'fei'xing'he'chu'mang 吠星何处尨
'fen'die'kui'ren'shou 粉蝶窥人瘦
'fen'fu'yao'lu'yan'song 分付药炉烟送
'fen'ming'bu'shi 分明不是
'fen'qi'cheng'shen 愤气成神
'fen'zhui'jing'chu'xing 粉坠惊初醒
'feng'feng'yu'yu 风风雨雨
'feng'hen'yu'dian'lan'ban'li 风痕雨点斓斑里
'feng'huang'tai'shang'yi'chui'xiao 凤凰台上忆吹箫
'feng'jing'deng'qing'xiang'zhuan'han 凤胫灯青香篆寒
'feng'jun'yi'xiao 逢君一笑
'feng'ma'yun'che'li'li 风马云车历历
'feng'qi'wu 凤栖梧
'feng'qian'hui'lei'xie'luan'mei 风前挥泪谢鸾媒
'feng'ren'kua'shuo'qin'du 逢人誇说亲睹
'feng'shan'wei'ji 凤山围急
'feng'shen'xiao'wo'chen'tu 风神消我尘土
'feng'xie'guo'lan'gan 凤屧过阑干
'feng'yu'sa'ran'zhi 风雨飒然至
'feng'yue'kong'zong'nan'jie'hen 凤约倥偬难解恨
'feng'zai'bu'dao 风灾不到
'fo'deng'zhu 佛灯住
'fo'jian'rong'wo'tan'jing'zuo 佛箭容我摊经坐
'fu'chun'feng'duan'meng'ling'xing 付春风短梦零星
'fu'hua'nian'shui'geng'lian'qing 负华年谁更怜卿
'fu'huan'chang'ci'bi'lan'shan 负欢场词笔阑珊
'fu'le'mo'li'long'nv 负了莫釐龙女
'fu'rong'lao'qu 芙蓉老去
'fu'rong'shui'ye 芙蓉睡也
'fu'xi'xi'shan'yu 祓禊西山雨
'fu'zhang'xin'ran'er'zou 扶杖欣然而走
'gan'bi'zhu'bin 甘避诸宾
'gan'chen'meng 感尘梦
'gan'jun'yu'xiao'yu'cong'kuang 感俊语小玉聪狂
'gan'shou'zao'ding'lian 甘受灶丁怜
'gan'xin'fei'jin 甘心费尽
'gao'chang'ye'wu'qi 高唱夜乌起
'gao'cheng'chi'wu 高城尺五
'gao'ge'fo'deng'qing 高阁佛灯青
'gao'lou'bu'ba'chu'ni'zhi 高楼卜罢刍尼至
'gao'lou'deng'huo 高楼灯火
'gao'lou'te'qi'ying'tao'yan 高楼特启樱桃宴
'gao'yang'tai 高阳台
'gao'yang'tai'jiao'qu'han'xiang 高阳台嚼曲含香
'gao'yu'yu'shan'qi 高与玉山齐
'ge'bei'chu 各焙出
'ge'le'fang'zun 阁了芳樽
'ge'nong'dao'shi'lou'dong'yu 个侬道是楼东玉
'ge'qun'na'xu'pei'xiao'yan 葛裙那许陪宵燕
'ge'ren 割忍
'ge'shi'cai'ren'wu'shu 各是才人无数
'ge'xi'mei'ling 鬲溪梅令
'ge'yang'liu 歌杨柳
'ge'you'shang'xin'cha'hua'zai 各有伤心茶话在
'geng'he'xu 更何须
'geng'jie'jin'yan'han'xia'zi 更结尽燕邯侠子
'geng'ling'bo'kong'shi 更凌波恐湿
'geng'ming'zhu'hua'qiao 更明烛画桥
'geng'shi'hang'xie'mo'cong'cong'yin 更十行斜墨匆匆印
'geng'shuo'feng'liu'xiao'song 更说风流小宋
'gong'chou'yao'fu'xiao 工愁要福销
'gong'ci'qu 公此去
'gong'fo'ping'zhong'kong'jiu 供佛瓶中空久
'gong'shi'deng'chang'bao'lao 公是登场鲍老
'gong'zhu'qi'yan 宫烛凄烟
'gou'shui'wu'qing'liu'qu 沟水无情流去
'gu'fu'jiang'shan'qing'qi 孤负江山清绮
'gu'jian'ti'yue 古笺啼月
'gu'lai'qing'yu'ai'mi'li 古来情语爱迷离
'gu'lai'ying'li 古来英丽
'gu'mo'xin'ling'he'yi 汩没心灵何已
'gu're'ying'hou'ma 故惹莺喉骂
'gu'ren'bi'kong'you'yue 故人碧空有约
'gu'ren'tian'mo'bu'jian 故人天末不见
'gu'shi'chu'huan'jian 故使雏鬟见
'gu'xiang'ai 古香馤
'gu'zhi'ying'zuan'bu'chu 故纸蝇钻不出
'gua'qi'bei'zheng'tu 挂起北征图
'guai'lai'chi 怪来迟
'guan'le'lv'chuang'sha 关了绿窗纱
'guan'shan'cun'cun'chou 关山寸寸愁
'guan'shan'he'chu'qiu'sheng 关山何处秋声
'guan'shan'jue 关山绝
'guan'xin'wo'yi'zhong'lai'ke 关心我亦重来客
'guang'ling'wu'shi 广陵吴市
'gui'dian'qiu 桂殿秋
'gui'dian'qiu'jing'jue'hou 桂殿秋惊觉后
'gui'ge'wu'qian'gu 闺阁无前古
'gui'ji'zu 归计阻
'gui'lai'wei'suan'nian'hua'wu 归来未算年华误
'gui'qu'ti'hen 归去啼痕
'guo'qing'shan'wan'hen 过青山万痕
'guo'ran'qing'li 果然清丽
'hai'ken'fou 还肯否
'hai'shang'yun'ping'yu 海上云萍遇
'hai'tang'bian'wei'ta'liang'liang 海棠边慰他凉靓
'hai'tang'si 海棠丝
'hai'tian'long'xue 海天龙血
'hai'xu'hu'qiu'qiu'xi 还许虎邱秋禊
'han'cai'liang'san'qi 寒菜两三畦
'han'dian'ye'liang'gui'qu 汉殿夜凉归去
'han'le'meng'ou'yuan 寒了盟鸥愿
'han'lv'shen'shen'zhang'sha'qiao 寒绿深深帐纱悄
'han'nuan'zhang'lang'hu 寒暖仗郎护
'han'tu'xie'jiu 寒图写就
'han'wu'qin'huang 汉武秦皇
'hang'guo'song'ling'gu'dao 行过松陵古道
'hao'ge'dang'lu'ren'shi'wu 好个当炉人十五
'hao'huan'le'qing'deng 好换了青灯
'hao'meng'ru'yun'bu'zi'you 好梦如云不自由
'hao'meng'zui'nan'liu 好梦最难留
'hao'sha'nian'guang'jiang'qu 好煞年光将去
'hao'shi'jin 好事近
'hao'zeng'shi 好赠是
'he'bu'jiang'yun'lou'xia'qu 何不绛云楼下去
'he'ceng'yuan 何曾怨
'he'chu'lian'long'he'chu'yuan 何处帘栊何处院
'he'chu'pin'hua 何处蘋花
'he'chu'shi'xin'chao 何处是新巢
'he'chu'xun'qiu'he'chu'zui 何处寻秋何处醉
'he'chu'zong'feng'xiang'huo 何处宗风香火
'he'huo'ling 喝火令
'he'ku'ban'qing'yin 何苦伴清吟
'he'kuang'san'nian'yin'xu 何况三年吟绪
'he'kuang'tuo'yi'shang 何况脱衣裳
'he'pei'jun'jia'fu'jiu'xing 合配君家赋九行
'he'ren'qing'zhi'sha'mao 何人轻掷纱帽
'he'ren'xiang'hua'wai'chui'xiao 何人向花外吹箫
'he'ri'liang'zhi'yu'di 何日两枝玉笛
'he'ri'liang'zhu'yuan'le 何日量珠愿了
'he'ru'yi'xiang'cao'jian'zhi 何如移向草间置
'he'xin'lang 贺新郎
'he'yi'bao'ta'wan'shan 何以报他纨扇
'he'yuan'shi'shang'zhi 何缘世上知
'hen'sha'jia'ren'qi'chi 恨煞佳人起迟
'hen'ying'tong 恨应同
'hen'yu'sheng'chui'che 恨玉笙吹彻
'heng'bo'xian'zi'qiu 横波先自秋
'hong'chuang'xie'yue'ming 红窗斜月明
'hong'dou'pao'can 红豆抛残
'hong'dou'xian'yin 红豆闲吟
'hong'lan'gan'wai'ye'lan'shan 红阑干外夜阑珊
'hong'lei'dan'qian'hen 红泪弹前恨
'hong'lei'liu'hen 红泪留痕
'hong'lian'shuang'juan 红帘双卷
'hong'lou'ge'wu 红楼隔雾
'hong'lou'yi'jiao'shen'shen 红楼一角沈沈
'hong'qiang'xi'qu'xiao'chang'gan 红墙西去小长干
'hong'yang'shu'jie 红羊数劫
'hong'yi'jiang'bing 红敧绛病
'hong'zhu'huan'chang 红烛欢场
'hong'zhu'tian'ci 红烛填词
'hong'zhuang'bai'ye 红妆白也
'hong'zhuang'da'jiang'tong'hai 红妆打桨同还
'hong'zhuang'qian'bai 红妆浅拜
'hong'zi'xiao'hun 红字消魂
'hou'che'shan'he'da'di 吼撤山河大地
'hou'ting'yan 后庭宴
'hu'di'xu'mi'cang'jie'li 忽地须弥藏芥里
'hu'hai'shi 湖海事
'hu'hu'gan'nian'hua 忽忽感年华
'hu'lou'jin 壶漏尽
'hu'shui'hu'feng'liang'bu'guan 湖水湖风凉不管
'hu'tou'yan'han'shu'sheng 虎头燕颔书生
'hu'yi'qing'men'ren'gao'mei 忽忆青门人缟袂
'hu'yun'ru'meng 湖云如梦
'hu'zhi'yu'chu 呼之欲出
'hua'bu'cheng'qi 花不成畦
'hua'chuan'yao 画船摇
'hua'di'xie'er'hua'wai 花底鞋儿花外
'hua'ding'lu'hen 划定炉痕
'hua'fei'liang'an 花飞两岸
'hua'fei'xue'shou 花肥雪瘦
'hua'han'kong'bu'jin 花寒恐不禁
'hua'hun'die'meng'fei'nan'du 花魂蝶梦飞难度
'hua'jian'hao'zhu 花间好住
'hua'kai'bu'he'yang'chun'mu 花开不合阳春暮
'hua'kai'le 花开了
'hua'liang'yan'zi'yi'wu'jia 画梁燕子已无家
'hua'lou'gao 画楼高
'hua'nian'xin'xu'cong'tou'li 华年心绪从头理
'hua'nian'xin'xu'yin'yin 华年心绪愔愔
'hua'ping'you'zi'yin'zhu 画屏犹自银烛
'hua'qi'shi'yin'ping 花气湿银屏
