'ba'hui 把麾
'jun'jun'xue'jiao'shou 军军学教授
'jun'pan'guan 军判官
'jun'pu 军铺
'jun'shi 军使
'jun'shi'pan'guan 军事判官
'jun'shi'tui'guan 军事推官
'jun'shi'zhi'xian 军使知县
'jun'shi'zhou 军事州
'jun'shou 军守
'jun'shou 郡守
'jun'tai'shou 郡太守
'jun'wei 军尉
'jun'xiang 郡庠
'jun'xue 军学
'jun'xue 郡学
'jun'xun 军巡
'jun'xun'pan'guan 军巡判官
'jun'xun'yuan 军巡院
'jun'yuan 军院
'jun'zi'ku 军资库
'jun'zuo 郡佐
'kai'feng'bing'cao 开封兵曹
'kai'feng'fu 开封府
'kai'feng'fu'bing'cao'can'jun'shi 开封府兵曹参军事
'kai'feng'fu'bo'shi 开封府博士
'kai'feng'fu'can'jun'shi 开封府参军事
'kai'feng'fu'cang'cao'can'jun'shi 开封府仓曹参军事
'kai'feng'fu'fa'cao'can'jun'shi 开封府法曹参军事
'kai'feng'fu'gong'cao'can'jun'shi 开封府功曹参军事
'kai'feng'fu'gong'cao'can'jun'shi 开封府工曹参军事
'kai'feng'fu'gou'dang'you'xiang'gong'shi'suo 开封府勾当右厢公事所
'kai'feng'fu'gou'dang'zuo'xiang'gong'shi'suo 开封府勾当左厢公事所
'kai'feng'fu'guan'gou'jia'ge'guan 开封府管勾架阁官
'kai'feng'fu'hu'cao'can'jun'shi 开封府户曹参军事
'kai'feng'fu'jian'jiao'ku 开封府检校库
'kai'feng'fu'jun'xun'yuan 开封府军巡院
'kai'feng'fu'liu'cao'can'jun 开封府六曹参军
'kai'feng'fu'liu'cao'guan 开封府六曹官
'kai'feng'fu'mu 开封府牧
'kai'feng'fu'pan'guan 开封府判官
'kai'feng'fu'san'yuan 开封府三院
'kai'feng'fu'shao'yin 开封府少尹
'kai'feng'fu'shi'yuan 开封府使院
'kai'feng'fu'si 开封府司
'kai'feng'fu'si'lu 开封府司录
'kai'feng'fu'si'lu'can'jun'shi 开封府司录参军事
'kai'feng'fu'si'lu'si 开封府司录司
'kai'feng'fu'si'lu'si'jian'jiao'ku 开封府司录司检校库
'kai'feng'fu'tu'cao'can'jun'shi 开封府土曹参军事
'kai'feng'fu'tui'guan 开封府推官
'kai'feng'fu'xing'cao'can'jun'shi 开封府刑曹参军事
'kai'feng'fu'xue'bo'shi 开封府学博士
'kai'feng'fu'xue'qian'liang'guan 开封府学钱粮官
'kai'feng'fu'yi'cao'can'jun'shi 开封府仪曹参军事
'kai'feng'fu'yin 开封府尹
'kai'feng'fu'you'jun'xun'pan'guan 开封府右军巡判官
'kai'feng'fu'you'jun'xun'shi 开封府右军巡使
'kai'feng'fu'you'jun'xun'yuan 开封府右军巡院
'kai'feng'fu'zhu'cao'can'jun 开封府诸曹参军
'kai'feng'fu'zhu'cao'can'jun'shi 开封府诸曹参军事
'kai'feng'fu'zhu'xiang'xun'jian 开封府诸厢巡检
'kai'feng'fu'zuo'jun'xun'pan'guan 开封府左军巡判官
'kai'feng'fu'zuo'jun'xun'shi 开封府左军巡使
'kai'feng'fu'zuo'jun'xun'yuan 开封府左军巡院
'kai'feng'liu'zhi 开封六职
'kai'feng'mu 开封牧
'kai'feng'pan'guan 开封判官
'kai'feng'tui'guan 开封推官
'kai'feng'yin 开封尹
'li'yuan 理掾
'li'zheng 里正
'lian'shuai 连帅
'liang'jun'xun 两军巡
'liang'jun'xun'yuan 两军巡院
'liang'wei 两尉
'lin'an'fu 临安府
'lin'an'fu'bei'cui 临安府北倅
'lin'an'fu'cheng'bei'xiang'ting 临安府城北厢厅
'lin'an'fu'cheng'nei'you'xiang'dou'xun'jian 临安府城内右厢都巡检
'lin'an'fu'cheng'nei'zuo'xiang'dou'xun'jian 临安府城内左厢都巡检
'lin'an'fu'dang'zhi'si 临安府当直司
'lin'an'fu'dou'ting 临安府都厅
'lin'an'fu'jia'ge'ku 临安府架阁库
'lin'an'fu'jun'zi'ku 临安府军资库
'lin'an'fu'pan'guan 临安府判官
'lin'an'fu'san'cui'ting 临安府三倅厅
'lin'an'fu'san'yu 临安府三狱
'lin'an'fu'shao'yin 临安府少尹
'lin'an'fu'tui'guan 临安府推官
'lin'an'fu'xing'gong'liu'shou 临安府行宫留守
'lin'an'fu'xing'gong'liu'shou'si 临安府行宫留守司
'lin'an'fu'xing'gong'tong'liu'shou 临安府行宫同留守
'lin'an'fu'xue 临安府学
'lin'an'fu'xue'jiao'shou 临安府学教授
'lin'an'fu'xue'jiao'shou'dong'ting 临安府学教授东厅
'lin'an'fu'xue'jiao'shou'xi'ting 临安府学教授西厅
'lin'an'fu'yin 临安府尹
'lin'an'fu'yuan 临安府院
'lin'an'fu'zhi 临安府知
'lin'an'tong'pan 临安同判
'ling'ge 铃阁
'ling'xia 铃下
'ling'yin 令尹
'ling'zhai 铃斋
'liu'shou 留守
'liu'shou'bei'du 留守北都
'liu'shou'si 留守司
'liu'si 留司
'liu'yao 留钥
'lu'can 录参
'lu'can'jun 录参军
'lu'cao 录曹
'lu'shi 录事
'lu'shi'can 录事参
'lu'shi'can'jun 录事参军
'lu'shi'can'jun'shi 录事参军事
'ma'bu'dou'yu'hou 马步都虞侯
'ma'bu'pan'guan 马步判官
'ma'bu'yuan 马步院
'ma'di 马递
'ma'di'pu 马递铺
'ma'pu 马铺
'ming'fu 明府
'ming'gong 明公
'mou'zhou 某州
'mou'zhou'jiao'shou 某州教授
'mou'zhou'mou'cao'can'jun 某州某曹参军
'mou'zhou'mou'cao'yuan 某州某曹掾
'mu'fu 幕府
'mu'guan 幕官
'mu'min'tian'fu 牧民天府
'mu'shu 幕属
'mu'zhi 幕职
'mu'zhi'guan 幕职官
'nan'fu 南府
'nan'hai'miao'ling 南海庙令
'nan'jing'liu'shou 南京留守
'nan'jing'liu'shou'si 南京留守司
'nan'jing'liu'si 南京留司
'nan'jing'shu'yuan 南京书院
'nan'nei 南内
'nan'ya 南衙
'nei'shi 内史
'ni'shi 泥轼
'pan'fu 判府
'pan'lin'an'fu 判临安府
'pan'mou'fu'jun'fu'shi 判某府军府事
'pan'mou'zhou'jun'zhou'shi 判某州军州事
'pan'nan'ya 判南衙
'pan'zhou 判州
'pei'jing 陪京
'qi'chang 耆长
'qian'jian 钱监
'qian'pan 签判
'qian'pan'ting 签判厅
'qian'shu'fang'yu'pan'guan'shi 签书防御判官事
'qian'shu'guan'cha'pan'guan'shi 签书观察判官事
'qian'shu'jian'pan'guan'shi 签书监判官事
'qian'shu'jie'du'pan'guan'shi 签书节度判官事
'qian'shu'jie'du'pan'guan'ting 签书节度判官厅
'qian'shu'jie'du'pan'guan'ting'gong'shi 签书节度判官厅公事
'qian'shu'jun'shi'pan'guan'shi 签书军事判官事
'qian'shu'pan'guan 佥书判官
'qian'shu'pan'guan 签书判官
'qian'shu'pan'guan'ting 签书判官厅
'qian'shu'pan'guan'ting'gong'shi 签书判官厅公事
'qian'shu'pan'guan'ting'gong'shi 签署判官厅公事
'qian'shu'tuan'lian'pan'guan'shi 签书团练判官事
'qian'ting 签厅
'qin'tang 琴堂
'quan'fa'qian'mou'zhou'jun'zhou'shi 权发遣某州军州事
'quan'fa'qian'zhou'shi 权发遣州事
'quan'yi'xue'jiao'shou 权医学教授
'quan'zhi'fu 权知府
'quan'zhi'kai'feng'fu'shi 权知开封府事
'quan'zhi'mou'zhou'jun'zhou'shi 权知某州军州事
'quan'zhi'zhou 权知州
'san'yu'yuan 三狱院
'shan'chang 山长
'shang'guan 上官
'shang'zuo'guan 上佐官
'shao'fu 少府
'sheng'fu'xue'shi 省府学士
'shi'jun 使君
'shi'jun 史君
'shi'shuai 师帅
'shi'yuan 使院
'shi'yuan'dou'kong'mu'guan 使院都孔目官
'shi'yuan'gou'ya'guan 使院勾押官
'shi'zhang 师长
'shi'zhou'liang'yuan 使州两院
'shou'bei'men 守北门
'shou'chen 守臣
'shou'cui 守倅
'shou'er 守贰
'shou'nan'jing 守南京
'shou'zai 守宰
'shu'ji 书记
'shu'tang 书堂
'shu'yuan 书院
'shuai'fan 帅藩
'si'du'miao'ling 四渎庙令
'si'fa 司法
'si'fa'can'jun 司法参军
'si'fa'can'jun'shi 司法参军事
'si'fa'can'jun'ting 司法参军厅
'si'hu 司户
'si'hu'can'jun 司户参军
'si'hu'can'jun'shi 司户参军事
'si'hu'can'jun'ting 司户参军厅
'si'jing'liu'shou'pan'guan 四京留守判官
'si'jing'liu'shou'tui'guan 四京留守推官
'si'kou 司寇
'si'kou'can'jun'shi 司寇参军事
'si'kou'yuan 司寇院
'si'li 司理
'si'li'can'jun 司理参军
'si'li'can'jun'shi 司理参军事
'si'li'yuan 司理院
'si'lu'can'jun 司录参军
'si'lu'si 司录司
'si'shi 司士
'si'shi'can'jun 司士参军
'si'shu'yuan 四书院
'song'yang'shu'yuan 嵩阳书院
'sui'yang'shu'yuan 睢阳书院
'tai'shou 太守
'tan'zhou'san'xue 潭州三学
'tang'chang 堂长
'ti'jiang 提将
'ti'ju 提举
'ti'ju'ma'di'pu 提举马递铺
'tian'cui 添倅
'tian'fu 天府
'tian'fu'yin 天府尹
'tong'pan 同判
'tong'pan'jun'zhou'shi 同判军州事
'tong'pan'kai'feng'fu'shi 同判开封府事
'tong'pan'lin'an 同判临安
'tong'pan'lin'an'jun'fu'shi 同判临安军府事
'tong'pan'mou'fu 通判某府
'tong'pan'mou'fu'jun'fu'shi 通判某府军府事
'tong'pan'mou'jun 通判某军
'tong'pan'mou'jun'shi 通判某军事
'tong'pan'mou'zhou'jun'zhou'shi 同判某州军州事
'tong'pan'ting 同判厅
'tong'pan'zhou'shi 同判州事
'tong'zhi 同知
'tong'zhi'mou'zhou'jun'zhou'shi 同知某州军州事
'tong'zhou 通州
'tong'zhou'jun'zhou 通州军州
'tu'cao 土曹
'tu'cao'can'jun 土曹参军
'tuan'lian'pan'guan 团练判官
'tuan'lian'tui'guan 团练推官
'tuan'lian'zhou 团练州
'tui'dian 推典
'tui'guan 推官
'wai'ren'jian'dang 外任监当
'wei'cao 尉曹
'wei'cha 尉察
'wei'du 尉督
'wei'si 尉司
'wei'zhi 尉治
'wen'xue 文学
'wen'xue'can'jun 文学参军
'wo'hu'bei'men 卧护北门
'wu'guan'zhi'chang 五筦之长
'wu'ma 五马
'wu'wu 物务
'wu'yue'miao'ling 五岳庙令
'xi'jing'liu'shou 西京留守
'xi'jing'liu'shou'si 西京留守司
'xi'jing'shou 西京守
'xi'wei 西尉
'xian'bu 县簿
'xian'cheng 县丞
'xian'cheng'ting 县丞厅
'xian'jia 县家
'xian'ling 县令
'xian'si 县司
'xian'wei 县尉
'xian'wei'si 县尉司
'xian'xiao'xue 县小学
'xian'xie 县廨
'xian'xue 县学
'xian'xue'yu 县学谕
'xian'xue'zhang 县学长
'xian'yin 县尹
'xian'zai 县宰
'xian'zhu'bu 县主簿
'xian'zhu'bu'ting 县主簿厅
'xian'zuo 县佐
'xiang'fang 厢坊
'xiang'guan 厢官
'xiang'jie'dou'suo'you 厢界都所由
'xiang'jie'suo'you 厢界所由
'xiang'shou 乡手
'xiang'shu'shou 乡书手
'xiang'xun 厢巡
'xiang'zhang 乡长
'xiao'chang 小长
'xiao'xue'jiao'yu 小学教谕
'xing'gong'liu'shou'si'gong'shi 行宫留守司公事
'xing'zai 行在
'xing'zai'jun'xun'pu 行在军巡铺
'xing'zai'suo 行在所
'xing'zhe 行者
'xue'guan 学官
'xun'jian 巡检
'xun'ma'di'pu 巡马递铺
'xun'pu 巡铺
'xun'pu'guan 巡铺官
'xun'pu'shi'chen 巡铺使臣
'xun'xia 巡辖
'xun'xia'di'pu 巡辖递铺
'xun'xia'guan 巡辖官
'xun'xia'ma'di'pu'guan 巡辖马递铺官
'xun'xia'ma'di'pu'shi'chen 巡辖马递铺使臣
'xun'xia'shi'chen 巡辖使臣
'ya'pu 押铺
'yi'bo'shi 医博士
'yi'bu 邑簿
'yi'chang 邑长
'yi'cheng 邑丞
'yi'chuan 驿传
'yi'hui 一麾
'yi'ling 邑令
'yi'qian'shi 驿遣使
'yi'shi 驿使
'yi'wei 邑尉
'yi'xie 邑廨
'yi'zai 邑宰
'yi'zhang 一障
'yi'zhi 驿置
'yi'zuo 邑佐
'yin'chen 尹臣
'yin'jing 尹京
'yin'tian'fu 尹天府
'yin'zheng 尹正
'yin'zhong'du 尹中都
'ying'tian'fu 应天府
'ying'tian'fu'shu'yuan 应天府书院
'yong'hui 拥麾
'you'chuan 邮传
'you'jun'xun 右军巡
'you'jun'xun'jian 右军巡检
'you'jun'xun'pan'guan 右军巡判官
'you'jun'xun'shi 右军巡使
'you'jun'xun'yuan 右军巡院
'you'jun'xun'yuan'tui'si 右军巡院推司
'you'jun'xun'yuan'yu 右军巡院狱
'you'si'li 右司理
'you'si'li'can'jun'shi 右司理参军事
'you'si'li'yuan 右司理院
'you'tu'zhi'guan 有土之官
'you'xiang'guan 右厢官
'you'xun'yuan 右巡院
'you'zhi 邮置
'yuan'wai 员外
'yuan'zhang 院长
'yue'lu'jing'she 岳麓精舍
'yue'lu'shu'yuan 岳麓书院
'zai'zi 宰字
'zhai'guan 寨官
'zhai'zhu 寨主
'zhang'guan 长官
'zhang'li 长吏
'zhang'liu'wu 掌留务
'zhang'shu'ji 掌书记
'zhen'guan 镇官
'zhen'jiang 镇将
'zhen'pan'guan 镇判官
'zhen'si 镇司
'zheng'yi'xue'jiao'shou 正医学教授
'zhi'bao 知堡
'zhi'bei'jing'liu'shou'si'shi 知北京留守司事
'zhi'cheng 知城
'zhi'fu 知府
'zhi'fu'shi 知府事
'zhi'guan 知关
'zhi'guan 知管
'zhi'guan 职官
'zhi'jian 知监
'zhi'jun 知郡
'zhi'jun 至军
'zhi'kai'feng'fu 知开封府
'zhi'lin'an'fu 知临安府
'zhi'lin'an'fu'shi 知临安府事
'zhi'lin'an'jun'fu'shi 知临安军府事
'zhi'liu'shou'si'shi 知留守司事
'zhi'lu 知录
'zhi'lu'shi'can'jun'shi 知录事参军事
'zhi'mou'fu'jun'fu'shi 知某府军府事
'zhi'mou'jian'shi 知某监事
'zhi'mou'jun'shi 知某军事
'zhi'mou'xian'shi 知某县事
'zhi'mou'zhou'jun'fu'shi 知某州军府事
'zhi'mou'zhou'jun'zhou'shi 知某州军州事
'zhi'nan'jing'liu'shou'si'shi 知南京留守司事
'zhi'shi 支使
'zhi'tong 知通
'zhi'xi'jing'liu'shou'pan'guan'shi 知西京留守判官事
'zhi'xi'jing'liu'shou'si'shi 知西京留守司事
'zhi'xian 知县
'zhi'xian'cheng'shi 知县丞事
'zhi'xian'shi'jian'jun'shi 知县事兼军使
'zhi'zhai 知寨
'zhi'zhong 治中
'zhi'zhou 知州
'zhi'zhou'shi 知州事
'zhi'zhou'shuai 知州帅
'zhi'zuo 知佐
'zhong'yue'miao'ling 中岳庙令
'zhou'bie'jia 州别驾
'zhou'cong'shi 州从事
'zhou'cui 州倅
'zhou'gang 州纲
'zhou'hui 州麾
'zhou'jia 州家
'zhou'jian 州监
'zhou'jiang 州将
'zhou'jiao'shou 州教授
'zhou'jun'xue'xiao 州郡学校
'zhou'liang'yuan 州两院
'zhou'mu 州牧
'zhou'pan 州判
'zhou'si 州司
'zhou'si'ma 州司马
'zhou'xue 州学
'zhou'yuan 州掾
'zhou'yuan 州院
'zhou'zhang'shi 州长史
'zhou'zhou'xue'jiao'shou 州州学教授
'zhou'zuo 州佐
'zhu'bu 主簿
'zhu'bu'ting 主簿厅
'zhu'cao'can'jun'shi 诸曹参军事
'zhu'cao'guan 诸曹官
'zhu'guan'cheng'nan'bei'xiang'gong'shi 主管城南北厢公事
'zhu'guan'cheng'nei'you'xiang'gong'shi 主管城内右厢公事
'zhu'guan'cheng'nei'zuo'xiang'gong'shi 主管城内左厢公事
'zhu'guan'jian'kang'fu'xing'gong'liu'shou'si'gong'shi 主管建康府行宫留守司公事
'zhu'lu'jiao'shou 诸路教授
'zhu'lu'xue'xiao 诸路学校
'zhu'lu'yi'xue 诸路医学
'zhu'pan 主泮
'zhu'qian'jian 铸钱监
'zhu'si'can'jun'shi 诸司参军事
'zhu'xian'bu 主县簿
'zhu'xue'qian'liang'guan 诸学钱粮官
'zhu'zhou'cao'yuan'guan 诸州曹掾官
'zhuan'cheng 专城
'zhuan'cheng 专诚
'zi'yin 资尹
'zong'gan 总干
'zong'xia 总辖
'zong'xia'fang 总辖房
'zou'ma'feng'shi 走马奉使
'zuo'fu 左符
'zuo'guan'ting 佐官厅
'zuo'jun'xun 左军巡
'zuo'jun'xun'jian 左军巡检
'zuo'jun'xun'pan'guan 左军巡判官
'zuo'jun'xun'shi 左军巡使
'zuo'jun'xun'yuan 左军巡院
'zuo'jun'xun'yuan'tui'si 左军巡院推司
'zuo'jun'xun'yuan'yu 左军巡院狱
'zuo'shi'fu 佐使府
'zuo'shou 佐守
'zuo'si'li 左司理
'zuo'si'li'can'jun'shi 左司理参军事
'zuo'si'li'yuan 左司理院
'zuo'ting 佐厅
'zuo'xiang'guan 左厢官
'zuo'xun'yuan 左巡院
'zuo'yi 作邑
'zuo'yuan 作院
