'bao'qi 宝器
'shang'gu'shi'da'shen'qi 上古十大神器
'shang'gu'shi'da'shen'shou 上古十大神兽
'shang'gu'shi'da'xiong'qi 上古十大凶器
'shang'gu'shi'da'xiong'shou 上古十大凶兽
'she'bi'shi 奢比尸
'shen'hua'ti'zhi 神话体质
'shen'jie 神界
'shen'jing 神晶
'shen'zu 神族
'sheng'zu 圣族
'shi'er'dou'tian'shen'sha'zhen 十二都天神煞阵
'shi'po 湿婆
'shou'ren'zu 兽人族
'shou'zu 兽族
'shui'ling'gen 水灵根
'si'da'bu'zhou 四大部洲
'tai'shang'dan'dao 太上丹道
'tai'shang'wang'qing'lu 太上忘情录
'tai'shang'wang'qing'zong 太上忘情宗
'tan'xi'zhi'qiang 叹息之墙
'tao'tie 饕餮
'tian'bo'xun 天波旬
'tian'jie 天界
'tian'ren'zu 天人族
'tian'wu 天吴
'tian'zu 天族
'tong'tian'jiao'zhu 通天教主
'tong'tian'yan 通天眼
'tu'ling'gen 土灵根
'wei'mian 位面
'wu'ji 武技
'wu'xing 五行
'wu'xing'ba'gua 五行八卦
'wu'zu 巫族
'xi'he 羲和
'xi'he'niu'zhou 西贺牛洲
'xian'zu 仙族
'xiang'liu 相柳
'xiang'lu 香炉
'xie'ling'zu 邪灵族
'xing'tian 刑天
'xiu'luo'jie 修罗界
'xiu'luo'zu 修罗族
'xiu'zhen'jie 修真界
'xuan'du 玄都
'xuan'huang'ti'zhi 玄黄体质
'xuan'ming 玄冥
'xue'zu 血族
'yao'dan 妖丹
'yao'huang 妖皇
'yao'jie 妖界
'yao'ling'sheng'ti 药灵圣体
'yao'shou 妖兽
'yao'zu 妖族
'ying'zhao 英招
'you'ming'xue'hai 幽冥血海
'you'xiong 有熊
'yu'shi 雨师
'yu'zu 羽族
'yuan'shi'tian'zun 元始天尊
'yuan'ying 元婴
'yue'zi 龠兹
'zhan'shen 战神
'zhan'shen'dian 战神殿
'zhan'wang 战王
'zhen'fa 阵法
'zhen'qing'xiu 真情修
'zhou'tian'xing'dou'da'zhen 周天星斗大阵
'zhu'jiu'yin 烛九阴
'zhu'rong 祝融
'zhun'ti'dao'ren 准提道人
'zong'men 宗门
'zu'wu 祖巫
