'a'hou'zai'he'chu 阿侯在何处
'bu'dai'jing'yang'zhong 不待景阳钟
'bu'de'yu'zhi'you 不得与之游
'bu'er'chu 哺尔雏
'bu'gei'shi'jun'xu 不给使君须
'bu'jian'nian'nian'liao'hai'shang 不见年年辽海上
'bu'jian'qing'xi'yu 不见清溪鱼
'bu'jie'chi'zhao'shen 不解持照身
'bu'jie'shang'qing'tian 不解上青天
'bu'jie'zou'zhang'tai 不解走章台
'bu'li'fu'deng'tang 簿吏复登堂
'bu'qian'hua'chong'fen'kong'du 不遣花虫粉空蠹
'bu'ren'guo'qu'tang 不忍过瞿塘
'bu'shi'wu'xin'ren 不是无心人
'bu'wen'jin'xi'gu 不闻今夕鼓
'bu'xi'dao'ge'si 不惜倒戈死
'bu'xu'lang'yin'ding'du'hu 不需浪饮丁都护
'bu'xu'liu'xia'qu 不须流下去
'bu'ye'cheng'ming'lu 不谒承明庐
'bu'yin'shi'jun'nu 不因使君怒
'bu'yong'yi'wan'ni 不用一丸泥
'bu'zhao'you'zi'bei 不照游子悲
'bu'zhi'chuan'shang'yue 不知船上月
'cai'guan'xiao'chen'gong'mo'wu 材官小尘公莫舞
'cai'jin'chan'qiao'fu'ban'xie 彩巾缠踍幅半斜
'cai'kan'diao'jin'lin 裁堪钓锦鳞
'cai'luan'lian'e'zhu'shuang'hen 彩鸾帘额著霜痕
'cai'sheng'luo 裁生罗
'cai'xian'jie'rong'bei'fu'die 彩线结茸背复叠
'cai'xu'pu'an'lai 彩絮扑鞍来
'cai'yu'cai'yu'xu'shui'bi 采玉采玉须水碧
'can'e'dou'shuang'lv 残蛾斗双绿
'can'ni'yi'duan'hong 残霓忆断虹
'can'si'qu 残丝曲
'can'si'yu'duan'huang'feng'gui 残丝欲断黄蜂归
'can'yin'di'zi'guang 惨阴地自光
'cang'cen'song'qiu'men 苍岑竦秋门
'cang'tu'wei'nan'shan 苍突唯南山
'cao'cao'xian'chui'za'tian'kai 嘈嘈弦吹匝天开
'cao'fa'chui'hen'bin 草发垂恨鬓
'cao'jian'zou'dong'que 草简奏东阙
'cao'nuan'yun'hun'wan'li'chun 草暖云昏万里春
'cao'ru'yin 草如茵
'cao'xi'kan'shu 草细堪梳
'cao'zhu'yuan'yang'nuan 草渚鸳鸯暖
'cen'guang'huang'hu'jin 岑光晃縠襟
'cen'xiu'xiang'dian'dao 岑岫相颠倒
'cen'zhong'yue'gui'lai 岑中月归来
'ceng'deng'ke'feng'chen 蹭蹬溘风尘
'ceng'ming'e'lv'hua 曾名萼绿华
'ceng'ran'dong'zhuo'qi 曾然董卓脐
'ceng'ru'wu'tan'zhan'long'zi 曾入吴潭斩龙子
'ceng'wei'lan'dong'qu 层围烂洞曲
'ceng'xiu'hui'cen'fu'die'long 层岫回岑复叠龙
'cha'kong'lv'ying'chun 插空绿影春
'cha'wei'jian'qing'ren 差慰煎情人
'chai'men'che'zhe'dong 柴门车辙冻
'chan'guang'gua'kong'xiu 蟾光挂空秀
'chan'zi'ming'gao'sui 蝉子鸣高邃
'chang'an'feng'yu'ye 长安风雨夜
'chang'an'ye'ban'qiu 长安夜半秋
'chang'an'you'nan'er 长安有男儿
'chang'an'yu'gui'guo 长安玉桂国
'chang'ban'qin'e'gai'xiang'shui 长伴秦娥盖湘水
'chang'chuan'yi'yun'bo 长船倚云泊
'chang'cuan'fei'shu'zhu 肠攒非束竹
'chang'dan'chang'si'jiao 尝胆肠似绞
'chang'dao'shui'shi'chen 长刀谁拭尘
'chang'dao'zhi'li'ge'ming'zheng 长刀直立割鸣筝
'chang'dian'feng'ke'xie 长簟凤窠斜
'chang'fan'shu'zhi'juan'ming'jun 长翻蜀纸卷明君
'chang'feng'hui'qi'fu'cong'long 长风回气扶葱茏
'chang'ge'mo'chong 长戈莫舂
'chang'ge'po'yi'jin 长歌破衣襟
'chang'ge'xu'duan'ge 长歌续短歌
'chang'gu'bei'yuan'xin'sun'si'shou 昌谷北园新笋四首
'chang'gu'du'shu'shi'ba'tong 昌谷读书示巴童
'chang'gu'shi 昌谷诗
'chang'gu'wu'yue'dao 昌谷五月稻
'chang'ju'ya'gao'tai 长裾压高台
'chang'lie'zhang'lang'san'shi'ba 长鬣张郎三十八
'chang'luan'gu'kou'yi'ji'jia 长峦谷口倚嵇家
'chang'lun'guan'bi'xu 长纶贯碧虚
'chang'mei'dui'yue'dou'wan'huan 长眉对月斗弯环
'chang'mei'ning'lv'ji'qian'nian 长眉凝绿几千年
'chang'mei'yue'sha'cai'lan're 长眉越沙采兰若
'chang'nu'mo'peng 长弩莫抨
'chang'nu'yi'zuo'qiang'nu 长弩一作强弩
'chang'ping'jian'tou'ge 长平箭头歌
'chang'pu'cong'cong'yan'shui'mai 菖蒲丛丛沿水脉
'chang'pu'hua'yi'zuo'chang'pu'duan 菖蒲花一作菖蒲短
'chang'qiang'jiang'mi'shu 长枪江米熟
'chang'qing'huai'mao'ling 长卿怀茂陵
'chang'qing'lao'luo'bei'kong'she 长卿牢落悲空舍
'chang'rong'shi'ye'yan 长茸湿夜烟
'chang'sheng'ji'ri'le'dang'nian 长绳系日乐当年
'chang'si'ju'xun'huan 长思剧循环
'chang'wen'xia'gu'xiang 长闻侠骨香
'chang'xian'yuan'xue'song 长弦怨削菘
'chang'xiang'cheng'tou'zhu 长向城头住
'chang'yao'jian'fu'tou'pan'zhe 长腰健妇偷攀折
'chang'zhen'pai'huai'sang'zhe'zhong 长畛徘徊桑柘重
'chao'xian'jian'hua'jing 朝嫌剑花净
'chao'yi'bu'xu'chang 朝衣不须长
'che'pian'pian 车骈骈
'chen'qie'qi'tai'jian 臣妾气态间
'chen'xiang'xun'xiao'xiang 沉香熏小像
'cheng'chuan'jing'zhong'ru 乘船镜中入
'cheng'chuan'zhi'jiang'jun 乘船值江君
'cheng'shang'wu'ti'chu'nv'mian 城上乌啼楚女眠
'cheng'tou'ri 城头日
'cheng'tou'yue'qian'li 城头月千里
'cheng'ya'ti'fen'die 城鸦啼粉堞
'cheng'yue'you'can'ban 城月犹残半
'cheng'zhong'si'shou'ma 城中嘶瘦马
'chi'bian'bei 齿编贝
'chi'ci'yi'dou'su 持此易斗粟
'chi'ji'zui'cheng'en 赤骥最承恩
'chi'ma'pan'tao'bian 抶马蟠桃鞭
'chi'shan'xiu'ting'yu'shi'ying 赤山秀铤御时英
'chi'tu'wu'ren'yong 赤兔无人用
'chi'ye'ji'qing'qian 池叶极青钱
'chi'you'si 蚩尤死
'chong'mei'shi'xiang'cong 宠妹始相从
'chong'qi'yan'bing'lu'sun'hong 虫栖雁病芦笋红
'chong'wei'ru'yan'wei 重围如燕尾
'chong'xiang'deng'guang'bo 虫响灯光薄
'chong'xiang'lian'ye'fa 虫响连夜发
'chong'yi'li'zhi'yu 崇义里滞雨
'chou'da'er'shou 酬答二首
'chou'fan'gui'lai'yi'ri'gong 抽帆归来一日功
'chou'hong'du'zi'chui 愁红独自垂
'chou'hun'yi'zuo'qiu'feng 愁魂一作秋风
'chou'jian'ye'xing 愁见夜行
'chou'sha'ren'yi'zuo'chou'ji'ren'qiu'yuan'yi'zuo'chou'yuan 愁杀人一作愁几人秋苑一作愁苑
'chou'xin'si'chun'cao 抽心似春草
'chou'yue'wei'zhang'hong 愁月薇帐红
'chu'cheng 出城
'chu'cheng'bie'zhang'you'xin'chou'li'han 出城别张又新酬李汉
'chu'cheng'ji'quan'qu'yang'jing'zhi 出城寄权璩杨敬之
'chu'ci'xi'zhou'hou 楚辞系肘后
'chu'hun'xun'meng'feng'sa'ran 楚魂寻梦风飒然
'chu'li'da'zao'chui'zhu'can 出篱大枣垂朱残
'chu'luo'zhi'wei'wo'huang'zi 楚罗之帏卧皇子
'chu'nv'lei'zhan'ju 楚女泪沾裾
'chu'ru'yun'tun 矗如云屯
'chu'yao'wei'bin'si'shi'fang 楚腰卫鬓四时芳
'chuang'han'yuan'se'tong'shu'huang 窗含远色通书幌
'chuang'qian'zhi'tong'qing'feng'xiao 窗前植桐青凤小
'chuang'you'jian'xi'pan'you'yu 床有菅席盘有鱼
'chui'lian'ji'du'qing'chun'lao 垂帘几度青春老
'chui'long'di 吹龙笛
'chui'sheng'fan'jiu'yin 吹笙翻旧引
'chui'sheng'yi'zuo'chui'xiao 吹笙一作吹箫
'chui'sui'qian'nian'ri'chang'bai 捶碎千年日长白
'chui'xiao'yin'jiu'zui 吹箫饮酒醉
'chui'yang'ye'lao'ying'bu'er 垂杨叶老莺哺儿
'chun'chi'wang'zi'tai 春迟王子态
'chun'fang'zheng'zi'jian'zi'ge 春坊正字剑子歌
'chun'feng'chui'bin'ying 春风吹鬓影
'chun'feng'lan'man'nao'jiao'yong 春风烂熳恼娇慵
'chun'feng'song'hua'shan'shang'fa 春风松花山上发
'chun'feng'yi'zuo'dong'feng'qie'jia'bian'yi'zuo'jia'qie'bian 春风一作东风妾驾鞭一作驾妾鞭
'chun'gui'chang'gu 春归昌谷
'chun'ji'zhu 唇激朱
'chun'jiu'yi'zuo'chun'xue 春酒一作春雪
'chun'liu'nan'mo'tai 春柳南陌态
'chun'qing'shi'cai'bai'ri'xia 春卿拾材白日下
'chun're'zhang'he'gai 春热张鹤盖
'chun'sheng'an'jiao'guan 春声暗交关
'chun'shui'chu'sheng'ru'yan'fei 春水初生乳燕飞
'chun'suo'pao'zhi'ming'gao'lou 春梭抛掷鸣高楼
'chun'ying'qi'jiang'ru'hong'yu 春营骑将如红玉
'chun'yue'ye'ti'ya 春月夜啼鸦
'chun'zhang'yi'wei'chan'yi'luo 春帐依微蝉翼罗
'chun'zhou 春昼
'ci'bao'lin'xue'sheng'yin'ying 刺豹淋血盛银罂
'ci'bie'ding'zhan'yi 此别定沾臆
'ci'cu'cheng'ji'ren 刺促成纪人
'ci'guan'chen'mai'yu'shun'ci 此管沉埋虞舜祠
'ci'jia'san'zai'jin'ru'ci 辞家三载今如此
'ci'jing'shi'ri'liao'dao'ba'ju'yi'dang'ming'yi 辞经十日聊道八句以当命意
'ci'long'yuan'yin'han'shui'guang 雌龙怨吟寒水光
'ci'ma'fei'fan'ma 此马非凡马
'ci'xiang'man'di'chang'pu'cao 刺香满地菖蒲草
'cong'jun'cui'fa'lu'hua'se 从君翠发芦花色
'cong'she'zuo'tu'er'qian'zai 从蛇作土二千载
'cu'e'bei'fang'xi 蹙额北方奚
'cu'mao'ci'po'hua 粗毛刺破花
'cuan'chong'sou'gu'liu 攒虫锼古柳
'cuan'e'yi'sha'zhong'yi'tan 攒蛾一啑重一弹
'cui'bang'du'wu'jiang 催榜渡乌江
'cui'hua'bao'chai'zan'bu'de 翠滑宝钗簪不得
'cui'jin'lan'ban'man'ceng'dao 翠锦斓斑满层道
'cui'yi'zuo'cui'qian'li'chou'yi'zuo'qian'li'si 催一作摧千里愁一作千里思
'cui'yi'zuo'dui 摧一作堆
'cui'yi'zuo'hu'chui'sui'yi'zuo'chui'fa 催一作呼捶碎一作锤发
'cui'yu'geng'dang'diao 翠羽更荡掉
'cun'han'bai'wu'nian'jiao'ying 村寒白屋念娇婴
'da'dai'wei'huang'ge 大带委黄葛
'da'di'qu 大堤曲
'da'di'shang 大堤上
'da'fu'ran'zhu'gen 大妇然竹根
'da'jiang'fan'lan'shen'ye'yan 大江翻澜神曳烟
'da'mo'sha'ru'xue 大漠沙如雪
'da'qi'wu'zhang'zhuang'shuang'huan 大旗五丈撞双环
'da'qi'xi 大旗喜
'da'ren'qi'ma'qu'nai'han 大人乞马癯乃寒
'da'ye'sheng'su'kong 大野生素空
'da'zeng 答赠
'da'zuo'kan'bai'zhou 大坐看白昼
'dai'cui'jia'song'ke 代崔家送客
'dai'jia'qi'luan'lao 待驾栖鸾老
'dai'jiu'ri'wan'ge'tian'zhong 带酒日晚歌田中
'dai'mao'ding'lian'bo 玳瑁钉帘薄
'dai'zhong'jian'dao'qian 带重剪刀钱
'dai'zhong'yi'zuo'zhong'dai 带重一作重带
'dan'cai'sheng'han'ri 淡菜生寒日
'dan'cheng'zuo'she'cheng'bai'wu 丹成作蛇乘白雾
'dan'e'liu'ping'bi 淡蛾流平碧
'dan'jian'chi'tai'chun'cao'chang 但见池台春草长
'dan'luo'gua'lv'meng 单罗挂绿蒙
'dan'se'jie'zhou'tian 澹色结昼天
'dan'shen'ye'shuang'shang 单身野霜上
'dan'sheng'yan'chun'nong'jun'gu 弹声咽春弄君骨
'dan'wu'yan'zi'zhu 弹乌崦嵫竹
'dan'xi'cheng'nei're 旦夕成内热
'dan'xue'qu'feng'chong'xing'pao 丹穴取凤充行庖
'dang'chun'zhu'yu'lei 当唇注玉罍
'dang'lian'yue'jiao'jin 当帘阅角巾
'dang'lu'za'ti'xiao 当路杂啼笑
'dang'shi'fei'qu'zhu'cai'yun 当时飞去逐彩云
'dang'shi'han'wu'di 当时汉武帝
'dang'shi'huang'di'shang'tian'shi 当时黄帝上天时
'dang'xu'lv'bu'qi 当须吕布骑
'dang'zhi'zhao'guo'han 当知赵国寒
'dao'feng'zou'yu 道逢驺虞
'dao'huan'yi'gui'chuang 刀环倚桂窗
'dao'shang'qian'li'feng 道上千里风
'de'ming'zhu'shi'hu 得明珠十斛
'de'qi'wei'chun'liu 得气为春柳
'deng'an'hui'liang'ren 灯暗会良人
'deng'hua'zhao'yu'mu 灯花照鱼目
'deng'lou'xun'ma'zong 登楼潠马鬃
'deng'qing'lan'gao'xie 灯青兰膏歇
'di'chong'guang 帝重光
'di'chou'fan'long'shui 笛愁翻陇水
'di'dao'ru'fei'shen 帝道如飞神
'di'guan'xin'huang'ba'yu'qing 笛管新篁拔玉青
'di'jia'yu'long'kai'jiu'guan 帝家玉龙开九关
'di'li'yang'wu'zheng 地理阳无正
'di'mi'huang'hun'jing 低迷黄昏径
'di'mi'mi 地密密
'di'qian'cheng'xuan'zai'zi'xi 帝遣乘轩灾自息
'di'qian'dong'hu'yi'nan'shan 帝前动笏移南山
'di'qian'tian'wu'yi'hai'shui 帝遣天吴移海水
'di'wu'jing'yan'hai'qian'li 地无惊烟海千里
'di'xiong'shui'nian'lv 弟兄谁念虑
'di'zi'ge 帝子歌
'dian'jing'fei'gu'que 钿镜飞孤鹊
'dian'qian'zuo'fu'sheng'mo'kong 殿前作赋声摩空
'dian'qiu'yi'zuo'lian'qiu 殿秋一作敛秋
'dian'zhui'chi'zhong'he 点缀池中荷
'diao'wei'wei'jing 掉尾为旌
'diao'yu'shi 钓鱼诗
'diao'yu'ya'lian'e 雕玉押帘额
'die'qi'shi'zhu'yin'jiao'guan 蝶栖石竹银交关
'die'sheng'wen'zuo'guan'lai'bu 叠声问佐官来不
'die'yu'sheng'wen'han 叠玉生文翰
'ding'ding'hai'nv'nong'jin'huan 丁丁海女弄金环
'ding'ding'you'zhong'yuan 丁丁幽钟远
'ding'xiang'qiong'zhu'ti'lao'yuan 丁香筇竹啼老猿
'dong'chuang'juan'xi'ba 东床卷席罢
'dong'fang'fa'hong'zhao 东方发红照
'dong'fang'feng'lai'man'yan'chun 东方风来满眼春
'dong'fang'ri'bu'po 东方日不破
'dong'fang'si'bu'jin 洞房思不禁
'dong'guan'suan'feng'she'mou'zi 东关酸风射眸子
'dong'hai'huang'gong 东海黄公
'dong'hu'cai'lian'ye 东湖采莲叶
'dong'jia'hu'die'xi'jia'fei 东家蝴蝶西家飞
'dong'jia'jiao'niang'qiu'dui'zhi 东家娇娘求对值
'dong'jia'ming'liao'zhe 东家名廖者
'dong'lin'you'xiao'gu 东邻有小姑
'dong'luo'liang'jia'yao 东洛梁家谣
'dong'nuan'shi'song'zhi 冬暖拾松枝
'dong'shu'shu'sheng'se 冬树束生涩
'dong'ting'di'zi'yi'qian'li 洞庭帝子一千里
'dong'ting'di'zi'yi'zuo'dong'ting'ming'yue 洞庭帝子一作洞庭明月
'dong'ting'yu'jiao'lai'chui'sheng 洞庭雨脚来吹笙
'dong'wang'fan'yi'gan 东王饭已干
'dong'zhi'xi'he'neng'zou'ma 东指羲和能走马
'dou'men'jia'sheng'mu 都门贾生墓
'du'cheng'ji'qi'che 独乘鸡栖车
'du'chui'chong'yin'ya'qian'guan 独垂重印押千官
'du'gong'nan'shan'shou'zhong'guo 独共南山守中国
'du'juan'kou'xue'lao'fu'lei 杜鹃口血老夫泪
'du'ke'meng'gui'jia 独客梦归家
'du'kou'mei'feng'ge'shan'bo 渡口梅风歌扇薄
'du'lang'sheng'de'zhen'nan'zi 杜郎生得真男子
'du'qiu'xiang'shi'zhen'jin'huan 毒虬相视振金环
'du'ruo'han'qing'lu 杜若含清露
'du'shui'nan'chuang'yue 独睡南床月
'du'xie'da'dan'chu'qin'men 独携大胆出秦门
'duan'ce'qi'cai'ru'fan'jia 短策齐裁如梵夹
'duan'ge'duan'bai'fa 短歌断白发
'duan'jin'yi'xiang'niao'cui'yan 断烬遗香袅翠烟
'duan'mu'bu'neng'kan 断目不能看
'duan'pei'chou'tian'su 短佩愁填粟
'duan'yi'xiao'guan'zuo'chen'tu 短衣小冠作尘土
'duan'zhou'shi'gong'qiao'ru'shen 端州石工巧如神
'duan'zuo'ju'hu'chuang 端坐据胡床
'dui'jin'mai'jun'gu 堆金买骏骨
'dui'yi'zuo'zhui 队一作坠
'duo'fang'dai'yao'weng 多方带药翁
'duo'hong'can'e'an'cen'ci 堕红残萼暗参差
'duo'lan'shui'fan'xiang'jing'guo 堕兰谁泛相经过
'e'e'hu'guan'shang'qie'yun 峨峨虎冠上切云
'e'huan'yi'zuo'e'mei 蛾鬟一作蛾眉
'e'huan'zui'yan'bai'zhu'zong 蛾鬟醉眼拜诸宗
'e'lv'heng'xiao'men 蛾绿横晓门
'e'mao'shen'mo'nong 鹅毛渗墨浓
'er'shi'ba'xiu'luo'xin'xiong 二十八宿罗心胸
'er'shi'nan'er'na'ci'cu 二十男儿那刺促
'er'shi'san'guan'xian'xiang'sui 二十三管咸相随
'er'shi'san'si'dong'zi'huang 二十三丝动紫皇
'er'shi'xin'yi'xiu 二十心已朽
'er'wan'si'qian'li 二万四千里
'er'xuan'chun'xi'yi 饵悬春蜥蜴
'er'yu'xun'bai'tao 鲕鱼噀白涛
'er'yue 二月
'er'yue'yin'jiu'cai'sang'jin 二月饮酒采桑津
'er'zi'mei'nian'shao 二子美年少
'fa'chong'yi'pan'wu 发重疑盘雾
'fa'duan'ju'chang'ma 发断锯长麻
'fa'guang'ru'shu'si 发光如舒丝
'fa'leng'qing'chong'zan 发冷青虫簪
'fa'ren'dong'men'wai 发轫东门外
'fa'xiang'zhu 伐湘竹
'fan'chang'biao'yue'dian 帆长摽越甸
'fan'cheng'zu'chou'ku 翻成足愁苦
'fan'fan'yi'xian'ren 翻翻一仙人
'fan'fan'yi'zuo'pian'pian 翻翻一作翩翩
'fan'jia'suo'she'lin 蕃甲锁蛇鳞
'fang'gu'wan'lan'shou'duan'zu 访古丸澜收断镞
'fang'han'cun'hui'bo 房寒寸辉薄
'fang'hua'gu'chu'pai'jiu'ying 方花古础排九楹
'fang'jing'lao'hong'zui 芳径老红醉
'fang'lao'luo'ye'feng 芳醪落夜枫
'fang'qie'qi'yu'pie'bo'qu 放妾骑鱼撇波去
'fang'xing'ben'shi'jing 房星本是精
'fang'zhong'si 房中思
'fei'chuang'fu'dao'chuan'chou'yin 飞窗复道传筹饮
'fei'fei'ti'shen'zhu 狒狒啼深竹
'fei'guang'fei'guang 飞光飞光
'fei'jin'wu'qian'hua 飞烬污铅华
'fei'jun'chang'yue'fu 非君唱乐府
'fei'si'song'bai'lao 飞丝送百劳
'fei'song'tu'dan'sui 肥松突丹髓
'fei'xia'ci'yuan'yang 飞下雌鸳鸯
'fei'xiang'zou'hong'man'tian'chun 飞香走红满天春
'fen'hua'dui'pao'feng 分花对袍缝
'fen'jie'tu'sheng'cui 粉节涂生翠
'fen'jing'chang'su'sha 愤景长肃杀
'fen'ke'ma'lie'feng 坟科马鬣封
'fen'ke'yi'zuo'fen'xie 坟科一作坟斜
'fen'ming'you'ju'gong'bu'xin 分明犹惧公不信
'fen'tai'jia'luo'han 粉态夹罗寒
'fen'xia'hong'shou'ou'si'qun 粉霞红绶藕丝裙
'feng'cai'chu'xiao'jia 风采出萧家
'feng'chang'ri'duan'xing'xiao'xiao 风长日短星萧萧
'feng'chui'ku'peng'qi 风吹枯蓬起
'feng'chui'pan'shang'zhu 风吹盘上烛
'feng'chui'qian'mu'ying'yu'xiao 风吹千亩迎雨啸
'feng'chui'sha'zuo'yun 风吹沙作云
'feng'chui'yi'zuo'feng'juan'long'shui'yi'zuo'ge'long 风吹一作风卷陇水一作隔陇
'feng'chui'yu 风吹雨
'feng'chui'yun'lu'huo 风吹云路火
'feng'guang'qie'yao'shen 风光怯腰身
'feng'he'er'xiong'ba'shi'qian'ma'gui'yan'zhou 奉和二兄罢使遣马归延州
'feng'hou'zao'gui'lai 封侯早归来
'feng'jiao'xiao'ye'xue'e'zhuang 风娇小叶学娥妆
'feng'lu'man'xiao'yan 风露满笑眼
'feng'qian'ji'ren'lao 风前几人老
'feng'qian'ji'ren'lao'yi'zuo'feng'jian'chun'zi'lao 风前几人老一作风剪春姿老
'feng'shang'luo'jian 蜂上罗荐
'feng'shuang'zuo'pu'su 逢霜作朴樕
'feng'tong'yao'xia'se 风桐瑶匣瑟
'feng'wei'shang 风为裳
'feng'wu'yi 缝舞衣
'feng'xiang'gong 奉相公
'feng'xiang'wan'hua'jing 枫香晚花静
'feng'xiao'lian 冯小怜
'feng'xue'zhi'zhai'tan 风雪直斋坛
'feng'yu'rao'zhuang'jing 蜂语绕妆镜
'feng'zhui'lv'yi'qian 奉坠绿衣前
'feng'zi'zuo'hua'xin 蜂子作花心
'fu'an'ya'tou'xiang 拂岸鸭头香
'fu'fen'nv'lang'huo'qi'xia 傅粉女郎火旗下
'fu'gong'shen'dian'zhu'feng'qi 复宫深殿竹风起
'fu'gu'lai 扶毂来
'fu'jing'nong'sao'mei 拂镜浓扫眉
'fu'jing'xiu'wen'qiao 拂镜羞温峤
'fu'ren'fei'ru'qiong'yao'tai 夫人飞入琼瑶台
'fu'ren'ku'sheng 妇人哭声
'fu'rong'bie'jiang'mu 芙蓉别江木
'fu'rong'ning'hong'de'qiu'se 芙蓉凝红得秋色
