'an'gen'zi 暗根子
'che'liu'jin'er 车六进二
'che'liu'jin'jiu 车六进九
'che'liu'jin'liu 车六进六
'che'liu'jin'qi 车六进七
'che'liu'jin'san 车六进三
'che'liu'jin'si 车六进四
'che'liu'jin'wu 车六进五
'che'liu'jin'yi 车六进一
'che'liu'ping'ba 车六平八
'che'liu'ping'er 车六平二
'che'liu'ping'jiu 车六平九
'che'liu'ping'qi 车六平七
'che'liu'ping'san 车六平三
'che'liu'ping'si 车六平四
'che'liu'ping'wu 车六平五
'che'liu'ping'yi 车六平一
'che'liu'tui'ba 车六退八
'che'liu'tui'er 车六退二
'che'liu'tui'jiu 车六退九
'che'liu'tui'liu 车六退六
'che'liu'tui'qi 车六退七
'che'liu'tui'san 车六退三
'che'liu'tui'si 车六退四
'che'liu'tui'wu 车六退五
'che'liu'tui'yi 车六退一
'che'pao'chou'sha 车炮抽杀
'che'qi'jin'ba 车七进八
'che'qi'jin'er 车七进二
'che'qi'jin'jiu 车七进九
'che'qi'jin'liu 车七进六
'che'qi'jin'qi 车七进七
'che'qi'jin'san 车七进三
'che'qi'jin'si 车七进四
'che'qi'jin'wu 车七进五
'che'qi'jin'yi 车七进一
'che'qi'ping'ba 车七平八
'che'qi'ping'er 车七平二
'che'qi'ping'jiu 车七平九
'che'qi'ping'liu 车七平六
'che'qi'ping'san 车七平三
'che'qi'ping'si 车七平四
'che'qi'ping'wu 车七平五
'che'qi'ping'yi 车七平一
'che'qi'tui'ba 车七退八
'che'qi'tui'er 车七退二
'che'qi'tui'jiu 车七退九
'che'qi'tui'liu 车七退六
'che'qi'tui'qi 车七退七
'che'qi'tui'san 车七退三
'che'qi'tui'si 车七退四
'che'qi'tui'wu 车七退五
'che'qi'tui'yi 车七退一
'che'qian'ma'hou'xu'xiang'ying 车前马后须相应
'che'ru'hua'xin 车入花心
'che'san'jin'ba 车三进八
'che'san'jin'er 车三进二
'che'san'jin'jiu 车三进九
'che'san'jin'liu 车三进六
'che'san'jin'qi 车三进七
'che'san'jin'san 车三进三
'che'san'jin'si 车三进四
'che'san'jin'wu 车三进五
'che'san'jin'yi 车三进一
'che'san'ping'ba 车三平八
'che'san'ping'er 车三平二
'che'san'ping'jiu 车三平九
'che'san'ping'liu 车三平六
'che'san'ping'qi 车三平七
'che'san'ping'si 车三平四
'che'san'ping'wu 车三平五
'che'san'ping'yi 车三平一
'che'san'tui'ba 车三退八
'che'san'tui'er 车三退二
'che'san'tui'jiu 车三退九
'che'san'tui'liu 车三退六
'che'san'tui'qi 车三退七
'che'san'tui'san 车三退三
'che'san'tui'si 车三退四
'che'san'tui'wu 车三退五
'che'san'tui'yi 车三退一
'che'si'jin'ba 车四进八
'che'si'jin'er 车四进二
'che'si'jin'jiu 车四进九
'che'si'jin'liu 车四进六
'che'si'jin'qi 车四进七
'che'si'jin'san 车四进三
'che'si'jin'si 车四进四
'che'si'jin'wu 车四进五
'che'si'jin'yi 车四进一
'che'si'ping'ba 车四平八
'che'si'ping'er 车四平二
'che'si'ping'jiu 车四平九
'che'si'ping'liu 车四平六
'che'si'ping'qi 车四平七
'che'si'ping'san 车四平三
'che'si'ping'wu 车四平五
'che'si'ping'yi 车四平一
'che'si'tui'ba 车四退八
'che'si'tui'er 车四退二
'che'si'tui'jiu 车四退九
'che'si'tui'liu 车四退六
'che'si'tui'qi 车四退七
'che'si'tui'san 车四退三
'che'si'tui'si 车四退四
'che'si'tui'wu 车四退五
'che'si'tui'yi 车四退一
'che'wu'jin'ba 车五进八
'che'wu'jin'er 车五进二
'che'wu'jin'jiu 车五进九
'che'wu'jin'liu 车五进六
'che'wu'jin'qi 车五进七
'che'wu'jin'san 车五进三
'che'wu'jin'si 车五进四
'che'wu'jin'wu 车五进五
'che'wu'jin'yi 车五进一
'che'wu'ping'ba 车五平八
'che'wu'ping'er 车五平二
'che'wu'ping'jiu 车五平九
'che'wu'ping'liu 车五平六
'che'wu'ping'qi 车五平七
'che'wu'ping'san 车五平三
'che'wu'ping'si 车五平四
'che'wu'ping'yi 车五平一
'che'wu'tui'ba 车五退八
'che'wu'tui'er 车五退二
'che'wu'tui'jiu 车五退九
'che'wu'tui'liu 车五退六
'che'wu'tui'qi 车五退七
'che'wu'tui'san 车五退三
'che'wu'tui'si 车五退四
'che'wu'tui'wu 车五退五
'che'wu'tui'yi 车五退一
'che'yi'jin'ba 车一进八
'che'yi'jin'er 车一进二
'che'yi'jin'jiu 车一进九
'che'yi'jin'liu 车一进六
'che'yi'jin'qi 车一进七
'che'yi'jin'san 车一进三
'che'yi'jin'si 车一进四
'che'yi'jin'wu 车一进五
'che'yi'jin'yi 车一进一
'che'yi'ping'ba 车一平八
'che'yi'ping'er 车一平二
'che'yi'ping'jiu 车一平九
'che'yi'ping'liu 车一平六
'che'yi'ping'qi 车一平七
'che'yi'ping'san 车一平三
'che'yi'ping'si 车一平四
'che'yi'ping'wu 车一平五
'che'yi'tui'ba 车一退八
'che'yi'tui'er 车一退二
'che'yi'tui'jiu 车一退九
'che'yi'tui'liu 车一退六
'che'yi'tui'qi 车一退七
'che'yi'tui'san 车一退三
'che'yi'tui'si 车一退四
'che'yi'tui'wu 车一退五
'che'yi'tui'yi 车一退一
'chen'chong 陈翀
'chen'di'pao 沉底炮
'chen'fu'jie 陈富杰
'chen'hai'hua 陈海华
'chen'luo'ping 陈罗平
'chen'qi'ming 陈启明
'cheng'jin'chao 程进超
'cheng'ming 程鸣
'chou'sha 抽杀
'chu'han'liu'feng 楚汉六凤
'cong'mei'zhuo'dao'zhuo 从没捉到捉
'da'dan'chuan'xin 大胆穿心
'da'dao'wan'xin 大刀剜心
'da'lian'yi'chun'tang 大连益春堂
'da'zhan'you'shi 大占优势
'dai'guo'he'bing 待过河兵
'dai'pan'ju'mian 待判局面
'dan'bing'qin'wang 单兵擒王
'dan'que'shi 单缺仕
'dan'que'shi 单缺士
'dan'que'xiang 单缺象
'dan'que'xiang 单缺相
'dan'ti'ma 单提马
'dan'xia'li 单霞丽
'dan'zi'pao 担子炮
'dang'fei 党斐
'de'zi 得子
'de'zi'de'shi 得子得势
'de'zi'de'xian'ge'de'zi 得子得先各得子
'de'zi'shi'shi 得子失势
'de'zi'shi'xian'que'shi'shu 得子失先却是输
'deng'zhe'kun'di 等着困敌
'di'bing 低兵
'di'bing 底兵
'di'fang'qi'xie'da'shi 地方棋协大师
'diao'dong'zi'li 调动子力
'diao'yu'ma 钓鱼马
'die'pao 叠炮
'dong'bei'san'hu 东北三虎
'dui'bing'ju 对兵局
'dui'qi'zhu'li 兑其主力
'dui'tou'bing 对头兵
'dui'zi'duo'xian 兑子夺先
'dui'zi'duo'zi 兑子夺子
'dui'zi'jie'kun 兑子解困
'dui'zi'qu'sheng 兑子取胜
'dui'zi'qu'shi 兑子取势
'dui'zi'zhan'shu 兑子战术
'duo'da'dui'duo'da 多打对多打
'er'da'dui'er'xian 二打对二闲
'er'da'er'hai'da 二打二还打
'er'da'yi'huan'da 二打一还打
'er'ji'qi'shi 二级棋士
'er'jiang 二将
'er'jiang'dui'er'xian 二将对二闲
'er'jiang'er'hai'jiang 二将二还将
'er'xian'dui'yi'da'yi'xian 二闲对一打一闲
'er'zhuo 二捉
'er'zi'che 二字车
'fan'gong'ma 反宫马
'fan'gong'ma'zhuan'ji 反宫马专集
'fan'si'yuan 范思远
'fei'xiang 飞相
'fei'xiang'dui'jin'gou'pao 飞相对金钩炮
'fei'xiang'dui'qi'ma 飞相对起马
'fei'xiang'dui'ting'zu 飞相对挺卒
'fei'xiang'ju 飞相局
'fei'xiang'ju'dui'you'guo'gong'pao 飞相局对右过宫炮
'fei'xiang'ju'dui'zuo'shi'jiao'pao 飞相局对左士角炮
'fei'xiang'ju'dui'zuo'zhong'pao 飞相局对左中炮
'fei'zuo'xiang 飞左象
'feng'suo'di'lu 封锁敌路
'feng'suo'zhan'shu 封锁战术
'fu'xin'ren 傅信仁
'gao'bing 高兵
'gao'hua 高华
'ge'wei'pu 葛维浦
'ge'yi'bu'sha 隔一步杀
'gong'ding'xian 宫顶线
'gong'zu 拱卒
'gu'ji'luan'di 固己乱敌
'gu'pu 古谱
'gua'jiao'ma 挂角马
'guai'jiao'ma 拐角马
'guang'dong'dong'guan'chang'an 广东东莞长安
'gui'bei'pao 龟背炮
'gui'xin'ma 归心马
'guo'gong'lian'pao 过宫敛炮
'guo'gong'ma 过宫马
'guo'gong'pao 过宫炮
'guo'gong'pao'dui'hai'zhong'pao 过宫炮对还中炮
'guo'ji'da'shi 国际大师
'guo'lei 过肋
'guo'li'ping 郭丽萍
'hai'di'lao'yue 海底捞月
'hai'zhong'pao 还中炮
'he'bei'jin'huan'gang'gou 河北金环钢构
'he'bian'wu'qing'cao'bu'yong'duo'zui'niu 河边无青草不用多嘴牛
'he'gang 何刚
'he'ji'zhan'shu 合击战术
'he'jie'xian 河界线
'he'shi 和势
'he'tou'bing 河头兵
'he'tou'che 河头车
'hei'fang'bian'zhe 黑方变着
'hei'fu 黑负
'hei'gao'you'heng'che 黑高右横车
'hei'jin'lu'zu'zhuan'zhong'pao'dui'ping'feng'ma 黑进路卒转中炮对屏风马
'hei'jin'pao'ya'ma 黑进炮压马
'hei'jin'zu 黑进卒
'hei'jin'zu'you'pao'xun'he 黑进卒右炮巡河
'hei'jin'zu'you'pao'ya'ma 黑进卒右炮压马
'hei'jin'zu'zuo'pao'feng'che 黑进卒左炮封车
'hei'jing'chong'zu 黑径冲卒
'hei'long'jiang'da'qing'shi'hong'gang 黑龙江大庆市红岗
'hei'ping'you'pao'liang'che 黑平右炮亮车
'hei'qi'lu'zu 黑弃路卒
'hei'shang'you'shi 黑上右士
'hei'shang'you'xiang 黑上右象
'hei'shang'zuo'xiang 黑上左象
'hei'sheng 黑胜
'hei'shuang'heng'che 黑双横车
'hei'you'che'xun'he 黑右车巡河
'hei'you'shi'jiao'pao 黑右士角炮
'hei'you'zhong'pao 黑右中炮
'hei'zuo'che'xun'he 黑左车巡河
'hei'zuo'guo'gong'pao 黑左过宫炮
'hong'bing'di'pao 红兵底炮
'hong'dui'san'lu'bing 红兑三路兵
'hong'fang'bian'zhe 红方变着
'hong'fu 红负
'hong'gao'zuo'heng'che 红高左横车
'hong'heng'che'zhan'zuo'lei 红横车占左肋
'hong'ji'jin'zhong'bing 红急进中兵
'hong'jin'qi'bing 红进七兵
'hong'jin'qi'bing'bian'ma 红进七兵边马
'hong'jin'zuo'pao'zhuo'ma 红进左炮捉马
'hong'liang'tou'she 红两头蛇
'hong'liang'tou'she'zuo'che'guo'he 红两头蛇左车过河
'hong'liang'tou'she'zuo'xiang'fei'bian 红两头蛇左相飞边
'hong'ping'liu'lu'pao 红平六路炮
'hong'ping'pao'ya'ma 红平炮压马
'hong'ping'qi'lu'pao 红平七路炮
'hong'qi'lu'ma'pan'he 红七路马盘河
'hong'shang'you'zheng'ma 红上右正马
'hong'sheng 红胜
'hong'shuang'heng'che'zheng'ma 红双横车正马
'hong'shuang'qi'bing 红双弃兵
'hong'wu'jiu'pao 红五九炮
'hong'xie'zhong'pao 红卸中炮
'hong'yao'dui'san'lu'bing 红邀兑三路兵
'hong'you'che'guo'he 红右车过河
'hong'you'zhong'pao 红右中炮
'hong'zheng'ma 红正马
'hong'zhi 洪智
'hong'zhi'che'zheng'ma 红直车正马
'hong'zhi'heng'che 红直横车
'hong'zuo'ma'tun'bian 红左马屯边
'hong'zuo'pao'guo'he 红左炮过河
'hu'bei'zhong'yan'hong'bo'dui 湖北中盐宏博队
'hu'jin'guai'jiao'ma 互进拐角马
'hu'jin'san'bing 互进三兵
'hu'rong'hua 胡荣华
'hu'you'gu'ji 互有顾忌
'hu'yuan'mao 胡远茂
'hu'zuo'zhong'tang 虎坐中堂
'hua'shi'xiang 花士象
'hua'xia'qi'ying 华夏七鹰
'hua'xin'che 花心车
'hua'xin'zu 花心卒
'huan'kai'che 缓开车
'huang'hai'lin 黄海林
'huang'yong 黄勇
'huang'zheng 黄政
'ji'shi'fang'an 计时方案
'ji'xiang 吉翔
'jia'che'pao 夹车炮
'jiang'chuan 蒋川
'jiang'feng'shan 蒋凤山
'jiang'hu'can'ju 江湖残局
'jiang'nan'si'yan 江南四燕
'jiang'su'jin'ling'ren'jiu'dian 江苏金陵人酒店
'jiang'zhi'liang 蒋志梁
'jie'che'shi'pao 借车使炮
'jie'pao'shi'ma 借炮使马
'jin'bo 金波
'jin'gou'pao 金钩炮
'jin'gou'pao'dui'qi'ma 金钩炮对起马
'jin'gu 禁锢
'jin'hai'ying 金海英
'jin'pao'ying'xu'yao'fu'che 进炮应须要辅车
'jin'song 金松
'jin'yu'yan 靳玉砚
'jin'zhi'zhe'fa 禁止着法
'jing'xuan'zhe'fa 精选着法
'jing'xue'yi 景学义
'jiu'wei'gui 九尾龟
'ju'zhong'mi 橘中秘
'kai'luan'mei'kuang'gu'fen 开滦煤矿股份
'kai'tong'zi'li 开通子力
'kong'tou'pao 空头炮
'kong'zhe 空着
'kong'zhi 控制
'kun'bi 困毙
'lao'zi'wu'hui 落子无悔
'lei'che 肋车
'lei'dao 肋道
'leng'xiang'pao 冷巷炮
'li'de'zhi 黎德志
'li'hong'jia 李鸿嘉
'li'jia'hua 李家华
'li'lai'qun 李来群
'li'ma'che 立马车
'li'qun 李群
'li'shao'geng 李少庚
'li'wang'xiang 李望祥
'li'xue'song 李雪松
'li'yi'ting 李义庭
'lian'jiang'sha 连将杀
'lian'pao 敛炮
'lian'zi'pei'he 联子配合
'liang'gui'pai'men 两鬼拍门
'liang'jun 梁军
'liao'er'ping 廖二平
'lie'pao 列炮
'lin'hong'min 林宏敏
'ling'nan'shuang'long 岭南双龙
'liu'chu'qi'shan 六出祁山
'liu'da'hua 柳大华
'liu'dian'zhong 刘殿中
'liu'xing'bu'ju'xin'bian'tan'suo 流行布局新变探索
'liu'zong'ze 刘宗泽
'lv'qin 吕钦
'ma'ba'jin'jiu 马八进九
'ma'ba'jin'liu 马八进六
'ma'ba'jin'qi 马八进七
'ma'er'jin'san 马二进三
'ma'er'jin'si 马二进四
'ma'er'tui'san 马二退三
'ma'er'tui'si 马二退四
'ma'jiu'jin'ba 马九进八
'ma'jiu'jin'qi 马九进七
'ma'liu'jin'ba 马六进八
'ma'liu'jin'qi 马六进七
'ma'liu'jin'si 马六进四
'ma'liu'jin'wu 马六进五
'ma'liu'tui'ba 马六退八
'ma'liu'tui'qi 马六退七
'ma'liu'tui'si 马六退四
'ma'liu'tui'wu 马六退五
'ma'pao'shi'xiang'quan 马炮仕相全
'ma'qi'jin'ba 马七进八
'ma'qi'jin'jiu 马七进九
'ma'qi'jin'liu 马七进六
'ma'qi'jin'wu 马七进五
'ma'qi'tui'ba 马七退八
'ma'qi'tui'liu 马七退六
'ma'qi'tui'wu 马七退五
'ma'san'jin'er 马三进二
'ma'san'jin'si 马三进四
'ma'san'jin'wu 马三进五
'ma'san'jin'yi 马三进一
'ma'san'tui'er 马三退二
'ma'san'tui'si 马三退四
'ma'san'tui'wu 马三退五
'ma'san'tui'yi 马三退一
'ma'shi'xiang'quan 马士象全
'ma'si'jin'er 马四进二
'ma'si'jin'liu 马四进六
'ma'si'jin'san 马四进三
'ma'si'jin'wu 马四进五
'ma'si'tui'er 马四退二
'ma'si'tui'liu 马四退六
'ma'si'tui'san 马四退三
'ma'si'tui'wu 马四退五
'ma'tou'pao 马头炮
'ma'wu'jin'liu 马五进六
'ma'wu'jin'qi 马五进七
'ma'wu'jin'san 马五进三
'ma'wu'jin'si 马五进四
'ma'wu'tui'liu 马五退六
'ma'wu'tui'qi 马五退七
'ma'wu'tui'san 马五退三
'ma'wu'tui'si 马五退四
'ma'yi'jin'er 马一进二
'ma'yi'jin'san 马一进三
'ma'yi'tui'er 马一退二
'ma'yi'tui'san 马一退三
'mei'hua'pu 梅花谱
'mei'hua'san'liu 梅花三六
'mei'na 梅娜
'men'sha 闷杀
'miao'li'ming 苗利明
'miao'yong'peng 苗永鹏
'ming'zhuo 明捉
'mo'zi'zou'zi 摸子走子
'mou'er'hou'xing 谋而后行
'mou'hai'qin 牟海勤
'mou'zi'zhan'shu 谋子战术
'ni'gu'da'san 尼姑打伞
'ni'min 倪敏
'ni'shou'pao 逆手炮
'ou'duan'si'qian 藕断丝牵
'ou'yang'qi'lin 欧阳琦琳
'pai'ju'yan'jiu 排局研究
'pan'he'ma'tan'mi 盘河马探秘
'pan'tou'ma 盘头马
'pao'ba'jin'ba 炮八进八
'pao'ba'jin'er 炮八进二
'pao'ba'jin'jiu 炮八进九
'pao'ba'jin'liu 炮八进六
'pao'ba'jin'qi 炮八进七
'pao'ba'jin'san 炮八进三
'pao'ba'jin'si 炮八进四
'pao'ba'jin'wu 炮八进五
'pao'ba'jin'yi 炮八进一
'pao'ba'ping'er 炮八平二
'pao'ba'ping'jiu 炮八平九
'pao'ba'ping'liu 炮八平六
'pao'ba'ping'qi 炮八平七
'pao'ba'ping'san 炮八平三
'pao'ba'ping'si 炮八平四
'pao'ba'ping'wu 炮八平五
'pao'ba'ping'yi 炮八平一
'pao'ba'tui'ba 炮八退八
'pao'ba'tui'er 炮八退二
'pao'ba'tui'jiu 炮八退九
'pao'ba'tui'liu 炮八退六
'pao'ba'tui'qi 炮八退七
'pao'ba'tui'san 炮八退三
'pao'ba'tui'si 炮八退四
'pao'ba'tui'wu 炮八退五
'pao'ba'tui'yi 炮八退一
'pao'er'jin'ba 炮二进八
'pao'er'jin'er 炮二进二
'pao'er'jin'jiu 炮二进九
'pao'er'jin'liu 炮二进六
'pao'er'jin'qi 炮二进七
'pao'er'jin'san 炮二进三
'pao'er'jin'si 炮二进四
'pao'er'jin'wu 炮二进五
'pao'er'jin'yi 炮二进一
'pao'er'ping'ba 炮二平八
'pao'er'ping'jiu 炮二平九
'pao'er'ping'liu 炮二平六
'pao'er'ping'qi 炮二平七
'pao'er'ping'san 炮二平三
'pao'er'ping'si 炮二平四
'pao'er'ping'wu 炮二平五
'pao'er'ping'yi 炮二平一
'pao'er'tui'ba 炮二退八
'pao'er'tui'er 炮二退二
'pao'er'tui'jiu 炮二退九
'pao'er'tui'liu 炮二退六
'pao'er'tui'qi 炮二退七
'pao'er'tui'san 炮二退三
'pao'er'tui'si 炮二退四
'pao'er'tui'wu 炮二退五
'pao'er'tui'yi 炮二退一
'pao'jiu'jin'ba 炮九进八
'pao'jiu'jin'er 炮九进二
'pao'jiu'jin'jiu 炮九进九
'pao'jiu'jin'liu 炮九进六
'pao'jiu'jin'qi 炮九进七
'pao'jiu'jin'san 炮九进三
'pao'jiu'jin'si 炮九进四
'pao'jiu'jin'wu 炮九进五
'pao'jiu'jin'yi 炮九进一
'pao'jiu'ping'ba 炮九平八
'pao'jiu'ping'er 炮九平二
'pao'jiu'ping'liu 炮九平六
'pao'jiu'ping'qi 炮九平七
'pao'jiu'ping'san 炮九平三
'pao'jiu'ping'si 炮九平四
'pao'jiu'ping'wu 炮九平五
'pao'jiu'ping'yi 炮九平一
'pao'jiu'tui'ba 炮九退八
'pao'jiu'tui'er 炮九退二
'pao'jiu'tui'jiu 炮九退九
'pao'jiu'tui'liu 炮九退六
'pao'jiu'tui'qi 炮九退七
'pao'jiu'tui'san 炮九退三
'pao'jiu'tui'si 炮九退四
'pao'jiu'tui'wu 炮九退五
'pao'jiu'tui'yi 炮九退一
'pao'liu'jin'ba 炮六进八
'pao'liu'jin'er 炮六进二
'pao'liu'jin'jiu 炮六进九
'pao'liu'jin'liu 炮六进六
'pao'liu'jin'qi 炮六进七
'pao'liu'jin'san 炮六进三
'pao'liu'jin'si 炮六进四
'pao'liu'jin'wu 炮六进五
'pao'liu'jin'yi 炮六进一
'pao'liu'ping'ba 炮六平八
'pao'liu'ping'er 炮六平二
'pao'liu'ping'jiu 炮六平九
'pao'liu'ping'qi 炮六平七
'pao'liu'ping'san 炮六平三
'pao'liu'ping'si 炮六平四
'pao'liu'ping'wu 炮六平五
'pao'liu'ping'yi 炮六平一
'pao'liu'tui'ba 炮六退八
'pao'liu'tui'er 炮六退二
'pao'liu'tui'jiu 炮六退九
'pao'liu'tui'liu 炮六退六
'pao'liu'tui'qi 炮六退七
'pao'liu'tui'san 炮六退三
'pao'liu'tui'si 炮六退四
'pao'liu'tui'wu 炮六退五
'pao'liu'tui'yi 炮六退一
'pao'nian'dan'sha 炮碾丹砂
'pao'qi'jin'ba 炮七进八
'pao'qi'jin'er 炮七进二
'pao'qi'jin'jiu 炮七进九
'pao'qi'jin'liu 炮七进六
'pao'qi'jin'qi 炮七进七
'pao'qi'jin'san 炮七进三
'pao'qi'jin'si 炮七进四
'pao'qi'jin'wu 炮七进五
'pao'qi'jin'yi 炮七进一
'pao'qi'ping'ba 炮七平八
'pao'qi'ping'er 炮七平二
'pao'qi'ping'jiu 炮七平九
'pao'qi'ping'liu 炮七平六
'pao'qi'ping'san 炮七平三
'pao'qi'ping'si 炮七平四
'pao'qi'ping'wu 炮七平五
'pao'qi'ping'yi 炮七平一
'pao'qi'tui'ba 炮七退八
'pao'qi'tui'er 炮七退二
'pao'qi'tui'jiu 炮七退九
'pao'qi'tui'liu 炮七退六
'pao'qi'tui'qi 炮七退七
'pao'qi'tui'san 炮七退三
'pao'qi'tui'si 炮七退四
'pao'qi'tui'wu 炮七退五
'pao'qi'tui'yi 炮七退一
'pao'san'jin'ba 炮三进八
'pao'san'jin'er 炮三进二
'pao'san'jin'jiu 炮三进九
'pao'san'jin'liu 炮三进六
'pao'san'jin'qi 炮三进七
'pao'san'jin'san 炮三进三
'pao'san'jin'si 炮三进四
'pao'san'jin'wu 炮三进五
'pao'san'jin'yi 炮三进一
'pao'san'ping'ba 炮三平八
'pao'san'ping'er 炮三平二
'pao'san'ping'jiu 炮三平九
'pao'san'ping'liu 炮三平六
'pao'san'ping'qi 炮三平七
'pao'san'ping'si 炮三平四
'pao'san'ping'wu 炮三平五
'pao'san'ping'yi 炮三平一
'pao'san'tui'ba 炮三退八
'pao'san'tui'er 炮三退二
'pao'san'tui'jiu 炮三退九
'pao'san'tui'liu 炮三退六
'pao'san'tui'qi 炮三退七
'pao'san'tui'san 炮三退三
'pao'san'tui'si 炮三退四
'pao'san'tui'wu 炮三退五
'pao'san'tui'yi 炮三退一
'pao'si'jin'ba 炮四进八
'pao'si'jin'er 炮四进二
'pao'si'jin'jiu 炮四进九
'pao'si'jin'liu 炮四进六
'pao'si'jin'qi 炮四进七
'pao'si'jin'san 炮四进三
'pao'si'jin'si 炮四进四
'pao'si'jin'wu 炮四进五
'pao'si'jin'yi 炮四进一
'pao'si'ping'ba 炮四平八
'pao'si'ping'er 炮四平二
'pao'si'ping'jiu 炮四平九
'pao'si'ping'liu 炮四平六
'pao'si'ping'qi 炮四平七
'pao'si'ping'san 炮四平三
'pao'si'ping'wu 炮四平五
'pao'si'ping'yi 炮四平一
'pao'si'tui'ba 炮四退八
'pao'si'tui'er 炮四退二
'pao'si'tui'jiu 炮四退九
'pao'si'tui'liu 炮四退六
