'a'da'ke'li'si 阿达克利斯
'ka'te'si 卡特斯
'ka'ti 卡缇
'ka'xi'mi'er 卡西米尔
'ka'zi'dai'er 卡兹戴尔
'kai'er'xi 凯尔希
'ke'dao 刻刀
'ke'e'bai 刻俄柏
'ke'lu'xi'er 可露希尔
'ke'luo'si 克洛丝
'ke'song 可颂
'kong'bao 空爆
'kong'zhi'zhong'shu 控制中枢
'kong'zhong'wei'xie 空中威胁
'ku'lan'ta 库兰塔
'kui'ying 傀影
'la'pu'lan'de 拉普兰德
'la'te'lan 拉特兰
'lai'ta'ni'ya 莱塔尼亚
'lai'yin'sheng'ming 莱茵生命
'lan'du 蓝毒
'lei'mu'bi'tuo 雷姆必拓
'lei'she 雷蛇
'li'bo'li 黎博利
'lie'feng 猎蜂
'lin'guang 临光
'ling'yu 翎羽
'liu'lang'zhe 流浪者
'long'men'bi 龙门币
'long'men'jin'wei'ju 龙门近卫局
'long'men'wai'huan 龙门外环
'lu'po 鲁珀
'luo'de'dao 罗德岛
'man'ti'ke 曼提柯
'mao'yi'zhan 贸易站
'mei'er 梅尔
'mei'fei'si'te 梅菲斯特
'mei'lan'sha 玫兰莎
'mi'ge'lu 米格鲁
'mi'nuo'si 米诺斯
'mo'si'ti'ma 莫斯提马
'mo'yao 末药
'niu'zhuan'chun 扭转醇
'pan'xie 磐蟹
'pao'pu'ka 泡普卡
'pei'luo 佩洛
'pi'te'la'mu 匹特拉姆
'qi'bing'yu'lie'ren 骑兵与猎人
'qi'e'wu'liu 企鹅物流
'qi'mei'la 奇美拉
'qian'fu'zhe 潜伏者
'qie'er'nuo'bo'ge 切尔诺伯格
'qing'liu 清流
'qing'meng'kuang 轻锰矿
'ran'shao'ping'tou'zhi'zhe 燃烧瓶投掷者
'sa'er'gong 萨尔贡
'sa'fu'la 萨弗拉
'sa'ka'zi 萨卡兹
'sa'ke'ta 萨科塔
'sa'mi 萨米
'sai'lei'ya 塞蕾娅
'san'shui'meng'kuang 三水锰矿
'shan'ling 闪灵
'she'sha 慑砂
'she'tu'xiang 蛇屠箱
'shen'hai'se 深海色
'shi'du'hua'de 史都华德
'shi'huai'ya 诗怀雅
'shi'huang'zhe 拾荒者
'shi'jun'zhe 弑君者
'shi'lian'xun'fang'ping'zheng 十连寻访凭证
'shi'tie'shou 食铁兽
'shi'tu 使徒
'shi'xie 狮蝎
'shi'zi'jun 十字郡
'shu'shi 术师
'shu'shi'zu'zhang 术师组长
'shuang'chi'jian'shi 双持剑士
'shuang'ji'na'mi'pian 双极纳米片
'shuang'tong 双酮
'shuang'xing 霜星
'shuang'ye 霜叶
'si'ka'di 斯卡蒂
'song'zang'ren 送葬人
'su'su'luo 苏苏洛
'sui'gu 碎骨
'ta'lu'la 塔露拉
'tan'su 碳素
'tan'su'zu 碳素组
'tang'ju'kuai 糖聚块
'tang'zu 糖组
'tao'jin'niang 桃金娘
'te'zhong 特种
'ti'chun'yuan'yan 提纯源岩
'tong'ning'ji 酮凝集
'tong'ning'ju'zu 酮凝聚组
'tong'zhen'lie 酮阵列
'tui'jin'zhi'wang 推进之王
'wa'yi'fan 瓦伊凡
'wei'cao 苇草
'wei'yan'wu 魏彦吾
'wen'yue 文月
'wo'er'po 沃尔珀
'wu'lian 巫恋
'wu'sa'si 乌萨斯
'wu'sa'si'xue'sheng'zi'zhi'tuan 乌萨斯学生自治团
'wu'shui'yan'mo'shi 五水研磨石
'xi'lan 锡兰
'xi'si'ta 汐斯塔
'xi'si'ta'de'hei'yao'shi 汐斯塔的黑曜石
'xian'feng 先锋
'xie'la'ge 谢拉格
'xin'pian'zhu'ji 芯片助剂
'xing'ji 星极
'xu'la'gu 叙拉古
'xue'zhi 雪雉
'xun'chou'zhe 寻仇者
'xun'fang'ping'zheng 寻访凭证
'xun'lian'shi 训练室
'xun'lin'zhe 巡林者
'ya'xin 崖心
'yan'ke 炎客
'yan'mo'shi 研磨石
'yan'rong 炎熔
'ye'dao 夜刀
'ye'mo 夜魔
'ye'yan 夜烟
'yi'fu'li'te 伊芙利特
'yi'liao 医疗
'yi'te'la 依特拉
'yi'tie 异铁
'yi'tie'kuai 异铁块
'yi'tie'sui'pian 异铁碎片
'yi'tie'zu 异铁组
'yin'hui 银灰
'yin'tuo'luo 因陀罗
'yin'xing'nu'shou 隐形弩手
'ying'ji'li'zhi'ding'ye 应急理智顶液
'you'ling'sha 幽灵鲨
'yuan'shi 源石
'yuan'shi'chong 源石虫
'yuan'shi'sui'pian 源石碎片
'yuan'yan 源岩
'yue'jian'ye 月见夜
'yun'xing 陨星
'zha'la'ke 扎拉克
'zhan'shu'yan'xi 战术演习
'zhao'pin'xu'ke 招聘许可
'zheng'he'yun'dong 整合运动
'zhi'chun'yuan'shi 至纯源石
'zhi'yuan'liao 酯原料
'zhi'zao'zhan 制造站
'zhu'tie 铸铁
'zi'lan 梓兰
'zi'yuan'bao'zhang 资源保障
'zi'zhi'ping'zheng 资质凭证
'zuo'zhan'ji'lu 作战记录
