'ai'ai'feng'yan'wan 暧暧风烟晚
'bai'ri'you'xi'xie 白日又西斜
'bai'ri'zai'gao'tian 白日在高天
'bai'shou'jing 百兽惊
'bai'shui'xing'han'guang 白水兴汉光
'bai'tuan'shan 白团扇
'bai'yan'jian'qiang'di 白雁兼羌笛
'bai'yang'qiu'yue'ku 白杨秋月苦
'bai'yang'sao'xie 白杨骚屑
'bai'yi'cao'yu'zhou 拜揖曹与周
'bai'yin'dang 白银珰
'bai'yu'jia'lian'chuan 白鱼驾莲船
'bai'yun'yi'pian'qu'you'you 白云一片去悠悠
'bai'zhan'ku'bu'gui 百战苦不归
'bai'zhan'wei'ceng'shu 百战未曾输
'ban'du'shang'liao'jin 半渡上辽津
'ban'juan'hong'qi'lin'yi'shui 半卷红旗临易水
'ban'lu'tui'hong'huang 半路颓鸿荒
'ban'qie'che'sheng'bu'zhi'ti 班倢车声不至啼
'bang'lin'xie'shan'ce 傍临谢山侧
'bao'feng'xian'hua'ye'liang'chi 宝凤衔花揲两螭
'bao'jun'huang'jin'tai'shang'yi 报君黄金台上意
'bao'ma'li'jue'jing 宝马丽绝景
'bao'rong'cai'lian'qu'er'shou 鲍溶采莲曲二首
'bao'rong'yuan'shi 鲍溶怨诗
'bao'wa'lian'hua'ju 宝袜莲花炬
'bao'yue'piao'yan'yi'chi'yao 抱月飘烟一尺腰
'bei'bing'na'dei'du 北兵那得度
'bei'dou'li 北斗戾
'bei'fa'ben'liu'jing'he'ru 被发奔流竟何如
'bei'fa'zhi'sou'kuang'er'chi 被发之叟狂而痴
'bei'feng'bei'feng 北风北风
'bei'feng'jin'ru'qie 北风劲如切
'bei'feng'si'bian'lai 悲风四边来
'bei'feng'yang'hu'sha 北风扬胡沙
'bei'hao'jue'zhong'chang 悲号绝中肠
'bei'ji'guan'xi'si'fan'xian 悲急管兮思繁弦
'bei'ji'yan'qi'sheng 北极严气升
'bei'juan'liang'yuan'yang 被卷两鸳鸯
'bei'lai'hao'kong'mu 北籁号空木
'bei'lai'que'yi'han'tian'zi 悲来却忆汉天子
'bei'li'you'xian'xiong 北里有贤兄
'bei'ma'su'yan'shuang 鞴马宿严霜
'bei'mai'dang'xiang'ma 北买党项马
'bei'mang'lu'fei'yuan 北邙路非远
'bei'mian'dang'he'zhi 背面当何知
'bei'ming'xiang'zhui'pan 悲鸣相追攀
'bei'ren'duo'shi'lv'yun'huan 北人多识绿云鬟
'bei'shang'he'suo'ku 北上何所苦
'bei'shang'yuan'tai'hang 北上缘太行
'bei'tang'hong'cao'sheng'feng'rong 北堂红草盛丰茸
'bei'xin'ye'chong'chong 悲心夜忡忡
'bei'yong'lu'yang'guan 北拥鲁阳关
'ben'jing'jia'huang'he 奔鲸夹黄河
'ben'wei'xiu'ming'ren 本为休明人
'ben'zi'wu'ying'du 本自无萦妒
'ben'zou'ji'shi'ling 奔走极使令
'beng'si'cai'yuan'ning'xiao'kong 绷丝采怨凝晓空
'bi'bu'fa'ci'yue'xian'cheng 毕逋发刺月衔城
'bi'cang'hui'xuan'ren'de'zhi 彼苍回轩人得知
'bi'cao'mi'ren'gui'bu'de 碧草迷人归不得
'bi'ci'ge'he'he'shi'wu 彼此隔河何事无
'bi'jie'dui'qi'qian 碧阶对绮钱
'bi'jing'bu'feng'hou 毕竟不封侯
'bi'lang'lang'bu'jian 避郎郎不见
'bi'mo'neng'xiang'reng 彼莫能相仍
'bi'qie'zai'chang'men 闭妾在长门
'bi'sha'ru'yan'ge'chuang'yu 碧纱如烟隔窗语
'bi'xia'ying'yun'qi 陛下应运起
'bi'xia'zhi'shou'san'qian'shuang 陛下之寿三千霜
'bi'yi'ri'yu'san'nian 比一日于三年
'bi'yu'jiong'jiong'shuang'mu'tong 碧玉炅炅双目瞳
'bi'yu'sao'tou'luo'shui'zhong 碧玉搔头落水中
'bi'yu'shang'gong'ji 碧玉上宫妓
'bian'feng'juan'di'shi 边风卷地时
'bian'feng'xiao'xiao 边风萧萧
'bian'feng'ye'za'xing 边烽夜杂星
'bian'feng'yi'bao'qiu 边风已报秋
'bian'jiang'qi'wu'xiu 边将岂无羞
'bian'sheng'si'san'wen 边声四散闻
'bian'wu'xiang'li'qing 便无乡里情
'bie'hou'lu'chui'ye 别后露垂叶
'bie'lai'hua'zhao'lu 别来花照路
'bie'lai'ji'duo'shi 别来几多时
'bie'lai'jian'han'shu 别来间寒暑
'bie'shi'ge'you'lei 别时各有泪
'bie'shi'ji'zhong'lian 别是机中练
'bie'you'zhong'liu'cai'ji'he 别有中流采芰荷
'bie'zuo'shen'gong'yi'duan'chou 别作深宫一段愁
'bin'you'ri'shu'san 宾友日疏散
'bing'feng'cheng'kong'han'chu'chu 冰峰撑空寒矗矗
'bing'he'bu'wen'tuan 冰合不闻湍
'bing'liang'zhou 并两肘
'bing'zai'zhao'ge'zhong 并在棹歌中
'bing'zhe'cai'lian'zhou 并着采莲舟
'bo'dang'luo'xing'wan 波荡落星湾
'bo'dang'shuang'yuan'yang 波荡双鸳鸯
'bo'ming'you'jiao'lu 薄命由骄虏
'bo'mu'gui'qu'lai 薄暮归去来
'bo'mu'lian'rong'ge'yi'qu 薄暮敛容歌一曲
'bo'mu'si'you'you 薄暮思悠悠
'bo'shan'lu'zhong'chen'xiang'huo 博山炉中沉香火
'bo'tao'sai'chuan'ru'die'ban 波涛塞川如叠坂
'bo'tao'tian 波滔天
'bo'zhong'zi'jiao'jing 波中自皎镜
'bu'bing'han'gong'shi 不并汉宫时
'bu'bu'chun'fang'lv 步步春芳绿
'bu'can'shi'shang'xiong 不惭世上雄
'bu'cha'yu'chai'zhuang'shu'qian 不插玉钗妆梳浅
'bu'dai'chun'mian'zu 不待春眠足
'bu'du'jue'gui'mao 不睹谲诡貌
'bu'du'zhan'guo'shu 不读战国书
'bu'er'ku'han'he'tai'ku 不尔苦寒何太酷
'bu'fang'hai'bao'xi 不妨还报喜
'bu'fen'jun'en'duan 不分君恩断
'bu'ji'tu'gu'er 不及屠酤儿
'bu'ji'xin'en'zhong 不及新恩重
'bu'ji'yuan'jin'cheng 不计远近程
'bu'jian'xin'xiang'xu 不见心相许
'bu'jian'yan'zhong'ren 不见眼中人
'bu'jian'yin'shan'zai'qian'zhen 不见阴山在前阵
'bu'jian'yun'dang'lv 不减筼筜绿
'bu'kan'deng'long'wang 不堪登陇望
'bu'kan'shen'dian'li 不堪深殿里
'bu'ke'jian'lu'yu 不可见鲈鱼
'bu'lan'huang'shi'jing 不览黄石经
'bu'ling'du'zuo'kong'cheng'chen 不令独作空城尘
'bu'mai'wen'jun'jiu 不卖文君酒
'bu'nai'chen'huang'hou 不奈陈皇后
'bu'qi'xiang'ru'jia'jiu'pin 不弃相如家旧贫
'bu'qian'hu'er'pi'ma'hai 不遣胡儿匹马还
'bu'ren'yun'jian'liang'fen'zhang 不忍云间两分张
'bu'ru'bu'xiang'jian 不如不相见
'bu'ru'bu'xing 不如不行
'bu'ru'gui'shan'hao 不如归山好
'bu'ru'sheng'si'bie 不如生死别
'bu'ru'tao'li'zheng'wu'yan 不如桃李正无言
'bu'ru'zao'huan'jia 不如早还家
'bu'ru'zhou'xian'zheng 不入州县征
'bu'shi'si'jun'shi'hen'jun 不是思君是恨君
'bu'shi'yu'jie'xing 不使玉阶行
'bu'si'xian'yu'yu 不思贤与愚
'bu'wei'shen'wu'yi 不为身无衣
'bu'wen'ai'ku'sheng 不闻哀哭声
'bu'wu'yan'yi'zheng 部伍严以整
'bu'xi'gu'zhong'yuan 不洗骨中冤
'bu'xi'nan'jin'jiao'pei'jie 不惜南津交佩解
'bu'xue'yang'bai'hua 不学杨白花
'bu'yan'shi'fei'fei'zhi'gong 不言是非非至公
'bu'yi'jun'xin'ban'lu'hui 不意君心半路回
'bu'ying'you'hen'shi 不应有恨事
'bu'yu'hua'zhi'xian'liu'long 不御华芝嫌六龙
'bu'yuan'wei'ting'qian'hong'jin'zhi 不愿为庭前红槿枝
'bu'zhao'you'zi'bei 不照游子悲
'bu'zhi'cheng'yue'ji'ren'gui 不知乘月几人归
'bu'zhi'ge'yao'miao 不知歌谣妙
'bu'zhi'he'chu'ji'han'yi 不知何处寄寒衣
'bu'zhi'jiang'yue'dai'he'ren 不知江月待何人
'bu'zhi'qu'ti'wei 不知躯体微
'bu'zhi'shen'zhi'lai'xi'bu'lai 不知神之来兮不来
'bu'zhi'shui'jia'zi 不知谁家子
'bu'zhi'shui'shi'ku'xin'ren 不知谁是苦心人
'bu'zhi'wan'li'sha'chang'ku 不知万里沙场苦
'bu'zhi'yi'jiu'ai 不知移旧爱
'bu'zuo'fu'ping'sheng 不作浮萍生
'cai'ba'jiang'tou'yue'song'gui 采罢江头月送归
'cai'cai'cheng'ri'mu 采采乘日暮
'cai'feng'ji'yuan'dao 裁缝寄远道
'cai'hua'jing'shu'niao 采花惊曙鸟
'cai'li'you'ke'yi 才力犹可倚
'cai'lian'ge'you'jie 采莲歌有节
'cai'lian'gui 采莲归
'cai'lian'lian'you'zi 采莲莲有子
'cai'lian'nv 采莲女
'cai'lian'nv'er'ping'chuan'ge 采莲女儿凭船歌
'cai'lian'qie'lai'shui'wu'feng 采莲朅来水无风
'cai'lian'ye'wei'xie 采莲夜未歇
'cai'lian'zhou 采莲舟
'cai'ling'bu'gu'ma'shang'lang 采菱不顾马上郎
'cai'luo'ci'jun'ji'cu'shu 彩落辞君几徂暑
'cai'luo'you'jiong'jiong 裁罗又絅絅
'cai'qun'yue'chu'yao 裁裙约楚腰
'cai'sang'lv'shui'bian 采桑绿水边
'cai'sang'wei'ri'gao 采桑畏日高
'cai'sang'xiang'cheng'yu 采桑向城隅
'cai'wan'qi'duan'qu 裁纨凄断曲
'cai'xin'long'ban'chang 采薪陇坂长
'cai'xiong'zhong'jiao'jie 财雄重交结
'cai'yu'shang'jing'heng 采玉上荆衡
'cai'zhai'qie'tong'chuan 采摘且同船
'can'chun'wei'bi'duo'yan'yu 残春未必多烟雨
'can'cong'ji'yu'fu 蚕丛及鱼凫
'can'ji'qie'yu'qu 蚕饥妾欲去
'can'qi'bing'xue'li 惨戚冰雪里
'can'ye'rao'zhi'ti 残夜绕枝啼
'can'yue'qing'lian'gou 残月倾帘钩
'cang'cang'chong'wang'bian 苍苍虫网遍
'cang'cang'shang'gu'yuan 苍苍上古原
'cang'lang'jin'ta'yao'xiang'yi 仓琅禁闼遥相忆
'cang'ming'tang'wei'he 沧溟倘未涸
'cang'qiang'pan'long'xing 藏镪盘龙形
'cang'qiong'ning'fei'ren 苍穹宁匪仁
'cao'bi'yang'liu'huang 草碧杨柳黄
'cao'bu'xie'rong'yu'chun'feng 草不谢荣于春风
'cao'cao'men'xiang'xuan 草草门巷喧
'cao'jie'yan'hua'xi 草接烟华席
'cao'man'cuan'luan'cong'ci'shi 曹瞒篡乱从此始
'cao'mu'bu'ke'can 草木不可餐
'cao'ran'wen'zhang'yi'xia'lv 草染文章衣下履
'cao'sheng'long'ban'xia 草生陇坂下
'cao'tu'lv 草徒绿
'cao'zhang'gen'yi'tu 草长根依土
'ce'ce'yu'xin'wei 恻恻与心违
'ce'chuang'jing'he'dao 恻怆竟何道
'ce'shen'xi'wang'chang'zi'jie 侧身西望长咨嗟
'ce'zu'jiao'yuan'wei'yan'ku 侧足焦原未言苦
'cen'ci'jin'gui'fang 参差近鬼方
'cen'ci'yin'ye'shan 参差隐叶扇
'cen'shen'chang'men'yuan 岑参长门怨
'cen'yang'nv'er'hua'man'tou 涔阳女儿花满头
'ceng'bo'ge'meng'zhu 曾波隔梦渚
'ceng'ju'di'yi'liu 曾居第一流
'ceng'luan'yin'gao'jie 层峦引高节
'ceng'yan'shang'yu'pan 层岩上郁盘
'chai'ying'chuan'wen'fu'dang'yang 钗影钏文浮荡漾
'chan'bang'qian'lai'qi'bai'you 谗谤潜来起百忧
'chan'mian'hui'you'shi 缠绵会有时
'chan'yan'ling'qiong'cang 巉岩凌穹苍
'chan'yan'yi'rong 巉岩仪容
'chan'yi'jiu'wu 蝉翼九五
'chan'yu'jian'xue'ran'zhu'lun 单于溅血染朱轮
'chan'yu'kuan'guan'ru 单于款关入
'chan'yu'you'bi'he'xu'duan 单于右臂何须断
'chang'an'bai'ri'zhao'chun'kong 长安白日照春空
'chang'an'bei'wang'san'qian'li 长安北望三千里
'chang'an'cheng'zhong'zei'mao'qi 长安城中贼毛起
'chang'an'dao'bang'duo'bai'gu 长安道傍多白骨
'chang'an'shao'nian'wu'yuan'tu 长安少年无远图
'chang'an'yi'pian'yue 长安一片月
'chang'cheng'bian'zuo'wang'xiang'dui 长城变作望乡堆
'chang'cheng'ku 长城窟
'chang'cheng'ku'bian'duo'ma'gu 长城窟边多马骨
'chang'cheng'lian'bu'qiong 长城连不穷
'chang'di'heng'chui'lu'chen'kuo 长笛横吹虏尘阔
'chang'duan'bai'yang'sheng 肠断白杨声
'chang'duan'xian'yi'jue 肠断弦亦绝
'chang'gan'xie'lu'bei 长干斜路北
'chang'he'jiu'men'bu'ke'tong 阊阖九门不可通
'chang'huan'ruo'mei'dong'cen'ci 长鬟弱袂动参差
'chang'jian'mo'shang'sang 常建陌上桑
'chang'jian'sai'shang'qu 常建塞上曲
'chang'jiang'chun'shui'liu 长江春水流
'chang'jiang'wu'ri'gu'chun'jiu 长江午日酤春酒
'chang'le'hua'zhi'yu'dian'xiao 长乐花枝雨点消
'chang'le'tong'ting'yan'hua'qin 长乐彤庭宴华寝
'chang'lou'fen'se'hong 倡楼粉色红
'chang'lou'liang'an'xuan'shui'zha 倡楼两岸悬水栅
'chang'lou'yi'xiao'qing'qian'jin 倡楼一笑轻千金
'chang'mei'yi'si'yan'hua'tie 长眉亦似烟华贴
'chang'men'bu'xi'jin 长门不惜金
'chang'men'ci'ye'ting 长门次掖庭
'chang'men'huai'liu'ban'xiao'shu 长门槐柳半萧疏
'chang'men'luo'jing'jin 长门落景尽
'chang'pu'hua'sheng'yue'zhang'man 菖蒲花生月长满
'chang'qian'yi'xiao'shuo 长遣一宵说
'chang'qing'wan'sui'bei 长倾万岁杯
'chang'wang'bie'li'shi 怅望别离时
'chang'wang'feng'huang'lou 长望凤凰楼
'chang'wen'qin'di'nv 尝闻秦帝女
'chang'xiao'liang'fu'yin 长啸梁甫吟
'chang'xin'gong'zhong'cao 长信宫中草
'chang'xin'li'hua'an'yu'qi 长信梨花暗欲栖
'chang'xin'zhong'men'zhou'yan'guan 长信重门昼掩关
'chang'xu'bu'zheng'lv'yun'bin 长吁不整绿云鬓
'chang'ye'qi'en'qing 长夜泣恩情
'chang'yi'ci'cheng'gong 长揖辞成功
'chang'yi'shan'dong'long'zhun'gong 长揖山东隆准公
'chang'yin'yi'sheng'can'lou'zi 长引一声残漏子
'chang'zuo'wang'fu'ming 长作望夫名
'chao'bi'meng'hu 朝避猛虎
'chao'bu'qi'dui'qi'lin'shu 朝晡泣对麒麟树
'chao'cheng'en'chong'mu'chou'chou 朝承恩宠暮仇雠
'chao'fu'jian'lang'ju 朝服践狼居
'chao'lai'yu'shu'ji 朝来羽书急
'chao'mei'ju'qu'sou 潮没具区薮
'chao'ping'jian'chu'dian 潮平见楚甸
'chao'qi'wu'hua'ma 朝骑五花马
'chao'sui'bei'feng'qu 朝随北风去
'chao'wei'shuang'di'hua 朝为双蒂花
'chao'xia'bu'xiang'ying 朝下不相迎
'chao'yan'shi'wei'you 巢燕时为友
'chao'you'han'ling'guo 朝游含灵果
'chao'you'mu'qi'jin'hua'jin 朝游暮起金花尽
'che'gai'fu'yun'pan 车盖浮云盘
'che'lun'cui'gao'gang 车轮摧高冈
'che'lun'ming'yue'tuan 车轮明月团
'che'ma'que'gui'cheng 车马却归城
'che'ma'xiang'chi'tu 车马相驰突
'che'tu'zhen'yuan'xi 车徒振原隰
'chen'chen'lv'cao'zi 沉沉绿草滋
'chen'chen'lv'jiang'wan 沉沉绿江晚
'chen'fei'jin'gu'yuan 尘飞金谷苑
'chen'fei'sai'bei'jing 尘飞塞北境
'chen'guang'zhao'lv'xiang 晨光照闾巷
'chen'man'jin'lu'bu'zhu'xiang 尘满金炉不炷香
'chen'shi'shen'ru'xi'jiao'chi'ku 沉尸深入兮蛟螭窟
'chen'xiang'tie'ge'zhu 沉香帖阁柱
'chen'xing'bei'an'lin 晨行北岸林
'chen'yao'xi 陈瑶席
'chen'you'neng'shang'ren 沉忧能伤人
'cheng'beng'qi'liang'qi 城崩杞梁妻
'cheng'chao'qu'mang'mang 乘潮去茫茫
'cheng'cheng'shan'xiang'da'pi'pa 枨枨山响答琵琶
'cheng'en'le'wei'qiong 承恩乐未穷
'cheng'han'yue'xiao'chi'si'shen 城寒月晓驰思深
'cheng'jiao'zai'shi'liu 城角栽石榴
'cheng'lin'da'jiang'si 城临大江汜
'cheng'long'shang'san'tian 乘龙上三天
'cheng'men'si'zou'gong'qing'shi 城门四走公卿士
'cheng'nan'you'yuan'fu 城南有怨妇
'cheng'que'bi'huang'ai 城阙闭黄埃
'cheng'shang'gui'shi'wan 城上归时晚
'cheng'shi'zhi'zhong'qing 乘时知重轻
'cheng'tou'ye'ban'sheng'ya'ya 城头夜半声哑哑
'cheng'tou'yue'mei'shuang'ru'shui 城头月没霜如水
'cheng'xi'yang'liu'xiang'jiao'wan 城西杨柳向娇晚
'cheng'xia'you'gua'qi 城下有寡妻
'cheng'yang'dong'wei'lian 澄阳动微涟
'cheng'yin'huo'ying'ke 惩淫或应可
'cheng'zhong'dong'xi'shi 城中东西市
'cheng'zhong'mei'nian'shao 城中美年少
'cheng'zhong'qing'bo'zi 城中轻薄子
'chi'bu'bu'yan'ti 尺布不掩体
'chi'bu'zhi'yao 尺布之谣
'chi'che'si'ma'sheng'hui'guang 赤车驷马生辉光
'chi'chu'bu'qian'ying 踟蹰步前楹
'chi'ci'dao'mi'yi 持此道密意
'chi'ci'yi'sheng'bo 持此一生薄
'chi'luo'pu'tao'ye 赤落蒲桃叶
'chi'ma'du'he'gan 驰马渡河干
'chi'mei'li'pen'zi 赤眉立盆子
'chi'shang'fu'rong'luo 池上芙蓉落
'chi'wan'ye'yu'fei'dian'guang 赤丸夜语飞电光
'chi'yao'qi'shang'shu 耻邀淇上姝
'chi'zao'wo'ling'she 摛藻握灵蛇
'chi'zeng'long'xi'ren 持赠陇西人
'chi'zha'si'hai'dong 叱咤四海动
'chong'biao'juan'sai'peng 冲飙卷塞蓬
'chong'feng'biao'luo'dong'ting'lu 冲风摽落洞庭渌
'chong'sheng'ru'luo'mu 虫声入罗幕
'chong'yan'wei'wu'xiang'wei'shi 重岩为屋橡为食
'chong'yi'en'shao'bo 宠移恩稍薄
'chou'an'dai'mao'zan 愁安玳瑁簪
'chou'chang'bi'yun'zi 惆怅碧云姿
'chou'fu'si'shou'zhen 丑妇死守贞
'chou'ji'ren'qian'qi 愁寂任前期
'chou'jian'zhi'zhu'zhi 愁见蜘蛛织
'chou'kong'shan 愁空山
'chou'lai'hao'zi'yi 愁来好自抑
'chou'mei'jie'jiu'en 愁眉结旧恩
'chou'mei'liu'ye'pin 愁眉柳叶嚬
'chou'mian'luo'zhang'xiao 愁眠罗帐晓
'chou'rao'dang'yuan'ping 雠扰当远屏
'chou'rong'qi'jiu'en 愁容泣旧恩
'chou'tan'ju'fan'xing 愁叹剧繁星
'chou'ting'luo'wei'chang 愁听络纬唱
'chou'xin'he'yu'dao'zhao'yang 愁心和雨到昭阳
'chu'cong'shao'xiao'zai'bian'cheng 初从少小在边城
'chu'feng'hua'shang'yue 初逢花上月
'chu'guang'xi'cai'lian'qu 储光羲采莲曲
'chu'guang'xi'cai'ling'qu 储光羲采菱曲
'chu'guang'xi'ye'tian'huang'que'xing 储光羲野田黄雀行
'chu'jiang'wu'xia'bing'ru'huai 楚江巫峡冰入怀
'chu'men'qiu'huo'ban 出门求火伴
'chu'qiao'bao'dao'ming 出鞘宝刀鸣
'chu'ren'si'shi'jie'ma'yi 楚人四时皆麻衣
'chu'ri'jian'liu'guang 初日渐流光
'chu'ru'jin'du'xian 出入金犊幰
'chu'ru'qian'hua'lin 出入千花林
'chu'ru'qian'men'li 出入千门里
'chu'shui'ci'yu'ku 楚水辞鱼窟
'chu'tian'wan'li'wu'jing'hui 楚天万里无晶辉
'chu'xia'she'hong'wei 初霞射红尾
'chu'yao'ming'yue'zi 初摇明月姿
'chuan'dao'chan'yu'ye'you'zhan 传道单于夜犹战
'chuan'de'feng'huang'sheng 传得凤凰声
'chuan'dong'ying'ming'suo 钏动应鸣梭
'chuan'kai'zhi'ji'liu 船开值急流
'chuan'sheng'zou'ma'kai'jin'wu 传声走马开金屋
'chuan'tou'ji'shen'ge'jiao'jiu 船头祭神各浇酒
'chuan'tou'zhe'ou'si'an'qian 船头折藕丝暗牵
'chuan'zhong'sheng'zhang'le'feng'bo 船中生长乐风波
'chuan'zhong'wei'man'du'qian'zhou 船中未满度前洲
'chuang'an'wang'luo'bai 窗暗网罗白
'chuang'qian'hao'shu'ming'mei'gui 窗前好树名玫瑰
'chuang'wai'shan'xiao'li 窗外山魈立
'chuang'you'jian'xi'pan'you'yu 床有菅席盘有鱼
'chuang'zhong'du'zi'qi 窗中独自起
'chuang'zhong'si'ba'luo 窗中丝罢络
'chui'dong'xiao 吹洞箫
'chui'er'chao'luo 吹尔巢落
'chui'jiao'bai'tou'jun 吹角白头军
'chui'liu'zhe'hai'chang 垂柳折还长
'chui'que'yan'men'sang 吹却雁门桑
'chui'wo'meng'hun'san 吹我梦魂散
'chun'cao'bu'fu'sheng 春草不复生
'chun'feng'cao'lv'bei'mang'shan 春风草绿北邙山
'chun'feng'chui'hua'luan'pu'hu 春风吹花乱扑户
'chun'feng'fu'wu'qing 春风复无情
'chun'feng'liao'luan'bo'lao'yu 春风撩乱伯劳语
'chun'feng'ri'mu'nan'hu'li 春风日暮南湖里
'chun'feng'ri'ri'bi'chang'men 春风日日闭长门
'chun'feng'xiao'ren'lai 春风笑人来
'chun'feng'yao'dang'chuang'qian'liu 春风摇荡窗前柳
'chun'feng'zheng'dan'dang 春风正澹荡
'chun'ge'nong'ming'yue 春歌弄明月
'chun'hai'shi'can'zuo 春还事蚕作
'chun'jiang'chao'shui'lian'hai'ping 春江潮水连海平
'chun'lai'nan'yan'gui 春来南雁归
'chun'lai'que'xian'ting'hua'luo 春来却羡庭花落
'chun'lou'bu'bi'wei'rui'suo 春楼不闭葳蕤锁
'chun'mao'wu'gui'yan 春貌无归妍
'chun'mian'heng'zhu'xiao 春眠恒著晓
'chun'qi'man'lin'xiang 春气满林香
'chun'ri'chun'jiang'bi'shui'liu 春日春江碧水流
'chun'se'du'he'yang 春色度河阳
'chun'sheng'bai'zi'dian 春生百子殿
'chun'shui'you'you'chun'cao'lv 春水悠悠春草绿
'chun'tao'fa'lu'hua 春桃发露花
'chun'tian'bai'cao'qiu'shi'shuai 春天百草秋始衰
'chun'xi'yi'wei'xin 春戏易为心
'chun'xiang'hou'gong'chi 春向后宫迟
'chun'yan'shi'yin'zhou 春雁时隐舟
'chun'ye'te'lai'you 春夜特来游
'chun'you'bu'ke'wang 春游不可忘
'chun'zhou'jing'fei'cui 春洲惊翡翠
'ci'bie'zhong'tian'di 此别终天地
'ci'ci'wu'xiu'shi 莿莿无休时
'ci'di'nian'nian'sheng'si'bie 此地年年生死别
'ci'di'xiang'kan'wei'ren'fen 此地相看未忍分
'ci'gou'wu'suo'shou 此苟无所受
'ci'ming'qi'kan'qing 此命岂堪轻
'ci'nong'qin'cao'fang 雌弄秦草芳
'ci'qiu'bai'gong'qing 次求百公卿
'ci'qu'bu'ke'zou 此曲不可奏
'ci'ren'gu'zhi'xian 此人古之仙
'ci'shi'a'jiao'zheng'jiao'du 此时阿娇正娇妒
'ci'shi'chang'bie'chu 此是长别处
'ci'shi'gu'en'bu'gu'shen 此时顾恩不顾身
'ci'shi'gu'en'ning'gu'shen 此时顾恩宁顾身
'ci'shi'pao'qu'shi 此时抛去时
'ci'shi'tian'shang'lao'ya'ming 此是天上老鸦鸣
'ci'shi'xi'bie'ju'kan'wen 此时惜别讵堪闻
