'ai'ai'ding'men'wai 蔼蔼鼎门外
'bei'shui'han'geng'lv 陂水寒更绿
'bei'sou'zhi'yan'qi'bian'wu 北叟之言岂便诬
'bei'wang'chang'yin'li'you'lan 北望长吟澧有兰
'bei'wen'cai'jian'man'ai'chen 碑文才见满埃尘
'bei'xiang'shua'mao'yi 北向刷毛衣
'ben'cong'qiao'shi'guang 本从敲石光
'ben'ying'gui'ji'fei'wu'yi 本营归计非无意
'ben'yu'zui'zhong'qing'yuan'bie 本欲醉中轻远别
'bi'di'wen'zhang'ye'ying'xing 笔底文章夜应星
'bi'feng'bu'neng'xiu 笔锋不能休
'bi'fu'ci'shan'gui 薜服祠山鬼
'bi'kong'can'yue'shu 壁空残月曙
'bi'liu'qing'qian'jian'qiong'sha 碧流清浅见琼砂
'bi'luo'xian'lai'sui'zan'zhe 碧落仙来虽暂谪
'bi'ming'jiang'hai'zhong'you'ao 毕命江海终游遨
'bi'shang'bi'zong'long'hu'teng 壁上笔踪龙虎腾
'bi'shu'jiu'chi'po 彼姝久褫魄
'bi'xi'xiang'bing'shen 碧溪相并深
'bi'xiao'wu'wang'lu 碧霄无枉路
'bi'xu'wu'yun'feng'bu'qi 碧虚无云风不起
'bi'yong'liu'shui'jin'ling'tai 璧雍流水近灵台
'bi'yu'gu'gen'sheng'zai'lin 碧玉孤根生在林
'bi'zhong'jin'ri'ti'shi'chu 壁中今日题诗处
'bian'dang'ci'yun'ming 便当此殒命
'bian'hong'bu'dao'shui'nan'liu 边鸿不到水南流
'bian'pu'zi'lang'ji 鞭朴恣狼藉
'bian'shang'nan'chao'si 遍上南朝寺
'bian'shui'dong'liu'hu'yan'wen 汴水东流虎眼文
'bian'sui'wang'mu'shang'yan'xia 便随王母上烟霞
'bian'yin'shi'qing'dao'bi'xiao 便引诗情到碧霄
'bian'yue'kong'bei'lu'di'qiu 边月空悲芦笛秋
'bian'zhou'hu'fu'cheng'ping'shi 汴州忽复承平事
'bian'zhuo'qi'xia'jin'sha'shui 便酌砌下金沙水
'bie'hou'shi'cheng'zhi 别后诗成帙
'bie'hou'xiang'si'meng'geng'pin 别后相思梦更频
'bie'kui'zhou'guan'li 别夔州官吏
'bie'lai'er'shi'nian 别来二十年
'bie'she'di'zong'yi 别舍弟宗一
'bie'shi'ji'zhong'lian 别是机中练
'bin'hong'ci'di'fei 宾鸿次第飞
'bing'fu'jin'feng'huang'gong'lue 兵符今奉黄公略
'bing'fu'wo'qiu'zhai 病夫卧秋斋
'bing'shu'qian'tou'wan'mu'chun 病树前头万木春
'bing'ti'de'qiu'qing 病体得秋轻
'bing'yi'ju'shi'shi 病依居士室
'bing'zhu'chao'tian'sui'bu'hui 秉烛朝天遂不回
'bo'hai'gui'ren'jiang'ji'qu 渤海归人将集去
'bo'jing'fan'yin'mi 波静繁音弭
'bo'qing'shu'cun'jin 波清蜀村尽
'bo'shan'lu'ce'qing'han'hui 博山炉侧倾寒灰
'bo'shan'lu'zhong'xiang'zi'mie 博山炉中香自灭
'bo'tao'wu'dong'shi 波涛无动势
'bo'yao'xing'liang'ri 波摇杏梁日
'bu'bian'li'yu'ci 不辨俚语词
'bu'bu'xiang'xie'bu'jue'nan 步步相携不觉难
'bu'chu'dong'zhai'du 步出东斋读
'bu'chu'wu'ling'dong'ting'lin'jiang'yu'wang 步出武陵东亭临江寓望
'bu'ci'jian'feng'ji'jun'zhai 不辞缄封寄郡斋
'bu'de'duo'shi'zai'shi'jian 不得多时在世间
'bu'du'wei'luo'fu 不独为罗敷
'bu'fang'cong'ci'nie'dan'ti 不妨从此蹑丹梯
'bu'gai'nan'shan'se 不改南山色
'bu'gan'wei'wen'xue'jie'chao 不敢为文学解嘲
'bu'hu'dang'xuan'lv 布濩当轩绿
'bu'jian'dang'guan'hu'zao'qi 不见当关呼早起
'bu'jian'nan'hun'nv'jia'shi 不见男婚女嫁时
'bu'jian'qi'xia'chen 不见綦下尘
'bu'jian'yan'pan'ren 不见岩畔人
'bu'jian'zao'mei'hua 不见早梅花
'bu'jian'zhi'zhu'ji 不见蜘蛛集
'bu'jin'zhong'wu'yi 不进终无已
'bu'jue'chi'jing'chen'xi'qiang 不觉迟景沉西墙
'bu'lun'shi'jie'qing'kai'guan 不论时节请开关
'bu'ran'he'zhi'jin 不然何至今
'bu'ren'guo'xi'zhou 不忍过西州
'bu'rong'dai'de'wan'song'chang 不容待得晚菘尝
'bu'ru'ren'yi'shen 不如人意深
'bu'shi'gong'ming'shang'jing'zhong 不使功名上景钟
'bu'shi'huan'jia'ren 不是换佳人
'bu'si'dang'chu'fu'fen'shi 不似当初傅粉时
'bu'tan'liu'nian'xi'zhong'fang 不叹流年惜众芳
'bu'wei'lao'ren'kai 不为老人开
'bu'wei'wen'ti'si'xiang'ru 不唯文体似相如
'bu'xian'heng'yang'yan 不羡衡阳雁
'bu'xian'qiao'cui'man'tou'lai 不嫌憔悴满头来
'bu'xue'jing'zhou'li'mu'nu 不学荆州利木奴
'bu'xue'yao'ru'qing 不学腰如磬
'bu'yin'gan'shuai'jie 不因感衰节
'bu'yu'wang'hou'yu'ci'ke 不与王侯与词客
'bu'zhi'cong'ci'qu 不知从此去
'bu'zhi'fan'yin'jiu'bei'lai 不知翻引酒悲来
'bu'zhi'he'ke'dui'hu'chuang 不知何客对胡床
'bu'zhi'he'ke'jian'xiong'wen 不知何客荐雄文
'bu'zhi'he'ri'dong'ying'bian 不知何日东瀛变
'bu'zhi'jin'shi'shi 不知今史氏
'bu'zhi'ren'shi'ru'feng'zhu 不知人世如风烛
'bu'zuo'shi'mo'ji'jiu'dian 不作诗魔即酒颠
'cai'bi'yu'rong'jin'yi'ma 彩笔谕戎矜倚马
'cai'cai'qiao'ying'wei'jia'ke 采采翘英为嘉客
'cai'han'xie'chong'jin 彩翰写冲襟
'cai'jing'zhi'xia'fan'yun'xi 才惊指下繁韵息
'cai'ling'bu'gu'ma'shang'lang 采菱不顾马上郎
'cai'ling'xing 采菱行
'cai'qi'jia'an'zhao'jiao'shi 彩旗夹岸照鲛室
'cai'qi'zhu'hu'yu'xiang'wang 彩旗朱户郁相望
'cai'shi'yuan'suo'ju 裁诗怨索居
'cai'ying'lv'fen'xun 猜鹰屡奋迅
'cai'zhang'shen'qi'lie'xiao'feng 彩仗神旗猎晓风
'cai'zhou'cheng'zhong'zhong'xin'si 蔡州城中众心死
'cai'zhou'xin'cao'lv 蔡洲新草绿
'cai'zi'sheng'ming'bai'shi'lang 才子声名白侍郎
'can'si'jin'shu'shui 蚕丝尽输税
'can'wu'hui'hua'chuan 惭无惠化传
'can'xia'hu'gai'se 残霞忽改色
'can'yang'ji'mo'chu'qiao'che 残阳寂寞出樵车
'cang'bai'zhi'gu'ying'dian'mao 苍白瀄汩盈颠毛
'cang'bo'bu'gui'cheng'ta'chao 沧波不归成沓潮
'cang'bo'hao'wu'qiong 沧波浩无穷
'cang'cang'wang'chong'bian 苍苍网虫遍
'cang'cang'yi'yu'hou 苍苍一雨后
'cang'huang'jian'qu'zhu 苍黄见驱逐
'cang'huang'zhong'shi'tan'liang'gong 苍黄钟室叹良弓
'cang'mang'yuan'qi'ning 苍茫冤气凝
'cang'sheng'wang'jue'shi'lin'bei 苍生望绝士林悲
'cang'ying'shang'ji'fan'shu'guang 苍鹰上击翻曙光
'cang'zhou'you'qi'qu 沧州有奇趣
'cao'gang 曹刚
'cao'lv'chun'guang'li 草绿春光丽
'cao'ran'chua'qi'chu'hai'ting 嘈然欻起初骇听
'cao'se'lian'yun'ren'qu'wang 草色连云人去往
'cao'sheng'shu'hang'liu'huai'bi 草圣数行留坏壁
'cao'shu'han'yuan'si 草树含远思
'cao'tang'wu'zhu'yan'fei'hui 草堂无主燕飞回
'cao'xuan'men'hu'shao'chen'ai 草玄门户少尘埃
'cao'you'dou'sheng'xin 草有斗生心
'cao'zhong'li'shu'zu'wei'huan 草中狸鼠足为患
'ce'mu'song'qian'jun 策慕宋前军
'ce'xun'li'bi'tian'xia'tai 策勋礼毕天下泰
'cen'ci'die'bi'yun 参差叠碧云
'ceng'bo'wan'qing'ru'rong'jin 曾波万顷如镕金
'ceng'jiang'bi'jun'zi 曾将比君子
'ceng'jiang'huang'he'lou'shang'chui 曾将黄鹤楼上吹
'ceng'jing'xie'bing'ke'you'liang 曾经谢病客游梁
'ceng'lan'qi'bai'li 层澜七百里
'ceng'shang'liu'he'yang'chu'qi 曾伤六翮养初齐
'ceng'sui'zhi'nv'du'tian'he 曾随织女渡天河
'ceng'wen'tian'bao'mo 曾闻天宝末
'ceng'wu'shi'shi'yu'fen'xiang 曾无侍史与焚香
'ceng'xiang'kong'men'xue'zuo'chan 曾向空门学坐禅
'ceng'zhao'qing'qing'nian'shao'shi 曾照青青年少时
'cha'hua'nv'er'dan'yin'zheng 插花女儿弹银筝
'cha'tian'ge'bing'yin 插田歌并引
'chai'ying'chuan'wen'fu'dang'yang 钗影钏文浮荡漾
'chan'rao'yi'zhi'hao 缠绕一枝蒿
'chan'sheng'wei'fa'qian 蝉声未发前
'chan'shui'song'jun'jun'bu'hai 浐水送君君不还
'chan'yuan'ri'ye'wu'qiong'yi 潺湲日夜无穷已
'chan'yun'ji'qing'qie 蝉韵极清切
'chang'ai'jie'xi'feng'jing'xian 长爱街西风景闲
'chang'an'bei'wang'san'qian'li 长安北望三千里
'chang'an'er'yue'hua'man'cheng 长安二月花满城
'chang'an'mo'shang'wu'qiong'shu 长安陌上无穷树
'chang'an'zhen'da'chu 长安真大处
'chang'ban'chui'xiao'bie'you'ren 长伴吹箫别有人
'chang'bo'qi'qiu'se 长泊起秋色
'chang'dao'duan'li'qu'shao'yu 长刀短笠去烧畬
'chang'de'liang'zhou'yi'wai'sheng 唱得凉州意外声
'chang'ge'chu'tian'bi 长歌楚天碧
'chang'hen'ren'xin'bu'ru'shui 长恨人心不如水
'chang'hen'yan'yu'qian 常恨言语浅
'chang'huan'ru'yun'yi'si'wu 长鬟如云衣似雾
'chang'huan'ruo'mei'dong'cen'ci 长鬟弱袂动参差
'chang'jiang'ning'lian'shu'wu'feng 长江凝练树无风
'chang'jie'ren'yu'xian'ju'jue 长嗟人与弦俱绝
'chang'jin'xin'ci'huan'bu'jian 唱尽新词欢不见
'chang'jing'li'xian'jian 尝经历险艰
'chang'kong'you'you'ji'ri'xuan 长空悠悠霁日悬
'chang'men'zhang'kai'lai'zhao'lei 长门帐开来照泪
'chang'ming'deng'shi'qian'chao'yan 长明灯是前朝焰
'chang'sha'nan'zi'dong'lin'shi 长沙男子东林师
'chang'sha'yi'qian'nan'lou'gan'jiu 长沙驿前南楼感旧
'chang'shi'jiao'ying'fu'wen'nu 常侍郊迎负文弩
'chang'shi'tong'yan'xi 常时同砚席
'chang'zuo'zhu'ren'weng 长作主人翁
'chao'bu'ying'ru'dong'xi'qiang 朝晡影入东西墙
'chao'ci'guan'jun'yi 朝辞官军驿
'chao'da'kong'cheng'ji'mo'hui 潮打空城寂寞回
'chao'lai'ru'ting'shu 朝来入庭树
'chao'man'ye'cheng'zhu 潮满冶城渚
'chao'qu'jing'pei'xing'shi'ling 朝驱旌旆行时令
'chao'ting'shi'lang'lai'wei'fu 朝廷侍郎来慰抚
'che'gu'xian'ni'ze 车毂陷泥泽
'che'ma'dao'men'xi 车马到门稀
'che'shu'yi'yi'hun 车书一以混
'che'yin'xiang'lin'lin 车音想辚辚
'chen'chen'xia'ye'lan'tang'kai 沉沉夏夜兰堂开
'chen'gen'fu'ye'qiu'ying'guang 陈根腐叶秋萤光
'chen'tu'jing'men'lu 尘土荆门路
'chen'xin'ru'gou'xi'bu'qu 尘心如垢洗不去
'chen'yi'chao'shi'yuan'du'chan'jing 晨诣超师院读禅经
'chen'yi'fen'wei'jie 尘衣纷未解
'chen'zhong'jian'yue'xin'yi'xian 尘中见月心亦闲
'chen'zhou'ce'pan'qian'fan'guo 沉舟侧畔千帆过
'cheng'bi'qing'ye'lu 承彼清夜露
'cheng'cheng'luo'shui'wan 澄澄洛水湾
'cheng'chi'biao'li'chun 城池表里春
'cheng'dong'xian'you 城东闲游
'cheng'gao'fen'die'ming 城高粉堞明
'cheng'lei'bu'lai'guang'le'jue 乘樏不来广乐绝
'cheng'lou'si'wang'chu'feng'chen 城楼四望出风尘
'cheng'lu'tai'qian'zhuan'xian'zhang 承露台前转仙掌
'cheng'shang'gao'lou'jie'da'huang 城上高楼接大荒
'cheng'shou'lu'jiang'jun 城守鲁将军
'cheng'tou'gu'jiao'yin'he'ping 城头鼓角音和平
'cheng'wai'chun'feng'chui'jiu'qi 城外春风吹酒旗
'cheng'xi'cu'cu'san'pan'zu 城西蔟蔟三叛族
'cheng'xi'men'qian'yan'yu'dui 城西门前滟滪堆
'cheng'xi'ren'san'tai'jie'ping 城西人散泰阶平
'cheng'xi'xing 城西行
'cheng'xiang'bing'zhou'ji'ma'lai 丞相并州寄马来
'cheng'xiao'niao'pin'qi 城晓鸟频起
'cheng'yang'che'ya'nie 乘阳坼牙孽
'cheng'yao'du'zhuo'hou 成谣独酌后
'cheng'zhong'tao'li'xu'yu'jin 城中桃李须臾尽
'cheng'zhong'wu'zei'tian'qi'he 城中无贼天气和
'chi'chun'yan'yu'hui 池春雁欲回
'chi'guang'di'fu'qi 赤光低复起
'chi'he'jin'wu'zi'he'sheng 池鹤今无子和声
'chi'he'yu'hou'yi'xiang'qi 池荷雨后衣香起
'chi'ji'ming'qie'zhuo 赤鸡鸣且啄
'chi'qi'zhi'hui'bu'gan'xiao 赤旗指麾不敢嚣
'chi'quan'hou'zai'shi'shen'en 赤泉侯在是深恩
'chi'ru'che'lun'ren'bu'jian 翅如车轮人不见
'chi'shang'fu'qu'jing'shao'qing 池上芙蕖净少情
'chi'shang'yue'wei'lai 池上月未来
'chi'tai'zhu'xie'san'mu'yu 池台竹榭三亩余
'chi'tang'yu'ba'la 池塘鱼拔剌
'chi'yong'qiong'sui'nian 持用穷岁年
'chong'ji'jue'ju 重寄绝句
'chong'jian'di'cheng'chun 重见帝城春
'chong'jian'ping'sheng'zhu'dao'ren 重见平生竺道人
'chong'jian'tian'bao'cheng'ping'shi 重见天宝承平时
'chong'lin'shi'yi'huang'cheng'xiang 重临事异黄丞相
'chong'rong'dun'cuo'xin'shi'zhi 冲融顿挫心使指
'chong'ru'xiu'men'zi'you'qi 重入修门自有期
'chou'cao'shi'yu'guo'xiang'xian'jian'ji 酬曹侍御过象县见寄
'chou'chang'zheng'yu'duan'yuan'shi 愁肠正遇断猿时
'chou'feng'shi'qi'she'ren'su'wei'zeng'bie'wu'yun 酬冯十七舍人宿卫赠别五韵
'chou'huai'nan'niu'xiang'gong'shu'jiu'jian'yi 酬淮南牛相公述旧见贻
'chou'jia'bai'guan'xian'qing'rou 仇家白官先请肉
'chou'le'tian'jian'yi'he'jin'zi'zhi'shen 酬乐天见贻贺金紫之什
'chou'le'tian'ou'ti'jiu'weng'jian'ji 酬乐天偶题酒瓮见寄
'chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng 酬乐天扬州初逢席上见赠
'chou'le'tian'yong'lao'jian'shi 酬乐天咏老见示
'chou'ling'hu'xiang'gong'ji'he'qian'bai'zhi'shen 酬令狐相公寄贺迁拜之什
'chou'ling'hu'xiang'gong'zeng'bie 酬令狐相公赠别
'chou'liu'liu'zhou'jia'ji'zhi'zeng 酬柳柳州家鸡之赠
'chou'ma'dai'fu'deng'kuang'kou'shu'jian'ji 酬马大夫登洭口戍见寄
'chou'rui'zhou'wu'dai'fu'ye'bo'xiang'chuan'jian'ji'yi'jue 酬瑞州吴大夫夜泊湘川见寄一绝
'chou'ting'chen'ji'ming 愁听晨鸡鸣
'chou'xi'xiang'yu 酬喜相遇
'chou'xian'huan'tiao'yuan'qie'chang 抽弦缓调怨且长
'chou'xiang'gong'ting'wen'chong'yi 愁向公庭问重译
'chou'yang'shi'lang'ping'jian'ji'er'shou 酬杨侍郎凭见寄二首
'chou'yang'si'ye'ju'yuan'jian'ji 酬杨司业巨源见寄
'chou'yuan'jiu'shi'yu'zeng'bi'zhu'bian'chang'ju 酬元九侍御赠璧竹鞭长句
'chou'yuan'jiu'yuan'zhang'zi'jiang'ling'jian'ji 酬元九院长自江陵见寄
'chou'yuan'shu'chu'sheng 愁猿数处声
'chu'ai'kuang'tong'xi'gu'shi 初哀狂童袭故事
'chu'bai'liu'zhou'chu'dong'jiao 初拜柳州出东郊
'chu'cheng'chun'yu'gui 楚城春欲归
'chu'chu'fu'gui'an 处处拂归鞍
'chu'dui'jiang'jun'ying'hua'qi 初对将军映画旗
'chu'gui'bin'yi'shuai 初归鬓已衰
'chu'jian'xiang'ru'cheng'fu'ri 初见相如成赋日
'chu'kai'ying'ke'jian'feng'hou 初开郢客缄封后
'chu'ke'yi'guan'zhong 楚客忆关中
'chu'men'you'yuan'dao 出门有远道
'chu'qiu'ye'zuo'zeng'wu'wu'ling 初秋夜坐赠吴武陵
'chu'ru'jin'ma'men 出入金马门
'chu'shan'xiao'xiao'di'zhu'qiu 楚山萧萧笛竹秋
'chu'shui'ba'shan'jiang'yu'duo 楚水巴山江雨多
'chu'shui'duo'lan're 楚水多兰若
'chu'wang'he'cang'ran 楚望何苍然
'chu'wen'bai'she'jian'guan'ti 初闻百舌间关啼
'chu'xiang'han'shi'ju'hua'shi 楚乡寒食橘花时
'chu'xiang'nong'shi'chun 楚乡农事春
'chu'xin'bu'ke'wang 初心不可忘
'chu'ye'hua'duo'si 楚野花多思
'chu'yi'lei'luo'shu'tian'xing 初疑磊落曙天星
'chu'ze'xue'chu'ji 楚泽雪初霁
'chu'zhi'chang'an 初至长安
'chu'zi'sai'yuan'xian'mu'xu 初自塞垣衔苜蓿
'chuan'deng'yi'wu'wu'wei'li 传灯已寤无为理
'chuan'kan'qian'wan'yan 传看千万眼
'chuan'tou'da'tong'huan 船头大铜镮
'chui'gou'dou'de'wang'yu'yu 垂钩斗得王余鱼
'chui'jin'kuang'sha'shi'dao'jin 吹尽狂沙始到金
'chui'lei'qian'hang'bian'zhuo'ying 垂泪千行便濯缨
'chui'qing'dai'he'tu 垂庆代河图
'chui'ren'qing'gao'jie 垂仁轻藁街
'chui'yin'dang'fu'di 垂阴当覆地
'chun'ban'ru'qiu'yi'zhuan'mi 春半如秋意转迷
'chun'di'liao'rao'shui'pai'huai 春堤缭绕水徘徊
'chun'feng'chui'lang'zheng'tao'sha 春风吹浪正淘沙
'chun'feng'luan'zhan'bi'xie'qi 春风乱飐辟邪旗
'chun'feng'wu'xian'xiao'xiang'yi 春风无限潇湘意
'chun'feng'yi'qu'du'wei'niang 春风一曲杜韦娘
'chun'feng'yin'lu'ru'jing'cheng 春风引路入京城
'chun'huai'gu'yuan 春怀故园
'chun'jiang'yue'chu'da'di'ping 春江月出大堤平
'chun'jin'xu'fei'liu'bu'de 春尽絮飞留不得
'chun'jing'qu 春景去
'chun'lai'qian'hou'fei 春来前后飞
'chun'lai'qun'wu'zao'qie'jing 春来群乌噪且惊
'chun'lai'xin'ye'bian'cheng'yu 春来新叶遍城隅
'chun'lai'ying'zhu'chou'xin'rong 春来映竹抽新茸
'chun'ming'men'wai'ji'tian'ya 春明门外即天涯
'chun'qing'he'chu'xun 春情何处寻
'chun'qu'ye 春去也
'chun'ri'tui'chao 春日退朝
'chun'shan'xie'ji'cai'cha'shi 春山携妓采茶时
'chun'wan'si'you'zai 春晚思悠哉
'chun'wang'duo'zhou'zhi 春望多洲沚
'chun'xiang'wan 春向晚
'chun'yi'mu 春已暮
'chun'you'qing'pian 春有情篇
'chun'yu'zhan'yi'jin 春雨沾衣襟
'ci'bi'xiang'chao'chi 此必相嘲嗤
'ci'di'hai'cheng'yao'lu'jin 此地还成要路津
'ci'di'jie'yan'zhou 此地接炎州
'ci'di'ying'xu'jiu'jian'chen 次第应须旧谏臣
'ci'di'zu'chang'feng 此地阻长风
'ci'fu'yi'fu'qiong'shi'sao 辞赋已复穷诗骚
'ci'huan'liu'yi'xiang 赐环留逸响
'ci'jian'bo'ji'san'qiu'bing 次见搏击三秋兵
'ci'jun'ruo'yu'chang'xiang'jian 此君若欲常相见
'ci'qu'he'shi'hui 此去何时回
'ci'shi'jin'tong'meng'xiang'jian 此事今同梦想间
'ci'shi'li'zai'zui'gao'shan 此时立在最高山
'ci'shi'lin'liu'qian'cui'wei 刺史临流褰翠帏
'ci'shi'yi'hang'chu'ren'yi 此时一行出人意
'ci'shi'yi'zhong'qian'jin'qing 此时意重千金轻
'ci'sui'fang'wan'wan 此岁方晼晚
'cong'ci'bu'xiang'jian 从此不相见
'cong'ci'dong'shan'fei'xi'you 从此东山非昔游
'cong'ci'duo'feng'da'ju'shi 从此多逢大居士
'cong'ci'qi'jun'bi'qiong'shu 从此期君比琼树
'cong'ci'tong'sang'zao 从此同桑枣
'cong'ci'xi'gui'lu 从此西归路
'cong'ci'yin'jun'ran'geng'shen 从此因君染更深
'cong'ci'you'lai'fei'yi'shi 从此忧来非一事
'cong'jun'yong'duan'pao'ming'hou 从君勇断抛名后
'cong'lan'yi'lu'si'zhan'jin 丛兰裛露似沾巾
'cong'lang'xi'ru'di'cheng'zhong 从郎西入帝城中
'cong'lang'zhen'nan'bie'cheng'que 从郎镇南别城阙
'cong'liu'mao'shi'xia 淙流冒石下
'cong'xie'xian'jue'fu 从邪陷厥父
'cong'yi'shao 从一勺
'cu'cheng'shan'kui'gui 蹙成山岿硊
'cu'cu'huai'yin'shi 簇簇淮阴市
'cu'zhao'wang'bao'ru'jiu'chong 促召王褒入九重
'cu'zhu'dong'li'sheng 促柱动离声
'cuan'ang'bu'ding'zhao'yao'chui 攒昂不定招摇垂
'cui'feng'xiang'sui'xiang 翠凤相随翔
'cui'yin'shi'shu'ke 摧因石鼠窠
'cui'yu'xian'sui'qiu'cao'qi 翠羽先随秋草萋
'cun'wang'san'shi'qiu 存亡三十秋
'cuo'wen'yao'niao'yi'ye'fei 撮蚊祅鸟亦夜飞
'da'bai'xing'bu'wen'xin'chan 答白刑部闻新蝉
'da'bian'gao'chuan'yi'bai'chi 大艑高船一百尺
