'ai'zi'bing 艾滋病
'wei'chang'chuan'kong 胃肠穿孔
'wei'chang'dao'geng'zu 胃肠道梗阻
'wei'chang'gong'neng'wen'luan 胃肠功能紊乱
'wei'chang'yan 胃肠炎
'xian'tian'xing'xin'zang'bing 先天性心脏病
'xiao'chuan 哮喘
'xiao'hua'xi'tong'yong'yao 消化系统用药
'xiao'hua'xing'kui'yang 消化性溃疡
'xin'dong'guo'huan 心动过缓
'xin'dong'guo'su 心动过速
'xin'gong'neng'bu'quan'wei'te'zhi 心功能不全未特指
'xin'ji'bing 心肌病
'xin'ji'geng'si 心肌梗死
'xin'ji'que'xue 心肌缺血
'xin'jiao'tong 心绞痛
'xin'lv'shi'chang'wei'te'zhi 心律失常未特指
'xin'xue'guan'ji'bing'wei'te'zhi 心血管疾病未特指
'xin'xue'guan'xi'tong'yong'yao 心血管系统用药
'xin'zang'bing'wei'te'zhi 心脏病未特指
'xiu'ke 休克
'xue'bu'lin'bing 血卟啉病
'xue'shuan'xing'ji'bing 血栓性疾病
'xue'xiao'ban'gong'neng'zhang'ai 血小板功能障碍
'xue'xiao'ban'jian'shao 血小板减少
'xue'ye'bing 血液病
'xue'ye'xi'tong'yong'yao 血液系统用药
'xue'you'bing 血友病
'xun'ma'zhen 荨麻疹
'yan'ke'yong'yao 眼科用药
'yang'di'huang'zhong'du'zhe'huo'yi'yang'di'huang'hua'zhe 洋地黄中毒者或已洋地黄化者
'yi'xian'ji'bing 胰腺疾病
'yi'yu 抑郁
'yue'jing'qi 月经期
'yun'dong'xi'tong'yong'yao 运动系统用药
'zai'sheng'zhang'ai'xing'pin'xue 再生障碍性贫血
'zao'kuang 躁狂
'zhen'tong'yao 镇痛药
'zhi'yao'yong'pin'ji'yi'liao'yong'ju 制药用品及医疗用具
'zhong'liu'yong'yao 肿瘤用药
'zhong'yao'cai 中药材
'zhong'yao'cheng'fang 中药成方
'zhong'zheng'ji'wu'li 重症肌无力
'zhou'wei'xue'guan'bing 周围血管病
'zhu'wang'mo'xia'qiang'chu'xie 蛛网膜下腔出血
'zhui'ti'wai'xi'fan'ying 锥体外系反应
