'a'du'wu 阿堵物
'da'guo'fan 大锅饭
'da'lei'tai 打擂台
'da'mai'fu 打埋伏
'da'qian'zhan 打前站
'da'qiu'feng 打秋风
'da'shou'bi 大手笔
'da'si'hu 打死虎
'da'tou'feng 打头风
'da'yuan'chang 打圆场
'dai'gao'mao 戴高帽
'dan'xiang'si 单相思
'dan'xiao'gui 胆小鬼
'dang'jian'pai 挡箭牌
'dao'bi'li 刀笔吏
'dao'liang'mou 稻粱谋
'dao'tou'mi 刀头蜜
'dao'zai'cong 倒栽葱
'deng'long'men 登龙门
'di'tou'she 地头蛇
'dian'jiao'shi 垫脚石
'diao'ao'ke 钓鳌客
'diao'shu'dai 掉书袋
'diao'wen'dai 掉文袋
'ding'liang'zhu 顶梁柱
'ding'tou'feng 顶头风
'ding'xin'wan 定心丸
'dong'chuang'ji 东窗计
'dong'dao'jiao 东道交
'dong'dao'zhu 东道主
'dong'fang'qi 东方骑
'dong'jia'qiu 东家丘
'dou'chan'juan 斗婵娟
'dou'xin'yan 斗心眼
'du'san'qian 牍三千
'du'shu'chong 蠹书虫
'duan'jin'jiao 断金交
'duan'ping'kuai 短平快
'dui'bu'qi 对不起
'dui'zheng'yao 对症药
'duo'jin'cai 夺锦才
'duo'mian'shou 多面手
'e'shou'qing 额手庆
'e'zuo'ju 恶作剧
'er'ba'dao 二把刀
'er'bai'wu 二百五
'er'bao'shen 耳报神
'er'bian'feng 耳边风
'er'er'yi 二而一
'er'gan'zi 二杆子
'er'huang'di 儿皇帝
'er'liu'zi 二流子
'er'nv'qing 儿女情
'er'nv'ren 儿女仁
'er'nv'tai 儿女态
'er'nv'zhai 儿女债
'er'pang'feng 耳旁风
'er'ru'jiao 尔汝交
'er'wu'ou 二五耦
'fa'chong'guan 发冲冠
'fa'ke'ren 伐柯人
'fa'ren'ye 发人业
'fa'tian'pa 发天葩
'fan'fu'shou 反覆手
'fan'jian'ji 反间计
'fan'jiang'ji 反将计
'fang'bian'men 方便门
'fang'cun'di 方寸地
'fang'kong'pao 放空炮
'fang'kong'qi 放空气
'fang'leng'jian 放冷箭
'fang'wai'ren 方外人
'fei'fei'xiang 非非想
'fei'xiong'bu 非熊卜
'fei'xiong'meng 非熊梦
'fei'xiong'zhao 非熊兆
'fei'zao'pao 肥皂泡
'fen'bei'geng 分杯羹
'feng'liang'hua 风凉话
'feng'ma'niu 风马牛
'feng'mu'tan 风木叹
'feng'qiu'huang 凤求凰
'feng'shu'bei 风树悲
'feng'yue'chang 风月场
'fu'dong'liu 付东流
'fu'ji'shi 夫己氏
'fu'ji'wei 附骥尾
'fu'mu'guan 父母官
'fu'mu'guo 父母国
'fu'qi'dian 夫妻店
'fu'sheng'yu 釜生鱼
'fu'xin'du 腹心蠹
'fu'zao'hen 斧凿痕
'fu'zhong'yu 釜中鱼
'fu'zi'bing 父子兵
'gan'chao'liu 赶潮流
'gan'deng'yan 干瞪眼
'gan'lang'tou 赶浪头
'gan'shi'mao 赶时髦
'ge'zhong'ren 个中人
'gou'chi'shi 狗吃屎
'gou'tui'zi 狗腿子
'gou'yao'gou 狗咬狗
'gou'zhong'ji 沟中瘠
'gu'du'dou 古都都
'gu'lv'zhui 骨律锥
'gu'zhi'dui 故纸堆
'gua'bi'yu 挂壁鱼
'gua'di'pi 刮地皮
'gua'shu'piao 挂树瓢
'gua'wan'chao 瓜蔓抄
'guan'cheng'zi 管城子
'guan'mi'tang 灌米汤
'gui'da'bo 鬼打钹
'gui'hua'fu 鬼画符
'gui'kan'jia 鬼瞰家
'gui'kan'shi 鬼瞰室
'gui'ling'jing 鬼伶精
'gui'men'guan 鬼门关
'gui'tou'feng 鬼头风
'gui'ye'ku 鬼夜哭
'gui'zhu'yi 鬼主意
'gun'xue'qiu 滚雪球
'guo'er'feng 过耳风
'guo'qiang'ti 过墙梯
'guo'shi'huo 过时货
'hai'di'yan 海底眼
'han'dan'meng 邯郸梦
'han'ya'zi 旱鸭子
'he'cheng'xuan 鹤乘轩
'he'dao'cai 喝倒彩
'he'jia'huan 合家欢
'he'sheng'er 禾生耳
'he'shi'lao 和事佬
'hong'men'yan 鸿门宴
'hou'hui'yao 后悔药
'hou'zai'zi 猴崽子
'hu'er'guan 虎而冠
'hu'li'jing 狐狸精
'hu'miao'zheng 扈苗征
'hu'shen'fu 护身符
'hu'tu'chong 糊涂虫
'hu'tu'zhang 糊涂账
'hua'jiao'mao 花脚猫
'huang'liang'meng 黄粱梦
'huo'san'zhang 火伞张
'huo'sheng'lian 火生莲
'huo'xi'ni 和稀泥
'huo'xian'yan 活现眼
'huo'zhong'lian 火中莲
'ji'da'cheng 集大成
'ji'jiang'fa 激将法
'ji'jiu'pian 急就篇
'ji'jiu'zhang 急就章
'ji'sheng'chong 寄生虫
'ji'shi'yu 及时雨
'ji'xian'feng 急先锋
'ji'ya'gao 挤牙膏
'ji'yi'zui 鸡一嘴
'jia'ci'bei 假慈悲
'jia'di'zi 佳弟子
'jia'tian'xia 家天下
'jia'xing'xing 假惺惺
'jian'gu'tou 贱骨头
'jiang'hai'shi 江海士
'jiang'wu'tong 将无同
'jiao'bian'lu 脚边路
'jiao'hua'zi 叫化子
'jiao'ji'hua 交际花
'jiao'jiao'zhe 佼佼者
'jiao'she'gen 嚼舌根
'jiao'she'tou 嚼舌头
'jie'gai'zi 揭盖子
'jie'gu'yan 节骨眼
'jie'liu'zi 街溜子
'jie'ren'yi 解人颐
'jie'xia'qiu 阶下囚
'jie'yu'hua 解语花
'jin'bu'huan 金不换
'jin'fan'wan 金饭碗
'jin'gu'zhou 紧箍咒
'jin'shi'jiao 金石交
'jin'shi'sheng 金石声
'jin'xin'lai 近新来
'jing'li'hua 镜里花
'jiu'bian'zi 揪辫子
'jiu'hui'chang 九回肠
'jiu'shi'zhu 救世主
'jiu'zhe'bi 九折臂
'juan'di'pi 卷地皮
'juan'pu'gai 卷铺盖
'jue'mu'ren 掘墓人
'jun'ling'zhuang 军令状
'kai'hou'men 开后门
'kai'shan'zu 开山祖
'kai'xiao'chai 开小差
'kang'da'liang 扛大梁
'kong'cheng'ji 空城计
'kong'dui'kong 空对空
'kong'fang'xiong 孔方兄
'kou'mao'zi 扣帽子
'kou'tou'chan 口头禅
'ku'rou'ji 苦肉计
'ku'xing'seng 苦行僧
'kuan'xin'wan 宽心丸
'la'chang'xian 拉长线
'la'pi'tiao 拉皮条
'lai'ha'ma 癞蛤蟆
'lan'lu'hu 拦路虎
'lan'yang'tou 烂羊头
'lang'bu'shi 狼卜食
'lao'dao'cao 捞稻草
'lao'diao'ya 老掉牙
'lao'gu'ban 老古板
'lao'gu'dong 老古董
'lao'huang'li 老皇历
'lao'huang'li 老黄历
'lao'huang'niu 老黄牛
'lao'jiang'hu 老江湖
'lao'lai'qiao 老来俏
'lao'shi'zi 劳什子
'lao'xue'jiu 老学究
'lao'yi'ba 捞一把
'lao'you'tiao 老油条
'lao'you'zi 老油子
'leng'ban'deng 冷板凳
'leng're'bing 冷热病
'leng'tou'cong 楞头葱
'leng'tou'huo 楞头货
'leng'tou'qing 愣头青
'li'cheng'bei 里程碑
'li'zhang'ma 立仗马
'lian'guo'duan 连锅端
'lian'li'zhi 连理枝
'lian'pi'hou 脸皮厚
'lian'zhu'pao 连珠炮
'liang'ban'jue 凉拌觉
'liang'bian'dao 两边倒
'liang'jia'zi 良家子
'liang'mian'guang 两面光
'liao'bu'qi 了不起
'liao'dong'he 辽东鹤
'liao'dong'shi 辽东豕
'liao'hu'xu 撩虎须
'liao'tiao'zi 撂挑子
'lin'se'gui 吝啬鬼
'liu'chu'gong 六出公
'liu'chu'ji 六出计
'liu'hou'lu 留后路
'liu'liu'lin 六六鳞
'liu'wei'ba 留尾巴
'liu'xian'sheng 六先生
'liu'yi'shou 留一手
'liu'yu'di 留余地
'liu'yue'shuang 六月霜
'long'hu'bang 龙虎榜
'lou'ma'jiao 露马脚
'lou'yi'shou 露一手
'lu'cheng'bei 路程碑
'lu'men'ren 鹿门人
'lu'wei'ma 鹿为马
'luan'tan'qin 乱弹琴
'luo'hu'xu 捋虎须
'luo'shui'gou 落水狗
'luo'tang'ji 落汤鸡
'lv'gan'fei 驴肝肺
'ma'da'ha 马大哈
'ma'er'feng 马耳风
'ma'hou'pao 马后炮
'ma'pi'jing 马屁精
'ma'qian'zu 马前卒
'ma'sheng'jiao 马生角
'mai'guan'zi 卖关子
'mai'ren'qing 卖人情
'man'tang'guan 满堂灌
'man'tang'hong 满堂红
'man'tian'fei 满天飞
'man'zhao'sun 满招损
'mang'dai'fu 莽大夫
'mao'pai'huo 冒牌货
'mao'shi'gui 冒失鬼
'mei'jian'suo 眉间锁
'mei'ren'ji 美人计
'mei'shi'wen 每事问
'men'hu'lu 闷葫芦
'men'wai'han 门外汉
'men'xia'shi 门下士
'mi'hun'tang 迷魂汤
'mi'hun'zhen 迷魂阵
'mian'li'zhen 绵里针
'mian'tuan'tuan 面团团
'mian'zhong'zhen 绵中针
'mo'lu'ren 末路人
'mo'ni'jiao 莫逆交
'mo'xi'ni 抹稀泥
'mo'xu'you 莫须有
'mo'yang'gong 磨洋工
'mu'da'chong 母大虫
'mu'lao'hu 母老虎
'mu'shang'zuo 木上座
'mu'tou'ren 木头人
'mu'ye'cha 母夜叉
'na'yi'shou 拿一手
'nan'bei'ren 南北人
'nang'di'zhi 囊底智
'ni'fan'wan 泥饭碗
'niang'zi'jun 娘子军
'niao'shou'san 鸟兽散
'niao'shou'xing 鸟兽行
'ning'xin'er 宁馨儿
'niu'ma'zou 牛马走
'niu'mian'di 牛眠地
'nv'wa'shi 女娲石
'nv'xiang'ru 女相如
'nv'zhang'fu 女丈夫
'pa'si'gui 怕死鬼
'pai'ma'pi 拍马屁
'pai'xiong'pu 拍胸脯
'pao'bing'hao 泡病号
'pao'dan'bang 跑单帮
'pao'jiang'hu 跑江湖
'pao'long'tao 跑龙套
'pao'mo'gu 泡蘑菇
'pao'tong'zi 炮筒子
'peng'ding'zi 碰钉子
'peng'jian'que 蓬间雀
'pi'li'shou 霹雳手
'pi'ni'lin 批逆鳞
'piao'piao'ran 飘飘然
'po'lan'huo 破烂货
'po'leng'shui 泼冷水
'po'luo'hu 破落户
'po'ti'er 破题儿
'po'tian'huang 破天荒
'qi'fan'dan 七返丹
'qi'gui'shen 泣鬼神
'qi'hai'gu 乞骸骨
'qi'lin'ge 麒麟阁
'qi'lin'xuan 麒麟楦
'qi'qi'xuan 麒麒楦
'qian'li'ju 千里驹
'qian'li'yan 千里眼
'qian'qing'bei 千顷陂
'qian'ri'jiu 千日酒
'qian'shou'yi 谦受益
'qian'tai'ci 潜台词
'qiang'tou'cao 墙头草
'qiang'wai'han 墙外汉
'qiang'you'er 墙有耳
'qiao'bian'gu 敲边鼓
'qiao'bian'zi 翘辫子
'qiao'men'zhuan 敲门砖
'qiao'qiao'hua 悄悄话
'qiao'she'tou 巧舌头
'qiao'wei'ba 翘尾巴
'qiao'zhu'gang 敲竹杠
'qing'bai'yan 青白眼
'qing'chang'ying 请长缨
'qing'dao'fu 清道夫
'qing'hai'gu 请骸骨
'qing'jun'ce 清君侧
'qing'tian'zhu 擎天柱
'qing'yi'se 清一色
'qiong'cuo'da 穷措大
'qiong'guang'dan 穷光蛋
'qiong'zhe'teng 穷折腾
'qu'yi'lai 取以来
'quan'jia'fu 全家福
'qun'dai'guan 裙带官
'qun'yan'tang 群言堂
'qun'ying'hui 群英会
'rao'bo'zi 绕脖子
're'men'huo 热门货
're'xin'chang 热心肠
'ren'sheng'guan 人生观
'ren'zhong'long 人中龙
'ri'li'gui 日裏鬼
'ri'san'gan 日三竿
'rong'zu'di 容足地
'rou'bo'zhan 肉搏战
'rou'yao'dao 肉腰刀
'rou'zhong'ci 肉中刺
'ru'mu'bin 入幕宾
'ru'zi'niu 孺子牛
'ruan'dao'zi 软刀子
'sa'gou'xie 洒狗血
'sa'shou'jian 撒手锏
'sa'ya'zi 撒丫子
'sa'ya'zi 撒鸭子
'sai'gou'dong 塞狗洞
'san'bu'huo 三不惑
'san'bu'kai 三不开
'san'bu'xiu 三不朽
'san'bu'zhi 三不知
'san'jia'cun 三家村
'san'jiao'mao 三脚猫
'san'jiao'mao 三角猫
'san'tan'zi 散摊子
'san'yu'yuan 三语掾
'san'zhi'shou 三只手
'sang'men'shen 丧门神
'sang'men'xing 丧门星
'sang'qi'gui 丧气鬼
'sao'zhou'xing 扫帚星
'sha'feng'jing 杀风景
'sha'feng'jing 煞风景
'sha'hua'zhui 沙画锥
'sha'wei'bang 杀威棒
'sha'xin'yan 傻心眼
'shan'ling'beng 山陵崩
'shan'shui'nong 山水弄
'shan'yang'lei 山阳泪
'shan'zhong'xiang 山中相
'shang'shui'chuan 上水船
'shang'xia'chuang 上下床
'shao'gao'xiang 烧高香
'shao'leng'zao 烧冷灶
'shao'zhuang'pai 少壮派
'she'tian'zu 蛇添足
'she'tun'xiang 蛇吞象
'shen'qiang'shou 神枪手
'sheng'li'jun 生力军
'sheng'you'deng 省油灯
'shi'bai'de 是百的
'shi'ban'er 使绊儿
'shi'ban'zi 使绊子
'shi'da'shi 实打实
'shi'fei'chang 是非场
'shi'fei'dui 是非堆
'shi'fei'wo 是非窝
'shi'gan'dang 石敢当
'shi'jin'shi 试金石
'shi'li'yan 势利眼
'shi'pen'zi 屎盆子
'shi'ri'yin 十日饮
'shi'xin'yan 实心眼
'shi'yan'zhi 诗言志
'shi'you'feng 石尤风
'shi'zi'hou 狮子吼
'shou'wei'yin 首尾吟
'shu'dai'zi 书呆子
'shu'gou'bei 鼠狗辈
'shu'sheng'qi 书生气
'shu'wu'ya 鼠无牙
'shu'yang'jia 熟羊胛
'shua'hua'qiang 耍花枪
'shua'hua'qiang 耍花腔
'shua'hua'tou 耍滑头
'shua'hua'zhao 耍花招
'shua'pin'zui 耍贫嘴
'shua'shou'wan 耍手腕
'shua'xin'yan 耍心眼
'shui'di'yu 水底鱼
'shui'huo'zhong 水火中
'shui'yun'shen 水云身
'shui'yun'xiang 水云乡
'shui'zhong'long 水中龙
'shui'zhong'ou 水中沤
'shui'zhong'yue 水中月
'shun'feng'er 顺风耳
'shun'kou'liu 顺口溜
'shuo'da'hua 说大话
'si'bu'xiang 四不像
'si'dui'tou 死对头
'si'fang'hua 私房话
'si'hu'tong 死胡同
'si'nao'jin 死脑筋
'si'xin'yan 死心眼
'song'xin'qi 松心契
'sui'da'liu 随大流
'sun'sheng'hu 孙生户
'tai'shang'huang 太上皇
'tai'zhu'zi 台柱子
'tan'kou'fu 贪口腹
'tan'xuan'zhu 探玄珠
'tao'hua'yuan 桃花源
'tao'hua'yun 桃花运
'tao'jin'hu 套近乎
'tao'li'nian 桃李年
'tao'xin'wo 掏心窝
'ti'zui'yang 替罪羊
'tian'chi'wu 天尺五
'tian'liu'liu 天六六
'tian'zhi'tian 天之天
'tie'fan'wan 铁饭碗
'tie'gong'ji 铁公鸡
'tie'suan'pan 铁算盘
'ting'bi'jiao 听壁脚
'tong'lou'zi 捅娄子
'tong'xin'jie 同心结
'tou'chao'xia 头朝下
'tou'ting'xiang 头厅相
'tou'xin'liang 透心凉
'tu'ba'lu 土八路
'tu'bao'zi 土包子
'tu'huang'di 土皇帝
'tu'yuan'ce 兔园册
'tuan'tuan'zhuan 团团转
'tuo'hou'tui 拖后腿
'tuo'you'ping 拖油瓶
'wa'qiang'jiao 挖墙脚
'wa'qiang'jiao 挖墙角
'wa'shang'shuang 瓦上霜
'wan'jin'you 万金油
'wan'ren'di 万人敌
'wang'guo'nu 亡国奴
'wang'nian'jiao 忘年交
'wang'shi'gong 亡是公
'wang'xing'jiao 忘形交
'wang'you'wu 忘忧物
'wen'chao'gong 文抄公
'wen'jing'jiao 刎颈交
'wen'rou'xiang 温柔乡
'wo'li'fan 窝里反
'wo'nang'fei 窝囊废
'wo'nang'qi 窝囊气
'wu'chang'wu 无长物
'wu'che'shu 五车书
'wu'di'dong 无底洞
'wu'di'zhi 无底止
'wu'jiao'lei 无噍类
'wu'jing'ku 五经库
'wu'jing'si 五经笥
'wu'li'wu 五里雾
'wu'liao'lai 无聊赖
'wu'ming'huo 无明火
'wu'shang'wu 屋上乌
'wu'shi'mang 无事忙
'wu'xing'zhong 无形中
'wu'ya'zui 乌鸦嘴
'wu'yi'ke 无一可
'wu'you'xiang 无有乡
'xi'fen'yin 惜分阴
'xi'xi'nian 西夕年
'xi'xue'gui 吸血鬼
'xia'ma'wei 下马威
'xia'shui'chuan 下水船
'xian'cheng'fan 现成饭
'xian'ke'ya 闲磕牙
'xian'shi'bao 现世报
'xian'shi'bao 现时报
'xian'wai'yin 弦外音
'xiang'ba'lao 乡巴佬
'xiang'dang'ran 想当然
'xiao'chao'ting 小朝廷
'xiao'guang'bo 小广播
'xiao'mian'hu 笑面虎
'xiao'qi'gui 小气鬼
'xiao'xin'yan 小心眼
'xin'shang'qiu 心上秋
'xin'ting'lei 新亭泪
'xing'shu'chu 行书厨
'xiong'duan'zhe 凶短折
'xuan'zhi'xi 轩轾戏
'xuan'zhong'he 轩中鹤
'xue'er'nue 谑而虐
'xun'duan'jian 寻短见
'ya'ba'kui 哑巴亏
'ya'sui'qian 压岁钱
'ya'yang'seng 哑羊僧
'ya'yi'zui 鸭一嘴
'yan'mu'dan 烟幕弹
'yan'xia'pi 烟霞癖
'yan'zhong'ci 眼中刺
'yan'zhong'ding 眼中钉
'yang'gong'he 羊公鹤
'yang'zhou'he 扬州鹤
'yang'zuo'jiao 羊左交
'yao'cai'gen 咬菜根
'yao'dian'long 药店龙
'yao'qian'shu 摇钱树
'ye'ban'ke 夜半客
'yi'cha'na 一刹那
'yi'chang'kong 一场空
'yi'dao'qie 一刀切
'yi'er'guang 一而光
'yi'feng'chui 一风吹
'yi'guo'zhou 一锅粥
'yi'guo'zhu 一锅煮
'yi'kui'zu 一夔足
'yi'li'yu 一犁雨
'yi'liu'feng 一溜风
'yi'liu'yan 一溜烟
'yi'lu'ku 一路哭
'yi'mo'hei 一抹黑
'yi'niu'ming 一牛鸣
'yi'pan'qi 一盘棋
'yi'piao'xiang 一瓢香
'yi'pou'tu 一抔土
'yi'qiu'hao 一丘貉
'yi'ren'di 一人敌
'yi'shui'ge 一水隔
'yi'tiao'long 一条龙
'yi'tuan'zao 一团糟
'yi'wei'chen 一微尘
'yi'xi'kong 一洗空
'yi'xiao'cuo 一小撮
'yi'xuan'mo 蚁旋磨
'yi'yan'tang 一言堂
'yi'zhi'chan 一指禅
'yi'zhi'chun 一枝春
'yi'zhi'ci 一至此
'yi'zhong'ren 意中人
'yi'zi'shi 一字师
'yin'ba'zi 印巴子
'ying'sheng'chong 应声虫
'yong'bi'yin 拥鼻吟
'you'xin'ren 有心人
'you'yi'shou 有一手
'yu'fu'zi 迂夫子
'yu'mi'xiang 鱼米乡
'yu'zhong'shu 与众殊
'yuan'shan'dai 远山黛
'yuan'shan'mei 远山眉
'yuan'shan'se 远山色
'yue'dan'ping 月旦评
'yue'xia'lao 月下老
'yun'zhong'he 云中鹤
'ze'pan'yin 泽畔吟
'zeng'sheng'chen 甑生尘
'zhai'gong'gong 窄弓弓
'zhan'jing'jing 战兢兢
'zhan'ni'xu 沾泥絮
'zhe'xiu'bu 遮羞布
'zheng'dang'nian 正当年
'zheng'fa'yan 正法眼
'zheng'qiu'shou 正丘首
'zheng'yan'xia 睁眼瞎
'zhi'chi'yan 咫尺颜
'zhi'ji'zhou 执箕帚
'zhi'lao'hu 纸老虎
'zhi'niu'er 执牛耳
'zhi'ru'xian 直如弦
'zhong'shan'lang 中山狼
'zhong'shu'jun 中书君
'zhu'ke'ling 逐客令
'zhu'tou'san 猪头三
'zhu'zui'guan 猪觜关
'zhuan'lun'wang 转轮王
'zhuan'peng'shen 转蓬身
'zhuan'wan'zi 转弯子
'zhuang'men'mian 装门面
'zhuang'sun'zi 装孙子
'zhuang'xi'yin 庄舄吟
'zhuang'yang'suan 装洋蒜
'zhuo'dao'ren 捉刀人
'zi'ji'ren 自己人
'zi'liu'di 自留地
'zou'guo'chang 走过场
'zou'hou'men 走后门
'zou'ma'deng 走马灯
'zou'zhe'qiao 走着瞧
'zu'sheng'bian 祖生鞭
'zuan'kong'zi 钻空子
'zui'dao'er 嘴道儿
'zui'lu'dou 嘴卢都
'zuo'shang'bin 座上宾
'zuo'shang'ke 座上客
'zuo'you'ming 座右铭
'zuo'you'shou 左右手
'zuo'you'tan 左右袒
