'a'mi'qin'shu 阿米芹属
'bai'tong'shu'shu 白桐树属
'bai'tou'shu'shu 白头树属
'bai'tou'weng'shu 白头翁属
'bai'xian'shu 白鲜属
'bai'xiang'nan'shu 白香楠属
'bai'xin'shu'shu 白辛树属
'bai'yan'shu'shu 白颜树属
'bai'ye'teng'shu 白叶藤属
'bai'zhu'shu'shu 白珠树属
'ban'bian'lian'shu 半边莲属
'ban'cha'hua'shu 半插花属
'ban'deng'guo'shu 板凳果属
'ban'feng'he'shu 半枫荷属
'ban'guo'teng'shu 斑果藤属
'ban'ji'ji'shu 半脊荠属
'ban'jiu'ju'shu 斑鸠菊属
'ban'lan'shu 板蓝属
'ban'lin'hua'ke 瓣鳞花科
'ban'lin'hua'shu 瓣鳞花属
'ban'long'yu'shu 斑龙芋属
'ban'mao'ju'shu 半毛菊属
'ban'mo'qin'shu 斑膜芹属
'ban'ri'hua'ke 半日花科
'ban'ri'hua'shu 半日花属
'ban'shuo'ju'tai'shu 半蒴苣苔属
'ban'xia'shu 半夏属
'ban'ye'lan'shu 斑叶兰属
'ban'zhong'cao'shu 斑种草属
'ban'zi'shu 斑籽属
'bang'bing'hua'shu 棒柄花属
'bang'chui'gua'shu 棒锤瓜属
'bang'guo'jie'shu 棒果芥属
'bang'ke'jue'ke 蚌壳蕨科
'bang'tou'cao'shu 棒头草属
'bao'chun'hua'ke 报春花科
'bao'chun'hua'shu 报春花属
'bao'chun'ju'tai'shu 报春苣苔属
'bao'chun'qian'shu 报春茜属
'bao'fu'cao'shu 薄稃草属
'bao'guo'cao'shu 薄果草属
'bao'guo'ji'shu 薄果荠属
'bao'he'teng'shu 薄核藤属
'bao'hu'dou'shu 苞护豆属
'bao'li'shu 苞藜属
'bao'lie'qin'shu 苞裂芹属
'bao'lin'ju'shu 薄鳞菊属
'bao'lin'jue'shu 薄鳞蕨属
'bao'mao'shu 苞茅属
'bao'pi'hua'shu 豹皮花属
'bao'she'lan'shu 苞舌兰属
'bao'shu'lian'shu 抱树莲属
'bao'shuo'cao'shu 薄蒴草属
'bao'ting'hua'shu 保亭花属
'bao'ye'lan'shu 苞叶兰属
'bao'ye'mu'shu 苞叶木属
'bao'ye'teng'shu 苞叶藤属
'bao'zhu'cao'shu 薄柱草属
'bao'zi'hua'shu 豹子花属
'bei'guan'mu'shu 杯冠木属
'bei'ji'guo'shu 北极果属
'bei'ji'hua'shu 北极花属
'bei'ju'shu 杯菊属
'bei'ke'shan'shu 贝壳杉属
'bei'mei'hong'shan'shu 北美红杉属
'bei'mu'lan'shu 贝母兰属
'bei'mu'shu 贝母属
'bei'xian'shu 杯苋属
'bei'yao'cao'shu 杯药草属
'bei'ye'zong'shu 贝叶棕属
'bi'ai'shu 荸艾属
'bi'chi'jue'shu 篦齿蕨属
'bi'dong'jia'shu 碧冬茄属
'bi'hua'dou'shu 笔花豆属
'bi'hua'mu'shu 闭花木属
'bi'hua'shu 鼻花属
'bi'ma'shu 蓖麻属
'bi'qi'shu 荸荠属
'bi'qiao'jiang'shu 闭鞘姜属
'bi'xing'cao'shu 臂形草属
'bi'yan'he'shu'shu 鼻烟盒树属
'bian'bai'shu 扁柏属
'bian'bing'cao'shu 扁柄草属
'bian'da'xiu'qiu'shu 鞭打绣球属
'bian'dan'gan'shu 扁担杆属
'bian'dou'cai'shu 变豆菜属
'bian'dou'shu 扁豆属
'bian'fu'cao'shu 蝙蝠草属
'bian'fu'ge'shu 蝙蝠葛属
'bian'guo'cao'shu 扁果草属
'bian'guo'jue'shu 边果蕨属
'bian'he'mu'shu 扁核木属
'bian'lei'shu 扁蕾属
'bian'mang'cao'shu 扁芒草属
'bian'mang'ju'shu 扁芒菊属
'bian'sha'cao'shu 扁莎草属
'bian'shuo'ju'tai'shu 扁蒴苣苔属
'bian'shuo'teng'shu 扁蒴藤属
'bian'sui'cao'shu 扁穗草属
'bian'ye'jue'shu 鞭叶蕨属
'bian'ye'mu'shu 变叶木属
'bian'zhou'mu'shu 扁轴木属
'biao'cao'shu 藨草属
'biao'guan'hua'shu 鳔冠花属
'biao'ji'sheng'shu 藨寄生属
'biao'lan'shu 杓兰属
'bin'ju'shu 滨菊属
'bin'li'shu 滨藜属
'bin'mu'huan'shu 滨木患属
'bin'zi'cao'shu 滨紫草属
'bing'cao'shu 冰草属
'bing'chi'guo'shu 柄翅果属
'bing'chun'lan'shu 柄唇兰属
'bing'dao'liao'shu 冰岛蓼属
'bing'dou'shu 兵豆属
'bing'gai'jue'shu 柄盖蕨属
'bing'guo'mu'shu 柄果木属
'bing'lang'qing'shu 槟榔青属
'bing'lang'shu 槟榔属
'bing'zhao'cao'ke 冰沼草科
'bing'zhao'cao'shu 冰沼草属
'bo'cai'shu 菠菜属
'bo'chun'jue'shu 薄唇蕨属
'bo'gu'cao'shu 驳骨草属
'bo'he'shu 薄荷属
'bo'le'shu'ke 伯乐树科
'bo'le'shu'shu 伯乐树属
'bo'leng'gua'shu 波棱瓜属
'bo'luo'hui'shu 博落回属
'bo'luo'mi'shu 波罗蜜属
'bo'niang'hao'shu 播娘蒿属
'bo'xi'dang'shu 波喜荡属
'bu'chong'jin'shu 捕虫堇属
'bu'dai'lan'shu 布袋兰属
'bu'gu'zhi'shu 补骨脂属
'bu'xue'cao'shu 补血草属
'cai'dou'shu 菜豆属
'cai'dou'shu'shu 菜豆树属
'cai'hua'shu 彩花属
'cai'ji'shu 菜蓟属
'cai'jue'shu 菜蕨属
'cai'mu'shu 采木属
'cai'zong'shu 菜棕属
'cang'dou'shu 藏豆属
'cang'er'shu 苍耳属
'cang'gua'shu 藏瓜属
'cang'ji'shu 藏荠属
'cang'jie'shu 藏芥属
'cang'lan'shu 藏榄属
'cang'shan'jue'shu 苍山蕨属
'cang'xuan'shen'shu 藏玄参属
'cang'ye'hua'shu 藏掖花属
'cang'zhu'shu 苍术属
'cao'cao'shu 糙草属
'cao'cong'rong'shu 草苁蓉属
'cao'guo'qin'shu 糙果芹属
'cao'hai'tong'ke 草海桐科
'cao'hai'tong'shu 草海桐属
'cao'hu'jiao'shu 草胡椒属
'cao'lie'mu'shu 槽裂木属
'cao'mei'shu 草莓属
'cao'mu'xi'shu 草木犀属
'cao'rui'xiang'shu 草瑞香属
'cao'sha'can'shu 草沙蚕属
'cao'shan'hu'shu 草珊瑚属
'cao'she'lan'shu 槽舌兰属
'cao'shu 草属
'cao'su'shu 糙苏属
'cao'xiu'qiu'shu 草绣球属
'cao'ye'shu'shu 糙叶树属
'cao'zhu'yu'shu 草茱萸属
'ce'bai'shu 侧柏属
'ce'jin'zhan'hua'shu 侧金盏花属
'ce'zhong'shu 箣柊属
'cen'shu 梣属
'cha'biao'zi'shu 茶藨子属
'cha'hua'cao'shu 叉花草属
'cha'hui'lan'shu 叉喙兰属
'cha'jue'ke 叉蕨科
'cha'jue'shu 叉蕨属
'cha'li'shu 茶梨属
'cha'ling'shu 茶菱属
'cha'mao'peng'shu 叉毛蓬属
'cha'mu'shu 檫木属
'cha'tiao'mu'shu 茶条木属
'cha'xu'cao'shu 叉序草属
'cha'ye'lan'shu 叉叶蓝属
'cha'zhu'hua'shu 叉柱花属
'cha'zhu'lan'shu 叉柱兰属
'cha'zhu'yu'ke 茶茱萸科
'chai'hu'shu 柴胡属
'chai'long'shu'shu 柴龙树属
'chai'zi'gu'shu 钗子股属
'chan'yi'teng'shu 蝉翼藤属
'chang'bao'lan'shu 长苞蓝属
'chang'bing'jia'shu 长柄荚属
'chang'bing'jie'shu 长柄芥属
'chang'bing'shan'ma'yi'shu 长柄山蚂蚁属
'chang'chun'hua'shu 长春花属
'chang'chun'mu'shu 常春木属
'chang'chun'teng'shu 常春藤属
'chang'e'mu'tong'shu 长萼木通属
'chang'ge'mu'shu 长隔木属
'chang'guan'ju'tai'shu 长冠苣苔属
'chang'guo'bao'chun'shu 长果报春属
'chang'guo'jiang'shu 长果姜属
'chang'hui'lan'shu 长喙兰属
'chang'jie'zhu'shu 长节珠属
'chang'jue'shu 肠蕨属
'chang'pian'jue'shu 长片蕨属
'chang'pu'shu 菖蒲属
'chang'rui'ban'zhong'cao'shu 长蕊斑种草属
'chang'rui'liu'li'cao'shu 长蕊琉璃草属
'chang'rui'mu'lan'shu 长蕊木兰属
'chang'rui'qing'lan'shu 长蕊青兰属
'chang'shan'shu 常山属
'chang'shuo'ju'tai'shu 长蒴苣苔属
'chang'sui'hua'shu 长穗花属
'chang'tong'jue'shu 长筒蕨属
'chang'xu'cao'shu 肠须草属
'chang'yan'ju'tai'shu 长檐苣苔属
'chang'zhu'cao'shu 长柱草属
'chang'zhu'liu'li'cao'shu 长柱琉璃草属
'chang'zhu'shan'dan'shu 长柱山丹属
'chang'zu'lan'shu 长足兰属
'chao'jue'shu 巢蕨属
'che'gen'cai'shu 扯根菜属
'che'qian'jue'ke 车前蕨科
'che'qian'jue'shu 车前蕨属
'che'qian'ke 车前科
'che'qian'shu 车前属
'che'qian'zi'cao'shu 车前紫草属
'che'sang'zi'shu 车桑子属
'che'ye'cao'shu 车叶草属
'che'zhou'cao'shu 车轴草属
'chen'xiang'shu 沉香属
'cheng'chui'shu'shu 秤锤树属
'cheng'gou'feng'shu 秤钩风属
'cheng'guang'hua'shu 澄广花属
'cheng'liu'ke 柽柳科
'cheng'liu'shu 柽柳属
'cheng'sang'shu 橙桑属
'chi'bi'mu'shu 赤壁木属
'chi'bo'er'shu 赤瓟儿属
'chi'cai'shu 赤才属
'chi'cang'teng'shu 赤苍藤属
'chi'che'shu 赤车属
'chi'fu'cao'shu 齿稃草属
'chi'guo'cao'shu 齿果草属
'chi'guo'cao'shu 翅果草属
'chi'guo'ju'shu 翅果菊属
'chi'guo'liao'shu 翅果蓼属
'chi'guo'ma'shu 翅果麻属
'chi'guo'teng'shu 翅果藤属
'chi'he'shi'shu 翅鹤虱属
'chi'jian'sha'shu 赤箭莎属
'chi'jing'cao'shu 翅茎草属
'chi'leng'qin'shu 翅棱芹属
'chi'lin'cao'shu 齿鳞草属
'chi'lin'sha'shu 翅鳞莎属
'chi'mo'ju'shu 翅膜菊属
'chi'ping'po'shu 翅苹婆属
'chi'shi'teng'shu 翅实藤属
'chi'yang'ye'shu 赤杨叶属
'chi'ye'mu'shu 翅叶木属
'chi'yuan'cao'shu 齿缘草属
'chi'zhu'shu 赤竹属
'chi'zi'gua'shu 翅子瓜属
'chi'zi'shu'shu 翅子树属
'chi'zi'teng'ke 翅子藤科
'chi'zi'teng'shu 翅子藤属
'chong'ji'sheng'shu 重寄生属
'chong'lou'shu 重楼属
'chong'shi'shu 虫实属
'chong'shu'jue'shu 崇澍蕨属
'chou'cao'shu 臭草属
'chou'chang'shan'shu 臭常山属
'chou'chun'shu 臭椿属
'chou'ji'shu 臭荠属
'chou'li'shu 稠李属
'chou'song'shu 臭菘属
'chou'ying'shu 臭樱属
'chu'ju'shu 雏菊属
'chu'lei'cao'shu 蒭雷草属
'chuan'guo'teng'shu 串果藤属
'chuan'man'zao'shu 川蔓藻属
'chuan'ming'can'shu 川明参属
'chuan'mu'xiang'shu 川木香属
'chuan'qiao'hua'shu 穿鞘花属
'chuan'tai'cao'ke 川苔草科
'chuan'xi'cao'shu 川犀草属
'chuan'xin'cao'shu 穿心草属
'chuan'xin'lian'shu 穿心莲属
'chuan'xu'duan'ke 川续断科
'chuan'xu'duan'shu 川续断属
'chuan'zao'shu 川藻属
'chui'tou'ju'shu 垂头菊属
'chui'zhu'lan'shu 槌柱兰属
'chun'e'ju'tai'shu 唇萼苣苔属
'chun'huang'ju'shu 春黄菊属
'chun'shu 莼属
'chun'xing'ke 唇形科
'chun'zhu'ju'tai'shu 唇柱苣苔属
'ci'bai'shu 刺柏属
'ci'bao'guo'shu 刺苞果属
'ci'bao'ju'shu 刺苞菊属
'ci'gu'shu 慈姑属
'ci'guan'ju'shu 刺冠菊属
'ci'guo'qin'shu 刺果芹属
'ci'guo'shu'shu 刺果树属
'ci'guo'teng'shu 刺果藤属
'ci'he'teng'shu 刺核藤属
'ci'huai'shu 刺槐属
'ci'jue'shu 刺蕨属
'ci'kui'shu 刺葵属
'ci'lan'shu 刺榄属
'ci'li'mu'shu 刺篱木属
'ci'lin'cao'ke 刺鳞草科
'ci'lin'cao'shu 刺鳞草属
'ci'mao'tou'shu'shu 刺毛头黍属
'ci'mo'li'ke 刺茉莉科
'ci'mo'li'shu 刺茉莉属
'ci'qin'shu 刺芹属
'ci'qiu'shu 刺楸属
'ci'rui'cao'shu 刺蕊草属
'ci'shen'shu 刺参属
'ci'shuo'ma'shu 刺蒴麻属
'ci'tong'cao'shu 刺通草属
'ci'tong'shu 刺桐属
'ci'tou'ju'shu 刺头菊属
'ci'xu'duan'shu 刺续断属
'ci'ye'shu 刺叶属
'ci'yu'shu 刺芋属
'ci'yu'shu 刺榆属
'ci'zao'ke 茨藻科
'ci'zao'shu 茨藻属
'ci'zhu'shu 慈竹属
'ci'zi'guan'shu 刺子莞属
'cong'fu'shu 丛菔属
'cong'jie'shu 葱芥属
'cong'lian'shu 葱莲属
'cong'mu'shu 楤木属
'cong'shu 葱属
'cong'ye'lan'shu 葱叶兰属
'cu'hua'qin'shu 簇花芹属
'cu'jie'shu 簇芥属
'cu'mao'teng'shu 粗毛藤属
'cu'si'mu'shu 粗丝木属
'cu'tong'ju'tai'shu 粗筒苣苔属
'cu'xu'cao'shu 簇序草属
'cu'ye'mu'shu 粗叶木属
'cui'bai'shu 翠柏属
'cui'ju'shu 翠菊属
'cui'jue'shu 翠蕨属
'cui'lan'shu 脆兰属
'cui'que'shu 翠雀属
'da'bai'he'shu 大百合属
'da'ban'huo'shu 大瓣活属
'da'bao'ji'sheng'shu 大苞寄生属
'da'bao'jiang'shu 大苞姜属
'da'bao'ju'tai'shu 大苞苣苔属
'da'bao'lan'shu 大苞兰属
'da'bao'qiao'hua'shu 大苞鞘花属
'da'bian'jue'shu 达边蕨属
'da'can'shu 大参属
'da'chi'ji'shu 大翅蓟属
'da'ding'cao'shu 大丁草属
'da'dou'kou'shu 大豆蔻属
'da'dou'shu 大豆属
'da'e'kui'shu 大萼葵属
'da'feng'zi'ke 大风子科
'da'feng'zi'shu 大风子属
'da'he'huan'shu 大合欢属
'da'hu'jiao'shu 大胡椒属
'da'hua'cao'ke 大花草科
'da'hua'teng'shu 大花藤属
'da'huang'shu 大黄属
'da'hui'lan'shu 大喙兰属
'da'ji'ke 大戟科
'da'ji'shu 大戟属
'da'jie'zhu'shu 大节竹属
'da'li'hua'shu 大丽花属
'da'ma'shu 大麻属
'da'mai'shu 大麦属
'da'ming'zhu'shu 大明竹属
'da'mo'gai'jue'shu 大膜盖蕨属
'da'piao'shu 大薸属
'da'qing'shu 大青属
'da'sha'ye'shu 大沙叶属
'da'suan'jie'shu 大蒜芥属
'da'tou'cha'shu 大头茶属
'da'wan'hua'shu 打碗花属
'da'wu'feng'cao'shu 大吴风草属
'da'xue'teng'shu 大血藤属
'da'ye'teng'shu 大叶藤属
'da'ye'zao'shu 大叶藻属
'da'ye'zi'shu 大叶子属
'da'yi'dou'shu 大翼豆属
'da'you'mang'shu 大油芒属
'da'zhao'cao'shu 大爪草属
'da'zhong'hua'shu 大钟花属
'da'zhu'teng'shu 大柱藤属
'dai'bai'cai'shu 呆白菜属
'dai'chun'lan'shu 袋唇兰属
'dai'chun'lan'shu 带唇兰属
'dai'er'cha'shu 代儿茶属
'dai'guo'cao'shu 袋果草属
'dai'xing'cao'shu 戴星草属
'dai'ye'lan'shu 带叶兰属
'dai'zhuang'ping'er'xiao'cao'shu 带状瓶尔小草属
'dan'ce'hua'shu 单侧花属
'dan'ci'peng'shu 单刺蓬属
'dan'hua'ji'shu 单花荠属
'dan'huang'guo'shu 蛋黄果属
'dan'qiu'qin'shu 单球芹属
'dan'rui'cao'shu 单蕊草属
'dan'rui'ma'shu 单蕊麻属
'dan'shi'zhu'yu'shu 单室茱萸属
'dan'xing'mu'lan'shu 单性木兰属
'dan'xu'cao'shu 单序草属
'dan'ye'dou'shu 单叶豆属
'dan'ye'jia'mai'jue'shu 单叶假脉蕨属
'dan'ye'teng'ju'shu 单叶藤橘属
'dan'zhi'zhu'shu 单枝竹属
'dan'zhu'ye'shu 淡竹叶属
'dan'zuo'ju'tai'shu 单座苣苔属
'dang'gui'shu 当归属
'dang'shen'shu 党参属
'dao'cha'cai'shu 稻槎菜属
'dao'di'ling'shu 倒地铃属
'dao'diao'bi'shu 倒吊笔属
'dao'diao'lan'shu 倒吊兰属
'dao'dou'shu 刀豆属
'dao'gua'jin'zhong'shu 倒挂金钟属
'dao'shu 稻属
'dao'ying'mu'shu 倒缨木属
'deng'tai'shu'shu 灯台树属
'deng'xin'cao'ke 灯心草科
'deng'xin'cao'shu 灯心草属
'di'bao'lan'shu 地宝兰属
'di'dan'cao'shu 地胆草属
'di'er'jue'shu 地耳蕨属
'di'fu'shu 地肤属
'di'gou'ye'shu 地构叶属
'di'gui'shu 地桂属
'di'hai'jiao'shu 地海椒属
'di'huang'lian'zhu 地黄连属
'di'huang'shu 地黄属
'di'jin'shu 地锦属
'di'pi'xiao'shu 地皮消属
'di'qiang'wei'shu 地蔷薇属
'di'shu 荻属
'di'sun'shu 地笋属
'di'tan'cao'shu 地毯草属
'di'tang'hua'shu 棣棠花属
'di'yang'mei'shu 地杨梅属
'di'yang'tao'shu 地杨桃属
'di'yao'lan'shu 低药兰属
'di'yong'jin'lian'shu 地涌金莲属
'di'yu'shu 地榆属
'dian'cang'xi'ye'qin'shu 滇藏细叶芹属
'dian'chi'cai'shu 滇赤才属
'dian'deng'hua'shu 电灯花属
'dian'di'mei'shu 点地梅属
'dian'ding'xiang'shu 滇丁香属
'dian'jue'shu 滇蕨属
'dian'lan'shu 滇兰属
'dian'qie'shu 颠茄属
'dian'qin'shu 滇芹属
'dian'tong'shu 滇桐属
'dian'xiong'shu 滇芎属
'dian'zi'cao'shu 垫紫草属
'dian'zi'cao'shu 滇紫草属
'diao'deng'hua'shu 吊灯花属
'diao'deng'shu'shu 吊灯树属
'diao'lan'shu 吊兰属
'diao'shi'ju'tai'shu 吊石苣苔属
'diao'ying'ju'shu 凋缨菊属
'diao'zhong'hua'shu 吊钟花属
'die'dou'shu 蝶豆属
'die'qiao'lan'shu 叠鞘兰属
'die'xu'shu 蝶须属
'ding'bing'hua'shu 顶冰花属
'ding'gong'teng'shu 丁公藤属
'ding'gui'cao'shu 丁癸草属
'ding'guo'shu'shu 顶果树属
'ding'qian'shu 丁茜属
'ding'tou'guo'shu 钉头果属
'ding'xiang'liao'shu 丁香蓼属
'ding'xiang'shu 丁香属
'ding'xin'teng'shu 定心藤属
'ding'yu'ju'shu 顶羽菊属
'ding'yu'jue'shu 顶育蕨属
'dong'e'qin'shu 东俄芹属
'dong'feng'cai'shu 东风菜属
'dong'gua'shu 冬瓜属
'dong'hong'shu 冬红属
'dong'jing'tong'shu 东京桐属
'dong'ma'dou'shu 冬麻豆属
'dong'qing'ke 冬青科
'dong'qing'shu 冬青属
'dong'rui'hua'shu 动蕊花属
'dong'zhao'cao'shu 东爪草属
'dou'ban'cai'shu 豆瓣菜属
'dou'bei'lan'shu 兜被兰属
'dou'fu'chai'shu 豆腐柴属
'dou'ke 豆科
'dou'kou'shu 豆蔻属
'dou'lan'shu 兜兰属
'dou'li'ju'shu 都丽菊属
'dou'li'shu 兜藜属
'dou'lie'dang'shu 豆列当属
'dou'rui'lan'shu 兜蕊兰属
'dou'shu'shu 豆薯属
'du'bian'dou'shu 毒扁豆属
'du'can'shu 毒参属
'du'dou'shu 毒豆属
'du'gen'cao'shu 独根草属
'du'gen'teng'shu 杜根藤属
'du'gua'shu 毒瓜属
'du'hua'bao'chun'shu 独花报春属
'du'hua'lan'shu 独花兰属
'du'huo'shu 独活属
'du'jiao'jin'shu 独脚金属
'du'jing'shan'shu 杜茎山属
'du'juan'hua'ke 杜鹃花科
'du'juan'lan'shu 杜鹃兰属
'du'juan'shu 杜鹃属
'du'li'hua'shu 独丽花属
'du'lian'shu 杜楝属
'du'liang'cao'shu 度量草属
'du'qin'shu 毒芹属
'du'ruo'shu 杜若属
'du'shu'zi'ke 毒鼠子科
'du'shu'zi'shu 毒鼠子属
'du'suan'lan'shu 独蒜兰属
'du'wei'cao'shu 独尾草属
'du'xiang'shu 杜香属
'du'xing'cai'shu 独行菜属
'du'yao'shu'shu 毒药树属
'du'ye'cao'shu 独叶草属
'du'yi'wei'shu 独一味属
'du'ying'ke 杜英科
'du'ying'shu 杜英属
'du'zhong'ke 杜仲科
'du'zhong'shu 杜仲属
'du'zhong'teng'shu 杜仲藤属
'duan'ban'hua'shu 短瓣花属
'duan'ban'lan'shu 短瓣兰属
'duan'bing'cao'shu 短柄草属
'duan'chang'jue'shu 短肠蕨属
'duan'e'chi'mu'shu 短萼齿木属
'duan'guan'cao'shu 短冠草属
'duan'jie'sha'shu 断节莎属
'duan'she'ju'shu 短舌菊属
'duan'shu'ke 椴树科
'duan'shu'shu 椴树属
'duan'sui'zhu'shu 短穗竹属
'duan'tong'ju'tai'shu 短筒苣苔属
'duan'xing'ju'shu 短星菊属
'duan'yan'ju'tai'shu 短檐苣苔属
'duan'ying'cao'shu 短颖草属
'dui'ci'teng'shu 对刺藤属
'dui'jie'ci'shu 对节刺属
'dui'kai'jue'shu 对开蕨属
'dui'ye'lan'shu 对叶兰属
'dui'ye'yan'peng'shu 对叶盐蓬属
'dun'bao'teng'shu 盾苞藤属
'dun'bei'cao'shu 钝背草属
'dun'bing'lan'shu 盾柄兰属
'dun'chi'teng'shu 盾翅藤属
'dun'guo'cao'shu 盾果草属
'dun'guo'ji'sheng'shu 钝果寄生属
'dun'ji'cao'shu 钝基草属
'dun'jue'shu 盾蕨属
'dun'pian'she'gu'shu 盾片蛇菰属
'dun'ye'cao'shu 钝叶草属
'dun'ye'ju'tai'shu 盾叶苣苔属
'dun'zhu'mu'shu 盾柱木属
'dun'zhu'shu 盾柱属
'dun'zuo'ju'tai'shu 盾座苣苔属
'duo'ban'he'guo'cha'shu 多瓣核果茶属
'duo'he'guo'shu 多核果属
'duo'jia'cao'shu 多荚草属
'duo'lang'ju'shu 多榔菊属
'duo'lun'cao'shu 多轮草属
'duo'rui'mu'shu 多蕊木属
'duo'sui'lan'shu 多穗兰属
'duo'xiang'mu'shu 多香木属
'duo'yi'cao'shu 多裔草属
'duo'yi'shu 桗栘属
'duo'zu'jue'shu 多足蕨属
'e'can'shu 峨参属
'e'chang'cai'shu 鹅肠菜属
'e'chi'teng'shu 萼翅藤属
'e'er'li'shu 鹅耳枥属
'e'guan'cao'shu 鹅观草属
'e'ji'lan'shu 萼脊兰属
'e'ju'hua'shu 萼距花属
'e'li'shu 鳄梨属
'e'mei'jue'shu 蛾眉蕨属
'e'ping'cao'shu 峨屏草属
'e'rong'teng'shu 鹅绒藤属
'e'zhang'chai'shu 鹅掌柴属
'e'zhang'qiu'shu 鹅掌楸属
'e'zui'hua'shu 鳄嘴花属
'er'cao'shu 耳草属
'er'chun'lan'shu 耳唇兰属
'er'fu'cao'shu 耳稃草属
'er'ju'shu 耳菊属
'er'jue'shu 耳蕨属
'er'wei'lan'shu 二尾兰属
'er'xing'hua'shu 二型花属
'er'xing'jie'shu 二行芥属
'er'yao'hua'shu 耳药花属
'er'yao'zao'shu 二药藻属
'er'ye'ma'lan'shu 耳叶马蓝属
'fa'cao'shu 发草属
'fan'chun'lan'shu 反唇兰属
'fan'chun'lan'shu 翻唇兰属
'fan'hong'hua'shu 番红花属
'fan'li'zhi'ke 番荔枝科
'fan'li'zhi'shu 番荔枝属
'fan'long'yan'shu 番龙眼属
'fan'lv'shu 繁缕属
'fan'mu'gua'ke 番木瓜科
'fan'mu'gua'shu 番木瓜属
'fan'qie'shu 番茄属
'fan'shi'liu'shu 番石榴属
'fan'shu'shu 番薯属
'fan'tian'hua'shu 梵天花属
'fan'xing'ke 番杏科
'fan'xing'shu 番杏属
'fan'ying'tao'shu 番樱桃属
'fang'ding'mu'shu 方鼎木属
'fang'feng'shu 防风属
'fang'gan'jue'shu 方秆蕨属
'fang'ji'ke 防己科
'fang'jing'cao'shu 方茎草属
'fei'cao'shu 肺草属
'fei'e'teng'shu 飞蛾藤属
'fei'gen'lan'shu 肥根兰属
'fei'lian'shu 飞廉属
'fei'long'zhang'xue'shu 飞龙掌血属
'fei'niu'shu'shu 肥牛树属
'fei'peng'shu 飞蓬属
'fei'pu'cao'shu 飞瀑草属
'fei'shu'shu 榧树属
'fei'yan'cao'shu 飞燕草属
'fei'zao'cao'shu 肥皂草属
