'bai'dai 白带
'tai'bai 太白
'tai'ji'ba'zhang 太极八章
'tai'ji'er'zhang 太极二章
'tai'ji'liu'zhang 太极六章
'tai'ji'qi'zhang 太极七章
'tai'ji'san'zhang 太极三章
'tai'ji'si'zhang 太极四章
'tai'ji'wu'zhang 太极五章
'tai'ji'yi'zhang 太极一章
'tai'ji'zhang'zhi'tai'ji'zhang 太极章至太极章
'tai'quan'dao 跆拳道
'tai'quan'dao'jing'shen 跆拳道精神
'tai'quan'dao'xie'hui 跆拳道协会
'tao'lu 套路
'te'ji'mu'ban 特技木板
'teng'kong'heng'ti 腾空横踢
'teng'kong'hou'xuan 腾空后旋
'teng'kong'jiao'ti'qian'ti 腾空交替前踢
'teng'kong'lun'ti 腾空抡踢
'ti'de'li'liang 踢的力量
'ti'fa 踢法
'ti'ji 踢击
'ti'ji'dong'zuo 踢击动作
'tian'quan 天拳
'tiao'dong'ti 跳动踢
'tiao'huan'bu 跳换步
'tui'chang 退场
'tui'fa 腿法
'wai'ge'dang 外格挡
'wei'li'mu'ban 威力木板
'wu'dao'guan 吾道馆
'wu'de'guan 武德馆
'xia'ge'dang 下格挡
'xia'pi 下劈
'xia'ti 下踢
'xiang'guo'qi'jing'li 向国旗敬礼
'xiang'hou'zhuan 向后转
'xiang'you'zhuan 向右转
'xiang'zuo'zhuan 向左转
'xie'shang'ti 斜上踢
'xie'tiao 协调
'xie'xie 谢谢
'xing'li 行礼
'xuan'feng'ti 旋风踢
'xuan'feng'ti'jie'hou'ti 旋风踢接后踢
'xuan'zhong'ming 玄钟明
'yan'yun'kui 严云奎
'yang'wo'qi'zuo 仰卧起坐
'yao'dai 腰带
'yi'ban'shi'yong 一般使用
'yi'ru 一如
'you'zhan'shi 右站势
'zeng'jia 增加
'zhan'li'ti 站立踢
'zhang'wu'guan 彰武馆
'zheng'dao'guan 正道馆
'zheng'li'dao'fu 整理道服
'zheng'mian'ji'fa 正面技法
'zheng'shou'fu'wo'cheng 正手俯卧撑
'zheng'zhan'shi 正站势
'zhi'dao'guan 智道馆
'zhi'wo'cheng 指卧撑
'zhong'guo'tai'quan'dao'xie'hui 中国跆拳道协会
'zhong'guo'wu'shu 中国武术
'zhu'pao'ti 助跑踢
'zhuan'dong 转动
'zhuan'shen 转身
'zhuan'shen'heng'ti 转身横踢
'zhuan'shen'hou'ti 转身后踢
'zhuan'shen'lun'ti 转身抡踢
'zhuan'shen'ti 转身踢
'zhun'bei 准备
'zhun'bei'zi'shi 准备姿势
'zi'wei'shu 自卫术
'zu'dao 足刀
'zuo'you'ge 左右各
'zuo'you'tui'dun'qi 左右腿蹲起
'zuo'zhan'shi 左站势
