'an'niu 按钮
'chong'he'zha 重合闸
'chong'you 充油
'chong'you'liang 充油量
'chong'zu 重组
'chu'dian 触电
'chu'li 出力
'chu'tan 初探
'chu'tou 触头
'chu'tou'duan'kai 触头断开
'chuan'di'han'shu 传递函数
'chuan'lian 串联
'ci'ji 磁极
'ci'ping 瓷瓶
'da'die'liang'xiang 搭叠量相
'da'huo'biao 大火表
'da'liu'liang 大流量
'da'mo 打磨
'da'rong'liang'fa'dian'ji'zu 大容量发电机组
'da'tang'liao'yuan're'dian'chang 大唐辽源热电厂
'dai'dian'zuo'ye 带电作业
'dan'ji'wu'qiong'da'xi'tong 单机无穷大系统
'dan'kai'guan 单开关
'dan'xiang'dian'du'biao 单相电度表
'dan'xiang'dian'ya 单相电压
'dan'xiang'shuang'xiang 单相双向
'dang'wei 档位
'dang'you'quan 挡油圈
'dao'kai'guan 刀开关
'dao'na 导纳
'dao'xian 导线
'dao'zha 刀闸
'dao'zha'ge'li'kai'guan 刀闸隔离开关
'dao'zhou'wa 导轴瓦
'deng'xiao'yu 等效于
'deng'zhi'bo'zu'kang 等值波阻抗
'di'ya 低压
'di'you'ya'gu'zhang'ting'ji 低油压故障停机
'dian'biao 电表
'dian'chang 电厂
'dian'dao 电导
'dian'dong'ji 电动机
'dian'dong'ji'bao'hu'qi 电动机保护器
'dian'dong'shi 电动势
'dian'du'biao 电度表
'dian'fei 电费
'dian'gan 电感
'dian'gan'dian'rong 电杆电容
'dian'gan'qi 电感器
'dian'gong 电工
'dian'guan'zhan 电管站
'dian'hu'lian'bian 电弧联变
'dian'ji 电机
'dian'jia 电价
'dian'kang 电抗
'dian'kang'qi 电抗器
'dian'lao'hu 电老虎
'dian'li 电力
'dian'li'she'bei 电力设备
'dian'li'shi'chang 电力市场
'dian'li'xi'tong 电力系统
'dian'li'xi'tong'zi'dong'hua 电力系统自动化
'dian'li'xian'lu 电力线路
'dian'liang 电量
'dian'ling 电铃
'dian'liu 电流
'dian'liu'biao 电流表
'dian'lu 电炉
'dian'na 电纳
'dian'neng 电能
'dian'neng'biao 电能表
'dian'neng'liang 电能量
'dian'neng'xiao'hao 电能消耗
'dian'neng'zhi'liang 电能质量
'dian'ping'dian'ya'biao 电瓶电压表
'dian'qi'hua 电气化
'dian'rong 电容
'dian'rong'qi 电容器
'dian'rong'qi'you'kai'guan 电容器油开关
'dian'shua 电刷
'dian'tiao 电调
'dian'wang 电网
'dian'wei 电位
'dian'wei'qi 电位器
'dian'xian'duan'lu 电线短路
'dian'ya 电压
'dian'ya'biao 电压表
'dian'ya'deng'ji 电压等级
'dian'ya'hu'gan'qi 电压互感器
'dian'ya'wen'ding 电压稳定
'dian'ya'yuan 电压源
'dian'zu 电阻
'dian'zu'qi 电阻器
'diao'xiang'qi 调相器
'die'luo'kai'guan 跌落开关
'ding'xiang'yun'dong 定向运动
'ding'zi 定子
'ding'zi'jie'di 定子接地
'ding'zi'rao'zu 定子绕组
'dong'bei'dian'li'she'ji'yuan 东北电力设计院
'dong'li'gong'cheng'xi 动力工程系
'dong'li'xi'tong 动力系统
'dong'tai 动态
'dong'zuo 动作
'dong'zuo'dian'liu 动作电流
'dong'zuo'hui'lu 动作回路
'dong'zuo'shi'xian 动作时限
'dong'zuo'su'du 动作速度
'dou'men'gong'dian'ju 斗门供电局
'duan'dao'zha 断刀闸
'duan'dian'xian'lu 断电线路
'duan'dian'ya 端电压
'duan'gai 端盖
'duan'gai'shi'zhou'cheng 端盖式轴承
'duan'lu 断路
'duan'lu 短路
'duan'lu'bao'hu 断路保护
'duan'lu'gu'zhang 短路故障
'duan'lu'qi 断路器
'duan'zi 端子
'dui'chen'duan'lu 对称短路
'dui'jiang'men'ling 对讲门铃
'dui'zhuang'ji 对撞机
'duo'xiang 多相
'e'ding 额定
'e'ding'dian'ya 额定电压
'e'ding'fu'he 额定负荷
'e'ding'gong'lv 额定功率
'er'ci'hui'lu 二次回路
'er'piao'san'zhi 二票三制
'er'xiang 二相
'er'xiang'fen'lu 二相分路
'fa'dian'chang 发电厂
'fa'dian'ji 发电机
'fa'dian'ji'duan 发电机端
'fa'dian'rong'liang 发电容量
'fa'guang'qiang'du 发光强度
'fa'lan 法兰
'fan'chuan'suan'fa 反传算法
'fan'kui 反馈
'fan'qie'dian 反窃电
'fan'she 反射
'fang'bian 方便
'fang'lei'bao'hu 防雷保护
'fang'xiang'yuan'jian 方向元件
'fang'zhen 仿真
'fang'zhen'fen'xi 仿真分析
'fang'zhen'shu'ju 仿真数据
'fei'quan'xiang 非全相
'fei'tong'qi 非同期
'fei'xian'xing'xi'tong 非线性系统
'fen'jie'tou 分接头
'fen'lie'dao'xian 分裂导线
'fen'liu'qi 分流器
'fen'lu 分路
'fen'zha 分闸
'feng'dong 风洞
'feng'ming'qi 蜂鸣器
'feng'zha 风闸
'fu'gui 复归
'fu'he 负荷
'fu'he'dian'ya 复合电压
'fu'he'kai'guan 负荷开关
'fu'he'lv 负荷率
'fu'he'qu'xian 负荷曲线
'fu'he'zhuang'tai 负荷状态
'fu'ji 负极
'fu'jia'wang'luo 附加网络
'fu'jia'xi'tong 附加系统
'fu'jian'dian'li 福建电力
'fu'jiao'shou 副教授
'fu'te 伏特
'fu'te'ji 伏特计
'fu'xu'zu'kang 负序阻抗
'fu'zai 负载
'fu'zai'dian'liu'bai'fen'bi'xian'shi 负载电流百分比显示
'fu'zhi 负值
'fu'zhu'chu'dian 辅助触点
'fu'zhu'dao'xian 辅助导线
'gan'ying'yuan'jian 感应元件
'gao'cheng 高程
'gao'ding'zhi 高顶值
'gao'jing'du 高精度
'gao'kang 高抗
'gao'shui'wen'gu'zhang'ting'ji 高水温故障停机
'gao'ya 高压
'gao'ya'ce 高压侧
'ge'li'kai'guan 隔离开关
'ge'li'qi 隔离器
'gei'ding'de 给定的
'gong'dian 供电
'gong'dian'suo 供电所
'gong'jiao 功角
'gong'jiao'wen'ding 功角稳定
'gong'lv 功率
'gong'lv'biao 功率表
'gong'lv'yin'shu 功率因数
'gong'neng 功能
'gong'pin 工频
'gu'ding'chuan'lian'dian'rong'bu'chang 固定串联电容补偿
'gu'zhang 故障
'gu'zhang'dian 故障点
'gu'zhang'dian'liu 故障电流
'gu'zhang'qie'chu'shi'jian 故障切除时间
'gu'zhang'xian'lu 故障线路
'gua'wa 刮瓦
'guai'bi 拐臂
'guan'ji 关机
'guang'dong'dian'wang'gong'si 广东电网公司
'gui'cheng 规程
'gui'fan'liang'du 规范亮度
'gui'ping 柜屏
'gui'zheng'liu 硅整流
'guo'du'jia 过渡夹
'guo'fu'he 过负荷
'guo'jia'dian'li 国家电力
'guo'jia'dian'wang'gong'si 国家电网公司
'guo'liu 过流
'guo'liu'bao'hu 过流保护
'guo'su 过速
'guo'su'bao'hu 过速保护
'guo'zai 过载
'he'bei'sheng'dian'li'gong'si 河北省电力公司
'he'ying 贺营
'he'zha 合闸
'heng'ding 恒定
'hou'bei'bao'hu 后备保护
'hu'gan 互感
'hu'gan'pi'pei 互感匹配
'hu'gan'qi 互感器
'hu'han'ji 弧焊机
'hu'huan 护环
'hu'xing'zha'men 弧形闸门
'hua'lv 滑率
'huan'chong'chang'kai 缓冲常开
'hui'lu 回路
'hui'shou 回收
'huo'li'fa'dian 火力发电
'huo'xian 火线
'ji'bao 继保
'ji'biao'xiang 集表箱
'ji'dian'bao'hu 继电保护
'ji'dian'qi 继电器
'ji'duan 机端
'ji'duan'dian'ya'kong'zhi 机端电压控制
'ji'hua 极化
'ji'suan'ji'guan'li'xin'xi'xi'tong 计算机管理信息系统
'ji'tiao 机调
'ji'tiao'jie 季调节
'ji'xian'qie'chu'shi'jian 极限切除时间
'ji'you'cao 集油槽
'ji'you'you'ya'biao 机油油压表
'ji'zu 机组
'ji'zu'yun'xing'xiao'shi'biao 机组运行小时表
'ji'zu'yun'xing'zheng'chang 机组运行正常
'jia'kong'xian'lu 架空线路
'jia'zhuang 贾庄
'jian'duan'lu 间断路
'jian'er 检二
'jian'fa'yun'suan 减法运算
'jian'feng'fu'he 尖峰负荷
'jian'feng'qu'xian 尖峰曲线
'jian'jie'zhao'ming 间接照明
'jian'kong'xi'tong 监控系统
'jian'xiu 检修
'jian'ya'fa 减压阀
'jiang'sun 降损
'jiao'bian'mie'ci 交变灭磁
'jiao'huan'qi 交换器
'jiao'liu 交流
'jiao'liu'li'ci'ji 交流励磁机
'jie'chu'an'niu 解除按钮
'jie'chu'bu'liang 接触不良
'jie'chu'liang'hao 接触良好
'jie'chu'qi 接触器
'jie'di 接地
'jie'dian 节点
'jie'dian 接点
'jie'he'mian 结合面
'jie'li 解例
'jie'li'qi 接力器
'jie'lie 解列
'jie'tiao'qi 解调器
'jie'xian'duan'zi 接线端子
'jie'xian'duan'zi'ban 接线端子板
'jie'xian'tu 结线图
'jie'yue'yong'dian 节约用电
'jin'dian 金店
'jin'ju 金具
'jin'xiang'ji 进相机
'jing'ban'ding'gai 镜板顶盖
'jing'jia'shang'wang 竞价上网
'jing'tai 静态
'jing'tai'xia'jiang 静态下降
'ju'dong 拒动
'jue'yuan 绝缘
'jue'yuan'bang 绝缘棒
'jue'yuan'ji'chuan 绝缘击穿
'jue'yuan'jian'cha 绝缘监察
'jue'yuan'xue 绝缘靴
'jue'yuan'zhao 绝缘罩
'jue'yuan'zhi 绝缘纸
'jue'yuan'zi 绝缘子
'kai'guan 开关
'kai'guan'ping 开关屏
'kai'guan'zhan 开关站
'kang'gan'rao'neng'li 抗干扰能力
'kang'zhuang 康庄
'ke'hu'zhong'xin 客户中心
'ke'kao'dong'zuo 可靠动作
'ke'kao'xi'shu 可靠系数
'ke'kao'xing 可靠性
'ke'qing'wa 可倾瓦
'kong'ce 空侧
'kong'dao 空导
'kong'leng 空冷
'kong'qi'kai'guan 空气开关
'kong'qi'wei'dai 空气围带
'kong'xin'dao'xian 空心导线
'kong'ya'ji 空压机
'kong'zai'dian'liu 空载电流
'kong'zai'sun'hao 空载损耗
'kong'zai'yun'xing 空载运行
'kong'zhi'an'niu 控制按钮
'kong'zhi'huan'kong'zhi'shi 控制环控制室
'kong'zhi'kai'guan 控制开关
'kong'zhi'qi 控制器
'kong'zhuan 空转
'ku'rong 库容
'ku'rong'liang 库容量
'kua'bu'dian'ya 跨步电压
'kua'ju 跨距
'kuang'tu 框图
'lang'yong'bao'hu'qi 浪涌保护器
'leng'que'shui'wen'du'biao 冷却水温度表
'li'ci 励磁
'li'ci'dian'liu'zhuan'zi'dian'liu 励磁电流转子电流
'li'ci'ji 励磁机
'li'ci'ji'duan 励磁机端
'li'ci'qi 励磁器
'li'duan 励端
'li'shu'han'shu 隶属函数
'lian'dong'kai'guan 联动开关
'lian'jie'pian 连接片
'lian'suo'jie'chu 联锁解除
'lian'suo'kong'zhi 联锁控制
'lian'xian'ban 连线板
'liang'du'bu'zu 亮度不足
'liang'xiang'hu'gan 两相互感
'liang'xiang'tong'bu 两相同步
'lin'quan 临泉
'ling'min'xing 灵敏性
'ling'xian 零线
'ling'xu'dian'liu 零序电流
'ling'xu'dian'ya 零序电压
'ling'xu'gong'lv 零序功率
'ling'xu'zu'kang 零序阻抗
'liu'cheng 流程
'long'yao 隆尧
'lou'dian 漏电
'lou'dian'duan'lu'qi 漏电断路器
'luo'dian 落点
'lv'pai 铝排
'ma'da 马达
'ma'da'ding'zi 马达定子
'mai'dong 脉动
'mei'xiang'dian'liu 每相电流
'men'kan'zhi 门槛值
'mi'feng'quan 密封圈
'mie'ci'kai'guan 灭磁开关
'mo'hu'gui'ze 模糊规则
'mo'hu'kong'zhi 模糊控制
'mo'hu'shen'jing'wang'luo 模糊神经网络
'mo'hu'tui'li 模糊推理
'mo'hu'tui'li'ju'zhen 模糊推理矩阵
'mu'xian 母线
'nai'ya'xian'quan 耐压线圈
'nan'fang'dian'wang'gong'si 南方电网公司
'nan'gong 南宫
'nei'bu'jie'xian 内部接线
'neng'liang'shu'song 能量输送
'neng'yuan 能源
'nian'tiao'jie 年调节
'ning'jin 宁晋
'nong'wang 农网
'pai'qi'fa 排气阀
'pai'you 排油
'pan'che 盘车
'pei'bian 配变
'pei'dian'xi'tong 配电系统
'pei'dian'xiang 配电箱
'pei'pan 配盘
'pi'pei 匹配
'pian'yi'liang 偏移量
'pin'lv 频率
'pin'lv'bian'zu'qi 频率变阻器
'pin'lv'biao 频率表
'ping'bi 屏蔽
'ping'heng'rao'zu 平衡绕组
'ping'mian'bo 平面波
'qi'dong'qi 起动器
'qi'dong'qi 启动器
'qi'dong'shi'bai'ting'ji 起动失败停机
'qi'duan 汽端
'qi'ta'gu'zhang'xian'shi'ji'shu'ru 其它故障显示及输入
'qi'ti'jue'yuan 气体绝缘
'qi'ye'xiao'yi 企业效益
'qian'fa 千阀
'qian'fu'an 千伏安
'qian'wa 千瓦
'qiang'li 强励
'qiang'xing'li'ci 强行励磁
'qie'ji 切机
'qing'ce 氢侧
'qing'he 清河
'qiu'he'qi 求和器
'qu'nei'gu'zhang 区内故障
'qu'zhou'qi 区周期
'quan'jie'di 全接地
'quan'mian'de 全面地
'que'xian 缺陷
'que'xiang 缺相
'rao'xian'pan 绕线盘
'rao'zu 绕组
're'dian 热电
're'dian'ou 热电偶
're'gong'yi'biao 热工仪表
're'ji'dian'qi 热继电器
're'kong 热控
'ren'li'zi'yuan 人力资源
'ren'zi'la'xian 人字拉线
'ri'guang'deng 日光灯
'ri'guang'deng'guan 日光灯管
'ri'tiao'jie 日调节
'rong'duan'qi 熔断器
'rong'kang 容抗
'rong'liang 容量
'san'gong'kai 三公开
'san'jiao'xing'li'shu'du'han'shu 三角形隶属度函数
'san'ling 三菱
'san'rao'zu'bian'ya'qi 三绕组变压器
'san'xiang 三相
'san'xiang'dian'du'biao 三相电度表
'san'xiang'dian'ya 三相电压
'san'xiang'gu'zhang 三相故障
'san'xiang'jiao'liu 三相交流
'sha'he 沙河
'shan'luo 闪络
'shang'dao 上导
'shang'ji'jia 上机架
'shang'xian 上限
'she'bei 设备
'shen'jing'wang'luo 神经网络
'shen'jing'yuan 神经元
'shen'lou 渗漏
'sheng'kong'kai'guan 声控开关
'sheng'ya'bian'ya'qi 升压变压器
'sheng'ya'zhan 升压站
'sheng'yu'xing'cheng 剩余行程
'shi'ci'bao'hu 失磁保护
'shi'gu'qiang'xiu 事故抢修
'shi'jian'ji'dian'qi 时间继电器
'shi'kong'kai'guan 时控开关
'shi'liu'qi 示流器
'shi'men 石门
'shi'nei'zhao'ming 室内照明
'shi'qu'tong'bu 失去同步
'shi'zhen 失真
'shou'dong'kai'guan 手动开关
'shou'duan 受端
'shou'you'qi 受油器
'shu'chu 输出
'shu'dian 输电
'shu'dian'ju'li 输电距离
'shu'dian'xi'tong 输电系统
'shu'dian'xian 输电线
'shu'dian'xian'lu'gu'zhang 输电线路故障
'shuai'fu'he 甩负荷
'shuang'dian'yuan 双电源
'shuang'fang'kong'zhi 双方控制
'shuang'hui'tong'gan'bing'jia 双回同杆并架
'shuang'lian'kai'guan 双联开关
'shuang'man'yi 双满意
'shuang'rao'zu'bian'ya'qi 双绕组变压器
'shuang'shui'nei'leng 双水内冷
'shui'dao 水导
'shui'dian'pei'dian 水电配电
'shui'dian'she'bei 水电设备
'shui'leng 水冷
'shui'lun'ji 水轮机
'shui'neng'li'yong 水能利用
'shui'qing'qing 水氢氢
'si'dao'hu 四到户
'si'fen'xian'sun 四分线损
'suan'fa 算法
'sun'hao 损耗
'tai'ji 抬机
'tai'zhang 台帐
'te'xing 特性
'ti'gao'xiang'wei 提高相位
'tiao'cha 调差
'tiao'feng 调峰
'tiao'feng'tian'kong 调峰填空
'tiao'jian'xi 调间隙
'tiao'jie 调节
'tiao'jie'qi 调节器
'tiao'jie'yi 调节仪
'tiao'pin 调频
'tiao'su'qi 调速器
'tiao'xiang 调相
'tiao'ya'shi 调压室
'tiao'zha 跳闸
'tiao'zhong'xin 调中心
'tie'sun 铁损
'tie'xin 铁芯
'tie'xin 铁心
'ting'ji 停机
'tong'bu 同步
'tong'bu'yun'xing 同步运行
'tong'dian'ou 铜电偶
'tong'feng'ji 通风机
'tong'pai 铜排
'tong'qi 同期
'tong'sun 铜损
'tong'wang'tong'jia 同网同价
'tong'xiang 同相
'tou'yun 投运
'tui'li'wa 推力瓦
'tui'li'zhou'cheng 推力轴承
'wa'si'bao'hu 瓦斯保护
'wa'te 瓦特
'wa'te'biao 瓦特表
'wa'wen 瓦温
'wan'hao'lv 完好率
'wan'yong'biao 万用表
'wang'duan 王段
'wei'dong'kai'guan 微动开关
'wei'hu 维护
'wei'shui 尾水
'wei'xiu 维修
'wen'ding 稳定
'wen'du'biao 温度表
'wen'kong'yi 温控仪
'wen'sheng'yu'du 温升裕度
'wu'cao'zuo 误操作
'wu'dong'zuo 误动作
'wu'gong 无功
'wu'gong'bu'chang 无功补偿
'wu'gong'dian'liu 无功电流
'wu'gong'fu'zai 无功负载
'wu'gong'gong'lv 无功功率
'wu'gong'sun'hao 无功损耗
'wu'shua'li'ci'ji 无刷励磁机
'wu'tong'yi 五统一
'xi'bei'dian'li'she'ji'yuan 西北电力设计院
'xi'men'zi 西门子
'xi'tong'yun'xing 系统运行
'xi'tong'zhen'dang 系统振荡
'xi'wu 西屋
'xia'ji'jia 下机架
'xia'jiang'lv 下降率
'xia'jiang'te'xing 下降特性
'xia'xian 下限
'xian'gan'qi 线感器
'xian'lu 线路
'xian'lu'bu'chang'qi 线路补偿器
'xian'lu'sun'hao 线路损耗
'xian'sun 线损
'xiang'jian'duan'lu 相间短路
'xiang'jian'yun'suan 相减运算
'xiang'shi'bian'ya'qi 箱式变压器
'xiang'wei'bu'chang 相位补偿
'xiang'wei'bu'tong 相位不同
'xiang'wei'cha 相位差
'xiang'wei'chao'qian 相位超前
'xiang'wei'shi'zhen 相位失真
'xiang'wei'yi 相位移
'xiao'biao'yi 校表仪
'xiao'bo'bian'huan 小波变换
'xiao'hu 消弧
'xiao'hu'xian'quan 消弧线圈
'xiao'shou 销售
'xiao'shui'dian 小水电
'xiao'xing'duan'lu'qi 小型断路器
'xie'bo'dian'liu 谐波电流
'xie'bo'dian'ya 谐波电压
'xie'hong 泻洪
'xie'lian 协联
'xie'lv 斜率
'xie'zai 泻载
'xin'cheng 新城
'xin'hao'an'niu 信号按钮
'xin'hao'deng 信号灯
'xing'bo 行波
'xing'bo'bao'hu 行波保护
'xing'bo'ji'dian'qi 行波继电器
'xing'bo'xin'hao 行波信号
'xing'cheng'kai'guan 行程开关
'xing'cheng'kong'zhi 行程控制
'xing'tai'gong'dian'gong'si 邢台供电公司
'xing'tai'gong'dian'gong'si 形台供电公司
'xing'xing'jie'xian 星形接线
'xiu'gai'de 修改的
'xu'dian'chi 蓄电池
'xuan'xian'hua 选线化
'xuan'ze'qi 选择器
'xue'bao 学报
'ya'li'biao 压力表
'ya'li'you'guan 压力油罐
'yan'chi'bian'huan 延迟变换
'yan'chi'shi'jian 延迟时间
'yan'dian'qi 验电器
'yan'jiu'fang'xiang 研究方向
'yang'ben'ji'he 样本集合
'yang'ben'kong'jian 样本空间
'yang'fan 羊范
'yao'bai 摇摆
'yao'ce 遥测
'yao'gan 遥感
'yao'gan'duan'lu 遥感短路
'yao'xin 遥信
'ye'kuo 业扩
'yi'biao 仪表
'yi'biao'pan 仪表盘
'yi'ci'hui'lu 一次回路
'yi'ci'xi'tong'tu 一次系统图
'yi'kou'dui'wai 一口对外
'yi'wei'fa 一微法
'yi'xiang'mu'xian 移相母线
'yin'feng'ji 引风机
'ying'guang'deng 荧光灯
'ying'ji'deng 应急灯
'yong'dian'xu'qiu'guan'li 用电需求管理
'you'gong 有功
'you'gong'biao 有功表
'you'gong'fu'he 有功负荷
'you'gong'fu'zai 有功负载
'you'gong'gong'lv 有功功率
'you'gong'sun'hao 有功损耗
'you'leng 油冷
'you'zai'dian'ya 有载电压
'you'zhi 优质
'yu'du 裕度
'yu'fu'fei'dian'du'biao 预付费电度表
'yun'mu 云母
'yun'mu'pian 云母片
'yun'xing 运行
'yun'xing'zhuan'su 运行转速
'za'jian'duan'lu 匝间短路
'zan'tai'fen'liang 暂态分量
'zan'tai'wen'ding 暂态稳定
'zan'tai'xing'bo 暂态行波
'zha'dao'kai'guan 闸刀开关
'zhao'ming 照明
'zhao'wa 兆瓦
'zhe'rong'dian'li 柘荣电力
'zhen'cheng 真诚
'zheng'ding 整定
'zheng'ding'zu'kang 整定阻抗
'zheng'ji 正极
'zheng'liu 整流
'zheng'liu'qi 整流器
'zheng'xu'zu'kang 正序阻抗
'zheng'zhi 正值
'zhi'ban'gong 值班工
'zhi'dong 制动
'zhi'dong'hui'lu 制动回路
'zhi'ling 指令
'zhi'liu 直流
'zhi'liu'dian'kang'qi 直流电抗器
'zhi'liu'ping 直流屏
'zhi'lu 支路
'zhi'xing'hui'lu 执行回路
'zhong'dian'tou'ji'tuan'gong'si 中电投集团公司
'zhong'diao'di'tiao 中调地调
'zhong'guo'da'tang'ji'tuan'gong'si 中国大唐集团公司
'zhong'guo'dian'li 中国电力
'zhong'jian'chou'tou 中间抽头
'zhong'jian'ji'dian'qi 中间继电器
'zhong'kong'shi 中控室
'zhong'xian'dian'liu 中线电流
'zhong'xin'huan 中心环
'zhong'xing'dian 中性点
'zhong'ya 中压
'zhou'bo 周波
'zhou'cheng 轴承
'zhou'qi'biao 周期表
'zhou'wa 轴瓦
'zhu'bao'hu 主保护
'zhu'bian 主变
'zhu'hai'gong'dian'ju 珠海供电局
'zhu'ling'kai'guan 主令开关
'zhu'shang'bian'ya'qi 柱上变压器
'zhu'shang'kai'guan 柱上开关
'zhu'yong 主用
'zhuan'cha'lv 转差率
'zhuan'huan 转换
'zhuan'huan'kai'guan 转换开关
'zhuan'huan'qi 转换器
'zhuan'lun 转轮
'zhuan'su 转速
'zhuan'zi 转子
'zhuan'zi'dian'shu 转子电枢
'zhuang'ji'rong'liang 装机容量
'zhun'que'du 准确度
'zhun'tong'qi 准同期
'zi'bao'chi 自保持
'zi'dong'kai'guan 自动开关
'zi'dong'tiao'pin 自动调频
'zi'gan 自感
'zi'shi'ying'kong'zhi'fang'fa 自适应控制方法
'zi'shi'ying'xi'tong 自适应系统
'zi'xi'tong 子系统
'zi'xue'xi'gong'neng 自学习功能
'zong'zhuang'ji 总装机
'zu'he'fa 组合阀
'zu'he'guan 组合管
'zu'he'kai'guan 组合开关
'zu'kang 阻抗
'zu'kang'pi'pei 阻抗匹配
'zu'ni 阻尼
'zui'di'dian'liu 最低电流
'zui'di'dian'ya 最低电压
'zui'gao'dian'liu 最高电流
'zui'gao'dian'ya 最高电压
