'ai'san'ba 艾三把
'bing'sui'da'xiao'bian'qu 病随大小便去
'bing'sui'yu 病虽愈
'bing'tan'yin'zhe 病痰饮者
'bing'xia'li'hou 病下利后
'bing'xing'ru'chu'zhe 病形如初者
'bing'xuan'yin'zhe 病悬饮者
'bing'yi'yin'zhe 病溢饮者
'bing'you'ben'tun 病有奔豚
'bing'you'dou'jin 病由都尽
'bing'you'ji'dang'jiu'li'jiu'biao'zhe 病有急当救里救表者
'bing'you'ji'you'ju'you'xin'qi 病有积有聚有馨气
'bing'zai'ge'shang'zhe'tu'nong'xue 病在膈上者吐脓血
'bing'zai'tou'zhong'han'shi 病在头中寒湿
'bing'zai'wai'zhe'ke'zhi 病在外者可治
'bing'ze'wu'you'ru'qi'cou'li 病则无由入其腠理
'bing'zhe 病者
'bing'zhe'dan'xia'zhong 病者但下重
'bing'zhe'fu'man 病者腹满
'bing'zhe'ku'shui 病者苦水
'bing'zhe'mai'fu 病者脉伏
'bing'zhe'mai'shu 病者脉数
'bing'zhe'ru're'zhuang 病者如热状
'bing'zhe'su'bu'ying'shi 病者素不应食
'bing'zhe'wei'huang 病者痿黄
'bing'zhe'yi'shen'jin'teng 病者一身尽疼
'bing'zhi'dan'fu'bu'de'wo 并治但伏不得卧
'bing'zhi'fu'ren'chan'hou'qu'xue'zhe'ji'lao'ren'xiao'er 并治妇人产后去血者及老人小儿
'bing'zhi'fu'zhong'han'shan'xu'lao'bu'zu 并治腹中寒疝虚劳不足
'bing'zhu'yong'nong 并主痈脓
'bo'fu'ji 薄覆脊
'bo'mu'ji'fa 薄暮即发
'bu'bu'zu 补不足
'bu'cha 不差
'bu'chong'zhe 不冲者
'bu'chu'bai'ri 不出百日
'bu'chu'she'zhe 不出舌者
'bu'da'bian 不大便
'bu'de'jie'sheng 不得截绳
'bu'de'leng'shui'xi'zhe'shen 不得冷水洗着身
'bu'de'mian 不得眠
'bu'de'ni 不得溺
'bu'de'wo 不得卧
'bu'de'wo'zhe 不得卧者
'bu'de'xiao'bian 不得小便
'bu'de'yin'leng'shui 不得饮冷水
'bu'de'zhuan'ce 不得转侧
'bu'e'feng 不恶风
'bu'e'feng'zhe 不恶风者
'bu'han 不汗
'bu'han'geng'fu 不汗更服
'bu'jie'shi'pi 不解实脾
'bu'jing'tu'xia'fa'han 不经吐下发汗
'bu'ke 不渴
'bu'ke'chu're 不可除热
'bu'ke'fa'han 不可发汗
'bu'ke'he'quan'rou'shi'zhi 不可合犬肉食之
'bu'ke'jiu 不可救
'bu'ke'ni'ji'che'gang 不可泥及车缸
'bu'ke'qu'shen 不可屈伸
'bu'ke're'yin 不可热饮
'bu'ke'shi 不可食
'bu'ke'shi'de'leng 不可使得冷
'bu'ke'shi'tu'rou'shan'yang'rou'ji'bie'ji'ya 不可食兔肉山羊肉及鳖鸡鸭
'bu'ke'shi'zhi 不可食之
'bu'ke'xia'ye 不可下也
'bu'ke'yi'ri'zai'fu 不可一日再服
'bu'ke'yi'si'qi'ru'gan 不可以死气入肝
'bu'ke'yin'zhi 不可饮之
'bu'ke'zhe 不渴者
'bu'ke'zhi 不可治
'bu'kou'fu 不口父
'bu'li'ren 不利人
'bu'ling'xie'feng'gan'chu'jing'luo 不令邪风干杵经络
'bu'man'zhe'bi'bian'nan 不满者必便难
'bu'neng'qi 不能起
'bu'neng'que 不能却
'bu'neng'shi 不能食
'bu'neng'shi'yin 不能食饮
'bu'neng'xiao'gu 不能消谷
'bu'neng'zi'jin'zhi 不能自禁制
'bu'neng'zi'zhuan'ce 不能自转侧
'bu'ou'bu'ke 不呕不渴
'bu'qi'jia'ban'xia'san'liang 补气加半夏三两
'bu're'zhe'wei'wu'nong 不热者为无脓
'bu'shi 不食
'bu'tu'zhe 不吐者
'bu'wen'xiang'chou'suan'xin 不闻香臭酸辛
'bu'xia'zhe 不下者
'bu'xian'tiao'she 不闲调摄
'bu'xiao 不消
'bu'xu'chuo'zhou 不须啜粥
'bu'xu'zhi 不须治
'bu'yi'xing'ti'you'shuai 不遗形体有衰
'bu'yin'jiu 不饮酒
'bu'yong'suan 补用酸
'bu'yu'yan 不欲咽
'bu'yu'yin'shi 不欲饮食
'bu'yue'san'tiao 不越三条
'bu'zai'qi'zhong 不在其中
'bu'zhi 不治
'bu'zhi 不知
'bu'zhi'shi'he'bing'fang 不知是何病方
'bu'zhi'shi'wei 不知食味
'bu'zhi'wu'wei 不知五味
'bu'zu'si 不卒死
'cai'zhong'you'shui'lang'dang 菜中有水莨菪
'cang'bing'ye 藏病也
'cang'jian'pi'bu'zhi 藏坚癖不止
'ceng'jing'ban'chan 曾经半产
'cha'ji'zhi 差即止
'chai'hu 柴胡
'chai'hu'ba'liang 柴胡八两
'chai'hu'ban'jin 柴胡半斤
'chai'hu'jiang'gui'tang 柴胡姜桂汤
'chai'hu'liu'fen 柴胡六分
'chai'hu'qu'ban'xia'jia'gua'lou'tang 柴胡去半夏加栝蒌汤
'chai'hu'si'liang 柴胡四两
'chan'fu'fu'tong 产妇腹痛
'chan'fu'yu'mao 产妇郁冒
'chan'hou 产后
'chan'hou'bai'bing'xi'zhu'zhi 产后百病悉主之
'chan'hou'feng 产后风
'chan'hou'fu'tong 产后腹痛
'chan'hou'qi'ba'ri 产后七八日
'chan'hou'xia'li'xu'ji 产后下利虚极
'chan'hou'yi'ke'fu 产后亦可服
'chan'hou'yi'yue'ri 产后一月日
'chang'fu'he'li'le'wan'fang 长服诃黎勒丸方
'chang'mo'mo 常默默
'chang'pu'xie 菖蒲屑
'chang'xian'xian'wu'zong'zhi 常弦弦勿纵之
'chang'yi'leng'shi 常宜冷食
'chang'yong'zhe 肠痈者
'chang'yong'zhi'wei'bing 肠痈之为病
'chao'shi'yun 巢氏云
'che'tong'bu'de'shen'qu 掣痛不得伸屈
'chen'fu'xiang'bo 沉伏相搏
'chen'ji'wei'shen 沉即为肾
'chen'ji'zhu'gu 沉即主骨
'chen'jin'xiang'bo 沉紧相搏
'chen'pi 陈皮
'chen'pi'wu'fen 陈皮五分
'chen'wei'shui 沉为水
'chen'xian'zhe'xian'xia'zhi 沉弦者先下之
'chen'yi'deng'xiao'qing'ben'wu'jiao'jiang'tang'fang 臣亿等校请本无胶姜汤方
'chen'yi'deng'xiao'zhu'ben'zu'fu'hua'tang'fang 臣亿等校诸本族复花汤方
'chen'ze'mai'luo'xu 沉则脉络虚
'chen'ze'wei'shi 沉则为实
'chen'ze'wei'shui 沉则为水
'chen'zhe'si 沉者死
'cheng'e'xie'bing 成恶邪病
'cheng'huo'luan 成霍乱
'cheng'jia'bing 成瘕病
'cheng'qing'zhi 澄清汁
'cheng'zou'zhu 成走疰
'chi'bu'he'zhe 翅不合者
'chi'ji'wei'lao 迟即为劳
'chi'mai'fu'wei'shang'shen 尺脉浮为伤肾
'chi'mai'wei 尺脉微
'chi'mai'ze'qian 迟脉则潜
'chi'nong'zhu'zhi'yin'zhi 豉浓煮汁饮之
'chi'shi'zhi 赤石脂
'chi'shi'zhi'yi'liang'yi'fa'er'fen 赤石脂一两一法二分
'chi'wan'fang 赤丸方
'chi'wan'zhu'zhi 赤丸主之
'chi'xiao'dou'dang'gui'san'fang 赤小豆当归散方
'chi'xiao'dou'dang'gui'san'zhu'zhi 赤小豆当归散主之
'chi'xiao'dou'san'sheng'jin 赤小豆三升浸
'chi'xiao'dou'yi'fen'zhu 赤小豆一分煮
'chi'xiao'shi'er'fen 赤硝十二分
'chi'yi'sheng 豉一升
'chi'ze'wei'han 迟则为寒
'chi'zhong 尺中
'chi'zhong'xiao'jin 尺中小紧
'chi'zhong'yi'wei'er'se 尺中亦微而涩
'chong'fu'han'chu 重复汗出
'chong'qi'fu'fa'zhe 冲气复发者
'chong'qi'ji'di 冲气即低
'chong'yi'shi'zhi'zhe 虫蚁食之者
'chou'yu 臭鱼
'chu'de'zhi'san'si'ri 初得之三四日
'chu'fu'de'wei'han'ze'jie 初服得微汗则解
'chu'fu'er'he 初服二合
'chu'fu'er'shi'ri 初服二十日
'chu'fu'wei'fan 初服微烦
'chu'gui 除桂
'chu'jian'you'tou'zu 出见有头足
'chu'mo 杵末
'chu'qi'shui 出其水
'chu're'fang 除热方
'chu're'tan'xian 除热瘫癎
'chu'wei'san 杵为散
'chuan'bu'de'wo 喘不得卧
'chuan'er'tou'tong 喘而头痛
'chuan'er'zao'zhe 喘而躁者
'chuan'jiao'san'fen'chu'mu'ji'bi'kou'zhe 川椒三分除目及闭口者
'chuan'jiao'si'liang'qu'han 川椒四两去汗
'chuan'ming'po'sai 喘鸣迫塞
'chuan'wu'wu'mei'kou'fu 川乌五枚口父
'chuan'xi'ke'tuo 喘息咳唾
'chuan'zhe'jia'ma'huang'ban'liang 喘者加麻黄半两
'chuang'jia 疮家
'chuang'yong'chang'yong'jin'yin'bing'mai'zheng'bing'zhi'shi'ba 疮痈肠痈浸淫病脉证并治十八
'chui'ling'sui 搥令碎
'chui'zao'jia'mo'bi'zhong 吹皂荚末鼻中
'chun'bu'shi'gan 春不食肝
'chun'bu'shi'gan'zhe 春不食肝者
'chun'duo'bing 莼多病
'chun'kou'gan'zao 唇口干燥
'chun'kou'qing 唇口青
'chun'qiu'er'shi 春秋二时
'chun'san'yue'jia'zhi'shi 春三月加枳实
'chun'wei'she'qing 唇痿舌青
'chun'xia'ju 春夏剧
'chun'yue'yong'shui'zhu'zhi 春月用水煮之
'chuo're'zhou'fa'zhi 啜热粥发之
'ci'bing'shang'yu'han'chu'dang'feng 此病伤于汗出当风
'ci'bing'shu'dai'xia 此病属带下
'ci'chang'jian'you'shui'qi 此肠间有水气
'ci'e'lu'bu'jin 此恶露不尽
'ci'fa'dang'bing'shui 此法当病水
'ci'fa'zui'shan 此法最善
'ci'gu'qi'zhi'shi'ye 此谷气之实也
'ci'han'ye 此寒也
'ci'jie'dai'xia 此皆带下
'ci'jie'nan'zhi 此皆难治
'ci'jie'wei'zheng'jia 此结为症瘕
'ci'jie'yin'jiu'han'chu'dang'feng'suo'zhi 此皆饮酒汗出当风所致
'ci'jin'xue'ye 此近血也
'ci'lao'qi'ye 此劳气也
'ci'ming'shi'bi'yu'han'yun'zhong'shi 此名湿痹玉函云中湿
'ci'ming'wei'ge 此名为革
'ci'ming'yue'ge 此名曰革
'ci'ming'zhuan'bao'bu'de'ni'ye 此名转胞不得溺也
'ci'nv'lao'zhi'bing 此女劳之病
'ci'ren'du'zhong'han'yi'yun'tong 此人肚中寒一云痛
'ci'ren'shen'ti'mu'run 此人身体目闰
'ci'shu'li'jie 此属历节
'ci'shu'yin'jia 此属饮家
'ci'shui'ye 此水也
'ci'si'bu'bing 此四部病
'ci'tai'yang'jing'shang'ye 此太阳经伤也
'ci'tang'zhu'zhi 此汤主之
'ci'wang'jin'ye 此亡津液
'ci'wei'bi 此为痹
'ci'wei'biao'he'li'shi 此为表和里实
'ci'wei'cang'han 此为藏寒
'ci'wei'dao'lu'qiong 此谓道路穷
'ci'wei'fei'yong 此为肺痈
'ci'wei'fei'zhang 此为肺胀
'ci'wei'fei'zhong'leng 此为肺中冷
'ci'wei'feng'shui 此为风水
'ci'wei'fu'nei'you'yong'nong 此为腹内有痈脓
'ci'wei'fu'zhong'you'gan'xue'zhe'qi'xia 此为腹中有干血着脐下
'ci'wei'han 此为寒
'ci'wei'huang'han 此为黄汗
'ci'wei'ji'xu 此为极虚
'ci'wei'jing 此为痉
'ci'wei'lao'shi'zhi'ran 此为劳使之然
'ci'wei'liu'yin'yu'qu'gu'ye 此为留饮欲去故也
'ci'wei'mo'zhi'er'zhi'ye 此为末至而至也
'ci'wei'ni 此为逆
'ci'wei'nv'lao'de'zhi 此为女劳得之
'ci'wei'pi'shui 此为皮水
'ci'wei'pi'zhang 此为脾胀
'ci'wei're'ru'xue'shi 此为热入血室
'ci'wei're'ru'xue'shi'ye 此为热入血室也
'ci'wei'shi'ye 此为实也
'ci'wei'shui'yu'xue'ju'jie'zai'xue'shi'ye 此为水与血俱结在血室也
'ci'wei'wei're'shang'chong'xun'qi'mian 此为胃热上冲熏其面
'ci'wei'wei'shi 此为胃实
'ci'wei'xin'cang'shang'suo'zhi'ye 此为心藏伤所致也
'ci'wei'yin'zhuang 此为阴状
'ci'wei'you'yang'wu'yin 此为有阳无阴
'ci'wei'zhi'er'bu'qu'ye 此为至而不去也
'ci'wei'zhi'er'tai'guo'ye 此为至而太过也
'ci'wei'zu'jue 此为卒厥
'ci'xia'da'huang 次下大黄
'ci'xian'fu'xiao'qing'long'tang'yi'ji 此先服小青龙汤一剂
'ci'xin'qi'shi 此心气实
'ci'xu'han'cong'xia'shang'ye 此虚寒从下上也
'ci'yi'fu'yue'shang'leng'shui 此以复月伤冷水
'ci'yi'wei'ni 此亦为逆
'ci'yin'ji'yin'guo'du'suo'zhi'ye 此因极饮过度所致也
'ci'you'su'shi 此有宿食
'ci'yu'zuo'gu'dan 此欲作谷疸
'ci'yu'zuo'shui 此欲作水
'ci'yuan'xue'ye 此远血也
'ci'yue'duan 刺月端
'ci'zhi'gan'bu'pi'zhi'yao'miao'ye 此治肝补脾之要妙也
'cong'chun'zhi'xia 从春至夏
'cong'jiu'chu'sheng'ya'zhe 葱韭初生芽者
'cong'kou'liu'xiang'si'zhi'zhe 从口流向四肢者
'cong'kou'qi'liu'xiang'si'zhi'zhe'ke'zhi 从口起流向四肢者可治
'cong'kou'ru'zhe 从口入者
'cong'qiu'zhi'dong 从秋至冬
'cong'shao'fu'qi 从少腹起
'cong'shi'de'zhi 从湿得之
'cong'shi'si'jing 葱十四茎
'cong'si'zhi'liu'lai'ren'kou'lao 从四肢流来人口老
'cong'si'zhi'liu'lai'ru'kou'zhe'bu'ke'zhi 从四肢流来入口者不可治
'cong'tou'zhi'zu 从头至足
'cong'yao'xia'ru'bing 从腰下如冰
'cong'yao'yi'shang'wei'he 从腰以上为和
'cong'yao'yi'xia'zhong 从腰以下重
'cou'li'kai 腠理开
'cou'zhe 腠者
'cu'he'lao'shi'zhi 醋合酪食之
'cu'shai 粗筛
'cui'shi'ba'wei'wan 崔氏八味丸
'cun'kou'chen'er'jin 寸口沉而紧
'cun'kou'guan'shang'wei 寸口关上微
'cun'kou'ji'zai'xiong'zhong 寸口积在胸中
'cun'kou'mai'chen'er'chi 寸口脉沉而迟
'cun'kou'mai'chen'er'ruo 寸口脉沉而弱
'cun'kou'mai'chen'hua'zhe 寸口脉沉滑者
'cun'kou'mai'chi'er'huan 寸口脉迟而缓
'cun'kou'mai'chi'er'se 寸口脉迟而涩
'cun'kou'mai'dong'er'ruo 寸口脉动而弱
'cun'kou'mai'dong'zhe 寸口脉动者
'cun'kou'mai'fu'er'chi 寸口脉浮而迟
'cun'kou'mai'fu'er'da 寸口脉浮而大
'cun'kou'mai'fu'er'huan 寸口脉浮而缓
'cun'kou'mai'fu'er'jin 寸口脉浮而紧
'cun'kou'mai'fu'wei'er'se 寸口脉浮微而涩
'cun'kou'mai'shu 寸口脉数
'cun'kou'mai'wei'er'shu 寸口脉微而数
'cun'kou'mai'xian'er'da 寸口脉弦而大
'cun'kou'mai'xian'er'jin 寸口脉弦而紧
'cun'kou'mai'xian'zhe 寸口脉弦者
'cun'mai'chen 寸脉沉
'cun'mai'chen'da'er'hua 寸脉沉大而滑
'da'bian'bi'hei 大便必黑
'da'bian'bi'jian 大便必坚
'da'bian'bu'tong 大便不通
'da'bian'dang'ru'qi 大便当如漆
'da'bian'fan'jian 大便反坚
'da'bian'fan'kuai 大便反快
'da'bian'jian 大便坚
'da'bian'ze'jian 大便则坚
'da'bian'zheng'hei 大便正黑
'da'chai'hu'tang'fang 大柴胡汤方
'da'chang'you'han'zhe 大肠有寒者
'da'cheng'qi'tang'fang 大承气汤方
'da'cheng'qi'tang'fang'jian'qian'jing'bing'zhong 大承气汤方见前痉病中
'da'cheng'qi'tang'zhu'zhi 大承气汤主之
'da'chuang'dan'fu'zhi 大疮但服之
'da'dou'er'qi'li 大豆二七粒
'da'dou'nong'jian'zhi'yin'zhi 大豆浓煎汁饮之
'da'dou'nong'zhu'zhi 大豆浓煮汁
'da'dou'zhu'zhi 大豆煮汁
'da'fu'bing'lang'si'mei'bing'pi'zi'yong 大腹槟榔四枚并皮子用
'da'fu'zi'shi'mei'pao 大附子十枚炮
'da'fu'zi'yi'mei'pao 大附子一枚炮
'da'han'chu'zhe'yu 大汗出者愈
'da'huang 大黄
'da'huang'er'liang 大黄二两
'da'huang'fu'zi'tang'fang 大黄附子汤方
'da'huang'gan'sui'tang'fang 大黄甘遂汤方
'da'huang'gan'sui'tang'zhu'zhi 大黄甘遂汤主之
'da'huang'liu'liang 大黄六两
'da'huang'mu'dan'tang'fang 大黄牡丹汤方
'da'huang'mu'dan'tang'zhu'zhi 大黄牡丹汤主之
'da'huang'san'fen 大黄三分
'da'huang'san'liang 大黄三两
'da'huang'shi'fen'zheng 大黄十分蒸
'da'huang'si'liang 大黄四两
'da'huang'si'liang'jiu'xi 大黄四两酒洗
'da'huang'xiao'shi'tang'fang 大黄硝石汤方
'da'huang'yi'jin 大黄一斤
'da'huang'yi'liang 大黄一两
'da'huang'zhe'chong'wan'fang 大黄蟅虫丸方
'da'huang'zhe'chong'wan'zhu'zhi 大黄蟅虫丸主之
'da'ji 大忌
'da'ji'ge'deng'fen 大戟各等分
'da'ji'yi'fen 大戟一分
'da'jian'zhong'tang'fang 大建中汤方
'da'jian'zhong'tang'zhu'zhi 大建中汤主之
'da'mai'jiu'shi 大麦久食
'da'mai'zhou'fu'zhi 大麦粥服之
'da'qi'yi'zhuan 大气一转
'da'qing'long'tang'fang 大青龙汤方
'da'qing'long'tang'zhu'zhi 大青龙汤主之
'da'wu'tou'jian'fang 大乌头煎方
'da'wu'tou'jian'zhu'zhi 大乌头煎主之
'da'xie'zhong'biao 大邪中表
'da'yan 大验
'da'yin'dang'yang'bu'yang 大阴当养不养
'da'yue 答曰
'da'zao'bai'mei'wei'gao 大枣百枚为膏
'da'zao'liu'mei 大枣六枚
'da'zao'qi'mei 大枣七枚
'da'zao'san'shi'mei 大枣三十枚
'da'zao'shi'er'mei 大枣十二枚
