'ai'bian'sha 矮扁莎
'bai'hua'di'dan'cao 白花地胆草
'bai'hua'han'xiao 白花含笑
'bai'hua'hao 白花蒿
'bai'hua'long'chuan'hua 白花龙船花
'bai'hua'man'tuo'luo 白花曼陀罗
'bai'hua'she'she'cao 白花蛇舌草
'bai'hua'suan'teng'zi 白花酸藤子
'bai'hua'suo'cao 白花莎草
'bai'hua'xian 白花苋
'bai'hua'yi'mu'cao 白花益母草
'bai'hua'yu'teng 白花鱼藤
'bai'jiang'guo'xian 白浆果苋
'bai'jie'sai'jue'chuang 百节赛爵床
'bai'jin 稗荩
'bai'jin'hua 百金花
'bai'la'mu 柏拉木
'bai'le'hua 白簕花
'bai'le'hua 百簕花
'bai'li'gong 白梨公
'bai'lian'ye'tong 白莲叶桐
'bai'ma'gu 白马骨
'bai'ma'yin'hua 白马银花
'bai'mao 白茅
'bai'mao'zi'lian'shu 白毛子楝树
'bai'mao'zi'zhu 白毛紫珠
'bai'mian'mao'lan 白绵毛兰
'bai'mu'xiang 白木香
'bai'neng'wei 百能葳
'bai'niu'dan 白牛胆
'bai'pi'suo'xin 白皮索馨
'bai'qiu 白楸
'bai'ri'qing 百日青
'bai'rui'cao 百蕊草
'bai'sha'tan 白沙檀
'bai'shu 白树
'bai'shu'gen 白薯茛
'bai'shu'wei'mao 白树卫矛
'bai'shui'teng 白水藤
'bai'si'cao 白丝草
'bai'sui'biao'cao 百穗藨草
'bai'teng 白藤
'bai'tong'shu 白桐树
'bai'yan'shu 白颜树
'bai'yang'cao 白羊草
'bai'yao'gu'jing'cao 白药谷精草
'bai'ye'gao'shu 白野稿树
'bai'ye'gua'fu'mu 白叶瓜馥木
'bai'ye'teng 白叶藤
'bai'zhi'li'lan 白枝李榄
'bai'zhi'qing'gang 白枝青冈
'bai'zhi'yang'ti'jia 白枝羊蹄甲
'bai'zhu'shu 白珠树
'bai'zi'cao 白子草
'bai'zu'teng 百足藤
'ban'bian'lian 半边莲
'ban'bo'teng 斑驳藤
'ban'feng'he 半枫荷
'ban'mao 斑茅
'ban'pi'ji'yu'yao 斑皮鲫鱼腰
'ban'ye'zhu'sha'gen 斑叶朱砂根
'ban'zhi'lian 半枝莲
'ban'zhu'mao'lan 半柱毛兰
'bang'bing'hua 棒柄花
'bang'chui'gua 棒锤瓜
'bang'hua'pu'tao 棒花蒲桃
'bang'ju'xia'ji'lan 棒距虾脊兰
'bao'duo'cao 宝铎草
'bao'jin 宝巾
'bao'jing'bo'qia 抱茎菠葜
'bao'jing'duan'rui'cha 抱茎短蕊茶
'bao'ting'cha'zhu'hua 保亭叉柱花
'bao'ting'chui'guo'teng 保亭槌果藤
'bao'ting'dong'qing 保亭冬青
'bao'ting'ge'na'xiang 保亭哥纳香
'bao'ting'hua 保亭花
'bao'ting'qiong'nan 保亭琼楠
'bao'ting'qiu'hai'tang 保亭秋海棠
'bao'ting'rong 保亭榕
'bao'ting'shan'teng 保亭鳝藤
'bao'ting'shi 保亭柿
'bao'ting'shu'can 保亭树参
'bao'ting'suo'luo 保亭梭罗
'bao'ting'xin'mu'jiang'zi 保亭新木姜子
'bao'ting'yang'er'suan 保亭羊耳蒜
'bao'ting'zi'jin'niu 保亭紫金牛
'bao'ye'mu 苞叶木
'bao'zi'cao 苞子草
'bei 杯
'bei'e'sang 杯萼桑
'bei'ke'yan'zao 贝克盐藻
'bei'ke'ye'bi'qi 贝壳叶荸荠
'bei'mei'cai 北美菜
'bei'mei'du'xing'cai 北美独行菜
'bei'xian 杯苋
'ben'le'mu 本勒木
'bi'cao 弊草
'bi'cao 笔草
'bi'guan'rong 笔管榕
'bi'hua'er'cao 闭花耳草
'bi'hua'mu 闭花木
'bi'hua'xian'zhu'lan 蔽花线柱兰
'bi'ma 蓖麻
'bi'qiao'jiang 闭鞘姜
'bi'wang'hua 碧王花
'bian'dan'teng 扁担藤
'bian'fu'cao 蝙蝠草
'bian'guo'teng 扁果藤
'bian'hong'she'gen'cao 变红蛇根草
'bian'hua'juan'ban'lan 鞭花卷瓣兰
'bian'jing'tai'cao 扁茎苔草
'bian'qiao'piao'fu'cao 扁鞘飘拂草
'bian'se'shan'bing'lang 变色山槟榔
'bian'shuo'ju'tai 扁蒴苣苔
'bian'shuo'teng 扁蒴藤
'bian'sui'niu'bian'cao 扁穗牛鞭草
'bian'sui'suo'cao 扁穗莎草
'bian'xu'kuo'rui'lan 鞭须阔蕊兰
'bian'ye'ge'ju'lan 鞭叶隔距兰
'bian'ye'rong 变叶榕
'bian'ye'shu'can 变叶树参
'bian'zhi'hu'ji'sheng 扁枝槲寄生
'bin'hai'bai'rong'cao 滨海白绒草
'bin'hai'qi 滨海槭
'bin'lang'qing 摈榔青
'bin'mu'huan 滨木患
'bin'mu'lan 滨木蓝
'bin'mu'xi'lan 滨木犀榄
'bin'yu'rui 滨玉蕊
'bing'chun'lan 柄唇兰
'bing'guo'hu'ji'sheng 柄果槲寄生
'bing'guo'mu 柄果木
'bing'guo'shi'li 柄果石栎
'bing'guo'ya'pa'teng 柄果崖爬藤
'bing'lang'qing'gang 槟榔青冈
'bing'xian'shan'bian'dou 柄腺山扁豆
'bo'ban'jie'jie'cai 薄瓣节节菜
'bo'chi'mian'er'feng 波齿免耳风
'bo'guo'cao 薄果草
'bo'li'rong 舶梨榕
'bo'ye'hong'hou'ke 薄叶红厚壳
'bo'ye'hou'er'huan 薄叶猴耳环
'bo'ye'long'chuan'hua 薄叶龙船花
'bo'ye'shan'fan 薄叶山矾
'bo'ye'shu'li 薄叶鼠李
'bo'yuan'dong'qing 波缘冬青
'bo'yuan'leng'shui'hua 波缘冷水花
'bu'hua'dong'ye 步花冬叶
'bu'hua'piao'fu'cao 步花飘拂草
'bu'hua'yao'gu'teng 步花腰骨藤
'bu'xue'cao 补血草
'bu'ye'shui'zhu'cao 步叶水竹草
'cang'bai'cheng'gou'feng 苍白秤钩风
'cang'er 苍耳
'cang'ye'hong'dou 苍叶红豆
'cang'ye'shou'gong'mu 苍叶守宫木
'cao'ci'zao 草茨藻
'cao'dian'gua'lou 糙点栝楼
'cao'dou'kou 草豆蔻
'cao'guo'bian'sha 槽果扁莎
'cao'guo'you'cha 糙果油茶
'cao'hai'tong 草海桐
'cao'hu'jiao 草胡椒
'cao'long 草龙
'cao'mu'jin 草木槿
'cao'shan'hu 草珊瑚
'cao'ye'ban'jiu'ju 糙叶斑鸠菊
'cao'ye'cha'zhu'hua 糙叶叉柱花
'cao'ye'shan'lan 糙叶山蓝
'ce'hua'biao'cao 侧花藨草
'ce'xu'chang'bing'shan'ma'huang 侧序长柄山蚂蟥
'ce'zhu 箣竹
'cha'gao'nan 茶槁楠
'cha'mei 茶梅
'cha'meng 檫檬
'cha'zhu'hua 叉柱花
'chai'long'shu 柴龙树
'chai'pi'zhang 豺皮樟
'chai'zi'gu 钗子股
'chan'gao'mu'jiang 潺槁木姜
'chan'yi'teng 蝉翼藤
'chang'ban'ci'gu 长瓣慈菇
'chang'bao'shi 长苞柿
'chang'bao'zi'zhu 长苞紫珠
'chang'bing'ai'na'xiang 长柄艾纳香
'chang'bing'chi'che 长柄赤车
'chang'bing'dong'qing 长柄冬青
'chang'bing'dou'kou 长柄豆蔻
'chang'bing'du'ruo 长柄杜若
'chang'bing'du'ying 长柄杜英
'chang'bing'gua'fu'mu 长柄瓜馥木
'chang'bing'guo'piao'fu'cao 长柄果飘拂草
'chang'bing'he'guo'ben 长柄核果本
'chang'bing'jia 长柄荚
'chang'bing'qi'san'hua 长柄歧伞花
'chang'bing'qiong'nan 长柄琼楠
'chang'bing'shan'long'yan 长柄山龙眼
'chang'bing'shu'li 长柄鼠李
'chang'bing'suo'luo 长柄梭罗
'chang'bing'tu'er'feng 长柄兔耳风
'chang'bing'wei'mao 长柄卫矛
'chang'bing'ye'bian'dou 长柄野扁豆
'chang'bing'yin'ye'shu 长柄银叶树
'chang'e'cu'ye'mu 长萼粗叶木
'chang'e'gua'lou 长萼栝楼
'chang'e'jin'cai 长萼堇菜
'chang'e'luo'san'shu 长萼罗伞树
'chang'e'ma'zui'mu 长萼马醉木
'chang'e'shi'zhu 长萼石竹
'chang'e'ye'bai'he 长萼野百合
'chang'er'mo'fu'cao 长耳膜稃草
'chang'fei'gu'jing'cao 长菲谷精草
'chang'fu'wei'zhen'cao 长稃伪针草
'chang'gan'qiu'hai'tang 昌感秋海棠
'chang'geng'huang'hua'ren 长梗黄花稔
'chang'geng'leng'zhi'dong'qing 长梗棱枝冬青
'chang'geng'shou'gong'mu 长梗守宫木
'chang'geng'xiao'jin 长梗肖槿
'chang'guan'bian'fu'cao 长管蝙蝠草
'chang'guan'qian'niu 长管牵牛
'chang'hua'mei'cao 长画眉草
'chang'jia'shan'lv'dou 长荚山绿豆
'chang'jian'suo'cao 长尖莎草
'chang'jiang'shi'hu 昌江石斛
'chang'jiang'zhu'mao'ju'tai 昌江蛛毛苣苔
'chang'jiao'yang'er'suan 长脚羊耳蒜
'chang'jie'er'cao 长节耳草
'chang'ju'xia'ji'lan 长距虾脊兰
'chang'lv'jia'mi 常绿荚迷
'chang'mang'du'ying 长芒杜英
'chang'mao'huang'kui 长毛黄葵
'chang'mao'shan'fan 长毛山矾
'chang'mao'zi'jin'niu 长毛紫金牛
'chang'peng'chi'che 长蓬赤车
'chang'qi'hong'dou 长脐红豆
'chang'shan 常山
'chang'shuo'mu'cao 长蒴母草
'chang'sui'chi'jian'sha 长穗赤箭莎
'chang'sui'mao'wei'cao 长穗猫尾草
'chang'wei'mao'rui'cha 长尾毛蕊茶
'chang'xu'cao 肠须草
'chang'xu'chong'ji'sheng'teng 长序重寄生藤
'chang'xu'chou'huang'jing 长序臭黄荆
'chang'xu'hou'ke'gui 长序厚壳桂
'chang'xu'san'bao'mu 长序三宝木
'chang'xu'shou'guan'teng 长序首冠藤
'chang'yuan'ye'xin'mu'jiang 长圆叶新木姜
'chang'yue'wu'mo 长粤乌墨
'chang'zhou'er'cao 长轴耳草
'chang'zhu'shan'dan 长柱山丹
'chao'tian'guan 朝天罐
'che'qian'cao 车前草
'che'suo'ma 车索麻
'cheng'hua'po'bu'mu 橙花破布木
'cheng'mai'piao'fu'cao 澄迈飘拂草
'cheng'mao'jia'di'dou 橙毛假地豆
'chi'ban'yuan'wei'lan 齿瓣鸢尾兰
'chi'bing'qiu'ju 翅柄球菊
'chi'bing'tu'er'feng 翅柄兔耳风
'chi'cai 赤才
'chi'cang'teng 赤苍藤
'chi'che 赤车
'chi'chun'ji'shu'lan 匙唇寄树兰
'chi'chun'shi'dou'lan 赤唇石豆兰
'chi'e'mu 匙萼木
'chi'e'wa'er'cao 齿萼挖耳草
'chi'geng'teng 匙羹藤
'chi'gu'jing'cao 翅谷精草
'chi'guo'cao 齿果草
'chi'guo'yu'mu 赤果鱼木
'chi'jia'jue'ming 翅荚决明
'chi'jing'bai'fen'teng 翅茎白粉藤
'chi'jing'zhu'shi'dou 翅茎猪屎豆
'chi'mu 赤木
'chi'nan 赤楠
'chi'ping'po 翅苹婆
'chi'shan'lv'dou 赤山绿豆
'chi'xiao'dou 赤小豆
'chi'yang'ye 赤杨叶
'chi'ye'an'xi'xiang 齿叶安息香
'chi'ye'diao'zhong'hua 齿叶吊钟花
'chi'ye'niu'nai'cai 翅叶牛奶菜
'chi'ye'qie'lan'cai 匙叶伽蓝菜
'chi'ye'sai'jin'lian'mu 齿叶赛金莲木
'chi'ye'tie'xian'lian 齿叶铁线连
'chi'ye'zhi'zi 匙叶栀子
'chi'zi'teng 翅子藤
'chong'dou 虫豆
'chong'yang'mu 重阳木
'chou'chong'cao 臭虫草
'chou'fan'yuan 臭饭圆
'chou'gen'zi'cao 臭根子草
'chou'shi'cai 臭矢菜
'chu'xu'kuo'rui'lan 触须阔蕊兰
'chu'ye'hua'jiao 樗叶花椒
'chuan'man'zao 川蔓藻
'chuan'qiao'ba'qia 穿鞘菝葜
'chuan'qiao'hua 穿鞘花
'chuan'zhu'zi 串珠子
'chui'guo'teng 槌果藤
'chui'sui'piao'fu'cao 垂穗飘拂草
'chui'ye'rong 垂叶榕
'chun'he'ye'lan 唇禾叶兰
'chun'se'wan'dai'lan 纯色万带兰
'chun'zhu'ju'tai 唇柱苣苔
'ci'chi'ni'hua'cao 刺齿泥花草
'ci'gu 慈菇
'ci'guan'ju 刺冠菊
'ci'guo'su'mu 刺果苏木
'ci'guo'teng 刺果藤
'ci'guo'xue'tong 刺果血桐
'ci'guo'zi'yu'pan 刺果紫玉盘
'ci'he'teng 刺核藤
'ci'hua'lian'zi'cao 刺花莲子草
'ci'jia'mu'lan 刺荚木蓝
'ci'kao 刺栲
'ci'kui 刺葵
'ci'lin'cao 刺鳞草
'ci'lin'suo'cao 刺鳞莎草
'ci'mang'ye'gu'cao 刺芒野古草
'ci'mao'cao 刺锚草
'ci'mao'li'dou 刺毛黎豆
'ci'mao'tou'shu 刺毛头黍
'ci'mo'li 刺茉莉
'ci'mu'jin 刺木槿
'ci'sang 刺桑
'ci'shuo'ma 刺蒴麻
'ci'tian'qie 刺天茄
'ci'wu'sui 刺芜荽
'ci'xian 刺苋
'ci'ye'jin'mao 刺叶金茅
'ci'yu 刺芋
'ci'zhong 刺柊
'ci'zhong'xing'lai 刺种莕莱
'ci'zhou'lv 刺轴榈
'ci'zi'guan 刺子莞
'ci'zi'yu'mu 刺籽鱼木
'cong'cao 葱草
'cong'hua'hou'ke'gui 丛花厚壳桂
'cong'hua'shan'fan 丛花山矾
'cong'sheng'yang'er'suan 丛生羊耳蒜
'cu'bing'du'ruo 粗柄杜若
'cu'chi'ci'shuo'ma 粗齿刺蒴麻
'cu'chi'ling'shui'hua 粗齿玲水花
'cu'chi'ye'tong 粗齿野桐
'cu'fei 粗榧
'cu'gen'jing'suo'cao 粗根茎莎草
'cu'hua'qiu'zi'cao 簇花球子草
'cu'hua'su'mi'cao 簇花粟米草
'cu'hui'qiu'hai'tang 粗喙秋海棠
'cu'jing'ya'jiao'teng 粗茎崖角藤
'cu'kang'chai 粗糠柴
'cu'kang'shu 粗糠树
'cu'liao 簇蓼
'cu'mai'zi'jin'niu 粗脉紫金牛
'cu'mao'hai'nan'yuan'zhi 粗毛海南远志
'cu'mao'liao 粗毛蓼
'cu'mao'shui'suo'hua 粗毛水蓑花
'cu'mao'ye'tong 粗毛野桐
'cu'mao'yu'ye'jin'hua 粗毛玉叶金花
'cu'si'mu 粗丝木
'cu'ye'er'cao 粗叶耳草
'cu'ye'feng'hua'cao 粗叶丰花草
'cu'ye'mu 粗叶木
'cu'ye'rong 粗叶榕
'cu'ye'xuan'gou'zi 粗叶悬钩子
'cu'zhuang'run'nan 粗壮润楠
'cui'bai 翠柏
'cui'ru'teng 催乳藤
'cui'shi'chang 粹石菖
'da'bai'teng 大白藤
'da'bao'chi'bo 大苞赤瓟
'da'bao'shi'chang'pu 大苞石菖蒲
'da'bao'shui'zhu'ye 大苞水竹叶
'da'bao'tian'jie'cai 大苞天芥菜
'da'bao'xue'tong 大苞血桐
'da'bao'ya'zhi'cao 大苞鸭跖草
'da'chi'lao'hu'la 大翅老虎剌
'da'dou'kou 大豆蔻
'da'er'fu'cao 大耳稃草
'da'gai'qiu'zi'cao 大盖球子草
'da'guo'ba'ji'tian 大果巴戟天
'da'guo'ba'qia 大果菝葜
'da'guo'lin'ban'jia'mi 大果鳞斑荚迷
'da'guo'ma'ti'he 大果马蹄荷
'da'guo'mu'jiang'zi 大果木姜子
'da'guo'rong 大果榕
'da'guo'shan'du'ying 大果山杜英
'da'guo'shui'weng 大果水翁
'da'guo'wu'yue'cha 大果五月茶
'da'hua'bai'gu'ding 大花白鼓丁
'da'hua'fei'e'teng 大花飞蛾藤
'da'hua'ji'li 大花蒺藜
'da'hua'lao'ya'zui 大花老鸦嘴
'da'hua'mao'gen 大花茅根
'da'hua'mei'cao 大画眉草
'da'hua'ren'dong 大花忍冬
'da'hua'wu'ya'guo 大花五桠果
'da'hua'yang'er'suan 大花羊耳蒜
'da'hua'zhu'ye'pu'tao 大花竹叶蒲桃
'da'jian 大菅
'da'jian'nang'lan 大尖囊兰
'da'luo'san 大罗伞
'da'luo'wang'cao 大罗网草
'da'ma'liao 大马蓼
'da'mi'cao 大米草
'da'piao 大漂
'da'qing 大青
'da'qing'shu 大青薯
'da'sha'ye 大沙叶
'da'shu 大黍
'da'sui'zhuan'zi'miao 大穗砖子苗
'da'tou'cha 大头茶
'da'tou'dian'zhu 大头典竹
'da'wei'yao 大尾摇
'da'wu'feng'cao 大吴风草
'da'xu'ge'ju'lan 大序隔距兰
'da'xue'teng 大血藤
'da'ye'chi'geng'teng 大叶匙羹藤
'da'ye'chou'jiao 大叶臭椒
'da'ye'ci'li 大叶刺篱
'da'ye'fu'mao'hu'jiao 大叶复毛胡椒
'da'ye'gou'teng 大叶钩藤
'da'ye'guang'dong'shan'hu'jiao 大叶广东山胡椒
'da'ye'ju 大叶蒟
'da'ye'mu'cao 大叶母草
'da'ye'pu'kui 大叶蒲葵
'da'ye'rao'hua 大叶荛花
'da'ye'sai'jue'chuang 大叶赛爵床
'da'ye'shan'lian 大叶山楝
'da'ye'shan'ma'huang 大叶山蚂蟥
'da'ye'shi'long'wei 大叶石龙尾
'da'ye'shu'ci 大叶鼠刺
'da'ye'shui'rong 大叶水榕
'da'ye'shui'zhu'cao 大叶水竹草
'da'ye'tian'fan'lv 大叶田繁缕
'da'ye'xian'mao 大叶仙茅
'da'ye'ye'shan'hua 大叶野扇花
'da'ye'yu 大野芋
'da'ye'yu'gu'mu 大叶鱼骨木
'da'ye'zhu'ye'cao 大叶竹叶草
'da'ye'zi'zhu 大叶紫珠
'da'zhong'er'cao 大众耳草
'da'zi'jin'gu'cao 大籽筋骨草
'dai'chun'wei'mao 带春卫矛
'dai'xing'cao 戴星草
'dan'cao 丹草
'dan'hua'shan'fan 单花山矾
'dan'hua'shan'zhu'zi 单花山竹子
'dan'hua'shui'you'gan 单花水油甘
'dan'huang'jia'mi 淡黄荚迷
'dan'jie'jia'mu'dou 单节假木豆
'dan'mao'ci'shuo'ma 单毛刺蒴麻
'dan'mao'shan'liu 单毛山柳
'dan'shi'zhu'yu 单室茱萸
'dan'ye'dou 单叶豆
'dan'ye'hong'dou 单叶红豆
'dan'ye'hou'chun'lan 单叶厚唇兰
'dan'ye'jiao'gu'lan 单叶绞股蓝
'dan'ye'man'jing 单叶蔓荆
'dan'ye'ni'dou'kou 单叶拟豆蔻
'dan'ye'sheng'teng 单叶省藤
'dan'ye'teng'ju 单叶藤橘
'dan'ye'yi'mu'huan 单叶异木患
'dan'zhu'ye 淡竹叶
'dan'zi'nan'she'teng 单籽南蛇藤
'dan'zi'ya'pa'teng 单籽崖爬藤
'dan'zi'zhuan'zi'miao 单子砖子苗
'dang'gui'teng 当归藤
'dao'di'ling 倒地铃
'dao'diao'bi 倒吊笔
'dao'dou 刀豆
'dao'luan'ye'shan'long'yan 倒卵叶山龙眼
'dao'luan'ye'shi'nan 倒卵叶石楠
'dao'luan'zi'zhu 倒卵紫珠
'dao'xin'ye'dun'chi'teng 倒心叶盾翅藤
'dao'xing'zhen'zhu'mao 稻形珍珠茅
'deng'xin'cao 灯心草
'di'bao'lan 地宝兰
'di'dan'cao 地胆草
'di'dan'xuan'shuo'ju'tai 地胆旋蒴苣苔
'di'ren 地稔
'di'tan'cao 地毯草
'di'wen'yi'mu'huan 帝汶异木患
'di'xi'teng 滴锡藤
'di'yang'tao 地杨桃
'di'yu 地榆
'dian'di'mei 点地梅
'dian'hong'si'xian 滇红丝线
'dian'hua'huang'jing 点花黄精
'dian'nan'she'teng 滇南蛇藤
'dian'qian'ye'tong 滇黔野桐
'dian'yue'shan'hu'jiao 滇粤山胡椒
'diao'hua'deng 吊花灯
'diao'luo'luo'shi 吊罗裸实
'diao'luo'ni'zhu 吊罗坭竹
'diao'luo'shan'luo'fu'mu 吊罗山萝芙木
'diao'mai'gang 吊脉冈
'diao'qiu'cao 吊球草
'diao'si'cao 吊丝草
'diao'si'qiu'zhu 吊丝球竹
'diao'zhong'hua 吊钟花
'diao'zhong'shan'fan 吊钟山矾
'die'dou'bi'gang 碟斗臂冈
'die'qiao'shi'hu 迭鞘石斛
'ding'an'run'nan 定安润楠
'ding'gong'teng 丁公藤
'ding'gui'cao 丁癸草
'ding'hu'diao'zhang 鼎湖钓樟
'ding'hua'du'jing'shan 顶花杜茎山
'ding'hua'er'cao 顶花耳草
'ding'xiang'e 丁香萼
'ding'xin'teng 定心藤
'dong'fang'bi'hua'mu 东方闭花木
'dong'fang'gua'fu'mu 东方瓜腹木
'dong'fang'qing'gang 东方青冈
'dong'fang'qiong'nan 东方琼楠
'dong'fang'que'she'mu 东方雀舌木
'dong'fang'tai'cao 东方苔草
'dong'fang'xiao'lan 东方肖榄
'dong'feng'cao 东风草
'dong'feng'lan 冬凤兰
'dong'nan'kao 东南栲
'dong'nan'zi'jin'niu 东南紫金牛
'dong'qing 冬青
'dong'ye 冬叶
'dou'ban'lv 豆瓣绿
'dou'lan 兜兰
'dou'ye'jiu'li'xiang 豆叶九里香
'du'gua 毒瓜
'du'jiao'jin 独脚金
'du'jing'shan 杜茎山
'du'lian 杜楝
'du'shu'zi 毒鼠子
'du'sui'piao'fu'cao 独穗飘拂草
'du'zhan'chun 独占春
'du'zhong'teng 杜仲藤
'duan'bing'ba'ji'tian 短柄巴戟天
'duan'bing'diao'qiu'cao 短柄吊球草
'duan'bing'mao'jin'xiang'cao 短柄毛锦香草
'duan'bing'san'jiao'che 短柄三角车
'duan'bing'yue'yue'hong 短柄月月红
'duan'bing'zi'zhu 短柄紫珠
'duan'chang'hua 断肠花
'duan'chi'huang'qi 短翅黄杞
'duan'geng'bao'cao 短梗苞草
'duan'geng'wa'er'cao 短梗挖耳草
'duan'jian'piao'fu'cao 短尖飘拂草
'duan'jiao'leng'shui'hua 短角冷水花
'duan'jing'ge'ju'lan 短茎隔距兰
'duan'jing'lei'gu'ji 短茎擂鼓艻
'duan'jing'qiu'hai'tang 短茎秋海棠
'duan'ju 短蒟
'duan'mang'bai 短芒稗
'duan'sui'hua'mei'cao 短穗画眉草
'duan'sui'ke 短穗柯
'duan'sui'she'gu 短穗蛇菰
'duan'sui'yu'wei'kui 短穗鱼尾葵
'duan'wei'ke 短尾柯
'duan'xu'ge'ju'lan 短序隔距兰
'duan'xu'lan'ye'teng 短序蓝叶藤
'duan'xu'qiong'nan 短序琼楠
'duan'xu'run'nan 短序润楠
'duan'yao'pu'tao 短药蒲桃
'duan'ye'jiang'du 短叶茳芏
'duan'ye'jue'ming 短叶决明
'duan'ye'lie'fu'cao 短叶裂稃草
'duan'ye'sheng'teng 短叶省藤
'duan'ye'shu 短叶黍
'duan'ye'shui'shi'rong 短叶水石榕
'duan'ye'ye'tong 椴叶野桐
'duan'ying'bi'xing'cao 短颖臂形草
'duan'ying'ma'tang 短颖马唐
'duan'zhi'yu'teng 短枝鱼藤
'dui'ye'bai'bu 对叶百部
'dui'ye'jing'tian 对叶景天
'dui'ye'rong 对叶榕
'dun'bao'teng 盾苞藤
'dun'chi'mu'he 钝齿木荷
'dun'chi'teng 盾翅藤
'dun'leng'bi'qi 钝棱荸荠
'dun'lin'feng'che'zi 盾鳞风车子
'dun'ye'cao 钝叶草
'dun'ye'chou'huang'jing 钝叶臭黄荆
'dun'ye'he'guo'mu 钝叶核果木
'dun'ye'hou'ke'gui 钝叶厚壳桂
'dun'ye'ju'tai 盾叶苣苔
'dun'ye'mu'jiang'zi 钝叶木姜子
'dun'ye'qiu'hai'tang 盾叶秋海棠
'dun'ye'shui'si'li 钝叶水丝梨
'dun'ye'zhang 钝叶樟
'dun'ye'zi'jin'niu 钝叶紫金牛
'dun'zhu'wei'mao 盾柱卫矛
'duo'ban'he'guo'cha 多瓣核果茶
'duo'chi'lou'ti'cao 多齿楼梯草
'duo'ci'ji'teng 多刺鸡藤
'duo'ci'shan'huang'pi 多刺山黄皮
'duo'guo'sheng'teng 多果省藤
'duo'he'guo 多核果
'duo'hua'cui'lan 多花脆兰
'duo'hua'ding'gong'teng 多花丁公藤
'duo'hua'gou'er'cha 多花勾儿茶
'duo'hua'gu'mu 多花谷木
'duo'hua'gua'fu'mu 多花瓜馥木
'duo'hua'jian'ye'sha 多花剑叶莎
'duo'hua'ni'lan 多花拟兰
'duo'hua'shan'zhu'cai 多花山猪菜
'duo'hua'shan'zhu'zi 多花山竹子
'duo'hua'shui'xian 多花水苋
'duo'hua'wu'yue'cha 多花五月茶
'duo'hua'xie'chi'teng 多华楔翅藤
'duo'hua'ye'mu'dan 多花野牡丹
'duo'hua'zhuan'zi'miao 多花砖子苗
'duo'huan'qing'gang 多环青冈
'duo'jia'cao 多荚草
'duo'jing'shu'ju'ge'cao 多茎鼠趜革草
'duo'leng'su'mi'cao 多棱粟米草
'duo'mai'zi'jin'niu 多脉紫金牛
'duo'mao'hua'mei'cao 多毛画眉草
'duo'mao'lan'hua'huang'qin 多毛蓝花黄芩
'duo'mao'ma'chi'xian 多毛马齿苋
'duo'mei'suan'teng'zi 多昧酸藤子
'duo'rui'ji'su'cao 多蕊吉粟草
'duo'sui'bian'sha 多穗扁莎
'duo'sui'chou 多穗稠
'duo'sui'sheng'teng 多穗省藤
'duo'sui'suo'cao 多穗莎草
'duo'xiang'mu 多香木
'duo'xing'gua'lou 多型瓜楼
'duo'xing'ma'dou'ling 多型马兜铃
'duo'xu'gong 多须公
'duo'yi'cao 多裔草
'duo'you'ye'bai'he 多疣野百合
'duo'zhi'bi'xing'cao 多枝臂形草
'e'bu'shi'cao 鹅不食草
'e'mao'yu'feng'hua 鹅毛玉凤花
'e'mu 莪木
'e'zhang'chai 鹅掌柴
