'ao'ke 澳科
'ri'zhan'ke 日鳽科
'rui'ying'ke 蚋莺科
'san'niao'ke 伞鸟科
'san'zhi'chun'ke 三趾鹑科
'sen'ying'ke 森莺科
'sha'ji'ke 沙鸡科
'sha'ji'mu 沙鸡目
'shan'jiao'niao'ke 山椒鸟科
'shan'que'ke 山雀科
'shan'wei'ying'ke 扇尾莺科
'she'ti'ke 蛇鹈科
'she'zhi'ke 麝雉科
'she'zhi'mu 麝雉目
'shi'heng'ke 石鸻科
'shi'ke 鳾科
'shi'wen'niao'ke 食蚊鸟科
'shu'niao'ke 鼠鸟科
'shu'niao'mu 鼠鸟目
'shui'zhi'ke 水雉科
'si'weng'ke 丝鹟科
'song'ji'ke 松鸡科
'sou'niao'ke 薮鸟科
'sun'ke 隼科
'sun'xing'mu 隼形目
'tai'ping'niao'ke 太平鸟科
'ti'hu'ke 鹈鹕科
'ti'xing'mu 鹈形目
'ti'yan'ke 鹈燕科
'tuo'niao'ke 鸵鸟科
'tuo'niao'mu 鸵鸟目
'wan'zui'mei'ke 弯嘴鹛科
'wang'weng'ke 王鹟科
'wei'da'que'ke 维达雀科
'wen'xuan'mu'que'ke 纹旋木雀科
'weng'ke 鹟科
'weng'lie'ke 鹟鴷科
'wu'ke 鹀科
'wu'yi'ke 无翼科
'wu'yi'mu 无翼目
'xi'mi'niao'ke 吸蜜鸟科
'xi'niao'ke 犀鸟科
'xi'niao'mu 犀鸟目
'xi'wei'liao'ying'ke 细尾鹩莺科
'xiang'mi'lie'ke 响蜜鴷科
'xiao'weng'ke 啸鹟科
'xiao'xing'mu 鸮形目
'xie'heng'ke 蟹鸻科
'xin'tian'weng'ke 信天翁科
'xing'mu 形目
'xiu'yan'niao'ke 绣眼鸟科
'xu'lie'ke 须鴷科
'xuan'bi'que'ke 旋壁雀科
'xuan'mu'que'ke 旋木雀科
'ya'ke 鸦科
'ya'ke 鸭科
'ya'que'ke 鸦雀科
'yan'heng'ke 燕鸻科
'yan'ju'ke 燕鵙科
'yan'ke 燕科
'yan'liu'ke 岩鹨科
'yan'mei'ke 岩鹛科
'yan'ou'ke 燕鸥科
'yan'que'ke 燕雀科
'yan'xing'mu 雁形目
'yang'he'ke 秧鹤科
'yang'ji'ke 秧鸡科
'yao'juan'ke 咬鹃科
'yao'juan'mu 咬鹃目
'ye'bei'ke 叶鹎科
'ye'ying'ke 夜莺科
'ye'ying'mu 夜鹰目
'yi'dong'ke 蚁鸫科
'yi'ju'ke 蚁鵙科
'ying'ke 莺科
'ying'ke 鹰科
'ying'que'ke 莺雀科
'ying'wu'ke 鹦鹉科
'ying'xing'mu 鹦形目
'you'chi'ke 油鸱科
'you'yan'weng'ke 疣眼鹟科
'yu'ke 鹬科
'yu'yan'ke 雨燕科
'yu'yan'mu 雨燕目
'yuan'ding'niao'ke 园丁鸟科
'zao'niao'ke 灶鸟科
'zei'ou'ke 贼鸥科
'zhi'ke 雉科
'zhi'que'ke 织雀科
'zhong'que'ke 钟鹊科
'zhong'zhi'ke 塚雉科
'zhu'ji'ke 珠鸡科
'zhuo'guo'niao'ke 啄果鸟科
'zhuo'hua'niao'ke 啄花鸟科
'zhuo'mu'niao'ke 啄木鸟科
'zi'yu'ke 籽鹬科
'zong'lv'ke 棕榈科
