'a'ba'da'ni'yu'nan 阿巴达尼遇难
'jiang'ji'wang'er 蒋济亡儿
'jiang'ling'shi'da'fu 江陵士大夫
'jiang'tai'gong 姜太公
'jiang'yan 江岩
'jiao'hu'miao'zhu 焦湖庙祝
'jiao'zi 蛟子
'jin'feng'xia 金凤辖
'jin'ma'ju 金马驹
'jin'zhi'shi'nv'tu 晋治氏女徒
'jing'wei'tian'hai 精卫填海
'ju'ling'hu 巨灵胡
'jue'di'tian'tong 绝地天通
'kong'sang 空桑
'ku'ma'er'si 库马尔斯
'kua'fu'zhui'ri 夸父追日
'kun'lun'shan 昆仑山
'lan'yan'shuang'he 兰岩双鹤
'le'bi'guo 勒毕国
'lei'shen'he'yu'shen 雷神和雨神
'li'fu'ren 李夫人
'li'ji 李寄
'li'juan 丽娟
'li'zhong'wen'nv 李仲文女
'liang'di 量地
'liang'ge'bao'xiang 两个宝箱
'liang'qing 梁清
'ling'zhi'si 灵芝寺
'liu'chen'ruan'zhao 刘晨阮肇
'liu'chi'gou'jia'gui 刘池苟家鬼
'liu'dao 刘导
'liu'xuan 刘玄
'liu'zi'qing 刘子卿
'long'bo 龙伯
'lu'chong 卢充
'lu'ji'lu'yun 陆机陆云
'lv'qiu 吕球
'lv'si 吕思
'ma'de'lai'li 马的来历
'ma'gu 麻姑
'ma'hei'he'ma'niu 玛黑和玛妞
'mai'de'er'chuang'shi 麦德尔创世
'mai'fen'er 买粉儿
'mei'jian'chi 眉间尺
'meng'shu'guo 孟舒国
'mu'shi'ta'ge'de'gu'shi 慕士塔格的故事
'mu'xu'guo'dao'ren 沐胥国道人
'mu'yang'ren'he'tian'e'nv 牧羊人和天鹅女
'ni'yan'si'jia'mei 倪彦思家魅
'niao'guo 鸟国
'niu'lang'zhi'nv 牛郎织女
'niu'zhu'ran'xi 牛渚燃犀
'nv'chou 女丑
'nv'wa'bu'tian 女娲补天
'nv'wa'jie'hun 女娲结婚
'pan'fang'hua'sheng'wan'wu 盘方化生万物
'pan'gu'kai'tian'di 盘古开天地
'pan'hu 盘瓠
'peng'e 彭娥
'peng'zu 彭祖
'po'hai 迫害
'pu'cheng'wu'lu 普称乌璐
'pu'fu 朴父
'qi'cao 奇草
'qi'gong'guo 奇肱国
'qi'shen'zhu'zhou 七神助周
'qi'yu 耆域
'qian'ri'jiu 千日酒
'qian'xiao'guo'hua'gong 骞霄国画工
'qin'ju'bo 秦巨伯
'qin'qing'han'e 秦青韩娥
'qin'shu 秦树
'qin'wu'zhi'qi 擒无支祁
'qiong'dou'lao'mu 邛都老姥
'qiu'wen'wang 囚文王
'qu'a'shen 曲阿神
'qu'yuan 屈原
'rang'wei 让位
'ri'shi'he'yue'shi 日蚀和月蚀
'ri'yue'cong'na'li'lai 日月从哪里来
'ru'yuan 如愿
'san'ge'shen'niu 三个神牛
'san'wang'zhong 三王冢
'sha'xiang'liu 杀相柳
'shan'sao 山臊
'shao'hao 少昊
'shao'wu 韶舞
'she'he'bo 射河伯
'she'ri 射日
'she'tai'yang 射太阳
'she'yue'liang 射月亮
'shen'nong 神农
'shen'shang 参商
'shen'tu'yu'yu'lei 神荼与郁垒
'shen'yang 神羊
'shen'zhi'zheng 神之争
'sheng'si'di 胜四帝
'shi'ren'jia 士人甲
'shi'shi'nv 石氏女
'shi'xuan'zhu 失玄珠
'shou'yang'shan'tian'nv 首阳山天女
'shu'li 舒礼
'shun'xiang'zhi'dou 舜象之斗
'song'da'xian 宋大贤
'song'ding'bo 宋定伯
'su'qiong 苏琼
'sun'yuan'bi 孙元弼
'tai'le'ji 太乐伎
'tai'yang'de'hui'da 太阳的回答
'tai'yang'gu'niang 太阳姑娘
'tai'yang'yue'liang'he'xing'xing 太阳月亮和星星
'tan'sheng 谈生
'tang'fa'xia 汤伐夏
'tang'gu 汤谷
'tao'dou'shan 桃都山
'tao'hua'yuan 桃花源
'tian'chi 天池
'tian'gong'da'zhan 天宫大战
'tian'ke 天客
'tian'shang'yu'nv 天上玉女
'tian'shen'chuang'shi 天神创世
'tian'ti 天梯
'tian'yan'chong'kai 天眼重开
'tong'you'huo'he'tian'hong 桐油火和天洪
'tuo'xing 托星
'wai'guo'dao'ren 外国道人
'wang'di 望帝
'wang'fu'shi 望夫石
'wang'hai 王亥
'wang'jing'bo 王敬伯
'wang'mu'jiang'wu'di 王母降武帝
'wang'yao'jia'gui 王瑶家鬼
'wang'zhi 王质
'wei'shen'me'ji'jiao'tai'yang'jiu'chu'lai 为什么鸡叫太阳就出来
'wo'jiao 沃焦
'wu'ding 五丁
'wu'feng 舞凤
'wu'gang'kan'gui 吴刚砍桂
'wu'tang 吴唐
'wu'wang'fa'zhou 武王伐纣
'xi'wang'mu 西王母
'xia'hou'hong 夏侯弘
'xiang'feng 翔凤
'xiang'si'shu 相思树
'xiang'yu 祥雨
'xiao'shi 萧史
'xiao'yang'guo 枭阳国
'xiao'zong 萧总
'xie'yun 谢允
'xie'zong 谢宗
'xin'si'gui 新死鬼
'xing'shi'zi'chen 刑史子臣
'xing'tian'wu'gan'qi 刑天舞干戚
'xiong'mei'chuan'ren'lei 兄妹传人类
'xu'miao 徐邈
'xu'shi 徐奭
'xu'tie'jiu 徐铁臼
'xu'xuan'fang'nv 徐玄方女
'xu'yan'wang 徐偃王
'xu'yan'wang'zhi 徐偃王志
'xuan'niao 玄鸟
'xuan'nv 玄女
'xue'dao'xun 薛道恂
'xue'ling'yun 薛灵芸
'yan'shi 偃师
'yan'zhao'wang'mu'ban'hu 燕昭王墓斑狐
'yan'zhou 炎洲
'yang'bao 杨宝
'yang'chou'nu 杨丑奴
'yang'sheng'gou 杨生狗
'yang'xian'shu'sheng 阳羡书生
'yao'ji 瑶姬
'yi'guang'xiu'ming 夷光修明
'yi'she'ri 羿射日
'ying'wu 鹦鹉
'ying'yin'min'fu 颍阴民妇
'you'hai'wai 游海外
'you'juan'xian 由卷县
'you'shi'mu'ren 优师木人
'yu'bai'cai 玉白菜
'yu'gong'yi'shan 愚公移山
'yu'zhong'xiao'er 雨中小儿
'yuan'bei 怨碑
'yuan'xiang'gen'shuo 袁相根硕
'zao'ren 造人
'zhang'chen 章沉
'zhang'fen'zhai 张奋宅
'zhang'fu'guo 丈夫国
'zhang'guang'ding'nv 张广定女
'zhang'shi'shao'nv 张氏少女
'zhang'xuan 张绚
'zhang'yu 张禹
'zhao'gong'ming'can'zuo 赵公明参佐
'zhao'tai 赵泰
'zhao'wen'shao 赵文韶
'zhong'ming'niao 重明鸟
'zhong'yao 钟繇
'zhou'zi'chang 周子长
'zhu'fa'gong 朱法公
'zhu'ge'yuan'chong 诸葛元崇
'zhu'gu'yu'le'pai'yu'kang'mei'jiu'ming'ji 朱古羽勒排与康美久命姬
'zhu'jiu'ding 铸九鼎
'zhu'long 烛龙
'zhu'wang'shen 竹王神
'zhuan'xu'zhi'zi 颛顼之子
'zhuo'ma'lu 捉马鹿
'zi'gu'shen 紫姑神
'zi'jing'shu 紫荆树
'zi'yu 紫玉
'zou'lan 邹览
'zuan'mu'qu'huo 钻木取火
