'an'bao'ya 安包呀
'jing'ji'di 警基地
'jing'jia 警家
'jing'zhuan 警专
'jiu'chang 救场
'ju'jing 狙镜
'ju'mang'zhi'ya 巨蟒之牙
'ju'mu'shui'xi 巨目水蜥
'kai'jing 开镜
'kai'kuo'zhe 开阔者
'kong'bu'fen'zi 恐怖分子
'kong'xin'ju 空心狙
'kong'xue 空血
'kuang'feng 狂风
'kuang'hua'luan'wu 狂花乱舞
'kuang'mang'zhi'wen 狂蟒之吻
'kuang'nu'jin'qi 狂怒金骑
'kuang'nu'qi'shi 狂怒骑士
'kuang'ye'zhi'feng 狂野之风
'kui'ping 窥屏
'lao'jia 老家
'lao'niao 老鸟
'lei'qu 雷区
'lei'ting 雷霆
'lei'zha 雷炸
'li'ti'jia'qiang 立体架枪
'lian'ju 连狙
'lian'pen 连喷
'liang'jin'tang'mu'xun 靓金汤姆逊
'lie'hun'qi'shi 猎魂骑士
'lie'hun'qi'shi 裂魂骑士
'long'wen 龙纹
'lv'dao 绿道
'mai'bao 埋包
'mai'jia 买甲
'mang'ju 盲狙
'mei'qian'le 没钱了
'meng'guo 盟国
'mi'yin'lu'ge 秘银鲁格
'ming'ren'tang 名人堂
'mo'ri'qi'shi 末日骑士
'ni'shui'ya 你谁呀
'niao'ju 鸟狙
'niao'qiang 鸟枪
'pao'xiao'jin'yan 咆哮金焰
'pao'xiao'ju'feng 咆哮飓风
'pao'xiao'nu'yan 咆哮怒焰
'pen'zi 喷子
'pi'dan'shou'lei 皮蛋手雷
'pi'dan'te'zhi'tu'ji'bu'qiang 皮蛋特制突击步枪
'po'sui'jiu'yan 破碎灸焰
'qian'zi 钳子
'qie'ju 切狙
'qing'long'wen'shen 青龙纹身
'reng'bao 扔包
'reng'lei 扔雷
'ru'guo'mei'you'na'jiu'yi'qie'mian'tan 如果没有那就一切免谈
'ru'guo'you'na'jiu'yi'qie'mian'tan 如果有那就一切免谈
'san'fa'lian'she 三发连射
'san'lou 三楼
'sang'shi 丧尸
'sao'she 扫射
'sha'mo'zhi'ying 沙漠之鹰
'sha'ying 沙鹰
'shan'guang'lei 闪光雷
'shan'jing 闪镜
'shan'ju 闪狙
'shan'lei 闪雷
'shan'shen'bao'tou 闪身爆头
'shang'fang'ding 上房顶
'shen'nu'zhi'yan 神怒之炎
'sheng'cun'ji'yin 生存基因
'sheng'dan'hui'mie'zhe 圣诞毁灭者
'sheng'dan'zhong'jie'zhe 圣诞终结者
'sheng'shui'shou'lei 圣水手雷
'shi'bian 尸变
'shi'xue'nv'yao 嗜血女妖
'shou'bao 守包
'shou'lei 手雷
'shua'ping 刷屏
'shua'qian 刷钱
'shua'xia 刷下
'shua'yi'xia 刷一下
'shuai'ju 甩狙
'shuai'lei 甩雷
'shuai'qiang 甩枪
'shuang'fa'lian'she 双发连射
'si'shen 死神
'si'wang'qi'shi 死亡骑士
'song'zang'zhe 送葬者
'su'zhu 宿主
'sui'hun'zhe 碎魂者
'ta'wo'er 塔沃尔
'tang'mu'xun 汤姆逊
'tian'tai 天台
'tiao'ju 跳狙
'tiao'zhong'li 调重力
'tong'meng 同盟
'tou'bao 偷包
'tou'xi 偷袭
'tu'er 兔耳
'tu'lu'zhi'ren 屠戮之刃
'tui'mo'jin'yan 退魔金焰
'tui'mo'sheng'yan 退魔圣焰
'wai'chang 外场
'wan'hua'tong 万花筒
'wang'tei'ka 网忒卡
'wu'gu'shu'shi 巫蛊术尸
'xi'yin'huo'li 吸引火力
'xian'dan'qiang 霰弹枪
'xiao'dao 小道
'xiao'diao'xie'zou'qu 小调协奏曲
'xiao'ju 小狙
'xing'hong'shuang'zi 星红双子
'xing'yun'qiang'jiang 幸运枪匠
'xuan'feng 旋风
'xue'di'kuang'ben 雪地狂奔
'ya'qiang 压枪
'yan'hu 掩护
'yan'wu'dan 烟雾弹
'yin'bi 隐蔽
'zeng'wu'tu'fu 憎恶屠夫
'zha'zhu 炸主
'zhan'dou'fu'huo 战斗复活
'zhan'dui 战队
'zhan'qi 站起
'zhan'shen'zhu'fu'yao'ji 战神祝福药剂
'zhao'liang'de'bei'ji'xiong 着凉的北极熊
'zhe'di'tu'shi'gai'zhuang'de 这地图是改装的
'zhi'ming'da'ji 致命打击
'zhi'ming'shuang'ci 致命双刺
'zhi'ming'xie'ci 致命蝎刺
'zhi'zao'mi'ji 制造秘籍
'zhong'jie'zhe 终结者
'zhong'men 中门
'zhu'ji 主机
'zhuang'bao 装包
'zhuang'lei 装雷
'zhui'ji'zhe 追击者
'zhui'yue'lian'nu 追月连弩
'zhuo'shao'ti'dao 灼烧剃刀
'zong'bu 总部
'zuo'bi'de'ti 作弊的踢
'zuo'bi'de'zi'ji'gun 作弊的自己滚
'zuo'bi'qi 作弊器
'zuo'lun 左轮
