'a'pa'qi 阿帕契
'fu'dao'zhi'liu'shi'er'bai'bu'lan'gan 缚道之六十二百步欄杆
'fu'dao'zhi'liu'shi'san'suo'tiao'suo'fu 縛道之六十三鎖條鎖縛
'fu'dao'zhi'san'shi'zui'tu'san'shan 缚道之三十嘴突三闪
'fu'dao'zhi'wu'shi'ba'guai'zhi'zhui'que 缚道之五十八掴趾追雀
'fu'zhu'shi'si'lang 浮竹十四郎
'gai'zao'hun'po 改造魂魄
'gang'teng'bai'en 刚藤拜恩
'gang'teng'bai'en'mo'si'kai'da 刚藤拜恩摩斯凯达
'ge'li'mu'qiao 葛力姆乔
'ge'li'mu'qiao'jia'ka'jie'ke 葛力姆乔贾卡杰克
'geng'mu'jian'ba 更木剑八
'guai'zhi'zhui'que 掴趾追雀
'gui'dao 鬼道
'gui'deng'wan 鬼燈丸
'gui'zuo'mu'xiu'bing 檜佐木修兵
'guo'zhi'ling 国枝铃
'he'li'bei'er 赫丽贝尔
'he'li'bei'er'gu'luo'bi'wa'si 赫丽贝尔古罗比瓦斯
'hei'guan 黒棺
'hei'qi'xia'li 黑崎夏梨
'hei'qi'yi'hu 黑崎一护
'hei'qi'yi'xin 黑崎一心
'hei'qi'you'zi 黑崎游子
'hei'qi'zhen'xiao 黑崎真咲
'hei'sheng'tian'qian'ming'wang 黑繩天譴明王
'hei'zhi'yue 黑之月
'hong'zhen 红姫
'hu'che'qing'yin 虎彻清音
'hu'che'yong'yin 虎彻勇音
'hu'ting'shi'san'dui 护庭十三队
'hua'tian'kuang'gu 花天狂骨
'hua'yi'shen'tai 花刈甚太
'hua'zang 花葬
'huang'juan'zhen'mu'zao 荒巻真木造
'hui'kou'wang 毁鷇王
'hun'zang 魂葬
'ji'li'an 基力安
'ji'liang'yi'he 吉良伊鹤
'ji'shu'kai'fa'ju 技术开発局
'ji'shu'kai'fa'ju'ju'zhang 技术开発局局长
'jia'mian 假面
'jin'di'shi'sha 尽敌螫杀
'jin'se'pi'sha'di'zang 金色疋殺地藏
'jing'hua'shui'yue 镜花水月
'jing'le'chun'shui 京楽春水
'jing'ling'bi 静灵壁
'jing'men 镜门
'jing'shang'min 井上旻
'jing'shang'zhi'ji 井上织姬
'jiu'bao'dai'ren 久保帯人
'jiu'fan'dui 九番队
'jiu'nan'bai'yuan'jiu'fan'dui'fu'dui'zhang 久南白原九番队副队长
'ju'gu'shan'zhi'jie 車谷善之介
'ju'liu 拘流
'ju'tu 拘突
'ju'zhi'hua'kai 拘之花开
'lan'ran'zong'you'jie 藍染惣右介
'lei'hou'pao 雷吼炮
'lei'zi'ai'er 雷兹艾尔
'li'te'fei'er'te 利特菲尔特
'lie'hua 捩花
'ling'lai'chuan'gong'qin 綾瀬川弓親
'ling'luo 灵络
'ling'ya'jie'fang 灵压解放
'ling'zhu'he 灵珠核
'ling'zi'zhuan'huan'ji 灵子转换机
'liu'che'quan'xi'yuan'jiu'fan'dui'dui'zhang 六车拳西原九番队队长
'liu'fan'dui 六番队
'liu'ren'ruo'huo 流刃若火
'liu'zhang'guang'lao 六杖光牢
'long'wen'gui'deng'wan 竜紋鬼燈丸
'lu'bi 露比
'luan'zhuang'tian'kui 乱装天傀
'luo'zi'yuan'san'fan'dui'dui'zhang 罗兹原三番队队长
'lv'huo 旅祸
'mao'zhi'hua'lie 卯之花烈
'mei'ding'min'sheng 梅定敏盛
'mi'la'luo'ci 米拉罗慈
'mian'wen 面纹
'mie'que'shi 灭却师
'mo'shuang'yang'yan 無双陽炎
'ni'li'ai'lu 妮莉艾露
'ni'li'ai'lu'du'ou'de'fan'xiu'ke 妮莉艾露杜欧德凡修克
'ni'li'ai'lu'du'ou'de'xiu'fan'ke 妮莉艾露杜欧德修凡克
'ni'lu 妮露
'nie'jian'li 涅茧利
'nie'lan'li 涅阑利
'nie'yin'meng 涅音梦
'nie'yin'mo 涅音無
'nuo'yi'te'la 诺伊特拉
'nuo'yi'te'la'ji'er'jia 诺伊特拉吉尔加
'pi'sha'di'zang 疋杀地蔵
'pi'wu 劈乌
'ping'zi'zhen'zi'yuan'wu'fan'dui'dui'zhang 平子真子原五番队队长
'po'dao 破道
'po'dao'jiu'shi'hei'guan 破道九十黒棺
'po'dao'san'shi'san'cang'huo'zhui 破道三十三苍火坠
'po'dao'san'shi'yi'chi'huo'pao 破道三十一赤火炮
'po'dao'si'bai'lei 破道四白雷
'po'dao'zhi'ba'shi'ba'fei'long'ji'zei'zhen'tian'lei'pao 破道之八十八飛龍擊賊震天雷炮
'po'dao'zhi'jiu'shi'hei'zhi'yue 破道之九十黑之月
'po'dao'zhi'jiu'shi'jiu'yin 破道之九十九銀
'po'dao'zhi'liu'shi'san'lei'hou'pao 破道之六十三雷吼炮
'po'dao'zhi'wu'shi'ba'tian'lan 破到之五十八天嵐
'po'mian 破面
'pu'yuan'shang'dian 浦原商店
'pu'yuan'xi'zhu 浦原喜助
'qi'fan'dui 七番队
'qi'lu'qi 齐鲁奇
'qi'lu'qi'shan'da'wei'qi 奇鲁奇山达威奇
'qian'ben'ying 千本桜
'qian'ben'ying'jing'yan 千本桜景严
'qian'da 浅打
'qian'ye'qi'wu 浅野啓吾
'qiang'sha'yu 枪紗雨
'qing'chong 清虫
'que'feng 雀蜂
'ri'fan'gu'dong'shi'lang 日番谷冬狮郎
'rou'na'sha 肉雫唼
'sa'a'bo'luo'ge'lan'zi 萨阿波罗格兰兹
'sa'er'a'bo'luo 萨尔阿波罗
'sa'er'a'bo'luo'ge'lan'zi 萨尔阿波罗格兰兹
'san'fan'dui 三番队
'sha'qi'shi 杀气石
'shan'ben'yuan'liu'zhai 山本元柳斎
'shan'ben'yuan'liu'zhai'zhong'guo 山本元柳斎重国
'shan'hua 闪花
'shan'tian'hua'tai'lang 山田花太郎
'she'chang'tie'zuo'wei'men 射場鉄左衛門
'she'wei'wan 蛇尾丸
'shen'qiang 神枪
'shen'tai 甚太
'shi'bo 石波
'shi'dong'wan'li'sha'yuan'ba'fan'dui'fu'dui'zhang 矢胴丸莉莎原八番队副队长
'shi'er'fan'dui 十二番队
'shi'fan'dui 十番队
'shi'hun'jie 尸魂界
'shi'jie 始解
'shi'ren 十刃
'shi'san'fan'dui 十三番队
'shi'ta'ke 史塔克
'shi'tian'yu'long 石田雨龙
'shi'wan'yin 市丸银
'shi'yi'fan'dui 十一番队
'shuang'ji 双殛
'shuang'yu'li 双魚理
'shui'tian'ni'juan 水天逆巻
'shun'bu 瞬步
'shun'kai 瞬开
'shun'shen'ye'yi 瞬神夜一
'si'dan'fang 兕丹坊
'si'fan'dui 四番队
'si'feng'yuan'ye'yi 四楓院夜一
'si'nian'zhu 思念珠
'si'shen 死神
'si'shen'ling'neng'li'ban'xu 死神灵能力半虚
'song'ben'luan'ju 松本乱菊
'sui'feng 砕蜂
'sun'sun 孙孙
'tang'guan'yin'si 唐観音寺
'te'da'yi'fan'xing 特大一番星
'teng'kong'que 藤孔雀
'teng'kong'que'gui'dao 藤孔雀鬼道
'tian'qian 天谴
'tian'suo'zhan'yue 天鎖斬月
'tian'ting'kong'luo 天挺空罗
'tong'ting'zheng 通廷证
'wa'shi'tuo'de 瓦史托德
'wan'jie 卍解
'wan'jin 卍禁
'wan'jin'tai'feng 卍禁太封
'wo'ling'tie'zhai 握菱铁斋
'wu'er'qi'ao'la 乌尔奇奥拉
'wu'er'qi'ao'la'xi'fo 乌尔奇奥拉西佛
'wu'er'qi'ao'la'xi'fo 乌尔奇奥拉希佛
'wu'fan'dui 五番队
'wu'xing'tou 五形头
'xi'mu'yan 夕暮焰
'xia'jing'zhen'hua 夏井真花
'xian'shi 现世
'xiao'chuan'man 小川满
'xiao'chun'xian'tai'lang 小椿仙太郎
'xiao'dao'shui'se 小岛水色
'xiao'yu 小雨
'xing'jun'zong'kuo'jun'tuan 刑军総括军団
'xing'jun'zong'kuo'jun'tuan'chang 刑军総括军団长
'xiu'bai'xue 袖白雪
'xiu'mu'bai'zai 朽木白哉
'xiu'mu'lu'qi'ya 朽木露琪亚
'xiu'mu'yin'ling 朽木银铃
'xu'fu 虚浮
'xu'quan 虚圈
'xu'shan 虚闪
'xue'xia'zhi'dun 血霞之盾
'ya'luo'ni'luo 亚罗尼洛
'ya'luo'ni'luo'ai'lu'lu'ye'li 亚罗尼洛艾鲁鲁耶利
'ya'mi 牙密
'ya'qiu'ka'si 亚丘卡斯
'yan'ling'wan 厳霊丸
'yan'mo'xi'shuai 閻魔蟋蟀
'ye'yi 夜一
'yi'fan'dui 一番队
'yi'guan'ban'ci'lou'fang 一贯坂慈楼坊
'yi'guan'ban'si'dan'fang 一貫坂兕丹坊
'yi'hai 义骸
'yi'hun'wan 义魂丸
'yi'jiang'cun'ba'shi'qian'he 伊江村八十千和
'yi'shi'qi'xu 伊勢七緒
'yi'zhi'lai'zhen'shu 一之濑真树
'yin'guo'zhi'suo 因果之锁
'yin'mi'ji'dong'dui 隠密机动队
'yin'mi'ji'dong'zong'si'ling'guan 隠密机动総司令官
'yong'chang 咏唱
'yong'chang'de'hui'qi 咏唱的毁弃
'you'ze'long'gui 有沢竜貴
'you'zhao'tian'bo'xuan'gui'dao'zhong'fu'gui'dao'shi 有昭田钵玄鬼道众副鬼道师
'yuan'cheng'si'chen'fang 円乗寺辰房
'yuan'shi'ri'shi'li'yuan'shi'er'fan'dui'fu'dui'zhang 猿柿日世里原十二番队副队长
'yuan'ye'cui'zi 遠野翠子
'yue'ya'tian'chong 月牙天冲
'yue'zhi'mei'yu 越智美谕
'zha'ai'er'a'bo'luo 扎艾尔阿波罗
'zhan'po'dao 斩魄刀
'zhan'yue 斬月
'zhe'hun'mo 遮魂膜
'zhen'dian 震点
'zhi'beng 止绷
'zhi'bo'hai'yan 志波海燕
'zhi'bo'kong'he 志波空鶴
'zhi'bo'yan'jiu 志波岩鷲
'zhong'qu'wan'jin'tai'feng 终曲卍禁太封
'zhong'yang'si'shi'liu'shi 中央四十六室
'zhu'tian'xing'ji'lang 竹添幸吉郎
'zuo'ma'li 佐马力
'zuo'ma'li'lu'lu 佐马利路鲁
'zuo'ma'li'lu'lu 佐马力路鲁
