'a'er'ni 阿尔尼
'bi'zhen'qing'zhang 碧针清掌
'bian'yi'jiao'ying 变异角鹰
'bin'tou'lu'zun'zhe 宾头卢尊者
'bing'he'dao'xie 冰河倒泻
'bing'he'kai'dong 冰河开冻
'bo'gou'chao'tian 拨狗朝天
'bo'hai'pai 渤海派
'bo'luo'mi'shou 波罗密手
'bo'luo'xing 波罗星
'bo're'zhang 般若掌
'bo'su'tai 拨速台
'bu'chen 卜沉
'bu'feng'shi 捕风式
'bu'guo'jiang 补锅匠
'bu'kong'he'shang 不空和尚
'bu'ping'dao'ren 不平道人
'bu'tai 卜泰
'bu'xiang'ji 不相及
'bu'ying 卜鹰
'bu'yuan 卜垣
'cai'de'zhong 蔡德忠
'cai'wei 蔡威
'cai'yan'gong 采燕功
'cai'yi'xiao 蔡一潇
'can'he'zhi 参合指
'can'xue'shi 残血使
'cang'bian'da'chou 藏边大丑
'cang'bian'er'chou 藏边二丑
'cang'bian'san'chou 藏边三丑
'cang'bian'si'chou 藏边四丑
'cang'bian'wu'chou 藏边五丑
'cang'dao'shi 藏刀式
'cang'long'tian'jun 苍龙天君
'cang'song'ying'ke 苍松迎客
'cao'hua'chun 曹化淳
'cao'ling'ge'bi 曹令割鼻
'cao'meng 曹猛
'cao'neng 曹能
'cao'si'peng 曹司朋
'cao'yun'qi 曹云奇
'cen'qi'si 岑其斯
'ceng'rou 曾柔
'ceng'tie'ou 曾铁鸥
'cha'er'zhu 察尔珠
'cha'han'te'mu'er 察罕特穆尔
'cha'ji'zuo 查继左
'chai'dao'shi'ba'lu 柴刀十八路
'chan'si'qin'na'shou 缠丝擒拿手
'chang'an'yi'zhan 长安一战
'chang'bi'luo'han 长臂罗汉
'chang'bo'zhi 常伯志
'chang'chang'feng 常长风
'chang'he'zhi 常赫志
'chang'jin'peng 常金鹏
'chang'jing'zhi 常敬之
'chang'man'tian 常漫天
'chang'qi 昌齐
'chang'qing'zi 长青子
'chang'quan'shi'duan'jin 长拳十段锦
'chang'shan'she'shi 常山蛇势
'chang'sheng'bao'shu'wang 常胜宝树王
'chang'wei'du'jiang 长苇渡江
'chang'xiao'yan'luo 长啸雁落
'chao'ji'tian'fen 超级兲粉
'chao'tian'yi'gun 朝天一棍
'che'er'ku 车尔库
'chen'chong'zhi 陈冲之
'chen'da'fang 陈大方
'chen'da'hai 陈达海
'chen'gao'bo 陈高波
'chen'jin'nan 陈近南
'chen'lao'gai 陈老丐
'chen'qi 陈七
'chen'wai'zui 陈歪嘴
'chen'xuan'feng 陈玄风
'chen'zheng'de 陈正德
'cheng'bu'you 成不忧
'cheng'gao'dao'ren 成高道人
'cheng'guan'jia 程管家
'cheng'guang 澄光
'cheng'huang 成璜
'cheng'kun 成昆
'cheng'qing'zhu 程青竹
'cheng'shi 澄识
'cheng'tan'zhu 程坛主
'cheng'tong 澄通
'cheng'wei'fan 程维藩
'cheng'yao'jia 程遥迦
'cheng'yao'jia 程瑶迦
'cheng'ying 程瑛
'cheng'zi'shi'ba'po 城字十八破
'cheng'zi'xue 成自学
'chi'bai'cheng 迟百诚
'chi'bian'tiao'he 池边调鹤
'chi'kao'lian'quan 赤尻连拳
'chi'xuan 迟玄
'chi'yi'qian'yu 炽翼千羽
'chi'yue'xue'ji 赤月血祭
'chi'yue'xue'mo'jian 赤月血魔剑
'chong'xu'dao'zhang 冲虚道长
'chou'lian'han'zi 丑脸汉子
'chou'song'nian 仇松年
'chu'gu 初固
'chu'jiang'wang 楚江王
'chu'liu'xiang 楚留香
'chu'xi'dao 楚惜刀
'chu'zhi 出指
'chuan'xi'gao'yuan 川西高原
'chuang'shao'lin 闯少林
'chun'can'zhang'fa 春蚕掌法
'chun'wu'xia 纯武侠
'chun'yang'wu'ji'gong 纯阳无极功
'chun'yun'zha'zhan 春云乍展
'ci'bei'dao 慈悲刀
'ci'sheng'cha'ye 次生茶叶
'ci'sheng'da'suan 次生大蒜
'cong'bu'qi 丛不弃
'cui'bai'sheng 崔百胜
'cui'biao'tou 崔镖头
'cui'gao 催稿
'cui'qiu'shan 崔秋山
'cui'xi'min 崔希敏
'cui'xia'zi 崔瞎子
'cui'zhi'fang 崔志方
'da'ban'ye 大半夜
'da'bei'lao'ren 大悲老人
'da'cheng'qi 大乘期
'da'chi 大痴
'da'dian 大癫
'da'er'ba 达尔巴
'da'feng'tang'zhu 大风堂主
'da'feng'yun'fei'zhang 大风云飞掌
'da'fu'mo'quan'fa 大伏魔拳法
'da'gou'ru'dong 打狗入洞
'da'hai'chen'sha 大海沉沙
'da'huan'xing'zong'zong'zhu 大幻星宗宗主
'da'jin'gang'quan 大金刚拳
'da'jin'gang'zhang 大金刚掌
'da'li'ying'zhao'gong 大力鹰爪功
'da'mo'fei'sha 大漠飞沙
'da'mo'jian 达魔剑
'da'mo'jian'fa 达摩剑法
'da'mo'jian'shu 达摩剑术
'da'mo'ping'sha 大漠平沙
'da'mo'zhang 达摩掌
'da'qin'na'shou 大擒拿手
'da'shuai'bei'shou 大摔碑手
'da'song'yang'shen'zhang 大嵩阳神掌
'da'tie'qiang 大铁枪
'da'wa'zhuo'ma 达娃卓玛
'da'wei'tuo'chu 大韦陀杵
'da'xia'chuan'qi 大侠传奇
'da'xin'jun 大新君
'da'yang'tong'meng'deng 大洋同盟等
'da'ye'cha'gun 大夜叉棍
'da'ying'xiong 大英雄
'da'zhi'wu'ding'zhi 大智无定指
'dai'du'xing 戴独行
'dai'yong'ming 戴永明
'dai'zong'ru'he 岱宗如何
'dan'bian 单鞭
'dan'bo'shan 单伯山
'dan'ji'shan 单季山
'dan'qing'sheng 丹青生
'dan'qiu'zi 丹丘子
'dan'shu 丹术
'dan'shu'shan 单叔山
'dan'tie'sheng 单铁生
'dan'xiao'shan 单小山
'dang'dai'dao'zong 当代道宗
'dao'ba'ji 刀巴记
'dao'cong'li'de'shi 刀丛里的诗
'dao'di'chuan 刀帝传
'dao'jiang'wu'di'jin 到江吴地尽
'dao'pai 道派
'dao'ti'jin'zhong 倒提金钟
'dao'xu'shi 捣虚式
'de'bu 德布
'de'e 德鄂
'deng'ba'gong 邓八公
'deng'bing'chun 邓炳春
'deng'song'wang'yue 登嵩望月
'di'biao'tou 狄镖头
'di'huo'gong 地火功
'di'lie'shu 地裂术
'di'qing'xiang'long 狄青降龙
'di'rong 谛融
'di'tang'dao'fa 地堂刀法
'di'xiu 狄修
'di'yang'chu'fan 羝羊触蕃
'di'zang'song'jing 地藏颂经
'dian'ban 店伴
'dian'cang'jian'fa 点苍剑法
'dian'cang'pai 点苍派
'dian'cang'yu'yin 点苍渔隐
'dian'mu'zhao'jing 电母照镜
'dian'yan'shui 碘盐水
'diao'ke'lin'men 吊客临门
'die'cui'fu'qing 叠翠浮青
'die'hua'meng 蝶花盟
'ding'bu'san 丁不三
'ding'bu'si 丁不四
'ding'da'quan 丁大全
'ding'dang 丁珰
'ding'dian 丁典
'ding'jian 丁坚
'ding'jing'shi'tai 定静师太
'ding'ling'lin 丁灵琳
'ding'min'yin 丁敏尹
'ding'pan'sheng'si 定判生死
'ding'qi 丁麒
'ding'qing'qing 丁青青
'ding'tie'gan 丁铁干
'ding'tong 丁同
'ding'xi 丁喜
'ding'yang'zhen 定阳针
'ding'yi 定逸
'ding'you 丁游
'dong'fang'xuan'qiong 东方玄穹
'dong'kai'shan 董开山
'dong'xu 洞虚
'dong'xuan 洞玄
'dou'da'jin 都大锦
'dou'shi 都史
'dou'zhuan'xing'yi 斗转星移
'du'bai'dang 杜百当
'du'bi'dao'fa 独臂刀法
'du'e 渡厄
'du'gu'jiu'jian 独孤九剑
'du'jie 渡劫
'du'li'de 杜立德
'du'long'bian'fa 毒龙鞭法
'du'nan 渡难
'du'qing'tian 杜庆田
'du'shi'wang 都市王
'du'xi'meng 杜希孟
'du'yang'zi 独阳子
'du'zhang'lao 杜长老
'duan'mu'shi'chi'yan'dong 端木氏赤焰洞
'dui'ka'na 对喀纳
'dun'jia'zong 遁甲宗
'duo'long 多隆
'duo'luo'ye'zhi 多罗叶指
'duo'ming'lian'huan'san'xian'jian 夺命连环三仙剑
'duo'po'zhi 夺魄指
'e'bei'gui'jian'chou'zhong'jia 鄂北鬼见愁锺家
'e'hu'lan'lu 恶虎拦路
'e'mei'jian'fa 峨嵋剑法
'e'mei'jiu'yang'gong 峨嵋九阳功
'e'mo'huo'shen'jian 恶魔火神剑
'e'quan'lan'lu 恶犬拦路
'er'guo'lin'ge 尔国临格
'fan'bang'zhu 范帮主
'fan'guang'chu'xian 梵光初现
'fan'jie'gou'tun 反截狗臀
'fan'lai'shen'shou 饭来伸手
'fan'liang'yi'dao'fa 反两仪刀法
'fan'yao 范遥
'fan'yi'fei 范一飞
'fan'yi'weng 樊一翁
'fan'yu 范禹
'fan'zhong'en 范中恩
'fan'zhuan'qian'kun 翻转乾坤
'fang'bao'yu 方宝玉
'fang'da'hong 方大洪
'fang'dong'bai 方东白
'fang'ren'zhi 方人智
'fang'you'de 方有德
'fang'yu'fei 方玉飞
'fang'zheng 方证
'fei'feng'shou 飞凤手
'fei'sou 斐螋
'fei'tian'shen'xing 飞天神行
'fei'xu'jin 飞絮劲
'fei'yan'chuan'liu 飞燕穿柳
'fei'yan'hui'xiang 飞燕回翔
'fei'yao'duo'luo 费要多罗
'fei'yu'zu 斐蜮族
'fei'yun'zhen'ren 飞云真人
'feng'bao 风爆
'feng'bu'cui 冯不摧
'feng'bu'ping 封不平
'feng'bu'po 冯不破
'feng'fei'yan 凤飞烟
'feng'heng 冯衡
'feng'ji'zhong 风际中
'feng'juan'zhang'cao 风卷长草
'feng'liang 风良
'feng'mo'feng 冯默风
'feng'mo'zhang'fa 疯魔杖法
'feng'nan'di 冯难敌
'feng'nan'tian 凤南天
'feng'qu'chang'ming 凤曲长鸣
'feng'sha'mang'mang 风沙莽莽
'feng'si'niang 风四娘
'feng'tan 冯坦
'feng'tan'zhu 封坛主
'feng'tong'zhi 冯同知
'feng'wan'li 封万里
'feng'wu'ji 风无羁
'feng'xi'dao'shu 风系道术
'feng'yi'ming 凤一鸣
'feng'yuan'yin'cheng 封缘银城
'feng'yun'san'shi 风云三使
'feng'zhen'wu 冯振武
'fo'yu 佛域
'fo'zong'te'shi 佛宗特使
'fu'chang'xue 傅嫦雪
'fu'chen'fu'fa 拂尘拂法
'fu'hu'zhang 伏虎掌
'fu'mo'jian 伏魔剑
'fu'mo'zhang'fa 伏魔杖法
'fu'niu'pai 伏牛派
'fu'qi'dao'fa 夫妻刀法
'fu'qin'an'xiao 抚琴按箫
'fu'qin'shi 抚琴式
'fu'qiu'yi'xiu 浮丘挹袖
'fu'rong'jian'fa 芙蓉剑法
'fu'rong'jin'zhen 芙蓉金针
'fu'shi'sheng'xiang 伏狮胜象
'fu'shou 负手
'fu'yao'zi 扶摇子
'fu'yuan'shen'hou 福缘深厚
'fu'zi'du'he 负子渡河
'gai'yun'cong 盖运聪
'gang'feng'han'dang 罡风撼荡
'gang'feng'sao'ye 罡风扫叶
'gang'xiang 刚相
'gao'guan'jia 高管家
'gao'guan'yong 高冠勇
'gao'guan'zhong 高冠忠
'gao'jian'fei 高渐飞
'gao'ke'xin 高克新
'gao'lao'da 高老大
'gao'lao'zhe 高老者
'gao'li'jin 高里津
'gao'ming'gen 高明根
'gao'san'niang'zi 高三娘子
'gao'shi'di 高师弟
'gao'tai'jun 高太君
'gao'tan'ma 高探马
'gao'ya'nan 高亚南
'gao'yan'chao 高颜超
'ge'er'dan 葛尔丹
'ge'tong 葛通
'ge'zhang'lao 葛长老
'geng'jin'tian'jun 庚金天君
'geng'tian'shuang 耿天霜
'geng'wan'zhong 耿万钟
'gong'jiu 宫九
'gong'jiu'jia 宫九佳
'gong'nan'pin 宫南频
'gong'nan'ping 宫南萍
'gong'nan'yan 宫南燕
'gong'shu'jin 公输瑾
'gong'shu'men 公输门
'gong'su'su 宫素素
'gong'sun'lan 公孙兰
'gong'sun'lv'e 公孙绿萼
'gong'yan'hong 宫艳红
'gong'zi'yu 公子羽
'gou'tou'tuo 狗头陀
'gou'yi'wo'quan 钩弋握拳
'gu'ban'xian 古半仙
'gu'du'cheng 古笃诚
'gu'jin'biao 顾金标
'gu'mu'cong'qing'ai 古木丛青霭
'gu'ping'dui'yue 孤萍对月
'gu'ren'da 贾人达
'gu'ruo'ban 古若般
'gu'se'shi 鼓瑟式
'gu'shi'yong 古士庸
'gu'song 孤松
'gu'su'mu'rong 姑苏慕容
'gu'xian'ren 古仙人
'guan'an'ji 关安基
'guan'chong'jian 关冲剑
'guan'ming'mei 关明梅
'gui'ci'wang'fei 龟慈王妃
'gui'er'niang 归二娘
'gui'fei'hui'mou 贵妃回眸
'gui'jing 硅晶
'gui'suan'pan 鬼算盘
'gui'xin'shu 归辛树
'gui'zhong 归钟
'guo'da'lu 郭大路
'guo'po'lu 郭破虏
'guo'san'quan 过三拳
'guo'song'yang 郭嵩阳
'guo'xiao'tian 郭啸天
'guo'yu'tang 郭玉堂
'guo'zhu 国主
'ha'chi'da'shi 哈赤大师
'ha'he'tai 哈合台
'ha'ma'gong 蛤蟆功
'ha'zong'guan 哈总管
'hai'lan'bi 海兰弼
'han'bao'ju 韩宝驹
'han'bing'mian'zhang 寒冰绵掌
'han'bing'shen'zhang 寒冰神掌
'han'chun'lin 韩春霖
'han'lao'gai 韩老丐
'han'mei'jian'zhen 寒梅剑阵
'han'qian'ye 韩千叶
'han'shuang'feng 寒霜枫
'han'tie'mo 罕贴摩
'han'wen'chong 韩文冲
'han'wu'gou 韩无垢
'han'xiao'ying 韩小莹
'han'zi'jia'zu 寒字家族
'hao'mi 郝密
'hao'tai'jian 郝太监
'hao'xing'zhen'ren 昊星真人
'he'bi'weng 鹤笔翁
'he'da'tong 赫大通
'he'er'da 和尔大
'he'fei'jiu'tian 鹤飞九天
'he'hong'yao 何红药
'he'jin'jiu 合卺酒
'he'lao'san 贺老三
'he'li'bu 和里布
'he'san'qi 何三七
'he'shang'shu 贺尚书
'he'she'ba'da 鹤蛇八打
'he'shuo'li'wei 河朔立威
'he'si'hao 何思豪
'he'tai'chong 何太冲
'he'ti'shou 何惕守
'he'tie'shou 何铁手
'he'wang'hai 何望海
'he'xiang'zi'gai 鹤翔紫盖
'hei'bai'zi 黑白子
'hei'feng'shuang'sha 黑风双煞
'hei'sha'zhang 黑砂掌
'heng'bai'guan'yin 横拜观音
'heng'he'ru'hai 恒河入海
'heng'jiang'fei'du 横江飞渡
'heng'shan'jian'fa 恒山剑法
'heng'shan'jian'zhen 恒山剑阵
'heng'shan'wu'shen'jian 衡山五神剑
'heng'yun'duan'feng 横云断峰
'heng'yun'min'tian 恒云悯天
'hong'an'tong 洪安通
'hong'chao 洪朝
'hong'dian 红电
'hong'ling'bo 洪凌波
'hong'mo'shi'xue'jian 虹魔嗜血剑
'hong'niang'zi 红娘子
'hong'qi'gong 洪七公
'hong'ren'xiong 洪人雄
'hong'sheng'hai 洪胜海
'hong'wu'xing'yun'xiao'dian 洪武星云霄殿
'hong'ya'pai'jian 洪崖拍肩
'hong'yun'lao'zu 红云老祖
'hong'yun'qi'zhai 红云器斋
'hou'fei'wen 侯飞文
'hou'ren'ying 侯人英
'hou'shan'san'jue'zhao 后山三绝招
'hou'tong'hai 侯通海
'hu'an'ping 胡安屏
'hu'ba'yin 呼巴音
'hu'bei'ruan'jia 湖北阮家
'hu'bu'chou 胡不愁
'hu'de'di 胡德第
'hu'dou'hu 忽都虎
'hu'gui'nan 胡桂南
'hu'jia'dao'fa 胡家刀法
'hu'lao'qi 胡老七
'hu'lun'da'hu 忽伦大虎
'hu'lun'er'hu 忽伦二虎
'hu'lun'san'hu 忽伦三虎
'hu'lun'si'hu 忽伦四虎
'hu'ma'yue'ling 胡马越岭
'hu'qing'yang 胡青羊
'hu'tie'hua 胡铁花
'hu'yan'shi'ba'bian 呼延十八鞭
'hu'yan'wan'shan 呼延万善
'hu'yi'zhi 胡逸之
'hu'yin'ke 呼音克
'hu'zhao'jue'hu'shou 虎爪绝户手
'hu'zhao'shou 虎爪手
'hua'bo'si'ji 华伯斯基
'hua'gong'da'fa 化功大法
'hua'hai'piao'xiang 花海飘香
'hua'hua'feng 华华凤
'hua'kai'jian'fo 花开见佛
'hua'man'lou 花满楼
'hua'quan'men 华拳门
'hua'rong'yun'bin 花容云鬓
'hua'shan'jian'fa 华山剑法
'hua'tie'gan 花铁干
'hua'wan'zi 花万紫
'hua'yue'lou 花月楼
'hua'yun 花云
'hua'zhen'zhen 华真真
'huan'jian'shi 幻剑式
'huan'mo'xing'li 幻魔星力
'huan'mo'xing'zhen 幻魔星阵
'huan'qian'xun 幻千寻
'huan'xiao'fu 幻小复
'huan'xing'men'ren 幻星门人
'huan'xing'shang'ren 幻星上人
'huan'yin'zhi 幻阴指
'huan'zhen 幻阵
'huang'bo'liu 黄伯流
'huang'er'mao'zi 黄二毛子
'huang'fu 黄甫
'huang'fu'ge 皇甫阁
'huang'guo'bai 黄国柏
'huang'jin'kui 黄金魁
'huang'long'jian'zong 黄龙剑宗
'huang'long'zi 黄龙子
'huang'mei'he'shang 黄眉和尚
'huang'mian'dao'ren 黄面道人
'huang'quan'ni'liu 黄泉逆流
'huang'sha'wan'li'bian'fa 黄沙万里鞭法
'huang'xi'jie 黄希节
'huang'xu'ren 黄须人
'huang'yang'zhen'shou 皇扬震首
'huang'zhong'gong 黄钟公
'huang'zhong'gong 黄锺公
'hui'cong'chan'shi 晦聪禅师
'hui'da'ruan'bian'shi'san'shi 回打软鞭十三式
'hui'feng'fu'liu'dao 回风拂柳刀
'hui'feng'fu'liu'quan 回风拂柳拳
'hui'feng'luo'yan'jian 回风落雁剑
'hui'feng'luo'yan'jian'fa 回风落雁剑法
'hui'feng'zhang 回风掌
'hui'guan 慧观
'hui'meng'tong'you 回梦通幽
'hui'xing'fei'duo 彗星飞堕
'hui'yan'san'jue 回雁三决
'hui'yue'shi 辉月使
'hui'zhen 慧真
'hun'dun'yi'po 混沌一破
'hun'tian'gong 混天功
'hun'yuan'jian 混元剑
'hun'yuan'qi 混元气
'huo'a'yi 霍阿伊
'huo'xi'dao'shu 火系道术
'huo'yan'dao 火焰刀
'huo'yuan'long 霍元龙
'ji'biao'tou 季镖头
'ji'bing'yan 姬冰雁
'ji'mie'zhao 寂灭爪
'ji'qing'xuan 姬清玄
'ji'ren'tong 吉人通
'ji'wu'fei 姬无非
'ji'wu'shi 计无施
'ji'xiao'feng 姬晓峰
'ji'yu'da'ping 急雨打萍
'ji'zhan'tian 姬战天
'ji'zhang'lao 季长老
'ji'zi'jue 挤字诀
'jia'bu 贾布
'jia'chuan'jian'fa 家传剑法
'jia'dong'fang'bu'bai 假东方不败
'jia'lao'liu 贾老六
'jia'lao'zhe 贾老者
'jia'le'shan 贾乐山
'jia'ye'he'shang 迦业和尚
'jian'bu'zi'ru 剪补自如
'jian'chu 建除
'jian'guan'jia 简管家
'jian'luo'shuang'yan 剑落双雁
'jian'qi'chang'jiang 剑气长江
'jian'ren'shen'shou 见人伸手
'jian'zhang'lao 简长老
'jiang'bai'sheng 江百胜
'jiang'hu'xian'hua 江湖闲话
'jiang'nan'shi'jia 江南史家
'jiang'qing'xia 江轻霞
'jiang'shang'nong'di 江上弄笛
'jiang'shi'quan 僵尸拳
'jiang'shi'shu 姜师叔
'jiang'si'gen 蒋四根
'jiang'tian'shou 蒋天寿
'jiang'tiao'hou 蒋调侯
'jiang'xiao'tie 姜小铁
'jiang'zhong'wei 江重威
'jiao'gong'li 焦公礼
'jiao'mu'he'shang 焦木和尚
'jiao'wan'er 焦宛儿
'jiao'wen'qi 焦文期
'jiao'wu'na 娇无那
'jie'feng 解风
'jie'jiao 截教
'jie'shou'jiu'shi 截手九式
'jie'wen'bao 解文豹
'jie'xue'mi'jue 解穴秘诀
'jin'bi'sheng'hua 锦笔生花
'jin'bu'ban'lan'chui 进步搬拦锤
'jin'gang'bo're'zhang 金刚般若掌
'jin'gang'chan'shi'zi'hou 金刚禅狮子吼
'jin'gang'che'wei 金刚掣尾
'jin'gang'fu'hu 金刚伏虎
'jin'gang'fu'hu'dao'fa 金刚伏虎刀法
'jin'gang'hu'ti'shen'gong 金刚护体神功
'jin'gang'men 金刚门
'jin'gang'zhi 金刚指
'jin'long'bian'fa 金龙鞭法
'jin'lun'du'jie 金轮度劫
'jin'luo'na'wang'gun 紧罗那王棍
'jin'she'chan'si'shi 金蛇缠丝式
'jin'she'pan'shen'shi 金蛇盘身式
'jin'she'qin'he'quan 金蛇擒鹤拳
'jin'she'sheng'tian'shi 金蛇升天式
'jin'she'tu'xin'shi 金蛇吐信式
'jin'she'you'shen'shi 金蛇游身式
'jin'she'you'shen'zhang 金蛇游身掌
'jin'she'zhui 金蛇锥
'jin'wu'dao'fa 金乌刀法
'jin'wu'pai 金乌派
'jin'wu'wang 金无望
'jin'xue 金血
'jin'yan'gong 金雁功
'jin'yan'heng'kong 金雁横空
'jin'ying'zhang'gui 金鹰掌柜
'jing'hui 静慧
'jing'ji 净济
'jing'jia 静迦
'jing'kong 静空
'jing'peng'bao'jing 敬捧宝经
'jing'qing 净清
'jing'xu'shi'tai 静虚师太
'jing'xuan'shi'tai 静玄师太
'jing'yin 静因
'jing'yin'shi'tai 静音师太
'jing'zhao 静照
'jing'zhi'da'shi 静智大师
'jiu'long'bian'fa 九龙鞭法
'jiu'long'pai 九龙派
'jiu'mo'zhi 鸠摩智
'jiu'pin'lian'tai 九品连台
'jiu'si'sheng 九死生
'jiu'tian'luo'lei 九天落雷
'jiu'xuan'xing'jian 九玄星箭
'jiu'xuan'xing'li'tian'wang 九玄星力天网
'jiu'xuan'xing'yu 九玄星雨
'jiu'yi'dao'ren 九翼道人
'jiu'yin'bai'gu'zhao 九阴白骨爪
'jiu'yin'zhen'jing 九阴真经
'jiu'you'li'shui'jue 九幽离水诀
'jiu'zhao'hui'jin'chui 救赵挥金锤
'ju'huo'liao'tian 举火撩天
'ju'huo'liao'tian 举火燎天
'ju'ming'bao'shu'wang 俱明宝树王
'ju'ming'xing 巨瞑星
'ju'shen'shu 拘神术
'ju'tong 俱通
'ju'xing'hua'xu 聚星化虚
'ju'you 菊友
'jue'dui'bu'yao're'wo 绝对不要惹我
'jue'jian 绝剑
'jue'yuan 觉远
'jue'yuan'da'shi 觉远大师
'jue'yue 觉月
'jun'ling'heng'kong 峻岭横空
'ka'si'li 喀丝丽
'kai'bie'xing 凯别兴
'kai'shan'zhang 开山掌
'ke'wan'jun 柯万钧
'ke'zhen'e 柯镇恶
'kong'he'gong 控鹤功
'kong'ji'cang'ying 空击苍鹰
'kong'jian'di'xing'zhi'shu 空间地行之术
'kong'ming'quan 空明拳
'kong'wen 空闻
'kong'zhi 空智
'ku'chan'da'shi 苦禅大师
'ku'chen'da'shi 苦嗔大师
'ku'gua'da'shi 苦瓜大师
'ku'lou'hua 骷髅画
'ku'nao'quan 苦恼拳
'ku'rong'chan'gong 枯荣禅功
'ku'rong'zhang'lao 枯荣长老
'ku'rong'zhen'ren 枯荣真人
'kuai'huo'san'shi'zhang 快活三十掌
'kuang'bao'guan 邝宝官
'kuang'feng'kuai'jian 狂风快剑
'kuang'tian'xiong 邝天雄
'kui'hua'bao'dian 葵花宝典
'kui'lei'shu 傀儡术
'kun'lun'jian'fa 昆仑剑法
'kun'lun'jian'zong 昆仑剑宗
'lai'fu'er 来福儿
'lai'he'qing'quan 来鹤清泉
'lan'qin 蓝秦
'lan'tian'he 蓝天和
'lang'shi'fu 郎师傅
'lang'yue'wu'yun 朗月无云
'lao'de'nuo 劳德诺
'lao'shi'he'shang 老实和尚
'lao'tai'jian 劳太监
'lao'yue'shi 捞月式
'lao'zhi'heng'xie 老枝横斜
'le'hou 乐厚
'lei'meng 雷猛
'lei'xi'dao'shu 雷系道术
'lei'yi'xiao 雷一啸
'leng'qiu'hun 冷秋魂
'li'da'yuan 李大元
'li'guan'yu 李观鱼
'li'hong'xiu 李红袖
'li'huai 李坏
'li'ke'xiu 李可秀
'li'li'shi 李力世
'li'pi'san'guan 力劈三关
'li'qi 李绮
'li'san 李三
'li'sheng 黎生
'li'shi'kai 李式开
'li'si'cui 李四摧
'li'tian'heng 李天恒
'li'ting'bao 李廷豹
'li'wan'shan 李万山
'li'xi'hua 李西华
'li'yu'han 李玉涵
'li'yuan'zhi 李沅芷
'lian'cheng'bi 连城璧
'lian'cheng'jue 连诚诀
'lian'hua'yan'zi 怜花研姿
'lian'hua'zhang 莲花掌
'lian'huan'mi'zong'tui 连环迷踪腿
'lian'ni'chang 潋霓裳
'lian'shen 炼神
'lian'shen'qi 炼神期
'lian'shen'shi 炼神士
'lian'shi'chang 连世昌
'lian'ti 炼体
'lian'ti'shi 炼体士
'lian'yu'shi 炼狱使
'liang'guang'hao'jie 两广豪杰
