'an'mu 暗目
'gong'ji'shi'zui'you'xiao'de'fang'yu 攻击是最有效的防御
'gong'ji'yong'fei 攻击用飞
'gong'qi 公气
'gu'feng 古风
'gu'qi 孤棋
'gu'shi 孤势
'gua'jiao 挂角
'guan'men'chi 关门吃
'guan'wu'e'shou 关无恶手
'guan'yi'tu 观弈图
'guan'zi 官子
'gui'jia 龟甲
'gui'shou 鬼手
'gun'bao 滚包
'gun'da 滚打
'gun'da'bao'shou 滚打包收
'gun'da'bao'shou'ju'jin'bi 滚打包收俱谨避
'guo'fen 过分
'guo'qiang 过强
'hai'jia 还夹
'hai'qi'tou 还棋头
'hai'ti 还提
'hao'qi 好棋
'hao'shou 好手
'he'luo 河洛
'hei'bai 黑白
'hou'bi 厚壁
'hou'lian'xing 猴脸形
'hou'shi 厚势
'hou'shou 后手
'hou'shou'huo 后手活
'hou'shou'jie 后手劫
'hou'shou'si 后手死
'hou'shou'yan 后手眼
'hou'zhong'xian 后中先
'hou'zi'lian 猴子脸
'hu'duan 护断
'hu'kou 虎口
'hu'ti'er'zi 互提二子
'hu'wei 互围
'huai'qi 坏棋
'huan'ji 缓急
'huan'qi'jie 缓气劫
'huan'zhe 缓着
'huang'ying'pu'die 黄莺扑蝶
'hui'jia 回夹
'hui'long'zheng 回龙征
'hui'qi 悔棋
'hui'ti 回提
'hui'wen'zheng 回纹征
'hun'zhe 昏着
'huo'qi 活棋
'ji'fen 积分
'ji'fen'xun'huan'zhi 积分循环制
'ji'shi 计时
'ji'shi'zhong 计时钟
'ji'suan 计算
'ji'suo 急所
'jia'chi 枷吃
'jia'sai 加赛
'jia'ya'qi 加压棋
'jia'yan 假眼
'jian'chong 肩冲
'jian'chong 尖冲
'jian'chu 尖出
'jian'ding 尖顶
'jian'duan 尖断
'jian'feng 尖封
'jian'he 见合
'jian'ming 简明
'jian'shi 坚实
'jian'sun 见损
'jian'wu'e'shou 尖无恶手
'jiao'chi 叫吃
'jiao'huan 交换
'jiao'jie 交接
'jiao'shou 交手
'jie'bu'gui 接不归
'jie'cai 劫材
'jie'gou 结构
'jie'huo 劫活
'jie'sha 劫杀
'jie'wang 劫王
'jie'zheng 劫争
'jin'dui'zi 紧对子
'jin'ji'du'li 金鸡独立
'jin'jiao'yin'bian'cao'du'pi 金角银边草肚皮
'jin'jie 紧劫
'jin'jing'lan 金井栏
'jin'qi 紧气
'jin'qi'jie 紧气劫
'jing'chi 净吃
'jing'gao 警告
'jing'huo 净活
'jing'sha 净杀
'jiu'duan 九段
'jiu'gong 九宫
'jiu'ji 九级
'jiu'lu 九路
'ju'bu'ding'shi 局部定式
'ju'ji 狙击
'ju'mian 局面
'ju'qi'bu'ding'bu'sheng'qi'ou 举棋不定不胜其耦
'ju'shi 局势
'ju'ti 具体
'ju'wai 局外
'kai'chai 开拆
'kai'hua 开花
'kai'jie 开劫
'kai'ju 开局
'kai'pan 开盘
'kong'san'jiao 空三角
'kuan'qi'jie 宽气劫
'lai'pi'jie 赖皮劫
'lan'ke 烂柯
'lao'zi 落子
'lei'ji'fen 累积分
'lei'tai'sai 擂台赛
'lei'tai'zhi 擂台制
'leng'zhe 冷着
'li'er'chai'san 立二拆三
'li'qi 力棋
'li'san'chai'si 立三拆四
'lian'ban 连扳
'lian'huan'jie 连环劫
'lian'zi 恋子
'liang'cheng 两秤
'liang'da'tong'qing'bu'da 两打同情不打
'liang'fen 两分
'liang'hou'shou 两后手
'liang'huo 两活
'liang'jian'gao'jia 两间高夹
'liang'jian'jia 两间夹
'liang'jie 两劫
'liang'ni 两睨
'liang'shou'jie 两手劫
'liang'shou'xian 两手先
'liang'tou'she 两头蛇
'liang'zi'zhi'tou'bi'ban 两子之头必扳
'lie'shi 劣势
'lie'xing 裂形
'liu'duan 六段
'liu'ji 六级
'liu'si'ba'huo 六死八活
'lou'feng'fang'xiang'bu'wei'di 漏风方向不围地
'lou'zhe 漏着
'lue'zhen 略阵
'mang'dian 盲点
'mei'bo'xing 梅钵形
'men'chi 门吃
'men'chi 闷吃
'miao'qi 妙棋
'miao'shou 妙手
'miao'zhao 妙着
'ming'ju 名局
'ming'yu'duan'wei 名誉段位
'mo'fang'qi 模仿棋
'mu'wai 目外
'mu'yang 模样
'mu'ye'hu 木野狐
'nan'wang'bei'gu 南王北顾
'nei'ban 内扳
'nei'qi 内气
'ni'shou 逆收
'ni'zhuan 逆转
'ning'xing 凝形
'niu'duan 扭断
'niu'yang'tou 扭羊头
'pan'jiao'qu'si 盘角曲四
'pan'mian 盘面
'pao'jie 抛劫
'pei'zhi 配置
'peng'ru 碰入
'pian'yi 便宜
'pian'zhe 骗着
'ping'ju 平局
'po'yan 破眼
'pu'jie 扑劫
'qi'chang 气长
'qi'chi 棋痴
'qi'cong'duan'chu'da 棋从断处打
'qi'cong'duan'chu'sheng 棋从断处生
'qi'duan 七段
'qi'duan 气短
'qi'guan 棋馆
'qi'guan 棋罐
'qi'hao 棋豪
'qi'hao'shou'shi 起好手式
'qi'he 棋盒
'qi'he 气合
'qi'ji 七级
'qi'jie 棋杰
'qi'jie 棋界
'qi'jin 棋筋
'qi'jin 气紧
'qi'jing 棋精
'qi'ju 棋具
'qi'ju 棋局
'qi'li 棋力
'qi'li 棋理
'qi'lu 棋路
'qi'mang 棋盲
'qi'mi 棋迷
'qi'nv 棋女
'qi'pan 棋盘
'qi'pan'fang'wei 棋盘方位
'qi'ping 棋评
'qi'ping 棋枰
'qi'sheng 棋圣
'qi'shi 棋士
'qi'shou 奇手
'qi'shou 棋手
'qi'shu 棋书
'qi'shu 气数
'qi'tan 棋坛
'qi'wai 棋外
'qi'xiao 棋校
'qi'xing 棋型
'qi'xing 棋形
'qi'yan 棋宴
'qi'you 汽油
'qi'yuan 棋院
'qi'zhe 奇着
'qi'zhe 欺着
'qi'zhong 棋钟
'qi'zhuo 棋桌
'qi'zi 弃子
'qi'zi 棋子
'qi'zi'yan'bian'huo'ye'shu 七子沿边活也输
'qi'zi'zheng'xian 弃子争先
'qian'xiao 浅消
'qiang'gong 强攻
'qiang'shou 强手
'qiang'ying 强硬
'qiao'shou 巧手
'qiao'zhe 巧着
'qie'duan 切断
'qin'fen 侵分
'qin'ru 侵入
'qin'xiao 侵消
'qiu'tou'chang 求投场
'qu'xiang 趣向
'qu'zhen 曲镇
'quan'tou'liu 拳头六
'rang'mu 让目
'rang'qi 让棋
'rang'xian 让先
'rang'zi 让子
'rang'zi'qi 让子棋
'rao'zi 饶子
'ru'fu'zheng'zheng'mian 入腹争正面
'ru'jie'yi'huan 入界宜缓
'ru'shen 入神
'ruan'zhe 软着
'ruo'yu 若愚
'ruo'zhe 弱着
'san'duan 三段
'san'ji 三级
'san'jian'di'jia 三间低夹
'san'jian'gao'jia 三间高夹
'san'jie'lian'huan 三劫连环
'san'jie'xun'huan 三劫循环
'san'lian'xing 三连星
'san'lian'xing'bu'ju 三连星布局
'san'liu'qin'fen 三六侵分
'san'lu 三路
'san'san 三三
'san'shou'jie 三手劫
'san'si 三四
'san'wu 三五
'san'wu'qin'fen 三五侵分
'san'yu'wu 三羽乌
'sha'qi 杀棋
'sha'qi 杀气
'shang'ban 上扳
'shang'li 上立
'shang'shou 上手
'shang'ya 上压
'shen'qi 伸气
'shen'tui 伸腿
'sheng'dong'ji'xi 声东击西
'sheng'duan 升段
'sheng'fu 胜负
'sheng'fu'gan 胜负感
'sheng'fu'shou 胜负手
'sheng'gu'xin'ran'bai'yi'ke'xi 胜固欣然败亦可喜
'sheng'ji 胜机
'sheng'shi 胜势
'sheng'si'jie 生死劫
'sheng'zhe 胜着
'shi'di 实地
'shi'ji 十级
'shi'jiu'lu 十九路
'shi'kong 实空
'shi'li 实利
'shi'qi'lu 十七路
'shi'san'lu 十三路
'shi'yan 实眼
'shi'yi'lu 十一路
'shi'ying'shou 试应手
'shi'zhao 失着
'shou'duan 手段
'shou'fa 手法
'shou'ge 手割
'shou'ge'fen'xi 手割分析
'shou'hou 收后
'shou'jiao 守角
'shou'jin 手筋
'shou'pi'shi'ba'ju 手批十八局
'shou'qi 收气
'shou'shu 手数
'shou'shu 收束
'shou'tan 手谈
'shou'xian 受先
'shou'zhuo 守拙
'shou'zi 受子
'shou'zi 授子
'shou'zi 收子
'shu'kong 数空
'shu'mu 数目
'shu'zi 数子
'shu'zi'fa 数子法
'shuang'chi 双吃
'shuang'da 双打
'shuang'dao'pu 双倒扑
'shuang'fang'hou'shou 双方后手
'shuang'fang'xian'shou 双方先手
'shuang'fei'yan 双飞燕
'shuang'guan 双关
'shuang'guan 双官
'shuang'hu 双虎
'shuang'huo 双活
'shuang'jiao'chi 双叫吃
'shuang'jie 双劫
'shuang'xian'guan'zi 双先官子
'shun'xu 顺序
'si'duan 四段
'si'huo 死活
'si'ji 四级
'si'jie 四劫
'si'jie'lian'huan 四劫连环
'si'jie'xun'huan 四劫循环
'si'liu 四六
'si'lu 四路
'si'qi 死棋
'si'shi 四时
'si'si 四四
'si'wu 四五
'si'xiang 四象
'si'yu 四隅
'song'qi'jie 松气劫
'song'qi'san'jiao 松气三角
'song'zhe 松着
'sou'gen 搜根
'su'du 速度
'su'jin 俗筋
'su'shou 俗手
'sui'shou'qi 随手棋
'sun'jie 损劫
'tai'xiang 台象
'tai'xiang'sheng'gen'dian'sheng'tuo 台象生根点胜托
'tai'xiang'xing 台象形
'tan'qi 谈棋
'tan'xing 弹性
'tan'ze'duo'bai'qie'ze'shao'gong 贪则多败怯则少功
'tao'chu'yong'guan 逃出用关
'tao'hua'wu 桃花五
'tao'jie 套劫
'tao'shi'tiao'feng'shi'fei 逃是跳封是飞
'teng'nuo 腾挪
'teng'nuo'yong'kao 腾挪用靠
'ti'jie 提劫
'ti'kong 提空
'ti'zi 提子
'ti'zi'kai'hua'san'shi'mu 提子开花三十目
'tian'kong 填空
'tian'wang'shan 天王山
'tian'xia'jie 天下劫
'tian'yuan 天元
'tiao'er 跳二
'tiao'yi 跳一
'ting'tou 挺头
'tong'pan'jie 通盘劫
'tong'you 通幽
'tou'dian 透点
'tou'jie 投劫
'tou'ru 投入
'tou'zi 投子
'tuan'zi'qi 团子棋
'tuo'du 托渡
'tuo'jiao 托角
'tuo'xian 脱先
'wai'ban 外扳
'wai'guai 外拐
'wai'jia 外家
'wai'qi 外气
'wai'shi 外势
'wan'bai 完败
'wan'jie'bu'ying 万劫不应
'wan'nian'jie 万年劫
'wan'sheng 完胜
'wang'you 忘忧
'wei'chu 围出
'wei'di 围地
'wei'jian 围歼
'wei'kong 围空
'wei'li 违例
'wei'lie 围猎
'wei'qi 围棋
'wei'qi'shi 围棋史
'wei'qi'shi'shang 围棋史上
'wu'duan 五段
'wu'ji 五级
'wu'ji 无级
'wu'jian'jie 舞剑劫
'wu'li'shou 无理手
'wu'lu 五路
'wu'sheng'fu 无胜负
'wu'tu 吴图
'wu'wu 五五
'wu'xing 五行
'wu'you'jiao 无忧角
'wu'you'jie 无忧劫
'xi'qi 细棋
'xia'ban 下扳
'xia'jie 瞎劫
'xia'li 下立
'xia'shou 下手
'xia'zi 下子
'xian'er 先二
'xian'liang 先两
'xian'shou 先手
'xian'shou'huo 先手活
'xian'shou'jie 先手劫
'xian'shou'si 先手死
'xian'xiang'xian 先相先
'xiang'bu 象步
'xiang'si'duan 相思断
'xiang'yan 象眼
'xiang'yan'jian'chuan'ji'liang'hang 象眼尖穿忌两行
'xiao'fei 小飞
'xiao'fei'gua 小飞挂
'xiao'fei'gua'jiao 小飞挂角
'xiao'fei'shou'jiao 小飞守角
'xiao'fen 小分
'xiao'jian 小尖
'xiao'mu 小目
'xiao'pan 小盘
'xiao'qiao 小巧
'xiao'xie'fei 小斜飞
'xiao'xue'beng 小雪崩
'xie'yan'shi'bu'ju 蟹眼式布局
'xie'yan'shi'bu'ju'zi'jie'shuang'zheng 蟹眼式布局子解双征
'xin'an'pai 新安派
'xin'shou 新手
'xin'xing 新型
'xing'beng 形崩
'xing'fang'bi'qu 形方必觑
'xing'lie 形裂
'xing'qi 行棋
'xing'shi 形势
'xing'shi 形式
'xing'shi'pan'duan 形势判断
'xing'wei 星位
'xing'zhuang 形状
'xiu'rong'liu'bu'ju 秀荣流布局
'xiu'zai'shang 秀哉赏
'xu'jia 虚夹
'xu'pan 序盘
'xu'shi 虚实
'xu'yi 续弈
'xuan'dian 选点
'xun'huan'jie 循环劫
'xun'jie 寻劫
'ya'qiang'bu'ya'ruo 压强不压弱
'yan'qi 延气
'yan'wei 眼位
'yan'xing 眼形
'yao'cao'jie 摇槽劫
'yao'dian 要点
'ye'yu'qi'shou 业余棋手
'yi'ben'dao 一本道
'yi'dan'san'niao 一石三鸟
'yi'duan 一段
'yi'fang'di 一方地
'yi'ji 一级
'yi'jian'gao'jia 一间高夹
'yi'jian'jia 一间夹
'yi'lu 一路
'yi'qi 弈棋
'yi'shou 一手
'yi'shou'jie 一手劫
'yi'wen 疑问
'yi'wen'shou 疑问手
'yi'zi'bu'shen'man'pan'jie'shu 一子不慎满盘皆输
'yi'zi'jie'shuang'zheng 一子解双征
'yin'zheng 引证
'yin'zheng 引征
'ying'jie 应劫
'ying'tui 硬腿
'yong'zhi 用智
'yong'zi 永子
'you'lie 优劣
'you'shi 优势
'yu'qiu'ping 玉楸枰
'yu'xing 愚形
'yu'xing'san'jiao 愚形三角
'yu'xing'zhi'jin 愚形之筋
'yu'xing'zuo'qing'kan'you 欲行左请看右
'yu'zhu 玉柱
'yun'zi 云子
'zao'jie 造劫
'zhan'dou 战斗
'zhang'gu'niu 胀牯牛
'zhang'si'niu 胀死牛
'zhao'jie 找劫
'zhao'jie'cai 找劫材
'zhe'chong 折冲
'zhe'teng 折腾
'zhen'yan 真眼
'zheng'jie 争劫
'zheng'pan 整盘
'zheng'qi 争棋
'zheng'sheng 争胜
'zheng'xian 争先
'zheng'xing 整形
'zheng'ying 正应
'zheng'zhao 正着
'zheng'zheng 正征
'zheng'zi 征子
'zheng'zi'guan'xi 征子关系
'zhi'gu 治孤
'zhi'si 直四
'zhong'fu 中腹
'zhong'ju 中局
'zhong'ju 终局
'zhong'ju'sheng 中局胜
'zhong'pan 中盘
'zhong'pan 终盘
'zhong'pan'sheng 中盘胜
'zhong'tu'ban'duan 中途半端
'zhong'xia 重下
'zhong'ya'sheng 中押胜
'zhuan'huan 转换
'zhuang'dao'pu 装倒扑
'zhuang'qi 撞气
'zhui'sha 追杀
'zhun'ming'ren 准名人
'zi'li 子力
'zi'xiao 子效
'zi'you'rang'zi 自由让子
'zuo'fan 坐藩
'zuo'huo 做活
'zuo'jie 做劫
'zuo'jie'cai 做劫材
'zuo'qi 做棋
'zuo'yan 做眼
'zuo'yin 坐隐
'zuo'you'tong'xing'shi'qi'zhong 左右同形适其中
'zuo'zhao 坐照
'zuo'zi 座子
