'a'du'li'yu'fo'shen'tong 阿闍梨与佛身同
'ban'cheng'gang'long'ban'min'tian 半乘冈垄半民田
'ban'chui'gang'long'xia'min'tian 半垂冈陇下民田
'ban'fu'gu'chan'yan 半幅古潺颜
'ban'ji'fu'yao'qin 半偈伏姚秦
'ban'nian'li'bie'meng 半年离别梦
'ban'nv'hen'liang'biao 班女恨凉飙
'ban'sheng'xian'you'yu 半生闲有馀
'ban'shi'e'mei'xue 半是峨嵋雪
'ban'shi'zhang'tou'hen 半是杖头痕
'ban'tian'shan'jiao'si'men'ping 半天山脚寺门平
'ban'tian'yun'gai'feng 半天云盖峰
'ban'ye'lao'yuan'yin 半夜老猿吟
'ban'ye'luan'shan'zhong 半夜乱山中
'ban'yue'xuan'he'liu'yan'tai 半月暄和留艳态
'ban'zhu'yan'shen'yue'niao'ti 斑竹烟深越鸟啼
'ban'zui'yang'kuang'xiao'lao'shen 伴醉佯狂笑老身
'bang'cai'bi'yun'liu 傍采碧云流
'bang'jian'jue'wei'lao 傍涧蕨薇老
'bang'lai'jin'dai'hun 傍来尽带浑
'bang'xia'zhu'guan'gui 榜下注官归
'bao'chi'zheng'he'yu'xun'chang 保持争合与寻常
'bao'dian'dong'bian'yuan'zui'you 宝殿东边院最幽
'bao'feng'ji'chao'can 薄俸继朝餐
'bao'ji'guan'men'jiu 抱疾关门久
'bao'jie'zha'li'xin'jian'xue 抱节乍离新涧雪
'bao'yin'you'shen'xiang'xuan'pu 饱饮游神向悬圃
'bao'you'ceng'zhu'dong'ting'bian 薄游曾驻洞庭边
'bao'yu'dan'shang'xin 抱玉但伤心
'bao'yue'fen'hui'zhao'shu'tian 宝月分辉照蜀天
'bao'zhao'duo'suo'de 鲍昭多所得
'bao'zhong'geng'qiu'zhuang'dian'xia 保重更求装钿匣
'bei'di'you'chang'zheng 北地有长征
'bei'feng'chui'xia'yu 北风吹夏雨
'bei'gu'chuang'qian'bai'lang'fan 北固窗前白浪翻
'bei'gu'ji'yin'yan 北固积吟烟
'bei'ji'men'zhan'zi'qi'zhong 北极门瞻紫气中
'bei'ji'xin'ying'zhu 北极新英主
'bei'jing'sang'luan'li'dan'feng 北京丧乱离丹凤
'bei'juan'ju'shi'xin 碑镌巨石新
'bei'lai'ru'shi'shuo 北来儒士说
'bei'mian'cheng'lin'deng'ying'he 北面城临灯影合
'bei'mian'xiang'lu'xiu 北面香炉秀
'bei'ming'ke'yu'xin 碑铭刻玉新
'bei'ou'zhe'hua'chu 陂藕折花初
'bei'que'gu'ren'sui'sang'luan 北阙故人随丧乱
'bei'que'hui'pao'hong'po'e 北阙会抛红駊騀
'bei'wei'qu'teng'teng 北魏去腾腾
'bei'you'bing'zu'fu'nan'hai 北游兵阻复南还
'bei'yu'xi'sheng'fen 背雨锡声分
'bei'zai'wu'qian'zi 悲哉五千字
'ben'wei'wu'ren'shi'cui'mao 本为无人识翠毛
'ben'wu'wen'zi'xue 本无文字学
'ben'zai'cang'jiang'kuo 本在沧江阔
'bi'cen'ci'ying'ya'xiang'liu 碧参差影压湘流
'bi'ci'chui'qi'shi 彼此垂七十
'bi'ci'wang'jia'guo 彼此亡家国
'bi'ci'wu'xiao'xi 彼此无消息
'bi'ci'wu'yuan'zhu 彼此无缘著
'bi'cui'wen'xiang'jian 碧翠文相间
'bi'da'chan'shi'ju'ji'duo 笔答禅师句偈多
'bi'di'hong'lin'lie 碧底红鳞鬣
'bi'di'yi'zhen'jing 避地依真境
'bi'han'liang'feng'zhu'yi'lin 碧撼凉风竹一林
'bi'jing'bu'ru'wu 毕竟不如无
'bi'jing'chui'bi'liu 笔精垂壁溜
'bi'jing'huang'yuan'shang 毕竟荒原上
'bi'jing'jiang'he'zhuang 毕竟将何状
'bi'jing'nan'er'zi'gao'da 毕竟男儿自高达
'bi'jing'ni'he'qiu 毕竟拟何求
'bi'jing'shu'ta'lao'yu'sou 毕竟输他老渔叟
'bi'jing'wang'yan'shi'wu'dao 毕竟忘言是吾道
'bi'jing'yi'yun'niao 毕竟伊云鸟
'bi'jue'yi'shen'zhong 笔绝亦身终
'bi'kong'tun'nan'jin 必恐吞难尽
'bi'kong'yun'chu'shi 蔽空云出石
'bi'leng'you'can'deng 壁冷有残灯
'bi'luo'gao'kong'chu 碧落高空处
'bi'luo'you'jing'rao'chan'fang 薜萝幽径绕禅房
'bi'luo'zhe'ti'shen'meng'long 薜萝遮体深朦胧
'bi'neng'shi'er'wei'run'ze 必能使尔为润泽
'bi'ren'shuang'ru'lv'yang'shen 避人双入绿杨深
'bi'shang'zi'tu'kan 壁上自图看
'bi'shao'qing'miao'kan'ling'kong 碧梢青杪看凌空
'bi'she'jing'tan'ge'zi'mang 避射惊弹各自忙
'bi'shu'xu'lin'zuo 避暑须临坐
'bi'shu'ying'shu'feng'yi'duan 碧树影疏风易断
'bi'shuo'gui'geng'diao 比说归耕钓
'bi'song'xin'sheng'zhu 碧耸新生竹
'bi'tao'hong'xing'dui'yao'yao 碧桃红杏对摇摇
'bi'xia'yao'gu'xi 逼夏摇孤锡
'bi'xie'jin'tai'qu 必谢金台去
'bi'xue'hai'sheng'xue 比雪还胜雪
'bi'yan'ji'kai'men 闭眼即开门
'bi'yan'xing'kuang'shi'shen'xie 笔砚兴狂师沈谢
'bi'you'nan'you'shan'shui'xing 必有南游山水兴
'bi'yun'duo'jiu'zuo 碧云多旧作
'bi'yun'qing'jin'yu'shui'xie 碧云情近与谁携
'bi'yun'yan'ying'fen'fen'qu 碧云雁影纷纷去
'bi'yun'zhu'you'jin'huang'mou 碧云诸友尽黄眸
'bian'cheng'en'ze'huan'chan'yi 便承恩泽换禅衣
'bian'di'qi'dao'bing 遍地起刀兵
'bian'di'shan'song'shi'zi'sheng 遍地杉松是自生
'bian'ding'shang'ren'fang'hua'dao 辩鼎上人方话道
'bian'fu'ru'wu'chuan 便附入吴船
'bian'gong'bai'yun'sheng 便共白云生
'bian'hong'du'han'kou 边鸿渡汉口
'bian'hong'yi'bu'you 边鸿亦不游
'bian'hua'long'san'shi 变化龙三十
'bian'jiang'cai'shu'zuo'tao'zhen 便将才术佐陶甄
'bian'lian'du'you'jun 编联独有君
'bian'lian'lai'lu'ye 编联来鹿野
'bian'lian'mo'po'chu 编联莫破除
'bian'lian'xi'yu'fen 编联悉欲焚
'bian'shui'zhang'chun'sheng 汴水涨春声
'bian'su'zhen'wu'shi 变俗真无事
'bian'sui'gong'dao'xing 便随公道行
'bian'sui'zheng'zhao'bie'jing'men 便随征棹别荆门
'bian'wei'huang'he'qu 变为黄河曲
'bian'xiang'yun'xiao'huan'hao'ming 便向云霄换好名
'bian'xue'yong'yang'hua 便学咏杨花
'bian'xun'seng'bi'shang 遍寻僧壁上
'bian'xun'you'sheng'le 遍寻幽胜了
'bian'ying'guo'luo'shui 便应过洛水
'bian'ying'xun'pu'bu 便应寻瀑布
'bian'zhu'gao'feng'li'pu'quan 便逐高风离瀑泉
'bian'zhu'shu'fan'gui 便逐蜀帆归
'biao'li'jian'qian'kun 表里见乾坤
'bie'dong'lin'hou'hui'ji'xiu'mu 别东林后回寄修睦
'bie'gou'xin'zhai'yu'zhu'qi 别构新斋与竹齐
'bie'hou'duo'ying'meng'dao'xian 别后多应梦到仙
'bie'hou'wen'can'er 别后闻餐饵
'bie'hou'xiang'si'pin'meng'dao 别后相思频梦到
'bie'hou'zhi'he'qu 别后知何趣
'bie'lai'duo'shao'xin'yin'ye 别来多少新吟也
'bie'lai'xiang'guo'hun'ying'duan 别来乡国魂应断
'bie'lai'xiang'yi'meng'duo'mi 别来相忆梦多迷
'bie'lai'xin'nian'nian 别来心念念
'bie'lai'ying'jian'he'yi'mao 别来应见鹤衣毛
'bie'ren'gong'hou'li'shang'cai 别认公侯礼上才
'bie'sao'zhu'seng'chuang 别扫著僧床
'bie'shu'chang'ye'cai 别舒长夜彩
'bie'xing'ou'sui'yun'shui'yuan 别兴偶随云水远
'bie'you'guan'rong'shen'wai'qu 别有官荣身外趣
'bie'you'hao'si'liang 别有好思量
'bie'you'shen'gong'li 别有深宫里
'bie'you'xiang'zhao'hao'quan'shi 别有相招好泉石
'bie'zhu'guo'feng'qing 别著国风清
'bin'bai'lu'zhong'shu 鬓白炉中术
'bin'fa'quan'bian'ti 鬓发泉边剃
'bin'fen'ru'yu'piao'jia'sha 缤纷如雨飘袈裟
'bin'ke'hai'qin'song'yu'feng 宾客还亲宋玉风
'bin'mao'diao'luo'mian'pin'wu 鬓毛凋落免贫无
'bin'quan'wu'jiu'hei 鬓全无旧黑
'bin'shuang'chui'qi'shi 鬓霜垂七十
'bin'ta'you'yin'seng 宾榻有吟僧
'bin'yan'tong'lai'ze'guo'kuan 宾雁同来泽国宽
'bin'zhu'zui'xiang'huan 宾主醉相欢
'bing'chang'xiu'xi'lao'xiu'yi 病肠休洗老休医
'bing'feng'cheng'kong'han'chu'chu 冰峰撑空寒矗矗
'bing'ge'shi'zhuan'nan 兵戈时转难
'bing'ge'zu'xiang'fang 兵戈阻相访
'bing'gen'fan'zuo'yi'shan'lao 病根翻作忆山劳
'bing'hen'sheng'yan'shui 冰痕生砚水
'bing'huang'jing'yi'li 兵荒经邑里
'bing'huo'fen'shi'cao 兵火焚诗草
'bing'huo'li'geng'sang 兵火里耕桑
'bing'huo'shao'wen'que 兵火烧文缺
'bing'huo'xiao'lin'jing 兵火销邻境
'bing'jiang'qing'qi'hui 并将清气回
'bing'kou'can'jiang'shu 兵寇残江墅
'bing'kou'ping'ling'shen 兵寇凭凌甚
'bing'leng'gu'qiao'lei'shen'xian 冰棱孤峭类神仙
'bing'qi'er'shou 病起二首
'bing'qi'jian'qiu'shan 病起见秋扇
'bing'qi'jian'qiu'yue 病起见秋月
'bing'qi'jian'sheng'ya 病起见生涯
'bing'qi'jian'shuai'ye 病起见衰叶
'bing'qi'jian'tai'qian 病起见苔钱
'bing'qi'jian'tai'se 病起见苔色
'bing'qi'jian'ting'bai 病起见庭柏
'bing'qi'jian'ting'ju 病起见庭菊
'bing'qi'jian'ting'lian 病起见庭莲
'bing'qi'jian'ting'sha 病起见庭莎
'bing'qi'jian'ting'shi 病起见庭石
'bing'qi'jian'ting'zhu 病起见庭竹
'bing'qi'jian'tu'hua 病起见图画
'bing'qi'jian'wang'hua 病起见王化
'bing'qi'jian'xian'yun 病起见闲云
'bing'se'ying'chu'si'jiu'shi 病色应除似旧时
'bing'shen'chu'qi'xiang'can'qiu 病身初起向残秋
'bing'shou'zhai'fang'yan 并手摘芳烟
'bing'ya'shuang'tan'lv'ge'qing 冰压霜坛律格清
'bing'yin'sui'ji'pan'gui'ren 丙寅岁寄潘归仁
'bing'yu'he'ren'fen'yao'er 病遇何人分药饵
'bing'zhong'mian'song'xiao'shi'wang'qing'liang'shan'li'da'sheng 病中勉送小师往清凉山礼大圣
'bo'mu'gui'qu'lai 薄暮归去来
'bo'pi'ci'xue'cheng'he'ku 剥皮刺血诚何苦
'bo'xin'jing'she'hao 波心精舍好
'bo'yang'dao'de'he'tuo'yi 伯阳道德何唾咦
'bo'yang'yi'miao'zhi 伯阳遗妙旨
'bu'bi'wei'rui'jing 步碧葳蕤径
'bu'chou'ren'bu'ai 不愁人不爱
'bu'cuo'bao'yang'zui'shang'cai 不错褒扬最上才
'bu'dao'qian'xi 不到前溪
'bu'de'xian'sheng'xin 不得先生信
'bu'de'xie'qiong'yi'lu'xing 不得携筇一路行
'bu'fan'jiu'shan'jiao 不返旧山椒
'bu'fang'fan'fu'luo'chi'zhong 不妨翻覆落池中
'bu'fang'feng'xue'geng'tan'wei 不妨风雪更探微
'bu'fang'hai'wang'you'feng'sao 不妨还往有风骚
'bu'fang'hao'niao'xuan'gao'wo 不妨好鸟喧高卧
'bu'fang'sheng'xian'cao 不放生纤草
'bu'fang'shou'shi'bie'wei'bian 不妨收拾别为编
'bu'fang'sui'ye'xing 不妨随野性
'bu'fang'wen'zi'wen'zhi'yin 不妨文字问知音
'bu'ge'hong'chen'qu'qi'ji 不隔红尘趋棨戟
'bu'ji'nan'zong'lao'bi'qiu 不寄南宗老比丘
'bu'ji'yin'shu'wei'lao'fu 不寄音书慰老夫
'bu'jian'er'san'zi 不见二三子
'bu'jian'jiu'cong'rong 不见久从容
'bu'jian'lai'xiang'she 不见来香社
'bu'jian'yi'duo'nian 不见已多年
'bu'jiao'shuang'xue'qin'xuan'bin 不教霜雪侵玄鬓
'bu'jue'qiu'jiang'du'sai'hong 不觉秋江度塞鸿
'bu'kan'geng'you'jing'sou'chu 不堪更有精搜处
'bu'kan'lai'chu'ge'qiu'tao 不堪来处隔秋涛
'bu'kan'si'bei'ke 不堪思北客
'bu'kan'si'bian'an 不堪思汴岸
'bu'kan'si'cui'yan 不堪思翠巘
'bu'kan'wu'guo'xi'yang'tian 不堪无过夕阳天
'bu'kan'zhi'lv'hai'xi'qu 不堪只履还西去
'bu'ken'yin'shi'bu'ting'jing 不肯吟诗不听经
'bu'liao'kan'xi'xu 不了堪欷歔
'bu'mian'feng'xue'dao'can'geng 不眠风雪到残更
'bu'na'yuan'niao'xing 不那猿鸟性
'bu'neng'tao'da'ming 不能逃大明
'bu'neng'zi'yao'jia 不能资药价
'bu'rong'xian'wu'qin 不容纤物侵
'bu'ru'hai'fang'que'liao'tian 不如还放却辽天
'bu'ru'zhong'bao'shi'xun'si 不如中抱是寻思
'bu'shang'bin'xu'gen 不上鬓须根
'bu'sheng'nong'gan'ge 不胜弄干戈
'bu'shi'ao'ta'ming'li'shi 不是傲他名利世
'bu'shi'bei'chong'yang 不是背重阳
'bu'shi'qi'luo'er'nv'yan 不是绮罗儿女言
'bu'shi'zhi'yin'zhe 不是知音者
'bu'si'feng'sao'ji'yi'pian 不似风骚寄一篇
'bu'si'gao'zhai'li 不似高斋里
'bu'si'kan'xian'yun 不似看闲云
'bu'si'ren'hai'peng'dao'ke 不死任还蓬岛客
'bu'sui'diao'bian'yi'qian'nian 不随凋变已千年
'bu'sui'xuan'hua'mi'zhen'xing 不随喧滑迷真性
'bu'tong'huang'que'yi 不同黄雀意
'bu'tong'jie'yu'yong 不同婕妤咏
'bu'wei'xing'lu'nan 不为行路难
'bu'wen'tao'li'zhu 不问桃李主
'bu'xi'bai'ri'duan 不惜白日短
'bu'xi'fu'zhou'zhi 不惜付舟枝
'bu'xiu'shi'wei'ming 不朽始为名
'bu'yao'jiu'zhuan'shen'dan'huan'jing'sui 不要九转神丹换精髓
'bu'yin'gong'zi'jian 不因公子鉴
'bu'yong'dan'qing'dian'ci'shen 不用丹青点此身
'bu'yuan'tian'di'zhai 不缘田地窄
'bu'zai'jiu'bei'zhong 不在酒杯中
'bu'zhi'chun'yan'jin 不知春艳尽
'bu'zhi'cong'ci'qu 不知从此去
'bu'zhi'he'chu'shi'lou'tai 不知何处是楼台
'bu'zhi'he'xing'wei 不知何兴味
'bu'zhi'jiang'yi'ju 不知将一句
'bu'zhi'jin'gu'xing'ren'xing 不知今古行人行
'bu'zhi'men'xia'qu'yan'shi 不知门下趋筵士
'bu'zhi'qian'gu'wan'gu'ren 不知千古万古人
'bu'zhi'shui'ken'jiang'wen'zhen 不知谁肯降文阵
'bu'zhi'shui'wei'shou'hui'gu 不知谁为收灰骨
'bu'zhi'xiao'xi'huo 不知消息火
'bu'zhi'xun'he'lu 不知寻鹤路
'bu'zhi'zhai'yue'qiu'tan'pan 不知摘月秋潭畔
'cai'ba'wen'zhang'gan'sheng'zhu 才把文章干圣主
'cai'duo'zhu'ji'hai'ji'pin 采掇珠玑海几贫
'cai'lai'seng'ru'bai'yun'shen 采来僧入白云深
'cai'qi'he'ju'ke'di'shou 才器合居科第首
'cai'qu'feng'sheng'yuan 采去蜂声远
'cai'zhai'qie'tong'chuan 采摘且同船
'cai'zi'qu'guan'guang 才子去观光
'cai'zi'yi'cong'jun 才子已从军
'cai'zuo'xia'shang'he'chu'pi 裁作霞裳何处披
'can'can'li'he'bao 璨璨李贺抱
'can'chun'lian'yu'zhong'ou'zuo'huai'gu'ren 残春连雨中偶作怀故人
'can'geng'zheng'hao'mian'liang'yue 残更正好眠凉月
'can'jin'man'kong'tan 残烬满空坛
'can'ju'ji'cang'tai 残菊藉苍苔
'can'la'jiang'shan'xing'jin'chu 残腊江山行尽处
'can'nian'yan'zheng'hun 残年眼正昏
'can'qiu'gan'chuang 残秋感怆
'can'ri'jun'lou'jian 残日郡楼间
'can'ri'xian'xi'sai 残日衔西塞
'can'yang'bo'dao'hong 残阳泊岛红
'can'yang'cui'bai'niao 残阳催百鸟
'can'yang'man'di'shi 残阳满地时
'can'yang'qi'xian'wang 残阳起闲望
'can'yang'sha'niao'luan 残阳沙鸟乱
'can'yang'wei'hua'pan 残阳苇花畔
'can'yang'zhu'yin'li 残阳竹阴里
'can'yue'xue'shuang'tian 残月雪霜天
'can'zhao'cui'xing'ying 残照催行影
'can'zhao'yu'liang'dian 残照玉梁巅
'can'zhong'can'jiao'cui 残钟残角催
'cang'hai'qi'reng'wan 沧海期仍晚
'cang'huang'mi'luo'shui 苍黄汨罗水
'cang'jiang'lao'bai'qin 沧江老白禽
'cang'lang'wan'qing'san'geng'yue 沧浪万顷三更月
'cang'lang'yu'xiang'shui 沧浪与湘水
'cang'lang'yun'meng'jin'tian'heng 沧浪云梦浸天横
'cang'lang'zheng'miao'man 沧浪正渺漫
'cang'mang'ping'ye'wai 苍茫平野外
'cang'sheng'huang'huang'wu'chu'chu 苍生惶惶无处处
'cang'wu'yun'die'jiu'yi'shen 苍梧云叠九嶷深
'cang'yu'bing'qi'hong'xing'mi 藏雨并栖红杏密
'cang'zhen'jiu'mo'chi 藏真旧墨池
'cang'zhou'di'sun'shen 沧洲荻笋深
'cang'zhu'dai'gong'bin'ke'hao 藏贮待供宾客好
'cao'chi'huo'shan'qiu 草赤火山秋
'cao'ku'man'zhong'luan 草枯蛮冢乱
'cao'mei'zhong'nan'si 草媚终难死
'cao'rao'cun'cheng'lv 草绕村程绿
'cao'rui'xiang'nan'xie 草瑞香难歇
'cao'se'bian'ting'zhou 草色遍汀洲
'cao'shang'gu'cheng'bai 草上孤城白
'cao'tang'xian'gua'si'xiang'qin 草堂闲挂似相亲
'cao'ying'lao'qing'ting 草影老蜻蜓
'cen'ci'chu'xiao'lan 参差出小栏
'cen'ci'jin'hua'ying 参差近画楹
'cen'yang'feng'yu'bian'xing'chun 涔阳风雨变行春
'ceng'ceng'li'jin'tuo 层层离锦箨
'ceng'ceng'niao'dao'zhong 层层鸟道中
'ceng'chou'bai'xue'cai 曾酬白雪才
'ceng'ci'qi'xin'guo'shi'dong 曾此栖心过十冬
'ceng'ci'xiang'xun'ta'xue'hui 曾此相寻踏雪回
'ceng'ci'zeng'chui'yang 曾此赠垂杨
'ceng'cong'guo'qing'si 曾从国清寺
'ceng'de'yin'shu'wei'mu'nian 曾得音书慰暮年
'ceng'deng'san'qian'li 蹭蹬三千里
'ceng'dui'he'ren'ti'duan'chang 曾对何人啼断肠
'ceng'feng'cai'yao'shi 曾逢采药时
'ceng'feng'shao'hai'zun'qian'ke 曾逢少海尊前客
'ceng'huan'yue'zhong'zhi 曾换月中枝
'ceng'ji'da'hu'qiu 曾记大湖求
'ceng'ji'lin'fang'gua'ping'xi 曾寄邻房挂瓶锡
'ceng'ju'di'yi'gong 曾居第一功
'ceng'li'jie'qian'xue'dao'yao 曾立阶前雪到腰
'ceng'mu'xing'lang'xu 曾沐星郎许
'ceng'qi'ci'xing'ling 曾栖此性灵
'ceng'shou'meng'zhuang'zi 曾受蒙庄子
'ceng'ting'lu'ming'feng'shi'luan 曾听鹿鸣逢世乱
'ceng'wen'xing'wang'shi 曾问兴亡事
'ceng'wen'xue'yue'ming 曾闻学月明
'ceng'wen'yuan'da'shi 曾闻远大师
'ceng'wu'meng'ru'chao'tian'lu 曾无梦入朝天路
'ceng'wu'yi'zi'gan'sheng'li 曾无一字干声利
'ceng'wu'zhang'zhe'zhe 曾无长者辙
'ceng'xiang'cang'jiang'kan'bu'zhen 曾向沧江看不真
'ceng'xiang'wen'chang'shu'si'lao 曾向文场属思劳
'ceng'xiao'chu'chen'mi 曾笑楚臣迷
'ceng'xie'wu'lao'feng'qian'guo 曾携五老峰前过
'ceng'xun'xiang'shui'dong 曾寻湘水东
'ceng'xun'xiu'shi'fa 曾寻修事法
'ceng'ya'xuan'bi'geng'an'ti 层崖悬壁更安梯
'ceng'ya'yu'zhang 层崖豫章
'ceng'yi'gong'xun'xing 曾忆共寻行
'ceng'yin'zi'shan'fu 曾吟子山赋
'ceng'yu'dong'ting'su 曾于洞庭宿
'ceng'yue'zhu'tu'di 曾约诸徒弟
'ceng'zhai'yuan'shu'liu'wo'su 曾摘园蔬留我宿
'ceng'zhao'wo'kan'tong 曾招我看同
'cha'cheng'zai'he'chu 槎程在何处
'cha'chi'zi'you'bian 差池自有便
'cha'hao'wei'chong'hui 茶好味重回
'cha'qi'dao'yu'gen 槎欹岛屿根
'cha'tian'yu'hua'xiang 茶添语话香
'cha'xiang'gu'shi'lou 茶香古石楼
'cha'xiang'zai'bai'ou 茶香在白瓯
'cha'xuan'bai'niao'hai 茶轩白鸟还
'cha'ying'zhong'can'yue 茶影中残月
'chai'men'guan'shu'shi 柴门关树石
'chan'ceng'jian'zu'shi 禅曾见祖师
'chan'dong'yue'shen'wei 禅动岳神威
'chan'guan'wu'hou'ning'yi'wu 禅关悟后宁疑物
'chan'huai'li'jie'tong 禅怀历劫同
'chan'hui'you'yue'cha 禅回有岳茶
'chan'ji'mu'feng'qing 蝉急暮风清
'chan'ji'po'xiang'ying 禅寂颇相应
'chan'jia'he'wu'zeng'fen'jin 禅家何物赠分襟
'chan'jia'zao'cui'kai 禅家凿翠开
'chan'li'chu'liu'ming'you'shao 蝉离楚柳鸣犹少
'chan'liang'jie'zhu'yin 蝉凉解助吟
'chan'liu'hua'lu'chang 禅留话路长
'chan'men'jie'zi'xia 禅门接紫霞
