'an'gen'zi 暗根子
'che'er'ping'ba 车二平八
'che'er'ping'jiu 车二平九
'che'er'ping'liu 车二平六
'che'er'ping'qi 车二平七
'che'er'ping'san 车二平三
'che'er'ping'si 车二平四
'che'er'ping'wu 车二平五
'che'er'ping'yi 车二平一
'che'er'tui 车二退
'che'er'tui'ba 车二退八
'che'er'tui'er 车二退二
'che'er'tui'jiu 车二退九
'che'er'tui'liu 车二退六
'che'er'tui'qi 车二退七
'che'er'tui'san 车二退三
'che'er'tui'si 车二退四
'che'er'tui'wu 车二退五
'che'er'tui'yi 车二退一
'che'jiu'jin 车九进
'che'jiu'jin'ba 车九进八
'che'jiu'jin'er 车九进二
'che'jiu'jin'jiu 车九进九
'che'jiu'jin'liu 车九进六
'che'jiu'jin'qi 车九进七
'che'jiu'jin'san 车九进三
'che'jiu'jin'si 车九进四
'che'jiu'jin'wu 车九进五
'che'jiu'jin'yi 车九进一
'che'jiu'ping 车九平
'che'jiu'ping'ba 车九平八
'che'jiu'ping'er 车九平二
'che'jiu'ping'liu 车九平六
'che'jiu'ping'qi 车九平七
'che'jiu'ping'san 车九平三
'che'jiu'ping'si 车九平四
'che'jiu'ping'wu 车九平五
'che'jiu'ping'yi 车九平一
'che'jiu'tui 车九退
'che'jiu'tui'ba 车九退八
'che'jiu'tui'er 车九退二
'che'jiu'tui'jiu 车九退九
'che'jiu'tui'liu 车九退六
'che'jiu'tui'qi 车九退七
'che'jiu'tui'san 车九退三
'che'jiu'tui'si 车九退四
'che'jiu'tui'wu 车九退五
'che'jiu'tui'yi 车九退一
'che'kong 车控
'che'liu'jin 车六进
'che'liu'jin'ba 车六进八
'che'liu'jin'er 车六进二
'che'liu'jin'jiu 车六进九
'che'liu'jin'liu 车六进六
'che'liu'jin'qi 车六进七
'che'liu'jin'san 车六进三
'che'liu'jin'si 车六进四
'che'liu'jin'wu 车六进五
'che'liu'jin'yi 车六进一
'che'liu'ping 车六平
'che'liu'ping'ba 车六平八
'che'liu'ping'er 车六平二
'che'liu'ping'jiu 车六平九
'che'liu'ping'qi 车六平七
'che'liu'ping'san 车六平三
'che'liu'ping'si 车六平四
'che'liu'ping'wu 车六平五
'che'liu'ping'yi 车六平一
'che'liu'tui 车六退
'che'liu'tui'ba 车六退八
'che'liu'tui'er 车六退二
'che'liu'tui'jiu 车六退九
'che'liu'tui'liu 车六退六
'che'liu'tui'qi 车六退七
'che'liu'tui'san 车六退三
'che'liu'tui'si 车六退四
'che'liu'tui'wu 车六退五
'che'liu'tui'yi 车六退一
'che'mei'yi'zhe 车每一着
'che'pao 撤炮
'che'pao'chou'sha 车炮抽杀
'che'qi'jin 车七进
'che'qi'jin'ba 车七进八
'che'qi'jin'er 车七进二
'che'qi'jin'jiu 车七进九
'che'qi'jin'liu 车七进六
'che'qi'jin'qi 车七进七
'che'qi'jin'san 车七进三
'che'qi'jin'si 车七进四
'che'qi'jin'wu 车七进五
'che'qi'jin'yi 车七进一
'che'qi'ping 车七平
'che'qi'ping'ba 车七平八
'che'qi'ping'er 车七平二
'che'qi'ping'jiu 车七平九
'che'qi'ping'liu 车七平六
'che'qi'ping'san 车七平三
'che'qi'ping'si 车七平四
'che'qi'ping'wu 车七平五
'che'qi'ping'yi 车七平一
'che'qi'tui 车七退
'che'qi'tui'ba 车七退八
'che'qi'tui'er 车七退二
'che'qi'tui'jiu 车七退九
'che'qi'tui'liu 车七退六
'che'qi'tui'qi 车七退七
'che'qi'tui'san 车七退三
'che'qi'tui'si 车七退四
'che'qi'tui'wu 车七退五
'che'qi'tui'yi 车七退一
'che'qian'ma'hou'xu'xiang'ying 车前马后须相应
'che'ru'hua'xin 车入花心
'che'san'jin 车三进
'che'san'jin'ba 车三进八
'che'san'jin'er 车三进二
'che'san'jin'jiu 车三进九
'che'san'jin'liu 车三进六
'che'san'jin'qi 车三进七
'che'san'jin'san 车三进三
'che'san'jin'si 车三进四
'che'san'jin'wu 车三进五
'che'san'jin'yi 车三进一
'che'san'ping 车三平
'che'san'ping'ba 车三平八
'che'san'ping'er 车三平二
'che'san'ping'jiu 车三平九
'che'san'ping'liu 车三平六
'che'san'ping'qi 车三平七
'che'san'ping'si 车三平四
'che'san'ping'wu 车三平五
'che'san'ping'yi 车三平一
'che'san'tui 车三退
'che'san'tui'ba 车三退八
'che'san'tui'er 车三退二
'che'san'tui'jiu 车三退九
'che'san'tui'liu 车三退六
'che'san'tui'qi 车三退七
'che'san'tui'san 车三退三
'che'san'tui'si 车三退四
'che'san'tui'wu 车三退五
'che'san'tui'yi 车三退一
'che'si'jin 车四进
'che'si'jin'ba 车四进八
'che'si'jin'er 车四进二
'che'si'jin'jiu 车四进九
'che'si'jin'liu 车四进六
'che'si'jin'qi 车四进七
'che'si'jin'san 车四进三
'che'si'jin'si 车四进四
'che'si'jin'wu 车四进五
'che'si'jin'yi 车四进一
'che'si'ping 车四平
'che'si'ping'ba 车四平八
'che'si'ping'er 车四平二
'che'si'ping'jiu 车四平九
'che'si'ping'liu 车四平六
'che'si'ping'qi 车四平七
'che'si'ping'san 车四平三
'che'si'ping'wu 车四平五
'che'si'ping'yi 车四平一
'che'si'tui 车四退
'che'si'tui'ba 车四退八
'che'si'tui'er 车四退二
'che'si'tui'jiu 车四退九
'che'si'tui'liu 车四退六
'che'si'tui'qi 车四退七
'che'si'tui'san 车四退三
'che'si'tui'si 车四退四
'che'si'tui'wu 车四退五
'che'si'tui'yi 车四退一
'che'wu'jin 车五进
'che'wu'jin'ba 车五进八
'che'wu'jin'er 车五进二
'che'wu'jin'jiu 车五进九
'che'wu'jin'liu 车五进六
'che'wu'jin'qi 车五进七
'che'wu'jin'san 车五进三
'che'wu'jin'si 车五进四
'che'wu'jin'wu 车五进五
'che'wu'jin'yi 车五进一
'che'wu'ping 车五平
'che'wu'ping'ba 车五平八
'che'wu'ping'er 车五平二
'che'wu'ping'jiu 车五平九
'che'wu'ping'liu 车五平六
'che'wu'ping'qi 车五平七
'che'wu'ping'san 车五平三
'che'wu'ping'si 车五平四
'che'wu'ping'yi 车五平一
'che'wu'tui 车五退
'che'wu'tui'ba 车五退八
'che'wu'tui'er 车五退二
'che'wu'tui'jiu 车五退九
'che'wu'tui'liu 车五退六
'che'wu'tui'qi 车五退七
'che'wu'tui'san 车五退三
'che'wu'tui'si 车五退四
'che'wu'tui'wu 车五退五
'che'wu'tui'yi 车五退一
'che'xin'ma'jiao 车心马角
'che'yi'jin 车一进
'che'yi'jin'ba 车一进八
'che'yi'jin'er 车一进二
'che'yi'jin'jiu 车一进九
'che'yi'jin'liu 车一进六
'che'yi'jin'qi 车一进七
'che'yi'jin'san 车一进三
'che'yi'jin'si 车一进四
'che'yi'jin'wu 车一进五
'che'yi'jin'yi 车一进一
'che'yi'ping 车一平
'che'yi'ping'ba 车一平八
'che'yi'ping'er 车一平二
'che'yi'ping'jiu 车一平九
'che'yi'ping'liu 车一平六
'che'yi'ping'qi 车一平七
'che'yi'ping'san 车一平三
'che'yi'ping'si 车一平四
'che'yi'ping'wu 车一平五
'che'yi'tui 车一退
'che'yi'tui'ba 车一退八
'che'yi'tui'er 车一退二
'che'yi'tui'jiu 车一退九
'che'yi'tui'liu 车一退六
'che'yi'tui'qi 车一退七
'che'yi'tui'san 车一退三
'che'yi'tui'si 车一退四
'che'yi'tui'wu 车一退五
'che'yi'tui'yi 车一退一
'chen'di'pao 沉底炮
'chen'di'yue 沉底月
'chen'fu'jie 陈富杰
'chen'hai'hua 陈海华
'chen'han'feng 陈寒峰
'chen'luo'ping 陈罗平
'cheng'ji'jun 程吉俊
'cheng'ming 程鸣
'cheng'ming'ju 成名局
'cheng'wei'tie'men'shuan'miao'sha 称为铁门栓妙杀
'chi'di'xiang 吃底象
'chi'ma 吃马
'chi'zi 吃子
'chong'zu 冲卒
'chou'jiang 抽将
'chu'han'liu'feng 楚汉六凤
'chu'jiang 出将
'chu'shuai 出帅
'chu'shuai 除帅
'chu'xian'xun'huan'fan'fu 出现循环反复
'ci'ju'you'yu 此局由于
'ci'xiang 此象
'ci'zhe 此着
'cong'mei'zhuo'dao'zhuo 从没捉到捉
'cong'zuo'lu 从左路
'cuo'zhe'bai'li 错着百例
'da'dan'chuan'xin 大胆穿心
'da'dao'wan'xin 大刀剜心
'da'si'hei'zu 打死黑卒
'da'si'hong'shi 打死红仕
'da'xiang 打相
'da'xiang 打象
'dai'guo'he'bing 待过河兵
'dai'pan'ju'mian 待判局面
'dan'bing'qin'wang 单兵擒王
'dan'gan'pao 担竿炮
'dan'hei'fang'ye'you 但黑方也有
'dan'hei'you 但黑有
'dan'que'shi 单缺仕
'dan'que'shi 单缺士
'dan'que'xiang 单缺相
'dan'que'xiang 单缺象
'dan'que'xiang'sheng 单缺相胜
'dan'ti'ma 单提马
'dan'zi'pao 担子炮
'dang'fei 党斐
'dang'tian'zi'zhong'xin 当田字中心
'dao'ling'yi'ge'kong'zhe'de'jiao'cha'dian 到另一个空着的交叉点
'de'gui'ding'shi 的规定时
'de'guo'zhong'guo'xiang'qi'lian'meng 德国中国象棋联盟
'de'shi 得仕
'de'yi'fang 的一方
'de'zi'de'shi 得子得势
'de'zi'dei'xian'ge'de'zi 得子得先各得子
'de'zi'shi'shi 得子失势
'de'zi'shi'xian'que'shi'shu 得子失先却是输
'deng'zhe'kun'di 等着困敌
'di'bing 低兵
'di'bing 底兵
'di'pao 底炮
'di'shi 底士
'di'xian'fang'shou 底线防守
'diao'dong'zi'li 调动子力
'diao'yu'ma 钓鱼马
'die'die'pao 叠叠炮
'die'pao 叠炮
'dong'bei'san'hu 东北三虎
'dong'xu'bin 董旭彬
'dou'mei'you'ti'he 都没有提和
'dou'pao'ju 斗炮局
'dui'bing 对兵
'dui'bing'ju 对兵局
'dui'che 兑车
'dui'fang'de'sheng 对方得胜
'dui'hei'fang 对黑方
'dui'ju'shi 对局时
'dui'ma 兑马
'dui'mian'xiao 对面笑
'dui'pao 兑炮
'dui'ping'feng'ma 对屏风马
'dui'qi'zhu'li 兑其主力
'dui'tou'bing 对头兵
'dui'zi'duo'xian 兑子夺先
'dui'zi'duo'zi 兑子夺子
'dui'zi'jie'kun 兑子解困
'dui'zi'qi 对子棋
'dui'zi'qu'sheng 兑子取胜
'dui'zi'qu'shi 兑子取势
'dui'zi'zhan'shu 兑子战术
'duo'da'dui'duo'da 多打对多打
'e'kong'lei'dao 扼控肋道
'e'xiang 鄂象
'e'zhi'hei 遏制黑
'er'che 二车
'er'da'dui'er'xian 二打对二闲
'er'da'er'hai'da 二打二还打
'er'da'yi'hai'da 二打一还打
'er'gui'pai'men 二鬼拍门
'er'jiang 二将
'er'jiang'dui'er'xian 二将对二闲
'er'jiang'er'hai'jiang 二将二还将
'er'jing'zou 而径走
'er'tui 二退
'er'xian'dui'yi'da'yi'xian 二闲对一打一闲
'er'zhan'ling'cha'dian 而占领叉点
'er'zhuo 二捉
'er'zi'che 二字车
'er'zu 二卒
'fan'gong'ma 反宫马
'fan'gong'ma'zhuan'ji 反宫马专集
'fan'si'yuan 范思远
'fan'xian 反先
'fang'che 方车
'fang'de'gong'shi 方的攻势
'fang'duo 方多
'fang'ke'an'dong 方可按动
'fang'qian'xing'ren'fu 方欠行认负
'fang'ren'fu 方认负
'fang'sheng'ding 方胜定
'fang'shi'xian'le 方实现了
'fang'shi'xiang'can'que 方士象残缺
'fang'wu'zhi 方无直
'fang'zhong'yi 方终以
'fei'cuo'le'ma 飞错了马
'fei'gao'xiang 飞高象
'fei'jing'dui'fang'ti'he'yi'ci 非经对方提和一次
'fei'xiang 飞相
'fei'xiang'dui'jin'gou'pao 飞相对金钩炮
'fei'xiang'dui'qi'ma 飞相对起马
'fei'xiang'dui'ting'zu 飞相对挺卒
'fei'xiang'ju 飞相局
'fei'xiang'ju'dui'you'guo'gong'pao 飞相局对右过宫炮
'fei'xiang'ju'dui'zuo'shi'jiao'pao 飞相局对左士角炮
'fei'xiang'ju'dui'zuo'zhong'pao 飞相局对左中炮
'fei'zuo'xiang 飞左象
'fen'wei'hong 分为红
'feng'jiang'men 封将门
'feng'qi'zhao'fa'you'wu 封棋着法有误
'feng'si'jiang'men 封死将门
'feng'suo'di'lu 封锁敌路
'feng'suo'zhan'shu 封锁战术
'fou'ze'hong'you 否则红有
'fu'chen 伏沉
'fu'ma 伏马
'fu'sha 伏杀
'fu'xin'ren 傅信仁
'gai'zou'jiang 改走将
'gao'diao'ma 高钓马
'gao'tou'bing 高头兵
'ge'bu'cheng'sha 隔步成杀
'ge'fen'qi'zhong 各分七种
'ge'la'la 格拉拉
'ge'wei'pu 葛维浦
'ge'wei'pu 葛维蒲
'ge'yi'bu'sha 隔一步杀
'gong'ding'xian 宫顶线
'gong'wo'xin'ma 攻窝心马
'gong'you'jiu'shi'ge'jiao'cha'dian 共有九十个交叉点
'gu'ji'luan'di 固己乱敌
'gua'jiao'ma 挂角马
'gua'pan'jiang'jie 挂盘讲解
'gua'shi'qie'shuang'che 寡士怯双车
'guai'jiao'ma 拐角马
'guan'cheng 观秤
'guan'he 官和
'guang'dong'hui'zhou'hua'xuan'xiang'qi'dui 广东惠州华轩象棋队
'guang'dong'lv'qin 广东吕钦
'guang'dong'xiao'jiang 广东小将
'gui'bei'pao 龟背炮
'gui'xin'ma 归心马
'gui'xin'pao 归心炮
'guo'gong'lian'pao 过宫敛炮
'guo'gong'ma 过宫马
'guo'gong'pao 过宫炮
'guo'gong'pao'dui'hai'zhong'pao 过宫炮对还中炮
'guo'he'che 过河车
'guo'lei 过肋
'guo'li'ping 郭丽萍
'hai'zhong'pao 还中炮
'he'ji'zhan'shu 合击战术
'he'jie 河界
'he'jie'xian 河界线
'he'shi 和势
'he'shi'dao'heng'xian 和十道横线
'he'tou'bing 河头兵
'he'tou'che 河头车
'he'tou'ma 河头马
'hei'bi'sheng 黑必胜
'hei'chong'zu'wu'nai 黑冲卒无奈
'hei'chu'jiang 黑出将
'hei'fang'bi'xu 黑方必须
'hei'fang'bian'zhe 黑方变着
'hei'fang'zhi'you 黑方只有
'hei'fu 黑负
'hei'gao'you'heng'che 黑高右横车
'hei'jin'lu'zu'zhuan'zhong'pao'dui'ping'feng'ma 黑进路卒转中炮对屏风马
'hei'jin'pao'ya'ma 黑进炮压马
'hei'jin'zu 黑进卒
'hei'jin'zu'you'pao'xun'he 黑进卒右炮巡河
'hei'jin'zu'you'pao'ya'ma 黑进卒右炮压马
'hei'jin'zu'zuo'pao'feng'che 黑进卒左炮封车
'hei'jing'chong'zu 黑径冲卒
'hei'liang'zu 黑两组
'hei'ma'jin'tie'hong'ma'er'xing 黑马紧贴红马而行
'hei'pao 黑炮
'hei'ping'you'pao'liang'che 黑平右炮亮车
'hei'qi'lu'zu 黑弃路卒
'hei'ru 黑如
'hei'ru'gai'zou 黑如改走
'hei'ruo 黑若
'hei'shang'you'shi 黑上右士
'hei'shang'you'xiang 黑上右象
'hei'shang'zuo'xiang 黑上左象
'hei'sheng 黑胜
'hei'sheng'ding 黑胜定
'hei'shuang'heng'che 黑双横车
'hei'ye 黑也
'hei'yi 黑亦
'hei'you'che'xun'he 黑右车巡河
'hei'you'shi'jiao'pao 黑右士角炮
'hei'you'zhong'pao 黑右中炮
'hei'zuo'che'xun'he 黑左车巡河
'hei'zuo'guo'gong'pao 黑左过宫炮
'heng'che 横车
'heng'zou 横走
'heng'zou'dou'ke'yi 横走都可以
'hong'bai'ju'yi'ding 红败局已定
'hong'bing 红兵
'hong'bing'di'pao 红兵底炮
'hong'ci'zhe 红此着
'hong'dui'san'lu'bing 红兑三路兵
'hong'fang'bian'zhe 红方变着
'hong'fu 红负
'hong'gao'zuo'heng'che 红高左横车
'hong'heng'che'zhan'zuo'lei 红横车占左肋
'hong'ji'jin'zhong'bing 红急进中兵
'hong'jin'qi'bing 红进七兵
'hong'jin'qi'bing'bian'ma 红进七兵边马
'hong'jin'zuo'pao'zhuo'ma 红进左炮捉马
'hong'liang'tou'she 红两头蛇
'hong'liang'tou'she'zuo'che'guo'he 红两头蛇左车过河
'hong'liang'tou'she'zuo'xiang'fei'bian 红两头蛇左相飞边
'hong'pao 红炮
'hong'ping'liu'lu'pao 红平六路炮
'hong'ping'pao'ya'ma 红平炮压马
'hong'ping'qi'lu'pao 红平七路炮
'hong'qi 红棋
'hong'qi'lu'ma'pan'he 红七路马盘河
'hong'qi'zi 红棋子
'hong'ru 红如
'hong'shang'you'zheng'ma 红上右正马
'hong'sheng 红胜
'hong'shuang'heng'che'zheng'ma 红双横车正马
'hong'shuang'qi'bing 红双弃兵
'hong'wu'jiu'pao 红五九炮
'hong'xie'zhong'pao 红卸中炮
'hong'yao'dui'san'lu'bing 红邀兑三路兵
'hong'you'che'guo'he 红右车过河
'hong'you'zhong'pao 红右中炮
'hong'zheng'ma 红正马
'hong'zhi 洪智
'hong'zhi'che'zheng'ma 红直车正马
'hong'zhi'heng'che 红直横车
'hong'zu'zhao'jiang 轰卒照将
'hong'zuo'ma'tun'bian 红左马屯边
'hong'zuo'pao'guo'he 红左炮过河
'hou'bing 后兵
'hou'bing'jin'yi 后兵进一
'hou'bing'ping 后兵平
'hou'bing'ping'liu 后兵平六
'hou'bing'ping'wu 后兵平五
'hou'ma 后马
'hou'ma'jin 后马进
'hou'ma'jin'si 后马进四
'hou'ma'jin'wu 后马进五
'hou'ma'tui 后马退
'hou'zhong'xian 后中先
'hou'zu'jin'yi 后卒进一
'hou'zu'ping 后卒平
'hou'zu'ping'si 后卒平四
'hu'bei'dui'zhu'shuai 湖北队主帅
'hu'bei'hong'yu'dui 湖北宏宇队
'hu'bei'liu'da'hua 湖北柳大华
'hu'jin'guai'jiao'ma 互进拐角马
'hu'jin'san'bing 互进三兵
'hu'rong'hua 胡荣华
'hu'shuang'zu 护双卒
'hu'zuo'zhong'tang 虎坐中堂
'hua'shi'xiang 花士象
'hua'xia'qi'ying 华夏七鹰
'hua'xin'che 花心车
'hua'xin'zu 花心卒
'hua'xuan'bei'quan'guo'xiang'qi'jia'ji'lian'sai 华轩杯全国象棋甲级联赛
'hua'you'jiao'cha'xian 划有交叉线
'huan'kai'che 缓开车
'huan'shou 缓手
'huan'shuang'zu 换双卒
'hui'he'de'can'ju'xing'shi 回合的残局形势
'hui'he'shi 回合时
'hui'he'shi'de 回合时的
'hui'zhou'hua'xuan'bei 惠州华轩杯
'huo'yi'heng 或一横
'huo'zhu'dong'song'chi 或主动送吃
'huo'zou'cheng'he'qi'wei'zhi 或走成和棋为止
'ji'jie'ju'tu'qi'ju 及结局图棋局
'ji'shi'fang'an 计时方案
'ji'shi'hei'ma 即使黑马
'ji'shi'zhong 计时钟
'ji'xiang 吉翔
'jia'che'pao 夹车炮
'jiang'hu'can'ju 江湖残局
'jiang'nan'si'yan 江南四燕
'jiang'shuai'bu'sha 将帅捕杀
'jiang'si 将死
'jiang'yi'ge 将一个
'jiao'cha'zu'cheng 交叉组成
'jiao'liu'qi'yi 交流棋艺
'jie'che'shi'pao 借车使炮
'jie'pao'shi'ma 借炮使马
'jin'ba 进八
'jin'che 进车
'jin'cou'lao'lian 紧凑老练
'jin'er 进二
'jin'gou'pao 金钩炮
'jin'gou'pao'dui'qi'ma 金钩炮对起马
'jin'hai'ying 金海英
'jin'jiu 进九
'jin'kao'yi'zhi 紧靠一直
'jin'liu 进六
'jin'pao'ying'xu'yao'fu'che 进炮应须要辅车
'jin'qi 进七
'jin'qi'bing 进七兵
'jin'san 进三
'jin'san'bing 进三兵
'jin'si 进四
'jin'song 金松
'jin'wu 进五
'jin'yao'zhi'zhe 紧要之着
'jin'yi 进一
'jin'yi'ma 进一马
'jin'zhi'zhao'fa 禁止着法
'jing'jing'yi'chang 精警异常
'jing'xuan'zhao'fa 精选着法
'jiu'dao'zhi'xian 九道直线
'jiu'pao 九炮
'jiu'suan'he'qi 就算和棋
'jiu'suan'shu'qi 就算输棋
'jiu'wei'gui 九尾龟
'ju'mian'shu'shi 局面属实
'ju'ti'dui'zhen'wei 具体对阵为
'juan'xia 卷下
'jun'wei'ju'jue 均为拒绝
'jun'zai'ma'ti'zhi'xia 均在马蹄之下
'kai'ju 开局
'kai'tong'zi'li 开通子力
'ke'da'si'hong'bing 可打死红兵
'ke'dui'shen'fen 客队身份
'ke'jian'hei'di 可见黑第
'ke'jin'ke'tui 可进可退
'ke'yi'zhi'jin 可以直进
'kong'ju 控局
'kong'ju'de'sheng 控局得胜
'kong'ju'zhi'sheng 控局制胜
'kong'tou'pao 空头炮
'kong'xin'pao 空心炮
'kong'zhi'ju'shi 控制局势
'kun'bi 困毙
'kun'fa 困法
'lan'pao 拦炮
'lao'bing'jian'gong 老兵建功
'le'che'ma 勒车马
'lei'che 肋车
'lei'dao 肋道
'leng'xiang'pao 冷巷炮
'li'hong'jia 李鸿嘉
'li'lai'qun 李来群
'li'ma'che 立马车
'li'qun 李群
'li'shao'geng 李少庚
'li'xue'song 李雪松
'li'zhi'ping 李智屏
'lian'huan'pao 连环炮
'lian'jiang'sha 连将杀
'lian'pao 敛炮
'lian'zhan'liang'lun 连战两轮
'lian'zi'pei'he 联子配合
'liang'gui'pai'men 两鬼拍门
'liang'kuan'shu'yu'ti'he 两款属于提和
'liang'tou'she 两头蛇
'lie'pao 列炮
'lie'shou'pao 列手炮
'lin'hong'min 林宏敏
'ling'nan'shuang'long 岭南双龙
'ling'yi'fang'bi'xu'hui'bi 另一方必须回避
'ling'yi'fang'yi 另一方已
'liu'da'hua 柳大华
'liu'dian'zhong 刘殿中
'liu'shi 六士
'liu'shi'hui'he'gui'ze 六十回合规则
'lu'bian'zu 路边卒
'lu'che 路车
'lu'he'tou 路河头
'lu'pao 路炮
'lue'hei 掠黑
'lue'shi'huo'sheng 掠仕获胜
'lue'xiang 掠相
'lun'dao'zou'qi'de'yi'fang 轮到走棋的一方
'lun'zou'de 轮走的
'luo'jia'lao'lian'zhi'zhe 落家老练之着
'lv'qin 吕钦
'ma'ba 马八
'ma'ba'jin'jiu 马八进九
'ma'ba'jin'liu 马八进六
'ma'ba'jin'qi 马八进七
'ma'ba'jin'qi'che 马八进七车
'ma'ba'tui'jiu 马八退九
'ma'ba'tui'liu 马八退六
'ma'ba'tui'qi 马八退七
'ma'chang'zhuo'bing 马长捉兵
'ma'chu'lu 马出路
'ma'er'jin'san 马二进三
'ma'er'jin'si 马二进四
'ma'er'jin'yi 马二进一
'ma'er'tui'san 马二退三
'ma'er'tui'si 马二退四
'ma'hou'pao 马后炮
'ma'hou'pao'sha 马后炮杀
'ma'jiu 马九
'ma'jiu'jin'ba 马九进八
'ma'jiu'jin'qi 马九进七
'ma'jiu'jin'qi'che 马九进七车
'ma'jiu'tui'ba 马九退八
'ma'jiu'tui'qi 马九退七
'ma'liu'jin'ba 马六进八
'ma'liu'jin'qi 马六进七
'ma'liu'jin'si 马六进四
'ma'liu'jin'wu 马六进五
'ma'liu'jin'wu'che 马六进五车
'ma'liu'tui'ba 马六退八
'ma'liu'tui'qi 马六退七
