'ai'di'cha 矮地茶
'liu'jing 六经
'liu'lv 六律
'liu'qi 六气
'liu'shen'qu 六神曲
'liu'wei'di'huang'wan 六味地黄丸
'liu'yan 流衍
'liu'yi'san 六一散
'long'bi 癃闭
'long'chi 龙齿
'long'dan 龙胆
'long'dan'cao 龙胆草
'long'dan'xie'gan'tang 龙胆泻肝汤
'long'gu 龙骨
'long'yan'rou 龙眼肉
'lou'lu 漏芦
'lu'gan'shi 炉甘石
'lu'gen 芦根
'lu'hui 芦荟
'lu'jiao 鹿角
'lu'jiao'jiao 鹿角胶
'lu'jiao'shuang 鹿角霜
'lu'lu'tong 路路通
'lu'rong 鹿茸
'luo'bu'ma'ye 罗布麻叶
'luo'han'guo 罗汉果
'luo'shi'teng 络石藤
'lv'dou 绿豆
'lv'dou'yi 绿豆衣
'lv'fan 绿矾
'ma'bo 马勃
'ma'chi'xian 马齿苋
'ma'dou'ling 马兜铃
'ma'huang 麻黄
'ma'huang'gen 麻黃根
'ma'huang'gen 麻黄根
'ma'huang'tang 麻黄汤
'ma'huang'xi'xin'fu'zi'tang 麻黄细辛附子汤
'ma'huang'xing'ren'gan'cao'shi'gao'tang 麻黄杏仁甘草石膏汤
'ma'qian'zi 马钱子
'ma'zi'ren'wan 麻子仁丸
'mai'ai'ai 脉蔼蔼
'mai'dong 麦冬
'mai'lei'lei 脉累累
'mai'men'dong 麦门冬
'mai'men'dong'tang 麦门冬汤
'mai'mian'mian 脉绵绵
'mai'pie'pie 脉暼瞥
'mai'xiang 脉象
'mai'ya 麦芽
'mai'ying'ying 脉萦萦
'mai'zao 脉躁
'man'jing'zi 蔓荆子
'mang'xiao 芒硝
'mang'zhong 芒种
'mao'zhao'cao 猫爪草
'mei'gui'hua 玫瑰花
'mei'hua 梅花
'mei'yao 没药
'meng'chong 虻虫
'meng'shi 礞石
'mi'huan'jun 密环菌
'mi'meng'hua 密蒙花
'mi'tuo'seng 密陀僧
'ming'dang'shen 明党参
'mo'han'lian 墨旱莲
'mo'yao 沒药
'mu'dan'pi 牡丹皮
'mu'ding'xiang 母丁香
'mu'gua 木瓜
'mu'hu'die 木蝴蝶
'mu'jin'pi 木槿皮
'mu'li 牡蛎
'mu'li'san 牡蛎散
'mu'tong 木通
'mu'tou'hui 墓头回
'mu'xiang 木香
'mu'xiang'bing'lang'wan 木香槟榔丸
'mu'zei 木贼
'nan'gua'zi 南瓜子
'nan'sha'shen 南沙参
'nei'bu'huang'qi'tang 内补黄芪汤
'nei'shang'fa're 内伤发热
'niao'zhuo 尿浊
'niu'bang'jie'ji'tang 牛蒡解肌汤
'niu'bang'zi 牛蒡子
'niu'huang 牛黄
'niu'xi 牛膝
'nuan'gan'jian 暖肝煎
'nue'ji 疟疾
'nuo'dao'gen 糯稻根
'nv'zhen'zi 女贞子
'nv'zi'bao 女子胞
'ou'jie 藕节
'ou'tu 呕吐
'pang'da'hai 胖大海
'pao'jiang 炮姜
'pei'lan 佩兰
'peng'sha 硼砂
'pi'bu 皮部
'pi'ji 罴极
'pi'pa'ye 枇杷叶
'pi'shen 脾肾
'pi'shi 砒石
'pi'wei 脾胃
'pian'jiang'huang 片姜黄
'ping'bei'mu 平贝母
'ping'wei'san 平胃散
'pu'gong'ying 蒲公英
'pu'huang 蒲黄
'pu'ji'xiao'du'yin 普济消毒饮
'qi'bao'mei'ran'dan 七宝美髯丹
'qi'dai 脐带
'qi'heng'zhi'fu 奇恒之腑
'qi'kou 气口
'qi'li'san 七厘散
'qi'ni 气逆
'qi'she 蕲蛇
'qi'xian 气陷
'qi'xing 七星
'qi'xu 气虚
'qi'xue 气血
'qi'zhi 气滞
'qian'cao 茜草
'qian'dan 铅丹
'qian'hu 前胡
'qian'jin'zi 千金子
'qian'li'guang 千里光
'qian'nian'jian 千年健
'qian'niu'zi 牵牛子
'qian'shi 芡实
'qian'zheng'san 牵正散
'qiang'huo 羌活
'qiang'huo'sheng'shi'tang 羌活胜湿汤
'qin'jiao 秦艽
'qin'pi 秦皮
'qing'dai 青黛
'qing'fen 轻粉
'qing'feng'teng 青风藤
'qing'gu'san 清骨散
'qing'guo 青果
'qing'hao 青蒿
'qing'hao'bie'jia'tang 青蒿鳖甲汤
'qing'ming 清明
'qing'mu'xiang 青木香
'qing'pi 青皮
'qing'qi'hua'tan'wan 清气化痰丸
'qing'shu'yi'qi'tang 清暑益气汤
'qing'wei'san 清胃散
'qing'wen'bai'du'yin 清瘟败毒饮
'qing'xiang'zi 青葙子
'qing'ying'tang 清营汤
'qing'zao'jiu'fei'tang 清燥救肺汤
'qiong'yu'gao 琼玉膏
'qiu'fen 秋分
'qu'mai 瞿麦
'qu'zhi 曲直
'quan'can 拳参
'quan'xie 全蝎
're'zheng 热证
'ren'dong'teng 忍冬藤
'ren'shen 人参
'ren'shen'ge'jie'san 人参蛤蚧散
'ren'shen'ye 人参叶
'ren'ying 人迎
'rong'ping 容平
'rou'cong'rong 肉苁蓉
'rou'dou'kou 肉豆蔻
'rou'gui 肉桂
'ru'xiang 乳香
'run'xia 润下
'san'bu 三部
'san'jiao 三焦
'san'leng 三棱
'san'qi 三七
'san'ren 三人
'san'ren'tang 三仁汤
'san'sheng 三盛
'san'wu'bei'ji'wan 三物备急丸
'san'yang 三阳
'san'yin 三阴
'san'zi'yang'qin'tang 三子养亲汤
'sang'bai'pi 桑白皮
'sang'ji'sheng 桑寄生
'sang'ju'yin 桑菊饮
'sang'piao'xiao 桑螵蛸
'sang'piao'xiao'san 桑螵蛸散
'sang'shen 桑椹
'sang'shen'zi 桑葚子
'sang'xing'tang 桑杏汤
'sang'ye 桑叶
'sang'zhi 桑枝
'sha'ji 沙棘
'sha'ren 砂仁
'sha'ren'ke 砂仁壳
'sha'shen 沙参
'sha'yuan'zi 沙苑子
'shan'ci'gu 山慈菇
'shan'dou'gen 山豆根
'shan'yang'jiao 山羊角
'shan'yao 山药
'shan'yin'hua 山银花
'shan'zha 山楂
'shan'zhu'yu 山茱萸
'shang'lu 商陆
'shao'qi 少气
'shao'yang 少阳
'shao'yang'xiang'huo 少阳相火
'shao'yao'tang 芍药汤
'shao'yin 少阴
'shao'yin'jun'huo 少阴君火
'she'chuang'zi 蛇床子
'she'gan 射干
'she'tui 蛇蜕
'she'xiang 麝香
'shen'jin'cao 伸筋草
'shen'ling'bai'zhu'san 参苓白朮散
'shen'ming 神明
'shen'ping 审平
'shen'qi 神气
'shen'qi'wan 肾气丸
'shen'qu 神曲
'shen'su'yin 参苏饮
'sheng'di 生地
'sheng'di'huang 生地黄
'sheng'hua'tang 生化汤
'sheng'jiang 生姜
'sheng'jiang'pi 生姜皮
'sheng'jiang'zhi 生姜汁
'sheng'ma 升麻
'sheng'ma'ge'gen'tang 升麻葛根汤
'sheng'mai'san 生脉散
'sheng'ming 升明
'shi'chang'pu 石菖蒲
'shi'di 柿蒂
'shi'gao 石膏
'shi'hu 石斛
'shi'hui'san 十灰散
'shi'jue'ming 石决明
'shi'jun'zi 使君子
'shi'lian'zi 石莲子
'shi'liu'pi 石榴皮
'shi'pi'san 实脾散
'shi'wei 石苇
'shi'wei 石韦
'shi'xiao'san 失笑散
'shi'zao'tang 十枣汤
'shi'zheng 实证
'shou'gong 守宫
'shou'sheng 受盛
'shou'wu'teng 首乌藤
'shu'chi 枢持
'shu'di 熟地
'shu'di'huang 熟地黄
'shu'mai 数脉
'shu'qi 蜀漆
'shu'ru 枢儒
'shu'zao'yin'zi 疏凿饮子
'shuang'jiang 霜降
'shui'ban'xia 水半夏
'shui'dao 水道
'shui'gu 水谷
'shui'huo 水火
'shui'niu'jiao 水牛角
'shui'yin 水银
'shui'zhi 水蛭
'shui'zhong 水肿
'si'gua'luo 丝瓜络
'si'ji'qing 四季青
'si'jun'zi'tang 四君子汤
'si'miao'yong'an'tang 四妙勇安汤
'si'mo'tang 四磨汤
'si'ni'san 四逆散
'si'ni'tang 四逆汤
'si'shen'wan 四神丸
'si'shi 四时
'si'wu'tang 四物汤
'song'hua'fen 松花粉
'song'zi'ren 松子仁
'su'geng 苏梗
'su'he'xiang 苏合香
'su'he'xiang'wan 苏合香丸
'su'mu 苏木
'su'zi 苏子
'su'zi'jiang'qi'tang 苏子降气汤
'suan'zao'ren 酸枣仁
'suan'zao'ren'tang 酸枣仁汤
'sun'xie 飧泄
'suo'luo'zi 娑罗子
'suo'quan'wan 缩泉丸
'suo'yang 锁阳
'tai'guo 太过
'tai'shan'pan'shi'san 泰山磐石散
'tai'yang 太阳
'tai'yang'han'shui 太阳寒水
'tai'yin 太阴
'tai'yin'shi'tu 太阴湿土
'tai'zi'shen 太子参
'tan'xiang 檀香
'tan'yin 痰饮
'tan'zheng 痰证
'tao'he'cheng'qi'tang 桃核承气汤
'tao'hua'tang 桃花汤
'tao'ren 桃仁
'tian'dong 天冬
'tian'gua'di 甜瓜蒂
'tian'hua'fen 天花粉
'tian'jiu 天九
'tian'kui'zi 天葵子
'tian'ma 天麻
'tian'ma'gou'teng'yin 天麻钩藤饮
'tian'men'dong 天门冬
'tian'nan'xing 天南星
'tian'qi 天七
'tian'san 天三
'tian'shan'xue'lian 天山雪莲
'tian'tai'wu'yao'san 天台乌药散
'tian'wang'bu'xin'dan 天王补心丹
'tian'wu 天五
'tian'xian'teng 天仙藤
'tian'xing'ren 甜杏仁
'tian'yi 天一
'tian'zhu'huang 天竺黄
'tie'pi'shi'hu 铁皮石斛
'ting'li'zi 葶苈子
'tong'cao 通草
'tong'xie'yao'fang 痛泻要方
'tou'nong'san 透脓散
'tou'tong 头痛
'tu'bei'mu 土贝母
'tu'bie'chong 土鳖虫
'tu'dai'huang 土大黄
'tu'fu'ling 土茯苓
'tu'jing'pi 土荆皮
'tu'mu'xiang 土木香
'tu'niu'xi 土牛膝
'tu'si'zi 菟丝子
'tu'suan 吐酸
'wa'leng'zi 瓦楞子
'wan'dai'tang 完带汤
'wang'bu'liu'xing 王不留行
'wang'yang 亡阳
'wang'yin 亡阴
'wei'he 委和
'wei'huang 萎黄
'wei'jing'tang 苇茎汤
'wei'jue 痿厥
'wei'ling'xian 威灵仙
'wei'tong 胃痛
'wei'zheng 痿证
'wen'dan'tang 温胆汤
'wen'jing'tang 温经汤
'wen'pi'tang 温脾汤
'wu'bei'zi 五倍子
'wu'gong 蜈蚣
'wu'ji'san 五积散
'wu'jia'pi 五加皮
'wu'ling'san 五苓散
'wu'ling'zhi 五灵脂
'wu'mei 乌梅
'wu'mei'wan 乌梅丸
'wu'pi'san 五皮散
'wu'ren'wan 五仁丸
'wu'shao'she 乌梢蛇
'wu'tu 戊土
'wu'wei'xiao'du'yin 五味消毒饮
'wu'wei'zi 五味子
'wu'xing 五行
'wu'yao 乌药
'wu'yi 芜荑
'wu'yin 五音
'wu'yun 五运
'wu'zang 五脏
'wu'zhu'yu 吴茱萸
'wu'zhu'yu'tang 吴茱萸汤
'xi'gu 溪谷
'xi'he'liu 西河柳
'xi'hong'hua 西红花
'xi'huang'wan 犀黄丸
'xi'jiao'di'huang'tang 犀角地黄汤
'xi'mai 细脉
'xi'qing'guo 西青果
'xi'xian'cao 豨莶草
'xi'xin 细辛
'xi'yang'shen 西洋参
'xia'ku'cao 夏枯草
'xia'zhi 夏至
'xian'di'huang 鲜地黄
'xian'fang'huo'ming'yin 仙方活命饮
'xian'he'cao 仙鹤草
'xian'mai 弦脉
'xian'mao 仙茅
'xian'zheng 痫证
'xiang'fu 香附
'xiang'jia'pi 香加皮
'xiang'ru 香薷
'xiang'ru'san 香薷散
'xiang'su'san 香苏散
'xiang'yuan 香橼
'xiao'chai'hu'tang 小柴胡汤
'xiao'feng'san 消风散
'xiao'han 小寒
'xiao'hui'xiang 小茴香
'xiao'huo'luo'dan 小活络丹
'xiao'ji 小蓟
'xiao'ji'yin'zi 小蓟饮子
'xiao'jian'zhong'tang 小建中汤
'xiao'jin'dan 小金丹
'xiao'jin'qian'cao 小金钱草
'xiao'ke 消渴
'xiao'luo'wan 消瘰丸
'xiao'mai 小麦
'xiao'man 小满
'xiao'qing'long'tang 小青龙汤
'xiao'shu 小暑
