'a'la'tan'wu'wei'wan 阿拉坦五味丸
'chun'yang'zheng'qi'wan 纯阳正气丸
'ci'dan'jiao'nang 慈丹胶囊
'ci'wu'jia'nao'ling'he'ji'ci'wu'jia'nao'ling'ye 刺五加脑灵合剂刺五加脑灵液
'ci'wu'jia'pian'jiao'nang'ke'li 刺五加片胶囊颗粒
'ci'wu'jia'zhu'she'ye 刺五加注射液
'cong'rong'tong'bian'kou'fu'ye 苁蓉通便口服液
'cong'rong'yi'shen'ke'li 苁蓉益肾颗粒
'da'bu'yin'wan 大补阴丸
'da'chai'hu'ke'li 大柴胡颗粒
'da'chuan'xiong'pian'kou'fu'ye 大川芎片口服液
'da'huang'chong'wan'pian'jiao'nang 大黄虫丸片胶囊
'da'huang'li'dan'pian'jiao'nang 大黄利胆片胶囊
'da'huang'san'wei'pian 大黄三味片
'da'huang'tong'bian'pian'jiao'nang'ke'li 大黄通便片胶囊颗粒
'da'huo'luo'wan'jiao'nang 大活络丸胶囊
'da'li'tong'ke'li 达立通颗粒
'da'yue'jing'wan 大月晶丸
'da'zhu'hong'jing'tian'jiao'nang'pian 大株红景天胶囊片
'dai'ge'san 黛蛤散
'dai'wen'jiu'gao 代温灸膏
'dan'deng'tong'nao'pian'jiao'nang'di'wan 丹灯通脑片胶囊滴丸
'dan'e'fu'kang'jian'gao'ke'li 丹莪妇康煎膏颗粒
'dan'hong'hua'yu'kou'fu'ye 丹红化瘀口服液
'dan'huang'qu'yu'pian'jiao'nang 丹黄祛瘀片胶囊
'dan'kang'pian'jiao'nang 胆康片胶囊
'dan'long'kou'fu'ye 丹龙口服液
'dan'lou'pian 丹蒌片
'dan'lu'jiao'nang 丹鹿胶囊
'dan'lu'tong'du'pian 丹鹿通督片
'dan'mu'jin'gao'pian'tang'jiang 胆木浸膏片糖浆
'dan'ning'pian 胆宁片
'dan'qi'pian'jiao'nang'ruan'jiao'nang 丹七片胶囊软胶囊
'dan'shen'pian'jiao'nang'ke'li'kou'fu'ye'he'ji'di'wan 丹参片胶囊颗粒口服液合剂滴丸
'dan'shen'shu'xin'jiao'nang 丹参舒心胶囊
'dan'shen'tong'jiao'nang 丹参酮胶囊
'dan'shen'yi'xin'jiao'nang 丹参益心胶囊
'dan'shen'zhu'she'ye 丹参注射液
'dan'shi'li'tong'pian'jiao'nang 胆石利通片胶囊
'dan'shi'tong'jiao'nang 胆石通胶囊
'dan'shu'pian'jiao'nang'ruan'jiao'nang 胆舒片胶囊软胶囊
'dan'ting'fei'xin'ke'li 丹葶肺心颗粒
'dan'wei'kang'jiao'nang 胆胃康胶囊
'dan'xi'ke'li 丹膝颗粒
'dan'xiang'qing'zhi'ke'li 丹香清脂颗粒
'dan'zhen'tou'tong'jiao'nang 丹珍头痛胶囊
'dan'zhi'xiao'yao'pian'jiao'nang 丹栀逍遥片胶囊
'dan'zhi'xiao'yao'wan 丹栀逍遥丸
'dang'fei'li'gan'ning'pian'jiao'nang 当飞利肝宁片胶囊
'dang'gui'bu'xue'wan'jiao'nang'ke'li'kou'fu'ye 当归补血丸胶囊颗粒口服液
'dang'gui'ku'shen'wan 当归苦参丸
'dang'gui'long'hui'wan'pian'jiao'nang 当归龙荟丸片胶囊
'dang'gui'nian'tong'wan'ke'li 当归拈痛丸颗粒
'dao'chi'wan 导赤丸
'deng'yin'nao'tong'jiao'nang 灯银脑通胶囊
'deng'zhan'hua'su'pian 灯盏花素片
'deng'zhan'hua'su'zhu'she'ye 灯盏花素注射液
'deng'zhan'sheng'mai'jiao'nang 灯盏生脉胶囊
'deng'zhan'xi'xin'jiao'nang'ke'li'ruan'jiao'nang 灯盏细辛胶囊颗粒软胶囊
'deng'zhan'xi'xin'zhu'she'ye 灯盏细辛注射液
'di'ao'xin'xue'kang'jiao'nang 地奥心血康胶囊
'di'ao'xin'xue'kang'pian'ruan'jiao'nang 地奥心血康片软胶囊
'di'yu'huai'jiao'wan 地榆槐角丸
'di'yu'sheng'bai'pian'jiao'nang 地榆升白片胶囊
'di'zhen'ke'li 地贞颗粒
'dian'qie'pian 颠茄片
'dian'xian'kang'jiao'nang 癫痫康胶囊
'dian'xian'ping'pian 癫痫平片
'die'da'huo'xue'san'jiao'nang 跌打活血散胶囊
'die'da'pian 跌打片
'die'da'qi'li'san'pian 跌打七厘散片
'die'da'wan 跌打丸
'die'da'wan'hua'you 跌打万花油
'ding'chuan'gao 定喘膏
'ding'kun'dan'wan 定坤丹丸
'ding'xi'ya'tong'jiao'nang 丁细牙痛胶囊
'dong'ling'cao'pian'jiao'nang 冬凌草片胶囊
'du'huo'ji'sheng'wan'ke'li'he'ji 独活寄生丸颗粒合剂
'du'liang'di'wan'ruan'jiao'nang 都梁滴丸软胶囊
'du'yi'wei'wan'pian'jiao'nang'ke'li'ruan'jiao'nang 独一味丸片胶囊颗粒软胶囊
'du'zhong'ke'li 杜仲颗粒
'duan'xue'liu'pian'jiao'nang'ke'li'kou'fu'ye 断血流片胶囊颗粒口服液
'er'chen'wan 二陈丸
'er'gan'tui're'ning'ke'li'kou'fu'ye 儿感退热宁颗粒口服液
'er'long'wan'jiao'nang 耳聋丸胶囊
'er'long'zuo'ci'wan 耳聋左慈丸
'er'miao'wan 二妙丸
'er'mu'ning'sou'wan'pian'ke'li 二母宁嗽丸片颗粒
'er'pi'xing'ke'li 儿脾醒颗粒
'er'shi'wei'chen'xiang'wan 二十味沉香丸
'er'shi'wei'rou'dou'kou'wan 二十味肉豆蔻丸
'er'shi'wu'wei'da'tang'wan 二十五味大汤丸
'er'shi'wu'wei'er'cha'wan 二十五味儿茶丸
'er'shi'wu'wei'lv'xue'wan 二十五味驴血丸
'er'shi'wu'wei'shan'hu'wan'jiao'nang 二十五味珊瑚丸胶囊
'er'shi'wu'wei'song'shi'wan 二十五味松石丸
'er'shi'wu'wei'zhen'zhu'wan 二十五味珍珠丸
'er'tong'qing'fei'kou'fu'ye 儿童清肺口服液
'er'tong'qing'yan'jie're'kou'fu'ye 儿童清咽解热口服液
'er'xie'kang'tie'mo 儿泻康贴膜
'er'xie'ting'ke'li 儿泻停颗粒
'er'zhi'wan 二至丸
'fang'feng'tong'sheng'wan'ke'li 防风通圣丸颗粒
'fei'li'ke'jiao'nang'he'ji 肺力咳胶囊合剂
'fen'qing'wu'lin'wan 分清五淋丸
'feng'liao'chang'wei'kang'pian'jiao'nang'ke'li'he'ji 枫蓼肠胃康片胶囊颗粒合剂
'feng'shi'er'shi'wu'wei'wan 风湿二十五味丸
'feng'shi'gu'tong'pian'jiao'nang'ke'li 风湿骨痛片胶囊颗粒
'feng'shi'ma'qian'pian 风湿马钱片
'feng'shi'qu'tong'jiao'nang 风湿祛痛胶囊
'feng'shi'ye 风湿液
'fu'bi'shu'yin'dao'pao'teng'pian 妇必舒阴道泡腾片
'fu'fang'ban'lan'gen'ke'li 复方板蓝根颗粒
'fu'fang'ban'mao'jiao'nang 复方斑蝥胶囊
'fu'fang'bie'jia'ruan'gan'pian 复方鳖甲软肝片
'fu'fang'chan'su'gao 复方蟾酥膏
'fu'fang'chen'xiang'wei'pian 复方陈香胃片
'fu'fang'chuan'bei'jing'pian'jiao'nang 复方川贝精片胶囊
'fu'fang'chuan'xiong'pian'jiao'nang 复方川芎片胶囊
'fu'fang'cong'rong'yi'zhi'jiao'nang 复方苁蓉益智胶囊
'fu'fang'dan'shen'pen'wu'ji 复方丹参喷雾剂
'fu'fang'dan'shen'pian'wan'jiao'nang'ke'li'di'wan 复方丹参片丸胶囊颗粒滴丸
'fu'fang'dan'tong'pian'jiao'nang 复方胆通片胶囊
'fu'fang'di'long'pian'jiao'nang 复方地龙片胶囊
'fu'fang'du'zhong'jian'gu'ke'li 复方杜仲健骨颗粒
'fu'fang'e'jiao'jiang 复方阿胶浆
'fu'fang'feng'shi'ning'pian'jiao'nang'ke'li 复方风湿宁片胶囊颗粒
'fu'fang'gan'mao'ling'pian'jiao'nang'ke'li 复方感冒灵片胶囊颗粒
'fu'fang'gao'zi'ban'pian 复方高滋斑片
'fu'fang'hong'dou'shan'jiao'nang 复方红豆杉胶囊
'fu'fang'huang'bai'ye'tu'ji 复方黄柏液涂剂
'fu'fang'huang'lian'su'pian 复方黄连素片
'fu'fang'jin'qian'cao'ke'li 复方金钱草颗粒
'fu'fang'ka'li'zi'ran'ding 复方卡力孜然酊
'fu'fang'ku'shen'zhu'she'ye 复方苦参注射液
'fu'fang'liu'huang'ru'gao 复方硫黄乳膏
'fu'fang'long'xue'jie'jiao'nang 复方龙血竭胶囊
'fu'fang'luo'bu'ma'ke'li 复方罗布麻颗粒
'fu'fang'mu'ni'zi'qi'ke'li 复方木尼孜其颗粒
'fu'fang'nan'xing'zhi'tong'gao 复方南星止痛膏
'fu'fang'qin'lan'kou'fu'ye 复方芩兰口服液
'fu'fang'qing'dai'wan'pian'jiao'nang 复方青黛丸片胶囊
'fu'fang'sha'ji'zi'you'shuan 复方沙棘籽油栓
'fu'fang'shang'tong'jiao'nang 复方伤痛胶囊
'fu'fang'shi'lin'tong'pian'jiao'nang 复方石淋通片胶囊
'fu'fang'shuang'hua'pian'ke'li'kou'fu'ye 复方双花片颗粒口服液
'fu'fang'tian'qi'wei'tong'pian'jiao'nang 复方田七胃痛片胶囊
'fu'fang'tu'jin'pi'ding 复方土槿皮酊
'fu'fang'wei'tong'jiao'nang 复方胃痛胶囊
'fu'fang'xia'ku'cao'gao 复方夏枯草膏
'fu'fang'xia'tian'wu'pian 复方夏天无片
'fu'fang'xian'zhu'li'ye 复方鲜竹沥液
'fu'fang'xiang'ru'shui 复方香薷水
'fu'fang'xiao'huo'luo'wan 复方小活络丸
'fu'fang'xiong'dan'di'yan'ye 复方熊胆滴眼液
'fu'fang'xue'lian'jiao'nang 复方雪莲胶囊
'fu'fang'xue'shen'jiao'nang 复方雪参胶囊
'fu'fang'xue'shuan'tong'jiao'nang 复方血栓通胶囊
'fu'fang'xue'shuan'tong'pian'ke'li'ruan'jiao'nang'di'wan 复方血栓通片颗粒软胶囊滴丸
'fu'fang'ya'tong'ding 复方牙痛酊
'fu'fang'yi'gan'ling'pian'jiao'nang 复方益肝灵片胶囊
'fu'fang'yi'mu'kou'fu'ye 复方益母口服液
'fu'fang'yi'mu'pian'jiao'nang'ke'li 复方益母片胶囊颗粒
'fu'fang'yin'hua'jie'du'ke'li 复方银花解毒颗粒
'fu'fang'zao'fan'wan 复方皂矾丸
'fu'fang'zhen'zhu'kou'chuang'ke'li 复方珍珠口疮颗粒
'fu'fang'zi'cao'you 复方紫草油
'fu'gui'gu'tong'pian'jiao'nang'ke'li 附桂骨痛片胶囊颗粒
'fu'ke'duan'hong'yin'jiao'nang 妇科断红饮胶囊
'fu'ke'jing'jiao'nang 妇可靖胶囊
'fu'ke'qian'jin'pian'jiao'nang 妇科千金片胶囊
'fu'ke'shi'wei'pian 妇科十味片
'fu'ke'tiao'jing'pian'jiao'nang'ke'li'di'wan 妇科调经片胶囊颗粒滴丸
'fu'ke'zai'zao'wan'jiao'nang 妇科再造丸胶囊
'fu'le'pian'jiao'nang'ke'li 妇乐片胶囊颗粒
'fu'mai'ding'jiao'nang 复脉定胶囊
'fu'ming'pian'jiao'nang'ke'li 复明片胶囊颗粒
'fu'nv'tong'jing'wan'ke'li 妇女痛经丸颗粒
'fu'yan'ping'jiao'nang 妇炎平胶囊
'fu'yan'ping'shuan 妇炎平栓
'fu'yan'shu'pian'jiao'nang 妇炎舒片胶囊
'fu'yan'xiao'jiao'nang 妇炎消胶囊
'fu'yang'ke'li 肤痒颗粒
'fu'yin'kang'xi'ji 妇阴康洗剂
'fu'zheng'hua'yu'pian'jiao'nang 扶正化瘀片胶囊
'fu'zhi'qing'ruan'gao 肤痔清软膏
'fu'zi'li'zhong'wan'pian 附子理中丸片
'gan'da'kang'pian'jiao'nang'ke'li 肝达康片胶囊颗粒
'gan'fu'le'pian'jiao'nang 肝复乐片胶囊
'gan'hai'wei'kang'jiao'nang 甘海胃康胶囊
'gan'ju'bing'mei'pian 甘桔冰梅片
'gan'ju'qing'yan'ke'li 甘桔清咽颗粒
'gan'lu'xiao'du'wan 甘露消毒丸
'gan'mao'qing'pian'jiao'nang 感冒清片胶囊
'gan'mao'qing're'ke'li'pian'jiao'nang 感冒清热颗粒片胶囊
'gan'mao'shu'feng'wan'pian'jiao'nang'ke'li 感冒疏风丸片胶囊颗粒
'gan'shuang'ke'li 肝爽颗粒
'gan'su'pian'jiao'nang'ke'li 肝苏片胶囊颗粒
'gan'tai'shu'jiao'nang 肝泰舒胶囊
'gang'an'shuan 肛安栓
'gang'tai'shuan'ruan'gao 肛泰栓软膏
'ge'gen'qin'lian'wan'pian'jiao'nang'ke'li'kou'fu'ye 葛根芩连丸片胶囊颗粒口服液
'ge'gen'tang'pian'ke'li'he'ji 葛根汤片颗粒合剂
'ge'jie'ding'chuan'jiao'nang 蛤蚧定喘胶囊
'ge'jie'ding'chuan'wan 蛤蚧定喘丸
'ge'lan'xin'ning'ruan'jiao'nang 葛兰心宁软胶囊
'ge'tong'tong'luo'jiao'nang 葛酮通络胶囊
'geng'nian'an'pian 更年安片
'geng'nian'an'wan'jiao'nang 更年安丸胶囊
'gong'jing'yan'kang'shuan 宫颈炎康栓
'gong'liu'ning'pian'jiao'nang'ke'li 宫瘤宁片胶囊颗粒
'gong'liu'qing'pian'jiao'nang'ke'li 宫瘤清片胶囊颗粒
'gong'liu'xiao'jiao'nang 宫瘤消胶囊
'gong'xue'ning'jiao'nang 宫血宁胶囊
'gong'xue'ting'ke'li 宫血停颗粒
'gong'yan'ping'pian'jiao'nang 宫炎平片胶囊
'gou'pi'gao 狗皮膏
'gou'pi'gao'gai'jin'xing 狗皮膏改进型
'gu'ben'ke'chuan'pian'jiao'nang'ke'li 固本咳喘片胶囊颗粒
'gu'ben'wan 固本丸
'gu'ben'yi'chang'pian'jiao'nang 固本益肠片胶囊
'gu'chang'zhi'xie'wan'jiao'nang 固肠止泻丸胶囊
'gu'ci'ning'pian'jiao'nang 骨刺宁片胶囊
'gu'ci'wan'pian'jiao'nang 骨刺丸片胶囊
'gu'kang'jiao'nang 骨康胶囊
'gu'long'jiao'nang 骨龙胶囊
'gu'shen'ding'chuan'wan 固肾定喘丸
'gu'shu'kang'jiao'nang'ke'li 骨疏康胶囊颗粒
'gu'song'bao'jiao'nang'ke'li 骨松宝胶囊颗粒
'gu'tong'ling'ding 骨痛灵酊
'gu'tong'tie'gao 骨通贴膏
'gu'xian'pian 骨仙片
'gu'you'ling'cha'ji 骨友灵搽剂
'gu'yu'ling'pian'jiao'nang 骨愈灵片胶囊
'gu'zhe'cuo'shang'jiao'nang 骨折挫伤胶囊
'gu'zhi'ning'cha'ji 骨质宁搽剂
'gua'lou'pi'zhu'she'ye 瓜蒌皮注射液
'gua'shuang'tui're'ling'jiao'nang 瓜霜退热灵胶囊
'guan'jie'ke'bi'wan 关节克痹丸
'guan'jie'zhen'tong'ba'bu'gao 关节镇痛巴布膏
'guan'jie'zhi'tong'gao 关节止痛膏
'guan'mai'ning'pian'jiao'nang 冠脉宁片胶囊
'guan'xin'dan'shen'pian'jiao'nang'ke'li'di'wan 冠心丹参片胶囊颗粒滴丸
'guan'xin'jing'pian'jiao'nang 冠心静片胶囊
'guan'xin'ning'pian 冠心宁片
'guan'xin'ning'zhu'she'ye 冠心宁注射液
'guan'xin'shu'tong'jiao'nang 冠心舒通胶囊
'guan'xin'su'he'di'wan 冠心苏合滴丸
'guan'xin'su'he'wan'jiao'nang'ruan'jiao'nang 冠心苏合丸胶囊软胶囊
'gui'fu'di'huang'wan'pian'jiao'nang'ke'li 桂附地黄丸片胶囊颗粒
'gui'fu'li'zhong'wan 桂附理中丸
'gui'huang'qing're'ke'li 桂黄清热颗粒
'gui'lin'xi'gua'shuang 桂林西瓜霜
'gui'long'ke'chuan'ning'ke'li 桂龙咳喘宁颗粒
'gui'long'ke'chuan'ning'pian'jiao'nang 桂龙咳喘宁片胶囊
'gui'pi'pian'jiao'nang'ke'li 归脾片胶囊颗粒
'gui'pi'wan'he'ji 归脾丸合剂
'gui'qi'huo'xue'jiao'nang 归芪活血胶囊
'gui'zhi'fu'ling'wan'pian'jiao'nang 桂枝茯苓丸片胶囊
'gui'zhi'ke'li 桂枝颗粒
'hai'gui'jiao'nang 海桂胶囊
'hai'kun'shen'xi'jiao'nang 海昆肾喜胶囊
'hai'zhu'chuan'xi'ding'pian 海珠喘息定片
'han'chuan'zu'pa'ke'li 寒喘祖帕颗粒
'han'shi'bi'pian'jiao'nang'ke'li 寒湿痹片胶囊颗粒
'han'shui'shi'er'shi'yi'wei'san 寒水石二十一味散
'he'dan'pian'jiao'nang 荷丹片胶囊
'he'xue'ming'mu'pian 和血明目片
'hei'dou'liu'you'ruan'gao 黑豆馏油软膏
'hei'gu'teng'zhui'feng'huo'luo'jiao'nang 黑骨藤追风活络胶囊
'hei'xi'dan 黑锡丹
'heng'gu'gu'shang'yu'he'ji 恒古骨伤愈合剂
'hong'hua'qing'gan'shi'san'wei'wan 红花清肝十三味丸
'hong'hua'ru'yi'wan 红花如意丸
'hong'hua'xiao'yao'pian'jiao'nang'ke'li 红花逍遥片胶囊颗粒
'hong'hua'zhu'she'ye 红花注射液
'hong'jin'xiao'jie'pian'jiao'nang 红金消结片胶囊
'hong'yao'pian'jiao'nang 红药片胶囊
'hong'yao'tie'gao'qi'wu'ji 红药贴膏气雾剂
'hou'pu'pai'qi'he'ji 厚朴排气合剂
'hou'tou'jian'wei'ling'pian 猴头健胃灵片
'hou'yan'qing'ke'li'kou'fu'ye 喉咽清颗粒口服液
'hu'di'chang'rong'jiao'nang 虎地肠溶胶囊
'hu'gan'bu'zu're'ke'li 护肝布祖热颗粒
'hu'gan'ning'wan'pian'jiao'nang 护肝宁丸片胶囊
'hu'gan'pian'jiao'nang'ke'li 护肝片胶囊颗粒
'hu'gan'wan 护肝丸
'hu'gu'jiao'nang 护骨胶囊
'hu'huang'shao'shang'cha'ji 虎黄烧伤搽剂
'hu'li'san'hu'li'san'pian'jiao'nang 虎力散虎力散片胶囊
'hu'po'xiao'shi'ke'li 琥珀消石颗粒
'hua'chan'su'pian'jiao'nang 华蟾素片胶囊
'hua'chan'su'zhu'she'ye 华蟾素注射液
'hua'feng'dan 化风丹
'hua'hong'pian'jiao'nang'ke'li 花红片胶囊颗粒
'hua'ji'ke'li'kou'fu'ye 化积颗粒口服液
'hua'mo'yan'ke'li'jiao'nang 滑膜炎颗粒胶囊
'hua'mo'yan'pian 滑膜炎片
'hua'tuo'zai'zao'wan 华佗再造丸
'hua'yu'san'jie'guan'chang'ye 化瘀散结灌肠液
'hua'zheng'hui'sheng'kou'fu'ye 化癥回生口服液
'hua'zhi'rou'gan'ke'li 化滞柔肝颗粒
'huai'er'ke'li 槐耳颗粒
'huai'jiao'wan 槐角丸
'huai'yu'qing're'zhi'xue'jiao'nang 槐榆清热止血胶囊
'huan'tong'zhi'xie'ruan'jiao'nang 缓痛止泻软胶囊
'huang'bai'ba'wei'pian 黄柏八味片
'huang'e'jiao'nang 黄莪胶囊
'huang'gen'pian 黄根片
'huang'hou'zhi'xie'di'wan 黄厚止泻滴丸
'huang'kui'jiao'nang 黄葵胶囊
'huang'lian'shang'qing'wan'pian'jiao'nang'ke'li 黄连上清丸片胶囊颗粒
'huang'lian'yang'gan'pian 黄连羊肝片
'huang'lian'yang'gan'wan 黄连羊肝丸
'huang'qi'jian'zhong'wan 黄芪建中丸
'huang'qi'pian'ke'li 黄芪片颗粒
'huang'qi'zhu'she'ye 黄芪注射液
'huang'shi'xiang'sheng'wan 黄氏响声丸
'huang'yang'ning'pian 黄杨宁片
'huang'zhi'hua'kou'fu'ye 黄栀花口服液
'hui'sheng'kou'fu'ye 回生口服液
'hui'xiang'ju'he'wan 茴香橘核丸
'huo'dan'wan'pian'di'wan 藿胆丸片滴丸
'huo'li'su'kou'fu'ye 活力苏口服液
'huo'luo'wan 活络丸
'huo'xin'wan 活心丸
'huo'xue'feng'shi'gao 活血风湿膏
'huo'xue'shu'jin'ding 活血舒筋酊
'huo'xue'tong'mai'pian'jiao'nang 活血通脉片胶囊
'huo'xue'zhi'tong'gao 活血止痛膏
'huo'xue'zhi'tong'san'pian'jiao'nang'ruan'jiao'nang 活血止痛散片胶囊软胶囊
