'ba'biao 靶标
'hang'xiang 航向
'heng'xiang'dao'hang 横向导航
'hua'xing'deng 滑行灯
'ji'guang'tuo'luo 激光陀螺
'ji'zu'cang 机组舱
'jia'su'du'ji 加速度计
'jian'tui'li'pa'sheng 减推力爬升
'jian'tui'li'qi'fei 减推力起飞
'jiao'tong'jing'gao'yu'fang'zhuang'xi'tong 交通警告与防撞系统
'jie'shou'ji 接收机
'jin'di'jing'gao'ji'suan'ji 近地警告计算机
'jin'di'jing'gao'xi'tong 近地警告系统
'jin'ji'ding'wei'fa'she'ji 紧急定位发射机
'jin'jin 进近
'jin'tai 近台
'jin'yi'feng'yi'dian'zi'zu'jian 襟翼缝翼电子组件
'jing'bian'liu'ji 静变流机
'jing'xiang'wei'zhi 径向位置
'jue'dui'gao'du 绝对高度
'kong'su 空速
'kong'zhi'xian'shi'zu'jian 控制显示组件
'kong'zhong'jiao'tong'fang'zhuang'xi'tong 空中交通防撞系统
'kong'zhong'jiao'tong'guan'zhi 空中交通管制
'lian'xu 连续
'ma'he'kong'su'zhi'shi 马赫空速指示
'ma'he'shu 马赫数
'mo'shi'xuan'ze'zu'jian 模式选择组件
'nei'ce 内侧
'nian'xing'zu'ni'qi 粘性阻尼器
'pa'sheng 爬升
'pai'qi'wen'du 排气温度
'pian'hang'zu'ni'xi'tong 偏航阻尼系统
'qi'xiang'lei'da'xi'tong 气象雷达系统
'qi'ya 气压
'qi'ya'gao'du 气压高度
'quan'qiu'ding'wei'xi'tong 全球定位系统
'ran'you'chu'li'qi'zu'jian 燃油处理器组件
'ran'you'liu'liang 燃油流量
'rao'liu'ban 扰流板
'sha'che'ji'liang'huo'men 刹车计量活门
'shen'gao'pin'quan'xiang'xin'biao 甚高频全向信标
'sheng'jiang'duo 升降舵
'sheng'yu'di'su 剩余地速
'shi'hang'zheng 适航证
'shi'su'guan'li'pian'hang'zu'ni'xi'tong 失速管理偏航阻尼系统
'shou'lun 手轮
'shu'ru'shu'ru'kong'zhi'qi 输入输入控制器
'shui'ping'zhuang'tai'zhi'shi 水平状态指示
'tong'yong'xian'shi'zu'jian 通用显示组件
'tu'xing'fa'sheng'qi 图形发生器
'tuo'luo'yi 陀螺仪
'wo'lun'feng'shan'fa'dong'ji 涡轮风扇发动机
'wo'shan'fa'dong'ji 涡扇发动机
'wu'xian'dian'gao'du 无线电高度
'wu'xian'dian'gao'du'biao 无线电高度表
'wu'xian'dian'ju'li'ci'zhi'shi 无线电距离磁指示
'xia'hua'dao 下滑道
'xian'shi'dian'zi'zu'jian 显示电子组件
'xian'shi'zu'jian'shu'ju'ku 显示组件数据库
'xiang'dui'gao'du 相对高度
'xing'xuan'jian 行选键
'xing'xuan'ze'jian 行选择键
'xu'ya'ping 蓄压瓶
'xu'ya'qi'ge'li'huo'men 蓄压器隔离活门
'xun'hang 巡航
'yao'kong'deng'chuan'gan'qi 遥控灯传感器
'ye'ya 液压
'ye'ya'ma'da'qu'dong'fa'dian'ji 液压马达驱动发电机
'yi'biao'ban'chuan'gan'qi 仪表板传感器
'yi'biao'zhuo'lu'xi'tong 仪表着陆系统
'yi'yong'ran'you 易用燃油
'yin'pin'kong'zhi'ban 音频控制板
'ying'jiao'tan'tou 迎角探头
'yuan'tai 远台
'zhang'dong 章动
'zhen'kong'su 真空速
'zheng'liu'zhao 整流罩
'zhi'ling 指令
'zhong'yang'wei'hu'ji'suan'ji 中央维护计算机
'zhu'fei'xing'xian'shi 主飞行显示
'zhuang'shang'jian 装上件
'zi'dong'ding'xiang'ji 自动定向机
'zi'dong'fei'xing'kong'zhi'xi'tong 自动飞行控制系统
'zi'dong'jia'shi 自动驾驶
'zi'dong'jia'shi'yi 自动驾驶仪
'zi'dong'sha'che'kong'zhi'zu'jian 自动刹车控制组件
'zi'dong'you'men 自动油门
'zi'dong'you'men'xi'tong 自动油门系统
'zi'jian'ce'shi 自检测试
'zi'tai'zhi'shi'qi 姿态指示器
'zong'he'fei'xing'xi'tong'fu'shu'zu'jian 综合飞行系统附属组件
'zong'wen'tan'tou 总温探头
'zuo'cang'ya'li'kong'zhi'qi 座舱压力控制器
