'a'duo 阿多
'hei'se'xiao'xi 黑色消息
'hei'shui'zhi'zhan 黑水之战
'hong'du'she 红毒蛇
'hong'se'hun'li 红色婚礼
'hua'wei'shuang'jian 化为双剑
'huang'jia'hun'li 皇家婚礼
'huang'jin'tuan 黄金团
'huang'jin'wang'guan 黄金王冠
'hui'feng 灰风
'hui'yu'zhi'ren 毁誉之人
'huo'si'te 霍斯特
'huo'wen'er'sheng 火吻而生
'ji'ta'zhi'ming 继他之名
'ji'te 基特
'jia'kun 贾昆
'jian'nan'bao 艰难堡
'jian'zhi'jian'duan 剑之尖端
'jie'ao'mo'er'meng 杰奥莫尔蒙
'jie'ke 杰克
'jie'nuo'si'shi'lin'te 杰诺斯史林特
'jing'wai'man'zu 境外蛮族
'jiu'jian 玖健
'jue'jing'pan'deng 绝境攀登
'jun'lin 君临
'jun'lin'cheng 君临城
'ka'ao 卡奥
'ka'la'sa 卡拉萨
'ka'li'xi 卡丽熙
'ka'si'te'mei'de'yu'ji 卡斯特梅的雨季
'kai'feng 凯冯
'kai'te'lin 凯特琳
'kai'yan'cheng 凯岩城
'kai'yan'cheng'gong'jue 凯岩城公爵
'ke'la'ke 克拉克
'kui'er'si'cheng 魁尔斯城
'la'mu'si 拉姆斯
'lai'sha 莱莎
'lai'sha'ai'lin 莱莎艾林
'lan'li 蓝礼
'lan'ni'si'gang'zhi'dun 兰尼斯港之盾
'lan'ni'si'te 兰尼斯特
'lan'ni'si'te'jia'zu 兰尼斯特家族
'lan'ni'si'te'jia'zu 蓝尼斯特家族
'lan'sai'er 蓝塞尔
'lang'shi'zhi'zheng 狼狮之争
'lao'bo 劳勃
'li'cha'de 理查德
'lie'wang'de'fen'zheng 列王的纷争
'lin'dong'cheng'gong'jue 临冬城公爵
'lin'dong'cheng'wang'zi 临冬城王子
'lin'dong'jiang'zhi 凛冬将至
'lin'na'hai'di 琳娜海蒂
'long'mu 龙母
'long'nv 龙女
'long'shi'dao 龙石岛
'long'zhi'mu 龙之母
'lu'si'bo'dun 卢斯波顿
'lu'wen'xue'shi 鲁温学士
'luo'bai 罗柏
'luo'de'li'ke'jue'shi 罗德里克爵士
'luo'la'si 洛拉斯
'ma'ge'li 玛格丽
'ma'ge'li 马格丽
'ma'ge'li'te 玛格丽特
'ma'lin 马林
'ma'tai'er 马泰尔
'ma'tai'er'jia'zu 马泰尔家族
'mai'deng 麦登
'mai'qian 麦茜
'mei'la 梅拉
'mei'li'shan'zhuo 梅丽珊卓
'mi'lin 弥林
'mi'lin'nv'wang 弥林女王
'mi'sai'la 弥塞拉
'mi'sai'la 弥赛拉
'mi'xie'er 米歇尔
'mi'zhi'shi'li 迷之势力
'min'mie'tong'zhi 泯灭童稚
'mo'dan'xiu'nv 茉丹修女
'mo'long'de'kuang'wu 魔龙的狂舞
'mo'long'kuang'wu 魔龙狂舞
'mo'pa'ti'si 摩帕提斯
'mo'shan'zhan'du'she 魔山战毒蛇
'mu'zhi'lian'min 母之怜悯
'nai'de 奈德
'nu'li'zhi'du 奴隶之都
'nv'yao'zhi'zi 女妖之子
'ou'sha 欧莎
'pai'xi'er'da'xue'shi 派席尔大学士
'pan'tuo'si 潘托斯
'pan'tuo'si'zong'du 潘托斯总督
'pei'ti'er 培提尔
'qi'guo'tong'zhi'zhe 七国统治者
'qi'shen'jiao'tuan 七神教团
'qian'chao'wang'zu 前朝王族
'qiao'fo'li 乔佛里
'qiao'fu'li 乔弗里
'qiao'la 乔拉
'qiong'en 琼恩
'quan'jing'shou'hu'zhe 全境守护者
'quan'li'de'you'xi 权力的游戏
'quan'you 权游
'qun'ya'de'sheng'yan 群鸦的盛宴
'rui'ken 瑞肯
'sai'er'mi 赛尔弥
'sang'duo 桑铎
'se'xi 瑟曦
'shan'mu 山姆
'shan'mu'wei'er 山姆威尔
'shan'sha 珊莎
'shao'lang'zhu 少狼主
'shi'ta'ke 史塔克
'shi'ta'ke'jia'zu 史塔克家族
'shi'tan'ni'si 史坦尼斯
'shi'zhe'bu'si 逝者不死
'shou'shi'zhi'jian 守誓之剑
'shou'ye'ren 守夜人
'si'tan'ni'si 斯坦尼斯
'sui'liao'zhi'ren 碎镣之人
'suo'fei 索菲
'ta'li'jia'zu 塔利家族
'tai'jian'wa'li'si 太监瓦里斯
'tai'rui'ou 泰瑞欧
'tai'wen 泰温
'tan'ge'li'an 坦格利安
'tan'ge'li'an'jia'zu 坦格利安家族
'tan'ge'li'an'wang'chao 坦格利安王朝
'tan'ge'li'an'yi'shi 坦格利安一世
'te'na 特纳
'ti'li'ang 提利昂
'ti'li'er 提利尔
'ti'li'er'jia'zu 提利尔家族
'tie'qun'dao 铁群岛
'tie'qun'dao'zhu'min 铁群岛诸民
'tie'wang'zuo 铁王座
'tong'zhi'jia'zu 统治家族
'tu'li 徒利
'tu'li'jia'zu 徒利家族
'tuo'man 托曼
'wa'de 瓦德
'wa'li'si 瓦里斯
'wan'sheng'zhi'zi 万生之子
'wei'lian'mu'si 威廉姆斯
'wei'sai'li'si 韦赛里斯
'wei'si'te'luo 维斯特洛
'wei'si'te'luo'da'lu 维斯特洛大陆
'wu'wang'zhi'zhan 五王之战
'xi'en 席恩
'xi'en'ge'lei'qiao'yi 席恩葛雷乔伊
'xi'jing'shou'hu 西境守护
'xi'lin 希林
'xia'tian'de'hai'zi 夏天的孩子
'xian'min'lv'fa 先民律法
'xiao'e'mo 小恶魔
'xiao'en'bin 肖恩宾
'xiao'zhi'tou 小指头
'xin'jiu'zhu'shen 新旧诸神
'xue'cheng 学城
'xue'huo'tong'yuan 血火同源
'xue'nuo 雪诺
'xue'nuo'da'ren 雪诺大人
'xue'yi 雪伊
'ye'ge'rui'te 耶哥蕊特
'ye'ren 野人
'ye'zhi'guo'du 夜之国度
'yi'gui 异鬼
'yi'li'li'ou 伊利里欧
'yi'li'si 伊里斯
'yi'meng'xue'shi 伊蒙学士
'zhan'de'li 詹德利
'zhan'mu 詹姆
'zhi'geng'zhan'chi 知更展翅
'zhi'si'fang'xiu 至死方休
