'a'si'ta'na'ha'la'he'zhuo'hao'mu'bi'hua 阿斯塔那哈拉和卓号墓壁画
'qian'yang'han'mu'bi'hua 千阳汉墓壁画
'qin'du'wei'yang'di'hao'gong'dian'jian'zhu'yi'zhi'bi'hua'can 秦都威阳第号宫殿建筑遗址壁画残
'qin'du'xian'yang'di'hao'gong'dian'jian'zhu'yi'zhi'bi'hua 秦都咸阳第号宫殿建筑遗址壁画
'qin'huang'dao'meng'jiang'nv'miao'bi'hua 秦皇岛孟姜女庙壁画
'qin'shui'sheng'tian'si'bi'hua 沁水圣天寺壁画
'qiu'ci'bi'hua 龟兹壁画
'qu'yang'bei'yue'miao'bi'hua 曲阳北岳庙壁画
'ri'ka'ze'la'dang'si'bi'hua 日喀则拉当寺壁画
'ri'ka'ze'xia'lu'si'bi'hua 日喀则夏鲁寺壁画
'ri'ka'ze'zha'shi'lun'bu'si'bi'hua 日喀则扎什伦布寺壁画
'ri'ka'ze'zhuang'zi'si'bi'hua 日喀则庄孜寺壁画
'rui'cheng'sheng'shou'si'she'li'ta'bi'hua 芮城圣寿寺舍利塔壁画
'sa'jia'si'bi'hua 萨迦寺壁画
'sen'lin'zhi'ge'bi'hua 森林之歌壁画
'shan'shan'tu'yu'gou'shi'ku'bi'hua 鄯善土峪沟石窟壁画
'shan'shan'yi'xun'fo'jiao'yi'zhi'bi'hua 鄯善伊循佛教遗址壁画
'shan'zui'zi'hao'mu'bi'hua 山嘴子号墓壁画
'shao'guan'hao'song'mu'bi'hua 韶关号宋墓壁画
'shao'xing'tai'ping'tian'guo'bi'hua 绍兴太平天国壁画
'she'xian'sheng'seng'an'bi'hua 歙县圣僧庵壁画
'shen'yang'jing'guang'wu'gou'she'li'ta'bi'hua 沈阳净光无垢舍利塔壁画
'shi'jia'zhuang'pi'lu'si'bi'hua 石家庄毗卢寺壁画
'shi'ku'bi'hua 石窟壁画
'shu'le'fo'si'yi'zhi'bi'hua 疏勒佛寺遗址壁画
'shuo'xian'chong'fu'si'bi'hua 朔县崇福寺壁画
'si'guan'bi'hua 寺观壁画
'song'dai'si'guan'bi'hua 宋代寺观壁画
'su'zhou'tai'ping'tian'guo'zhong'wang'fu'bi'hua 苏州太平天国忠王府壁画
'sui'dai'si'guan'bi'hua 隋代寺观壁画
'sui'li'he'mu'bi'hua 隋李和墓壁画
'tai'ning'gan'lu'yan'song'dai'jian'zhu'bi'hua 泰宁甘露岩宋代建筑壁画
'tai'ping'tian'guo'bi'hua 太平天国壁画
'tai'shan'dai'miao'bi'hua 泰山岱庙壁画
'tai'yuan'duo'fu'si'bi'hua 太原多福寺壁画
'tai'yuan'jin'sheng'cun'hao'tang'mu'bi'hua 太原金胜村号唐墓壁画
'tai'yuan'wa'yao'cun'yuan'mu'bi'hua 太原瓦窑村元墓壁画
'tai'yuan'yi'jing'cun'jin'mu'bi'hua 太原义井村金墓壁画
'tang'a'shi'na'zhong'mu'bi'hua 唐阿史那忠墓壁画
'tang'ci'bi'hua 搪瓷壁画
'tang'dai'dao'guan'bi'hua 唐代道观壁画
'tang'dai'fo'si'bi'hua 唐代佛寺壁画
'tang'li'feng'mu'bi'hua 唐李凤墓壁画
'tang'li'shou'mu'bi'hua 唐李寿墓壁画
'tang'li'shuang'mu'bi'hua 唐李爽墓壁画
'tang'li'xun'mu'bi'hua 唐李勋墓壁画
'tang'san'cai'bi'hua 唐三彩壁画
'tang'su'si'xu'mu'bi'hua 唐苏思勖墓壁画
'tang'wei'jiong'mu'bi'hua 唐韦泂墓壁画
'tang'wu'dao'zi'di'yu'bian'xiang'tu 唐吴道子地狱变相图
'tang'xue'yuan'chao'mu'bi'hua 唐薛元超墓壁画
'tang'yi'de'tai'zi'li'zhong'run'mu'bi'hua 唐懿德太子李重润墓壁画
'tang'yong'tai'gong'zhu'li'xian'hui'mu'bi'hua 唐永泰公主李仙蕙墓壁画
'tang'zhang'huai'tai'zi'li'xian'mu'bi'hua 唐章怀太子李贤墓壁画
'tang'zhang'jiu'ling'mu'bi'hua 唐张九龄墓壁画
'tang'zhao'cheng'mu'bi'hua 唐赵澄墓壁画
'tang'zhao'ling'bi'hua 唐昭陵壁画
'tang'zheng'ren'tai'mu'bi'hua 唐郑仁泰墓壁画
'tian'jin'du'le'si'bi'hua 天津独乐寺壁画
'tian'shui'mai'ji'shan'shi'ku'bi'hua 天水麦积山石窟壁画
'tong'ren'wu'tun'si'bi'hua 同仁五屯寺壁画
'tu'lu'fan'a'si'ta'na'gu'mu'bi'hua 吐鲁番阿斯塔那古墓壁画
'tu'lu'fan'a'si'ta'na'tang'mu'bi'hua 吐鲁番阿斯塔那唐墓壁画
'tu'lu'fan'bai'zi'ke'li'ke'qian'fo'dong'bi'hua 吐鲁番柏孜克里克千佛洞壁画
'tu'lu'fan'ha'la'he'zhuo'gu'mu'bi'hua 吐鲁番哈喇和卓古墓壁画
'tu'lu'fan'sheng'jin'kou'qian'fo'dong'bi'hua 吐鲁番胜金口千佛洞壁画
'tuo'ke'tuo'han'mu'bi'hua 托克托汉墓壁画
'wang'du'hao'han'mu'bi'hua 望都号汉墓壁画
'wen'shui'bei'yu'kou'gu'mu'bi'hua 文水北峪口古墓壁画
'wen'xian'ci'sheng'si'bi'hua 温县慈胜寺壁画
'wu'dai'si'guan'bi'hua 五代寺观壁画
'wu'dang'shan'mo'zhen'jing'dao'yuan'bi'hua 武当山磨针井道院壁画
'wu'shan'shui'lian'dong'bi'hua 武山水帘洞壁画
'wu'tai'shan'fo'guang'si'bi'hua 五台山佛光寺壁画
'wu'tai'shan'fo'guang'si'da'dian'fo'zuo'bi'hua 五台山佛光寺大殿佛座壁画
'wu'tai'shan'nan'shan'si'bi'hua 五台山南山寺壁画
'wu'wei'lei'tai'dong'han'mu'bi'hua 武威雷台东汉墓壁画
'wu'wei'wu'ba'shan'han'mu'bi'hua 武威五坝山汉墓壁画
'xi'an'dong'yue'miao'bi'hua 西安东岳庙壁画
'xi'an'sui'tang'mu'bi'hua 西安隋唐墓壁画
'xi'xia'hao'ling'bi'hua 西夏号陵壁画
'xi'xia'qin'qian'fo'dong'bi'hua 西夏沁千佛洞壁画
'xi'xia'shi'ku'bi'hua 西夏石窟壁画
'xian'yang'di'zhang'wan'hao'tang'mu'bi'hua 咸阳底张湾号唐墓壁画
'xian'yang'tang'su'jun'mu'bi'hua 咸阳唐苏君墓壁画
'xiang'ning'qian'fo'dong'bi'hua 乡宁千佛洞壁画
'xiao'yi'liang'jia'zhuang'yuan'mu'bi'hua 孝义梁家庄元墓壁画
'xiao'yi'xia'tu'jing'cun'jin'mu'bi'hua 孝义下吐京村金墓壁画
'xiao'yi'xia'tu'jing'cun'yuan'mu'bi'hua 孝义下吐京村元墓壁画
'xin'he'tuo'hu'la'dong'ku'bi'hua 新和托呼拉洞窟壁画
'xin'jiang'ji'yi'miao'bi'hua 新绛稷益庙壁画
'xin'jiang'nan'fan'zhuang'jin'mu'bi'hua 新绛南范庄金墓壁画
'xin'jiang'wu'ling'zhuang'yuan'mu'bi'hua 新绛吴岭庄元墓壁画
'xin'jin'guan'yin'si'bi'hua 新津观音寺壁画
'xing'yuan'dong'han'mu'bi'hua 杏园东汉墓壁画
'xuan'hua'liao'mu'bi'hua 宣化辽墓壁画
'yan'bo'tai'bi'hua 阏伯台壁画
'yang'gao'yun'lin'si'bi'hua 阳高云林寺壁画
'yang'quan'guan'di'miao'bi'hua 阳泉关帝庙壁画
'yang'xian'liang'ma'si'bi'hua 洋县良马寺壁画
'yang'zhou'hu'chang'han'mu'bi'hua 扬州胡场汉墓壁画
'ye'cheng'qi'pan'qian'fo'dong'bi'hua 叶城棋盘千佛洞壁画
'yi'xian'feng'guo'si'bi'hua 义县奉国寺壁画
'yi'xing'tai'ping'tian'guo'fu'wang'fu'bi'hua 宜兴太平天国辅王府壁画
'yin'xu'gong'dian'yi'zhi'bi'hua'can'kuai 殷墟宫殿遗址壁画残块
'ying'cheng'zi'han'mu'bi'hua 营城子汉墓壁画
'ying'guang'bi'hua 映光壁画
'ying'xian'fo'gong'si'shi'jia'ta'bi'hua 应县佛宫寺释迦塔壁画
'ying'xian'jing'tu'si'bi'hua 应县净土寺壁画
'yong'chang'dong'si'gou'wei'jin'mu'bi'hua'zhuan 永昌东四沟魏晋墓壁画砖
'yong'jing'bing'ling'si'shi'ku'bi'hua 永靖炳灵寺石窟壁画
'yong'le'gong'bi'hua 永乐宫壁画
'yong'ning'si'fo'ta'ta'ji'bi'hua 永宁寺佛塔塔基壁画
'you'yu'bao'ning'si'bi'hua 右玉宝宁寺壁画
'yu'ci'ming'mu'bi'hua 榆次明墓壁画
'yu'lin'ku'bi'hua 榆林窟壁画
'yu'men'chang'ma'shi'ku'bi'hua 玉门昌马石窟壁画
'yu'shu'wen'cheng'gong'zhu'miao'bi'hua 玉树文成公主庙壁画
'yuan'feng'dao'zhen'mu'bi'hua 元冯道真墓壁画
'yuan'wu'wen'mu'wang'mu'bi'hua 原武温穆王墓壁画
'za'lang'min'zhu'lin'si'bi'hua 杂朗敏珠林寺壁画
'zha'lang'sang'yuan'si'zhu'dian'bi'hua 扎朗桑鸢寺主殿壁画
'zhang'ye'da'fo'si'bi'hua 张掖大佛寺壁画
'zhang'ye'ma'ti'si'shi'ku'bi'hua 张掖马蹄寺石窟壁画
'zhang'yuan'ming'mu'bi'hua 漳元明墓壁画
'zhao'xian'bo'lin'si'bi'hua 赵县柏林寺壁画
'zhao'yang'bei'miao'cun'hao'bei'yan'mu'bi'hua 朝阳北庙村号北燕墓壁画
'zhao'yang'da'ping'fang'cun'bei'yan'mu'bi'hua 朝阳大平房村北燕墓壁画
'zhao'yang'jin'mu'bi'hua 朝阳金墓壁画
'zhao'yang'yuan'tai'zi'dong'jin'mu'bi'hua 朝阳袁台子东晋墓壁画
'zheng'ding'long'xing'si'bi'hua 正定隆兴寺壁画
'zi'gui'qu'yuan'ci'bi'hua 秭归屈原祠壁画
