'a'da'li'yan'nian 阿大李延年
'chou'ju'mei'feng'jin'ri'pin 愁聚眉峰尽日颦
'chou'shen'yu'wang'liang'bu'yi 抽身欲往良不疑
'chu'chu'feng'bo'chu'chu'chou 处处风波处处愁
'chu'fei'shi'meng'li'xiang'feng 除非是梦里相逢
'chu'sai 出塞
'chu'shan'zhuo 出山浊
'chu'zhong'you'wan'huang'ji'zhou 厨中有碗黄齑粥
'chuang'jin'chu'gu'zhu 摐金出孤竹
'chuang'ran'bai'gan'xing 怆然百感兴
'chuang'ta'lei'hua'fang 窗榻类画舫
'chuang'wai'wen'ti'jue 窗外闻鹈鴃
'chun'lv'xian'ke'dao'shi'jia 春驴仙客到诗家
'chun'san'qiu'jiu'hao'wen'he 春三秋九号温和
'chun'xia'qiu'dong'ge'jiu'shi 春夏秋冬各九十
'chun'xia'qiu'dong'nian'zhi'jian 春夏秋冬捻指间
'chun'xiao'yi'ke'qian'jin'jia 春宵一刻千金价
'chun'zi'wei'yan'gui 春滋未淹晷
'ci'fu'xiong'hao 雌伏雄号
'ci'ji'ruo'wei'xiao'bie'hen 此际若为销别恨
'ci'qing'he'yi'biao'xiang'si 此情何以表相思
'ci'sheng'gan'xi'zou'hao'chang 此生甘兮走昊阊
'ci'wei'an'neng'bie'cang'sheng 此味安能别苍生
'ci'zhong'ying'you'bi'qin'zhe 此中应有避秦者
'cong'ma'qu 骢马驱
'cong'xiao'jing'se'shen 丛筱静色深
'cu'xi'zuo'ming'qin 促席坐鸣琴
'da'chuan'yu'wang'xiao'chuan'yan 大船渔网小船罨
'da'dou'shui'bu'zhu'yan'liang 大都谁不逐炎凉
'da'jiang'zhi'dong'shui'wei'guo 大江之东水为国
'da'lao'jian'zun'de 大老兼尊德
'da'qin'chang'zhen'gong'chun'qiu 大衾长枕共春秋
'da'ya'bian'zheng'yin 大雅变正音
'da'ya'suo'yi'jiu'bu'zuo 大雅所以久不作
'da'yu'bao'ding'chen'ni'sha 大禹宝鼎沉泥沙
'dan'hen'jin'ren'bu'ru'gu 但恨今人不如古
'dan'jie'hao'chun'hui 诞节好春晖
'dan'tai'lu'shang'yi'biao'ming 丹台箓上已标名
'dan'yuan'lao'si'hua'jiu'jian 但愿老死花酒间
'dan'yuan'ren'ren'zhi'ci'wei 但愿人人知此味
'dang'chu'bu'shi'feng'liu'mian 当初不识风流面
'dang'chu'yi'jian'hao'zhi'cheng 当初一见好至诚
'dang'nian'dao'ci'ceng'xie'shou 当年到此曾携手
'dang'nian'sheng'shi'kong'chen'ji 当年胜事空陈迹
'dang'shi'fan'zhen'zai'mou'ni 当时藩镇在谋逆
'dang'shi'jin'yu'ran'yun'he 当时进御染云和
'dang'shi'zhi'shu'zhe'xian'cai 当时只数谪仙才
'dang'yan'bu'yong'shi'shi'wei 谠言不用时事危
'dao'lao'yang'zhi'yi'ci'qu 到老杨枝亦辞去
'dao'zu'sui'yun'wan 道阻岁云晚
'deng'huo'huang'ji'xi'yu'zhong 灯火荒鸡细雨中
'deng'wei'shan'bian'qi'bao'tan 邓尉山边七宝滩
'di'tou'zhao'jing'tuo'sha'jin 低头照井脱纱巾
'diao'jian'chu'xia'nu 刁间出黠奴
'ding'shi'ren'lai'jie'hua'shi 定是人来借花时
'dong'han'xia're'zui'tan'dang 冬寒夏热最叹当
'dong'lin'si'qian'san'xia'qiao 东林寺前三峡桥
'dong'ting'you'qi'shi 洞庭有奇士
'dong'tu'xi'mo'chu'tian'ya 东涂西抹出天涯
'dong'xi'lu'ge'wan'qian'li 东西路隔万千里
'dong'yan'he'hua'xi'yan'ling 东崦荷花西崦菱
'dou'ji'zou'gou'lian'zhao'xi 斗鸡走狗连朝夕
'dou'ji'zou'gou'xi'yang'jie 斗鸡走狗夕阳街
'du'li'xi'tou'qiong'wu'li 独立溪头穷物理
'du'qu'li'hua'bei'shang'xue 杜曲梨花杯上雪
'du'shu'bi'bi'bu'chu'hu 读书比比不出户
'du'you'ru'yang'zhi'lv'lv 独有汝阳知律吕
'du'yu'sheng'bei 杜宇声悲
'du'yu'sheng'sheng 杜宇声声
'duan'ge'xing 短歌行
'duan'yang'jing'du'chu'jiang'mei 端阳竟渡楚江湄
'duan'you'xu 断又续
'dun'jiang'tian'zhi'bei'xu'tu 顿将天秩卑胥徒
'dun'wang'le'shen'qian'zhou 顿忘了神前咒
'duo'shao'ming'ti'zhu'shu'jian 多少名题竹树间
'duo'shao'you'ren'ci'zhong'ji 多少游人此中集
'en'bian'zuo'chou 恩变作仇
'en'chou 恩仇
'en'duo'cheng'yuan 恩多成怨
'er'yue'zhao'qiong'hu 珥月照穷胡
'fa'si'bi'huang 伐丝比簧
'fan'gong'ci'qian'ying'xi'hui 范公祠前映夕晖
'fan'hua'man'dao'dang'nian'shen 繁花漫道当年甚
'fan'shi'zhong'jian'yao'jin'shi 凡事中间要谨始
'fang'zhao'jun'zi'xin 方昭君子心
'fei'jing'yan'er'yu 飞旌掩二榆
'fei'quan'shu'shi'chuan'ping'qiao 飞泉漱石穿平桥
'fen'bu'ke'zhi 纷不可治
'fen'fu'jia'ding'mai'jiu'bei 吩咐家丁买酒杯
'fen'ming'man'jin'wei'ping'li 分明蛮锦围屏里
'feng'hui'song'he'yan'tao'lv 风回松壑烟涛绿
'feng'huo'zhao'xuan'tu 烽火照玄菟
'feng'qu'qin'lou'qiao 凤去秦楼悄
'feng'yan'ku'si'tao'yuan'gu 风烟酷似桃源古
'fu'dao'qiu'zhong'xian 俯悼丘中贤
'fu'gui'bu'ke'qiu 富贵不可求
'fu'gui'yu'wo'ru'yun'yan 富贵于我如云烟
'fu'jiao'shan'ren'geng'jing'ji 夫椒山人耿敬霁
'fu'jiao'zui'da'ju'qi'yi 夫椒最大居其一
'fu'qin'song'zi'ye'chang'qun 扶琴送子曳长裙
'fu'sheng'ju'san'shi'fu'ping 浮生聚散是浮萍
'fu'yan'bei'ge 抚筵悲歌
'gan'jun'cheng'wo'wei'qi'shi 感君称我为奇士
'gan'lie'hun'piao'yang 肝裂魂飘扬
'gan'nian'chou'xi 感念畴昔
'gao'di'ru'hua'hao'xi'shan 高低如画好溪山
'gao'ge'fa'mu'tian'cang'lang 高歌伐木天沧浪
'gao'tai'zhu'jin'gu'su'cheng 高台筑近姑苏城
'gao'yi'wen'jun'chan 高揖问君廛
'ge'ge'xiao'sheng'lang'yang'mian 咯咯笑声郎仰面
'ge'hou'wu'xiu'xiang'pai'huai 歌喉舞袖相徘徊
'ge'lian'long'niao'sheng 隔帘栊鸟声
'ge'xia'you'hua'rao'lu'tai 阁下幽花绕露台
'ge'xian'tu 葛仙图
'gong'an'san'sheng'bai'gu'chan 公案三生白骨禅
'gong'cheng'si'jiao'miao 功成肆郊庙
'gong'fei'ye'you'tu 宫妃夜游图
'gong'ming'rang'yu'ying'xiong'li 功名让与英雄立
'gong'ming'xu'zhuang'shi 功名须壮时
'gong'sheng'bu'shu'shang'sheng'bao 宫声不属商声暴
'gong'shi'gong'fei'zong'lu'chen 公是公非总陆沉
'gu'duo'neng'qing'ci'ye'chang 榾柮能清此夜长
'gu'fu'qing'chun 孤负青春
'gu'jiang'jie'fa'shi'chuan'zhen 故将结发试穿针
'gu'nai'er'ren'lian 顾乃二人怜
'gu'ren'xing'chu'qing'tai'leng 古人行处青苔冷
'gu'ren'you'zhe'da'yi'zai 古人有这达矣哉
'gu'shu'gao'an'luan'yu'quan 古树高岸乱玉泉
'gu'su'ba'yong 姑苏八咏
'gu'su'cheng'wai'yi'mao'wu 姑苏城外一茅屋
'gu'yan'shan'zhong'chan 姑衍山重禅
'guan'da'qian'duo'xin'zhuan'you 官大钱多心转忧
'guan'dai'cui'e 冠带崔峨
'guan'ling'yan'xia'zhu'feng'yue 管领烟霞主风月
'guan'mu'han'sheng'ji 灌木寒声集
'guan'wa'guan'suo'xi'shi'jing 馆娃官锁西施井
'guang'ping'cai'ren'ling'hua'xin 广平才人领花信
'guang'yin'ji 光阴急
'gui'zhi'jiu'xiao'wang 桂枝就销亡
'ha'ma'ling'xia'sa'qing'jiu 蛤蟆陵下洒倾酒
'han'guan'xue'ji'lv'ren'chou 函关雪霁旅人稠
'han'guan'xue'ji'tu 函关雪霁图
'han'huang'gu'ren'diao'yu'ji 汉皇故人钓鱼矶
'han'jiao'shou'dao'shui'zheng'qiang 寒郊瘦岛谁争强
'han'kong'liu'jin'lian'tian'bai 寒空流浸连天白
'han'niu'chong'dong'bu'ke'ji 汗牛充栋不可计
'han'se'jin'you'man'bu'pao 寒色今犹满布袍
'han'tang'xiao'cao'yu'fang'du 汉唐萧曹与房杜
'han'ze'ru'dao're'ru'zhi 寒则如刀热如炙
'hao'hua'nan'zhong'bu'chang'kai 好花难种不长开
'hao'shang'du'yu'shi'su'yi 好尚独与时俗异
'hao'yue'jing'tian'chi 皓月经天驰
'he'chu'feng'qing'bu'ke'lian 何处逢情不可怜
'he'cun'hui'yi'wu'ta'shi 合村会议无他事
'he'shi'jia'ren'zhong'gan'qing 何事佳人重感情
'he'shi'jing'fei'ye'ban'kai 何事荆扉夜半开
'he'sui'feng'chun'bu'chou'chang 何岁逢春不惆怅
'he'xu'ri'ye'ku'ying'ying 何须日夜苦蝇营
'he'xu'yuan'qu'xun'tian'tai 何须远去寻天台
'he'yi'jie'huan'ai 何以结欢爱
'he'yi'liang'tou'ren'bu'de 荷衣凉透忍不得
'hong'man'tai'jie'lv'man'zhi 红满苔阶绿满枝
'hong'shu'huang'mao'ye'lao'jia 红树黄茅野老家
'hong'shu'qing'shan'fei'bai'yun 红树青山飞白云
'hou'hui'nan'qi 后会难期
'hou'hui'nan'zhi 后会难知
'hou'wu'xing'he'zao 候物兴何早
'hu'ran'yi'ri'lai'xiang'feng 忽然一日来相逢
'hu'shang'shui'tian'ren'bu'yao 湖上水田人不要
'hu'shang'tao'hua'wu 湖上桃花坞
'hu'ta'xiao'ting'guo'hu'qu 呼它小艇过湖去
'hu'xiang'hua'shuo'qing'he'nong 互相话说情何浓
'hu'yi'chan'yan'qi'yu'ye 忽以谗言弃于野
'hu'zhou'de'juan'ju'chong'wa 湖州得娟俱充袜
'hua'dong'diao'ying'jie'luo'qi 画栋雕楹结罗绮
'hua'e'lou'qian'ye'kai'yan 花萼楼前夜开燕
'hua'ji'wan'zhi'fei'yi'dao 画楫万枝飞鹢道
'hua'kai'lan'man'man'cun'wu 花开烂漫满村坞
'hua'luo'chui'men'yan 花落垂门掩
'hua'luo'hua'kai'nian'fu'nian 花落花开年复年
'hua'qian'ren'shi'qu'nian'shen 花前人是去年身
'hua'qian'yue'xia'de'gao'ge 花前月下得高歌
'hua'qian'zhuo'jiu'chang'gao'ge 花前酌酒唱高歌
'hua'xi'yu'yin'tu 花溪渔隐图
'hua'xia'xiao'hun 花下销魂
'hua'xia'zhuo'jiu'ge'er'shou 花下酌酒歌二首
'hua'xiao'ren'sheng'ye'shi'dai 花笑人生也是呆
'hua'xue'fei'san'qing'xiao'li 花雪飞散青霄里
'hua'yan'sheng'bin'cong 华筵盛宾从
'hua'yue'xia'hao'ju'lian'yin 花月下好句联吟
'huang'cun'feng'yu'za'ji'ming 荒村风雨杂鸡鸣
'huang'yang'jin'yin'fan'dian'kai 晃漾金银帆殿开
'huang'ye'ling'long'ying'luo'hui 黄叶玲珑映落晖
'hui'hen'dang'chu'chu'you'gu 悔恨当初出幽谷
'hui'zhi'hui 悔只悔
'hun'qi'zai'fang 昏期在房
'ji'mo'xun'yang'bai'si'ma 寂寞浔阳白司马
'ji'shan'fang'zhong'wu'wang'zhai 积善坊中五王宅
'ji'xu'gu'jiu'jiao'qing'dong 急须沽酒浇清冻
'ji'xu'man'ba'jin'zun'dao 急需满把金樽倒
'ji'yu'wei'duo 缉御猥多
'ji'zhi'ci'wei'yi'ye'jing 技知此味艺业精
'jia'du'wu'ti'qu 笳度乌啼曲
'jia'mu'po'suo 嘉木婆娑
'jia'ren'jian'yu'fa'jiao'chen 佳人见语发娇嗔
'jia'ren'xiao'qi'chu'lan'fang 佳人晓起出兰房
'jia'shi'xiu'ji'zao 嘉峕羞芰枣
'jian'shang'qing'yin'tu 涧上清吟图
'jiang'cheng'yu'shu'wen'ti'wu 江城欲曙闻啼乌
'jiang'hua'rou'sui'zhi'lang'qian 将花揉碎掷郎前
'jiang'nan'shan'guo'zhao'hui'jing 江南山郭朝晖静
'jiang'nan'xing 江南行
'jiang'shang'chun'feng'chui'nen'yu 江上春风吹嫩榆
'jiao'bu'yi'xin'wei'yi'mian 交不以心惟以面
'jiao'duan'qing'gua'han'bian'nian 角端轻挂汉编年
'jiao'huan'wei'jiu'you'fen'li 交欢未久又分离
'jiao'zhe'xiao'ming'er'di'sheng'ying 叫着小名儿低声应
'jie'gu'shi'huang'zhong 嶰谷失黄钟
'jie'wen'pang'ren'dao'wei'ceng 借问旁人到未曾
'jie'yu'piao'bo'sui'zhan'zhou 嗟余漂泊随饘粥
'jin'chang'men'wai'feng'qiao'lu 金阊门外枫桥路
'jin'hua'yi'shuai'xie 槿花易衰歇
'jin'kai'hua'li'zhang 锦开花里幛
'jin'li'yi'fei'jiu 筋力已非旧
'jin'ren'you'ge'li'bai'shi 今人犹歌李白诗
'jin'ri'hua'kai'you'yi'zhi 今日花开又一枝
'jin'ri'ming'nian'shui'de'zhi 今日明年谁得知
'jin'rong'qiao'fu'yu'yu'gan 尽容樵斧与渔竿
'jin'sheng'da'guan'you'li'hai 尽胜达官忧利害
'jin'zhao'hua'luo'cheng'qiu'cao 今朝花落成秋草
'jing'kan'bai'fa'yi'ru'chen 惊看白发已如尘
'jing'qin'cu'luo'teng'hua 惊禽蹴落藤花
'jing'shen'bu'shi'neng'xuan'hui 精神不是能玄会
'jiu'ba'cha'yu'si'wu'ran 酒罢茶余思兀然
'jiu'jia'ji'jiu'qian'kui'lei 酒家急就浅磈磊
'jiu'qi'shou'ma'xing'ren'lu 酒旗瘦马行人路
'jiu'shi'chun'guang'yi'zhi'suo 九十春光一掷梭
'jiu'xing'zhi'zai'hua'qian'zuo 酒醒只在花前坐
'jiu'zhan'hua'zhi'pin'zhe'yuan 酒盏花枝贫者缘
'jiu'zui'huan'lai'hua'xia'mian 酒醉换来花下眠
'ju'mu'huang'liang'qiu'se'lin 举目荒凉秋色凛
'ju'qu'hao'dang'bo'wu'ji 具区浩荡波无极
'ju'tou'hong'ri'bai'yun'di 举头红日白云低
'juan'sheng'chu'feng'shu 鹃声出枫树
'jun'zhi'ci'zhi'wu'ren'shi 君之此志无人识
'jun'zi'zhong'yan'xing 君子重言行
'kai'xi'zi'gu'jin 慨惜自古今
'kan'hua'pin'zhu'fen'fen'die 看花拼逐纷纷蝶
'kang'kai'nai'he 慷慨奈何
'kang'kai'ran'nuo'bei'jiu'zhong 慷慨然诺杯酒中
'ke'chuan'ye'ban'zhong'sheng'du 客船夜半钟声度
'ke'dou'dian'qian'shan'ji'tie 科斗店前山积铁
'ke'lian'yi'zhi'ju'huang'liang 可怜遗址俱荒凉
'ken'xian'dou'li'nang'qian'shao 肯嫌斗栗囊钱少
'ken'zhu'zhu'men'nai'dai'liu 肯逐朱门褦襶流
'kong'lin'luo'ri'han'yan'zhi 空林落日寒烟织
'kong'liu'yue'zhao'dong'ting'chuan 空留月照洞庭船
'kong'que'xi'nan 孔雀西南
'kong'shan'ji'mo'ren'sheng'jue 空山寂寞人声绝
'kong'shan'jue'ren'ji 空山绝人迹
'kong'shan'sui'li'wan 空山岁历晚
'kong'you'li'yu'lin'jia'bian 恐有鲤鱼鳞甲变
'kuan'kuan'he'cong'jiang 款款何从将
'kuang'qie'tan'feng'mei'jing'he 况且叹逢美景何
'kuang'shi'qiu'feng'song'bie'shi 况是秋风送别时
'kun'lun'pi'pa'liang'zhou'ge 昆仑琵琶凉州歌
'la'yue'he'chu'xun'hong'fang 蜡月何处寻红芳
'lai'de'quan'sheng'yin'gui'lu 赖得泉声引归路
'lai'ri'ku'shao 来日苦少
'lai'wu'jin 来无尽
'lan'qi'shi'yi'yun'zuo'lv 岚气湿衣云作侣
'lang'dao'bu'ru'hua'yao'tiao 郎道不如花窈窕
'lang'hu'zhong'jian'du'dao'jing 狼虎中间读道经
'lao'fu'chao'chu'kui'lao'qi 轑釜朝厨愧老妻
'lao'hou'si'liang'ying'bu'hui 老后思量应不悔
'lao'lai'jing'fu'chen'ai'ji 老来静拂尘埃迹
'le'bing'shou'ri'zhu 勒兵收日逐
'lei'hen'zi'jiu'qing'zhen'shi 泪痕渍酒清袗湿
'lei'xia'bu'ke'juan 泪下不可卷
'leng'leng'ceng'ceng'xiang'bi'li 崚崚嶒嶒相壁立
'li'bai'neng'shi'fu'neng'jiu 李白能诗复能酒
'li'bai'qian'shi'yuan'you'yue 李白前时原有月
'li'bai'ru'jin'yi'xian'qu 李白如今已仙去
'li'ma'bian'shan'kan'yan'fei 立马边山看雁飞
'lian'bu'cheng'ci'nao'sha'ren 炼不成词恼刹人
'liang'feng'zhong'ye'fa 凉风中夜发
'liang'hang'hong'fen'zhuan'chun'ying 两行红粉啭春莺
'liang'peng'hao'you'shi'wang'huan 良朋好友时往还
'liang'ren'huo'ji'shan'shui'zhong 两人活计山水中
'liang'wei'zhen'chun'ri'diao'zhuo 良为真纯日雕琢
'liao'de'nan'chuang'xia 料得南窗下
'liao'ying'yue'bu'xian'wo'chou 料应月不嫌我丑
'lie'zuo'shen'wang'xing'qi'bi 列坐申王兴岐薜
'lin'ao'shu'di'kua'fu'piao 林坳树底跨浮漂
'lin'bie'qian'ku'ding'ning 临别前苦叮宁
'lin'liu'shi'ba'jin'hui'fu 临流试罢金徽拂
'lin'liu'shi'qin'tu 临流试琴图
'lin'weng'pei'zuo'zi'lao'xia 邻翁陪坐自捞虾
'ling'wo'tu'qi'suo'ju'jing 令我图其所居景
'liu'jun'liang'jia'zi 六郡良家子
'liu'lang'yi'qu'bu'fu'lai 刘郎一去不复来
'liu'shui'leng'leng'xie'qi'xian 流水冷冷写七弦
'liu'shui'shi 流水诗
'long'men'san'yue'yao'fei'teng 龙门三月要蜚腾
'lou'chu'jia'ren'fen'mian'lai 露出佳人粉面来
'lou'shi'qi'yun'xia 楼室栖云霞
'lu'chang'seng'si'xian'mei'kai 鹿场僧寺鲜莓开
'lu'shen'shu'mi'mi'jia 路深树密迷家
'lu'wei'xiao'xiao'ye'zhu'qiu 芦苇萧萧野渚秋
'luan'chai'ya'bin'ji'pian'xin 鸾钗压鬓髻偏新
'luan'quan'jing'yu'xie'long'fei 乱泉惊雨挟龙飞
'lun'shan'bu'gu 纶山布谷
'luo'de'zi'jia'tou'bai'zao 落得自家头白早
'luo'fu'xian'zi'li'feng'yun 罗浮仙子丽风韵
'luo'hong'luan'dian'xi'liu'bi 落红乱点溪流碧
'luo'luo'fan'yu'qi 落落璠玙器
'luo'ri'chang'tu'miao'he'xu 落日长途渺何许
'lv'chi'heng'jin'hong'qiao'ying 绿池横浸红桥影
'lv'ji'wang'jun 履吉王君
'lv'yin'qing'zhou'bai'yuan'ti 绿阴清昼白猿啼
'ma'yi'ou'cheng'jian'wei'sao 麻已沤成茧未缫
'mai'jiu'po'you'qing'tong'qian 买酒颇有青铜钱
'man'suo'feng'yu'du'gui'zhou 满蓑风雨独归舟
'man'tou'duan'fa'jie'peng'song 满头短发皆蓬松
'man'wu'tao'hua'yi'zui'ren 满坞桃花一醉人
'mao'yu'dan'bo 毛羽单薄
'mei'jing'liang'chen'tang'zao'yu 美景良辰淌遭遇
'mei'ren'tu'er'shou 美人图二首
'mei'zi'zhui'hua'jiao'yun'sun 梅子坠花茭孕笋
'men'qian'xi'shui'lv'lin'lin 门前溪水绿粼粼
'meng'duan'bi'sha'chu 梦断碧纱橱
'meng'hui'hu'die'wu'shan'miao 梦回蝴蝶巫山庙
'meng'ru'jiao'gong'zi'miao'mang 梦入鲛宫自渺茫
'meng'xia'xi'shuai'ming 孟夏蟋蟀鸣
'mi'tu'wu'wang'jia 迷途无往驾
'mian'mian'qing'shan'ru'cui'ping 面面青山如翠屏
'mian'niu'li'ma'shui'jia'mu 眠牛立马谁家牧
'mian'qian'zhen'jiu'jiu'wei'han 面前斟酒酒未寒
'mian'wei'bian'shi'xin'yi'bian 面未变时心已变
'miao'miao'jiang'hu'he'suo'gui 渺渺江湖何所归
'min'sheng'an'le 民生安乐
'min'yan'wu'qi 民言无欺
'ming'ji'jie'qian'tu 鸣鸡戒前涂
'ming'ju'bei'lou'qu 名驹被镂渠
'ming'nian'jin'ri'hua'kai'fou 明年今日花开否
'ming'ri'lai'kan'zhi'shi'shui 明日来看知是谁
'ming'wan'zi'lai'chi 茗碗自赉持
'ming'yue'hai'ru'li'bai'shi 明月还如李白时
'mo'ba'chun'guang'fu'liu'shui 莫把春光付流水
'mo'ru'gao'shan'yu'shen'shui 莫入高山与深水
'mo'xian'ci'di'feng'bo'e 莫嫌此地风波恶
'mo'zha'can'heng 墨札参横
'mou'xie'yi'zhi'xin'zhu'mai 谋写一枝新竹卖
'mou'yi'ru'gong'bu'yi'de 谋以如公不易得
'mu'dan'shao'yao'dou'nan'bi 牡丹芍药都难比
'mu'luo'ci'gu'zhi 木落辞故枝
'mu'mian'xin'bu'jiu'zheng'yi 木绵新补旧征衣
'mu'miao'shen'ping'shan 木杪屾平山
'na'yi'chi'ang'yuan'men'qian 衲衣持盎院门前
'na'yi'jie'chun'he'chou'leng 衲衣结鹑何愁冷
'nan'you'tu 南游图
'ni'bu'chai'men'ye'bu'yi 泥补柴门叶补衣
'ni'zai'zai'he'fang'nong'tiao 你在在何方弄调
'nian'hua'wei'xiao'po'tan'chun 拈花微笑破檀唇
'nian'nian'fu'la'sai'ji'tun 年年伏腊赛鸡豚
'nian'zi'bu'neng'fan 念子不能饭
'nong'hua'bu'jiu'xian 秾华不久鲜
'nong'zhi'ci'wei'shi'lin'ying 农知此味食廪盈
'nu'li'yi'zi'si 努力以自私
'nv'di'xin'cheng'chong 女弟新承宠
'nv'luo'yu'qing'song 女萝与青松
'ou'kan'hua'jing'hu'xiao'hun 偶看画景忽消魂
'ou'ran'sheng'ji'yu'qi'zhong 偶然生计寓其中
'pa'jin'xiao'qin'se 怕今宵琴瑟
'pan'huan'zuo'dao'ri'zhuo'wu 盘桓坐到日灼午
'pan'kong'cui'dai'han'yun'shi 盘空翠黛寒云湿
'pan'yuan'liao'yan'liu 攀援聊淹留
'pang'huang'he'suo'tou 彷徨何所投
'pei'guo'liu'jun'tian'xia'xian 沛国刘君天下贤
'peng'xian're'jiu'zhao'she'ji 烹鲜热酒招舍己
'pi'sheng'qi'shao'pa'sheng'duo 琵声起少琶声多
'pian're'die'feng'sui 偏惹蝶蜂随
