'an'leng'tie 暗冷铁
'chong'tian'lu'zi'dong'jia'liao'ji 冲天炉自动加料机
'chong'tian'lv 充填率
'chong'xing'fen'xi 充型分析
'chong'xing'liu'su 充型流速
'chong'xing'neng'li 充型能力
'chong'xing'shi'jian 充型时间
'chong'xing'su'du 充型速度
'chong'xing'ya'li 充型压力
'chong'yang'ya'zhu 充氧压铸
'chong'yi 舂移
'chou'xin'ji'gou 抽芯机构
'chu'bian'xing 触变性
'chu'bian'zhu'zao 触变铸造
'chu'chen'qi 除尘器
'chu'lu'kou 出炉口
'chu'lu'wen'du 出炉温度
'chu'qi'ji 除气剂
'chu'qi'kong 出气孔
'chu'qi'kou 出气口
'chu'qi'mao'kou 出气冒口
'chu'qi'qu'qi 除气去气
'chu'sheng'gui 初生硅
'chu'sheng'shi'mo 初生石墨
'chu'tie'cao 出铁槽
'chu'xin 除芯
'chu'zha 出渣
'chu'zha'kou 出渣口
'chuan'pi 串皮
'chui'qi'jing'hua 吹气净化
'chui'zhi'jiao'zhu'xi'tong 垂直浇注系统
'ci'li'gun'tong 磁力滚筒
'ci'xing'zhu'zao 磁型铸造
'cuo'xin 错芯
'da'chong'ji'xing'he 大冲击形核
'da'jian'ju'shuang'pai'feng'kou'chong'tian'lu 大间距双排风口冲天炉
'da'kong'chu'liu 大孔出流
'da'lu 打炉
'da'mo 打磨
'da'peng 搭棚
'da'qi'ya'li'mao'kou 大气压力冒口
'da'xiang 打箱
'dan'jing'zhu'zao 单晶铸造
'dan'mian'mu'ban 单面模板
'dan'ti'mo 单体模
'dan'wan 弹丸
'dan'xiang'jie'jing 单向结晶
'dan'xiang'ning'gu 单向凝固
'dan'yi'sha 单一砂
'dan'zhu'shi'kuai 单铸试块
'dang'zha'pian 挡渣片
'dao'mao'kou 捣冒口
'deng'liu'liang'jiao'zhu'xi'tong 等流量浇注系统
'deng'wen're'chu'li'qiu'mo'zhu'tie 等温热处理球墨铸铁
'di'he'jin'zhu'gang 低合金铸钢
'di'he'jin'zhu'tie 低合金铸铁
'di'jiao 底焦
'di'keng'zao'xing 地坑造型
'di'mian'zao'xing 地面造型
'di'rong'dian'he'jin 低熔点合金
'di'ya'zhu'zao 低压铸造
'di'ya'zhu'zao'ji 低压铸造机
'di'zhu'bao 底注包
'di'zhu'shi'jiao'zhu'xi'tong 底注式浇注系统
'dian'ci'beng'di'ya'zhu'zao'ji 电磁泵低压铸造机
'dian'ci'jiao'ban 电磁搅拌
'dian'ci'jiao'zhu'ji 电磁浇注机
'dian'ci'pan 电磁盘
'dian'ci'pei'tie'cheng 电磁配铁秤
'dian'hu'lu 电弧炉
'dian'hu'qi'ge 电弧气割
'dian'hua'xue'qing'li 电化学清理
'dian'hua'xue'qing'sha 电化学清砂
'dian'jie'qing'li 电解清理
'dian'mao'kou 点冒口
'dian're'mao'kou 电热冒口
'dian'ye'qing'sha 电液清砂
'dian'ye'ya'qing'sha 电液压清砂
'dian'zha'lu 电渣炉
'dian'zha'rong'lian 电渣熔炼
'dian'zha'rong'zhu 电渣熔铸
'dian'zhu 电铸
'diao'sha 吊砂
'diao'sha 掉砂
'diao'xin 吊芯
'die'xiang'zao'xing 叠箱造型
'ding'chu'ji'gou 顶出机构
'ding'gan 顶杆
'ding'wei'xin'tou 定位芯头
'ding'xiang'gong'jing'fu'he'cai'liao 定向共晶复合材料
'ding'xiang'jie'jing 定向结晶
'ding'xing 定型
'ding'zhu'shi'jiao'zhu'xi'tong 顶注式浇注系统
'dong'li'xing'he 动力形核
'dong'xing 动型
'dou'shi'ti'sheng'ji 斗式提升机
'duan'jing 断晶
'dui'kai'xin'he 对开芯盒
'duo'chu'tou'gao'ya'zao'xing'ji 多触头高压造型机
'duo'gong'wei'zao'xing'ji 多工位造型机
'duo'kong'sai'fa 多孔塞法
'duo'pai'xiao'feng'kou'chong'tian'lu 多排小风口冲天炉
'duo'rou 多肉
'duo'rou'lei'que'xian 多肉类缺陷
'duo'xiang'zao'xing 多箱造型
'e'jing'guan 鹅颈管
'er'yang'hua'liu'leng'xin'he'fa 二氧化硫冷芯盒法
'er'yang'hua'tan'fa 二氧化碳法
'er'yang'hua'tan're'ying'shu'zhi'sha'zhi'xin 二氧化碳热硬树脂砂制芯
'fa'qi'liang 发气量
'fa'qi'lv 发气率
'fa'qi'su'du 发气速度
'fa'qi'xing 发气性
'fa'qi'ya'li'mao'kou 发气压力冒口
'fa're'ji 发热剂
'fa're'mao'kou 发热冒口
'fan'bai'kou 反白口
'fan'bu'suo 反补缩
'fan'chao 返潮
'fan'chong'tou 反冲头
'fan'pian'xi 反偏析
'fan'she'lu 反射炉
'fan'xiang'ji 翻箱机
'fan'ya'zhu'zao 反压铸造
'fan'ying'shi'jiao'zhu'xi'tong 反应室浇注系统
'fang'xiang'ning'gu 方向凝固
'fang'yang'shen'tu 放样伸图
'fei'bian 飞边
'fei'chi 飞翅
'fei'hong'shu'zhi'xi 非烘树脂系
'fei'jin'shu'liao 废金属料
'fei'jing'tai'he'jin 非晶态合金
'fei'jun'zhi'xing'he 非均质形核
'fei'pin 废品
'fei'sha 废砂
'fei'shui'ji'tu'liao 非水基涂料
'fei'teng'chuang 沸腾床
'fei'teng'qi 沸腾期
'fei'xiao'ping'mian'xing'sheng'zhang 非小平面型生长
'fei'zi'fa'xing'he 非自发形核
'fen'he'mian 分盒面
'fen'kai'mo 分开模
'fen'kai'xin 分开芯
'fen'kuai'mo 分块模
'fen'liu'qi 分流器
'fen'mo'mian 分模面
'fen'quan'niao'wan'shu'zhi'zi'ying'sha 酚醛尿烷树脂自硬砂
'fen'quan'shu'zhi 酚醛树脂
'fen'quan'zhi'leng'xin'he'fa 酚醛酯冷芯盒法
'fen'xiang'ji 分箱机
'fen'xing'fu'shu 分型负数
'fen'xing'ji 分型剂
'fen'xing'mian 分型面
'feng'bi'shi'jiao'zhu'xi'tong 封闭式浇注系统
'feng'chan 风铲
'feng'dai 风带
'feng'dong'sha'xin'luo'sha'ji 风动砂芯落砂机
'feng'gan'qiang'du 风干强度
'feng'kou 风口
'feng'kou'bi 风口比
'feng'liang 风量
'feng'lu 封炉
'feng'ni 封泥
'feng'xi'shi'jiao'zhu'xi'tong 缝隙式浇注系统
'feng'xiang'ni'tiao 封箱泥条
'feng'xiang'tiao 封箱条
'fu'gai'ji 覆盖剂
'fu'he'zhu'zao 复合铸造
'fu'mo'sha 覆膜砂
'fu'mo'sha'rong'dian 覆膜砂熔点
'fu'nan'shu'zhi 呋喃树脂
'fu'nan'shu'zhi'zi'ying'sha 呋喃树脂自硬砂
'fu'sha'jin'shu'xing 覆砂金属型
'fu'xuan'sha 浮选砂
'fu'ya'zao'xing 负压造型
'fu'yang'song'feng 富氧送风
'fu'yong'xing 复用性
'fu'zha 浮渣
'fu'zhu'cai'liao 辅助材料
'fu'zhu'kuang 辅助框
'fu'zhu'shi'kuai 附铸试块
'gai'ji'peng'run'tu 钙基膨润土
'gan'guo 坩埚
'gan'guo'lu 坩埚炉
'gan'lan'shi'sha 橄榄石砂
'gan'qiang'du 干强度
'gan'rao'yuan'su 干扰元素
'gan'sha'xing 干砂型
'gan'xing 干型
'gan'xing'you 干性油
'gan'ying'dian'lu 感应电炉
'gang'yu'sha 刚玉砂
'gao'ge'zhu'tie 高铬铸铁
'gao'gui'zhu'tie 高硅铸铁
'gao'ji'zhu'tie 高级铸铁
'gao'lin'zhu'tie 高磷铸铁
'gao'ling'tu 高岭土
'gao'lv'zhu'tie 高铝铸铁
'gao'meng'gang 高锰钢
'gao'mi'du'jin'shi'fa 高密度紧实法
'gao'qiang'du'huang'tong 高强度黄铜
'gao'qiang'du'zhu'gang 高强度铸钢
'gao'qiang'du'zhu'tie 高强度铸铁
'gao'qiang'du'zhu'zao'lv'he'jin 高强度铸造铝合金
'gao'ren'xing'qiu'mo'zhu'tie 高韧性球墨铸铁
'gao'sha 锆砂
'gao'ya'wu'qi'pen'tu 高压无气喷涂
'gao'ya'zao'xing 高压造型
'gao'ya'zao'xing'ji 高压造型机
'gao'zhi'liang'zhu'jian 高质量铸件
'gao'zu'ni'tong'he'jin 高阻尼铜合金
'ge'jiao 隔焦
'ge'qing'tong 铬青铜
'ge'tie'kuang'sha 铬铁矿砂
'ge'zhu'tie 铬铸铁
'gei'liao'qi 给料器
'gong'cheng'zhu'tie 工程铸铁
'gong'jing'du 共晶度
'gong'jing'gui 共晶硅
'gong'jing'he'jin 共晶合金
'gong'jing'he'jin'xi 共晶合金系
'gong'jing'lv'gui'he'jin 共晶铝硅合金
'gong'jing'shi'mo 共晶石墨
'gong'jing'shi'mo'hua'peng'zhang 共晶石墨化膨胀
'gong'jing'tan'hua'wu 共晶碳化物
'gong'jing'tuan 共晶团
'gong'jing'wen'du 共晶温度
'gong'jing'zhu'tie 共晶铸铁
'gong'jing'zhuan'bian 共晶转变
'gong'jing'zu'zhi 共晶组织
'gong'sheng'sheng'zhang 共生生长
'gong'yi'bu'zheng'liang 工艺补正量
'gong'yi'kong 工艺孔
'gong'yi'zhuang'bei 工艺装备
'gou'cao 沟槽
'gu'ding'tan 固定碳
'gu'hua'ji'ying'hua'ji 固化剂硬化剂
'gu'ji'zhu'zao'gao'wen'he'jin 钴基铸造高温合金
'gu'jia'mo 骨架模
'gu'tai'shou'suo 固态收缩
'gua'ban'zao'xing 刮板造型
'gua'sha 刮砂
'guan'jiang 灌浆
'gui'huang'tong 硅黄铜
'gui'qing'tong 硅青铜
'gui'sha 硅砂
'gui'tan'bi 硅碳比
'gui'wen 龟纹
'gun'tong'luo'sha'ji 滚筒落砂机
'gun'tong'po'sui'shai 滚筒破碎筛
'gun'tong'qing'li 滚筒清理
'gun'tong'shai 滚筒筛
'guo'chui 过吹
'guo'du'jiao 过渡角
'guo'gong'jing'he'jin 过共晶合金
'guo'gong'jing'lv'gui'he'jin 过共晶铝硅合金
'guo'gong'jing'zhu'tie 过共晶铸铁
'guo'hong 过烘
'guo'leng 过冷
'guo'leng'du 过冷度
'guo'leng'shi'mo 过冷石墨
'guo'lv'pian 过滤片
'guo'lv'wang 过滤网
'guo're 过热
'guo'shao 过烧
'han'bu 焊补
'han'ni'liang 含泥量
'han'shui'liang'shui'fen 含水量水分
'he'cheng'sha 合成砂
'he'cheng'zhu'tie 合成铸铁
'he'ge'zhu'jian 合格铸件
'he'jin'hua'chu'li 合金化处理
'he'jin'xian'shou'suo'lv 合金线收缩率
'he'jin'yi'chuan'xing 合金遗传性
'he'jin'yuan'su 合金元素
'he'jin'zhu'tie 合金铸铁
'he'xiang 合箱
'he'xiang'biao'zhi 合箱标志
'he'xiang'ji 合箱机
'he'xing 合型
'he'xing'ji'gou 合型机构
'he'xing'li 合型力
'he'zhi'nian'jie'ji 合脂粘结剂
'he'zhi'sha 合脂砂
'hei'xin'ke'duan'zhu'tie 黑心可锻铸铁
'hei'zha 黑渣
'heng'jiao'dao 横浇道
'hong'gan'lu 烘干炉
'hong'guan'pian'xi 宏观偏析
'hong'sha 红砂
'hong'xin 烘芯
'hong'xin'qi 烘芯器
'hou'yun'yu 后孕育
'hua'xin'ke'duan'zhu'tie 花心可锻铸铁
'hua'xue'cheng'fen'bu'he'ge 化学成分不合格
'hua'xue'qing'sha 化学清砂
'hua'xue'ying'hua'sha 化学硬化砂
'hua'xue'zhan'sha 化学粘砂
'huan'yuan'qi 还原期
'huan'yuan'qi'fen 还原气氛
'huan'yuan'zha 还原渣
'hui'fa'sun'hao 挥发损耗
'hui'lu'liao 回炉料
'hui'xing'tiao'yun'xing'sha 回性调匀型砂
'hui'yong'sha 回用砂
'hui'zhu'tie 灰铸铁
'hun'sha 混砂
'hun'sha'ji 混砂机
'huo'hua'bu'ji'qi 火花捕集器
'huo'hua'peng'run'tu 活化膨润土
'huo'kuai 活块
'huo'nian'tu 活粘土
'huo'yan'biao'mian'qing'li 火焰表面清理
'ji'ben'shu'yu 基本术语
'ji'leng'zhu'tie 激冷铸铁
'ji'leng'zhu'zao 急冷铸造
'ji'leng'zhu'zao 激冷铸造
'ji'qi'zao'xing 机器造型
'ji'xie'sun'shang 机械损伤
'ji'xie'zhan'sha 机械粘砂
'ji'xin'ji 挤芯机
'ji'ya'zhu'zao 挤压铸造
'ji'zha'heng'jiao'dao 集渣横浇道
'ji'zha'zhuang'zhi'jiao'zhu'xi'tong 集渣装置浇注系统
'jia'da'xin'tou 加大芯头
'jia'qiang'jin 加强筋
'jia'qiang'lei 加强肋
'jia're'xiang'bian'dian 加热相变点
'jia'sha 夹砂
'jia'sha'ji'gou 加砂机构
'jia'xiang'zao'xing 假箱造型
'jia'ya'su'du 加压速度
'jia'za'lei'que'xian 夹杂类缺陷
'jia'za'wu 夹杂物
'jia'zha 夹渣
'jian'du 碱度
'jian'mo'he'jin 减摩合金
'jian'xing'chong'tian'lu 碱性冲天炉
'jian'xing'dian'hu'lu 碱性电弧炉
'jian'xing'fen'quan'shu'zhi 碱性酚醛树脂
'jian'xing'lu'chen 碱性炉衬
'jian'xing'zha 碱性渣
'jian'xing'zhi'shu 碱性指数
'jiang'liao 浆料
'jiao'bao 浇包
'jiao'bi 焦比
'jiao'bu'dao 浇不到
'jiao'bu'zu 浇不足
'jiao'dao'bi 浇道比
'jiao'jie'bi 交接壁
'jiao'kou'bei 浇口杯
'jiao'kou'pan 浇口盘
'jiao'kou'pen 浇口盆
'jiao'kou'pen'yun'yu 浇口盆孕育
'jiao'kou'sai 浇口塞
'jiao'kou'tao 浇口套
'jiao'mao'kou'xi'tong 浇冒口系统
'jiao'sha 焦砂
'jiao'tan 焦炭
'jiao'zheng 矫正
'jiao'zhi'jia 胶质价
'jiao'zhu 浇注
'jiao'zhu'cao 浇注槽
'jiao'zhu'duan'liu 浇注断流
'jiao'zhu'shi'jian 浇注时间
'jiao'zhu'su'du 浇注速度
'jiao'zhu'wei'zhi 浇注位置
'jiao'zhu'wen'du 浇注温度
'jiao'zhu'xi'tong 浇注系统
'jiao'zhu'xi'tong'she'ji 浇注系统设计
'jie'ba 结疤
'jie'jing 结晶
'jie'jing'qi 结晶器
'jie'ke'shi'jian 结壳时间
'jie'ke'wen'du 结壳温度
'jie'li'jiao 接力焦
'jie'mian 界面
'jie'qiu'xing'sha 结球型砂
'jie'ti'fen'xing'mian 阶梯分型面
'jie'ti'shi'jiao'zhu'xi'tong 阶梯式浇注系统
'jin'jing'xing'zhu'zao 近净形铸造
'jin'mi'shi'mo 紧密石墨
'jin'mi'shi'mo'zhu'tie 紧密石墨铸铁
'jin'shen'chu'li 浸渗处理
'jin'shen'ji 浸渗剂
'jin'shi'du 紧实度
'jin'shi'jin'sha 紧实紧砂
'jin'shi'lv 紧实率
'jin'shu'can'ye 金属残液
'jin'shu'lu'liao 金属炉料
'jin'shu'mu 金属模
'jin'shu'xin 金属芯
'jin'shu'xing 金属型
'jin'shu'xing'tu'liao 金属型涂料
'jin'shu'xing'zhu'zao 金属型铸造
'jin'shu'xing'zhu'zao'ji 金属型铸造机
'jin'shu'ye'chu'li 金属液处理
'jin'wu'yu'liang'zhu'zao 近无余量铸造
'jin'xiang'zu'zhi'bu'he'ge 金相组织不合格
'jing'jian'pian'xi 晶间偏析
'jing'jie'pian'xi 晶界偏析
'jing'li'xi'hua 晶粒细化
'jing'li'xi'hua'ji 晶粒细化剂
'jing'lian 精炼
'jing'lian'ji 精炼剂
'jing'lian'rong'ji 精炼熔剂
'jing'mi'zhu'zao 精密铸造
'jing'nei'pian'xi 晶内偏析
'jing'su'mi'ya'zhu 精速密压铸
'jing'ti'sheng'zhang'jie'mian 晶体生长界面
'jing'xi'qing'li 精细清理
'jing'xuan'sha 精选砂
'jing'ya'zao'xing 静压造型
'jing'zheng 精整
'jing'zhi 静置
'jiu'sha 旧砂
'jiu'sha'chu'li 旧砂处理
'jiu'sha'gan'fa'zai'sheng 旧砂干法再生
'jiu'sha'hui'yong'lv 旧砂回用率
'jiu'sha're'fa'zai'sheng 旧砂热法再生
'jiu'sha'shi'fa'zai'sheng 旧砂湿法再生
'jiu'sha'zai'sheng 旧砂再生
'ju'jing 巨晶
'jun'heng'ning'gu 均衡凝固
'jun'lie 龟裂
'jun'zhi'xing'he 均质形核
'ka'yao'chong'tian'lu 卡腰冲天炉
'kai'fang'shi'jiao'zhu'xi'tong 开放式浇注系统
'kai'hua'zhuang'shi'mo 开花状石墨
'kai'lu 开炉
'kai'xiang 开箱
'kai'xing'li 开型力
'kai'xing'shi'jian 开型时间
'kang'chun 糠醇
'kang'mo'zhu'tie 抗磨铸铁
'ke'duan'zhu'tie'ma'tie 可锻铸铁马铁
'ke'rong'xin 可溶芯
'ke'shi'yong'shi'jian 可使用时间
'ke'xin 壳芯
'ke'xin'ji 壳芯机
'ke'xing 壳型
'ke'xing'ji 壳型机
'ke'xing'xin'shu'zhi'sha 壳型芯树脂砂
'ke'xing'zhi'zao 壳型制造
'ke'xing'zhu'zao 壳型铸造
'kong'dong'lei'que'xian 孔洞类缺陷
'kong'xi'lv 孔隙率
'kong'zhi'qi'fen 控制气氛
'ku'nian'tu'si'nian'tu 枯粘土死粘土
'ku'sha 枯砂
'kuai'su'ning'gu 快速凝固
'kui'san'ji 溃散剂
'kui'san'xing 溃散性
'la'chang 拉长
'la'gang 拉杠
'la'mu 蜡模
'la'shang 拉伤
'lan'ni'sha 烂泥砂
'lan'ni'sha'xing 烂泥砂型
'leng'dong'zhu'zao 冷冻铸造
'leng'dou 冷豆
'leng'ge 冷隔
'leng'jin'shu 冷金属
'leng'lie 冷裂
'leng'mao'kou 冷冒口
'leng'que'ti'sheng'ji 冷却提升机
'leng'que'xiang'bian'dian 冷却相变点
'leng'shi'li'shi'ya'zhu'ji 冷室立式压铸机
'leng'shi'wo'shi'ya'zhu'ji 冷室卧式压铸机
'leng'shi'ya'zhu'ji 冷室压铸机
'leng'tie 冷铁
'leng'xin'he'fa 冷芯盒法
'leng'xin'he'sha 冷芯盒砂
'leng'ying'nian'jie'ji 冷硬粘结剂
'leng'ying'zhu'tie 冷硬铸铁
'li'shi'hong'lu 立式烘炉
'li'shi'li'xin'zhu'zao'ji 立式离心铸造机
'li'shi'lian'zhu'ji 立式连铸机
'li'shi'ya'zhu'ji 立式压铸机
'li'xin'ji'zha'jiao'zhu'xi'tong 离心集渣浇注系统
'li'xin'ji'zha'mao'kou 离心集渣冒口
'li'xin'zhu'zao 离心铸造
'li'xin'zhu'zao'ji 离心铸造机
'li'xin'zhu'zao'zhuan'su 离心铸造转速
'lian'xu'hun'sha'ji 连续混砂机
'lian'xu'zhu'zao 连续铸造
'lian'zhu 连铸
'lian'zhu'ji 连铸机
'liang'pi 亮皮
'liang'xiang'zao'xing 两箱造型
'lie'wen 裂纹
'lie'wen'leng'ge'lei'que'xian 裂纹冷隔类缺陷
'lin'bian'zhi 磷变质
'lin'dou 磷豆
'lin'suan'yan'zi'ying'sha 磷酸盐自硬砂
'liu'bian'zhu'zao 流变铸造
'liu'dong'xing'jin'shu 流动性金属
'liu'dong'xing'sha 流动性砂
'liu'hen'shui'wen 流痕水纹
'liu'tai'sha 流态砂
'liu'tai'sha'zao'xing 流态砂造型
'liu'xing'shi'jian 留型时间
'lou'kong 漏空
'lou'mo 漏模
'lou'mo'zao'xing 漏模造型
'lou'xiang 漏箱
'lu'bi'xiao'ying 炉壁效应
'lu'chen 炉衬
'lu'chen'shou'ming 炉衬寿命
'lu'gang 炉缸
'lu'liao 炉料
'lu'liao'ji'suan'pei'liao 炉料计算配料
'lu'ling 炉龄
'lu'nei'qi'fen 炉内气氛
'lu'qi'fen'xi 炉气分析
'lu'qian'fen'xi 炉前分析
'lu'wai'jing'lian 炉外精炼
'lu'zha 炉渣
'lun'nian'ji 轮碾机
'luo'sha 落砂
'luo'sha'ji 落砂机
'luo'sha'shi'jian 落砂时间
'luo'sha'wen'du 落砂温度
'luo'sha'xing 落砂性
'luo'xiang'ji 落箱机
'luo'xuan'jiang'yong'zhu'zao'tong'he'jin 螺旋桨用铸造铜合金
'luo'xuan'shu'song'ji 螺旋输送机
'lv'gui'he'jin 铝硅合金
'lv'li'he'jin 铝锂合金
'lv'mei'he'jin 铝镁合金
'lv'qing'tong 铝青铜
'lv'tong'he'jin 铝铜合金
'lv'xin'he'jin 铝锌合金
'lv'zhu'tie 铝铸铁
'ma'kou'zhu'tie 麻口铸铁
'ma'ni 麻泥
'ma'shi'ti'zhu'tie 马氏体铸铁
'man'dao 镘刀
'man'shao 镘勺
'mao'ci 毛刺
'mao'kou 冒口
'mao'kou'fu'gai'ji 冒口覆盖剂
'mao'kou'gao'du 冒口高度
'mao'kou'gen 冒口根
'mao'kou'jiao'zhu'xi'tong 冒口浇注系统
'mao'kou'jing 冒口颈
'mao'kou'quan 冒口圈
'mao'kou'she'ji 冒口设计
'mao'kou'tao 冒口套
'mao'kou'wo 冒口窝
'mao'kou'xiao'lv 冒口效率
'mao'pi'tu 毛坯图
'mao'pi'zhu'jian 毛坯铸件
'mei'fen 煤粉
'mei'fen'dai'yong'pin 煤粉代用品
'mei'fen'sha 煤粉砂
'mei'gan'lan'shi'sha 镁橄榄石砂
'mei'gan'shi'sha 煤矸石砂
'mei'jiao 镁焦
'mei'sha 镁砂
'meng'liu'bi 锰硫比
'meng'nai'er'he'jin 蒙乃尔合金
'mi'hong'zhu'tie 密烘铸铁
'mi'jin'lu'dan 密筋炉胆
'mi'rong'jia'mei'bao 密容加镁包
'mian'sha 面砂
'ming'mao'kou 明冒口
'mo'di'ban 模底板
'mo'hua'ji 墨化剂
'mo'liao 模料
'mo'shu'ji'suan'fa'mao'kou 模数计算法冒口
'mo'xin'ji 磨芯机
'mo'zu 模组
'mu'ban 模板
'mu'ban'she'ji 模板设计
'mu'ban'tu 模板图
'mu'ban'zao'xing 模板造型
'mu'he'jin 母合金
'mu'mo 木模
'mu'mo 母模
'mu'yang'fen'ji 模样分级
'mu'yang'gong'fang'chi 模样工放尺
'mu'yang'tu'liao 模样涂料
'mu'yang'zhu'mu 模样铸模
'na'bian'zhi 钠变质
'na'ji'peng'run'tu 钠基膨润土
'nai'huo'nian'tu 耐火粘土
'nai'mo'zhu'gang 耐磨铸钢
'nai'mo'zhu'tie 耐磨铸铁
'nai're'zhu'gang 耐热铸钢
'nai're'zhu'tie 耐热铸铁
'nai'shi'zhu'gang 耐蚀铸钢
'nai'shi'zhu'tie 耐蚀铸铁
'nai'suan'zhu'tie 耐酸铸铁
'nai'yong'xing 耐用性
'nao'qu 挠曲
'nei'jiao'dao 内浇道
'nei'jie'yuan'fa 内接圆法
'nei'leng'tie 内冷铁
'nei'shen'dou 内渗豆
'nei'shen'wu 内渗物
'nei'sheng'jia'za'wu 内生夹杂物
'nei'sheng'sheng'zhang 内生生长
'nei'yuan'jiao 内圆角
'ni'xing 泥型
'ni'zi 腻子
'nian'jie'ji 粘结剂
'nian'jie'xiao'lv 粘结效率
'nian'tu 粘土
'nian'tu'sha 粘土砂
'nie'ji'zhu'zao'gao'wen'he'jin 镍基铸造高温合金
'nie'zhu'tie 镍铸铁
'ning'gu 凝固
'ning'gu'shi'jian 凝固时间
'ning'gu'shou'suo 凝固收缩
'ning'gu'wen'du'fan'wei 凝固温度范围
'ning'ke'lu 凝壳炉
'ning'ke'zhu'zao 凝壳铸造
'niu'jiao'jiao'kou 牛角浇口
'pa'la'xiao'te'fa 帕拉肖特法
'pa'shi'jia'liao'ji 爬式加料机
'pai'qi'cao 排气槽
'pai'qi'dao 排气道
'pai'qi'sai 排气塞
'pao'huo 跑火
'pao'sha'ji 抛砂机
'pao'sha'zao'xing 抛砂造型
'pao'wan'luo'sha'qing'li 抛丸落砂清理
'pao'wan'qi 抛丸器
'pao'wan'qing'li 抛丸清理
'pao'wan'qing'li'ji 抛丸清理机
'pao'wu'xian'ya'she'fa 抛物线压射法
'pei'sha 配砂
'pen'pao'wan'lian'he'qing'li 喷抛丸联合清理
'pen'sha'qing'li 喷砂清理
'pen'shao 喷烧
'pen'she'cheng'xing 喷射成形
'pen'she'ye'jin 喷射冶金
'pen'wan'qi 喷丸器
'pen'wan'qing'li 喷丸清理
'peng'liao 棚料
'peng'run'tu 膨润土
'peng'run'zhi 膨润值
'peng'zhang'zhi'shu 膨胀指数
'peng'zhu'tie 硼铸铁
'pi'xia'qi'kong 皮下气孔
'pi'xiang'zao'xing 劈箱造型
'pian'mo 片墨
'pian'xi 偏析
'pian'xin 偏芯
'pian'zhuang'shi'mo 片状石墨
'pian'zhuang'shi'mo'zhu'tie 片状石墨铸铁
'piao'xin 漂芯
'ping'heng'fen'pei'xi'shu 平衡分配系数
'ping'jun'xi'du 平均细度
'po'sui'zhi'shu 破碎指数
'pu'zhan'xi'shu 铺展系数
'qi'chong'zao'xing 气冲造型
'qi'chong'zao'xing'ji 气冲造型机
'qi'feng'biao'ji 骑缝标记
'qi'kong 气孔
'qi'li'shu'song'zhuang'zhi 气力输送装置
