'an'shi'zhi'luan 安史之乱
'qin'wang'po'zhen'le'ni'shang'yu'yi'qu 秦王破阵乐霓裳羽衣曲
'qiu'tian 秋天
'san'bie 三别
'san'fan'liang'ci 三番两次
'san'fan'si'ci 三番四次
'shan'he'xian'jun 山河险峻
'shang'guan'wan'er 上官婉儿
'shao'shu'min'zu 少数民族
'shi'shi 诗史
'shi'shuo 师说
'shu'bao 叔宝
'shu'dao'nan 蜀道难
'shu'zi'shi 数字诗
'shui'jia'xin'yan'zhuo'chun'ni 谁家新燕啄春泥
'song'zan'gan'bu 松赞干布
'song'zhen'zong 宋真宗
'su'shi 苏轼
'sun'si'miao 孙思邈
'tai'shan 泰山
'tai'shang'lao'jun 太上老君
'tang'shi 唐诗
'tang'xuan'zong 唐玄宗
'tao'yuan'ming 陶渊明
'teng'wang'ge'xu 滕王阁序
'tian'ke'han 天可汗
'tou'bu 头部
'tu'bo 吐蕃
'tui'bei'tu 推背图
'wa'gang'zhai 瓦岗寨
'wan'tiao'chui'xia'lv'si'tao 万条垂下绿丝绦
'wan'yue'pai 婉约派
'wang'wei 王维
'wei'cheng'chao'yu'yi'qing'chen 渭城朝雨邑轻尘
'wei'zheng'zheng 魏征徵
'wen'du'ji 温度计
'wen'zi 蚊子
'wu'dao'zi 吴道子
'wu'liu'xian'sheng 五柳先生
'wu'yan'jue'ju 五言绝句
'wu'ze'tian 武则天
'xi'an 西安
'xi'zhou'qu 西洲曲
'xiang'dui'lun 相对论
'xiang'jian'shi'nan'bie'yi'nan 相见时难别亦难
'xiang'shan'ju'shi 香山居士
'xiang'si 相思
'xiao'bai'tu 小白兔
'xiao'xian'qie'qie'ru'si'yu 小弦切切如私语
'xiao'xiao'hu 小小虎
'xiao'yu 小雨
'xie'jiang 蟹将
'xin'tang'shu 新唐书
'xing'gong 行宫
'xuan'wu'men 玄武门
'xue'ren'gui 薛仁贵
'ya'chi 牙齿
'yan'jing 眼镜
'yan'ying 晏婴
'yan'zhen'qing 颜真卿
'yang'gui'fei 杨贵妃
'yang'yu'huan 杨玉环
'yi'ming'jing'ren 一鸣惊人
'yi'sheng 医生
'yi'xing'seng'yi'xing 一行僧一行
'yu'hua'qiao 雨花桥
'yu'san 雨伞
'yu'shi'tong'jun 与世同君
'yuan'hun'bu'san 冤魂不散
'yuan'shang'han'shan'shi'jing'xie 远上寒山石径斜
'yue'xia'du'zhuo 月下独酌
'zao'shu 枣树
'zhang'sun'wu'ji 长孙无忌
'zhang'xian 张先
'zhang'xu 张旭
'zhang'zhong'jing 张仲景
'zhen'guan 贞观
'zhi'shi'jin'huang'hun 只是近黄昏
'zhi'wei'di'xia 职位低下
'zhi'zhu'jing 蜘蛛精
'zhong'shu'sheng 中书省
'zhu'chi'fang'zhang 主持方丈
'zhu'ge'liang 诸葛亮
'zhu'lin'qi'xian 竹林七贤
'zhu'sui'liang 褚遂良
'zhu'wen 朱温
'zi'jiang'mo'xi'ren'qian'chao 自将磨洗认前朝
'zi'se 紫色
'zuo'yan 左眼
