'wen'wu'jun'zhou'bao'yi'fu'xi'jing 闻武均州报已复西京
'wo'wen'xin'yan'luo'han'ting 卧闻新雁落寒汀
'wo'wo'lin'ji'yi'zai'ming 喔喔邻鸡一再鸣
'wo'yu'li'nu'bu'chu'men 我与狸奴不出门
'wo'zi'shi'wu'ming'yu'fu 我自是无名渔父
'wu'he'hen 吾何恨
'wu'qian'ren'yue'shang'mo'tian 五千仞岳上摩天
'wu'qiong'gu'xiang'zhu 五穷故相逐
'wu'yi'ku'zheng'chun 无意苦争春
'wu'yu'zhi'qi'liang 无语只凄凉
'xi'chai'huo'ruan'man'zhan'nuan 溪柴火软蛮毡暖
'xi'jing'zuo'ye'jie'shu'lai 西京昨夜捷书来
'xi'you'wei'lin 溪友为邻
'xi'yu'chun'wu'shang'lin'yuan 细雨春芜上林苑
'xi'yu'qi'lv'ru'jian'men 细雨骑驴入剑门
'xian'chi'ge 闲池阁
'xian'kan'cun'tong'xie'wan'qing 闲看村童谢晚晴
'xiang'jian'fang'zhou'chu'xi'lan 想见芳洲初系缆
'xiao'can'zhuang'zhi 消残壮志
'xiao'gu'zhui'sui'chun'she'jin 箫鼓追随春社近
'xiao'lou'yi'ye'ting'chun'yu 小楼一夜听春雨
'xiao'ru'guan 笑儒冠
'xiao'tiao'bing'ji 萧条病骥
'xiao'zhi'chuan'er'ci'shi'jia 笑指船儿此是家
'xie'chi'chun 谢池春
'xin'qin'yi'su'mai 辛勤蓺宿麦
'xin'shi'jiu'meng 新诗旧梦
'xin'wei'si 心未死
'xin'zai'tian'shan 心在天山
'xing'yan'ming'shen'jian 幸眼明身健
'xuan'zhi'han'shi'chao'ling'shi 悬知寒食朝陵使
'xue'dui'bian'man'si'shan'zhong 雪堆遍满四山中
'xue'xiao'qing'jia'luan'qi 雪晓清笳乱起
'xue'ya'qing'zhan 雪压青毡
'xun'hua'xiang'mo 寻花巷陌
'yan'bo'wu'ji 烟波无际
'yan'men'xi 雁门西
'yang'guan'chang'hen'bu'kan'wen 阳关常恨不堪闻
'yao'jian'yu'jian'jiu'diao'ling 腰间羽箭久凋零
'ye'bo'shui'cun 夜泊水村
