'ai'ju 艾菊
'dian'deng'hua 电灯花
'dian'di'mei 点地梅
'diao'lan 吊兰
'diao'zhong'liu 钓钟柳
'diao'zhu'mei 吊竹梅
'die'dou 蝶豆
'die'hua'bai'he 蝶花百合
'ding'xiang 丁香
'dong'fang'ying'su 东方罂粟
'dong'qing 冬青
'dong'shan'hu 冬珊瑚
'dou'ban'lv 豆瓣绿
'dou'xue'hong 斗雪红
'du'juan'hua 杜鹃花
'du'li'hua 独丽花
'du'suan'lan 独蒜兰
'du'wei'hua 独尾花
'dui'xin'ju 堆心菊
'duo'lang'ju 多榔菊
'duo'nian'sheng'hua'hui 多年生花卉
'e'die'hua 蛾蝶花
'e'feng'li 萼凤梨
'e'ju'hua 萼距花
'e'zhang'chai 鹅掌柴
'fan'hong'hua 番红花
'fei'cui'jing'tian 翡翠景天
'fei'fei'hua 狒狒花
'fei'yan'cao 飞燕草
'fei'zhou'jin 非洲堇
'fei'zhou'ju 非洲菊
'fei'zhou'shi'suan 非洲石蒜
'fei'zhou'yuan'wei 非洲鸢尾
'fen'hua'ling'xiao 粉花凌霄
'feng'huang'mu 凤凰木
'feng'ling'cao 风铃草
'feng'xian'hua 凤仙花
'feng'xin'zi 风信子
'feng'yan'lian 凤眼莲
'fu'gui'cao 富贵草
'fu'gui'hua 富贵花
'fu'lu'kao 福禄考
'fu'niu'hua 伏牛花
'fu'qu 芙蕖
'fu'rong 芙蓉
'fu'rong'kui 芙蓉葵
'fu'sang 扶桑
'gan'zhi'mei 干枝梅
'gao'shan'du'juan 高山杜鹃
'gao'xue'lun 高雪轮
'gong'tong 珙桐
'gou'qi 枸杞
'gu'yu'hua 谷雨花
'gua'ye'ju 瓜叶菊
'guan'hua'bei'mu 冠花贝母
'guan'shang'hu'lu 观赏葫芦
'guan'shang'jue 观赏蕨
'guan'shang'la'jiao 观赏辣椒
'guan'shang'nan'gua 观赏南瓜
'guan'shang'zhu 观赏竹
'guan'shang'zong'lv 观赏棕榈
'guan'yin'lan 观音兰
'guan'zhuang'yin'lian'hua 冠状银莲花
'guang'dong'wan'nian'qing 广东万年青
'gui'bei'zhu 龟背竹
'gui'hua 桂花
'gui'jiao'zhang 鬼脚掌
'gui'zhu'xiang 桂竹香
'hai'shi'zhu 海石竹
'hai'tang 海棠
'hai'tong 海桐
'hai'yu 海芋
'han'jin'lian 旱金莲
'han'xiao 含笑
'han'xiu'cao 含羞草
'he'bao'mu'dan 荷包牡丹
'he'guo'yu 合果芋
'he'hua 荷花
'he'huan 合欢
'he'lan'ju 荷兰菊
'he'shi'feng'xian 何氏凤仙
'he'shou'wu 何首乌
'he'wang'lan 鹤望兰
'hei'shan'hu 黑珊瑚
'hei'zhong'cao 黑种草
'hong'bei'gui 红背桂
'hong'cao 荭草
'hong'hua 红花
'hong'hua'cai'dou 红花菜豆
'hong'hua'zuo'jiang'cao 红花酢浆草
'hong'jiao 红蕉
'hong'lv'mei 红绿梅
'hong'qian'ceng 红千层
'hong'san'ye 红三叶
'hong'sang 红桑
'hong'tian'cai 红菾菜
'hou'mian'hua 猴面花
'hu'die'lan 蝴蝶兰
'hu'er'cao 虎耳草
'hu'pi'hua 虎皮花
'hu'wei'lan 虎尾兰
'hu'yan'wan'nian'qing 虎眼万年青
'hu'ye'ji'ban'kui 互叶畸瓣葵
'hua'huan'ju 花环菊
'hua'kui 花葵
'hua'ling'cao 花菱草
'hua'mao'gen 花毛茛
'hua'ren 花忍
'hua'wang 花王
'hua'wu'yu 花物语
'hua'ya'ma 花亚麻
'hua'yan'cao 花烟草
'hua'ye'ru'yi 花叶如意
'hua'ye'wan'nian'qing 花叶万年青
'hua'ye'yu 花叶芋
'hua'ye'zhu'yu 花叶竹芋
'hua'zhu 花烛
'huang'chan 黄蝉
'huang'ci'mei 黄刺玫
'huang'hai'ying'su 黄海罂粟
'huang'hua 黄花
'huang'hua'bang 黄花棒
'huang'hua'jia'zhu'tao 黄花夹竹桃
'huang'jin'ge 黄金葛
'huang'jin'ju 黄金菊
'huang'lu 黄栌
'huang'mao'zhang 黄毛掌
'huang'qiu'kui 黄秋葵
'huang'weng 黄翁
'huang'yang 黄杨
'huang'ying'hua 黄英花
'hui'lan 蕙兰
'huo'ji 火棘
'huo'ju'hua 火炬花
'huo'xiang'ji 藿香蓟
'huo'yan'lan 火燕兰
'ji'dan'hua 鸡蛋花
'ji'feng'li 姬凤梨
'ji'guan'hua 鸡冠花
'ji'li'hua 吉利花
'ji'ma 鸡麻
'ji'mu 继木
'ji'xiang'cao 吉祥草
'ji'xue'teng 鸡血藤
'ji'ying'su 蓟罂粟
'ji'zhua'qi 鸡爪槭
'jia'du'juan 假杜鹃
'jia'lan 嘉兰
'jia'mi 荚蒾
'jia'ye'shu 假叶树
'jia'zhu'tao 夹竹桃
'jian'feng'li 剑凤梨
'jiang'hua 姜花
'jie'geng 桔梗
'jie'gu'mu 接骨木
'jie'xiang 结香
'jin'bao'hua 金苞花
'jin'dai'hua 锦带花
'jin'gan 金柑
'jin'gui 金桂
'jin'he'huan 金合欢
'jin'hu 金琥
'jin'hua'cha 金花茶
'jin'ji'er 锦鸡儿
'jin'kui 锦葵
'jin'lian'hua 金莲花
'jin'ling'hua 金铃花
'jin'lu'mei 金露梅
'jin'lv'mei 金缕梅
'jin'qian'cao 金钱草
'jin'rui 金蕊
'jin'si'mei 金丝梅
'jin'si'tao 金丝桃
'jin'xian'diao'wu'gui 金线吊乌龟
'jin'yin'hua 金银花
'jin'yin'mu 金银木
'jin'yu'cao 金鱼草
'jin'zhan'ju 金盏菊
'jin'zhan'yin'tai 金盏银台
'jiu'hua 九华
'jiu'li'xiang 九里香
'ju'hua 菊华
'ju'hua 菊花
'ju'ju 菊苣
'ju'ke 菊科
'ju'yu 菊芋
'juan'er 卷耳
'jun'zi'lan 君子兰
'ka'ma'bai'he 卡马百合
'ka'te'lan 卡特兰
'ke'ai'hua 可爱花
'kong'que'cao 孔雀草
'kou'zhi'teng 口脂藤
'ku'ma'dou 苦马豆
'kuan'dong 款冬
'la'ba'lian 喇叭莲
'la'ba'shui'xian 喇叭水仙
'la'ban'hua 蜡瓣花
'la'mei 蜡梅
'la'yuan'hua 蜡源花
'lai'ya'ju 莱雅菊
'lan'bin'ju 蓝滨菊
'lan'hua'lv'rong'hao 蓝花绿绒蒿
'lan'hua'shen 蓝花参
'lan'mu'ju 蓝目菊
'lan'shi'dai'hua 蓝饰带花
'lan'ying'hua 蓝英花
'lei'li'lan 蕾丽兰
'leng'shui'hua 冷水花
'li'jin'hua 立金花
'li'tian'jian 篱天剑
'lian'qian'cao 连钱草
'lian'qiao 连翘
'liang'guang'chun'zhu'ju'tai 两广唇柱苣苔
'liang'tian'chi 量天尺
'lie'ban'lan 裂瓣兰
'lie'ye'xi'lin'yu 裂叶喜林芋
'lie'yuan'lian 裂缘莲
'ling'jian'he'hua 令箭荷花
'ling'lan 铃兰
'ling'xiao 凌霄
'liu'chu'hua 六出花
'liu'chuan'yu 柳穿鱼
'liu'hua'ju 硫华菊
'liu'lan 柳兰
'liu'su'bei'mu'lan 流苏贝母兰
'liu'su'shu 流苏树
'liu'yue'xue 六月雪
'long'chuan'hua 龙船花
'long'mian'hua 龙面花
'lou'dou'cai 耧斗菜
'lu'hui 芦荟
'lu'jiu 鹿韭
'lu'ti'cao 鹿蹄草
'lu'wei'hua 露薇花
'lu'zhu 芦竹
'luan'shu 栾树
'luo'han'song 罗汉松
'luo'kui 落葵
'luo'xin'fu 落新妇
'luo'yang'hua 洛阳花
'luo'yang'wang 洛阳王
'lv'ren'jiao 旅人蕉
'lv'ti'cao 驴蹄草
'lv'ye'san'lan 绿叶伞兰
'ma'bo'he 马薄荷
'ma'li'jin 马利筋
'ma'luo'kui 马络葵
'ma'ti'jin 马蹄金
'ma'ti'lian 马蹄莲
'ma'ying'dan 马缨丹
'mai'gan'ju 麦杆菊
'mai'xian'weng 麦仙翁
'man'chang'chun'hua 蔓长春花
'man'jin'kui 蔓锦葵
'man'tuo'luo 曼陀罗
'mao'di'huang 毛地黄
'mao'liang'ke 毛莨科
'mao'mo'li 毛茉莉
'mao'ye'jin'guang'ju 毛叶金光菊
'mei'gui 玫瑰
'mei'hua 梅花
'mei'hua'cao 梅花草
'mei'li'bao'zi'hua 美丽豹子花
'mei'li'fei'peng 美丽飞蓬
'mei'li'shi'lian'hua 美丽石莲花
'mei'nv'ying 美女樱
'mi'lan 米兰
'mo'li 茉莉
'mo'yu 魔芋
'mu'ben'hua'hui 木本花卉
'mu'dan 牡丹
'mu'jin 木槿
'mu'ju 母菊
'mu'mian 木棉
'mu'tian'jing 木田菁
'mu'tong'hao 木茼蒿
'mu'xi'ke 木樨科
'mu'xiang 木香
'na'li'hua 娜丽花
'nai'dong 耐冬
'nan'fei'ban'bian'lian 南非半边莲
'nan'fei'wang'ju 南非王菊
'nan'mei'peng'qi'ju 南美蟛蜞菊
'nan'mei'shui'xian 南美水仙
'nan'tian'zhu 南天竹
'nan'yang'sha 南洋杉
'nv'hua 女华
'nv'shi'hua 女史花
'pao'tong 泡桐
'pao'zhang'hua 炮仗花
'pi'jiu'hua 啤酒花
'ping'peng'cao 萍蓬草
'ping'zi'cao 瓶子草
'pu'bao'hua 蒲包花
'pu'cao 蒲草
'pu'tao 蒲桃
'pu'tao'feng'xin'zi 葡萄风信子
'pu'zhi'mao'gen 匍枝毛茛
'qi'ai 蕲艾
'qi'lin'ye 麒麟叶
'qi'rong'cao 起绒草
'qian'cao 茜草
'qian'qu'cai 千屈菜
'qian'ri'hong 千日红
'qiang'wei 蔷薇
'qiang'wei'ke 蔷薇科
'qiao'mai'ye'da'bai'he 荞麦叶大百合
'qing'feng'li 擎凤梨
'qiu'gen'hua'hui 球根花卉
'qiu'hai'tang 秋海棠
'qiu'ju 秋菊
'qiu'lan 球兰
'qu'bao'yu 曲苞芋
'quan'yuan'jiao'hao 全缘角蒿
'ri'guang'ju 日光菊
'ri'ying'lan 日影兰
'rong'shu 榕树
'rong'ye'xiao'zhu'yu 绒叶肖竹芋
'rui'xiang 瑞香
'rui'yun 瑞云
'sai'ya'ma 赛亚麻
'san'guang'qiu 三光球
'san'jiao'hua 三角花
'san'se'jin 三色堇
'san'se'qian'niu 三色牵牛
'san'se'song'ye'ju 三色松叶菊
'san'se'yu'shan'dou 三色羽扇豆
'sha'ren 砂仁
'sha'shen 沙参
'shan'cha 山茶
'shan'cha'hua 山茶花
'shan'cha'ke 山茶科
'shan'hu'hua 珊瑚花
'shan'hu'teng 珊瑚藤
'shan'mei'hua 山梅花
'shan'nai 山柰
'shan'qiao'mai 山荞麦
'shan'shi'che'ju 山矢车菊
'shan'tao'cao 山桃草
'shang'lu 商陆
'shao'yao 芍药
'she'bian'ju 蛇鞭菊
'she'gan 射干
'she'mei 蛇莓
'she'mu'ju 蛇目菊
'she'yan'ju 蛇眼菊
'shen'bo'ye'bu'xue'cao 深波叶补血草
'shen'ye'tian'jian 肾叶天剑
'sheng'shi'hua 生石花
'shi'che'ju 矢车菊
'shi'da'gong'lao 十大功劳
'shi'hai'jiao 石海椒
'shi'hu 石斛
'shi'jian'hua 石碱花
'shi'liu 石榴
'shi'nan 石楠
'shi'suan 石蒜
'shi'suan'ke 石蒜科
'shi'zhu 石竹
'shi'zi'wei 狮子尾
'shou'ke 瘦客
'shu'kui 蜀葵
'shu'wei'zhang 鼠尾掌
'shui'bie 水鳖
'shui'fu'rong 水芙蓉
'shui'hua 水华
'shui'lian 睡莲
'shui'lian'ke 睡莲科
'shui'ta'feng'li 水塔凤梨
'shui'weng 水蕹
'shui'xian'chang'lan 水仙菖兰
'shui'xian'hua 水仙花
'shui'zhi 水芝
'si'ji'qiang'wei 四季蔷薇
'si'lan 丝兰
'si'shi'zhu 丝石竹
'si'zhao'hua 四照花
'si'zhu'yuan'wei 丝柱鸢尾
'song'chong'cao 松虫草
'song'chun'hua 送春花
'song'xia 松霞
'sou'shu 溲疏
'su'gen'fu'lu'kao 宿根福禄考
'su'gen'tian'ren'ju 宿根天人菊
'su'gen'ya'ma 宿根亚麻
'su'tie 苏铁
'suan'jiang 酸浆
'suo'luo 桫椤
'tan'hua 昙花
'tang'chang'pu 唐菖蒲
'tao'hua 桃花
'tao'jin'niang 桃金娘
'ti'gen'cao 嚏根草
'tian'cong 天葱
'tian'ren'ju 天人菊
'tian'zhu'kui 天竺葵
'tie'geng'hai'tang 贴梗海棠
'tie'xian'lian 铁线莲
'tu'mai'dong 土麦冬
'tu'ren'shen 土人参
'tu'tian'qi 土田七
'wan'nian'qing 万年青
'wan'shou'zhu 万寿竹
'wan'xiang'yu 晚香玉
'wang'guan'long 王冠龙
'wang'lian 王莲
'wang'qiu'hua 网球花
'wei'mao 卫矛
'wei'shi 猬实
'wen'guan'guo 文冠果
'wen'shu'lan 文殊兰
'wen'zhu 文竹
'weng'zhu 翁柱
'wo'hua'zhu'yu 卧花竹芋
'wu'se'xian 五色苋
'wu'tou 乌头
'wu'wang'cao 勿忘草
'wu'xing'hua 五星花
'wu'yu'yu 乌羽玉
'wu'zhen'song 五针松
'xi'da'kui 西达葵
'xi'xin 细辛
'xi'ye'yan'jie'cao 细叶沿阶草
'xi'zang'wa'ban'hua 西藏洼瓣花
'xia'ao'jiao 虾螯蕉
'xia'feng'xin'zi 夏风信子
'xia'ji'lan 虾脊兰
'xia'la'mei 夏蜡梅
'xia'yi'hua 虾衣花
'xian'ke'lai 仙客来
'xian'mao 仙茅
'xian'ren'bi 仙人笔
'xian'ren'qiu 仙人球
'xian'ren'zhang 仙人掌
'xiang'guo'lan 香果兰
'xiang'he 襄荷
'xiang'long'xue'shu 香龙血树
'xiang'pi'shu 橡皮树
'xiang'qu'qu'hua 香屈曲花
'xiang'ri'kui 向日葵
'xiang'shi'zhu 香石竹
'xiang'shui'cao 香水草
'xiang'wan'dou 香豌豆
'xiang'xue'qiu 香雪球
'xiao'bo 小檗
'xiao'cang'lan 小苍兰
'xiao'cong'hong'jing'tian 小丛红景天
'xiao'guan'hua 小冠花
'xiao'ju'tai 小苣苔
'xiao'lu'dou 小露兜
'xiao'mai'gan'ju 小麦秆菊
'xiao'yan'tong 小岩桐
'xiao'ye'ye'jue'ming 小叶野决明
'xiao'yuan'wei 小鸢尾
'xie'cao 缬草
'xie'zhua 蟹爪
'xie'zi'cao 蝎子草
'xin'ye'ban'xia 心叶半夏
'xing'cai 莕菜
'xing'qiu 星球
'xiu'xian'ju 绣线菊
'xuan'cao 萱草
'xuan'shuo'ju'tai 旋蒴苣苔
'xue'bao'hua 雪宝花
'xue'di'hua 雪滴花
'xue'hua'li'chun 雪花丽春
'xue'song 雪松
'xue'ye'lan 血叶兰
'xue'zhong'hua 雪钟花
'ya'guan'mu'hua'hui 亚灌木花卉
'ya'suan 雅蒜
'ya'zhi'cao 鸭跖草
'ya'zui'hua 鸭嘴花
'yan'bai'cai 岩白菜
'yan'chang'pu 岩菖蒲
'yan'feng'li 艳凤梨
'yan'gui 岩桂
'yan'he'ju 雁河菊
'yan'lai'hong 雁来红
'yan'mu'dan 岩牡丹
'yan'yu 岩芋
'yan'zi'zhang 燕子掌
'yang'shi'zhu 洋石竹
'yang'ti'jia 羊蹄甲
'yao'nv'hua 姚女花
'ye'feng'xin'zi 野风信子
'ye'lai'xiang 夜来香
'ye'luo'jin'qian 夜落金钱
'yi'bing'shan'qian'niu 翼柄山牵牛
'yi'chuan'hong 一串红
'yi'er'nian'sheng'hua'hui 一二年生花卉
'yi'lan 依兰
'yi'pin'hong 一品红
'yi'zhi'huang'hua 一枝黄花
'yin'bian'cui 银边翠
'yin'he'huan 银合欢
'yin'mai'bao'zhu'hua 银脉爆竹花
'yin'mai'hua 银脉花
'yin'xing 银杏
'ying'chun 迎春
'ying'ge'xiao'yuan'wei 鹦哥肖鸢尾
'ying'gu'ling'xiao 硬骨凌霄
'ying'hua 樱花
'ying'hui'hua 鹦喙花
'ying'rong'hua 缨绒花
'ying'zhao'hua 鹰爪花
'you'ming'lian'hua 又名莲花
'you'ming'mu'xi 又名木樨
'you'tong 油桐
'yu'hua'niao'luo 鱼花茑萝
'yu'huan 玉环
'yu'jin'xiang 郁金香
'yu'jiu'hua 雨久花
'yu'ju 雨菊
'yu'lan 玉兰
'yu'ling'long 玉玲珑
'yu'mei'ren 虞美人
'yu'shan'dou 羽扇豆
'yu'ye'jin'hua 玉叶金花
'yu'ye'mei 榆叶梅
'yu'ye'niao'luo 羽叶茑萝
'yu'yi'gan'lan 羽衣甘蓝
'yu'zan 玉簪
'yu'zhu 玉竹
'yuan'bai 圆柏
'yuan'wei 鸢尾
'yuan'wei'suan 鸢尾蒜
'yuan'yang'mo'li 鸳鸯茉莉
'yuan'ye'mao'gao'cai 圆叶茅膏菜
'yue'guang'hua 月光花
'yue'gui 月桂
'yue'ji 月季
'yue'jian'cao 月见草
'yue'yue'hong 月月红
'yun'xiang 芸香
'za'zhong'xun'zhang'ju 杂种勋章菊
'ze'lan 泽兰
'ze'xie 泽泻
'zhang'hua'ji'han'ju'tai 长花忌寒苣苔
'zhang'ye'dang'shen 长叶党参
'zhao'wa'mu'mian 爪哇木棉
'zhen'zhu'cai 珍珠菜
'zhen'zhu'mei 珍珠梅
'zhi'hua'zhu'yu 栉花竹芋
'zhi'jia'lan 指甲兰
'zhi'li'bai'bu 直立百部
'zhi'li'la'ba'hua 智利喇叭花
'zhi'mu 知母
'zhi'zhu'bao'dan 蜘蛛抱蛋
'zhi'zhu'lan 蜘蛛兰
'zhi'zi'hua 栀子花
'zhong'bing'ju 肿柄菊
'zhong'guo'shui'xian 中国水仙
'zhong'guo'wu'you'hua 中国无忧花
'zhong'hua'jia'bai'he 钟花假百合
'zhou'ye'jian'xia'luo 皱叶剪夏罗
'zhou'ye'zi'su 皱叶紫苏
'zhu'cao 著草
'zhu'ding'hong 朱顶红
'zhu'ge'cai 诸葛菜
'zhu'jiao 朱蕉
'zhu'lan 珠兰
'zhu'long'cao 猪笼草
'zhu'ye'lan 竹叶兰
'zi'bei'wan'nian'qing 紫背万年青
'zi'e'rong 紫鹅绒
'zi'feng'li 紫凤梨
'zi'hua'ji'dou 紫花棘豆
'zi'hua'xiang'hua'jie 紫花香花芥
'zi'jing 紫荆
'zi'luo'lan 紫罗兰
'zi'mao'rui'hua 紫毛蕊花
'zi'mo'li 紫茉莉
'zi'sun'qiu 子孙球
'zi'teng 紫藤
'zi'wei 紫薇
'zi'ya'zhi'cao 紫鸭跖草
'zi'ye'li 紫叶李
'zi'zhu 紫珠
'zui'die'hua 醉蝶花
