'tang'suan'gai'kou'fu'ye 糖酸钙口服液
'tian'ma'jiao'nang 天麻胶囊
'ting'zhen'qi 听诊器
'tong'bian'ling'jiao'nang 通便灵胶囊
'tong'mai'chong'ji 通脉冲剂
'tong'qiao'bi'yan'pian 通巧鼻炎片
'tou'tong'fen 头痛粉
'tu'mei'su'pian 土霉素片
'tuo'bu'mei'su'di'yan'ye 妥布霉素滴眼液
'wan'tong'jin'gu'pian 万通筋骨片
'wei'bi'zhi 胃必治
'wei'kang'ling'jiao'nang 胃康灵胶囊
'wei'mei'su'pian 维霉素片
'wei'mo'su'jiao'nang 胃膜素胶囊
'wei'nao'lu'tong'pian 维脑路通片
'wei'sheng'e'wan 维生素丸
'wei'shu'ping'pian 胃舒平片
'wu'ji'gao 无极膏
'xi'bi'tai'shuan 洗必太栓
'xi'gua'shuang 西瓜霜
'xi'gua'shuang'pen'ji 西瓜霜喷剂
'xi'sha'bi'li'pian 西沙比利片
'xian'feng'si'hao'jiao'nang 先锋四号胶囊
'xiang'sha'liu'wei'wan 香砂六味丸
'xiao'er'gan'mao'ke'li 小儿感冒颗粒
'xiao'er'ji'nei'jin'san 小儿鸡内金散
'xiao'er'li'bao 小儿利宝
'xiao'er'xiao'shi'pian 小儿消食片
'xiao'ke'wan 消渴丸
'xiao'yan'li'dan'pian 消炎利胆片
'xiao'yan'pian 消炎片
'xiao'yan'tong'pian 消炎痛片
'xiao'yan'zhi'ke'pian 消炎止咳片
'xie'li'ting'pian 泻痢停片
'xie'ting'jiao'nang 泻停胶囊
'xin'bao'wan 心宝丸
'xin'kang'tai'ke'jiao'nang 新康泰克胶囊
'xin'su'xiao'gan'mao'pian 新速效感冒片
'xin'tong'ding'pian 心痛定片
'xu'han'ting 虚汗停
'xuan'yun'ting 眩晕停
'xue'ya'ji 血压计
'yan'suan'fu'gui'li'qin'jiao 盐酸氟桂利秦胶
'yan'suan'ji'chun'zhi'pian 烟酸肌醇脂片
'yan'suan'lei'ni'ti'ding'jiao'nang 盐酸雷尼替丁胶囊
'yan'suan'qiang'bian'zuo 盐酸羟苄唑
'yan'suan'zuo'yang'fu'sha'xing 盐酸左氧氟沙星
'yan'yan'pian 咽炎片
'yang'fu'sha'xing'pian 氧氟沙星片
'yang'fu'sha'xing'yan'shui 氧氟沙星眼水
'yang'xue'an'shen'pian 养血安神片
'yang'xue'an'shen'tang'jiang 养血安神糖浆
'yang'xue'sheng'fa'jiao'nang 养血生发胶囊
'yao'tong'ning'jiao'nang 腰痛宁胶囊
'yao'tong'pian 腰痛片
'ye'mu'gua'pian 野木瓜片
'ye'ning'chong'ji 夜宁冲剂
'yi'gan'fu'zheng'jiao'nang 乙肝扶正胶囊
'yi'gan'jie'du'jiao'nang 乙肝解毒胶囊
'yi'gan'jie'du'jiao'nang 已肝解毒胶囊
'yi'yong'xiang'pi'gao 医用橡皮膏
'ying'tai'qing'jiao'nang 英太青胶囊
'you'ka'dan 优卡丹
'yu'shang'ling'jiao'nang 愈伤灵胶囊
'yun'nan'bai'yao'chuang'ke'tie 云南白药创可贴
'yun'nan'bai'yao'fen 云南白药粉
'zhen'ju'jiang'ya'pian 珍菊降压片
'zhen'shi'ming'yan'shui 珍视明眼水
'zhen'zhu'ming'mu'ye 珍珠明目液
'zheng'hong'hua'you 正红花油
'zhi'ke'wan 止咳丸
'zhi'su'ning'pian 痔速宁片
'zhong'gan'ling 重感灵
'zhu'lin'an 竹林胺
'zhuang'gu'she'xiang'zhi'tong'gao 壮骨麝香止痛膏
'zhuang'yao'jian'shen'wan 壮腰健肾丸
'zu'guang'fen 足光粉
